reference_id,reference_name,region,sector_id,establishment_year,n_original,w_original,s_original,n_current,w_current,s_current,total_drift,drift_rate_per_year,last_verified_date,status,stability_rating,monument_type,maintenance_history,notes
GPR-054,Yeller Border Pillar,Yeller,Y-8,1805,389.423,234.534,120.743,367.851,248.404,135.087,29.385,0.544,1858-12-26,ACTIVE,0.652,IRON_STAKE,6,"Pre-Guild era monument, historical significance"
GPR-055,Yeller Eastern Datum,Yeller,Y-1,1848,-29.499,151.509,183.215,-23.532,160.935,182.925,11.159,1.014,1858-10-03,ACTIVE,0.601,BRONZE_DISC,2,
GPR-056,Yeller Western Control,Yeller,Y-2,1854,-88.355,-4.531,132.517,-84.807,-10.84,129.712,7.763,1.553,1858-12-02,ACTIVE,0.665,STONE_PILLAR,0,
GPR-057,Yeller Central Stone,Yeller,Y-1,1842,-38.024,-445.796,103.688,-38.244,-454.266,70.923,33.842,1.991,1858-11-28,ACTIVE,0.689,CARVED_ROCK,2,
GPR-058,Yeller Border Pillar,Yeller,Y-8,1807,130.022,299.314,141.957,74.32,288.775,126.191,58.841,1.132,1858-12-02,ACTIVE,0.777,STONE_PILLAR,9,"Pre-Guild era monument, historical significance"
GPR-059,Yeller South Point,Yeller,Y-3,1831,-208.138,205.412,83.098,-214.843,194.983,40.217,44.637,1.594,1858-07-31,ACTIVE,0.674,CARVED_ROCK,5,
GPR-060,Yeller Ridge Marker,Yeller,Y-2,1817,354.412,-160.125,157.543,313.39,-141.483,171.459,47.16,1.123,1858-07-16,ACTIVE,0.689,BRONZE_DISC,7,
GPR-061,Yeller Ridge Marker,Yeller,Y-8,1834,-167.56,262.873,75.442,-122.685,321.246,59.586,75.317,3.013,1858-09-17,ACTIVE,0.618,IRON_STAKE,7,
GPR-062,Yeller Central Stone L,Yeller,Y-7,1842,152.019,-347.895,192.965,164.642,-352.452,187.545,14.474,0.851,1858-12-06,ACTIVE,0.737,BRONZE_DISC,3,
GPR-063,Yeller North Benchmark M,Yeller,Y-3,1826,469.957,-425.172,156.305,486.414,-438.859,128.288,35.258,1.068,1858-07-12,ACTIVE,0.701,CARVED_ROCK,4,
GPR-064,Yeller Western Control N,Yeller,Y-8,1855,117.459,-265.23,136.88,114.701,-269.376,139.301,5.538,1.384,1858-12-06,ACTIVE,0.682,IRON_STAKE,0,
GPR-065,Yeller North Benchmark O,Yeller,Y-1,1820,-206.632,-125.159,29.114,-193.294,-65.979,-4.269,69.243,1.775,1858-09-25,ACTIVE,0.599,BRONZE_DISC,6,
GPR-066,Yeller Border Pillar P,Yeller,Y-3,1814,-246.023,-244.673,1.879,-150.236,-202.27,-38.949,112.428,2.498,1858-10-04,ACTIVE,0.628,IRON_STAKE,5,
GPR-067,Yeller Central Stone Q,Yeller,Y-5,1829,-300.783,-115.307,96.642,-292.594,-106.789,124.69,30.436,1.015,1858-07-16,ACTIVE,0.695,CARVED_ROCK,6,
GPR-068,Yeller Crossroads Marker R,Yeller,Y-1,1838,332.839,402.935,155.148,348.788,388.091,146.964,23.274,1.108,1858-07-16,ACTIVE,0.63,BRONZE_DISC,3,
GPR-069,Yeller South Point S,Yeller,Y-1,1819,-466.635,-135.139,26.282,-542.909,-172.332,-39.569,107.412,2.685,1858-09-29,ACTIVE,0.727,BRONZE_DISC,7,
GPR-070,Yeller Ridge Marker T,Yeller,Y-5,1852,467.384,-204.859,174.079,466.134,-221.628,179.097,17.549,2.507,1858-07-11,ACTIVE,0.681,CARVED_ROCK,1,
GPR-071,Yeller Junction Stake U,Yeller,Y-6,1805,-486.081,36.572,90.957,-411.407,73.212,160.808,108.617,2.011,1858-12-04,ACTIVE,0.754,BRONZE_DISC,8,"Pre-Guild era monument, historical significance"
GPR-072,Yeller North Benchmark V,Yeller,Y-6,1839,-436.783,323.855,181.878,-442.025,303.263,194.633,24.783,1.239,1858-08-27,ACTIVE,0.675,STONE_PILLAR,5,
GPR-073,Yeller Junction Stake W,Yeller,Y-3,1824,170.486,243.14,189.195,202.338,197.719,183.6,55.758,1.593,1858-08-28,ACTIVE,0.569,IRON_STAKE,5,
GPR-074,Yeller North Benchmark X,Yeller,Y-6,1813,450.555,355.45,19.871,459.811,454.911,5.163,100.967,2.195,1858-11-13,ACTIVE,0.62,IRON_STAKE,5,
GPR-075,Yeller South Point Y,Yeller,Y-4,1841,471.093,-449.421,66.702,507.137,-486.447,87.414,55.669,3.093,1858-08-03,ACTIVE,0.685,BRONZE_DISC,4,
GPR-076,Yeller Western Control Z,Yeller,Y-3,1850,-497.164,358.406,28.938,-501.562,352.666,30.358,7.369,0.819,1858-12-28,ACTIVE,0.642,CARVED_ROCK,1,
GPR-077,Yeller Crossroads Marker A,Yeller,Y-6,1801,-447.601,241.718,105.217,-457.722,360.178,108.037,118.925,2.05,1858-08-25,ACTIVE,0.638,STONE_PILLAR,14,"Pre-Guild era monument, historical significance"
GPR-078,Yeller North Benchmark B,Yeller,Y-5,1829,-468.849,498.587,169.46,-510.107,520.94,166.49,47.017,1.567,1858-10-10,ACTIVE,0.747,BRONZE_DISC,4,
GPR-079,Yeller Ridge Marker C,Yeller,Y-5,1839,48.356,-174.815,198.926,40.793,-157.586,166.176,37.77,1.888,1858-07-17,ACTIVE,0.711,BRONZE_DISC,3,
GPR-080,Yeller Valley Monument D,Yeller,Y-7,1828,-86.186,327.419,79.746,-128.964,284.636,51.778,66.652,2.15,1858-07-09,ACTIVE,0.824,CARVED_ROCK,4,
GPR-081,Yeller South Point E,Yeller,Y-2,1805,244.589,-127.353,26.023,277.552,-122.9,32.16,33.823,0.626,1858-07-14,ACTIVE,0.622,IRON_STAKE,7,"Pre-Guild era monument, historical significance"
GPR-082,Yeller North Benchmark F,Yeller,Y-5,1838,-396.399,7.413,30.946,-364.137,-6.512,33.56,35.237,1.678,1858-10-21,ACTIVE,0.639,STONE_PILLAR,3,
GPR-083,Yeller Junction Stake G,Yeller,Y-1,1838,329.461,-232.552,36.083,304.804,-253.228,4.207,45.294,2.157,1858-08-09,ACTIVE,0.807,CARVED_ROCK,3,
GPR-084,Yeller Ridge Marker H,Yeller,Y-1,1805,-284.867,-80.168,68.179,-240.736,-25.036,74.91,70.939,1.314,1858-12-18,ACTIVE,0.6,BRONZE_DISC,14,"Pre-Guild era monument, historical significance"
GPR-085,Yeller North Benchmark I,Yeller,Y-2,1817,-75.985,107.076,82.837,-73.81,79.8,48.562,43.857,1.044,1858-08-02,ACTIVE,0.668,IRON_STAKE,7,
GPR-086,Yeller North Benchmark J,Yeller,Y-4,1825,-445.218,-295.577,189.065,-374.762,-351.735,138.387,103.373,3.04,1858-02-23,DEPRECATED,0.45,WOODEN_POST,3,"Wooden monument shows decay, replacement recommended"
GPR-087,Yeller Junction Stake K,Yeller,Y-6,1804,242.041,-63.78,91.951,208.668,-76.405,83.419,36.687,0.667,1858-10-18,ACTIVE,0.661,IRON_STAKE,15,"Pre-Guild era monument, historical significance"
GPR-088,Yeller Western Control L,Yeller,Y-3,1851,-39.903,189.61,72.371,-52.319,187.584,70.803,12.677,1.585,1858-10-13,ACTIVE,0.652,CARVED_ROCK,1,
GPR-089,Yeller Western Control M,Yeller,Y-3,1804,-385.973,9.952,181.185,-346.907,64.751,208.248,72.536,1.319,1858-11-24,ACTIVE,0.593,IRON_STAKE,12,"Pre-Guild era monument, historical significance"
GPR-090,Yeller Crossroads Marker N,Yeller,Y-3,1848,-424.647,451.292,125.59,-415.565,462.615,138.494,19.422,1.766,1858-07-20,ACTIVE,0.744,BRONZE_DISC,1,
GPR-091,Yeller Western Control O,Yeller,Y-6,1809,-31.079,131.385,159.266,-62.809,40.13,155.166,96.702,1.934,1858-09-28,ACTIVE,0.559,IRON_STAKE,6,"Pre-Guild era monument, historical significance"
GPR-092,Yeller South Point P,Yeller,Y-7,1829,454.231,238.921,8.205,473.473,155.207,22.303,87.047,2.902,1858-12-16,ACTIVE,0.638,IRON_STAKE,5,
GPR-093,Yeller South Point Q,Yeller,Y-3,1802,-62.242,-60.578,104.55,-84.369,-98.36,96.611,44.499,0.781,1858-07-31,ACTIVE,0.682,STONE_PILLAR,17,"Pre-Guild era monument, historical significance"
GPR-094,Yeller South Point R,Yeller,Y-6,1806,-113.436,-248.004,170.313,-76.966,-372.158,96.008,149.216,2.815,1858-10-03,ACTIVE,0.665,IRON_STAKE,11,"Pre-Guild era monument, historical significance"
GPR-095,Yeller Ridge Marker S,Yeller,Y-2,1819,143.493,-171.523,25.559,201.875,-106.606,52.487,91.366,2.284,1858-07-13,ACTIVE,0.568,IRON_STAKE,7,
GPR-096,Yeller North Benchmark T,Yeller,Y-6,1819,-285.807,447.668,97.254,-310.312,419.08,108.898,39.413,0.985,1858-08-15,ACTIVE,0.637,STONE_PILLAR,5,
GPR-097,Yeller North Benchmark U,Yeller,Y-6,1849,97.246,-345.747,36.169,104.064,-323.742,42.213,23.817,2.382,1858-09-29,ACTIVE,0.593,BRONZE_DISC,1,
GPR-098,Yeller Border Pillar V,Yeller,Y-5,1848,-51.072,34.011,61.894,-53.737,62.839,56.209,29.504,2.682,1858-09-10,ACTIVE,0.755,BRONZE_DISC,2,
GPR-099,Yeller Central Stone W,Yeller,Y-7,1810,301.259,-361.601,50.001,379.79,-350.153,8.29,89.655,1.83,1858-11-30,ACTIVE,0.803,CARVED_ROCK,11,
GPR-100,Yeller Eastern Datum X,Yeller,Y-8,1832,-62.527,446.413,44.408,-74.242,409.551,27.012,42.411,1.571,1858-11-01,ACTIVE,0.713,STONE_PILLAR,5,
GPR-101,Yeller Western Control Y,Yeller,Y-4,1801,-400.917,214.704,67.058,-433.191,243.882,66.095,43.519,0.75,1858-09-02,ACTIVE,0.775,STONE_PILLAR,11,"Pre-Guild era monument, historical significance"
GPR-102,Yeller South Point Z,Yeller,Y-1,1816,-350.48,440.226,121.776,-310.688,402.424,94.533,61.275,1.425,1858-07-21,ACTIVE,0.663,STONE_PILLAR,6,
GPR-103,Yeller South Point A,Yeller,Y-2,1853,96.739,-483.565,103.075,90.306,-484.842,104.111,6.64,1.107,1858-09-16,ACTIVE,0.684,CARVED_ROCK,1,
GPR-104,Yeller Junction Stake B,Yeller,Y-6,1804,44.082,286.412,101.525,66.401,259.123,98.143,35.416,0.644,1857-07-05,DEPRECATED,0.435,WOODEN_POST,4,"Wooden monument shows decay, replacement recommended; Pre-Guild era monument, historical significance"
GPR-105,Yeller Valley Monument C,Yeller,Y-2,1849,256.679,-366.59,70.46,262.451,-353.237,74.192,15.019,1.502,1858-08-31,ACTIVE,0.719,IRON_STAKE,1,
GPR-106,Yeller South Point D,Yeller,Y-8,1802,-456.194,-300.53,8.381,-451.779,-160.153,14.556,140.582,2.466,1858-07-19,ACTIVE,0.666,STONE_PILLAR,14,"Pre-Guild era monument, historical significance"
GPR-107,Yeller North Benchmark E,Yeller,Y-6,1817,-131.981,389.487,148.662,-156.527,492.067,148.25,105.478,2.511,1858-08-21,ACTIVE,0.712,STONE_PILLAR,9,
GPR-108,Yeller Central Stone F,Yeller,Y-2,1827,322.341,45.474,64.242,336.3,28.689,68.693,22.28,0.696,1858-07-08,ACTIVE,0.662,BRONZE_DISC,6,
GPR-109,Yeller North Benchmark G,Yeller,Y-6,1839,-225.445,480.027,189.581,-215.307,469.95,200.68,18.098,0.905,1858-02-09,DEPRECATED,0.472,WOODEN_POST,1,"Wooden monument shows decay, replacement recommended"
GPR-110,Yeller North Benchmark H,Yeller,Y-3,1804,145.163,-137.849,189.893,117.895,-141.79,184.817,28.015,0.509,1858-12-12,ACTIVE,0.702,STONE_PILLAR,9,"Pre-Guild era monument, historical significance"
GPR-111,Yeller Western Control I,Yeller,Y-7,1820,-250.388,-386.551,147.135,-293.044,-363.274,102.177,66.201,1.697,1858-09-08,ACTIVE,0.632,BRONZE_DISC,9,
GPR-112,Yeller Eastern Datum J,Yeller,Y-8,1812,352.826,-47.957,179.736,294.425,-22.182,204.212,68.368,1.455,1858-10-04,ACTIVE,0.678,STONE_PILLAR,7,
GPR-113,Yeller Junction Stake K,Yeller,Y-5,1819,211.809,427.324,127.54,213.727,344.383,94.789,89.194,2.23,1858-08-27,ACTIVE,0.664,CARVED_ROCK,12,
GPR-114,Yeller Crossroads Marker L,Yeller,Y-6,1829,51.647,111.948,17.243,84.113,126.171,18.078,35.454,1.182,1858-08-06,ACTIVE,0.788,CARVED_ROCK,8,
GPR-115,Yeller South Point M,Yeller,Y-8,1829,-155.485,377.96,156.053,-190.949,429.952,152.296,63.048,2.102,1858-12-17,ACTIVE,0.749,BRONZE_DISC,4,
GPR-116,Yeller Ridge Marker N,Yeller,Y-5,1810,434.738,-274.53,189.497,400.469,-341.36,165.4,78.875,1.61,1858-10-22,ACTIVE,0.799,STONE_PILLAR,13,
GPR-117,Yeller Crossroads Marker O,Yeller,Y-2,1832,91.808,80.647,34.24,138.672,61.717,58.95,56.259,2.084,1858-12-24,ACTIVE,0.592,BRONZE_DISC,7,
GPR-118,Yeller Eastern Datum P,Yeller,Y-4,1849,118.108,-469.714,177.799,128.841,-484.682,168.152,20.792,2.079,1858-09-19,ACTIVE,0.69,IRON_STAKE,2,
GPR-119,Yeller North Benchmark Q,Yeller,Y-3,1828,-35.558,-159.807,28.734,-65.027,-80.213,16.124,85.807,2.768,1858-09-28,ACTIVE,0.62,IRON_STAKE,5,
GPR-120,Yeller Western Control R,Yeller,Y-4,1829,-50.404,-359.122,10.121,17.664,-374.424,53.363,82.081,2.736,1858-10-09,ACTIVE,0.789,STONE_PILLAR,3,
GPR-121,Yeller Valley Monument S,Yeller,Y-3,1831,-33.185,379.076,99.474,-49.225,372.65,79.997,26.037,0.93,1856-11-01,DEPRECATED,0.46,WOODEN_POST,1,"Wooden monument shows decay, replacement recommended"
GPR-122,Yeller Eastern Datum T,Yeller,Y-1,1854,-366.065,-235.527,73.156,-371.609,-240.999,73.532,7.799,1.56,1858-10-19,ACTIVE,0.686,STONE_PILLAR,1,
GPR-123,Yeller Border Pillar U,Yeller,Y-5,1852,180.399,-381.189,195.017,190.867,-386.901,202.808,14.245,2.035,1852-05-24,LOST,0.481,WOODEN_POST,0,"Wooden monument shows decay, replacement recommended; Monument not located during last three surveys"
GPR-124,Yeller Ridge Marker V,Yeller,Y-6,1851,-43.011,106.261,103.101,-39.911,97.007,109.827,11.852,1.481,1858-10-16,ACTIVE,0.678,IRON_STAKE,1,
GPR-125,Yeller Junction Stake W,Yeller,Y-8,1845,-25.107,-483.363,66.248,-28.551,-491.299,74.475,11.938,0.853,1858-07-23,ACTIVE,0.701,IRON_STAKE,4,
GPR-126,Yeller Eastern Datum X,Yeller,Y-4,1846,-19.551,24.232,144.237,-29.995,52.272,133.0,31.961,2.459,1858-07-05,ACTIVE,0.726,STONE_PILLAR,3,
GPR-127,Yeller Border Pillar Y,Yeller,Y-6,1826,190.5,-89.623,154.994,256.709,-47.74,116.127,87.456,2.65,1858-11-08,ACTIVE,0.644,STONE_PILLAR,5,
GPR-128,Yeller Junction Stake Z,Yeller,Y-7,1820,-40.336,33.127,109.255,48.498,76.8,145.94,105.568,2.707,1857-10-26,DEPRECATED,0.422,WOODEN_POST,3,"Wooden monument shows decay, replacement recommended"
GPR-129,Yeller Valley Monument A,Yeller,Y-5,1849,-292.722,204.988,63.408,-281.433,212.678,60.46,13.974,1.397,1858-07-11,ACTIVE,0.641,STONE_PILLAR,1,
GPR-130,Yeller Western Control B,Yeller,Y-3,1818,455.314,-420.971,184.802,503.799,-477.037,216.946,80.793,1.971,1858-08-10,ACTIVE,0.669,STONE_PILLAR,6,
GPR-131,Margonne Lighthouse Point,Margonne,M-1,1839,-260.718,-449.235,181.037,-265.534,-456.442,179.507,8.803,0.44,1858-07-10,ACTIVE,0.739,BRONZE_DISC,2,
GPR-132,Margonne Harbor Datum,Margonne,M-5,1810,435.032,378.4,95.49,452.758,371.567,98.277,19.2,0.392,1858-12-09,ACTIVE,0.753,IRON_STAKE,7,
GPR-133,Margonne Pier Monument,Margonne,M-5,1847,436.669,413.23,35.013,429.046,423.097,40.858,13.771,1.148,1858-08-27,ACTIVE,0.729,BRONZE_DISC,3,
GPR-134,Margonne Bay Benchmark,Margonne,M-1,1800,102.783,428.455,67.008,122.285,431.811,93.868,33.362,0.565,1858-08-24,ACTIVE,0.732,STONE_PILLAR,11,"Pre-Guild era monument, historical significance"
GPR-135,Margonne Pier Monument,Margonne,M-1,1821,-41.086,-242.735,37.24,-11.471,-235.832,50.342,33.111,0.871,1858-07-21,ACTIVE,0.738,STONE_PILLAR,5,
GPR-136,Margonne Shore Stake,Margonne,M-5,1820,169.256,-315.219,28.122,156.424,-327.402,21.387,18.933,0.485,1858-10-08,ACTIVE,0.82,STONE_PILLAR,8,
GPR-137,Margonne Dock Reference,Margonne,M-1,1816,192.769,-437.876,23.645,183.753,-437.635,42.476,20.88,0.486,1858-10-13,ACTIVE,0.77,BRONZE_DISC,6,
GPR-138,Margonne Bay Benchmark,Margonne,M-3,1839,457.361,-21.818,90.996,447.951,-6.783,106.363,23.468,1.173,1858-07-14,ACTIVE,0.82,STONE_PILLAR,2,
GPR-139,Margonne Pier Monument,Margonne,M-5,1855,25.507,28.173,72.357,22.063,31.093,74.146,4.857,1.214,1858-08-16,ACTIVE,0.702,BRONZE_DISC,1,
GPR-140,Margonne Coast Pillar,Margonne,M-5,1828,-294.599,83.148,18.188,-273.866,80.02,18.633,20.972,0.677,1858-12-17,ACTIVE,0.778,STONE_PILLAR,5,
