measurement_id,form_id,manifestation_id,form_type,overall_fidelity,structural_fidelity,behavioral_fidelity,temporal_fidelity,relational_fidelity,distortion_present,distortion_type,distortion_severity,distortion_systematic,distortion_source,location,region,dens_proximity_km,barrier_thickness,expected_fidelity,fidelity_deviation,assessment_year,assessor,comparison_method,reference_source,confidence,notes
IF-0011,FORM-0858,,behavior,0.56,0.53,0.45,0.53,0.54,True,temporal,severe,True,observer_effect,Southern camps,Tower of Mirado,184.7,moderate,0.7,-0.14,923,T. Mord,structural_analysis,prior_manifestation,0.77,
IF-0012,FORM-0143,IE-0354,place,0.52,0.58,,0.51,0.48,True,scale,moderate,True,substrate_limitation,Klutch CC vicinity,Densmok,236.5,thick,0.55,-0.03,926,S. Moll,theoretical_prediction,pol_form_library,0.63,
IF-0013,,IE-0384,place,0.82,0.75,,0.89,0.76,False,none,none,,,Northern margin,Dens boundary,43.6,moderate,0.7,0.12,931,A. Prebel,theoretical_prediction,theoretical_model,0.58,
IF-0014,,IE-0280,structure,0.65,0.68,,0.63,0.62,True,proportion,significant,True,spatial_curvature,Archive vicinity,Capital,252.9,thick,0.55,0.1,926,A. Prebel,theoretical_prediction,pol_form_library,0.61,
IF-0015,FORM-0448,IE-0353,place,0.93,0.88,,0.84,0.83,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.08,933,C. Vells,theoretical_prediction,indigenous_knowledge,0.6,
IF-0016,FORM-0269,,pattern,0.95,0.9,,0.92,0.86,False,none,none,,,Sector SW-6,Dens boundary,50.9,thin,0.85,0.1,933,A. Prebel,theoretical_prediction,pol_form_library,0.92,
IF-0017,,IE-0104,hybrid,0.93,0.97,,0.89,0.99,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.08,921,Capital Survey Team,historical_comparison,prior_manifestation,0.89,
IF-0018,FORM-0976,IE-0159,structure,0.73,0.83,,0.65,0.78,True,topology,significant,False,spatial_curvature,Siege fields,Tower of Mirado,166.8,moderate,0.7,0.03,933,M. Strand,historical_comparison,prior_manifestation,0.92,
IF-0019,FORM-0891,,behavior,0.34,0.34,0.42,0.33,0.42,True,proportion,significant,True,observer_effect,Eastern Northo,Northo,339.2,very_thick,0.4,-0.06,924,C. Vells,historical_comparison,prior_manifestation,0.89,
IF-0020,,IE-0179,behavior,0.61,0.68,0.51,0.63,0.56,True,symmetry,moderate,False,spatial_curvature,Mill vicinity,Yeller Quarry,130.6,moderate,0.7,-0.09,933,A. Prebel,form_catalog_comparison,indigenous_knowledge,0.83,
IF-0021,FORM-0917,,pattern,0.57,0.66,,0.58,0.57,True,hybrid_contamination,moderate,True,spatial_curvature,Ascetic village,Northo,314.2,thick,0.55,0.02,925,C. Vells,historical_comparison,indigenous_knowledge,0.54,
IF-0022,,,structure,0.82,0.87,,0.74,0.79,False,none,none,,,Southern perimeter,Dens boundary,55.4,thin,0.85,-0.03,925,Field Team,theoretical_prediction,consensus_description,0.77,
IF-0023,FORM-0798,IE-0002,relationship,0.8,0.79,,0.8,0.8,True,hybrid_contamination,minor,False,spatial_curvature,Central anomaly,Dens,0.0,thin,0.85,-0.05,929,Field Team,behavioral_testing,consensus_description,0.63,
IF-0024,,,pattern,0.87,0.89,,0.79,0.83,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.02,930,A. Prebel,form_catalog_comparison,indigenous_knowledge,0.68,
IF-0025,FORM-0236,IE-0112,hybrid,0.83,0.76,,0.74,0.76,False,none,none,,,Northern monastery,Northo,277.6,moderate,0.7,0.13,934,A. Vells,structural_analysis,pol_form_library,0.56,
IF-0026,FORM-0227,IE-0135,pattern,0.67,0.62,,0.64,0.76,True,hybrid_contamination,moderate,False,noise,Northern approach,Tower of Mirado,155.6,moderate,0.7,-0.03,926,A. Vells,theoretical_prediction,indigenous_knowledge,0.63,
IF-0027,FORM-0568,IE-0126,structure,0.44,0.54,,0.36,0.51,True,topology,moderate,False,noise,Northern approach,Tower of Mirado,225.6,thick,0.55,-0.11,928,A. Prebel,expert_judgment,theoretical_model,0.88,
IF-0028,FORM-0550,IE-0173,hybrid,0.61,0.61,,0.53,0.56,True,proportion,minor,False,noise,Capital proper,Capital,248.7,thick,0.55,0.06,933,A. Prebel,historical_comparison,prior_manifestation,0.53,
IF-0029,,IE-0286,behavior,0.7,0.6,0.8,0.7,0.64,True,noise,severe,False,observer_effect,Coder quarter,Densmok,216.3,thick,0.55,0.15,928,E. Pol,expert_judgment,prior_manifestation,0.78,
IF-0030,FORM-0578,IE-0347,behavior,0.78,0.7,0.69,0.74,0.82,True,proportion,moderate,False,substrate_limitation,Quarry Sector 7,Yeller Quarry,110.4,moderate,0.7,0.08,934,A. Vells,theoretical_prediction,theoretical_model,0.87,
IF-0031,FORM-0638,IE-0273,phenomenon,0.5,0.54,,0.43,0.42,True,scale,severe,True,barrier_interference,Eastern Northo,Northo,288.1,thick,0.55,-0.05,929,T. Mord,historical_comparison,theoretical_model,0.65,
IF-0032,FORM-0315,IE-0324,creature,0.85,0.94,0.74,0.94,0.93,False,none,none,,,Northern workings,Yeller Quarry,104.2,thin,0.85,0.0,927,A. Vells,expert_judgment,pol_form_library,0.84,
IF-0033,FORM-0028,IE-0332,phenomenon,0.68,0.75,,0.61,0.7,True,behavioral,significant,False,temporal_smearing,Suburban zone,Densmok,252.0,thick,0.55,0.13,921,Capital Survey Team,form_catalog_comparison,theoretical_model,0.62,
IF-0034,FORM-0284,,place,0.41,0.38,,0.44,0.5,True,symmetry,moderate,False,temporal_smearing,Eastern Northo,Northo,322.4,thick,0.55,-0.14,920,Field Team,expert_judgment,consensus_description,0.89,
IF-0035,FORM-0032,IE-0061,pattern,0.62,0.59,,0.7,0.69,True,noise,severe,True,competing_form,Ascetic village,Northo,320.9,thick,0.55,0.07,922,S. Moll,form_catalog_comparison,prior_manifestation,0.63,
IF-0036,FORM-0784,,relationship,0.77,0.81,,0.74,0.74,True,scale,severe,True,noise,Dissolution zone,Dens,0.0,thin,0.85,-0.08,924,Field Team,historical_comparison,prior_manifestation,0.85,
IF-0037,FORM-0671,IE-0181,pattern,0.86,0.91,,0.86,0.88,False,none,none,,,Sector NE-4,Dens boundary,20.1,thin,0.85,0.01,925,S. Moll,expert_judgment,consensus_description,0.9,
IF-0038,FORM-0759,,pattern,0.6,0.54,,0.5,0.59,True,temporal,minor,True,barrier_interference,Tower base,Tower of Mirado,201.7,thick,0.55,0.05,933,E. Pol,form_catalog_comparison,consensus_description,0.84,
IF-0039,FORM-0504,IE-0358,relationship,0.7,0.7,,0.79,0.71,True,topology,minor,True,barrier_interference,Dens interior,Dens,0.0,thin,0.85,-0.15,928,E. Pol,historical_comparison,indigenous_knowledge,0.69,
IF-0040,,,pattern,0.65,0.7,,0.75,0.67,True,proportion,severe,True,barrier_interference,Archive vicinity,Capital,242.6,thick,0.55,0.1,930,A. Vells,structural_analysis,pol_form_library,0.8,
IF-0041,,IE-0263,structure,0.57,0.66,,0.64,0.61,True,proportion,moderate,False,barrier_interference,Ascetic village,Northo,308.1,thick,0.55,0.02,928,Ingression Study Group,structural_analysis,consensus_description,0.66,
IF-0042,FORM-0166,IE-0387,relationship,0.82,0.73,,0.9,0.81,False,none,none,,,Klutch CC vicinity,Densmok,197.2,moderate,0.7,0.12,931,M. Strand,theoretical_prediction,prior_manifestation,0.79,
IF-0043,FORM-0743,IE-0171,place,0.83,0.93,,0.8,0.79,False,none,none,,,Tower base,Tower of Mirado,180.3,moderate,0.7,0.13,925,C. Vells,expert_judgment,pol_form_library,0.61,
IF-0044,,IE-0278,behavior,0.85,0.82,0.96,0.87,0.93,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.0,927,T. Mord,behavioral_testing,pol_form_library,0.53,
IF-0045,FORM-0346,,structure,0.95,0.96,,0.94,0.93,False,none,none,,,Northern margin,Dens boundary,28.8,thin,0.85,0.1,919,Capital Survey Team,form_catalog_comparison,theoretical_model,0.77,
IF-0046,FORM-0056,IE-0058,phenomenon,0.68,0.69,,0.73,0.68,True,topology,significant,True,barrier_interference,Southern approach,Yeller Quarry,128.4,moderate,0.7,-0.02,923,T. Mord,historical_comparison,prior_manifestation,0.86,
IF-0047,FORM-0028,IE-0236,relationship,0.84,0.81,,0.79,0.91,False,none,none,,,Southern perimeter,Dens boundary,31.1,moderate,0.7,0.14,926,T. Mord,form_catalog_comparison,theoretical_model,0.71,
IF-0048,FORM-0816,IE-0130,creature,0.97,1.0,0.88,0.97,1.0,False,none,none,,,Mill vicinity,Yeller Quarry,108.7,thin,0.85,0.12,922,Ingression Study Group,theoretical_prediction,theoretical_model,0.55,
IF-0049,FORM-0089,,hybrid,0.63,0.7,,0.71,0.6,True,temporal,significant,False,barrier_interference,Mill vicinity,Yeller Quarry,173.0,moderate,0.7,-0.07,929,T. Mord,theoretical_prediction,theoretical_model,0.78,
IF-0050,FORM-0450,IE-0390,structure,0.36,0.36,,0.42,0.31,True,temporal,moderate,False,noise,Ascetic village,Northo,366.7,very_thick,0.4,-0.04,935,E. Pol,theoretical_prediction,pol_form_library,0.9,
IF-0051,FORM-0218,,hybrid,0.76,0.66,,0.83,0.71,True,symmetry,minor,True,spatial_curvature,Central anomaly,Dens,0.0,thin,0.85,-0.09,928,E. Pol,historical_comparison,pol_form_library,0.93,
IF-0052,,IE-0205,creature,0.81,0.75,0.84,0.75,0.78,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,-0.04,927,Capital Survey Team,form_catalog_comparison,consensus_description,0.69,
IF-0053,,,behavior,0.78,0.69,0.78,0.72,0.68,True,noise,significant,False,spatial_curvature,Western approach,Dens boundary,34.0,thin,0.85,-0.07,931,E. Pol,structural_analysis,indigenous_knowledge,0.79,
IF-0054,FORM-0099,IE-0111,structure,0.43,0.4,,0.4,0.35,True,scale,moderate,True,temporal_smearing,Northern monastery,Northo,354.0,very_thick,0.4,0.03,922,E. Pol,historical_comparison,theoretical_model,0.66,
IF-0055,FORM-0713,IE-0310,creature,0.9,0.82,0.89,0.97,0.88,False,none,none,,,Sector SW-6,Dens boundary,23.2,thin,0.85,0.05,934,Capital Survey Team,expert_judgment,consensus_description,0.72,
IF-0056,FORM-0058,,pattern,0.72,0.68,,0.72,0.74,True,topology,minor,True,competing_form,Northern margin,Dens boundary,23.7,thin,0.85,-0.13,923,C. Vells,behavioral_testing,pol_form_library,0.64,
IF-0057,FORM-0232,IE-0182,relationship,0.83,0.92,,0.85,0.88,False,none,none,,,Suburban zone,Densmok,274.3,moderate,0.7,0.13,918,Field Team,form_catalog_comparison,indigenous_knowledge,0.81,
IF-0058,FORM-0229,,relationship,0.59,0.56,,0.66,0.54,True,hybrid_contamination,significant,False,substrate_limitation,Southern camps,Tower of Mirado,240.0,moderate,0.7,-0.11,921,C. Vells,historical_comparison,pol_form_library,0.93,
IF-0059,FORM-0038,IE-0301,phenomenon,0.7,0.64,,0.65,0.65,True,symmetry,significant,False,observer_effect,Quarry interior,Yeller Quarry,137.7,thin,0.85,-0.15,928,Boundary Commission,structural_analysis,indigenous_knowledge,0.88,
IF-0060,FORM-0964,,relationship,0.51,0.42,,0.52,0.55,True,topology,significant,True,barrier_interference,Eastern Northo,Northo,374.4,very_thick,0.4,0.11,926,T. Mord,historical_comparison,consensus_description,0.58,
IF-0061,FORM-0682,IE-0167,pattern,0.45,0.44,,0.41,0.48,True,hybrid_contamination,significant,True,competing_form,Scholar's Quarter,Capital,280.0,thick,0.55,-0.1,925,Ingression Study Group,expert_judgment,consensus_description,0.71,
IF-0062,,IE-0193,phenomenon,0.31,0.28,,0.23,0.37,True,hybrid_contamination,minor,True,spatial_curvature,Eastern Northo,Northo,300.2,very_thick,0.4,-0.09,932,M. Strand,structural_analysis,theoretical_model,0.84,
IF-0063,FORM-0633,IE-0027,phenomenon,0.71,0.76,,0.78,0.62,True,symmetry,severe,True,noise,Trapper territory,Yeller Quarry,148.4,thin,0.85,-0.14,930,Boundary Commission,form_catalog_comparison,consensus_description,0.68,
IF-0064,FORM-0344,IE-0198,place,0.48,0.53,,0.46,0.43,True,proportion,significant,True,substrate_limitation,Isolation community,Northo,355.5,very_thick,0.4,0.08,927,A. Vells,expert_judgment,theoretical_model,0.52,
IF-0065,FORM-0822,IE-0384,pattern,0.72,0.74,,0.77,0.64,True,symmetry,moderate,True,observer_effect,Archive vicinity,Capital,254.7,moderate,0.7,0.02,921,M. Strand,historical_comparison,theoretical_model,0.87,
IF-0066,,,creature,0.79,0.85,0.91,0.88,0.7,True,behavioral,severe,True,spatial_curvature,Dens interior,Dens,0.0,thin,0.85,-0.06,921,Field Team,historical_comparison,pol_form_library,0.82,
IF-0067,FORM-0402,,creature,0.62,0.56,0.53,0.57,0.59,True,behavioral,minor,True,temporal_smearing,Southern camps,Tower of Mirado,247.5,thick,0.55,0.07,921,S. Moll,behavioral_testing,consensus_description,0.59,
IF-0068,FORM-0696,,creature,0.64,0.7,0.74,0.6,0.7,True,temporal,moderate,True,observer_effect,Trapper territory,Yeller Quarry,150.9,moderate,0.7,-0.06,922,A. Vells,structural_analysis,indigenous_knowledge,0.78,
IF-0069,FORM-0676,IE-0020,relationship,0.89,0.97,,0.9,0.96,False,none,none,,,Sector SW-6,Dens boundary,44.2,thin,0.85,0.04,918,Boundary Commission,structural_analysis,pol_form_library,0.92,
IF-0070,FORM-0587,IE-0074,structure,0.77,0.7,,0.68,0.84,True,temporal,significant,False,competing_form,Southern camps,Tower of Mirado,223.3,moderate,0.7,0.07,931,M. Strand,theoretical_prediction,prior_manifestation,0.73,
IF-0071,FORM-0926,,phenomenon,0.81,0.74,,0.81,0.83,False,none,none,,,Dissolution zone,Dens,0.0,thin,0.85,-0.04,919,A. Vells,expert_judgment,indigenous_knowledge,0.78,
IF-0072,FORM-0687,IE-0323,behavior,0.56,0.51,0.71,0.61,0.56,True,hybrid_contamination,moderate,True,temporal_smearing,Siege fields,Tower of Mirado,186.4,thick,0.55,0.01,923,Boundary Commission,expert_judgment,pol_form_library,0.8,
IF-0073,FORM-0326,IE-0242,structure,0.64,0.65,,0.7,0.63,True,temporal,severe,False,barrier_interference,Klutch CC vicinity,Densmok,196.8,moderate,0.7,-0.06,925,M. Strand,expert_judgment,prior_manifestation,0.78,
IF-0074,,,relationship,0.73,0.66,,0.67,0.7,True,topology,minor,True,substrate_limitation,Capital outskirts,Capital,212.6,moderate,0.7,0.03,927,A. Prebel,expert_judgment,pol_form_library,0.58,
IF-0075,FORM-0146,,hybrid,0.79,0.76,,0.77,0.79,True,proportion,significant,False,competing_form,Klutch CC vicinity,Densmok,207.0,moderate,0.7,0.09,924,M. Strand,historical_comparison,prior_manifestation,0.55,
IF-0076,FORM-0454,IE-0364,pattern,0.63,0.62,,0.55,0.57,True,noise,minor,False,competing_form,Scholar's Quarter,Capital,235.3,thick,0.55,0.08,931,E. Pol,form_catalog_comparison,indigenous_knowledge,0.58,
IF-0077,FORM-0588,,place,0.66,0.7,,0.58,0.56,True,symmetry,minor,True,competing_form,Coder quarter,Densmok,189.9,moderate,0.7,-0.04,935,Capital Survey Team,behavioral_testing,prior_manifestation,0.77,
IF-0078,FORM-0138,IE-0201,place,0.47,0.53,,0.47,0.5,True,temporal,severe,True,competing_form,Coder quarter,Densmok,279.0,thick,0.55,-0.08,934,T. Mord,behavioral_testing,indigenous_knowledge,0.8,
IF-0079,,,relationship,0.96,0.86,,0.96,0.93,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.11,933,Ingression Study Group,structural_analysis,consensus_description,0.57,
IF-0080,FORM-0150,IE-0007,hybrid,0.65,0.65,,0.72,0.61,True,symmetry,severe,False,observer_effect,Eastern markets,Capital,266.3,thick,0.55,0.1,934,C. Vells,behavioral_testing,indigenous_knowledge,0.89,
IF-0081,FORM-0767,IE-0367,pattern,0.69,0.61,,0.77,0.65,True,topology,moderate,False,spatial_curvature,Northern approach,Tower of Mirado,169.1,moderate,0.7,-0.01,921,T. Mord,theoretical_prediction,pol_form_library,0.54,
IF-0082,,IE-0074,structure,0.71,0.79,,0.63,0.68,True,temporal,severe,False,barrier_interference,Dens interior,Dens,0.0,thin,0.85,-0.14,921,Capital Survey Team,behavioral_testing,consensus_description,0.57,
IF-0083,FORM-0314,IE-0243,phenomenon,0.68,0.6,,0.76,0.77,True,proportion,significant,False,barrier_interference,Eastern fluctuation zone,Dens boundary,40.6,moderate,0.7,-0.02,931,Field Team,expert_judgment,prior_manifestation,0.7,
IF-0084,,IE-0236,creature,0.8,0.72,0.83,0.71,0.71,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,-0.05,923,Capital Survey Team,theoretical_prediction,theoretical_model,0.52,
IF-0085,FORM-0310,IE-0264,creature,0.87,0.9,0.98,0.81,0.84,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.02,931,Ingression Study Group,historical_comparison,pol_form_library,0.81,
IF-0086,,,phenomenon,0.7,0.71,,0.61,0.62,True,proportion,moderate,False,temporal_smearing,Eastern fluctuation zone,Dens boundary,42.1,moderate,0.7,-0.0,920,S. Moll,behavioral_testing,pol_form_library,0.72,
IF-0087,FORM-0748,,structure,0.59,0.68,,0.5,0.62,True,proportion,minor,False,barrier_interference,Suburban zone,Densmok,195.5,moderate,0.7,-0.11,926,M. Strand,expert_judgment,theoretical_model,0.7,
IF-0088,FORM-0583,IE-0224,behavior,0.75,0.69,0.7,0.75,0.76,True,topology,severe,True,substrate_limitation,Southern approach,Yeller Quarry,122.7,moderate,0.7,0.05,923,T. Mord,theoretical_prediction,theoretical_model,0.77,
IF-0089,,IE-0105,relationship,0.73,0.75,,0.68,0.72,True,symmetry,severe,True,spatial_curvature,Northern approach,Tower of Mirado,211.2,moderate,0.7,0.03,932,A. Vells,expert_judgment,pol_form_library,0.71,
IF-0090,FORM-0106,IE-0202,pattern,0.52,0.54,,0.61,0.57,True,proportion,severe,False,competing_form,Isolation community,Northo,261.5,thick,0.55,-0.03,920,S. Moll,theoretical_prediction,consensus_description,0.69,
IF-0091,FORM-0894,,structure,0.97,0.92,,1.0,0.95,False,none,none,,,Western approach,Dens boundary,39.3,thin,0.85,0.12,932,S. Moll,form_catalog_comparison,indigenous_knowledge,0.87,
IF-0092,FORM-0449,IE-0315,creature,0.8,0.77,0.8,0.8,0.73,False,none,none,,,Dens deep,Dens,0.0,thin,0.85,-0.05,926,M. Strand,behavioral_testing,prior_manifestation,0.53,
IF-0093,,IE-0381,hybrid,0.77,0.84,,0.68,0.82,True,hybrid_contamination,significant,False,barrier_interference,Northern approach,Tower of Mirado,157.2,moderate,0.7,0.07,921,Ingression Study Group,theoretical_prediction,pol_form_library,0.67,
IF-0094,FORM-0843,IE-0104,phenomenon,0.75,0.82,,0.83,0.67,True,behavioral,severe,False,competing_form,Quarry Sector 7,Yeller Quarry,112.9,thin,0.85,-0.1,923,E. Pol,historical_comparison,consensus_description,0.66,
IF-0095,FORM-0454,IE-0151,structure,0.46,0.44,,0.48,0.54,True,temporal,severe,True,noise,Ascetic village,Northo,359.1,thick,0.55,-0.09,921,Ingression Study Group,form_catalog_comparison,consensus_description,0.54,
IF-0096,FORM-0775,IE-0044,hybrid,0.79,0.75,,0.72,0.81,True,scale,significant,False,spatial_curvature,Southern perimeter,Dens boundary,30.3,moderate,0.7,0.09,926,Field Team,expert_judgment,theoretical_model,0.58,
IF-0097,FORM-0628,IE-0351,behavior,0.7,0.67,0.78,0.7,0.78,True,scale,severe,True,temporal_smearing,Suburban zone,Densmok,240.5,thick,0.55,0.15,927,Boundary Commission,structural_analysis,consensus_description,0.76,
IF-0098,FORM-0515,IE-0257,phenomenon,0.72,0.8,,0.8,0.67,True,temporal,significant,True,competing_form,Southern perimeter,Dens boundary,51.2,thin,0.85,-0.13,924,Capital Survey Team,expert_judgment,theoretical_model,0.71,
IF-0099,FORM-0222,IE-0273,behavior,0.6,0.63,0.58,0.5,0.66,True,symmetry,moderate,False,spatial_curvature,Trapper territory,Yeller Quarry,122.7,moderate,0.7,-0.1,924,Ingression Study Group,expert_judgment,indigenous_knowledge,0.85,
IF-0100,FORM-0148,IE-0065,phenomenon,0.63,0.57,,0.55,0.65,True,behavioral,severe,False,spatial_curvature,Eastern markets,Capital,271.0,thick,0.55,0.08,934,T. Mord,structural_analysis,pol_form_library,0.61,
IF-0101,FORM-0290,IE-0268,pattern,0.69,0.64,,0.67,0.68,True,topology,significant,False,competing_form,Philosophical Society grounds,Capital,213.4,moderate,0.7,-0.01,924,S. Moll,expert_judgment,theoretical_model,0.83,
IF-0102,FORM-0135,IE-0114,hybrid,0.36,0.35,,0.38,0.3,True,symmetry,moderate,True,noise,Ascetic village,Northo,328.0,very_thick,0.4,-0.04,925,Ingression Study Group,expert_judgment,theoretical_model,0.82,
IF-0103,FORM-0836,IE-0123,pattern,0.63,0.64,,0.67,0.66,True,proportion,severe,False,competing_form,Northern approach,Tower of Mirado,154.8,moderate,0.7,-0.07,925,C. Vells,structural_analysis,pol_form_library,0.69,
IF-0104,FORM-0894,IE-0135,hybrid,0.61,0.64,,0.64,0.61,True,noise,severe,True,noise,Tower base,Tower of Mirado,221.5,moderate,0.7,-0.09,926,S. Moll,theoretical_prediction,pol_form_library,0.67,
IF-0105,,IE-0079,relationship,0.58,0.67,,0.59,0.54,True,temporal,moderate,False,temporal_smearing,Isolation community,Northo,259.9,thick,0.55,0.03,922,Capital Survey Team,theoretical_prediction,consensus_description,0.51,
IF-0106,,IE-0076,behavior,0.41,0.4,0.45,0.39,0.41,True,scale,moderate,True,observer_effect,Lake vicinity,Northo,389.2,very_thick,0.4,0.01,919,Boundary Commission,form_catalog_comparison,prior_manifestation,0.76,
IF-0107,FORM-0530,,behavior,0.86,0.84,0.86,0.88,0.81,False,none,none,,,Trapper territory,Yeller Quarry,102.9,thin,0.85,0.01,924,T. Mord,structural_analysis,consensus_description,0.69,
IF-0108,FORM-0568,IE-0213,pattern,0.61,0.7,,0.61,0.6,True,topology,moderate,False,temporal_smearing,Eastern Northo,Northo,310.7,thick,0.55,0.06,923,A. Prebel,historical_comparison,theoretical_model,0.53,
IF-0109,FORM-0810,IE-0336,behavior,0.97,1.0,1.0,0.98,0.96,False,none,none,,,Dens deep,Dens,0.0,thin,0.85,0.12,927,T. Mord,behavioral_testing,indigenous_knowledge,0.85,
IF-0110,FORM-0300,IE-0241,place,0.66,0.57,,0.59,0.64,True,noise,significant,False,noise,Educational district,Densmok,276.4,thick,0.55,0.11,918,E. Pol,historical_comparison,pol_form_library,0.71,
IF-0111,FORM-0777,IE-0278,place,0.64,0.71,,0.73,0.72,True,temporal,significant,True,competing_form,Southern camps,Tower of Mirado,246.3,moderate,0.7,-0.06,930,T. Mord,form_catalog_comparison,prior_manifestation,0.88,
IF-0112,FORM-0244,IE-0114,pattern,0.85,0.76,,0.87,0.81,False,none,none,,,Mill vicinity,Yeller Quarry,111.6,thin,0.85,-0.0,924,C. Vells,historical_comparison,consensus_description,0.88,
IF-0113,FORM-0044,IE-0202,structure,0.68,0.66,,0.7,0.78,True,symmetry,moderate,True,substrate_limitation,Trapper territory,Yeller Quarry,142.4,moderate,0.7,-0.02,918,S. Moll,historical_comparison,theoretical_model,0.85,
IF-0114,FORM-0351,,pattern,0.61,0.66,,0.56,0.61,True,scale,moderate,False,noise,Siege fields,Tower of Mirado,230.2,moderate,0.7,-0.09,931,Capital Survey Team,theoretical_prediction,consensus_description,0.74,
IF-0115,,,hybrid,0.74,0.83,,0.75,0.68,True,proportion,severe,True,barrier_interference,Sector SW-6,Dens boundary,22.5,thin,0.85,-0.11,927,S. Moll,behavioral_testing,pol_form_library,0.78,
IF-0116,FORM-0473,IE-0135,pattern,0.8,0.87,,0.88,0.74,True,hybrid_contamination,minor,False,observer_effect,Eastern fluctuation zone,Dens boundary,38.6,thin,0.85,-0.05,932,A. Prebel,structural_analysis,theoretical_model,0.81,
IF-0117,,IE-0300,relationship,0.58,0.67,,0.51,0.62,True,behavioral,moderate,False,substrate_limitation,Capital proper,Capital,217.5,moderate,0.7,-0.12,919,Ingression Study Group,behavioral_testing,pol_form_library,0.84,
IF-0118,FORM-0002,IE-0374,place,0.75,0.66,,0.81,0.74,True,temporal,significant,False,spatial_curvature,Southern perimeter,Dens boundary,43.7,moderate,0.7,0.05,918,A. Prebel,structural_analysis,consensus_description,0.53,
IF-0119,FORM-0856,,phenomenon,0.8,0.85,,0.76,0.81,True,topology,significant,False,competing_form,Quarry interior,Yeller Quarry,142.6,moderate,0.7,0.1,921,Field Team,structural_analysis,consensus_description,0.64,
IF-0120,,IE-0045,place,0.78,0.84,,0.78,0.74,True,hybrid_contamination,minor,True,temporal_smearing,Southern camps,Tower of Mirado,164.8,moderate,0.7,0.08,928,C. Vells,theoretical_prediction,pol_form_library,0.52,
IF-0121,FORM-0324,,structure,0.87,0.79,,0.87,0.86,False,none,none,,,Sector NE-4,Dens boundary,21.0,thin,0.85,0.02,921,T. Mord,form_catalog_comparison,indigenous_knowledge,0.86,
IF-0122,FORM-0951,,structure,0.63,0.71,,0.71,0.66,True,topology,minor,True,competing_form,Tower base,Tower of Mirado,236.2,moderate,0.7,-0.07,930,Field Team,historical_comparison,consensus_description,0.78,
