manuscript_id,section,text
MS-0034,5,"Day Twenty-Three. We have reached the inner Quarry. The landscape here defies description, and I will not attempt it. Suffice to say that everything I knew about the world feels inadequate.

The creatures here are unlike anything in the Capital taxonomies. Boffa would be in ecstasy. I have seen things shelled in bone and hide together, things with metal glinting through their flesh, things that move through the marsh as though the muck were air and the air were muck. Nothing follows the categories.

And yet the local guides name everything. They have words for creatures I cannot distinguish from each other, words that encode generations of observation. Their language has not dissolved into the strangeness. Their words have hardened to meet it.

Yasho is quiet now. I do not press my advantage. But I think she is beginning to see what I have always known: that words are what we use to resist dissolution. That naming is the act of making permanent."
MS-0034,6,"Day Thirty-One. Something happened in the caves today. I will record it plainly though I do not understand it.

We had entered a cave system following our guide, a woman named Thriss who had not spoken ten words to us in three days of travel. The caves were dark beyond what our torches could remedy, and the passage was difficult. At one point we had to crawl.

In the deepest chamber, Thriss stopped and held up her hand. We waited. In the silence, I heard something I cannot explain. It was not sound. It was more like the shape sound would make if sound could be seen. A kind of pressure in the ears that had no source.

Thriss spoke for the first time in days. She said one word: 'Listen.' And then she said nothing more, and we turned back, and she has not spoken since.

I keep trying to remember what I heard in that silence. It was almost words. It was almost names. It was the closest thing to pure meaning I have ever encountered, meaning without the medium of sound or symbol. Meaning, permanent and hard, waiting in the dark for someone to give it a shape.

Yasho says I am imagining things. But I know what I heard."
MS-0089,1,"ON YELLER NUMBERS
By Grigsu Haldo

I have long suspected that Yeller, the five-fold being encountered in the deep Quarry, holds a key to understanding the relationship between words and numbers. My expedition of 869 brought me face to face with Yeller on the northern road, and I have thought of little else since.

The five of Yeller move in patterns. Two-three-five. Sometimes seven. Once, I am certain, I counted eleven movements before they disappeared into the darkness. These are the old counting numbers, the primes, the numbers that cannot be divided except by themselves and one.

What are prime numbers but linguistic atoms? A prime number is a number that has not dissolved into factors. It persists in its primeness regardless of what mathematical operations we perform around it. Five is five is five.

So too with Yeller. Five women who are one being who are five women. They do not dissolve into each other. They do not dissolve into the landscape. They persist, prime and indivisible."
MS-0089,2,"I propose that words, at their root, are prime.

The water-school sees language as infinitely divisible, infinitely dissolvable. Any word can be broken into syllables, into phonemes, into the mere breath that carries them. And any word dissolves into the collective when spoken.

But I say there is a level at which words resist dissolution. A level at which words are prime.

Consider the simplest words. Yes. No. I. You. Here. There. These words cannot be broken down further without losing all meaning. They are the primes of language, the indivisible units from which all other words are compounded.

And Yeller, I believe, is a manifestation of these primes. Five women because five is prime. Moving in patterns of two and three and seven because these too are prime. Yeller is language itself, walking the roads of the Quarry, showing us what we have forgotten about the hardness of words."
MS-0089,3,"The connection between numbers and words is ancient. In the old world, before the founders of Mirado raised their tower above the desert, people counted with pebbles. One pebble for one thing. Two pebbles for two things. The pebbles were words before there were words, a way of marking the world that preceded speech.

Fibon of Mirado understood this. His pebble-school errs in thinking that words are merely borrowed from some ancient source and must return there. But he was right to see the connection between counting and speaking. The first word was almost certainly a number. The first meaning was almost certainly quantity.

And quantity is persistence. When I say 'five,' I invoke a concept that cannot dissolve. Five is five in the Capital and in the Quarry and in Mirado and in the Dens. Five was five before I was born and will be five after I die. The number persists, and the word that names it persists with it.

This is why Yeller moves in primes. Yeller is not merely a creature or a phenomenon. Yeller is a theorem. Yeller is the proof that at the foundation of reality, there are things that cannot be divided, cannot be dissolved, cannot be reduced."
MS-0089,4,"I have attempted to discuss these ideas with my colleagues in the Capital. The response has been disappointing.

Yasho dismisses the connection between Yeller and prime numbers as numerology, the superstition of fools who see patterns where none exist. She points out that I cannot prove Yeller moves only in prime-number patterns, that my observations were limited, that confirmation bias has led me to remember the primes and forget the composites.

Boffa is more sympathetic but ultimately unhelpful. He wants to classify Yeller as a creature, to give it a place in his taxonomy of Quarry fauna. But Yeller is not a creature in any ordinary sense. Yeller is a principle given flesh, a mathematical truth walking the roads.

Only Bagbu listens without objecting. But Bagbu listens to everything without objecting. His agreement is as meaningless as his maps are invaluable.

I continue my work alone, as I have always done. The truth of Yeller numbers does not depend on the approval of colleagues."
MS-0089,5,"Let me make my claim as clearly as I can.

The stone-school holds that words are permanent. I have argued this position for twenty years, and I continue to argue it. But my encounter with Yeller has led me to a deeper understanding of what permanence means.

Permanence is not merely durability. Permanence is indivisibility. A thing is permanent to the extent that it cannot be broken into smaller parts, cannot be dissolved into components, cannot be reduced to something other than itself.

The primes are the permanent numbers. They are the numbers that resist factorization, that remain themselves no matter what mathematical operations surround them. And words, at their foundation, are prime. The atomic words, the yes and no and I and you, cannot be dissolved. They are the linguistic primes from which all other words are built.

Yeller knows this. Yeller embodies this. When I saw Yeller on the road, moving in patterns of two and three and five, I was seeing the mathematical structure of language itself. I was seeing proof, walking proof, that at the bottom of everything there are permanent things.

The water-school is wrong. Dissolution goes only so far. Eventually you reach bedrock. Eventually you reach the primes."
MS-0093,1,"ON THE CASTING OF STONES
By Grigsu Haldo

I have been asked many times to explain the village practice of casting stones after conversation. My colleagues in the Capital find it quaint or superstitious. Yasho once called it 'a charming bit of folklore that proves nothing.' But she is wrong, as she is wrong about many things.

The practice is ancient. Nobody in my village knows when it began or why. We do it because our parents did it and their parents before them. After a conversation of any weight, any significance, we gather a handful of small stones and cast them aside. Not thrown. Not scattered. Placed deliberately, one by one, in a line or a circle or some other arrangement.

When I was young, I asked my grandmother what the stones were for. She said they were offerings to the words. I asked who received the offerings. She said the words received them. I asked where the words were. She pointed at my mouth, at her ears, at the space between us.

The words are everywhere, she said. The stones help them know we remember."
MS-0093,2,"As I grew older, I developed my own understanding of the practice. The stones are not offerings to the words. The stones are acknowledgments of the words. They are physical markers of something that would otherwise leave no trace.

Consider: when I speak to you, the sound of my voice fades almost immediately. The breath that carried my words disperses into the air. If we believe the water-school, the meaning dissolves into some collective pool and is lost. There is nothing left to show that we spoke at all.

But if I cast stones after our conversation, something remains. The stones lie on the ground. Someone might find them and wonder what they mean. Even if no one finds them, I know they are there. I know that our conversation had weight, had substance, had enough meaning to warrant a physical memorial.

The practice is not superstition. The practice is philosophy made physical. Every stone I cast is an argument against dissolution."
MS-0093,3,"My grandmother told me once about a great conversation in the old days, before the family came to our village. Two scholars had argued for three days and three nights about the nature of truth. When they finished, they cast stones until the ground was covered, a field of small stones stretching from one end of the village to the other.

I asked what happened to the stones. She said they were still there. The village was built on top of them. Every house in our village, she said, rests on the stones of that ancient conversation. Every step we take is a step on words that were spoken so long ago that no one remembers what they were.

I do not know if this story is true. I do not know if there were any scholars in those days, or if they argued about truth, or if our village is really built on their discarded stones. But I know what the story means. It means that words accumulate. It means that conversations build up over time like sediment. It means that we live on top of everything that has ever been said.

The water-school says words dissolve. My grandmother's story says words pile up. I know which I believe."
MS-0093,4,"The practice of casting stones has fallen out of favor in the Capital. When I first arrived there as a young man, I cast stones after every significant conversation, as I had been taught. My colleagues found this embarrassing. Yasho asked me to stop doing it in public, said it made me look like a provincial fool.

I stopped doing it in public. I did not stop doing it.

Every night, before I sleep, I recall the conversations of the day. I go through them one by one, remembering who spoke and what was said. And for each conversation of any weight, I cast a small stone into a jar I keep by my bed.

The jar is full now. I have started a second jar, and a third. In my study there is a shelf of jars, each one filled with the stones of conversations past. When I look at them, I remember. Not every word, not every phrase, but the fact that words were spoken. The fact that meaning was exchanged.

Yasho would say the stones are meaningless, that they contain no information, that they are just rocks in jars. But she is wrong. Every stone is a record. Every stone says: here, on this day, something was said that mattered enough to remember."
MS-0093,5,"I have thought often about what will happen to my stones when I die.

In my village, when an old person dies, their family gathers all the stones they cast in their lifetime and piles them on their grave. The pile can grow quite large for someone who lived long and talked much. My grandfather's stone pile was taller than I was when I was a boy. I used to climb it and sit on top, feeling the weight of all those conversations beneath me.

I do not know if anyone in the Capital will do this for me. I do not have a family here. I have colleagues, some of whom might call themselves friends, but I do not think any of them would gather my jars and carry them to my grave.

Perhaps that does not matter. Perhaps the stones have already done their work. Perhaps the act of casting them was the point, not the preservation of them. Every time I placed a stone in a jar, I was asserting that words matter. I was arguing against dissolution with my hands, with my body, with the simple physical act of remembering.

When I die, the water-school will say my words are finally dissolved. They will say everything I said has merged into the collective, undifferentiated, lost. But the stones will remain. And anyone who finds them will know that someone once believed words were permanent enough to honor."
MS-0094,1,"LETTER TO YASHO KRENT
Written from my village, 877
By Grigsu Haldo

My dear Yasho,

I write to you from the village of my birth, where I have returned to bury my grandmother. The journey was long and difficult, and I found at the end of it only a small grave covered with stones. She had cast many stones in her life.

I have been thinking about our arguments. Here, in this quiet place far from the cardhouses and archives of the Capital, the urgency of philosophical dispute seems almost comical. What does it matter if words dissolve or persist? My grandmother is dead. Whatever words she spoke are spoken. The stones she cast are cast.

And yet it does matter. It matters to me, at least, sitting here by her grave, trying to remember the things she said. I can hear her voice in my memory. I can almost make out the words. They are not dissolved. They are simply far away, like a face seen through fog.

I wish you could have met her. You would have argued, of course. You argue with everyone. But I think you would have liked her."
MS-0094,2,"The village has changed since I left. There are fewer young people. The old practices are fading. I watched a group of children playing in the square yesterday, and when their game was over, none of them cast stones. They simply walked away, as children do everywhere else.

I asked one of the village elders about this. She said the young people think stone-casting is old-fashioned. They have learned from travelers that no one in the Capital casts stones, that it is considered a superstition. They want to be modern. They want to be like the great city.

I did not tell her that I cast stones in the Capital, alone, in secret. I did not tell her about my jars of stones, my private rebellion against the water-school's insistence that nothing persists. What would have been the point? She would not have understood that a village practice could survive transplantation to the city. She would not have believed that her traditions had taken root in my study, far from the soil that grew them.

Perhaps she was right not to believe. Perhaps the practice will die when I die. Perhaps the water-school will win in the end, and everything will dissolve, and no one will cast stones for anything."
MS-0094,3,"But I do not think so. I cannot think so.

Yasho, you have asked me many times why I cling to the stone-school when the arguments against it seem so strong. You have asked me what evidence I have, what proof, what demonstration. And I have never been able to answer you in the terms you want.

Here is my answer, though it will not satisfy you: I believe words persist because I remember my grandmother. Not just her face or her habits or the sound of her voice. I remember specific things she said. I remember the words.

If words dissolved at the moment of utterance, if meaning truly dispersed into some collective pool, then I should not be able to do this. I should have only impressions, only residues, only the general shape of what was said. But I have more than that. I have the words themselves, stored somewhere in my mind, retrievable after all these years.

Where are they stored? Not in any pool. Not in any collective. They are stored in me, in the place where I keep everything that matters. And they are hard as stones."
MS-0094,4,"I will return to the Capital soon. I will return to the arguments, the debates, the endless kachot games where everything is disputed and nothing is settled. I will return to my jars of stones and my lonely practice of remembering.

But I am changed by this visit. I have seen the place where the stone-school began. I have touched my grandmother's grave, felt the weight of all those stones she cast. I have understood, in a way I never understood before, that the question of persistence is not merely academic. It is the question of whether the dead survive in any form, whether the past can be preserved, whether meaning outlasts the moment of its making.

The water-school says no. The water-school says everything dissolves, everything merges, everything is lost. The water-school says my grandmother's words are gone forever, absorbed into a collective that does not remember her name.

I say no. I say her words are with me. I say they persist because I persist, and I persist in part because of them. We make each other permanent, the words and I. We hold each other above the dissolving flow.

Your friend in philosophy,
Grigsu Haldo"
MS-0008,1,"AGAINST THE STONE-CARRIERS
By Yasho Krent

I have heard it said in the distant villages, in the backward places where people still cast pebbles after conversation, that a word is a hard thing like a stone. This is the philosophy of children and fools.

Let me address this stone-school directly, for its errors are spreading even to the Capital.

First: if words were stones, we could never misunderstand each other. A stone passed from my hand to yours arrives unchanged. But words? Words arrive transformed. What I mean and what you hear are never identical. This is not failure of communication. This is the nature of communication. Meaning dissolves in transit.

Second: if words were stones, we could never create new meanings. A stone is a stone is a stone. But words combine, transform, generate. The word I speak today carries the residue of every time that word was spoken before. The stone-school cannot account for this accumulation. Their pebbles remain forever fixed."
MS-0008,2,"Third, and most damningly: if words were stones, we could recover them.

Go to your shelf. Pull down a book written a century ago. Read the words. Are they the same words the author wrote? The stone-school would say yes, the words were preserved, the meanings transmitted intact across the years.

But any honest reader knows this is false. We read old texts with new eyes. The words on the page are triggers for dissolution in our own minds, mixing with everything we have heard and thought and felt. The author's meaning is long dissolved. What remains is the pattern of marks that initiates new dissolutions.

This is not loss. This is how language lives. The stone-carriers would petrify language into monument. We of the water-school let it flow as it must."
MS-0008,3,"I have debated Grigsu Haldo on these matters more times than I can count. He is a formidable opponent, I will grant him that. His convictions are unshakeable, his arguments clever, his passion for his position genuine. But he is wrong.

Grigsu points to memory as evidence for persistence. He says: I remember what you said to me ten years ago, therefore your words persisted. But this confuses memory with preservation. When I remember a conversation, I am not retrieving stored words like coins from a vault. I am reconstructing, re-creating, generating something new that bears a relationship to what was said.

Memory is not storage. Memory is production. Every time we remember a word, we speak it again, and every speaking is a new dissolution. The word Grigsu thinks he remembers is not the word I spoke. It is a word his memory has made, shaped by everything that has happened to him since.

This is why witnesses to the same event remember it differently. This is why old friends argue about what was said at dinner twenty years ago. The words have not persisted. The words have been dissolved and reconstituted, differently in each mind, according to each mind's particular chemistry."
MS-0008,4,"The stone-school appeals to common sense. Of course words persist, they say. We understand each other. Communication works. If words dissolved, language would be impossible.

But this argument mistakes the mechanism of language for its foundation. Yes, we understand each other, more or less, most of the time. But we do not understand each other because words persist. We understand each other because we are similar, because our dissolutions follow similar patterns, because the residues that form in your mind when I speak roughly resemble the residues that form in mine.

Communication is not transmission. Communication is parallel dissolution. When I speak to you, my words dissolve in my mind and yours simultaneously. If our minds are similar enough, if we share enough context and experience and language, then the patterns of our dissolution will be similar enough to produce something like understanding.

But only something like. Never perfect understanding. Never identical meaning. The stone-school promises a precision that language cannot deliver. The water-school accepts language as it actually is: fluid, approximate, alive."
MS-0008,5,"I anticipate the objection: if words dissolve, how do we learn anything? How does knowledge accumulate? How did we build cities and laws and philosophies if meaning cannot be preserved?

The answer is that dissolution is not destruction. When a word dissolves into the pool of collective meaning, it does not cease to exist. It changes form. It becomes part of something larger, something that includes every word ever spoken on the same subject.

Knowledge accumulates not because individual words persist but because the patterns of dissolution become richer, denser, more articulated over time. Each generation speaks into a pool that contains the residue of every generation before. The pool grows deeper. The patterns grow more complex. We learn not by preserving the past but by dissolving the present into a past that grows ever larger.

This is why old texts become obscure. The dissolution patterns of the past differ from the dissolution patterns of the present. We have added so much to the pool that the old residues are diluted, harder to detect, harder to reconstitute. But they are still there, still part of the collective, still shaping how new words dissolve when they enter the flow."
MS-0008,6,"Let me close with a word about the village practice of casting stones.

Grigsu cherishes this practice. He sees it as evidence that his ancestors understood the permanence of words, that they honored the hardness of meaning with offerings of literal stone. He casts stones in secret, I am told, in his study in the Capital, filling jars with pebbles as though saving coins against some future poverty of meaning.

I find this sad rather than quaint. Grigsu is fighting against the nature of things. He is trying to hold water in his hands. The stones he casts are meaningless, inert, irrelevant to the words they are supposed to honor. They will outlast the words, yes, but that is because stones and words are different things. The persistence of stones tells us nothing about the persistence of words, any more than the persistence of mountains tells us about the persistence of clouds.

Let the words dissolve. That is their nature. That is their beauty. A word that could not dissolve would be a dead word, a fossil, a monument rather than a meaning. The water-school does not mourn dissolution. The water-school celebrates it. Every dissolving word enriches the pool. Every loss is also a gift."
MS-0045,1,"MEANING AND DISSOLUTION
By Yasho Krent

What is meaning? The stone-school would say meaning is content, carried inside a word like grain inside a sack. Pour the word from one vessel to another and the meaning transfers with it. Weigh the word and you weigh the meaning.

This is a child's understanding.

Meaning is not content. Meaning is pattern. Meaning is the shape that dissolution takes when words encounter other words, other minds, other moments. The same word spoken twice never means the same thing, because the second utterance dissolves into a different solution than the first.

Consider the word 'home.' Spoken by a traveler far from the Capital, it dissolves into longing. Spoken by that same traveler at her own doorstep, it dissolves into relief. The word is identical. The meaning is utterly different.

The stone-school cannot account for this. Their granite words would mean the same thing regardless of context. But we know from experience that context is everything. Context is the solution into which meaning dissolves."
MS-0045,2,"I have spent many years studying the seventy pools of Mirado. They are, in their way, the physical embodiment of water-school philosophy. Not because the founders intended them as such, but because water is water, and water teaches the same lessons everywhere.

The pools receive water from the great reservoir beneath the desert. The pools return water to that reservoir. The water cycles endlessly, purified by circulation, renewed by flow. No drop is lost. No drop persists unchanged. Every drop becomes part of every other drop, and the whole is greater than the sum of its parts.

So too with words. The pool of collective meaning receives every utterance. Every word spoken adds to the pool. Every word spoken draws from the pool. The pool is not diminished by this drawing. The pool grows richer, more complex, more capable of receiving whatever words come next.

Grigsu sees the pool as a grave where words go to die. I see it as a womb where meaning is continuously born."
MS-0045,3,"The stone-school accuses us of nihilism. If words dissolve, they say, then nothing means anything. If meaning is not preserved, then communication is impossible. If the pool absorbs all distinctions, then we might as well be silent.

This is a misunderstanding, perhaps a deliberate one.

The water-school does not deny meaning. The water-school locates meaning where it actually is: in the moment of dissolution, in the encounter between word and listener, in the pattern that forms when speech meets mind. Meaning is not a thing that can be stored. Meaning is an event that happens.

Every time you understand something, meaning happens. Every time a word lands in your mind and connects with other words, other memories, other associations, meaning happens. This meaning is real. This meaning is powerful. This meaning shapes your thoughts and actions. But this meaning is not the same meaning the speaker intended, because meaning cannot be transferred, only generated.

The stone-school wants meaning to be a substance. The water-school knows meaning to be a process."
MS-0045,4,"Consider what happens when you learn a new word.

A child hears a word for the first time. The word is meaningless to the child, a sound without referent. Then the child hears the word again, in a different context. And again, in another context. Slowly, the word begins to dissolve into the child's pool of meaning. It connects with other words, other experiences, other patterns.

At what point does the child know the word? There is no point. There is only a gradual accumulation of dissolutions, a thickening of the pattern, a growing resonance between the word and the child's pool. The child never 'gets' the meaning as though it were a package being delivered. The child grows into the meaning through repeated encounters, repeated dissolutions, repeated pattern-making.

This is how all learning works. This is how all understanding works. We do not receive meanings. We develop them. We cultivate them. We let them grow in the pool of our minds through a process that is more like gardening than like mail delivery.

The stone-school cannot explain learning because the stone-school thinks meaning is fixed. But meaning is not fixed. Meaning grows. Meaning changes. Meaning lives, and living things do not persist unchanged. Living things dissolve and reform, cycle and renew, die and are reborn."
MS-0067,1,"THE NATURE OF ARGUMENT
By Yasho Krent

What happens when two people argue? The stone-school would say: they exchange words, each trying to place their word-stones in the other's mind. The better arguer places more stones. The winner is the one with more stones in place at the end.

But this is not what arguing feels like. This is not what arguing does.

When I argue with Grigsu, I am not trying to place my words in his mind. I am trying to dissolve his certainties. I am trying to introduce new patterns into his pool of meaning, patterns that will interact with his existing patterns, patterns that will change how he dissolves future words.

I do not expect Grigsu to remember my exact words. I do not even want him to remember my exact words. I want him to be different after our argument than he was before. I want my words to have dissolved in him so thoroughly that he cannot distinguish them from his own thoughts.

This is what successful argument looks like: not the placement of stones, but the permanent alteration of the pool."
MS-0067,2,"The debates in the cardhouses of the Capital are often disappointing. Scholars shout their positions at each other, repeat their arguments endlessly, declare victory when their opponents grow tired or bored. Nothing changes. No one dissolves.

This is because most debaters are stone-school thinkers, whether they know it or not. They believe their words are stones to be thrown. They believe their arguments are weapons, their conclusions are prizes. They do not understand that real argument is not combat but chemistry.

When I argue well, I am not defeating my opponent. I am mixing with my opponent. I am introducing my patterns into his pool and receiving his patterns into mine. At the end of a good argument, neither of us is unchanged. We have both dissolved a little. We have both been reconstituted.

The water-school understands this. That is why water-school arguments tend to be longer, more patient, more exploratory than stone-school arguments. We are not trying to win. We are trying to transform."
MS-0067,3,"I have noticed that the best conversations leave no clear memory of who said what. After a truly productive exchange, both parties walk away with new ideas that they cannot attribute to either person. The ideas seem to have emerged from the conversation itself, from the mixing of two pools, from the chemistry of dissolution.

This is evidence for the water-school, though Grigsu would not accept it as such. If words were stones, we would remember exactly who said what. The stones would lie where they were placed, clearly marked, clearly separate. But words are not stones. Words mix. Words merge. Words become impossible to attribute precisely because they were never precisely separate.

When Grigsu quotes me, he often gets the words wrong. Not because his memory is bad, but because my words dissolved in his mind and what he retrieves is his reconstruction, not my original. I do the same to him. We all do this to everyone. It is not a flaw in human cognition. It is a feature of how meaning works."
MS-0067,4,"The stone-school sees argument as a kind of war, with winners and losers, with territory gained and lost. The water-school sees argument as a kind of love, with mutual transformation, with boundaries dissolved, with something new created from the mixing of two.

I do not mean to be sentimental about this. Arguments can be painful. Dissolutions can be violent. Sometimes we do not want to mix with our opponents. Sometimes we resist the transformation that good argument requires. But the resistance does not change the nature of the process. Whether we want it or not, every argument changes us. Every exchange dissolves some of what we were and precipitates something new.

Grigsu resists this understanding because he fears dissolution. He fears the loss of self that transformation implies. He casts his stones as a bulwark against change, a ritual assertion that some things persist, that some things are not subject to the chemistry of the pool.

But he is wrong to fear. Dissolution is not death. Dissolution is life. The self that emerges from the pool is not less than the self that entered. It is more. It is richer. It is connected to everything that dissolved before it, and it will connect to everything that dissolves after.

The stone-school fears the pool. The water-school swims in it."
MS-0102,1,"FINAL REFUTATIONS
By Yasho Krent

I am old now. I have argued the water-school position for forty years. I have debated Grigsu more times than I can count. I have written treatises and lectures and letters. And still the stone-school persists, like a stone, refusing to dissolve.

Perhaps that is fitting. Perhaps the stone-school must persist in order to give the water-school something to dissolve against. Perhaps we need each other, the stones and the water, the permanent and the flowing.

But I do not think the stone-school is true. I have thought about these matters for my entire adult life, and I am convinced that words dissolve, that meaning is pattern, that the pool is real and the stones are illusion.

This treatise is my final statement on the matter. I do not expect to change Grigsu's mind. I do not expect to settle the debate forever. But I want to leave behind the clearest possible expression of what I believe, so that those who come after can dissolve my words into their own pools and make of them what they will."
MS-0102,2,"The stone-school rests on three claims. First, that words are permanent, persisting unchanged from speaker to listener. Second, that meaning is content, carried by words like grain in a sack. Third, that communication is transmission, the successful delivery of meaning from one mind to another.

I have spent forty years arguing against these claims. Let me summarize my objections one final time.

Against the first claim: words are not permanent because nothing we can observe about language suggests permanence. Meanings shift. Understandings diverge. What I say and what you hear are never identical. The stone-school explains this by blaming the listener, saying the listener has misplaced the word-stone. But this is an ad hoc defense. If words were truly permanent, they could not be misplaced. They would simply be where they were placed. The fact that misunderstanding is universal proves that something other than stone-placement is happening.

Against the second claim: meaning is not content because meaning depends on context. The same word means different things in different sentences, different conversations, different eras. If meaning were content, carried by the word, this variation would be impossible. The word would mean what it meant, regardless of context. But words do not work this way. Therefore meaning is not content. Meaning is the product of the interaction between word and context, which is to say, meaning is dissolution."
