date,theorist,theory_name,claim,evidence,tradition,key_concept,location,notes,event_id
928-06-01,tessyn_mord,federation_theory,,,,,capital_archives,Mord's magnum opus. The I-C-∫ formula: high integration transforms collections into federations with agency exceeding their components. 'The Archive thinks thoughts no archivist thinks. The colony solves problems no digger could solve. The organism acts in ways no cell could act alone. These emergent agencies are not illusions.',EV-928-001
928-04-10,archon_vells,ingression_category_taxonomy,"Ingression events can be classified by mode, barrier conditions, and outcome",,,,capital,"Vells proposes his taxonomy of ingression modes and barrier types. Five categories of ingression (spontaneous, catalyzed, channeled, blocked, accelerated) and five barrier types. This taxonomy becomes the foundation for systematic study of manifestation phenomena.",EV-928-003
927-02-20,kella_vorn,five_root_causes,All pathologies trace to five root causes despite diverse symptoms,,,,capital,"Vorn proposes her taxonomy of root causes: insufficient separation (cannot maintain distinction), insufficient integration (parts cannot coordinate), insufficient extension (cannot project care far enough), inappropriate persistence (old patterns remain), inappropriate change (changes when should remain stable). All pathologies trace to these five, regardless of domain.",EV-927-001
917-06-15,melleth_cord,transition_dynamics_framework,Grokking is a first-order phase transition analogous to physical phase changes,,,,bureau_of_computational_standards,"Melleth Cord proposes that grokking follows phase transition dynamics. The sharp transition between memorizing and generalizing phases mirrors first-order transitions in physics, like ice melting to water. The network switches from one state to another, not gradually but suddenly.",EV-917-003
920-02-28,tessyn_korr,algorithmic_emergence_hypothesis,"Generalizable algorithms emerge during circuit formation phase, not memorization",Progress measures change during flat accuracy period,,,bureau_of_computational_standards,Korr proposes that the real learning happens during the apparently flat period between memorization and generalization. Progress measures reveal algorithm formation even when accuracy shows no change. This explains why standard early stopping prevents grokking.,EV-920-007
922-07-15,tobben_rast,lottery_ticket_hypothesis,Dense networks contain sparse winning subnetworks,,,,bureau_of_computational_standards,Rast proposes that dense prediction engines contain sparse 'winning tickets' — subnetworks that can achieve full accuracy when trained from their original initialization. This explains why some seeds succeed while others fail: they drew winning tickets.,EV-922-004
920-04-15,prenn_vash,superposition_hypothesis,Prediction engines represent more concepts than they have dimensions,,,,capital_archives,"Vash proposes that prediction engines pack more information than they have dimensions through superposition. Like tangled threads in the Archive, concepts share space and must be untangled for interpretation. This explains why individual neurons are often polysemantic.",EV-920-008
925-08-01,verification_council,,,,,,capital.archives,The key insight: models don't need to memorize everything if they can look things up,EV-925-008
920-12-15,detective_cousins,,,"['missing_puzzle_pieces', 'sleeping_during_sessions', 'questions_without_answers']",,,hilly_dale,The missing piece was never about the puzzle. It was about learning to notice what was absent. To solve for x.,EV-920-020
919-09-05,little_porn,,,,,,hilly_dale,We were enemies about everything. Except this. Except the silence.,EV-919-012
750-03-10,kelleth_trove,,Written specifications so complete that any competent illustrator could render a subject without ever seeing it,,,,capital_archives.Wing-M,Trove's insight came while attempting to document Yeller. 'This is not imagination. This is translation.',EV-750-001
400-01-20,mellick_orn,,,,,,capital,"Foundation of the first of the Four Illustration Schools. Emphasized clean precise lines, uniform line weight, minimal ornamentation.",EV-400-001
520-04-12,sera_lindahl,,,,,,capital,"Second of the Four Illustration Schools. Response to Geometric rigidity. Variable line weight, flowing curves, nature-inspired forms.",EV-520-001
610-07-05,torven_gull,,,,,,capital,"Third of the Four Illustration Schools. Developed elevation encoding, terrain metaphors, and the topology-as-landscape approach.",EV-610-001
720-09-18,alleth_vorn,,,,,,capital_archives,Fourth of the Four Illustration Schools. Alleth Vorn founded this school to address the challenge of visualizing abstract concepts.,EV-720-001
748-02-15,pollus_brent,,,,,,capital,Integration of taxonomic and artistic approaches to creature iconography.,EV-748-001
725-03-22,alleth_vorn,,,,,,capital_archives,Systematic framework for matching abstract concepts to appropriate visualization strategies.,EV-725-001
730-05-10,notation_scribes_council,,Standard notation for N/S/W coordinates acknowledging the absence of East,,,,capital_archives,Formal notation system accommodating Densworld's three-directional spatial reality.,EV-730-002
691-08-12,venn_tessik,,Identification of core principles that must be preserved for translation to maintain tradition character,,,,capital_archives.Wing-M,Framework for determining which elements of a visual tradition are essential vs. incidental.,EV-691-001
695-06-05,venn_tessik,,Translation goal is output capturing essential character of tradition without requiring knowledge of original terms,,,,capital_archives.Wing-M,Tessik's principle that perfect translation is impossible but functional equivalence is achievable.,EV-695-001
701-02-20,venn_tessik,,,,,,capital_archives.Wing-M,Classification system enabling consistent critique and refinement of visual specifications.,EV-701-001
705-11-08,venn_tessik,,,,,,capital_archives.Wing-M,Formalization of iterative refinement methodology for visual specification.,EV-705-001
758-03-15,kelleth_trove,,,,,,capital_archives.Wing-M,Trove's synthesis style became the default for Basin Topology visualizations and formal Archive branding.,EV-758-001
768-04-30,kelleth_trove,,,,,,capital_archives.Wing-M,Trove's framework for strategic visual investment in documentation projects.,EV-768-001
768-01-10,oracle_tessyn_grell,,How the Oracle says 'no' teaches as much as what it says 'yes' to,,,,capital_archives.Oracle-Chamber,"Grell developed refusal patterns that redirect rather than reject. Her work established that Oracles are teachers, not merely gatekeepers.",EV-768-002
690-02-14,indexer_pell_carten,,Narrative ore can be decomposed into structured facts without losing essential meaning,,,,capital_archives.Catalog-Wing,"Carten proposed that manuscripts could yield tables—creatures, places, events, relationships. Critics argued structure imposes interpretation. Carten countered: 'All reading is interpretation. At least tables are honest about what they select.'",EV-690-001
698-10-25,indexer_pell_carten,,Column names teach. Types constrain. The schema itself is an interpretation of the world.,,,,capital_archives.Catalog-Wing,Strand pushed Carten to articulate why the index was shaped as it was. Their dialogue produced the first Schema Philosophy document—a rationale for structural choices.,EV-698-001
715-04-07,template_scribe_hesta_mell,,Every world has implicit patterns that define what 'belongs'—these can be encoded and taught,,,,capital_archives.Scribe-Hall,Mell observed that junior scribes produced inconsistent records. She began documenting patterns that distinguished authentic Densworld content from imposters.,EV-715-001
735-05-22,archivist_kellum_voss,,Every access decision navigates between generosity and protection—both are goods,,,,capital_archives.Great-Hall,"The three architects of Oracle, Catalog, and Forge convened to articulate what they had learned. The Fundamental Tension became the central principle of access architecture.",EV-735-002
744-04-17,archivist_mira_strand,,,,,,capital_archives.Great-Hall,"Strand proposed three models for managing what counts as 'real' in a world. The Archives chose Curated Canon—submissions reviewed by qualified staff, some promoted to official status.",EV-744-001
895-03-22,erris_pol,Form Library Hypothesis,All possible Forms pre-exist in an abstract Library; creatures are readers who discover Forms rather than authors who create them,convergent evolution,geometric,prime number architecture,capital.university,Pol proposes the Form Library as foundational geometric ontology. Forms as pre-existing attractors in a latent space.,EV-895-005
722-11-25,,Visual Proof Methodology,Mathematical truths can be grasped through properly constructed visual representations,,,,capital.cartographers_guild,"Establishes visual proof as valid mathematical method, essential for AI image generation approach in the course.",EV-722-003
895-08-14,erris_pol,Forms and the Dens,The Dens as region where Forms become unstable,creature instability near boundary,,,capital.university,Pol extends Form Library theory to explain Dens phenomena. Forms are not merely discovered but can be destabilized by certain conditions.,EV-895-006
892-06-15,tessery_vold,,Objects are fully determined by how other objects probe them,,,,western_archive,First statement of the Probing Theorem. Vold's foundational insight that entities are defined relationally.,EV-892-005
