failure_id,failure_name,delegation_id,delegator_id,delegate_id,task_type,failure_type,failure_severity,failure_year,detection_delay_days,root_cause,preventable,prevention_method,trust_change,federation_impact,cascade_effects,affected_agents_count,recovery_attempted,recovery_method,recovery_success,recovery_duration_days,lesson_category,lesson_learned,documented_year,documenter,documentation_source,confidence,notes
TF-0019,Crew Task Failure 936,,AG-0028,AG-0198,resource,communication_failure,severe,865,834,unknown,True,goal alignment verification,trust_destroyed,minor_disruption,False,459,True,redundancy_activation,failed,630,communication_protocols,This failure demonstrated the importance of communication protocols,914,Archive Survey Team,testimony,0.88,
TF-0020,Mill Mission Breakdown 931,,AG-0012,AG-0204,response,misunderstanding,moderate,918,520,communication_breakdown,True,,trust_unchanged,minor_disruption,False,396,True,delegate_replacement,partial_recovery,148,communication_protocols,This failure demonstrated the importance of communication protocols,915,Boundary Commission,institutional_record,0.74,
TF-0021,Survey Mission Collapse 928,DE-0274,AG-0092,AG-0343,information,misunderstanding,significant,894,91,insufficient_resources,True,,trust_destroyed,minor_disruption,False,129,True,task_reassignment,failed,556,communication_protocols,This failure demonstrated the importance of communication protocols,912,T. Mord,institutional_record,0.73,
TF-0022,Archive Mission Breakdown 923,DE-0149,AG-0043,AG-0260,decision,misunderstanding,significant,931,655,goal_conflict,False,redundancy,trust_decreased,partial_dissolution,False,234,True,task_reassignment,full_recovery,260,communication_protocols,This failure demonstrated the importance of communication protocols,927,M. Strand,institutional_record,0.83,
TF-0023,Archive Project Collapse 933,DE-0267,AG-0050,AG-0357,coordination,communication_failure,severe,899,187,misclassified_competency,False,clearer communication,trust_decreased,significant_damage,False,676,True,delegate_replacement,failed,684,communication_protocols,This failure demonstrated the importance of communication protocols,924,Boundary Commission,institutional_record,0.8,
TF-0024,Mill Project Collapse 908,DE-0096,AG-0083,AG-0124,coordination,cascade_failure,moderate,859,393,communication_breakdown,True,monitoring,trust_destroyed,no_impact,False,88,True,redundancy_activation,partial_recovery,92,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,936,T. Mord,direct_observation,0.71,
TF-0025,Mill Mission Loss 902,DE-0095,AG-0094,AG-0391,protection,misunderstanding,minor,894,120,trust_misplaced,False,,trust_rebuilt,no_impact,True,109,True,task_reassignment,partial_recovery,316,communication_protocols,This failure demonstrated the importance of communication protocols,916,Archive Survey Team,institutional_record,0.63,
TF-0026,Crew Project Breakdown 910,,AG-0028,AG-0125,protection,misunderstanding,moderate,856,78,goal_conflict,True,,trust_unchanged,minor_disruption,False,248,True,redundancy_activation,failed,214,communication_protocols,This failure demonstrated the importance of communication protocols,915,Klutch CC Research,testimony,0.79,
TF-0027,Colony Project Breakdown 907,,AG-0012,AG-0123,maintenance,misunderstanding,catastrophic,874,1201,trust_misplaced,True,,trust_destroyed,significant_damage,False,625,True,delegate_replacement,failed,146,communication_protocols,This failure demonstrated the importance of communication protocols,916,Colony Observation Unit,post_mortem_analysis,0.68,
TF-0028,Crew Task Failure 913,DE-0094,AG-0094,AG-0322,coordination,context_failure,severe,874,657,trust_misplaced,True,,trust_decreased,no_impact,False,434,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,913,Klutch CC Research,post_mortem_analysis,0.86,
TF-0029,Survey Task Loss 901,,AG-0032,AG-0280,maintenance,defection,moderate,872,279,misclassified_competency,False,,trust_unchanged,no_impact,False,169,True,delegate_replacement,failed,259,align_goals,This failure demonstrated the importance of align goals,919,Colony Observation Unit,institutional_record,0.71,
TF-0030,Survey Project Failure 916,DE-0106,AG-0017,AG-0113,construction,cascade_failure,significant,880,219,goal_conflict,False,,trust_decreased,no_impact,False,192,True,delegate_replacement,failed,283,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,917,T. Crost,institutional_record,0.73,
TF-0031,Survey Document Collapse 915,,AG-0040,AG-0239,resource,context_failure,severe,904,534,context_change,False,,trust_decreased,significant_damage,False,676,True,task_reassignment,failed,88,context_awareness,This failure demonstrated the importance of context awareness,919,Boundary Commission,direct_observation,0.81,
TF-0032,Colony Document Collapse 919,,AG-0027,AG-0309,resource,misunderstanding,moderate,937,647,trust_misplaced,True,,trust_decreased,minor_disruption,False,4,True,federation_restructuring,full_recovery,434,communication_protocols,This failure demonstrated the importance of communication protocols,933,Boundary Commission,institutional_record,0.8,
TF-0033,Colony Project Failure 929,,AG-0097,AG-0216,maintenance,communication_failure,significant,887,304,unknown,False,redundancy,trust_destroyed,significant_damage,False,101,False,,not_attempted,,communication_protocols,This failure demonstrated the importance of communication protocols,922,M. Strand,direct_observation,0.63,
TF-0034,Crew Task Failure 900,DE-0176,AG-0053,AG-0229,coordination,context_failure,significant,875,508,misclassified_competency,False,,trust_decreased,partial_dissolution,False,18,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,927,T. Crost,institutional_record,0.72,
TF-0035,Archive Document Collapse 903,,AG-0087,AG-0153,decision,misunderstanding,significant,890,38,goal_conflict,True,,trust_decreased,minor_disruption,True,355,False,,not_attempted,,communication_protocols,This failure demonstrated the importance of communication protocols,938,Colony Observation Unit,post_mortem_analysis,0.68,
TF-0036,Mill Mission Collapse 923,,AG-0005,AG-0298,response,execution_failure,minor,891,120,unknown,True,monitoring,trust_rebuilt,no_impact,False,113,True,delegate_replacement,failed,892,monitor_delegates,This failure demonstrated the importance of monitor delegates,919,Independent Observer,testimony,0.73,
TF-0037,Mill Mission Collapse 904,DE-0065,AG-0013,AG-0285,response,context_failure,catastrophic,905,1189,integration_loss,False,,trust_decreased,minor_disruption,True,905,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,939,Klutch CC Research,post_mortem_analysis,0.79,
TF-0038,Archive Project Breakdown 915,DE-0211,AG-0100,AG-0150,maintenance,defection,significant,870,342,trust_misplaced,False,clearer communication,trust_decreased,minor_disruption,False,107,False,,not_attempted,,align_goals,This failure demonstrated the importance of align goals,919,Archive Survey Team,testimony,0.88,
TF-0039,Crew Mission Loss 920,DE-0025,AG-0025,AG-0241,information,context_failure,significant,885,610,insufficient_resources,True,clearer communication,trust_unchanged,significant_damage,False,219,True,redundancy_activation,failed,519,context_awareness,This failure demonstrated the importance of context awareness,927,Archive Survey Team,testimony,0.75,
TF-0040,Mill Task Loss 931,,AG-0070,AG-0310,maintenance,competency_failure,moderate,858,212,unknown,True,clearer communication,trust_unchanged,minor_disruption,False,133,True,redundancy_activation,partial_recovery,340,verify_competency,This failure demonstrated the importance of verify competency,928,M. Strand,testimony,0.84,
TF-0041,Mill Task Failure 917,DE-0137,AG-0017,AG-0262,protection,defection,significant,908,353,context_change,True,,trust_unchanged,minor_disruption,True,116,True,redundancy_activation,partial_recovery,302,align_goals,This failure demonstrated the importance of align goals,914,P. Anster,institutional_record,0.91,
TF-0042,Archive Document Failure 934,DE-0283,AG-0005,AG-0331,maintenance,execution_failure,minor,937,183,context_change,False,monitoring,trust_destroyed,minor_disruption,False,94,False,,not_attempted,,monitor_delegates,This failure demonstrated the importance of monitor delegates,937,Boundary Commission,institutional_record,0.64,
TF-0043,Colony Document Failure 920,,AG-0058,AG-0393,maintenance,competency_failure,severe,875,724,context_change,True,,trust_decreased,minor_disruption,True,470,True,task_reassignment,partial_recovery,751,verify_competency,This failure demonstrated the importance of verify competency,933,Colony Observation Unit,institutional_record,0.81,
TF-0044,Colony Task Loss 937,DE-0276,AG-0050,AG-0203,resource,competency_failure,severe,893,100,goal_conflict,False,better competency assessment,trust_rebuilt,minor_disruption,True,137,True,federation_restructuring,failed,453,verify_competency,This failure demonstrated the importance of verify competency,921,T. Mord,institutional_record,0.95,
TF-0045,Colony Project Loss 917,,AG-0084,AG-0255,maintenance,execution_failure,moderate,867,87,context_change,False,monitoring,trust_unchanged,no_impact,False,75,True,trust_rebuilding,failed,823,monitor_delegates,This failure demonstrated the importance of monitor delegates,913,P. Anster,testimony,0.87,
TF-0046,Survey Task Collapse 903,DE-0295,AG-0030,AG-0384,protection,execution_failure,significant,938,186,communication_breakdown,True,,trust_rebuilt,significant_damage,True,290,True,task_reassignment,partial_recovery,291,monitor_delegates,This failure demonstrated the importance of monitor delegates,934,P. Anster,testimony,0.63,
TF-0047,Mill Project Failure 916,,AG-0016,AG-0165,decision,abandonment,moderate,869,572,goal_conflict,True,,trust_destroyed,significant_damage,False,104,True,delegate_replacement,full_recovery,390,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,930,P. Anster,institutional_record,0.78,
TF-0048,Archive Task Failure 938,,AG-0045,AG-0140,response,competency_failure,moderate,880,659,communication_breakdown,False,,trust_rebuilt,minor_disruption,False,294,True,task_reassignment,failed,551,verify_competency,This failure demonstrated the importance of verify competency,918,P. Anster,institutional_record,0.83,
TF-0049,Mill Mission Collapse 928,,AG-0014,AG-0165,information,communication_failure,moderate,871,33,communication_breakdown,True,monitoring,trust_destroyed,no_impact,False,108,True,redundancy_activation,partial_recovery,271,communication_protocols,This failure demonstrated the importance of communication protocols,912,Archive Survey Team,post_mortem_analysis,0.87,
TF-0050,Mill Project Collapse 908,,AG-0070,AG-0288,construction,execution_failure,significant,888,608,communication_breakdown,True,,trust_unchanged,significant_damage,False,181,True,federation_restructuring,full_recovery,214,monitor_delegates,This failure demonstrated the importance of monitor delegates,921,Archive Survey Team,post_mortem_analysis,0.68,
TF-0051,Mill Document Loss 914,DE-0054,AG-0058,AG-0135,protection,communication_failure,moderate,927,353,integration_loss,True,goal alignment verification,trust_rebuilt,minor_disruption,False,239,True,task_reassignment,partial_recovery,800,communication_protocols,This failure demonstrated the importance of communication protocols,919,T. Crost,post_mortem_analysis,0.8,
TF-0052,Survey Project Loss 903,,AG-0078,AG-0360,resource,defection,moderate,886,691,unknown,False,clearer communication,trust_decreased,no_impact,False,280,True,redundancy_activation,partial_recovery,106,align_goals,This failure demonstrated the importance of align goals,913,P. Anster,testimony,0.82,
TF-0053,Crew Document Failure 916,,AG-0094,AG-0258,protection,execution_failure,significant,870,388,goal_conflict,True,,trust_decreased,partial_dissolution,True,511,True,trust_rebuilding,failed,868,monitor_delegates,This failure demonstrated the importance of monitor delegates,919,Colony Observation Unit,direct_observation,0.7,
TF-0054,Survey Mission Loss 937,DE-0098,AG-0025,AG-0108,construction,context_failure,moderate,893,301,misclassified_competency,True,redundancy,trust_decreased,significant_damage,False,151,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,922,Klutch CC Research,post_mortem_analysis,0.71,
TF-0055,Crew Project Collapse 911,DE-0098,AG-0061,AG-0239,maintenance,misunderstanding,significant,883,151,misclassified_competency,True,,trust_destroyed,minor_disruption,False,223,True,redundancy_activation,failed,752,communication_protocols,This failure demonstrated the importance of communication protocols,912,M. Strand,institutional_record,0.93,
TF-0056,Crew Mission Loss 906,DE-0291,AG-0082,AG-0268,protection,execution_failure,catastrophic,872,322,insufficient_resources,False,,trust_destroyed,significant_damage,False,126,True,delegate_replacement,full_recovery,78,monitor_delegates,This failure demonstrated the importance of monitor delegates,937,Independent Observer,direct_observation,0.94,
TF-0057,Survey Mission Collapse 929,DE-0034,AG-0098,AG-0175,construction,abandonment,significant,940,366,trust_misplaced,False,clearer communication,trust_unchanged,partial_dissolution,False,539,True,delegate_replacement,failed,881,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,915,Klutch CC Research,institutional_record,0.61,
TF-0058,Crew Mission Failure 914,,AG-0098,AG-0212,decision,abandonment,minor,921,316,trust_misplaced,True,,trust_decreased,minor_disruption,False,11,True,federation_restructuring,failed,834,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,912,M. Strand,institutional_record,0.75,
TF-0059,Archive Project Failure 938,DE-0212,AG-0015,AG-0209,coordination,abandonment,significant,932,65,insufficient_resources,True,,trust_destroyed,partial_dissolution,False,498,True,delegate_replacement,failed,239,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,913,O. Venn,institutional_record,0.65,
TF-0060,Archive Document Breakdown 937,DE-0229,AG-0044,AG-0259,decision,abandonment,significant,888,134,integration_loss,True,,trust_decreased,partial_dissolution,False,438,True,trust_rebuilding,full_recovery,901,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,922,O. Venn,testimony,0.68,
TF-0061,Colony Task Failure 907,,AG-0100,AG-0265,resource,communication_failure,catastrophic,875,802,context_change,False,monitoring,trust_unchanged,minor_disruption,True,308,True,redundancy_activation,failed,628,communication_protocols,This failure demonstrated the importance of communication protocols,929,Colony Observation Unit,institutional_record,0.62,
TF-0062,Crew Mission Failure 926,DE-0116,AG-0071,AG-0310,response,cascade_failure,minor,869,75,unknown,True,monitoring,trust_destroyed,no_impact,True,185,False,,not_attempted,,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,924,P. Anster,post_mortem_analysis,0.69,
TF-0063,Mill Mission Loss 930,DE-0132,AG-0013,AG-0397,maintenance,competency_failure,minor,934,19,context_change,True,,trust_decreased,significant_damage,False,153,False,,not_attempted,,verify_competency,This failure demonstrated the importance of verify competency,938,M. Strand,institutional_record,0.77,
TF-0064,Archive Mission Failure 926,DE-0245,AG-0056,AG-0257,resource,cascade_failure,significant,862,33,unknown,True,clearer communication,trust_rebuilt,minor_disruption,False,185,False,,not_attempted,,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,914,T. Crost,testimony,0.95,
TF-0065,Archive Mission Loss 901,DE-0149,AG-0077,AG-0186,resource,competency_failure,significant,939,359,misclassified_competency,True,better competency assessment,trust_decreased,significant_damage,False,110,True,redundancy_activation,full_recovery,973,verify_competency,This failure demonstrated the importance of verify competency,934,Independent Observer,direct_observation,0.77,
TF-0066,Colony Mission Collapse 912,DE-0178,AG-0069,AG-0179,construction,misunderstanding,significant,896,95,integration_loss,True,better competency assessment,trust_destroyed,significant_damage,True,249,True,trust_rebuilding,partial_recovery,630,communication_protocols,This failure demonstrated the importance of communication protocols,932,Boundary Commission,institutional_record,0.94,
TF-0067,Colony Document Failure 923,,AG-0004,AG-0391,information,defection,significant,891,33,unknown,False,,trust_decreased,minor_disruption,True,4,True,redundancy_activation,partial_recovery,310,align_goals,This failure demonstrated the importance of align goals,938,Archive Survey Team,direct_observation,0.89,
TF-0068,Crew Project Breakdown 917,DE-0254,AG-0100,AG-0233,protection,competency_failure,significant,867,102,context_change,True,,trust_destroyed,minor_disruption,False,381,False,,not_attempted,,verify_competency,This failure demonstrated the importance of verify competency,933,T. Mord,post_mortem_analysis,0.65,
TF-0069,Crew Mission Failure 927,DE-0114,AG-0071,AG-0319,information,execution_failure,moderate,926,212,misclassified_competency,True,monitoring,trust_destroyed,significant_damage,True,19,True,federation_restructuring,full_recovery,227,monitor_delegates,This failure demonstrated the importance of monitor delegates,919,P. Anster,direct_observation,0.61,
TF-0070,Archive Task Collapse 915,DE-0185,AG-0066,AG-0286,maintenance,misunderstanding,moderate,910,452,context_change,True,,trust_destroyed,minor_disruption,False,64,True,delegate_replacement,full_recovery,615,communication_protocols,This failure demonstrated the importance of communication protocols,921,T. Crost,testimony,0.91,
TF-0071,Crew Mission Breakdown 909,DE-0097,AG-0042,AG-0215,decision,context_failure,significant,921,630,unknown,True,redundancy,trust_decreased,significant_damage,False,439,True,trust_rebuilding,partial_recovery,402,context_awareness,This failure demonstrated the importance of context awareness,930,Boundary Commission,institutional_record,0.82,
TF-0072,Crew Task Failure 905,DE-0196,AG-0031,AG-0382,response,competency_failure,moderate,871,273,integration_loss,True,,trust_destroyed,minor_disruption,False,131,True,delegate_replacement,full_recovery,69,verify_competency,This failure demonstrated the importance of verify competency,934,Klutch CC Research,testimony,0.84,
TF-0073,Archive Document Breakdown 911,,AG-0048,AG-0148,protection,abandonment,significant,937,685,insufficient_resources,False,goal alignment verification,trust_unchanged,minor_disruption,False,74,False,,not_attempted,,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,932,T. Mord,direct_observation,0.82,
TF-0074,Survey Project Collapse 911,,AG-0079,AG-0278,construction,execution_failure,severe,925,38,unknown,False,goal alignment verification,trust_decreased,minor_disruption,False,66,True,federation_restructuring,failed,609,monitor_delegates,This failure demonstrated the importance of monitor delegates,925,Independent Observer,institutional_record,0.63,
TF-0075,Colony Mission Collapse 931,DE-0292,AG-0083,AG-0160,coordination,communication_failure,severe,878,981,integration_loss,True,clearer communication,trust_unchanged,minor_disruption,True,30,True,federation_restructuring,full_recovery,622,communication_protocols,This failure demonstrated the importance of communication protocols,934,Independent Observer,direct_observation,0.72,
TF-0076,Survey Project Failure 921,DE-0170,AG-0039,AG-0328,construction,context_failure,significant,915,618,goal_conflict,False,goal alignment verification,trust_decreased,complete_dissolution,False,6,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,922,M. Strand,post_mortem_analysis,0.87,
TF-0077,Survey Document Breakdown 922,DE-0094,AG-0028,AG-0207,response,competency_failure,significant,852,358,context_change,False,goal alignment verification,trust_destroyed,no_impact,False,76,True,federation_restructuring,partial_recovery,274,verify_competency,This failure demonstrated the importance of verify competency,932,P. Anster,institutional_record,0.91,
TF-0078,Crew Task Failure 920,DE-0020,AG-0002,AG-0229,coordination,abandonment,moderate,926,523,goal_conflict,True,,trust_decreased,minor_disruption,False,110,False,,not_attempted,,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,917,T. Crost,institutional_record,0.8,
TF-0079,Archive Document Failure 919,,AG-0023,AG-0120,decision,defection,significant,862,215,integration_loss,True,monitoring,trust_decreased,significant_damage,False,311,True,delegate_replacement,partial_recovery,449,align_goals,This failure demonstrated the importance of align goals,912,Klutch CC Research,institutional_record,0.9,
TF-0080,Survey Task Loss 914,DE-0181,AG-0087,AG-0134,coordination,communication_failure,catastrophic,931,84,goal_conflict,True,,trust_rebuilt,minor_disruption,True,513,True,delegate_replacement,partial_recovery,188,communication_protocols,This failure demonstrated the importance of communication protocols,924,O. Venn,testimony,0.79,
TF-0081,Colony Project Loss 931,,AG-0004,AG-0238,response,context_failure,severe,914,901,insufficient_resources,True,,trust_rebuilt,minor_disruption,True,625,True,task_reassignment,partial_recovery,686,context_awareness,This failure demonstrated the importance of context awareness,930,T. Mord,biological_observation,0.89,
TF-0082,Mill Project Collapse 933,DE-0204,AG-0025,AG-0205,maintenance,cascade_failure,moderate,893,628,misclassified_competency,False,,trust_decreased,partial_dissolution,False,195,True,redundancy_activation,partial_recovery,462,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,939,O. Venn,direct_observation,0.92,
TF-0083,Mill Document Failure 923,,AG-0059,AG-0184,information,defection,significant,923,15,misclassified_competency,True,,trust_destroyed,complete_dissolution,False,522,True,delegate_replacement,failed,416,align_goals,This failure demonstrated the importance of align goals,917,T. Crost,testimony,0.85,
TF-0084,Archive Task Breakdown 927,DE-0228,AG-0006,AG-0330,construction,execution_failure,moderate,881,212,communication_breakdown,True,goal alignment verification,trust_decreased,minor_disruption,False,171,True,federation_restructuring,failed,638,monitor_delegates,This failure demonstrated the importance of monitor delegates,927,Klutch CC Research,testimony,0.91,
TF-0085,Survey Mission Failure 924,DE-0128,AG-0027,AG-0139,construction,communication_failure,minor,896,269,goal_conflict,True,monitoring,trust_decreased,minor_disruption,False,45,True,trust_rebuilding,partial_recovery,854,communication_protocols,This failure demonstrated the importance of communication protocols,932,Klutch CC Research,institutional_record,0.8,
TF-0086,Archive Task Collapse 913,DE-0118,AG-0076,AG-0350,response,abandonment,significant,913,392,trust_misplaced,True,better competency assessment,trust_destroyed,significant_damage,False,20,False,,not_attempted,,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,913,P. Anster,testimony,0.82,
TF-0087,Mill Project Loss 905,DE-0286,AG-0053,AG-0326,information,context_failure,severe,932,471,communication_breakdown,True,monitoring,trust_decreased,partial_dissolution,True,716,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,935,Independent Observer,testimony,0.86,
TF-0088,Archive Mission Loss 926,,AG-0047,AG-0276,coordination,communication_failure,significant,907,409,insufficient_resources,True,,trust_rebuilt,minor_disruption,False,306,False,,not_attempted,,communication_protocols,This failure demonstrated the importance of communication protocols,938,Klutch CC Research,institutional_record,0.83,
TF-0089,Colony Mission Breakdown 914,DE-0041,AG-0001,AG-0281,protection,defection,significant,882,692,insufficient_resources,False,,trust_destroyed,significant_damage,True,220,True,task_reassignment,failed,525,align_goals,This failure demonstrated the importance of align goals,931,T. Crost,post_mortem_analysis,0.79,
TF-0090,Mill Document Loss 928,DE-0054,AG-0017,AG-0324,maintenance,execution_failure,significant,878,662,communication_breakdown,False,better competency assessment,trust_decreased,minor_disruption,False,81,True,trust_rebuilding,failed,537,monitor_delegates,This failure demonstrated the importance of monitor delegates,929,Klutch CC Research,direct_observation,0.66,
TF-0091,Mill Document Loss 934,DE-0184,AG-0079,AG-0380,information,competency_failure,significant,930,535,insufficient_resources,False,better competency assessment,trust_destroyed,minor_disruption,False,117,False,,not_attempted,,verify_competency,This failure demonstrated the importance of verify competency,938,Boundary Commission,institutional_record,0.74,
TF-0092,Mill Mission Failure 927,,AG-0023,AG-0239,protection,competency_failure,significant,909,58,trust_misplaced,True,monitoring,trust_destroyed,minor_disruption,True,429,False,,not_attempted,,verify_competency,This failure demonstrated the importance of verify competency,923,Boundary Commission,testimony,0.78,
TF-0093,Archive Task Loss 937,DE-0122,AG-0075,AG-0188,decision,context_failure,minor,880,363,insufficient_resources,False,monitoring,trust_destroyed,significant_damage,True,10,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,918,Klutch CC Research,institutional_record,0.66,
TF-0094,Colony Project Collapse 916,,AG-0052,AG-0288,resource,abandonment,moderate,920,544,integration_loss,True,,trust_decreased,significant_damage,False,105,True,trust_rebuilding,partial_recovery,199,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,926,Independent Observer,direct_observation,0.71,
TF-0095,Mill Project Collapse 926,DE-0029,AG-0085,AG-0288,maintenance,competency_failure,moderate,915,427,communication_breakdown,True,,trust_unchanged,minor_disruption,False,116,False,,not_attempted,,verify_competency,This failure demonstrated the importance of verify competency,928,T. Crost,institutional_record,0.73,
TF-0096,Survey Project Breakdown 906,,AG-0034,AG-0328,maintenance,misunderstanding,significant,881,729,unknown,True,redundancy,trust_decreased,minor_disruption,False,504,True,delegate_replacement,full_recovery,776,communication_protocols,This failure demonstrated the importance of communication protocols,928,Independent Observer,institutional_record,0.6,
