pair_id,entity_a_id,entity_a_name,entity_a_type,entity_b_id,entity_b_name,entity_b_type,relationship_type,tension_score,euclidean_distance,shared_neighbors_count,school_alignment_a,school_alignment_b,school_match,tross_cluster_assignment
PAIR-0074,PLC-002,Mirado,place,SCH-006,Fibon Arrel,scholar,based_at,0.58,4.8,1,none,pebble_school,False,cluster_cross_6
PAIR-0075,PLC-002,Mirado,place,SCH-007,Eulr Voss,scholar,based_at,0.68,4.2,1,none,water_school,False,cluster_cross_6
PAIR-0076,PLC-003,Yeller Quarry,place,CR002,Stone Spine Lizard,creature,habitat,0.78,2.5,0,none,none,True,cluster_place_3
PAIR-0077,PLC-003,Yeller Quarry,place,CR007,Metal-Beaked Finch,creature,habitat,0.75,2.8,0,none,none,True,cluster_place_3
PAIR-0078,PLC-003,Yeller Quarry,place,CR024,Quarry Moth,creature,habitat,0.82,2.2,0,none,none,True,cluster_place_3
PAIR-0079,PLC-005,Dead River,place,SCH-030,Gareth Poll,scholar,maps,0.55,7.5,0,none,none,True,cluster_cross_3
PAIR-0080,PLC-006,The Dens,place,SCH-027,Callis Fenn,scholar,disappeared_in,-0.45,8.8,0,none,literalist,False,cluster_cross_7
PAIR-0081,SCH-001,Grigsu Haldo,scholar,SCH-004,Boffa Trent,scholar,colleague,0.71,2.0,4,stone_school,water_school,False,cluster_alpha
PAIR-0082,SCH-002,Yasho Krent,scholar,SCH-004,Boffa Trent,scholar,colleague,0.75,1.8,4,water_school,water_school,True,cluster_alpha
PAIR-0083,SCH-002,Yasho Krent,scholar,SCH-003,Vagabu Olt,scholar,colleague,0.70,2.1,4,water_school,none,False,cluster_alpha
PAIR-0084,SCH-003,Vagabu Olt,scholar,SCH-004,Boffa Trent,scholar,colleague,0.72,2.0,4,none,water_school,False,cluster_alpha
PAIR-0085,SCH-003,Vagabu Olt,scholar,SCH-005,Mink Pavar,scholar,acquaintance,0.25,3.8,3,none,water_school,False,cluster_alpha
PAIR-0086,SCH-004,Boffa Trent,scholar,SCH-005,Mink Pavar,scholar,colleague,0.55,2.8,3,water_school,water_school,True,cluster_alpha
PAIR-0087,SCH-013,Pollux Dann,scholar,SCH-014,Renna Caw,scholar,colleague,0.72,1.8,2,none,water_school,False,cluster_delta
PAIR-0088,VRN-001,Vornis Keth,scholar,PMK-001,Pemlik Tross,scholar,contemporary,0.32,4.5,0,geometric,graph,False,cluster_lambda
PAIR-0089,VRN-001,Vornis Keth,scholar,ERP-001,Erris Pol,scholar,contemporary,0.28,4.8,0,geometric,morphospace,False,cluster_lambda
PAIR-0090,PMK-001,Pemlik Tross,scholar,ERP-001,Erris Pol,scholar,contemporary,0.35,4.2,0,graph,morphospace,False,cluster_lambda
PAIR-0091,VRN-001,Vornis Keth,scholar,PLC-006,The Dens,place,studies,0.55,6.8,0,geometric,none,False,cluster_cross_8
PAIR-0092,PMK-001,Pemlik Tross,scholar,JKS-001,Jackson,person,cannot_classify,-0.22,9.0,0,graph,none,False,cluster_anomaly
PAIR-0093,ERP-001,Erris Pol,scholar,JKS-001,Jackson,person,cannot_classify,-0.25,9.2,0,morphospace,none,False,cluster_anomaly
PAIR-0094,KLV-001,Kella Vorn,scholar,JKS-001,Jackson,person,cannot_classify,-0.28,8.8,0,failure,none,False,cluster_anomaly
PAIR-0095,RLV-001,Rellen Voss,scholar,VRN-001,Vornis Keth,scholar,builds_on,0.72,2.5,1,navigation,geometric,False,cluster_lambda
PAIR-0096,SRM-001,Sareth Moll,scholar,VRN-001,Vornis Keth,scholar,parallels,0.45,3.5,0,memory,geometric,False,cluster_lambda
PAIR-0097,TSM-001,Tessyn Mord,scholar,PMK-001,Pemlik Tross,scholar,extends,0.58,3.0,0,federation,graph,False,cluster_lambda
PAIR-0098,ACV-001,Archon Vells,scholar,ERP-001,Erris Pol,scholar,complements,0.52,3.2,0,ingression,morphospace,False,cluster_lambda
PAIR-0099,MRS-001,Mira Strand,scholar,SRM-001,Sareth Moll,scholar,colleague,0.62,2.8,1,cognitive,memory,False,cluster_mu
PAIR-0100,MRS-001,Mira Strand,scholar,JKS-001,Jackson,person,cannot_classify,-0.20,9.1,0,cognitive,none,False,cluster_anomaly
PAIR-0101,PLB-001,Pollus Brent,scholar,CR019,Nothing Bird,creature,studies,0.65,4.5,0,creature_grammar,none,False,cluster_creature_cross
PAIR-0102,PLB-001,Pollus Brent,scholar,CR020,Pocket Bird,creature,studies,0.65,4.5,0,creature_grammar,none,False,cluster_creature_cross
PAIR-0103,PLB-001,Pollus Brent,scholar,CR021,Whistle Bird,creature,studies,0.65,4.5,0,creature_grammar,none,False,cluster_creature_cross
PAIR-0104,TBC-001,Tobin Creel,scholar,VRN-001,Vornis Keth,scholar,observes,0.42,3.8,0,polycomputing,geometric,False,cluster_lambda
PAIR-0105,WNK-001,Wender Koss,scholar,ERP-001,Erris Pol,scholar,extends,0.55,3.1,0,pattern,morphospace,False,cluster_lambda
PAIR-0106,PLA-001,Pell Anster,scholar,TSM-001,Tessyn Mord,scholar,hierarchy,0.48,3.4,0,tame,federation,False,cluster_lambda
PAIR-0107,PLA-001,Pell Anster,scholar,JKS-001,Jackson,person,cannot_classify,-0.32,8.5,0,tame,none,False,cluster_anomaly
PAIR-0108,KLV-001,Kella Vorn,scholar,RLV-001,Rellen Voss,scholar,documents,0.52,3.0,0,failure,navigation,False,cluster_lambda
PAIR-0109,KLV-001,Kella Vorn,scholar,TSM-001,Tessyn Mord,scholar,documents,0.48,3.2,0,failure,federation,False,cluster_lambda
PAIR-0110,SCH-001,Grigsu Haldo,scholar,CR016,Tunnel Cat,creature,studies,0.45,5.2,0,stone_school,none,False,cluster_cross_1
PAIR-0111,SLV-001,Solta Venn,scholar,SCH-005,Mink Pavar,scholar,investigates,-0.42,5.0,0,provenance,water_school,False,cluster_archive
PAIR-0112,SLV-001,Solta Venn,scholar,SCH-022,Mara Yent,scholar,colleague,0.58,2.8,1,provenance,none,False,cluster_archive
PAIR-0113,LRV-001,Lurra Venn,scholar,MDR-001,Meck Drune,trader,opposed_by,-0.55,4.5,0,archetype,anti_pattern,False,cluster_trader
PAIR-0114,LRV-001,Lurra Venn,scholar,JKS-001,Jackson,person,cannot_classify,-0.35,8.2,0,archetype,none,False,cluster_anomaly
PAIR-0115,MDR-001,Meck Drune,trader,JKS-001,Jackson,person,similarity,0.28,3.5,0,anti_pattern,none,False,cluster_anomaly
PAIR-0116,SCH-003,Vagabu Olt,scholar,LRV-001,Lurra Venn,scholar,data_source,0.72,2.2,0,none,archetype,False,cluster_trader
PAIR-0117,OLM-001,Old Murch,philosopher,LRV-001,Lurra Venn,scholar,skeptic_of,-0.38,4.0,1,skeptics,archetype,False,cluster_trader
PAIR-0118,OLM-001,Old Murch,philosopher,SCH-001,Grigsu Haldo,scholar,skeptic_of,-0.35,4.2,0,skeptics,stone_school,False,cluster_nu
PAIR-0119,CR001,Leatherback Burrower,creature,PLC-003,Yeller Quarry,place,habitat,0.72,3.0,0,none,none,True,cluster_place_3
PAIR-0120,CR011,Cave Bat,creature,PLC-003,Yeller Quarry,place,habitat,0.78,2.5,0,none,none,True,cluster_place_3
PAIR-0121,SCH-024,Wen Torval,scholar,CR005,Maw Beast,creature,victim,-0.82,8.0,0,none,none,True,cluster_cross_2
PAIR-0122,SCH-008,Dannkit Rosh,scholar,SCH-039,Renna Gast,scholar,student,0.75,1.6,0,stone_school,stone_school,True,cluster_alpha
PAIR-0123,SCH-001,Grigsu Haldo,scholar,PLC-007,Vellmarsh,place,birthplace,0.65,4.5,0,stone_school,none,False,cluster_cross_9
PAIR-0124,SCH-008,Dannkit Rosh,scholar,PLC-007,Vellmarsh,place,birthplace,0.68,4.2,0,stone_school,none,False,cluster_cross_9
PAIR-0125,SCH-039,Renna Gast,scholar,PLC-007,Vellmarsh,place,birthplace,0.62,4.8,0,stone_school,none,False,cluster_cross_9
PAIR-0126,PLC-007,Vellmarsh,place,PLC-001,Capital,place,trade_route,0.42,8.5,1,none,none,True,cluster_place_1
PAIR-0127,PLC-008,Tripas,place,PLC-001,Capital,place,trade_route,0.55,6.2,2,none,none,True,cluster_place_1
PAIR-0128,PLC-008,Tripas,place,SCH-013,Pollux Dann,scholar,birthplace,0.58,5.5,0,none,none,True,cluster_cross_5
PAIR-0129,PLC-009,Northo,place,SCH-019,Hamund Bress,scholar,birthplace,0.62,5.0,0,none,stone_school,False,cluster_cross_10
PAIR-0130,PLC-009,Northo,place,SCH-031,Tam Whistle,scholar,birthplace,0.58,5.2,0,none,stone_school,False,cluster_cross_10
PAIR-0131,PLC-009,Northo,place,PLC-001,Capital,place,distant,0.22,12.5,0,none,none,True,cluster_place_1
PAIR-0132,PLC-010,Densmok,place,SCH-027,Callis Fenn,scholar,birthplace,0.52,5.8,0,none,literalist,False,cluster_cross_11
PAIR-0133,PLC-010,Densmok,place,SCH-028,Roth Fenn,scholar,birthplace,0.52,5.8,0,none,literalist,False,cluster_cross_11
PAIR-0134,PLC-010,Densmok,place,PLC-006,The Dens,place,near,0.68,4.2,1,none,none,True,cluster_place_4
PAIR-0135,PLC-010,Densmok,place,OLM-001,Old Murch,philosopher,based_at,0.58,5.5,0,none,skeptics,False,cluster_cross_11
PAIR-0136,CR006,Yeller Frog,creature,PLC-003,Yeller Quarry,place,habitat,0.85,1.8,0,none,none,True,cluster_place_3
PAIR-0137,CR016,Tunnel Cat,creature,PLC-003,Yeller Quarry,place,habitat,0.72,2.8,0,none,none,True,cluster_place_3
PAIR-0138,CR022,Witch Creature,creature,PLC-006,The Dens,place,habitat,0.55,4.5,0,none,none,True,cluster_place_4
PAIR-0139,JKS-001,Jackson,person,PLC-001,Capital,place,appears_in,0.15,10.2,0,none,none,True,cluster_anomaly
PAIR-0140,JKS-001,Jackson,person,PLC-003,Yeller Quarry,place,appears_in,0.12,10.5,0,none,none,True,cluster_anomaly
PAIR-0141,JKS-001,Jackson,person,CR005,Maw Beast,creature,unrelated,-0.05,11.2,0,none,none,True,cluster_anomaly
PAIR-0142,JKS-001,Jackson,person,CR019,Nothing Bird,creature,affinity,0.18,8.5,0,none,none,True,cluster_anomaly
PAIR-0143,SCH-009,Colonel Viragu,scholar,SCH-011,Jorkin Mast,scholar,questions,-0.22,6.5,0,none,none,True,cluster_iota
PAIR-0144,SCH-011,Jorkin Mast,scholar,PLC-002,Mirado,place,built,0.85,2.0,0,none,none,True,cluster_cross_6
PAIR-0145,VRN-001,Vornis Keth,scholar,THK-001,Thenna Keth,scholar,ancestor,0.92,0.8,0,geometric,geometric,True,cluster_lambda
PAIR-0146,VRN-001,Vornis Keth,scholar,PRC-001,Prebel Cord,scholar,reconstructed_by,0.78,2.0,1,geometric,reconstruction,False,cluster_lambda
PAIR-0147,PRB-001,Archon Prebel,scholar,VRN-001,Vornis Keth,scholar,debate_opponent,-0.45,4.0,0,breach,geometric,False,cluster_lambda
PAIR-0148,SCH-007,Eulr Voss,scholar,SCH-020,Vera Losh,scholar,mentor_of,0.81,1.4,1,water_school,water_school,True,cluster_gamma
PAIR-0149,SCH-020,Vera Losh,scholar,SCH-029,Nessa Bright,scholar,influences,0.62,2.5,1,water_school,water_school,True,cluster_zeta
PAIR-0150,CR009,Wharver,creature,CR017,Grimslew Fish,creature,ecosystem,0.58,3.2,0,none,none,True,cluster_creature_4
PAIR-0151,SCH-014,Renna Caw,scholar,CR009,Wharver,creature,studies,0.48,5.0,0,water_school,none,False,cluster_cross_2
PAIR-0152,SCH-014,Renna Caw,scholar,CR017,Grimslew Fish,creature,theorizes,0.35,6.2,0,water_school,none,False,cluster_cross_2
PAIR-0153,PMK-001,Pemlik Tross,scholar,SCH-001,Grigsu Haldo,scholar,distant_parallel,0.22,5.5,0,graph,stone_school,False,cluster_xi
PAIR-0154,PMK-001,Pemlik Tross,scholar,SCH-002,Yasho Krent,scholar,distant_parallel,0.25,5.2,0,graph,water_school,False,cluster_xi
PAIR-0155,KRM-001,Kerith Moll,scholar,VRN-001,Vornis Keth,scholar,assessed,0.45,3.5,0,guild,geometric,False,cluster_lambda
PAIR-0156,SCH-033,Venn Horak,scholar,SCH-001,Grigsu Haldo,scholar,knows_of,0.35,4.5,0,none,stone_school,False,cluster_cross_1
PAIR-0157,SCH-034,The Inventor,scholar,SCH-003,Vagabu Olt,scholar,similar_role,0.55,3.0,0,none,none,True,cluster_beta
PAIR-0158,TCS-001,Tennev Crost,scholar,JKS-001,Jackson,person,modeled,-0.42,7.5,0,prediction,none,False,cluster_anomaly
PAIR-0159,TCS-001,Tennev Crost,scholar,LRV-001,Lurra Venn,scholar,parallel_method,0.48,3.2,0,prediction,archetype,False,cluster_trader
PAIR-0160,CR001,Leatherback Burrower,creature,CR025,Deep Borer,creature,habitat_overlap,0.42,3.5,0,none,none,True,cluster_creature_2
PAIR-0161,SCH-012,Hesta Vorn,scholar,CR001,Leatherback Burrower,creature,studies,0.52,4.8,0,none,none,True,cluster_cross_2
PAIR-0162,SCH-012,Hesta Vorn,scholar,CR016,Tunnel Cat,creature,studies,0.58,4.5,0,none,none,True,cluster_cross_2
PAIR-0163,SCH-025,Jara Torval,scholar,CR002,Stone Spine Lizard,creature,studies,0.55,4.6,0,stone_school,none,False,cluster_cross_2
PAIR-0164,SCH-025,Jara Torval,scholar,CR006,Yeller Frog,creature,studies,0.48,5.0,0,stone_school,none,False,cluster_cross_2
PAIR-0165,SCH-004,Boffa Trent,scholar,CR014,Hogfoot,creature,classifies,0.35,6.0,0,water_school,none,False,cluster_cross_2
PAIR-0166,MRD-001,Maren Drusk,scholar,VST-001,Vass Tonner,scholar,opposed_by,-0.52,4.2,0,algorithmic,traditional,False,cluster_guild
PAIR-0167,MRD-001,Maren Drusk,scholar,SCH-003,Vagabu Olt,scholar,modernizes,0.38,3.8,0,algorithmic,none,False,cluster_guild
PAIR-0168,VST-001,Vass Tonner,scholar,SCH-003,Vagabu Olt,scholar,traditional_link,0.62,2.5,0,traditional,none,False,cluster_guild
PAIR-0169,RLT-001,Rella Tarn,scholar,PLC-003,Yeller Quarry,place,surveys,0.55,5.2,0,expedition,none,False,cluster_cross_3
PAIR-0170,RLT-001,Rella Tarn,scholar,SCH-013,Pollux Dann,scholar,ninth_expedition,0.68,2.0,1,expedition,none,False,cluster_delta
PAIR-0171,JRT-001,Jara Torval,scholar,HTV-001,Hesta Vorn,scholar,trained_by,0.72,1.8,0,taxonomy,none,False,cluster_delta
PAIR-0172,PLD-001,Pollux Dann,scholar,HTV-001,Hesta Vorn,scholar,trained_by,0.75,1.6,0,taxonomy,none,False,cluster_delta
PAIR-0173,QVR-001,Queever,archivist,SLV-001,Solta Venn,scholar,supervises,0.65,2.2,1,archive,provenance,False,cluster_archive
PAIR-0174,QVR-001,Queever,archivist,SCH-005,Mink Pavar,scholar,custodian_of,-0.32,4.8,0,archive,water_school,False,cluster_archive
PAIR-0175,TRL-001,Minor Archivist Trell,archivist,QVR-001,Queever,archivist,supervised_by,0.72,1.5,0,archive,archive,True,cluster_archive
PAIR-0176,KPM-001,Keeper of Maps,archivist,SCH-003,Vagabu Olt,scholar,preserves,0.58,3.0,0,archive,none,False,cluster_archive
PAIR-0177,KPM-001,Keeper of Maps,archivist,SCH-016,Senna Grell,scholar,preserves,0.55,3.2,0,archive,none,False,cluster_archive
PAIR-0178,KPM-001,Keeper of Maps,archivist,SCH-030,Gareth Poll,scholar,preserves,0.52,3.5,0,archive,none,False,cluster_archive
PAIR-0179,DCR-001,Donal Crest,scholar,MRY-001,Mara Yent,scholar,trained_by,0.68,2.0,1,history,history,True,cluster_alpha
PAIR-0180,PRB-002,Guild Master Prebel,guild,PRC-001,Prebel Cord,scholar,mentor_of,0.78,1.8,0,guild,reconstruction,False,cluster_lambda
PAIR-0181,PRB-002,Guild Master Prebel,guild,VRN-001,Vornis Keth,scholar,validates,0.55,3.2,0,guild,geometric,False,cluster_lambda
PAIR-0182,GMR-001,Gareth Poll,scholar,PLC-005,Dead River,place,maps,0.62,5.8,0,cartography,none,False,cluster_cross_3
PAIR-0183,SNT-001,Senator Polkopo,politician,SCH-009,Colonel Viragu,scholar,funds,-0.28,5.5,0,political,none,False,cluster_iota
PAIR-0184,NCN-001,Councilwoman Nehlhen,politician,PLC-001,Capital,place,governs,0.72,3.5,0,political,none,False,cluster_place_1
PAIR-0185,DOY-001,Doyl,authority,PLC-001,Capital,place,polices,0.65,4.0,0,authority,none,False,cluster_place_1
PAIR-0186,TCK-001,Tucker,citizen,DOY-001,Doyl,authority,knows_of,0.35,5.5,0,none,authority,False,cluster_nu
PAIR-0187,TCK-001,Tucker,citizen,PLC-001,Capital,place,lives_in,0.52,4.8,0,none,none,True,cluster_nu
PAIR-0188,MPK-001,The Mapmaker,traveler,CR019,Nothing Bird,creature,associated,0.45,5.2,0,none,none,True,cluster_cross_1
PAIR-0189,MPK-001,The Mapmaker,traveler,SCH-003,Vagabu Olt,scholar,similar_role,0.58,2.8,0,none,none,True,cluster_beta
PAIR-0190,DGR-001,The Dodger,professional,ULH-001,Ulhido,scholar,travels_with,0.82,1.2,0,none,none,True,cluster_omicron
