journey_id,trader_id,journey_number,archetype_classification,classification_confidence,signature_vector,cluster_id,outlier_score,trajectory_position
JRN-BAG-0014,TRAV-BAGBU,14,JRN-LF,0.702,"[0.000,0.051,0.150,0.180,1.000,0.344,0.025,0.922,0.055,0.642]",1,0.269,0.035
JRN-BAG-0015,TRAV-BAGBU,15,JRN-UN,0.524,"[0.487,0.650,0.334,0.748,0.537,0.553,0.417,0.489,0.435,0.339]",18,0.447,0.037
JRN-BAG-0016,TRAV-BAGBU,16,JRN-HA,0.749,"[0.571,0.771,1.000,0.894,0.761,0.360,0.435,0.586,0.370,0.406]",12,0.346,0.04
JRN-BAG-0017,TRAV-BAGBU,17,JRN-LF,0.787,"[0.151,0.223,0.199,0.084,1.000,0.130,0.062,0.780,0.391,0.208]",3,0,0.043
JRN-BAG-0018,TRAV-BAGBU,18,JRN-WH,0.902,"[0.450,0.492,0.579,0.399,0.369,0.817,0.348,0.709,0.512,0.436]",8,0.082,0.045
JRN-BAG-0019,TRAV-BAGBU,19,JRN-WH,0.825,"[0.726,0.290,0.440,0.564,0.617,0.298,0.162,0.214,0.489,0.485]",8,0.055,0.048
JRN-BAG-0020,TRAV-BAGBU,20,JRN-UN,0.247,"[0.611,0.690,0.142,0.668,0.501,0.534,0.433,0.388,0.129,0.386]",15,0.497,0.05
JRN-BAG-0021,TRAV-BAGBU,21,JRN-LF,0.764,"[0.230,0.237,0.385,0.507,0.985,0.338,0.047,0.615,0.476,0.334]",3,0.253,0.052
JRN-BAG-0022,TRAV-BAGBU,22,JRN-UN,0.404,"[0.293,0.460,0.319,0.370,0.662,0.542,0.293,0.358,0.577,0.430]",19,0.419,0.055
JRN-BAG-0023,TRAV-BAGBU,23,JRN-UN,0.342,"[0.498,0.450,0.441,0.829,0.468,0.639,0.446,0.808,0.431,0.349]",20,0.62,0.058
JRN-BAG-0024,TRAV-BAGBU,24,JRN-WH,0.914,"[0.294,0.469,0.528,0.402,0.518,0.621,0.432,0.630,0.226,0.537]",7,0.245,0.06
JRN-BAG-0025,TRAV-BAGBU,25,JRN-WH,0.927,"[0.394,0.644,0.376,0.239,0.483,0.531,0.584,0.419,0.124,0.291]",4,0.183,0.062
JRN-BAG-0026,TRAV-BAGBU,26,JRN-HA,0.644,"[0.901,0.940,1.000,0.717,0.842,0.433,0.571,0.479,0.086,0.928]",12,0.29,0.065
JRN-BAG-0027,TRAV-BAGBU,27,JRN-WH,0.792,"[0.342,0.345,0.728,0.727,0.278,0.490,0.393,0.706,0.408,0.467]",7,0.005,0.068
JRN-BAG-0028,TRAV-BAGBU,28,JRN-DO,0.684,"[0.000,0.164,0.090,0.165,0.355,0.596,0.718,0.690,0.881,0.000]",11,0.188,0.07
JRN-BAG-0029,TRAV-BAGBU,29,JRN-WH,0.794,"[0.393,0.321,0.808,0.705,0.512,0.629,0.529,0.421,0.913,0.623]",8,0.123,0.072
JRN-BAG-0030,TRAV-BAGBU,30,JRN-WH,0.887,"[0.453,0.471,0.355,0.432,0.550,0.379,0.207,0.700,0.260,0.519]",8,0.031,0.075
JRN-BAG-0031,TRAV-BAGBU,31,JRN-WH,0.875,"[0.240,0.573,0.279,0.113,0.197,0.293,0.660,0.370,0.466,0.325]",8,0.044,0.077
JRN-BAG-0032,TRAV-BAGBU,32,JRN-UN,0.358,"[0.429,0.565,0.198,0.630,0.230,0.511,0.461,0.475,0.293,0.337]",15,0.681,0.08
JRN-BAG-0033,TRAV-BAGBU,33,JRN-WH,0.819,"[0.485,0.447,0.343,0.603,0.412,0.552,0.215,0.656,0.300,0.383]",8,0.092,0.083
JRN-BAG-0034,TRAV-BAGBU,34,JRN-WH,0.908,"[0.511,0.263,0.442,0.599,0.195,0.381,0.509,0.352,0.513,0.369]",5,0,0.085
JRN-BAG-0035,TRAV-BAGBU,35,JRN-UN,0.522,"[0.548,0.525,0.268,0.586,0.349,0.437,0.253,0.511,0.325,0.571]",17,0.392,0.087
JRN-BAG-0036,TRAV-BAGBU,36,JRN-WH,0.942,"[0.763,0.499,0.562,0.685,0.523,0.639,0.500,0.346,0.288,0.355]",5,0,0.09
JRN-BAG-0037,TRAV-BAGBU,37,JRN-WH,0.783,"[0.512,0.669,0.774,0.740,0.387,0.525,0.361,0.650,0.733,0.446]",5,0.147,0.092
JRN-BAG-0038,TRAV-BAGBU,38,JRN-LF,0.734,"[0.084,0.011,0.244,0.404,1.000,0.152,0.050,0.841,0.000,0.038]",3,0.12,0.095
JRN-BAG-0039,TRAV-BAGBU,39,JRN-HA,0.654,"[0.770,0.652,0.886,0.681,0.647,0.684,0.370,0.458,0.429,0.595]",12,0.2,0.098
JRN-BAG-0040,TRAV-BAGBU,40,JRN-UN,0.295,"[0.496,0.526,0.134,0.692,0.221,0.451,0.401,0.611,0.352,0.262]",19,0.551,0.1
JRN-BAG-0041,TRAV-BAGBU,41,JRN-DO,0.706,"[0.067,0.105,0.060,0.111,0.094,0.821,0.546,0.724,0.630,0.138]",9,0.337,0.102
JRN-BAG-0042,TRAV-BAGBU,42,JRN-WH,0.909,"[0.623,0.394,0.362,0.518,0.436,0.541,0.726,0.432,0.686,0.318]",7,0.121,0.105
JRN-BAG-0043,TRAV-BAGBU,43,JRN-UN,0.393,"[0.365,0.386,0.299,0.676,0.427,0.571,0.052,0.443,0.442,0.596]",18,0.478,0.107
JRN-BAG-0044,TRAV-BAGBU,44,JRN-HA,0.729,"[0.997,0.762,0.791,0.618,0.898,0.580,0.425,0.448,0.314,0.606]",14,0.582,0.11
JRN-BAG-0045,TRAV-BAGBU,45,JRN-UN,0.372,"[0.249,0.424,0.211,0.635,0.739,0.613,0.024,0.539,0.352,0.534]",20,0.478,0.113
JRN-BAG-0046,TRAV-BAGBU,46,JRN-HA,0.835,"[0.721,0.775,0.897,0.719,0.596,0.627,0.396,0.237,0.277,0.422]",13,0.42,0.115
JRN-BAG-0047,TRAV-BAGBU,47,JRN-WH,0.886,"[0.597,0.467,0.553,0.714,0.551,0.577,0.510,0.505,0.308,0.562]",6,0.181,0.117
JRN-BAG-0048,TRAV-BAGBU,48,JRN-WH,0.926,"[0.525,0.369,0.186,0.549,0.296,0.315,0.204,0.332,0.585,0.303]",5,0,0.12
JRN-BAG-0049,TRAV-BAGBU,49,JRN-LF,0.695,"[0.000,0.043,0.242,0.123,0.775,0.225,0.002,0.869,0.044,0.060]",3,0.253,0.122
JRN-BAG-0050,TRAV-BAGBU,50,JRN-WH,0.823,"[0.540,0.530,0.723,0.628,0.347,0.753,0.533,0.585,0.323,0.508]",8,0.038,0.125
JRN-BAG-0051,TRAV-BAGBU,51,JRN-DO,0.857,"[0.360,0.097,0.355,0.000,0.000,0.729,0.770,0.964,0.882,0.331]",10,0.143,0.128
JRN-BAG-0052,TRAV-BAGBU,52,JRN-HA,0.715,"[1.000,0.797,0.960,0.893,0.972,0.785,0.290,0.703,0.302,0.651]",14,0.358,0.13
JRN-BAG-0053,TRAV-BAGBU,53,JRN-WH,0.909,"[0.506,0.399,0.173,0.395,0.285,0.588,0.792,0.779,0.414,0.430]",5,0.094,0.133
JRN-BAG-0054,TRAV-BAGBU,54,JRN-WH,0.818,"[0.523,0.427,0.518,0.587,0.347,0.463,0.325,0.458,0.782,0.611]",8,0.091,0.135
JRN-BAG-0055,TRAV-BAGBU,55,JRN-WH,0.812,"[0.498,0.419,0.734,0.610,0.583,0.392,0.528,0.385,0.741,0.504]",8,0,0.138
JRN-BAG-0056,TRAV-BAGBU,56,JRN-UN,0.356,"[0.294,0.393,0.457,0.441,0.355,0.458,0.387,0.437,0.215,0.527]",15,0.672,0.14
JRN-BAG-0057,TRAV-BAGBU,57,JRN-WH,0.86,"[0.333,0.645,0.681,0.119,0.459,0.501,0.300,0.497,0.709,0.277]",7,0.278,0.142
JRN-BAG-0058,TRAV-BAGBU,58,JRN-LF,0.689,"[0.293,0.433,0.219,0.180,1.000,0.151,0.137,0.694,0.398,0.000]",3,0.098,0.145
JRN-BAG-0059,TRAV-BAGBU,59,JRN-DO,0.813,"[0.255,0.113,0.000,0.000,0.349,0.696,0.738,0.928,0.597,0.000]",10,0.242,0.147
JRN-BAG-0060,TRAV-BAGBU,60,JRN-LF,0.738,"[0.209,0.161,0.240,0.313,1.000,0.000,0.000,0.829,0.253,0.244]",1,0.049,0.15
JRN-BAG-0061,TRAV-BAGBU,61,JRN-WH,0.879,"[0.389,0.528,0.499,0.521,0.609,0.196,0.461,0.421,0.371,0.549]",8,0.022,0.152
JRN-BAG-0062,TRAV-BAGBU,62,JRN-DO,0.728,"[0.566,0.146,0.340,0.000,0.112,0.524,0.714,1.000,0.794,0.418]",10,0.18,0.155
JRN-BAG-0063,TRAV-BAGBU,63,JRN-LF,0.884,"[0.310,0.068,0.261,0.000,0.917,0.093,0.134,0.700,0.242,0.206]",3,0.167,0.158
JRN-BAG-0064,TRAV-BAGBU,64,JRN-WH,0.797,"[0.275,0.441,0.651,0.286,0.383,0.606,0.567,0.499,0.407,0.626]",6,0.192,0.16
JRN-BAG-0065,TRAV-BAGBU,65,JRN-WH,0.935,"[0.488,0.780,0.230,0.531,0.497,0.364,0.789,0.755,0.748,0.802]",7,0.277,0.163
JRN-BAG-0066,TRAV-BAGBU,66,JRN-WH,0.914,"[0.445,0.493,0.577,0.331,0.683,0.489,0.646,0.407,0.389,0.423]",8,0,0.165
JRN-BAG-0067,TRAV-BAGBU,67,JRN-UN,0.396,"[0.272,0.329,0.073,0.652,0.356,0.440,0.340,0.512,0.475,0.498]",16,0.541,0.168
JRN-BAG-0068,TRAV-BAGBU,68,JRN-WH,0.894,"[0.447,0.284,0.620,0.588,0.628,0.641,0.601,0.191,0.701,0.641]",7,0.12,0.17
JRN-BAG-0069,TRAV-BAGBU,69,JRN-WH,0.82,"[0.685,0.633,0.102,0.386,0.405,0.617,0.528,0.571,0.595,0.365]",5,0.015,0.172
JRN-BAG-0070,TRAV-BAGBU,70,JRN-LF,0.862,"[0.000,0.463,0.081,0.278,1.000,0.012,0.033,0.842,0.099,0.140]",3,0,0.175
JRN-BAG-0071,TRAV-BAGBU,71,JRN-LF,0.882,"[0.286,0.185,0.122,0.131,0.953,0.141,0.000,1.000,0.177,0.086]",2,0.306,0.177
JRN-BAG-0072,TRAV-BAGBU,72,JRN-WH,0.907,"[0.580,0.365,0.545,0.363,0.409,0.537,0.704,0.453,0.175,0.431]",4,0.029,0.18
JRN-BAG-0073,TRAV-BAGBU,73,JRN-LF,0.779,"[0.036,0.232,0.062,0.042,1.000,0.122,0.146,0.863,0.059,0.000]",3,0.003,0.182
JRN-BAG-0074,TRAV-BAGBU,74,JRN-WH,0.857,"[0.932,0.689,0.636,0.631,0.326,0.528,0.262,0.536,0.660,0.518]",7,0.19,0.185
JRN-BAG-0075,TRAV-BAGBU,75,JRN-WH,0.904,"[0.301,0.599,0.439,0.561,0.550,0.474,0.533,0.442,0.702,0.640]",5,0,0.188
JRN-BAG-0076,TRAV-BAGBU,76,JRN-WH,0.836,"[0.431,0.242,0.662,0.647,0.443,0.542,0.475,0.470,0.626,0.642]",5,0.172,0.19
JRN-BAG-0077,TRAV-BAGBU,77,JRN-DO,0.663,"[0.087,0.255,0.291,0.180,0.124,0.857,0.562,0.804,0.638,0.044]",11,0.427,0.193
JRN-BAG-0078,TRAV-BAGBU,78,JRN-UN,0.294,"[0.457,0.463,0.552,0.723,0.334,0.535,0.376,0.469,0.352,0.477]",15,0.233,0.195
JRN-BAG-0079,TRAV-BAGBU,79,JRN-HA,0.615,"[0.716,0.725,0.850,0.823,0.988,0.527,0.565,0.342,0.301,0.652]",12,0.33,0.198
JRN-BAG-0080,TRAV-BAGBU,80,JRN-WH,0.855,"[0.719,0.539,0.676,0.459,0.560,0.412,0.319,0.373,0.478,0.580]",4,0.384,0.2
JRN-BAG-0081,TRAV-BAGBU,81,JRN-LF,0.731,"[0.128,0.000,0.081,0.274,0.741,0.203,0.227,0.934,0.224,0.290]",3,0.163,0.203
JRN-BAG-0082,TRAV-BAGBU,82,JRN-UN,0.215,"[0.346,0.442,0.315,0.539,0.547,0.323,0.421,0.462,0.548,0.590]",19,0.487,0.205
JRN-BAG-0083,TRAV-BAGBU,83,JRN-WH,0.897,"[0.746,0.652,0.508,0.700,0.351,0.477,0.449,0.627,0.455,0.579]",8,0.018,0.207
JRN-BAG-0084,TRAV-BAGBU,84,JRN-WH,0.912,"[0.363,0.461,0.225,0.544,0.399,0.560,0.579,0.297,0.348,0.448]",7,0.048,0.21
JRN-BAG-0085,TRAV-BAGBU,85,JRN-WH,0.876,"[0.370,0.218,0.226,0.156,0.323,0.858,0.435,0.648,0.292,0.541]",6,0.022,0.212
JRN-BAG-0086,TRAV-BAGBU,86,JRN-LF,0.775,"[0.024,0.465,0.199,0.466,1.000,0.327,0.000,0.633,0.193,0.000]",1,0.091,0.215
JRN-BAG-0087,TRAV-BAGBU,87,JRN-WH,0.918,"[0.426,0.654,0.531,0.544,0.756,0.695,0.368,0.698,0.408,0.497]",5,0.019,0.217
JRN-BAG-0088,TRAV-BAGBU,88,JRN-WH,0.884,"[0.056,0.415,0.588,0.385,0.574,0.284,0.347,0.467,0.456,0.687]",6,0.184,0.22
JRN-BAG-0089,TRAV-BAGBU,89,JRN-WH,0.925,"[0.401,0.672,0.588,0.608,0.728,0.453,0.343,0.627,0.619,0.451]",7,0.045,0.223
JRN-BAG-0090,TRAV-BAGBU,90,JRN-LF,0.84,"[0.000,0.386,0.224,0.171,0.898,0.067,0.444,0.661,0.414,0.347]",1,0.581,0.225
JRN-BAG-0091,TRAV-BAGBU,91,JRN-LF,0.878,"[0.000,0.191,0.087,0.017,0.739,0.000,0.000,0.663,0.254,0.178]",3,0.174,0.228
JRN-BAG-0092,TRAV-BAGBU,92,JRN-WH,0.854,"[0.229,0.343,0.680,0.702,0.461,0.504,0.238,0.511,0.610,0.757]",5,0.062,0.23
JRN-BAG-0093,TRAV-BAGBU,93,JRN-WH,0.941,"[0.381,0.529,0.365,0.624,0.770,0.442,0.526,0.422,0.500,0.715]",6,0.056,0.233
JRN-BAG-0094,TRAV-BAGBU,94,JRN-UN,0.498,"[0.377,0.577,0.345,0.429,0.456,0.532,0.243,0.734,0.253,0.759]",18,0.347,0.235
JRN-BAG-0095,TRAV-BAGBU,95,JRN-LF,0.786,"[0.053,0.241,0.121,0.330,1.000,0.339,0.057,0.872,0.525,0.180]",2,0.132,0.237
JRN-BAG-0096,TRAV-BAGBU,96,JRN-DO,0.726,"[0.123,0.124,0.184,0.118,0.183,0.891,0.725,0.670,0.920,0.206]",9,0.251,0.24
JRN-BAG-0097,TRAV-BAGBU,97,JRN-WH,0.915,"[0.764,0.610,0.314,0.500,0.367,0.355,0.476,0.378,0.640,0.501]",8,0,0.242
JRN-BAG-0098,TRAV-BAGBU,98,JRN-LF,0.913,"[0.211,0.380,0.046,0.240,0.726,0.502,0.139,0.943,0.240,0.000]",2,0.269,0.245
JRN-BAG-0099,TRAV-BAGBU,99,JRN-HA,0.653,"[0.833,0.458,0.878,0.739,0.537,0.522,0.618,0.632,0.074,0.751]",14,0.372,0.247
JRN-BAG-0100,TRAV-BAGBU,100,JRN-DO,0.864,"[0.274,0.088,0.243,0.114,0.142,0.865,0.727,1.000,0.787,0.195]",9,0.367,0.25
JRN-BAG-0101,TRAV-BAGBU,101,JRN-WH,0.927,"[0.590,0.399,0.602,0.601,0.690,0.342,0.617,0.409,0.673,0.471]",7,0,0.253
JRN-BAG-0102,TRAV-BAGBU,102,JRN-WH,0.794,"[0.698,0.679,0.597,0.583,0.331,0.473,0.555,0.432,0.391,0.374]",7,0.037,0.255
JRN-BAG-0103,TRAV-BAGBU,103,JRN-WH,0.787,"[0.380,0.394,0.330,0.296,0.709,0.579,0.350,0.600,0.500,0.411]",4,0.185,0.258
JRN-BAG-0104,TRAV-BAGBU,104,JRN-HA,0.56,"[0.960,0.719,1.000,0.463,1.000,0.685,0.517,0.263,0.345,0.644]",12,0.364,0.26
JRN-BAG-0105,TRAV-BAGBU,105,JRN-WH,0.848,"[0.500,0.574,0.484,0.324,0.354,0.626,0.491,0.616,0.026,0.667]",6,0,0.263
JRN-BAG-0106,TRAV-BAGBU,106,JRN-WH,0.803,"[0.000,0.193,0.595,0.439,0.522,0.380,0.236,0.441,0.626,0.672]",6,0.15,0.265
JRN-BAG-0107,TRAV-BAGBU,107,JRN-UN,0.449,"[0.448,0.328,0.373,0.669,0.570,0.703,0.488,0.531,0.216,0.699]",19,0.642,0.268
JRN-BAG-0108,TRAV-BAGBU,108,JRN-LF,0.758,"[0.327,0.000,0.059,0.226,0.847,0.412,0.063,0.585,0.270,0.000]",3,0.32,0.27
JRN-BAG-0109,TRAV-BAGBU,109,JRN-DO,0.651,"[0.000,0.235,0.273,0.126,0.151,0.774,0.696,1.000,0.598,0.494]",10,0.243,0.273
JRN-BAG-0110,TRAV-BAGBU,110,JRN-DO,0.754,"[0.106,0.000,0.054,0.279,0.219,0.534,0.692,1.000,0.985,0.311]",11,0.148,0.275
JRN-BAG-0111,TRAV-BAGBU,111,JRN-LF,0.883,"[0.306,0.261,0.000,0.099,0.917,0.045,0.000,0.665,0.113,0.011]",2,0,0.278
JRN-BAG-0112,TRAV-BAGBU,112,JRN-DO,0.683,"[0.229,0.067,0.118,0.000,0.185,0.655,0.870,0.985,0.699,0.338]",10,0.193,0.28
JRN-BAG-0113,TRAV-BAGBU,113,JRN-LF,0.75,"[0.029,0.353,0.088,0.313,1.000,0.271,0.000,0.938,0.203,0.400]",1,0.24,0.282
JRN-BAG-0114,TRAV-BAGBU,114,JRN-DO,0.653,"[0.000,0.000,0.202,0.000,0.101,1.000,0.852,0.509,0.787,0.230]",9,0.291,0.285
JRN-BAG-0115,TRAV-BAGBU,115,JRN-WH,0.882,"[0.496,0.519,0.563,0.550,0.487,0.643,0.463,0.526,0.683,0.561]",6,0.063,0.287
JRN-BAG-0116,TRAV-BAGBU,116,JRN-WH,0.91,"[0.481,0.596,0.313,0.440,0.449,0.619,0.583,0.691,0.484,0.444]",8,0.142,0.29
JRN-BAG-0117,TRAV-BAGBU,117,JRN-WH,0.865,"[0.730,0.557,0.560,0.329,0.688,0.755,0.722,0.767,0.437,0.636]",8,0.094,0.292
JRN-BAG-0118,TRAV-BAGBU,118,JRN-WH,0.921,"[0.374,0.307,0.512,0.473,0.504,0.465,0.563,0.389,0.564,0.745]",4,0,0.295
JRN-BAG-0119,TRAV-BAGBU,119,JRN-WH,0.825,"[0.465,0.305,0.601,0.685,0.290,0.303,0.636,0.681,0.858,0.572]",4,0.139,0.297
JRN-BAG-0120,TRAV-BAGBU,120,JRN-WH,0.85,"[0.651,0.281,0.638,0.767,0.354,0.495,0.446,0.566,0.578,0.400]",8,0.231,0.3
JRN-BAG-0121,TRAV-BAGBU,121,JRN-WH,0.943,"[0.617,0.428,0.343,0.705,0.461,0.288,0.428,0.307,0.540,0.606]",8,0.029,0.302
JRN-BAG-0122,TRAV-BAGBU,122,JRN-UN,0.47,"[0.741,0.436,0.138,0.409,0.424,0.720,0.204,0.454,0.590,0.193]",18,0.443,0.305
JRN-BAG-0123,TRAV-BAGBU,123,JRN-HA,0.836,"[0.769,0.820,0.869,0.565,0.692,0.641,0.400,0.413,0.000,0.616]",14,0.343,0.307
JRN-BAG-0124,TRAV-BAGBU,124,JRN-HA,0.622,"[0.871,0.611,0.738,0.668,0.762,0.396,0.624,0.608,0.452,0.890]",12,0.354,0.31
JRN-BAG-0125,TRAV-BAGBU,125,JRN-WH,0.939,"[0.401,0.514,0.629,0.470,0.301,0.240,0.666,0.604,0.265,0.447]",4,0.153,0.312
JRN-BAG-0126,TRAV-BAGBU,126,JRN-UN,0.262,"[0.352,0.651,0.297,0.248,0.410,0.833,0.219,0.515,0.386,0.435]",17,0.48,0.315
JRN-BAG-0127,TRAV-BAGBU,127,JRN-WH,0.948,"[0.189,0.452,0.618,0.633,0.461,0.770,0.382,0.713,0.358,0.308]",4,0.085,0.318
JRN-BAG-0128,TRAV-BAGBU,128,JRN-WH,0.909,"[0.236,0.336,0.363,0.369,0.589,0.429,0.634,0.850,0.739,0.152]",4,0.133,0.32
JRN-BAG-0129,TRAV-BAGBU,129,JRN-WH,0.82,"[0.622,0.464,0.496,0.478,0.369,0.310,0.570,0.529,0.447,0.643]",8,0.285,0.323
JRN-BAG-0130,TRAV-BAGBU,130,JRN-HA,0.757,"[0.654,0.629,0.978,0.865,0.755,0.168,0.626,0.236,0.466,0.915]",14,0.262,0.325
JRN-BAG-0131,TRAV-BAGBU,131,JRN-UN,0.467,"[0.219,0.471,0.084,0.856,0.615,0.683,0.383,0.442,0.312,0.479]",19,0.359,0.328
JRN-BAG-0132,TRAV-BAGBU,132,JRN-DO,0.737,"[0.281,0.052,0.217,0.205,0.215,0.523,0.725,0.840,0.686,0.314]",9,0.21,0.33
JRN-BAG-0133,TRAV-BAGBU,133,JRN-HA,0.723,"[0.593,0.807,0.849,0.686,1.000,0.329,0.378,0.422,0.334,0.773]",14,0.493,0.333
JRN-BAG-0134,TRAV-BAGBU,134,JRN-WH,0.949,"[0.471,0.183,0.606,0.456,0.543,0.798,0.432,0.700,0.721,0.846]",7,0.313,0.335
JRN-BAG-0135,TRAV-BAGBU,135,JRN-WH,0.904,"[0.628,0.283,0.666,0.477,0.470,0.345,0.421,0.575,0.416,0.521]",5,0.248,0.338
JRN-BAG-0136,TRAV-BAGBU,136,JRN-LF,0.869,"[0.008,0.000,0.000,0.285,0.829,0.384,0.183,0.589,0.274,0.178]",1,0.096,0.34
JRN-BAG-0137,TRAV-BAGBU,137,JRN-WH,0.82,"[0.507,0.241,0.803,0.867,0.533,0.833,0.325,0.409,0.539,0.226]",5,0.082,0.343
JRN-BAG-0138,TRAV-BAGBU,138,JRN-DO,0.662,"[0.279,0.070,0.389,0.000,0.000,0.802,1.000,0.856,0.784,0.080]",10,0.319,0.345
JRN-BAG-0139,TRAV-BAGBU,139,JRN-HA,0.646,"[0.694,0.769,0.975,0.871,0.806,0.707,0.552,0.335,0.250,0.712]",13,0.475,0.347
JRN-BAG-0140,TRAV-BAGBU,140,JRN-WH,0.821,"[0.462,0.471,0.553,0.363,0.545,0.225,0.437,0.638,0.546,0.466]",4,0.083,0.35
JRN-BAG-0141,TRAV-BAGBU,141,JRN-WH,0.909,"[0.200,0.539,0.313,0.826,0.851,0.534,0.573,0.482,0.671,0.500]",5,0.048,0.352
JRN-BAG-0142,TRAV-BAGBU,142,JRN-WH,0.821,"[0.280,0.523,0.355,0.362,0.470,0.487,0.679,0.432,0.501,0.668]",6,0.087,0.355
JRN-BAG-0143,TRAV-BAGBU,143,JRN-UN,0.33,"[0.687,0.585,0.299,0.573,0.212,0.435,0.276,0.377,0.436,0.602]",19,0.559,0.357
JRN-BAG-0144,TRAV-BAGBU,144,JRN-DO,0.792,"[0.047,0.115,0.027,0.059,0.000,0.464,0.859,0.851,0.866,0.108]",11,0.182,0.36
JRN-BAG-0145,TRAV-BAGBU,145,JRN-UN,0.535,"[0.684,0.561,0.510,0.525,0.414,0.346,0.360,0.409,0.395,0.480]",19,0.466,0.362
JRN-BAG-0146,TRAV-BAGBU,146,JRN-DO,0.861,"[0.214,0.086,0.178,0.000,0.069,0.939,0.825,0.780,0.773,0.000]",10,0.198,0.365
JRN-BAG-0147,TRAV-BAGBU,147,JRN-HA,0.823,"[0.959,0.610,0.912,0.908,0.798,0.740,0.517,0.342,0.461,0.658]",12,0.421,0.367
JRN-BAG-0148,TRAV-BAGBU,148,JRN-DO,0.837,"[0.193,0.222,0.281,0.052,0.083,0.792,0.805,0.740,0.800,0.242]",9,0.074,0.37
JRN-BAG-0149,TRAV-BAGBU,149,JRN-UN,0.522,"[0.472,0.793,0.430,0.489,0.456,0.517,0.587,0.355,0.364,0.485]",17,0.568,0.372
JRN-BAG-0150,TRAV-BAGBU,150,JRN-WH,0.92,"[0.510,0.614,0.445,0.321,0.424,0.632,0.317,0.357,0.463,0.483]",4,0,0.375
JRN-BAG-0151,TRAV-BAGBU,151,JRN-WH,0.946,"[0.589,0.563,0.682,0.594,0.348,0.368,0.631,0.474,0.325,0.304]",7,0.006,0.378
JRN-BAG-0152,TRAV-BAGBU,152,JRN-UN,0.351,"[0.408,0.679,0.407,0.670,0.174,0.576,0.343,0.449,0.193,0.491]",15,0.413,0.38
JRN-BAG-0153,TRAV-BAGBU,153,JRN-LF,0.905,"[0.024,0.292,0.165,0.271,0.719,0.260,0.071,0.819,0.160,0.153]",3,0.193,0.383
JRN-BAG-0154,TRAV-BAGBU,154,JRN-LF,0.762,"[0.000,0.170,0.000,0.312,0.895,0.000,0.070,0.858,0.304,0.090]",1,0.206,0.385
JRN-BAG-0155,TRAV-BAGBU,155,JRN-WH,0.852,"[0.529,0.361,0.725,0.418,0.292,0.505,0.422,0.521,0.650,0.506]",8,0,0.388
JRN-BAG-0156,TRAV-BAGBU,156,JRN-WH,0.853,"[0.705,0.436,0.694,0.442,0.339,0.566,0.636,0.397,0.722,0.236]",5,0,0.39
JRN-BAG-0157,TRAV-BAGBU,157,JRN-WH,0.828,"[0.270,0.761,0.660,0.990,0.609,0.732,0.738,0.541,0.596,0.464]",6,0.119,0.393
JRN-BAG-0158,TRAV-BAGBU,158,JRN-UN,0.478,"[0.350,0.582,0.398,0.599,0.487,0.371,0.368,0.308,0.464,0.339]",20,0.439,0.395
