override_id,expedition_id,decision_point_id,override_reason,override_authority,protocol_recommendation,actual_action,outcome,retrospective_justified
OVR-0148,EXP-918-001,DEC-00148,prior_experience,second,investigate,primary_path,critical_positive,yes
OVR-0084,EXP-918-002,DEC-00084,crew_unease,crew_leader,retreat_path,primary_path,positive,yes
OVR-0189,EXP-918-002,DEC-00189,environmental_observation,second,investigate,retreat_path,positive,yes
OVR-0018,EXP-918-003,DEC-03921,terrain_assessment,collective,observe,avoid,positive,yes
OVR-0097,EXP-918-003,DEC-00097,prior_experience,second,defensive_site,emergency_site,neutral,yes
OVR-0107,EXP-918-003,DEC-00107,intuition,collective,cautious_approach,avoid,critical_positive,yes
OVR-0111,EXP-918-003,DEC-00111,resource_limitation,crew_leader,primary_path,alternate_path,neutral,inconclusive
OVR-0123,EXP-918-003,DEC-00123,landmark_discrepancy,crew_leader,emergency_site,continue,neutral,yes
OVR-0197,EXP-918-003,DEC-00197,creature_sign,crew_leader,proceed,partial_retreat,positive,yes
OVR-0154,EXP-918-004,DEC-00154,creature_sign,crew_leader,alternate_path,primary_path,neutral,inconclusive
OVR-0175,EXP-918-004,DEC-00175,terrain_assessment,crew_leader,observe,cautious_approach,neutral,yes
OVR-0066,EXP-918-005,DEC-00066,weather_concern,crew_leader,emergency_site,continue,neutral,inconclusive
OVR-0093,EXP-918-006,DEC-00093,compass_anomaly,second,pause,proceed,critical_positive,yes
OVR-0180,EXP-918-006,DEC-00180,environmental_observation,crew_leader,skip,priority_specimen,critical_positive,yes
OVR-0141,EXP-918-007,DEC-00141,crew_unease,second,extensive_collection,priority_specimen,positive,yes
OVR-0076,EXP-918-009,DEC-00076,landmark_discrepancy,second,direct_engagement,observe,critical_positive,yes
OVR-0165,EXP-918-009,DEC-00165,environmental_observation,crew_leader,investigate,primary_path,critical_positive,yes
OVR-0019,EXP-918-010,DEC-03951,weather_concern,crew_leader,observe,direct_engagement,neutral,inconclusive
OVR-0147,EXP-918-010,DEC-00147,terrain_assessment,second,observe,cautious_approach,positive,yes
OVR-0199,EXP-918-010,DEC-00199,compass_anomaly,crew_leader,proceed,full_retreat,positive,yes
OVR-0020,EXP-919-001,DEC-03957,resource_limitation,crew_leader,alternate_path,retreat_path,positive,yes
OVR-0075,EXP-919-001,DEC-00075,resource_limitation,collective,observe,direct_engagement,positive,yes
OVR-0104,EXP-919-001,DEC-00104,resource_limitation,collective,observe,avoid,critical_positive,yes
OVR-0144,EXP-919-001,DEC-00144,time_constraint,collective,skip,priority_specimen,neutral,yes
OVR-0153,EXP-919-001,DEC-00153,crew_unease,crew_leader,alternate_path,investigate,positive,yes
OVR-0160,EXP-919-001,DEC-00160,landmark_discrepancy,collective,priority_specimen,standard_specimen,positive,yes
OVR-0021,EXP-919-002,DEC-03964,equipment_issue,collective,proceed,full_retreat,positive,yes
OVR-0022,EXP-919-003,DEC-03975,landmark_discrepancy,crew_leader,standard_specimen,priority_specimen,positive,yes
OVR-0115,EXP-919-003,DEC-00115,environmental_observation,crew_leader,partial_retreat,full_retreat,positive,yes
OVR-0193,EXP-919-003,DEC-00193,landmark_discrepancy,collective,emergency_site,continue,critical_positive,yes
OVR-0196,EXP-919-003,DEC-00196,prior_experience,collective,standard_site,emergency_site,critical_positive,yes
OVR-0096,EXP-919-004,DEC-00096,time_constraint,second,proceed,pause,critical_positive,yes
OVR-0169,EXP-919-004,DEC-00169,collective_vote,crew_leader,standard_specimen,priority_specimen,critical_positive,yes
OVR-0198,EXP-919-004,DEC-00198,equipment_issue,collective,skip,extensive_collection,critical_positive,yes
OVR-0023,EXP-919-005,DEC-03983,crew_unease,crew_leader,cautious_approach,avoid,negative,no
OVR-0024,EXP-919-005,DEC-03984,collective_vote,second,continue,standard_site,positive,yes
OVR-0025,EXP-919-005,DEC-03985,crew_unease,crew_leader,investigate,alternate_path,neutral,inconclusive
OVR-0092,EXP-919-005,DEC-00092,collective_vote,crew_leader,proceed,partial_retreat,critical_negative,partially
OVR-0138,EXP-919-005,DEC-00138,terrain_assessment,crew_leader,continue,defensive_site,neutral,inconclusive
OVR-0190,EXP-919-005,DEC-00190,intuition,crew_leader,proceed,pause,negative,partially
OVR-0026,EXP-919-006,DEC-03987,resource_limitation,crew_leader,cautious_approach,avoid,critical_negative,partially
OVR-0081,EXP-919-006,DEC-00081,terrain_assessment,second,avoid,direct_engagement,neutral,yes
OVR-0082,EXP-919-006,DEC-00082,resource_limitation,collective,pause,proceed,positive,yes
OVR-0085,EXP-919-006,DEC-00085,landmark_discrepancy,crew_leader,retreat_path,alternate_path,critical_negative,inconclusive
OVR-0188,EXP-919-006,DEC-00188,prior_experience,collective,avoid,cautious_approach,negative,inconclusive
OVR-0027,EXP-919-007,DEC-03995,compass_anomaly,crew_leader,full_retreat,partial_retreat,positive,yes
OVR-0119,EXP-919-007,DEC-00119,time_constraint,crew_leader,defensive_site,standard_site,critical_negative,no
OVR-0167,EXP-919-007,DEC-00167,collective_vote,crew_leader,investigate,alternate_path,neutral,inconclusive
OVR-0028,EXP-919-008,DEC-03996,equipment_issue,second,alternate_path,retreat_path,positive,yes
OVR-0029,EXP-919-008,DEC-03997,compass_anomaly,crew_leader,emergency_site,standard_site,positive,yes
OVR-0030,EXP-919-008,DEC-03998,weather_concern,second,full_retreat,proceed,positive,yes
OVR-0031,EXP-919-008,DEC-03999,landmark_discrepancy,second,pause,partial_retreat,neutral,yes
OVR-0032,EXP-919-008,DEC-04000,crew_unease,crew_leader,priority_specimen,standard_specimen,positive,yes
OVR-0033,EXP-919-008,DEC-04001,crew_unease,crew_leader,cautious_approach,direct_engagement,positive,yes
OVR-0034,EXP-919-008,DEC-04002,prior_experience,second,priority_specimen,extensive_collection,positive,yes
OVR-0035,EXP-919-008,DEC-04003,intuition,second,proceed,partial_retreat,neutral,inconclusive
OVR-0036,EXP-919-008,DEC-04005,weather_concern,collective,priority_specimen,standard_specimen,positive,yes
OVR-0037,EXP-919-008,DEC-04006,time_constraint,second,investigate,primary_path,positive,yes
OVR-0127,EXP-919-009,DEC-00127,crew_unease,collective,extensive_collection,priority_specimen,critical_positive,yes
OVR-0134,EXP-919-009,DEC-00134,environmental_observation,collective,direct_engagement,observe,critical_positive,yes
OVR-0143,EXP-919-009,DEC-00143,crew_unease,second,standard_specimen,priority_specimen,neutral,yes
OVR-0146,EXP-919-009,DEC-00146,environmental_observation,second,continue,emergency_site,positive,yes
OVR-0038,EXP-919-010,DEC-04013,weather_concern,crew_leader,defensive_site,continue,neutral,yes
OVR-0039,EXP-919-010,DEC-04014,prior_experience,collective,direct_engagement,observe,neutral,yes
OVR-0040,EXP-919-010,DEC-04019,compass_anomaly,collective,defensive_site,continue,neutral,yes
OVR-0118,EXP-919-010,DEC-00118,time_constraint,crew_leader,priority_specimen,skip,positive,yes
OVR-0041,EXP-920-001,DEC-04023,resource_limitation,second,avoid,cautious_approach,neutral,yes
OVR-0068,EXP-920-001,DEC-00068,landmark_discrepancy,crew_leader,extensive_collection,priority_specimen,positive,yes
OVR-0042,EXP-920-002,DEC-04026,collective_vote,crew_leader,proceed,partial_retreat,positive,yes
OVR-0043,EXP-920-003,DEC-04032,crew_unease,second,primary_path,alternate_path,neutral,inconclusive
OVR-0044,EXP-920-003,DEC-04033,environmental_observation,collective,skip,priority_specimen,positive,yes
OVR-0045,EXP-920-003,DEC-04034,crew_unease,crew_leader,partial_retreat,proceed,positive,yes
OVR-0046,EXP-920-003,DEC-04035,creature_sign,crew_leader,primary_path,investigate,neutral,yes
OVR-0047,EXP-920-003,DEC-04036,crew_unease,collective,direct_engagement,cautious_approach,positive,yes
OVR-0048,EXP-920-003,DEC-04038,terrain_assessment,crew_leader,cautious_approach,avoid,neutral,yes
OVR-0049,EXP-920-003,DEC-04040,compass_anomaly,collective,avoid,observe,positive,yes
OVR-0050,EXP-920-003,DEC-04041,prior_experience,collective,full_retreat,partial_retreat,critical_positive,yes
OVR-0098,EXP-920-003,DEC-00098,weather_concern,second,extensive_collection,standard_specimen,neutral,yes
OVR-0132,EXP-920-003,DEC-00132,crew_unease,crew_leader,pause,partial_retreat,positive,yes
OVR-0166,EXP-920-003,DEC-00166,environmental_observation,crew_leader,standard_specimen,skip,positive,yes
OVR-0091,EXP-920-004,DEC-00091,compass_anomaly,crew_leader,investigate,primary_path,neutral,inconclusive
OVR-0051,EXP-920-005,DEC-04050,compass_anomaly,crew_leader,standard_specimen,extensive_collection,positive,yes
OVR-0052,EXP-920-005,DEC-04055,terrain_assessment,crew_leader,extensive_collection,standard_specimen,positive,yes
OVR-0053,EXP-920-006,DEC-04060,time_constraint,crew_leader,continue,standard_site,positive,yes
OVR-0124,EXP-920-006,DEC-00124,environmental_observation,crew_leader,avoid,direct_engagement,positive,yes
OVR-0079,EXP-920-007,DEC-00079,time_constraint,collective,retreat_path,investigate,positive,yes
OVR-0054,EXP-920-008,DEC-04073,intuition,crew_leader,pause,proceed,positive,yes
OVR-0116,EXP-920-008,DEC-00116,time_constraint,collective,extensive_collection,standard_specimen,positive,yes
OVR-0126,EXP-920-008,DEC-00126,prior_experience,second,extensive_collection,standard_specimen,critical_positive,yes
OVR-0139,EXP-920-008,DEC-00139,environmental_observation,second,primary_path,retreat_path,neutral,inconclusive
OVR-0185,EXP-920-008,DEC-00185,compass_anomaly,second,defensive_site,standard_site,positive,yes
OVR-0114,EXP-920-009,DEC-00114,prior_experience,crew_leader,proceed,partial_retreat,positive,yes
OVR-0105,EXP-920-010,DEC-00105,weather_concern,second,defensive_site,emergency_site,critical_positive,yes
OVR-0128,EXP-920-010,DEC-00128,equipment_issue,crew_leader,direct_engagement,observe,critical_positive,yes
OVR-0055,EXP-920-011,DEC-04089,resource_limitation,collective,skip,priority_specimen,neutral,yes
OVR-0056,EXP-920-011,DEC-04090,creature_sign,crew_leader,skip,standard_specimen,neutral,yes
OVR-0057,EXP-921-001,DEC-04092,environmental_observation,collective,investigate,primary_path,neutral,inconclusive
OVR-0182,EXP-921-001,DEC-00182,crew_unease,protocol_interpreter,full_retreat,partial_retreat,positive,yes
OVR-0135,EXP-921-002,DEC-00135,landmark_discrepancy,second,standard_specimen,skip,neutral,inconclusive
OVR-0170,EXP-921-002,DEC-00170,terrain_assessment,collective,full_retreat,proceed,neutral,inconclusive
OVR-0088,EXP-921-003,DEC-00088,environmental_observation,second,standard_specimen,priority_specimen,positive,yes
OVR-0179,EXP-921-003,DEC-00179,weather_concern,crew_leader,cautious_approach,direct_engagement,critical_positive,yes
OVR-0058,EXP-921-004,DEC-04107,weather_concern,crew_leader,cautious_approach,observe,neutral,inconclusive
OVR-0059,EXP-921-004,DEC-04113,prior_experience,crew_leader,observe,direct_engagement,positive,yes
OVR-0181,EXP-921-004,DEC-00181,equipment_issue,collective,priority_specimen,standard_specimen,positive,yes
OVR-0060,EXP-921-005,DEC-04115,terrain_assessment,collective,cautious_approach,avoid,positive,yes
OVR-0061,EXP-921-005,DEC-04118,intuition,collective,standard_site,defensive_site,neutral,inconclusive
OVR-0077,EXP-921-005,DEC-00077,terrain_assessment,protocol_interpreter,direct_engagement,avoid,critical_negative,yes
OVR-0100,EXP-921-005,DEC-00100,landmark_discrepancy,crew_leader,standard_site,defensive_site,critical_positive,yes
OVR-0113,EXP-921-005,DEC-00113,landmark_discrepancy,protocol_interpreter,investigate,primary_path,negative,yes
OVR-0062,EXP-921-006,DEC-04121,landmark_discrepancy,crew_leader,proceed,partial_retreat,negative,no
OVR-0063,EXP-921-006,DEC-04126,environmental_observation,second,standard_site,continue,negative,partially
OVR-0137,EXP-921-006,DEC-00137,collective_vote,crew_leader,full_retreat,partial_retreat,negative,inconclusive
OVR-0177,EXP-921-006,DEC-00177,terrain_assessment,crew_leader,investigate,primary_path,critical_negative,partially
OVR-0090,EXP-921-007,DEC-00090,crew_unease,crew_leader,priority_specimen,skip,critical_positive,yes
OVR-0109,EXP-921-007,DEC-00109,crew_unease,collective,standard_site,defensive_site,positive,yes
OVR-0191,EXP-921-007,DEC-00191,compass_anomaly,protocol_interpreter,primary_path,retreat_path,positive,yes
OVR-0140,EXP-921-008,DEC-00140,equipment_issue,protocol_interpreter,alternate_path,primary_path,positive,yes
OVR-0158,EXP-921-008,DEC-00158,crew_unease,crew_leader,cautious_approach,avoid,critical_positive,yes
OVR-0064,EXP-921-009,DEC-04141,time_constraint,crew_leader,partial_retreat,proceed,positive,yes
OVR-0065,EXP-921-010,DEC-04146,resource_limitation,collective,skip,priority_specimen,positive,yes
OVR-0071,EXP-921-010,DEC-00071,collective_vote,crew_leader,retreat_path,alternate_path,positive,yes
OVR-0112,EXP-921-010,DEC-00112,landmark_discrepancy,crew_leader,emergency_site,defensive_site,positive,yes
OVR-0145,EXP-921-010,DEC-00145,resource_limitation,crew_leader,continue,emergency_site,positive,yes
