application_id,date,region,worker_id,pattern_used,task_type,volume_level,stability_level,time_pressure,outcome,time_to_complete_minutes,errors_detected,pattern_match_correct,notes
PA-031,849-11-01,northern,VM-01,escalation_analyst,winter_instability,low,red,low,success,10,0,TRUE,Seasonal escalation
PA-032,849-11-05,eastern,TH-02,intake_triager,document_intake,high,green,high,success,43,0,TRUE,Consistent performance
PA-033,849-11-08,western,DM-01,verification_specialist,source_check,low,yellow,medium,success,38,0,TRUE,YELLOW source noted
PA-034,849-11-12,eastern,TH-01,cross_reference_builder,index_expansion,medium,green,low,success,50,0,TRUE,Batch creation mode
PA-035,849-11-15,northern,VM-02,classification_repairer,winter_drift,low,yellow,low,partial,55,1,TRUE,Seasonal factor documented
PA-036,849-11-18,western,MK-01,escalation_analyst,political_sensitivity,low,yellow,medium,success,15,0,TRUE,Dual channel escalation
PA-037,849-11-22,eastern,TH-02,verification_specialist,bulk_verify,medium,green,medium,success,48,0,TRUE,Efficient grouping
PA-038,849-11-25,western,DM-01,intake_triager,document_intake,medium,mixed,medium,success,40,1,TRUE,Mixed stability handled
PA-039,849-12-01,northern,VM-01,verification_specialist,winter_verify,low,red,low,failure,70,0,FALSE,Escalation needed
PA-040,849-12-05,eastern,TH-01,classification_repairer,year_end_audit,medium,green,medium,success,65,0,TRUE,Systematic repair
PA-041,850-01-15,eastern,TH-01,intake_triager,new_year_batch,high,green,high,success,48,0,TRUE,Pattern stable
PA-042,850-01-18,western,MK-01,verification_specialist,claim_verify,low,yellow,low,success,32,0,TRUE,Standard YELLOW handling
PA-043,850-01-22,northern,VM-01,escalation_analyst,deep_winter,low,red,medium,success,12,0,TRUE,Appropriate escalation
PA-044,850-02-01,eastern,TH-02,intake_triager,high_volume,high,mixed,high,success,44,1,TRUE,Terin Holt adaptation
PA-045,850-02-05,western,DM-01,cross_reference_builder,new_series,medium,green,low,success,42,0,TRUE,Clean creation
PA-046,850-02-08,eastern,TH-01,classification_repairer,format_update,low,green,low,success,30,0,TRUE,Quick fix
PA-047,850-02-12,northern,VM-02,verification_specialist,thaw_verify,low,yellow,low,partial,45,1,TRUE,Transitional caution
PA-048,850-02-15,western,MK-01,escalation_analyst,boundary_reference,low,red,low,success,18,0,TRUE,Protected handoff
PA-049,850-03-01,eastern,TH-02,intake_triager,spring_batch,high,green,high,success,41,0,TRUE,Consistent results
PA-050,850-03-05,western,DM-01,verification_specialist,provenance,low,green,low,success,28,0,TRUE,Clean verification
PA-051,850-03-08,northern,VM-01,cross_reference_builder,spring_links,medium,yellow,medium,partial,58,2,TRUE,Transitional awareness
PA-052,850-03-12,eastern,TH-01,classification_repairer,cascade_fix,low,yellow,medium,success,72,0,TRUE,Root cause method
PA-053,850-03-15,western,MK-01,intake_triager,mixed_intake,medium,mixed,medium,success,38,1,TRUE,Signal first approach
PA-054,850-03-18,northern,VM-02,escalation_analyst,expertise_gap,low,yellow,low,success,14,0,TRUE,Network resource used
PA-055,850-04-01,eastern,TH-02,verification_specialist,audit_verify,medium,green,medium,success,52,0,TRUE,Systematic checking
PA-056,850-04-05,western,DM-01,cross_reference_builder,finding_aid,low,green,low,success,35,0,TRUE,Standard creation
PA-057,850-04-08,eastern,TH-01,intake_triager,high_priority,high,green,high,success,39,0,TRUE,Priority scoring works
PA-058,850-04-12,northern,VM-01,classification_repairer,spring_repair,low,yellow,low,success,48,0,TRUE,Seasonal factor considered
PA-059,850-04-15,western,MK-01,verification_specialist,complex_claim,low,yellow,medium,success,42,0,TRUE,Multiple sources checked
PA-060,850-04-18,eastern,TH-02,escalation_analyst,authorization,low,green,low,success,10,0,TRUE,Clear limit recognized
