measurement_id,entity_type,entity_id,entity_name,target_form_id,target_basin_id,origin_type,navigation_velocity,peak_velocity,initial_velocity,final_velocity,total_duration,acceleration_phase_days,cruise_phase_days,deceleration_phase_days,efficiency_score,comparison_to_average,comparison_to_geodesic,navigation_experience,attractor_strength,path_difficulty,environmental_conditions,measurement_year,measurer,measurement_method,confidence,notes
NS-0017,collective,EN-411,Flock navigation,MS-0081,BA-016,disrupted_state,0.0191,0.0354,0.0073,0.0091,365,70,248,47,0.852,1.156,1.174,first_time,1.543,0.963,challenging,929,T. Vells,continuous_tracking,0.942,Collective navigation to Form 0081. Experience: first_time.
NS-0018,behavior_pattern,,Breathing rhythm,MS-0071,BA-048,genesis,0.028,0.042,0.0124,0.0069,178,38,119,21,0.943,1.0,1.06,inherited_knowledge,1.402,0.505,challenging,931,K. Strand,continuous_tracking,0.858,Behavior_Pattern navigation to Form 0071. Experience: inherited_knowledge.
NS-0019,structure,EN-081,Crystallization,MS-0047,BA-017,induced_start,0.0338,0.0525,0.0218,0.0148,365,40,295,30,0.854,0.777,1.17,first_time,1.618,0.823,normal,926,Archive Survey Team,continuous_tracking,0.839,Structure navigation to Form 0047. Experience: first_time.
NS-0020,creature,EN-472,Stakdur specimen,MS-0065,BA-028,prior_form,0.0963,0.158,0.0426,0.0119,194,19,154,21,0.415,0.499,2.407,experienced,1.661,0.433,optimal,925,Archive Survey Team,retrospective_calculation,0.716,Creature navigation to Form 0065. Experience: experienced.
NS-0021,collective,,Flock navigation,MS-0058,BA-049,genesis,0.05,0.09,0.027,0.0064,249,56,180,13,0.607,0.521,1.647,first_time,1.04,0.644,normal,918,R. Voss,continuous_tracking,0.589,Collective navigation to Form 0058. Experience: first_time.
NS-0022,creature,,Reed-spinner,MS-0022,BA-024,prior_form,0.0611,0.0869,0.0454,0.0278,144,31,101,12,0.402,0.38,2.486,first_time,1.765,0.601,normal,918,Archive Survey Team,retrospective_calculation,0.907,Creature navigation to Form 0022. Experience: first_time.
NS-0023,collective,EN-372,Colony shift,MS-0024,BA-015,genesis,0.1132,0.2033,0.0552,0.0362,62,7,50,5,0.596,0.838,1.677,experienced,0.6,0.282,optimal,928,K. Strand,continuous_tracking,0.773,Collective navigation to Form 0024. Experience: experienced.
NS-0024,collective,EN-261,Flock navigation,MS-0013,BA-018,prior_form,0.0625,0.0845,0.036,0.016,211,38,150,23,0.489,0.698,2.044,first_time,1.964,0.835,optimal,931,K. Strand,form_transition_timing,0.682,Collective navigation to Form 0013. Experience: first_time.
NS-0025,creature,EN-434,Cave bat,MS-0059,BA-017,induced_start,0.1907,0.2487,0.1095,0.0631,61,11,47,3,0.854,1.187,1.172,expert,1.618,0.728,normal,919,R. Voss,waypoint_timing,0.931,Creature navigation to Form 0059. Experience: expert.
NS-0026,behavior_pattern,EN-499,Tension cycle,MS-0072,BA-041,genesis,0.0412,0.0666,0.0228,0.0136,365,40,307,18,0.598,0.643,1.671,first_time,1.922,0.119,normal,930,Archive Survey Team,continuous_tracking,0.687,Behavior_Pattern navigation to Form 0072. Experience: first_time.
NS-0027,phenomenon,,Boundary event,MS-0009,BA-013,prior_form,0.0859,0.1471,0.0467,0.0348,80,9,63,8,0.657,0.662,1.523,experienced,0.609,0.773,challenging,922,K. Strand,continuous_tracking,0.837,Phenomenon navigation to Form 0009. Experience: experienced.
NS-0028,behavior_pattern,,Breathing rhythm,MS-0060,BA-022,genesis,0.0489,0.0613,0.0258,0.0147,295,71,206,18,0.528,0.69,1.893,first_time,1.3,0.701,normal,921,K. Strand,form_transition_timing,0.655,Behavior_Pattern navigation to Form 0060. Experience: first_time.
NS-0029,creature,EN-193,Reed-spinner,MS-0030,BA-001,genesis,0.0399,0.0527,0.0231,0.0079,142,23,108,11,0.659,0.901,1.518,first_time,1.8,0.184,normal,920,R. Voss,continuous_tracking,0.679,Creature navigation to Form 0030. Experience: first_time.
NS-0030,behavior_pattern,,Breathing rhythm,MS-0048,BA-018,prior_form,0.0716,0.1058,0.0493,0.0126,148,16,114,18,0.759,1.023,1.317,first_time,1.964,0.487,optimal,925,C. Vells,form_transition_timing,0.624,Behavior_Pattern navigation to Form 0048. Experience: first_time.
NS-0031,behavior_pattern,,Quintic manifestation,MS-0023,BA-019,genesis,0.0523,0.0939,0.03,0.0222,365,47,264,54,0.68,0.874,1.471,experienced,0.579,0.947,hostile,920,T. Vells,waypoint_timing,0.537,Behavior_Pattern navigation to Form 0023. Experience: experienced.
NS-0032,collective,EN-066,Colony shift,MS-0083,BA-035,disrupted_state,0.0204,0.0329,0.0137,0.0063,365,46,268,51,0.885,0.793,1.13,first_time,0.882,0.453,challenging,930,T. Vells,form_transition_timing,0.934,Collective navigation to Form 0083. Experience: first_time.
NS-0033,structure,EN-406,Crystallization,MS-0077,BA-008,prior_form,0.1491,0.2613,0.046,0.0296,120,17,94,9,0.924,0.895,1.082,experienced,1.205,0.868,normal,928,T. Vells,continuous_tracking,0.696,Structure navigation to Form 0077. Experience: experienced.
NS-0034,behavior_pattern,,Quintic manifestation,MS-0021,BA-001,prior_form,0.0741,0.1298,0.0527,0.0273,113,19,89,5,0.973,1.291,1.028,experienced,1.8,0.615,challenging,920,C. Vells,continuous_tracking,0.62,Behavior_Pattern navigation to Form 0021. Experience: experienced.
NS-0035,structure,EN-297,Formation growth,MS-0017,BA-001,induced_start,0.054,0.08,0.0359,0.0058,135,15,105,15,0.765,0.648,1.307,expert,1.8,0.577,hostile,930,K. Strand,retrospective_calculation,0.825,Structure navigation to Form 0017. Experience: expert.
NS-0036,structure,EN-292,Crystallization,MS-0098,BA-045,prior_form,0.0565,0.0906,0.0235,0.0215,274,52,196,26,0.547,0.714,1.83,first_time,0.737,0.549,normal,922,Archive Survey Team,continuous_tracking,0.968,Structure navigation to Form 0098. Experience: first_time.
NS-0037,behavior_pattern,,Breathing rhythm,MS-0043,BA-037,induced_start,0.049,0.061,0.0337,0.0217,163,40,100,23,0.501,0.562,1.994,first_time,1.501,0.473,optimal,924,Archive Survey Team,retrospective_calculation,0.742,Behavior_Pattern navigation to Form 0043. Experience: first_time.
NS-0038,phenomenon,,Dissolution event,MS-0087,BA-034,genesis,0.1124,0.1508,0.0855,0.02,64,6,53,5,0.698,0.747,1.433,experienced,1.333,0.635,normal,929,C. Vells,retrospective_calculation,0.858,Phenomenon navigation to Form 0087. Experience: experienced.
NS-0039,phenomenon,,Weather pattern,MS-0088,BA-017,prior_form,0.044,0.0785,0.0155,0.0169,365,75,256,34,0.748,1.098,1.337,inherited_knowledge,1.618,0.899,normal,927,Archive Survey Team,form_transition_timing,0.928,Phenomenon navigation to Form 0088. Experience: inherited_knowledge.
NS-0040,collective,EN-377,Colony shift,MS-0046,BA-047,disrupted_state,0.0858,0.1615,0.0649,0.0208,195,37,133,25,0.754,0.899,1.327,experienced,1.28,0.168,optimal,928,R. Voss,form_transition_timing,0.611,Collective navigation to Form 0046. Experience: experienced.
NS-0041,phenomenon,,Weather pattern,MS-0039,BA-017,induced_start,0.0919,0.1746,0.0711,0.0343,184,23,145,16,0.551,0.737,1.816,experienced,1.618,0.423,optimal,931,R. Voss,waypoint_timing,0.991,Phenomenon navigation to Form 0039. Experience: experienced.
NS-0042,structure,EN-305,Formation growth,MS-0080,BA-048,prior_form,0.0213,0.0257,0.0068,0.0041,365,44,275,46,0.999,0.925,1.001,first_time,1.402,0.428,challenging,918,C. Vells,continuous_tracking,0.657,Structure navigation to Form 0080. Experience: first_time.
NS-0043,creature,EN-302,Reed-spinner,MS-0050,BA-001,genesis,0.0903,0.1458,0.0321,0.0313,141,34,96,11,0.618,0.832,1.617,experienced,1.8,0.714,normal,922,C. Vells,waypoint_timing,0.51,Creature navigation to Form 0050. Experience: experienced.
NS-0044,creature,EN-257,Reed-spinner,MS-0036,BA-042,genesis,0.0563,0.0982,0.0213,0.0161,229,24,190,15,0.867,1.034,1.154,first_time,0.868,0.268,normal,926,R. Voss,continuous_tracking,0.774,Creature navigation to Form 0036. Experience: first_time.
NS-0045,collective,,Colony shift,MS-0081,BA-016,genesis,0.1266,0.2081,0.0896,0.0161,67,12,51,4,0.716,0.98,1.397,experienced,1.543,0.67,optimal,918,R. Voss,form_transition_timing,0.591,Collective navigation to Form 0081. Experience: experienced.
NS-0046,creature,,Reed-spinner,MS-0026,BA-034,genesis,0.1816,0.2379,0.0774,0.0329,36,5,28,3,0.845,1.246,1.183,expert,1.333,0.616,normal,924,T. Vells,continuous_tracking,0.613,Creature navigation to Form 0026. Experience: expert.
NS-0047,behavior_pattern,,Tension cycle,MS-0086,BA-013,induced_start,0.1701,0.2257,0.07,0.0646,38,7,27,4,0.966,1.152,1.035,expert,0.609,0.877,optimal,929,R. Voss,retrospective_calculation,0.913,Behavior_Pattern navigation to Form 0086. Experience: expert.
NS-0048,collective,,Colony shift,MS-0094,BA-022,prior_form,0.0666,0.0988,0.048,0.0275,250,56,159,35,1.0,1.056,1.0,inherited_knowledge,1.3,0.821,normal,928,R. Voss,form_transition_timing,0.854,Collective navigation to Form 0094. Experience: inherited_knowledge.
NS-0049,creature,EN-305,Reed-spinner,MS-0063,BA-007,prior_form,0.0259,0.0356,0.0083,0.0059,365,78,249,38,0.953,1.077,1.05,first_time,0.802,0.37,normal,919,K. Strand,form_transition_timing,0.607,Creature navigation to Form 0063. Experience: first_time.
NS-0050,collective,EN-057,Colony shift,MS-0087,BA-034,genesis,0.0646,0.0849,0.0482,0.0224,250,54,173,23,1.0,1.243,1.0,inherited_knowledge,1.333,0.778,normal,932,Archive Survey Team,waypoint_timing,0.726,Collective navigation to Form 0087. Experience: inherited_knowledge.
NS-0051,creature,,Scavenger group,MS-0063,BA-007,genesis,0.0743,0.1378,0.0461,0.0195,119,15,90,14,0.48,0.535,2.082,experienced,0.802,0.391,challenging,919,R. Voss,retrospective_calculation,0.787,Creature navigation to Form 0063. Experience: experienced.
NS-0052,creature,EN-075,Scavenger group,MS-0100,BA-050,prior_form,0.0858,0.1528,0.0338,0.028,95,10,73,12,0.756,0.958,1.323,inherited_knowledge,0.613,0.823,normal,930,C. Vells,waypoint_timing,0.699,Creature navigation to Form 0100. Experience: inherited_knowledge.
NS-0053,creature,,Scavenger group,MS-0011,BA-002,genesis,0.0643,0.1101,0.0273,0.0093,273,33,213,27,0.638,0.909,1.568,experienced,2.0,0.752,hostile,918,Archive Survey Team,waypoint_timing,0.679,Creature navigation to Form 0011. Experience: experienced.
NS-0054,behavior_pattern,EN-183,Quintic manifestation,MS-0044,BA-023,prior_form,0.0702,0.1391,0.0535,0.0089,171,25,131,15,0.778,0.765,1.286,inherited_knowledge,1.218,0.735,normal,918,C. Vells,continuous_tracking,0.58,Behavior_Pattern navigation to Form 0044. Experience: inherited_knowledge.
NS-0055,creature,EN-443,Stakdur specimen,MS-0046,BA-047,genesis,0.0298,0.041,0.0114,0.014,365,73,270,22,0.806,1.03,1.241,first_time,1.28,0.59,optimal,920,R. Voss,form_transition_timing,0.802,Creature navigation to Form 0046. Experience: first_time.
NS-0056,creature,EN-145,Digger colony,MS-0092,BA-009,disrupted_state,0.044,0.0558,0.0223,0.0098,322,34,270,18,0.779,0.629,1.284,first_time,0.471,0.679,normal,925,K. Strand,waypoint_timing,0.556,Creature navigation to Form 0092. Experience: first_time.
NS-0057,creature,,Reed-spinner,MS-0070,BA-040,genesis,0.0294,0.0402,0.0094,0.0131,365,88,254,23,0.983,1.362,1.017,expert,1.735,0.904,hostile,924,K. Strand,continuous_tracking,0.923,Creature navigation to Form 0070. Experience: expert.
NS-0058,phenomenon,,Oscillation cycle,MS-0011,BA-002,prior_form,0.0548,0.0871,0.026,0.0226,187,32,144,11,0.615,0.677,1.625,first_time,2.0,0.556,normal,920,K. Strand,waypoint_timing,0.996,Phenomenon navigation to Form 0011. Experience: first_time.
NS-0059,phenomenon,,Dissolution event,MS-0032,BA-012,genesis,0.0853,0.1374,0.0547,0.0309,93,9,77,7,0.845,0.974,1.184,experienced,0.61,0.779,challenging,918,R. Voss,waypoint_timing,0.644,Phenomenon navigation to Form 0032. Experience: experienced.
NS-0060,behavior_pattern,EN-484,Tension cycle,MS-0075,BA-029,genesis,0.0448,0.0832,0.0205,0.0188,316,49,237,30,0.581,0.487,1.72,first_time,1.921,0.367,challenging,928,C. Vells,retrospective_calculation,0.731,Behavior_Pattern navigation to Form 0075. Experience: first_time.
NS-0061,structure,,Formation growth,MS-0068,BA-025,genesis,0.0529,0.0718,0.0408,0.0225,365,67,258,40,0.407,0.557,2.456,first_time,1.912,0.591,optimal,923,T. Vells,waypoint_timing,0.72,Structure navigation to Form 0068. Experience: first_time.
NS-0062,behavior_pattern,EN-124,Quintic manifestation,MS-0090,BA-031,prior_form,0.0332,0.0449,0.0145,0.0121,365,84,243,38,0.92,0.869,1.087,first_time,1.231,0.388,hostile,924,T. Vells,retrospective_calculation,0.626,Behavior_Pattern navigation to Form 0090. Experience: first_time.
NS-0063,phenomenon,,Weather pattern,MS-0053,BA-025,genesis,0.0518,0.0997,0.0294,0.0069,119,16,93,10,0.663,0.738,1.509,inherited_knowledge,1.912,0.741,optimal,925,C. Vells,waypoint_timing,0.881,Phenomenon navigation to Form 0053. Experience: inherited_knowledge.
NS-0064,phenomenon,,Oscillation cycle,MS-0022,BA-024,genesis,0.1043,0.1394,0.0526,0.043,67,12,50,5,0.59,0.832,1.696,experienced,1.765,0.681,normal,930,Archive Survey Team,retrospective_calculation,0.553,Phenomenon navigation to Form 0022. Experience: experienced.
NS-0065,phenomenon,,Weather pattern,MS-0034,BA-030,disrupted_state,0.17,0.2147,0.107,0.0256,33,4,25,4,1.0,0.826,1.0,expert,1.732,0.247,normal,926,K. Strand,retrospective_calculation,0.916,Phenomenon navigation to Form 0034. Experience: expert.
NS-0066,phenomenon,EN-476,Boundary event,MS-0002,BA-002,prior_form,0.0661,0.1057,0.0404,0.0204,164,39,115,10,0.739,0.94,1.353,inherited_knowledge,2.0,0.309,normal,930,R. Voss,form_transition_timing,0.666,Phenomenon navigation to The Binary Division. Experience: inherited_knowledge.
NS-0067,phenomenon,EN-045,Weather pattern,MS-0029,BA-043,disrupted_state,0.0835,0.1121,0.0342,0.0109,172,23,139,10,0.653,0.956,1.532,experienced,0.865,0.561,normal,920,Archive Survey Team,waypoint_timing,0.761,Phenomenon navigation to Form 0029. Experience: experienced.
NS-0068,creature,,Digger colony,MS-0032,BA-012,genesis,0.0279,0.0526,0.0215,0.0104,260,43,198,19,0.437,0.446,2.289,experienced,0.61,0.709,hostile,928,T. Vells,form_transition_timing,0.547,Creature navigation to Form 0032. Experience: experienced.
NS-0069,phenomenon,EN-199,Weather pattern,MS-0099,BA-021,genesis,0.1251,0.1598,0.053,0.047,115,19,82,14,0.875,1.077,1.143,inherited_knowledge,1.023,0.799,optimal,926,C. Vells,form_transition_timing,0.96,Phenomenon navigation to Form 0099. Experience: inherited_knowledge.
NS-0070,collective,,Colony shift,MS-0001,BA-001,induced_start,0.0472,0.0796,0.0287,0.0157,365,70,272,23,0.839,1.231,1.191,first_time,1.8,0.449,normal,929,C. Vells,form_transition_timing,0.921,Collective navigation to The Quintic Cycle. Experience: first_time.
NS-0071,behavior_pattern,EN-463,Tension cycle,MS-0040,BA-036,genesis,0.0097,0.0193,0.0066,0.001,365,66,265,34,0.724,0.597,1.382,first_time,1.451,0.366,hostile,924,T. Vells,form_transition_timing,0.829,Behavior_Pattern navigation to Form 0040. Experience: first_time.
NS-0072,creature,EN-125,Cave bat,MS-0042,BA-007,disrupted_state,0.0376,0.0454,0.0207,0.0144,365,84,247,34,0.466,0.427,2.144,experienced,0.802,0.344,normal,928,Archive Survey Team,continuous_tracking,0.503,Creature navigation to Form 0042. Experience: experienced.
NS-0073,structure,,Formation growth,MS-0068,BA-025,induced_start,0.0537,0.0917,0.0269,0.0094,152,32,108,12,0.922,1.022,1.085,experienced,1.912,0.707,normal,919,T. Vells,continuous_tracking,0.684,Structure navigation to Form 0068. Experience: experienced.
NS-0074,behavior_pattern,EN-091,Quintic manifestation,MS-0086,BA-013,induced_start,0.0705,0.1078,0.0559,0.0121,74,11,57,6,0.417,0.348,2.396,experienced,0.609,0.49,normal,920,C. Vells,continuous_tracking,0.502,Behavior_Pattern navigation to Form 0086. Experience: experienced.
NS-0075,creature,EN-146,Scavenger group,MS-0060,BA-022,genesis,0.0451,0.0796,0.0307,0.0055,297,63,218,16,0.615,0.767,1.625,inherited_knowledge,1.3,0.78,normal,920,C. Vells,form_transition_timing,0.547,Creature navigation to Form 0060. Experience: inherited_knowledge.
NS-0076,creature,,Digger colony,MS-0021,BA-001,prior_form,0.0407,0.0707,0.0188,0.0167,365,66,259,40,0.932,0.772,1.073,experienced,1.8,0.745,normal,932,R. Voss,continuous_tracking,0.64,Creature navigation to Form 0021. Experience: experienced.
NS-0077,phenomenon,,Weather pattern,MS-0024,BA-015,genesis,0.0628,0.0779,0.0444,0.0103,186,20,150,16,0.641,0.738,1.561,first_time,0.6,0.201,optimal,928,R. Voss,form_transition_timing,0.561,Phenomenon navigation to Form 0024. Experience: first_time.
NS-0078,behavior_pattern,,Breathing rhythm,MS-0056,BA-023,genesis,0.081,0.1329,0.0405,0.039,244,47,178,19,1.0,1.312,1.0,inherited_knowledge,1.218,0.448,normal,931,K. Strand,form_transition_timing,0.556,Behavior_Pattern navigation to Form 0056. Experience: inherited_knowledge.
NS-0079,creature,,Reed-spinner,MS-0010,BA-040,prior_form,0.0819,0.1179,0.0273,0.011,69,8,53,8,0.445,0.539,2.245,experienced,1.735,0.467,normal,922,C. Vells,retrospective_calculation,0.847,Creature navigation to Form 0010. Experience: experienced.
NS-0080,creature,,Stakdur specimen,MS-0015,BA-004,genesis,0.1911,0.3782,0.1326,0.0558,89,21,62,6,0.427,0.378,2.34,experienced,1.906,0.428,optimal,924,K. Strand,retrospective_calculation,0.896,Creature navigation to Form 0015. Experience: experienced.
NS-0081,creature,EN-314,Cave bat,MS-0076,BA-048,prior_form,0.0626,0.093,0.0448,0.0175,124,28,84,12,0.428,0.565,2.338,experienced,1.402,0.822,hostile,920,K. Strand,waypoint_timing,0.738,Creature navigation to Form 0076. Experience: experienced.
NS-0082,phenomenon,EN-274,Oscillation cycle,MS-0073,BA-025,disrupted_state,0.0703,0.1166,0.0559,0.0188,106,11,90,5,1.0,1.26,1.0,expert,1.912,1.0,challenging,926,Archive Survey Team,form_transition_timing,0.919,Phenomenon navigation to Form 0073. Experience: expert.
NS-0083,collective,,Swarm movement,MS-0067,BA-015,genesis,0.0575,0.0742,0.0234,0.0141,191,38,132,21,1.0,0.985,1.0,inherited_knowledge,0.6,0.785,normal,923,Archive Survey Team,form_transition_timing,0.531,Collective navigation to Form 0067. Experience: inherited_knowledge.
NS-0084,structure,EN-428,Crystallization,MS-0017,BA-001,genesis,0.0467,0.0608,0.0342,0.0106,262,26,212,24,0.965,0.842,1.036,first_time,1.8,0.484,challenging,919,K. Strand,form_transition_timing,0.624,Structure navigation to Form 0017. Experience: first_time.
NS-0085,creature,EN-463,Stakdur specimen,MS-0093,BA-012,disrupted_state,0.0396,0.0546,0.0304,0.0177,365,45,290,30,0.536,0.503,1.867,experienced,0.61,0.566,hostile,927,R. Voss,form_transition_timing,0.866,Creature navigation to Form 0093. Experience: experienced.
NS-0086,creature,,Stakdur specimen,MS-0051,BA-006,genesis,0.0227,0.0443,0.0175,0.0032,365,72,250,43,0.505,0.514,1.979,first_time,0.696,0.851,challenging,921,K. Strand,continuous_tracking,0.672,Creature navigation to Form 0051. Experience: first_time.
NS-0087,creature,EN-271,Scavenger group,MS-0064,BA-016,disrupted_state,0.1038,0.1674,0.0612,0.0285,160,28,116,16,1.0,1.325,1.0,inherited_knowledge,1.543,0.57,optimal,925,T. Vells,waypoint_timing,0.846,Creature navigation to Form 0064. Experience: inherited_knowledge.
NS-0088,creature,EN-114,Scavenger group,MS-0025,BA-032,genesis,0.0569,0.0846,0.0452,0.013,98,15,73,10,1.0,1.43,1.0,inherited_knowledge,1.778,0.636,normal,927,T. Vells,form_transition_timing,0.824,Creature navigation to Form 0025. Experience: inherited_knowledge.
NS-0089,creature,EN-097,Cave bat,MS-0093,BA-012,prior_form,0.0515,0.0684,0.016,0.0092,306,60,228,18,0.705,0.738,1.418,inherited_knowledge,0.61,0.716,optimal,932,K. Strand,waypoint_timing,0.756,Creature navigation to Form 0093. Experience: inherited_knowledge.
NS-0090,behavior_pattern,,Breathing rhythm,MS-0052,BA-047,genesis,0.0852,0.1203,0.049,0.0208,209,26,153,30,0.91,1.059,1.098,first_time,1.28,0.681,optimal,926,C. Vells,retrospective_calculation,0.903,Behavior_Pattern navigation to Form 0052. Experience: first_time.
NS-0091,creature,EN-117,Reed-spinner,MS-0024,BA-015,prior_form,0.0831,0.1612,0.0544,0.0207,94,14,70,10,0.418,0.49,2.393,experienced,0.6,0.623,challenging,918,C. Vells,waypoint_timing,0.781,Creature navigation to Form 0024. Experience: experienced.
NS-0092,creature,,Cave bat,MS-0077,BA-008,genesis,0.0305,0.0529,0.0209,0.0129,332,74,209,49,0.835,1.21,1.197,first_time,1.205,0.454,optimal,928,Archive Survey Team,retrospective_calculation,0.83,Creature navigation to Form 0077. Experience: first_time.
NS-0093,creature,EN-108,Reed-spinner,MS-0097,BA-037,prior_form,0.0475,0.0879,0.0252,0.0052,258,56,187,15,0.564,0.495,1.774,first_time,1.501,0.753,normal,922,K. Strand,continuous_tracking,0.689,Creature navigation to Form 0097. Experience: first_time.
NS-0094,collective,EN-318,Flock navigation,MS-0002,BA-002,disrupted_state,0.106,0.1835,0.0594,0.0165,148,15,120,13,0.608,0.75,1.644,experienced,2.0,0.37,normal,921,T. Vells,waypoint_timing,0.943,Collective navigation to The Binary Division. Experience: experienced.
NS-0095,collective,EN-267,Colony shift,MS-0058,BA-049,genesis,0.0342,0.0439,0.0247,0.0094,354,42,262,50,0.538,0.544,1.86,experienced,1.04,0.678,hostile,920,T. Vells,waypoint_timing,0.684,Collective navigation to Form 0058. Experience: experienced.
NS-0096,creature,EN-001,Cave bat,MS-0004,BA-003,disrupted_state,0.0363,0.0594,0.0219,0.0061,319,53,227,39,0.975,1.15,1.026,first_time,1.5,0.329,challenging,922,R. Voss,continuous_tracking,0.539,Creature navigation to The Tension. Experience: first_time.
NS-0097,phenomenon,,Boundary event,MS-0002,BA-002,genesis,0.0647,0.0897,0.0481,0.0127,226,47,156,23,0.522,0.634,1.916,experienced,2.0,0.615,hostile,928,C. Vells,form_transition_timing,0.552,Phenomenon navigation to The Binary Division. Experience: experienced.
NS-0098,creature,,Cave bat,MS-0042,BA-007,induced_start,0.0684,0.0885,0.0237,0.0308,272,40,197,35,0.421,0.383,2.376,first_time,0.802,0.847,normal,929,C. Vells,retrospective_calculation,0.713,Creature navigation to Form 0042. Experience: first_time.
