assessment_id,agent_id,domain,domain_specificity,competency_score,reliability,learning_potential,degradation_risk,upper_complexity_bound,resource_requirements,time_to_completion,context_dependency,stress_degradation,dens_proximity_effect,delegation_reliability,supervision_required,autonomy_appropriate,assessment_year,assessment_method,assessor,sample_size,confidence,notes
CA-0038,AG-0067,maintenance,moderate,0.52,0.62,0.2,0.34,novel_categorization,minimal,weeks,mildly_context_dependent,0.47,minor_degradation,highly_reliable,close,True,938,peer_assessment,Independent Observer,80,0.86,
CA-0039,AG-0004,preservation,general,0.59,0.57,0.13,0.28,simple_retrieval,substantial,minutes,moderately_context_dependent,0.44,no_effect,variable,minimal,True,913,direct_testing,Independent Observer,85,0.75,
CA-0040,AG-0332,threat_response,moderate,0.33,0.68,0.72,0.36,multi-step_planning,moderate,immediate,mildly_context_dependent,0.29,enhancement,reliable,moderate,False,935,direct_testing,Independent Observer,59,0.67,
CA-0041,AG-0336,signaling,general,0.64,0.57,0.56,0.08,novel_categorization,moderate,minutes,mildly_context_dependent,0.46,no_effect,highly_reliable,minimal,False,929,direct_testing,Colony Observation Unit,147,0.79,
CA-0042,AG-0255,pattern_recognition,highly_specific,0.4,0.71,0.29,0.14,multi-step_planning,minimal,days,mildly_context_dependent,0.38,no_effect,variable,moderate,False,929,historical_record,Archive Survey Team,46,0.92,
CA-0043,AG-0354,document_processing,moderate,0.78,0.79,0.44,0.09,pattern_matching,moderate,days,context_independent,0.12,significant_degradation,highly_reliable,minimal,False,914,direct_testing,Archive Survey Team,88,0.62,
CA-0044,AG-0361,construction,general,0.75,0.81,0.39,0.18,pattern_matching,substantial,days,moderately_context_dependent,0.4,no_effect,unreliable,moderate,False,927,direct_testing,T. Crost,129,0.69,
CA-0045,AG-0245,memory_storage,moderate,0.7,0.62,0.72,0.12,novel_categorization,minimal,hours,mildly_context_dependent,0.54,significant_degradation,variable,moderate,True,914,direct_testing,O. Venn,93,0.89,
CA-0046,AG-0473,adaptation,general,0.62,0.43,0.52,0.13,multi-step_planning,moderate,hours,context_independent,0.46,significant_degradation,variable,close,False,934,behavioral_observation,Klutch CC Research,27,0.67,
CA-0047,AG-0327,resource_acquisition,general,0.4,0.49,0.69,0.17,novel_categorization,minimal,minutes,mildly_context_dependent,0.47,minor_degradation,not_recommended,minimal,True,928,behavioral_observation,O. Venn,187,0.84,
CA-0048,AG-0001,document_processing,general,0.76,0.51,0.29,0.31,novel_categorization,moderate,immediate,highly_context_dependent,0.52,no_effect,reliable,minimal,True,921,behavioral_observation,Boundary Commission,16,0.94,
CA-0049,AG-0449,coordination,moderate,0.82,0.53,0.4,0.24,simple_retrieval,minimal,immediate,mildly_context_dependent,0.42,minor_degradation,variable,moderate,False,939,historical_record,O. Venn,160,0.72,
CA-0050,AG-0013,decision_making,highly_specific,0.71,0.54,0.6,0.12,novel_categorization,substantial,hours,context_independent,0.53,minor_degradation,variable,close,True,913,direct_testing,T. Mord,143,0.8,
CA-0051,AG-0129,threat_response,moderate,0.69,0.71,0.78,0.26,pattern_matching,minimal,minutes,highly_context_dependent,0.42,minor_degradation,reliable,moderate,False,932,behavioral_observation,Klutch CC Research,150,0.6,
CA-0052,AG-0087,resource_acquisition,highly_specific,0.46,0.44,0.58,0.06,abstract_reasoning,minimal,minutes,moderately_context_dependent,0.47,significant_degradation,reliable,minimal,False,915,historical_record,Klutch CC Research,162,0.63,
CA-0053,AG-0403,spatial_navigation,highly_specific,0.79,0.48,0.77,0.35,multi-step_planning,moderate,weeks,context_independent,0.18,minor_degradation,highly_reliable,moderate,False,912,behavioral_observation,Klutch CC Research,28,0.77,
CA-0054,AG-0046,construction,general,0.94,0.59,0.55,0.27,pattern_matching,extensive,immediate,mildly_context_dependent,0.46,minor_degradation,variable,moderate,True,937,behavioral_observation,Independent Observer,39,0.8,
CA-0055,AG-0403,spatial_navigation,moderate,0.48,0.63,0.69,0.27,multi-step_planning,substantial,hours,moderately_context_dependent,0.21,no_effect,variable,close,False,929,historical_record,P. Anster,68,0.69,
CA-0056,AG-0232,resource_acquisition,moderate,0.48,0.9,0.67,0.22,abstract_reasoning,minimal,minutes,mildly_context_dependent,0.58,no_effect,reliable,moderate,False,939,biological_measurement,Independent Observer,44,0.64,
CA-0057,AG-0438,pattern_recognition,specialized,0.33,0.61,0.34,0.08,pattern_matching,moderate,minutes,highly_context_dependent,0.13,minor_degradation,reliable,minimal,False,940,self_report,O. Venn,199,0.85,
CA-0058,AG-0334,document_processing,universal,0.91,0.44,0.48,0.33,multi-step_planning,minimal,minutes,moderately_context_dependent,0.3,no_effect,highly_reliable,close,True,923,direct_testing,Independent Observer,41,0.83,
CA-0059,AG-0054,resource_acquisition,specialized,0.85,0.42,0.58,0.35,multi-step_planning,minimal,weeks,mildly_context_dependent,0.27,no_effect,reliable,close,False,929,biological_measurement,T. Mord,13,0.79,
CA-0060,AG-0069,threat_response,moderate,0.46,0.82,0.56,0.16,multi-step_planning,minimal,minutes,highly_context_dependent,0.26,no_effect,highly_reliable,close,False,936,behavioral_observation,Boundary Commission,109,0.81,
CA-0061,AG-0412,pattern_recognition,highly_specific,0.95,0.95,0.49,0.26,multi-step_planning,moderate,minutes,context_independent,0.32,unpredictable,reliable,minimal,True,935,behavioral_observation,T. Mord,159,0.7,
CA-0062,AG-0005,coordination,specialized,0.38,0.62,0.24,0.12,pattern_matching,minimal,hours,context_independent,0.11,significant_degradation,variable,minimal,True,914,direct_testing,P. Anster,136,0.82,
CA-0063,AG-0240,decision_making,moderate,0.36,0.79,0.62,0.23,novel_categorization,moderate,hours,mildly_context_dependent,0.33,enhancement,unreliable,minimal,False,925,historical_record,O. Venn,123,0.67,
CA-0064,AG-0369,pattern_recognition,specialized,0.8,0.5,0.15,0.18,simple_retrieval,substantial,minutes,moderately_context_dependent,0.18,minor_degradation,highly_reliable,minimal,False,920,biological_measurement,Colony Observation Unit,161,0.6,
CA-0065,AG-0296,construction,general,0.43,0.9,0.32,0.36,novel_categorization,moderate,days,context_independent,0.42,significant_degradation,variable,close,False,935,behavioral_observation,O. Venn,17,0.7,
CA-0066,AG-0248,maintenance,universal,0.39,0.63,0.53,0.14,novel_categorization,substantial,hours,moderately_context_dependent,0.58,minor_degradation,unreliable,moderate,True,920,biological_measurement,T. Mord,61,0.69,
CA-0067,AG-0027,communication,moderate,0.47,0.83,0.46,0.14,simple_retrieval,minimal,minutes,context_independent,0.57,minor_degradation,unreliable,minimal,True,930,behavioral_observation,Independent Observer,10,0.75,
CA-0068,AG-0014,construction,universal,0.54,0.41,0.23,0.3,simple_retrieval,moderate,minutes,context_independent,0.39,no_effect,not_recommended,close,True,916,behavioral_observation,T. Mord,126,0.78,
CA-0069,AG-0306,threat_response,highly_specific,0.62,0.74,0.33,0.24,novel_categorization,minimal,days,mildly_context_dependent,0.33,significant_degradation,variable,moderate,True,935,direct_testing,Boundary Commission,68,0.64,
CA-0070,AG-0234,pattern_recognition,highly_specific,0.74,0.57,0.33,0.37,simple_retrieval,moderate,days,moderately_context_dependent,0.57,no_effect,variable,close,False,932,peer_assessment,O. Venn,106,0.78,
CA-0071,AG-0411,memory_storage,specialized,0.48,0.55,0.53,0.4,pattern_matching,extensive,hours,mildly_context_dependent,0.57,no_effect,variable,constant,True,926,self_report,O. Venn,89,0.87,
CA-0072,AG-0164,communication,specialized,0.4,0.56,0.28,0.33,pattern_matching,moderate,days,mildly_context_dependent,0.11,no_effect,variable,moderate,False,936,direct_testing,Archive Survey Team,32,0.67,
CA-0073,AG-0283,construction,moderate,0.81,0.88,0.17,0.3,simple_retrieval,moderate,minutes,mildly_context_dependent,0.2,significant_degradation,reliable,moderate,True,939,behavioral_observation,M. Strand,160,0.9,
CA-0074,AG-0457,adaptation,moderate,0.62,0.76,0.23,0.24,novel_categorization,minimal,hours,mildly_context_dependent,0.57,significant_degradation,variable,minimal,True,915,historical_record,Independent Observer,105,0.81,
CA-0075,AG-0140,memory_storage,general,0.46,0.63,0.56,0.38,novel_categorization,substantial,days,highly_context_dependent,0.19,significant_degradation,variable,minimal,False,932,behavioral_observation,Independent Observer,185,0.61,
CA-0076,AG-0315,adaptation,universal,0.31,0.44,0.18,0.11,novel_categorization,moderate,immediate,moderately_context_dependent,0.32,no_effect,not_recommended,minimal,False,917,self_report,T. Mord,97,0.7,
CA-0077,AG-0151,resource_acquisition,specialized,0.66,0.46,0.17,0.19,novel_categorization,minimal,hours,moderately_context_dependent,0.59,no_effect,variable,close,True,932,direct_testing,Archive Survey Team,97,0.84,
CA-0078,AG-0451,spatial_navigation,general,0.75,0.68,0.54,0.36,multi-step_planning,extensive,immediate,context_independent,0.43,no_effect,highly_reliable,minimal,False,920,behavioral_observation,O. Venn,109,0.64,
CA-0079,AG-0189,spatial_navigation,specialized,0.56,0.87,0.72,0.12,abstract_reasoning,minimal,days,mildly_context_dependent,0.39,no_effect,variable,minimal,True,936,historical_record,Archive Survey Team,169,0.91,
CA-0080,AG-0105,coordination,highly_specific,0.32,0.47,0.46,0.18,simple_retrieval,substantial,immediate,highly_context_dependent,0.29,minor_degradation,unreliable,moderate,False,917,direct_testing,Klutch CC Research,117,0.74,
CA-0081,AG-0389,pattern_recognition,highly_specific,0.9,0.73,0.61,0.06,simple_retrieval,minimal,hours,moderately_context_dependent,0.27,significant_degradation,variable,close,True,912,self_report,P. Anster,75,0.86,
CA-0082,AG-0367,construction,specialized,0.81,0.84,0.33,0.27,pattern_matching,moderate,minutes,moderately_context_dependent,0.2,unpredictable,reliable,moderate,True,923,biological_measurement,Archive Survey Team,180,0.93,
CA-0083,AG-0448,adaptation,specialized,0.55,0.6,0.32,0.08,pattern_matching,substantial,minutes,mildly_context_dependent,0.14,significant_degradation,unreliable,constant,False,928,behavioral_observation,T. Crost,12,0.63,
CA-0084,AG-0478,decision_making,moderate,0.86,0.94,0.19,0.25,pattern_matching,moderate,weeks,mildly_context_dependent,0.32,significant_degradation,variable,minimal,True,917,historical_record,Archive Survey Team,129,0.73,
CA-0085,AG-0067,signaling,highly_specific,0.57,0.46,0.67,0.31,novel_categorization,moderate,hours,context_independent,0.34,no_effect,not_recommended,constant,False,926,behavioral_observation,Colony Observation Unit,54,0.74,
CA-0086,AG-0259,memory_storage,moderate,0.71,0.69,0.72,0.32,novel_categorization,moderate,hours,moderately_context_dependent,0.27,no_effect,highly_reliable,minimal,False,912,behavioral_observation,Klutch CC Research,189,0.73,
CA-0087,AG-0446,decision_making,highly_specific,0.66,0.76,0.49,0.23,multi-step_planning,moderate,minutes,moderately_context_dependent,0.37,unpredictable,reliable,moderate,False,919,self_report,T. Mord,122,0.75,
CA-0088,AG-0019,preservation,moderate,0.48,0.64,0.78,0.14,novel_categorization,moderate,weeks,mildly_context_dependent,0.37,no_effect,reliable,close,False,933,historical_record,Boundary Commission,147,0.69,
CA-0089,AG-0142,preservation,specialized,0.5,0.4,0.8,0.33,simple_retrieval,moderate,hours,moderately_context_dependent,0.36,no_effect,variable,close,True,933,peer_assessment,Colony Observation Unit,30,0.74,
CA-0090,AG-0010,resource_acquisition,specialized,0.59,0.93,0.52,0.23,novel_categorization,moderate,weeks,mildly_context_dependent,0.36,no_effect,variable,minimal,False,937,behavioral_observation,Colony Observation Unit,22,0.91,
CA-0091,AG-0360,resource_acquisition,moderate,0.88,0.48,0.23,0.09,multi-step_planning,moderate,months,context_independent,0.16,minor_degradation,highly_reliable,none,False,935,peer_assessment,Colony Observation Unit,103,0.94,
CA-0092,AG-0291,spatial_navigation,highly_specific,0.9,0.81,0.23,0.37,novel_categorization,moderate,minutes,context_independent,0.48,significant_degradation,highly_reliable,minimal,True,934,self_report,Independent Observer,66,0.82,
CA-0093,AG-0239,memory_storage,moderate,0.91,0.61,0.7,0.28,novel_categorization,moderate,hours,highly_context_dependent,0.49,no_effect,variable,moderate,False,927,self_report,Colony Observation Unit,77,0.78,
CA-0094,AG-0049,coordination,specialized,0.47,0.83,0.6,0.23,simple_retrieval,extensive,hours,mildly_context_dependent,0.58,significant_degradation,unreliable,moderate,False,935,direct_testing,M. Strand,84,0.77,
CA-0095,AG-0181,resource_acquisition,moderate,0.77,0.78,0.69,0.22,novel_categorization,minimal,immediate,moderately_context_dependent,0.23,no_effect,variable,minimal,True,931,peer_assessment,Klutch CC Research,71,0.76,
CA-0096,AG-0323,threat_response,specialized,0.78,0.44,0.74,0.32,simple_retrieval,moderate,minutes,mildly_context_dependent,0.45,significant_degradation,highly_reliable,minimal,False,932,behavioral_observation,O. Venn,192,0.82,
CA-0097,AG-0003,pattern_recognition,moderate,0.39,0.85,0.69,0.11,pattern_matching,moderate,minutes,context_independent,0.55,no_effect,variable,minimal,False,928,direct_testing,T. Mord,100,0.79,
CA-0098,AG-0003,resource_acquisition,moderate,0.82,0.58,0.56,0.32,novel_categorization,moderate,immediate,mildly_context_dependent,0.43,minor_degradation,variable,moderate,True,937,peer_assessment,P. Anster,59,0.94,
CA-0099,AG-0500,construction,moderate,0.3,0.73,0.53,0.06,simple_retrieval,substantial,hours,highly_context_dependent,0.45,no_effect,unreliable,moderate,False,921,direct_testing,Klutch CC Research,107,0.64,
CA-0100,AG-0147,coordination,general,0.73,0.43,0.51,0.07,abstract_reasoning,minimal,days,moderately_context_dependent,0.4,no_effect,unreliable,minimal,True,918,self_report,O. Venn,194,0.74,
CA-0101,AG-0183,maintenance,specialized,0.81,0.85,0.58,0.35,multi-step_planning,moderate,weeks,moderately_context_dependent,0.59,minor_degradation,reliable,close,True,930,biological_measurement,Klutch CC Research,101,0.86,
CA-0102,AG-0191,adaptation,specialized,0.42,0.41,0.32,0.16,simple_retrieval,substantial,weeks,context_independent,0.32,enhancement,highly_reliable,moderate,False,926,self_report,O. Venn,87,0.79,
CA-0103,AG-0256,construction,moderate,0.57,0.74,0.18,0.39,multi-step_planning,minimal,minutes,moderately_context_dependent,0.38,significant_degradation,variable,minimal,False,923,direct_testing,Archive Survey Team,163,0.78,
CA-0104,AG-0008,preservation,moderate,0.39,0.78,0.16,0.35,novel_categorization,moderate,immediate,moderately_context_dependent,0.22,no_effect,not_recommended,moderate,False,923,historical_record,P. Anster,194,0.88,
CA-0105,AG-0276,coordination,moderate,0.53,0.71,0.55,0.18,novel_categorization,moderate,hours,context_independent,0.39,no_effect,unreliable,moderate,False,917,self_report,O. Venn,169,0.93,
CA-0106,AG-0359,memory_storage,moderate,0.72,0.42,0.59,0.22,multi-step_planning,moderate,months,mildly_context_dependent,0.29,no_effect,reliable,moderate,False,914,historical_record,Klutch CC Research,180,0.83,
CA-0107,AG-0352,preservation,moderate,0.41,0.82,0.25,0.17,multi-step_planning,extensive,hours,context_independent,0.58,minor_degradation,reliable,constant,True,921,biological_measurement,Independent Observer,171,0.92,
CA-0108,AG-0363,coordination,highly_specific,0.31,0.62,0.58,0.33,abstract_reasoning,moderate,minutes,moderately_context_dependent,0.5,no_effect,variable,none,False,925,behavioral_observation,T. Crost,165,0.74,
CA-0109,AG-0101,signaling,moderate,0.56,0.62,0.57,0.34,multi-step_planning,substantial,days,mildly_context_dependent,0.27,minor_degradation,highly_reliable,minimal,False,912,self_report,O. Venn,178,0.84,
CA-0110,AG-0405,communication,moderate,0.69,0.42,0.5,0.26,pattern_matching,moderate,immediate,moderately_context_dependent,0.48,unpredictable,highly_reliable,minimal,False,926,behavioral_observation,P. Anster,154,0.88,
CA-0111,AG-0430,communication,specialized,0.64,0.95,0.12,0.18,pattern_matching,minimal,hours,moderately_context_dependent,0.48,no_effect,reliable,constant,False,920,self_report,Independent Observer,156,0.91,
CA-0112,AG-0423,threat_response,moderate,0.7,0.94,0.26,0.23,pattern_matching,minimal,hours,highly_context_dependent,0.33,no_effect,reliable,none,False,933,peer_assessment,P. Anster,33,0.86,
CA-0113,AG-0343,preservation,specialized,0.43,0.6,0.47,0.31,multi-step_planning,moderate,minutes,context_independent,0.4,minor_degradation,reliable,moderate,False,935,peer_assessment,M. Strand,197,0.74,
CA-0114,AG-0358,spatial_navigation,general,0.7,0.82,0.6,0.21,novel_categorization,extensive,hours,mildly_context_dependent,0.31,no_effect,highly_reliable,minimal,False,913,behavioral_observation,Independent Observer,12,0.77,
CA-0115,AG-0059,signaling,highly_specific,0.36,0.53,0.56,0.38,simple_retrieval,extensive,minutes,mildly_context_dependent,0.35,unpredictable,reliable,moderate,True,921,direct_testing,Independent Observer,89,0.65,
CA-0116,AG-0387,coordination,specialized,0.41,0.57,0.33,0.3,abstract_reasoning,moderate,days,mildly_context_dependent,0.28,significant_degradation,unreliable,moderate,True,914,behavioral_observation,Archive Survey Team,8,0.8,
CA-0117,AG-0222,decision_making,specialized,0.32,0.92,0.1,0.31,multi-step_planning,minimal,minutes,mildly_context_dependent,0.33,no_effect,variable,moderate,True,921,direct_testing,Boundary Commission,186,0.9,
CA-0118,AG-0389,coordination,general,0.6,0.81,0.71,0.08,multi-step_planning,moderate,months,moderately_context_dependent,0.55,no_effect,reliable,minimal,False,930,historical_record,T. Crost,190,0.9,
CA-0119,AG-0436,communication,highly_specific,0.54,0.54,0.71,0.33,multi-step_planning,moderate,hours,mildly_context_dependent,0.18,minor_degradation,unreliable,moderate,False,927,behavioral_observation,O. Venn,150,0.93,
CA-0120,AG-0249,coordination,general,0.58,0.84,0.42,0.14,abstract_reasoning,extensive,hours,moderately_context_dependent,0.11,significant_degradation,unreliable,moderate,True,916,behavioral_observation,Colony Observation Unit,8,0.75,
CA-0121,AG-0398,adaptation,highly_specific,0.77,0.6,0.71,0.16,simple_retrieval,moderate,immediate,mildly_context_dependent,0.21,minor_degradation,variable,minimal,True,921,direct_testing,T. Mord,59,0.76,
CA-0122,AG-0414,signaling,moderate,0.82,0.61,0.52,0.33,abstract_reasoning,substantial,hours,mildly_context_dependent,0.17,significant_degradation,highly_reliable,moderate,True,920,direct_testing,Independent Observer,40,0.61,
CA-0123,AG-0211,memory_storage,moderate,0.52,0.43,0.23,0.24,novel_categorization,moderate,days,mildly_context_dependent,0.27,no_effect,variable,moderate,False,918,biological_measurement,Boundary Commission,192,0.73,
CA-0124,AG-0158,preservation,highly_specific,0.69,0.75,0.59,0.05,novel_categorization,moderate,days,moderately_context_dependent,0.34,enhancement,unreliable,close,True,928,direct_testing,O. Venn,22,0.83,
CA-0125,AG-0493,preservation,specialized,0.87,0.41,0.36,0.27,pattern_matching,extensive,minutes,moderately_context_dependent,0.23,enhancement,reliable,minimal,False,934,direct_testing,T. Crost,148,0.68,
CA-0126,AG-0494,construction,specialized,0.34,0.69,0.33,0.16,novel_categorization,moderate,minutes,highly_context_dependent,0.49,minor_degradation,unreliable,minimal,True,922,direct_testing,O. Venn,181,0.82,
CA-0127,AG-0366,pattern_recognition,moderate,0.51,0.69,0.25,0.36,abstract_reasoning,minimal,minutes,mildly_context_dependent,0.29,no_effect,highly_reliable,constant,False,924,behavioral_observation,P. Anster,86,0.74,
CA-0128,AG-0449,memory_storage,moderate,0.87,0.69,0.49,0.18,multi-step_planning,substantial,hours,mildly_context_dependent,0.51,no_effect,variable,moderate,True,916,historical_record,Archive Survey Team,19,0.79,
CA-0129,AG-0002,spatial_navigation,moderate,0.87,0.74,0.31,0.39,novel_categorization,substantial,minutes,highly_context_dependent,0.35,significant_degradation,reliable,minimal,True,920,direct_testing,O. Venn,92,0.78,
CA-0130,AG-0422,document_processing,moderate,0.33,0.57,0.58,0.28,pattern_matching,substantial,immediate,highly_context_dependent,0.12,no_effect,unreliable,close,False,925,direct_testing,Independent Observer,87,0.84,
CA-0131,AG-0115,preservation,specialized,0.62,0.48,0.75,0.26,simple_retrieval,substantial,immediate,context_independent,0.36,unpredictable,reliable,close,False,931,historical_record,Klutch CC Research,80,0.87,
CA-0132,AG-0420,adaptation,specialized,0.58,0.87,0.29,0.13,simple_retrieval,substantial,days,mildly_context_dependent,0.32,unpredictable,variable,minimal,False,938,self_report,T. Crost,25,0.86,
