journey_id,step_number,navigator,destination_name,current_position_x,current_position_y,destination_x,destination_y,estimated_gradient_x,estimated_gradient_y,actual_gradient_x,actual_gradient_y,gradient_error,step_size_taken,new_position_x,new_position_y,distance_to_destination,voss_confidence,destination_paradox_triggered
NAV-0003,9,Senna Grell,Dens Border,102.89,-55.94,100,-50,-0.722,0.6919,-0.4382,0.8989,0.3513,1.97,101.47,-54.57,4.8,0.64,False
NAV-0004,1,Prebel Cord,Grimslew Shore,-71.34,-139.29,-100,-100,-0.5283,0.849,-0.5893,0.8079,0.0736,12.6,-77.99,-128.59,36.08,0.83,False
NAV-0004,2,Prebel Cord,Grimslew Shore,-77.99,-128.59,-100,-100,-0.6162,0.7876,-0.6099,0.7925,0.008,10.42,-84.41,-120.39,25.66,0.92,False
NAV-0004,3,Prebel Cord,Grimslew Shore,-84.41,-120.39,-100,-100,-0.53,0.848,-0.6073,0.7945,0.094,8.05,-88.68,-113.56,17.66,0.85,False
NAV-0004,4,Prebel Cord,Grimslew Shore,-88.68,-113.56,-100,-100,-0.6965,0.7176,-0.6408,0.7677,0.075,4.84,-92.05,-110.09,12.84,0.89,False
NAV-0004,5,Prebel Cord,Grimslew Shore,-92.05,-110.09,-100,-100,-0.606,0.7955,-0.6188,0.7855,0.0162,3.57,-94.21,-107.25,9.28,0.96,False
NAV-0004,6,Prebel Cord,Grimslew Shore,-94.21,-107.25,-100,-100,-0.6538,0.7567,-0.6237,0.7816,0.039,2.71,-95.99,-105.2,6.57,0.94,False
NAV-0004,7,Prebel Cord,Grimslew Shore,-95.99,-105.2,-100,-100,-0.6184,0.7859,-0.6111,0.7916,0.0092,2.26,-97.39,-103.42,4.31,0.98,False
NAV-0005,1,Trader Mors,Capital Archive,120.9,-100.98,0,0,0.4081,0.9129,-0.7675,0.641,1.2066,23.59,130.53,-79.45,152.81,0.1,False
NAV-0005,2,Trader Mors,Capital Archive,130.53,-79.45,0,0,-0.6374,0.7705,-0.8542,0.5199,0.3314,16.42,120.06,-66.79,137.39,0.36,False
NAV-0005,3,Trader Mors,Capital Archive,120.06,-66.79,0,0,-0.9901,0.1402,-0.8739,0.4862,0.365,22.24,98.04,-63.67,116.9,0.36,False
NAV-0005,4,Trader Mors,Capital Archive,98.04,-63.67,0,0,-0.829,-0.5592,-0.8386,0.5447,1.1039,20.74,80.84,-75.27,110.46,0.1,False
NAV-0005,5,Trader Mors,Capital Archive,80.84,-75.27,0,0,0.4632,0.8863,-0.7319,0.6814,1.2125,21.5,90.8,-56.22,106.8,0.1,False
NAV-0005,6,Trader Mors,Capital Archive,90.8,-56.22,0,0,-0.0312,0.9995,-0.8502,0.5264,0.9458,21.68,90.12,-34.56,96.52,0.1,False
NAV-0005,7,Trader Mors,Capital Archive,90.12,-34.56,0,0,-0.9322,0.3619,-0.9337,0.358,0.0042,20.0,71.48,-27.32,76.53,0.8,False
NAV-0005,8,Trader Mors,Capital Archive,71.48,-27.32,0,0,-0.8667,0.4989,-0.9341,0.357,0.1571,18.9,55.1,-17.89,57.93,0.69,False
NAV-0005,9,Trader Mors,Capital Archive,55.1,-17.89,0,0,-0.9175,0.3976,-0.9511,0.3088,0.095,16.9,39.6,-11.17,41.14,0.79,False
NAV-0005,10,Trader Mors,Capital Archive,39.6,-11.17,0,0,-0.9885,0.1511,-0.9624,0.2715,0.1232,13.64,26.11,-9.11,27.66,0.79,False
NAV-0005,11,Trader Mors,Capital Archive,26.11,-9.11,0,0,-0.944,0.3298,-0.9442,0.3294,0.0005,7.06,19.45,-6.78,20.6,0.94,False
NAV-0005,12,Trader Mors,Capital Archive,19.45,-6.78,0,0,-0.9988,-0.0497,-0.9442,0.3292,0.3829,6.71,12.75,-7.12,14.6,0.58,False
NAV-0005,13,Trader Mors,Capital Archive,12.75,-7.12,0,0,-0.9578,0.2876,-0.8732,0.4874,0.217,4.3,8.63,-5.88,10.44,0.75,False
NAV-0005,14,Trader Mors,Capital Archive,8.63,-5.88,0,0,-0.8837,0.4681,-0.8264,0.5631,0.1109,3.21,5.79,-4.38,7.26,0.87,False
NAV-0005,15,Trader Mors,Capital Archive,5.79,-4.38,0,0,-0.7934,0.6087,-0.7979,0.6028,0.0073,2.22,4.03,-3.02,5.04,0.98,False
NAV-0006,1,Rellen Voss,Dead River Camp,41.9,143.97,180,120,0.9146,-0.4044,0.9853,-0.171,0.2439,23.36,63.26,134.52,117.64,0.48,False
NAV-0006,2,Rellen Voss,Dead River Camp,63.26,134.52,180,120,0.8695,-0.494,0.9923,-0.1235,0.3903,21.82,82.24,123.74,97.84,0.37,False
NAV-0006,3,Rellen Voss,Dead River Camp,82.24,123.74,180,120,0.9837,0.1796,0.9993,-0.0383,0.2184,20.36,102.26,127.4,78.09,0.59,False
NAV-0006,4,Rellen Voss,Dead River Camp,102.26,127.4,180,120,0.9943,-0.1064,0.9955,-0.0948,0.0117,17.62,119.78,125.53,60.47,0.83,False
NAV-0006,5,Rellen Voss,Dead River Camp,119.78,125.53,180,120,0.7344,-0.6787,0.9958,-0.0914,0.6429,16.36,131.8,114.42,48.52,0.24,False
NAV-0006,6,Rellen Voss,Dead River Camp,131.8,114.42,180,120,0.9346,-0.3556,0.9934,0.115,0.4742,12.57,143.54,109.95,37.82,0.43,False
NAV-0006,7,Rellen Voss,Dead River Camp,143.54,109.95,180,120,0.9812,-0.1928,0.9641,0.2657,0.4588,11.15,154.49,107.8,28.28,0.47,False
NAV-0006,8,Rellen Voss,Dead River Camp,154.49,107.8,180,120,0.7021,0.712,0.9022,0.4313,0.3447,7.55,159.79,113.18,21.33,0.6,False
NAV-0006,9,Rellen Voss,Dead River Camp,159.79,113.18,180,120,0.859,0.512,0.9475,0.3197,0.2117,6.01,164.95,116.26,15.51,0.75,False
NAV-0006,10,Rellen Voss,Dead River Camp,164.95,116.26,180,120,0.9148,0.4039,0.9704,0.2414,0.1718,3.85,168.48,117.81,11.73,0.8,False
NAV-0006,11,Rellen Voss,Dead River Camp,168.48,117.81,180,120,0.9822,0.1876,0.9825,0.1865,0.0012,3.49,171.9,118.47,8.24,0.98,False
NAV-0006,12,Rellen Voss,Dead River Camp,171.9,118.47,180,120,0.8869,0.4619,0.9826,0.186,0.292,2.02,173.7,119.4,6.33,0.69,False
NAV-0006,13,Rellen Voss,Dead River Camp,173.7,119.4,180,120,0.9957,-0.0929,0.9955,0.0944,0.1873,2.23,175.92,119.2,4.16,0.8,False
NAV-0007,1,Vagabu Olt,Capital Archive,-24.85,-45.21,0,0,0.3934,0.9194,0.4818,0.8763,0.0983,13.33,-19.61,-32.96,38.35,0.8,False
NAV-0007,2,Vagabu Olt,Capital Archive,-19.61,-32.96,0,0,0.1196,0.9928,0.5114,0.8594,0.4139,12.11,-18.16,-20.93,27.71,0.51,False
NAV-0007,3,Vagabu Olt,Capital Archive,-18.16,-20.93,0,0,0.6255,0.7802,0.6554,0.7552,0.0389,9.87,-11.99,-13.23,17.85,0.91,False
NAV-0007,4,Vagabu Olt,Capital Archive,-11.99,-13.23,0,0,0.675,0.7378,0.6715,0.741,0.0047,6.29,-7.74,-8.59,11.56,0.96,False
NAV-0007,5,Vagabu Olt,Capital Archive,-7.74,-8.59,0,0,0.7115,0.7027,0.6696,0.7427,0.0579,3.3,-5.39,-6.27,8.27,0.92,False
NAV-0007,6,Vagabu Olt,Capital Archive,-5.39,-6.27,0,0,0.6937,0.7203,0.6523,0.758,0.056,2.76,-3.48,-4.28,5.51,0.93,False
NAV-0007,7,Vagabu Olt,Capital Archive,-3.48,-4.28,0,0,0.7236,0.6902,0.6308,0.776,0.1264,1.49,-2.4,-3.25,4.04,0.86,False
NAV-0008,1,Jara Torval,Yeller Quarry,129.74,107.81,150,80,0.0521,-0.9986,0.5889,-0.8082,0.5696,12.22,130.37,95.6,25.07,0.36,False
NAV-0008,2,Jara Torval,Yeller Quarry,130.37,95.6,150,80,0.5196,-0.8544,0.7827,-0.6223,0.3509,7.35,134.19,89.33,18.36,0.6,False
NAV-0008,3,Jara Torval,Yeller Quarry,134.19,89.33,150,80,0.8319,-0.5549,0.8613,-0.5082,0.0552,6.32,139.45,85.82,12.05,0.91,False
NAV-0008,4,Jara Torval,Yeller Quarry,139.45,85.82,150,80,0.7643,-0.6449,0.8756,-0.483,0.1964,3.79,142.34,83.38,8.37,0.78,False
NAV-0008,5,Jara Torval,Yeller Quarry,142.34,83.38,150,80,0.9579,-0.2872,0.9149,-0.4036,0.1241,2.67,144.9,82.61,5.73,0.86,False
NAV-0008,6,Jara Torval,Yeller Quarry,144.9,82.61,150,80,0.8558,-0.5172,0.8901,-0.4557,0.0704,1.73,146.38,81.72,4.01,0.92,False
NAV-0009,1,Captain Vrell,Tower of Mirado,-142.58,303.08,-50,200,-0.3832,-0.9237,0.6682,-0.7439,1.0667,20.9,-150.59,283.77,130.91,0.1,False
NAV-0009,2,Captain Vrell,Tower of Mirado,-150.59,283.77,-50,200,-0.3828,-0.9238,0.7684,-0.6399,1.1858,18.76,-157.78,266.44,126.61,0.1,False
NAV-0009,3,Captain Vrell,Tower of Mirado,-157.78,266.44,-50,200,0.9923,-0.1236,0.8513,-0.5248,0.4252,19.11,-138.81,264.08,109.52,0.32,False
NAV-0009,4,Captain Vrell,Tower of Mirado,-138.81,264.08,-50,200,0.6477,-0.7619,0.811,-0.5851,0.2407,19.72,-126.04,249.05,90.49,0.54,False
NAV-0009,5,Captain Vrell,Tower of Mirado,-126.04,249.05,-50,200,0.8241,-0.5664,0.8403,-0.5421,0.0292,16.2,-112.7,239.88,74.31,0.79,False
NAV-0009,6,Captain Vrell,Tower of Mirado,-112.7,239.88,-50,200,0.9431,-0.3326,0.8438,-0.5367,0.227,20.21,-93.64,233.16,54.81,0.62,False
NAV-0009,7,Captain Vrell,Tower of Mirado,-93.64,233.16,-50,200,0.7362,-0.6767,0.7962,-0.605,0.0935,17.14,-81.02,221.56,37.78,0.8,False
NAV-0009,8,Captain Vrell,Tower of Mirado,-81.02,221.56,-50,200,0.7822,-0.623,0.8211,-0.5708,0.0651,12.94,-70.9,213.5,24.88,0.86,False
NAV-0009,9,Captain Vrell,Tower of Mirado,-70.9,213.5,-50,200,0.8705,-0.4922,0.8399,-0.5427,0.0589,7.73,-64.17,209.7,17.17,0.89,False
NAV-0009,10,Captain Vrell,Tower of Mirado,-64.17,209.7,-50,200,0.688,-0.7257,0.8253,-0.5648,0.2115,5.45,-60.43,205.75,11.91,0.75,False
NAV-0009,11,Captain Vrell,Tower of Mirado,-60.43,205.75,-50,200,0.9462,-0.3235,0.8758,-0.4828,0.1741,3.77,-56.86,204.53,8.22,0.8,False
NAV-0009,12,Captain Vrell,Tower of Mirado,-56.86,204.53,-50,200,0.9099,-0.4148,0.8346,-0.5509,0.1555,2.03,-55.01,203.69,6.22,0.83,False
NAV-0009,13,Captain Vrell,Tower of Mirado,-55.01,203.69,-50,200,0.7,-0.7141,0.8057,-0.5923,0.1612,1.72,-53.81,202.46,4.53,0.83,False
NAV-0010,1,Vagabu Olt,Tower of Mirado,-64.81,216.24,-50,200,0.849,-0.5284,0.6738,-0.739,0.274,6.05,-59.67,213.04,16.23,0.68,False
NAV-0010,2,Vagabu Olt,Tower of Mirado,-59.67,213.04,-50,200,0.4685,-0.8835,0.5955,-0.8034,0.1502,4.77,-57.43,208.83,11.54,0.82,False
NAV-0010,3,Vagabu Olt,Tower of Mirado,-57.43,208.83,-50,200,0.7833,-0.6217,0.6441,-0.765,0.1998,2.91,-55.15,207.02,8.71,0.78,False
NAV-0010,4,Vagabu Olt,Tower of Mirado,-55.15,207.02,-50,200,0.7209,-0.693,0.5919,-0.806,0.1715,2.9,-53.06,205.01,5.87,0.81,False
NAV-0010,5,Vagabu Olt,Tower of Mirado,-53.06,205.01,-50,200,0.5124,-0.8588,0.5217,-0.8531,0.0109,1.76,-52.16,203.5,4.12,0.98,False
NAV-0011,1,Vagabu Olt,Grimslew Shore,-190.22,-154.71,-100,-100,0.4204,0.9073,0.8551,0.5185,0.5832,16.44,-183.31,-139.8,92.33,0.21,False
NAV-0011,2,Vagabu Olt,Grimslew Shore,-183.31,-139.8,-100,-100,0.9237,0.3831,0.9023,0.431,0.0525,20.29,-164.57,-132.03,72.08,0.76,False
NAV-0011,3,Vagabu Olt,Grimslew Shore,-164.57,-132.03,-100,-100,0.9774,0.2115,0.8959,0.4443,0.2466,20.88,-144.17,-127.61,52.09,0.61,False
NAV-0011,4,Vagabu Olt,Grimslew Shore,-144.17,-127.61,-100,-100,0.9563,0.2924,0.848,0.5301,0.2612,17.31,-127.62,-122.55,35.65,0.63,False
NAV-0011,5,Vagabu Olt,Grimslew Shore,-127.62,-122.55,-100,-100,0.8001,0.5999,0.7746,0.6324,0.0413,11.45,-118.46,-115.68,24.22,0.89,False
NAV-0011,6,Vagabu Olt,Grimslew Shore,-118.46,-115.68,-100,-100,0.8504,0.5261,0.7621,0.6474,0.1501,8.48,-111.24,-111.22,15.88,0.8,False
NAV-0011,7,Vagabu Olt,Grimslew Shore,-111.24,-111.22,-100,-100,0.7814,0.6241,0.708,0.7063,0.1102,4.72,-107.56,-108.27,11.2,0.86,False
NAV-0011,8,Vagabu Olt,Grimslew Shore,-107.56,-108.27,-100,-100,0.7255,0.6882,0.6745,0.7383,0.0715,3.39,-105.1,-105.94,7.83,0.91,False
NAV-0011,9,Vagabu Olt,Grimslew Shore,-105.1,-105.94,-100,-100,0.6281,0.7782,0.6513,0.7588,0.0303,2.54,-103.5,-103.96,5.29,0.95,False
NAV-0011,10,Vagabu Olt,Grimslew Shore,-103.5,-103.96,-100,-100,0.6001,0.7999,0.6623,0.7492,0.0803,1.52,-102.59,-102.74,3.77,0.91,False
NAV-0012,1,Captain Vrell,Tripas Market,-60.4,-20.56,75,25,0.9204,-0.391,0.9478,0.3189,0.7105,22.07,-40.09,-29.19,127.21,0.1,False
NAV-0012,2,Captain Vrell,Tripas Market,-40.09,-29.19,75,25,-0.2281,0.9736,0.9047,0.426,1.2582,21.83,-45.07,-7.94,124.51,0.1,False
NAV-0012,3,Captain Vrell,Tripas Market,-45.07,-7.94,75,25,0.4718,0.8817,0.9644,0.2646,0.7896,23.52,-33.97,12.8,109.65,0.1,False
NAV-0012,4,Captain Vrell,Tripas Market,-33.97,12.8,75,25,0.8386,0.5448,0.9938,0.1113,0.4605,19.69,-17.46,23.52,92.48,0.32,False
NAV-0012,5,Captain Vrell,Tripas Market,-17.46,23.52,75,25,0.9597,0.281,0.9999,0.016,0.2681,18.31,0.1,28.67,74.99,0.55,False
NAV-0012,6,Captain Vrell,Tripas Market,0.1,28.67,75,25,0.3998,-0.9166,0.9988,-0.0489,1.0544,17.52,7.11,12.61,69.01,0.1,False
NAV-0012,7,Captain Vrell,Tripas Market,7.11,12.61,75,25,0.3186,0.9479,0.9838,0.1795,1.0163,22.59,14.31,34.03,61.36,0.1,False
NAV-0012,8,Captain Vrell,Tripas Market,14.31,34.03,75,25,0.8708,-0.4917,0.9891,-0.1472,0.3643,17.73,29.74,25.31,45.26,0.51,False
NAV-0012,9,Captain Vrell,Tripas Market,29.74,25.31,75,25,0.9944,0.1053,1.0,-0.0069,0.1123,11.33,41.01,26.51,34.03,0.8,False
NAV-0012,10,Captain Vrell,Tripas Market,41.01,26.51,75,25,0.9981,-0.0614,0.999,-0.0443,0.0172,11.29,52.27,25.81,22.74,0.91,False
NAV-0012,11,Captain Vrell,Tripas Market,52.27,25.81,75,25,0.9872,-0.1597,0.9994,-0.0357,0.1246,8.07,60.24,24.52,14.76,0.83,False
NAV-0012,12,Captain Vrell,Tripas Market,60.24,24.52,75,25,0.9956,-0.0939,0.9995,0.0323,0.1263,3.86,64.09,24.16,10.94,0.84,False
NAV-0012,13,Captain Vrell,Tripas Market,64.09,24.16,75,25,0.999,-0.0444,0.9971,0.0767,0.1211,3.07,67.16,24.02,7.9,0.86,False
NAV-0012,14,Captain Vrell,Tripas Market,67.16,24.02,75,25,0.9792,0.2028,0.9923,0.1235,0.0803,2.4,69.51,24.51,5.52,0.9,False
NAV-0012,15,Captain Vrell,Tripas Market,69.51,24.51,75,25,0.9847,0.1744,0.996,0.0888,0.0863,1.94,71.42,24.85,3.58,0.9,False
NAV-0013,1,Jara Torval,Grimslew Shore,-158.37,-99.58,-100,-100,0.7829,-0.6221,1.0,-0.0073,0.652,19.61,-143.02,-111.77,44.6,0.23,False
NAV-0013,2,Jara Torval,Grimslew Shore,-143.02,-111.77,-100,-100,0.8334,0.5527,0.9645,0.264,0.3171,15.43,-130.16,-103.25,30.33,0.59,False
NAV-0013,3,Jara Torval,Grimslew Shore,-130.16,-103.25,-100,-100,0.9979,0.0642,0.9943,0.107,0.043,8.51,-121.67,-102.7,21.84,0.9,False
NAV-0013,4,Jara Torval,Grimslew Shore,-121.67,-102.7,-100,-100,0.9923,-0.1237,0.9923,0.1236,0.2473,6.04,-115.68,-103.45,16.06,0.71,False
NAV-0013,5,Jara Torval,Grimslew Shore,-115.68,-103.45,-100,-100,0.9442,0.3293,0.9767,0.2147,0.1191,4.82,-111.13,-101.86,11.29,0.85,False
NAV-0013,6,Jara Torval,Grimslew Shore,-111.13,-101.86,-100,-100,0.9992,0.0403,0.9863,0.1649,0.1252,3.91,-107.22,-101.7,7.42,0.85,False
NAV-0013,7,Jara Torval,Grimslew Shore,-107.22,-101.7,-100,-100,1.0,0.0044,0.9733,0.2295,0.2266,2.6,-104.62,-101.69,4.92,0.76,False
NAV-0014,1,Gareth Poll,Tower of Mirado,95.48,306.72,-50,200,0.2086,-0.978,-0.8063,-0.5915,1.086,21.32,99.93,285.87,172.78,0.1,False
NAV-0014,2,Gareth Poll,Tower of Mirado,99.93,285.87,-50,200,-0.1733,-0.9849,-0.8678,-0.497,0.8487,19.45,96.56,266.71,161.03,0.1,False
NAV-0014,3,Gareth Poll,Tower of Mirado,96.56,266.71,-50,200,-0.9752,0.2211,-0.9101,-0.4143,0.6387,16.2,80.76,270.3,148.46,0.1,False
NAV-0014,4,Gareth Poll,Tower of Mirado,80.76,270.3,-50,200,-0.7325,-0.6808,-0.8808,-0.4735,0.2548,19.74,66.3,256.86,129.46,0.45,False
NAV-0014,5,Gareth Poll,Tower of Mirado,66.3,256.86,-50,200,-0.9023,-0.4311,-0.8984,-0.4392,0.009,22.58,45.93,247.12,106.88,0.73,False
NAV-0014,6,Gareth Poll,Tower of Mirado,45.93,247.12,-50,200,-0.825,0.5651,-0.8976,-0.4409,1.0087,21.78,27.96,259.43,98.03,0.1,False
NAV-0014,7,Gareth Poll,Tower of Mirado,27.96,259.43,-50,200,-0.9612,-0.2758,-0.7952,-0.6063,0.3698,16.75,11.86,254.81,82.65,0.43,False
NAV-0014,8,Gareth Poll,Tower of Mirado,11.86,254.81,-50,200,-0.8921,0.4519,-0.7484,-0.6632,1.1243,18.85,-4.95,263.33,77.72,0.1,False
NAV-0014,9,Gareth Poll,Tower of Mirado,-4.95,263.33,-50,200,-0.6058,-0.7956,-0.5796,-0.8149,0.0326,23.99,-19.49,244.25,53.75,0.81,False
NAV-0014,10,Gareth Poll,Tower of Mirado,-19.49,244.25,-50,200,-0.3312,-0.9436,-0.5677,-0.8232,0.2653,14.29,-24.22,230.76,40.13,0.63,False
NAV-0014,11,Gareth Poll,Tower of Mirado,-24.22,230.76,-50,200,-0.4437,-0.8962,-0.6423,-0.7664,0.2373,11.16,-29.17,220.76,29.4,0.68,False
NAV-0014,12,Gareth Poll,Tower of Mirado,-29.17,220.76,-50,200,-0.9975,-0.0709,-0.7083,-0.7059,0.6978,8.93,-38.08,220.12,23.39,0.24,False
NAV-0014,13,Gareth Poll,Tower of Mirado,-38.08,220.12,-50,200,-0.5057,-0.8627,-0.5095,-0.8605,0.0044,6.26,-41.25,214.72,17.13,0.95,False
NAV-0014,14,Gareth Poll,Tower of Mirado,-41.25,214.72,-50,200,-0.1758,-0.9844,-0.5109,-0.8596,0.3576,5.42,-42.2,209.39,12.21,0.61,False
NAV-0014,15,Gareth Poll,Tower of Mirado,-42.2,209.39,-50,200,-0.6047,-0.7964,-0.6388,-0.7694,0.0435,4.18,-44.73,206.07,8.04,0.93,False
NAV-0015,1,Trader Mors,Tripas Market,116.56,29.08,75,25,-0.9966,0.0824,-0.9952,-0.0977,0.1801,13.49,103.11,30.19,28.59,0.74,False
NAV-0015,2,Trader Mors,Tripas Market,103.11,30.19,75,25,-0.9245,0.3813,-0.9834,-0.1816,0.566,8.13,95.6,33.29,22.2,0.38,False
NAV-0015,3,Trader Mors,Tripas Market,95.6,33.29,75,25,-0.9329,-0.3601,-0.9276,-0.3735,0.0144,5.6,90.38,31.28,16.61,0.94,False
NAV-0015,4,Trader Mors,Tripas Market,90.38,31.28,75,25,-0.9372,-0.3488,-0.9258,-0.378,0.0314,4.1,86.54,29.85,12.51,0.94,False
NAV-0015,5,Trader Mors,Tripas Market,86.54,29.85,75,25,-0.853,-0.522,-0.9219,-0.3875,0.1511,4.42,82.77,27.54,8.17,0.82,False
NAV-0015,6,Trader Mors,Tripas Market,82.77,27.54,75,25,-0.9344,-0.3563,-0.9503,-0.3112,0.0479,2.84,80.12,26.53,5.34,0.94,False
NAV-0015,7,Trader Mors,Tripas Market,80.12,26.53,75,25,-0.9654,-0.2608,-0.9579,-0.287,0.0272,1.55,78.62,26.13,3.79,0.96,False
NAV-0016,1,Rella Tarn,Tower of Mirado,-79.13,120.49,-50,200,0.2002,0.9798,0.344,0.939,0.1494,20.03,-75.12,140.11,64.95,0.68,False
NAV-0016,2,Rella Tarn,Tower of Mirado,-75.12,140.11,-50,200,-0.1034,0.9946,0.3868,0.9222,0.4955,19.61,-77.15,159.62,48.66,0.37,False
NAV-0016,3,Rella Tarn,Tower of Mirado,-77.15,159.62,-50,200,0.8104,0.5858,0.5579,0.8299,0.3512,14.53,-65.37,168.13,35.39,0.55,False
NAV-0016,4,Rella Tarn,Tower of Mirado,-65.37,168.13,-50,200,0.3251,0.9457,0.4344,0.9007,0.1182,8.89,-62.48,176.53,26.58,0.81,False
NAV-0016,5,Rella Tarn,Tower of Mirado,-62.48,176.53,-50,200,0.4255,0.9049,0.4697,0.8828,0.0493,7.14,-59.45,182.99,19.45,0.9,False
NAV-0016,6,Rella Tarn,Tower of Mirado,-59.45,182.99,-50,200,-0.0955,0.9954,0.4856,0.8742,0.5936,5.49,-59.97,188.46,15.25,0.37,False
NAV-0016,7,Rella Tarn,Tower of Mirado,-59.97,188.46,-50,200,0.7107,0.7035,0.6537,0.7568,0.078,4.63,-56.68,191.71,10.64,0.89,False
NAV-0016,8,Rella Tarn,Tower of Mirado,-56.68,191.71,-50,200,0.3796,0.9252,0.6277,0.7785,0.2882,3.14,-55.49,194.62,7.69,0.69,False
NAV-0016,9,Rella Tarn,Tower of Mirado,-55.49,194.62,-50,200,0.6862,0.7274,0.714,0.7001,0.0389,2.42,-53.83,196.38,5.27,0.95,False
NAV-0016,10,Rella Tarn,Tower of Mirado,-53.83,196.38,-50,200,0.7462,0.6657,0.7264,0.6873,0.0292,1.51,-52.71,197.38,3.77,0.96,False
NAV-0017,1,Surveyor Kenth,Tripas Market,113.05,53.88,75,25,-0.641,-0.7675,-0.7966,-0.6046,0.2253,15.45,103.15,42.02,32.89,0.68,False
NAV-0017,2,Surveyor Kenth,Tripas Market,103.15,42.02,75,25,-0.7787,-0.6274,-0.8557,-0.5175,0.1343,10.8,94.74,35.24,22.24,0.8,False
