measurement_id,location,sector,region,dens_proximity_km,barrier_thickness,barrier_permeability,barrier_stability,barrier_uniformity,boundary_drift_rate,spatial_curvature,prebel_discrepancy,ingression_frequency,ingression_rate_correlation,creature_permeability,phenomenon_permeability,pattern_permeability,selective,seasonal_variation,time_of_day_variation,trend,measurement_year,measurer,method,confidence,notes
BM-0023,Eastern markets,Western-7,Capital,294.3,67.4,0.25,fluctuating,gradient,0.08,mildly_curved,0.0,16,0.8,0.25,0.26,0.32,True,False,False,unknown,921,A. Prebel,indigenous_knowledge,0.62,
BM-0024,Quarry Sector 7,,Yeller Quarry,118.4,63.1,0.51,slowly_varying,gradient,6.42,flat,0.0,38,0.81,0.51,0.53,0.53,True,False,False,stable,930,M. Strand,theoretical_inference,0.56,
BM-0025,Eastern fluctuation zone,,Dens boundary,28.8,9.6,0.97,slowly_varying,uniform,9.1,highly_curved,0.0,17,0.76,0.82,1.0,1.0,True,True,True,stable,930,M. Strand,spatial_analysis,0.57,
BM-0026,Northern workings,SE-8,Yeller Quarry,100.4,33.1,0.37,fluctuating,highly_variable,6.11,moderately_curved,0.0,6,0.79,0.28,0.34,0.38,True,True,True,stable,925,M. Strand,spatial_analysis,0.47,
BM-0027,Northern workings,SE-8,Yeller Quarry,110.9,42.2,0.59,slowly_varying,highly_variable,6.92,moderately_curved,0.0,32,0.3,0.58,0.67,0.71,True,True,False,thinning,929,E. Pol,theoretical_inference,0.79,
BM-0028,Third Mill,,Yeller Quarry,116.1,42.4,0.5,chaotic,highly_variable,6.19,moderately_curved,3.2,5,0.8,0.37,0.45,0.61,True,False,True,unknown,934,S. Moll,theoretical_inference,0.8,
BM-0029,Northern monastery,SE-8,Northo,270.9,69.0,0.3,fluctuating,patchy,1.24,mildly_curved,0.0,49,0.36,0.26,0.3,0.31,True,False,True,stable,923,C. Vells,theoretical_inference,0.49,
BM-0030,Southern camps,,Tower of Mirado,196.4,47.1,0.54,fluctuating,gradient,3.02,mildly_curved,0.0,6,0.82,0.51,0.54,0.6,True,True,False,thickening,927,Ingression Study Group,prebel_method,0.78,
BM-0031,Lake vicinity,NW-2,Northo,307.7,61.4,0.21,chaotic,highly_variable,0,mildly_curved,0.0,10,0.76,0.2,0.24,0.27,True,True,False,unknown,934,A. Vells,ingression_correlation,0.81,
BM-0032,Northern margin,,Dens boundary,21.6,14.2,0.84,chaotic,patchy,10.06,highly_curved,0.8,39,0.9,0.89,0.8,1.0,True,False,False,unknown,929,Ingression Study Group,indigenous_knowledge,0.61,
BM-0033,Central anomaly,,Dens,0.0,9.0,0.86,unstable,patchy,10.12,highly_curved,0.0,25,0.38,0.76,0.84,0.91,True,False,False,thinning,919,A. Prebel,theoretical_inference,0.54,
BM-0034,Sector SW-6,,Dens boundary,51.0,22.9,0.57,unstable,highly_variable,8.25,moderately_curved,2.9,32,0.47,0.55,0.55,0.68,True,True,True,thickening,929,E. Pol,indigenous_knowledge,0.7,
BM-0035,Eastern Northo,,Northo,362.6,92.3,0.11,chaotic,highly_variable,0,mildly_curved,2.8,27,0.7,0.09,0.1,0.12,True,True,False,stable,935,Ingression Study Group,indigenous_knowledge,0.83,
BM-0036,Western approach,Eastern-3,Dens boundary,50.7,10.8,0.66,unstable,uniform,8.93,highly_curved,0.0,48,0.51,0.56,0.7,0.8,True,True,False,thickening,932,E. Pol,prebel_method,0.43,
BM-0037,Eastern fluctuation zone,Eastern-3,Dens boundary,50.6,33.4,0.58,stable,highly_variable,7.49,highly_curved,0.0,32,0.82,0.58,0.53,0.75,True,False,False,stable,933,Ingression Study Group,indigenous_knowledge,0.74,
BM-0038,Tower base,,Tower of Mirado,218.1,51.0,0.35,fluctuating,uniform,1.73,mildly_curved,0.0,44,0.65,0.28,0.37,0.42,True,True,False,thickening,930,C. Vells,indigenous_knowledge,0.52,
BM-0039,Suburban zone,Eastern-3,Densmok,254.1,87.0,0.19,stable,uniform,1.32,flat,4.2,5,0.63,0.19,0.23,0.23,True,False,False,thinning,926,Field Team,ingression_correlation,0.74,
BM-0040,Mill vicinity,,Yeller Quarry,114.5,68.0,0.34,slowly_varying,highly_variable,5.29,flat,0.0,35,0.59,0.3,0.32,0.35,True,False,True,thickening,920,A. Vells,spatial_analysis,0.67,
BM-0041,Southern perimeter,NE-4,Dens boundary,31.9,36.9,0.58,stable,patchy,9.8,moderately_curved,0.0,22,0.74,0.51,0.53,0.69,True,True,True,thinning,934,Ingression Study Group,pattern_observation,0.51,
BM-0042,Siege fields,,Tower of Mirado,160.2,37.6,0.3,unstable,highly_variable,4.98,moderately_curved,0.0,34,0.52,0.22,0.34,0.36,True,False,True,stable,928,Capital Survey Team,ingression_correlation,0.72,
BM-0043,Lake vicinity,,Northo,315.4,60.6,0.13,fluctuating,highly_variable,0,mildly_curved,0.0,16,0.62,0.13,0.15,0.15,True,True,False,unknown,919,M. Strand,theoretical_inference,0.43,
BM-0044,Klutch CC vicinity,,Densmok,188.9,36.9,0.33,fluctuating,gradient,2.85,moderately_curved,4.3,22,0.5,0.33,0.3,0.37,True,False,True,stable,935,A. Prebel,pattern_observation,0.42,
BM-0045,Klutch CC vicinity,,Densmok,241.4,82.5,0.2,unstable,uniform,2.65,mildly_curved,0.6,50,0.82,0.14,0.19,0.21,True,False,True,thickening,934,C. Vells,spatial_analysis,0.78,
BM-0046,Northern workings,Eastern-3,Yeller Quarry,172.9,62.5,0.53,fluctuating,patchy,4.16,mildly_curved,4.4,34,0.7,0.46,0.53,0.64,True,True,False,stable,922,S. Moll,theoretical_inference,0.84,
BM-0047,Sector SW-6,NW-2,Dens boundary,40.4,39.7,0.52,unstable,patchy,9.18,highly_curved,4.2,9,0.42,0.44,0.55,0.55,True,True,False,thickening,923,S. Moll,indigenous_knowledge,0.41,
BM-0048,Educational district,NE-4,Densmok,232.0,56.7,0.39,unstable,gradient,1.42,moderately_curved,0.0,50,0.87,0.28,0.36,0.42,True,False,True,unknown,924,Field Team,spatial_analysis,0.55,
BM-0049,Lake vicinity,,Northo,318.8,73.7,0.14,fluctuating,gradient,0,flat,0.0,44,0.9,0.16,0.15,0.15,True,True,False,thinning,927,S. Moll,indigenous_knowledge,0.68,
BM-0050,Sector SW-6,Central-12,Dens boundary,44.0,16.3,0.66,unstable,gradient,8.02,extreme,0.0,39,0.86,0.56,0.79,0.83,True,True,False,stable,918,T. Mord,ingression_correlation,0.49,
BM-0051,Suburban zone,,Densmok,275.8,78.0,0.27,fluctuating,patchy,1.52,flat,2.1,33,0.82,0.26,0.32,0.28,True,False,True,stable,929,T. Mord,indigenous_knowledge,0.83,
BM-0052,Eastern fluctuation zone,,Dens boundary,24.9,6.4,0.88,slowly_varying,patchy,9.58,extreme,3.9,21,0.83,0.92,1.0,1.0,True,True,True,stable,927,Field Team,theoretical_inference,0.53,
BM-0053,Educational district,,Densmok,211.2,56.9,0.27,slowly_varying,uniform,2.63,moderately_curved,0.0,48,0.52,0.22,0.27,0.31,True,False,False,thinning,925,Capital Survey Team,indigenous_knowledge,0.83,
BM-0054,Sector NE-4,SE-8,Dens boundary,58.5,31.3,0.61,unstable,gradient,7.61,highly_curved,0.0,0,0.65,0.65,0.61,0.62,True,True,True,thickening,918,A. Prebel,theoretical_inference,0.58,
BM-0055,Third Mill,,Yeller Quarry,137.4,50.4,0.35,unstable,highly_variable,4.59,moderately_curved,0.0,47,0.89,0.31,0.4,0.45,True,False,True,unknown,923,Field Team,spatial_analysis,0.54,
BM-0056,Northern workings,,Yeller Quarry,131.5,56.4,0.43,slowly_varying,patchy,5.23,moderately_curved,0.7,40,0.84,0.37,0.39,0.49,True,True,True,unknown,933,Boundary Commission,theoretical_inference,0.51,
BM-0057,Ascetic village,Eastern-3,Northo,375.4,79.9,0.13,chaotic,patchy,0,flat,0.0,8,0.35,0.13,0.14,0.14,True,False,True,stable,932,A. Vells,pattern_observation,0.88,
BM-0058,Northern workings,SW-6,Yeller Quarry,173.7,57.1,0.55,stable,highly_variable,4.91,moderately_curved,0.0,19,0.85,0.49,0.57,0.63,True,False,False,thickening,925,A. Vells,spatial_analysis,0.64,
BM-0059,Coder quarter,,Densmok,218.7,72.9,0.19,stable,uniform,2.91,flat,0.0,32,0.7,0.14,0.19,0.25,True,False,False,stable,927,A. Vells,spatial_analysis,0.6,
BM-0060,Quarry interior,NW-2,Yeller Quarry,177.2,48.8,0.51,chaotic,gradient,3.28,mildly_curved,0.0,33,0.62,0.43,0.54,0.53,True,False,False,thinning,923,S. Moll,theoretical_inference,0.48,
BM-0061,Ascetic village,NE-4,Northo,393.8,58.3,0.22,unstable,patchy,0,mildly_curved,0.0,42,0.36,0.22,0.25,0.23,True,False,True,stable,918,Ingression Study Group,spatial_analysis,0.8,
BM-0062,Eastern fluctuation zone,NW-2,Dens boundary,23.8,12.7,0.96,fluctuating,gradient,8.29,highly_curved,4.2,4,0.82,1.0,0.97,1.0,True,True,True,unknown,931,S. Moll,theoretical_inference,0.57,
BM-0063,Tower base,NW-2,Tower of Mirado,214.8,85.0,0.16,chaotic,highly_variable,3.44,mildly_curved,1.8,10,0.37,0.14,0.18,0.18,True,True,True,stable,924,M. Strand,ingression_correlation,0.64,
BM-0064,Scholar's Quarter,NE-4,Capital,204.5,80.3,0.29,chaotic,uniform,2.62,flat,2.5,23,0.53,0.23,0.26,0.37,True,False,False,unknown,928,Capital Survey Team,prebel_method,0.89,
BM-0065,Capital proper,Eastern-3,Capital,236.9,73.0,0.28,fluctuating,patchy,1.95,mildly_curved,1.6,22,0.43,0.28,0.25,0.29,True,False,False,thinning,923,T. Mord,prebel_method,0.8,
BM-0066,Capital proper,NW-2,Capital,223.7,98.6,0.16,unstable,gradient,1.83,flat,2.6,47,0.37,0.15,0.16,0.16,True,True,True,thinning,922,Capital Survey Team,spatial_analysis,0.47,
BM-0067,Lake vicinity,,Northo,357.5,89.3,0.18,slowly_varying,gradient,0,mildly_curved,2.3,37,0.68,0.17,0.17,0.19,True,True,True,unknown,927,C. Vells,indigenous_knowledge,0.83,
BM-0068,Educational district,,Densmok,187.7,45.0,0.44,stable,gradient,2.86,moderately_curved,0.0,11,0.83,0.37,0.52,0.48,True,False,True,stable,927,A. Prebel,theoretical_inference,0.56,
BM-0069,Lake vicinity,,Northo,279.0,89.6,0.23,slowly_varying,gradient,0.57,flat,0.0,27,0.34,0.17,0.25,0.29,True,True,False,stable,924,E. Pol,spatial_analysis,0.79,
BM-0070,Lake vicinity,,Northo,373.7,75.9,0.39,slowly_varying,patchy,0,flat,0.0,10,0.6,0.43,0.45,0.43,True,False,False,thinning,920,Capital Survey Team,spatial_analysis,0.85,
BM-0071,Scholar's Quarter,,Capital,219.8,78.5,0.33,unstable,uniform,2.56,flat,0.0,35,0.67,0.25,0.39,0.41,True,False,True,thickening,925,M. Strand,indigenous_knowledge,0.51,
BM-0072,Eastern fluctuation zone,SE-8,Dens boundary,29.1,0.5,0.87,slowly_varying,gradient,8.09,highly_curved,3.2,3,0.83,0.92,0.88,1.0,True,True,True,thickening,925,S. Moll,spatial_analysis,0.75,
BM-0073,Quarry Sector 7,NW-2,Yeller Quarry,105.2,42.5,0.32,fluctuating,patchy,7.09,moderately_curved,0.0,37,0.66,0.28,0.38,0.38,True,False,False,thinning,921,M. Strand,prebel_method,0.6,
BM-0074,Quarry Sector 7,,Yeller Quarry,126.2,66.8,0.51,slowly_varying,gradient,5.12,mildly_curved,3.7,50,0.57,0.52,0.48,0.51,True,False,True,thickening,935,Field Team,pattern_observation,0.58,
BM-0075,Northern approach,,Tower of Mirado,224.1,57.4,0.26,fluctuating,highly_variable,2.15,moderately_curved,0.0,10,0.83,0.26,0.3,0.3,True,True,False,thickening,930,Field Team,ingression_correlation,0.53,
BM-0076,Lake vicinity,,Northo,379.2,83.5,0.31,slowly_varying,gradient,0,mildly_curved,1.8,26,0.85,0.34,0.35,0.38,True,False,True,stable,921,Field Team,prebel_method,0.49,
BM-0077,Dens deep,,Dens,0.0,13.0,0.95,fluctuating,gradient,10.93,extreme,0.0,41,0.7,0.8,0.87,1.0,True,True,False,unknown,926,Field Team,pattern_observation,0.66,
BM-0078,Quarry interior,NW-2,Yeller Quarry,177.9,50.3,0.56,slowly_varying,uniform,4.12,moderately_curved,1.7,41,0.5,0.45,0.56,0.69,True,True,False,thinning,919,Boundary Commission,theoretical_inference,0.71,
BM-0079,Ascetic village,SW-6,Northo,318.7,54.9,0.15,fluctuating,highly_variable,0,mildly_curved,3.5,48,0.67,0.13,0.15,0.18,True,False,True,unknown,934,Ingression Study Group,pattern_observation,0.55,
BM-0080,Scholar's Quarter,Central-12,Capital,266.7,86.8,0.3,slowly_varying,gradient,0.87,mildly_curved,0.0,27,0.49,0.23,0.28,0.33,True,False,False,unknown,921,S. Moll,indigenous_knowledge,0.79,
BM-0081,Eastern Northo,SE-8,Northo,258.3,74.7,0.31,fluctuating,gradient,0.68,mildly_curved,1.0,42,0.42,0.32,0.29,0.39,True,True,False,thickening,923,C. Vells,indigenous_knowledge,0.68,
BM-0082,Southern camps,Western-7,Tower of Mirado,168.8,39.0,0.5,fluctuating,gradient,3.61,highly_curved,3.3,43,0.68,0.35,0.47,0.58,True,False,True,thickening,932,Field Team,theoretical_inference,0.64,
BM-0083,Mill vicinity,,Yeller Quarry,171.2,42.8,0.43,stable,highly_variable,4.36,mildly_curved,5.0,25,0.47,0.41,0.52,0.46,True,True,False,unknown,920,Boundary Commission,indigenous_knowledge,0.41,
BM-0084,Southern perimeter,Central-12,Dens boundary,28.2,2.5,0.82,fluctuating,gradient,9.55,highly_curved,0.7,30,0.76,0.62,0.96,0.93,True,False,False,stable,924,A. Vells,prebel_method,0.53,
BM-0085,Ascetic village,Western-7,Northo,256.0,91.0,0.25,slowly_varying,highly_variable,1.98,mildly_curved,3.8,2,0.69,0.21,0.3,0.32,True,True,True,unknown,927,T. Mord,theoretical_inference,0.55,
BM-0086,Quarry interior,Central-12,Yeller Quarry,168.8,56.2,0.48,chaotic,gradient,3.69,moderately_curved,0.0,23,0.83,0.38,0.43,0.48,True,True,True,stable,918,Ingression Study Group,prebel_method,0.87,
BM-0087,Sector SW-6,SW-6,Dens boundary,47.3,13.2,0.77,slowly_varying,patchy,8.22,highly_curved,2.5,12,0.86,0.77,0.92,0.86,True,True,False,stable,926,E. Pol,indigenous_knowledge,0.45,
BM-0088,Central anomaly,,Dens,0.0,5.1,0.94,slowly_varying,uniform,10.45,extreme,0.0,28,0.67,0.92,1.0,1.0,True,False,True,thickening,933,T. Mord,theoretical_inference,0.67,
BM-0089,Dens deep,,Dens,0.0,10.3,0.84,unstable,uniform,9.61,highly_curved,0.0,39,0.39,0.7,0.86,1.0,True,False,True,unknown,930,E. Pol,prebel_method,0.83,
BM-0090,Southern camps,,Tower of Mirado,222.4,90.7,0.25,chaotic,patchy,1.78,flat,0.0,2,0.51,0.22,0.28,0.28,True,False,False,unknown,924,C. Vells,spatial_analysis,0.52,
BM-0091,Eastern Northo,,Northo,376.1,79.3,0.19,chaotic,gradient,0,mildly_curved,1.3,42,0.3,0.16,0.21,0.23,True,False,False,thinning,921,M. Strand,prebel_method,0.65,
BM-0092,Dissolution zone,,Dens,0.0,1.4,0.83,stable,patchy,9.59,extreme,0.0,16,0.77,0.65,0.77,1.0,True,True,True,stable,923,C. Vells,indigenous_knowledge,0.46,
BM-0093,Educational district,,Densmok,197.3,63.4,0.3,stable,highly_variable,3.25,flat,0.0,37,0.52,0.32,0.34,0.38,True,False,False,stable,922,Capital Survey Team,prebel_method,0.59,
BM-0094,Klutch CC vicinity,Central-12,Densmok,191.0,47.8,0.44,slowly_varying,highly_variable,3.11,mildly_curved,0.0,26,0.52,0.34,0.42,0.45,True,True,False,unknown,930,Field Team,spatial_analysis,0.87,
BM-0095,Educational district,Western-7,Densmok,224.4,69.7,0.32,fluctuating,patchy,3.01,flat,0.0,27,0.79,0.24,0.37,0.35,True,False,False,stable,932,T. Mord,theoretical_inference,0.83,
BM-0096,Suburban zone,Central-12,Densmok,263.1,68.2,0.19,slowly_varying,highly_variable,2.17,mildly_curved,1.6,40,0.72,0.19,0.21,0.22,True,True,False,unknown,919,Field Team,prebel_method,0.79,
BM-0097,Coder quarter,SE-8,Densmok,203.8,67.1,0.29,chaotic,gradient,3.66,mildly_curved,0.0,12,0.32,0.22,0.27,0.32,True,False,True,thickening,922,E. Pol,pattern_observation,0.65,
BM-0098,Siege fields,NE-4,Tower of Mirado,201.9,86.1,0.1,unstable,uniform,2.45,flat,0.0,49,0.66,0.1,0.09,0.1,True,False,True,thickening,918,A. Vells,ingression_correlation,0.83,
BM-0099,Educational district,NE-4,Densmok,258.7,60.8,0.29,unstable,highly_variable,0.86,mildly_curved,3.5,3,0.33,0.28,0.27,0.37,True,False,False,stable,922,A. Prebel,prebel_method,0.73,
BM-0100,Suburban zone,SE-8,Densmok,211.7,96.6,0.29,slowly_varying,highly_variable,3.16,flat,0.0,28,0.71,0.27,0.3,0.37,True,True,False,unknown,931,Boundary Commission,indigenous_knowledge,0.57,
BM-0101,Northern margin,Western-7,Dens boundary,46.4,26.4,0.59,slowly_varying,uniform,9.28,highly_curved,0.0,34,0.75,0.57,0.69,0.75,True,False,False,thickening,927,Boundary Commission,prebel_method,0.46,
BM-0102,Capital outskirts,NE-4,Capital,204.8,50.8,0.34,fluctuating,highly_variable,2.29,moderately_curved,2.8,33,0.6,0.3,0.34,0.35,True,True,False,thinning,925,Ingression Study Group,theoretical_inference,0.87,
BM-0103,Educational district,,Densmok,186.2,40.1,0.48,slowly_varying,gradient,3.8,mildly_curved,3.2,6,0.8,0.42,0.54,0.55,True,True,True,unknown,927,Boundary Commission,prebel_method,0.43,
BM-0104,Dens interior,SW-6,Dens,0.0,13.2,0.94,unstable,highly_variable,10.24,extreme,0.0,39,0.73,0.96,1.0,1.0,True,True,True,thickening,919,Ingression Study Group,spatial_analysis,0.51,
BM-0105,Suburban zone,SE-8,Densmok,256.5,58.7,0.25,slowly_varying,gradient,1.52,moderately_curved,0.0,12,0.85,0.22,0.25,0.26,True,True,True,unknown,928,M. Strand,theoretical_inference,0.41,
BM-0106,Dens interior,Western-7,Dens,0.0,0.9,0.85,slowly_varying,highly_variable,9.96,extreme,4.4,40,0.31,0.85,0.9,0.87,True,True,False,stable,919,C. Vells,prebel_method,0.54,
BM-0107,Dens interior,Eastern-3,Dens,0.0,4.2,0.85,unstable,gradient,9.63,extreme,0.5,19,0.32,0.71,0.82,0.92,True,False,True,thickening,931,Boundary Commission,theoretical_inference,0.55,
BM-0108,Capital outskirts,,Capital,281.5,89.2,0.38,fluctuating,uniform,1.28,mildly_curved,0.0,2,0.68,0.31,0.37,0.49,True,False,False,thickening,922,S. Moll,spatial_analysis,0.41,
BM-0109,Northern monastery,,Northo,387.8,99.1,0.4,chaotic,highly_variable,0,mildly_curved,4.6,32,0.82,0.34,0.43,0.47,True,False,True,stable,931,S. Moll,ingression_correlation,0.49,
BM-0110,Mill vicinity,Western-7,Yeller Quarry,130.2,67.6,0.51,fluctuating,patchy,5.84,flat,1.0,10,0.32,0.5,0.61,0.62,True,False,False,stable,926,Ingression Study Group,pattern_observation,0.46,
BM-0111,Central anomaly,SE-8,Dens,0.0,0.8,0.91,unstable,patchy,9.83,highly_curved,0.7,32,0.51,0.79,0.98,1.0,True,True,False,stable,932,M. Strand,ingression_correlation,0.41,
BM-0112,Scholar's Quarter,Eastern-3,Capital,237.1,66.3,0.34,stable,gradient,2.34,mildly_curved,0.0,39,0.9,0.36,0.34,0.4,True,True,False,thickening,935,E. Pol,spatial_analysis,0.49,
BM-0113,Northern approach,,Tower of Mirado,209.5,87.8,0.22,chaotic,gradient,2.3,mildly_curved,0.0,15,0.5,0.21,0.25,0.23,True,True,True,stable,921,C. Vells,ingression_correlation,0.84,
BM-0114,Central anomaly,,Dens,0.0,2.8,0.86,unstable,uniform,10.85,highly_curved,0.0,44,0.33,0.94,0.92,1.0,True,False,False,unknown,925,Capital Survey Team,spatial_analysis,0.42,
BM-0115,Educational district,,Densmok,219.0,63.0,0.28,chaotic,uniform,2.94,mildly_curved,0.0,4,0.85,0.28,0.31,0.33,True,False,True,unknown,932,C. Vells,pattern_observation,0.65,
BM-0116,Quarry interior,SW-6,Yeller Quarry,136.7,47.8,0.53,unstable,highly_variable,4.76,mildly_curved,2.2,22,0.86,0.42,0.51,0.65,True,True,False,thinning,920,E. Pol,prebel_method,0.44,
BM-0117,Dens interior,,Dens,0.0,14.6,0.99,slowly_varying,patchy,10.8,highly_curved,0.0,28,0.8,0.95,1.0,1.0,True,False,True,unknown,926,E. Pol,theoretical_inference,0.68,
BM-0118,Western approach,,Dens boundary,55.1,26.0,0.7,unstable,uniform,7.85,moderately_curved,4.1,40,0.34,0.51,0.82,0.71,True,True,True,thickening,921,Field Team,prebel_method,0.45,
BM-0119,Klutch CC vicinity,,Densmok,278.7,55.6,0.25,chaotic,patchy,0.24,moderately_curved,2.7,39,0.56,0.27,0.26,0.29,True,True,True,thickening,924,Boundary Commission,pattern_observation,0.72,
BM-0120,Tower base,,Tower of Mirado,160.6,31.3,0.43,stable,highly_variable,5.14,moderately_curved,0.0,26,0.67,0.39,0.43,0.55,True,False,False,unknown,931,T. Mord,prebel_method,0.62,
BM-0121,Educational district,,Densmok,185.4,59.9,0.46,stable,highly_variable,4.18,mildly_curved,0.0,49,0.81,0.36,0.45,0.57,True,False,False,thinning,922,S. Moll,pattern_observation,0.61,
BM-0122,Dens deep,,Dens,0.0,3.3,0.84,unstable,uniform,9.77,highly_curved,0.7,14,0.34,0.71,0.92,0.97,True,True,True,stable,926,Boundary Commission,pattern_observation,0.89,
BM-0123,Southern camps,,Tower of Mirado,236.6,82.3,0.15,chaotic,highly_variable,1.24,flat,0.0,11,0.77,0.16,0.17,0.18,True,False,True,thinning,932,Capital Survey Team,ingression_correlation,0.86,
BM-0124,Educational district,SE-8,Densmok,195.1,51.9,0.5,unstable,uniform,3.85,mildly_curved,0.0,2,0.64,0.49,0.46,0.52,True,True,False,unknown,935,S. Moll,indigenous_knowledge,0.58,
BM-0125,Tower base,SE-8,Tower of Mirado,192.0,51.0,0.57,slowly_varying,uniform,3.74,mildly_curved,0.0,5,0.8,0.58,0.55,0.62,True,True,True,thickening,933,Ingression Study Group,theoretical_inference,0.54,
BM-0126,Capital proper,SW-6,Capital,293.1,75.8,0.39,unstable,patchy,1.15,flat,0.0,44,0.57,0.31,0.39,0.41,True,False,True,thinning,926,Boundary Commission,ingression_correlation,0.66,
BM-0127,Eastern markets,Western-7,Capital,290.6,72.4,0.3,stable,uniform,0,mildly_curved,1.9,30,0.85,0.22,0.32,0.33,True,False,True,thinning,935,Ingression Study Group,prebel_method,0.79,
