place_id,name,borough,place_type,craving_type_primary,risk_level_physical,risk_level_symbolic,is_boundary,notes
NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,hermitage,negation,4,9,False,Isolated single-cells on ridge.
NORTH_TRIAL_FIELD_,Trial Field of Northo,Northo,field,negation,4,8,True,Where novices practice obedience.
NORTH_NORTHO_GATEH,Northo Gatehouse,Northo,gate,negation,3,7,True,Entrance checkpoint to Northo proper.
NORTH_PILGRIM_WAY_,Pilgrim Way Station,Northo,hostel,negation,2,7,True,Beds and plain meals for pilgrims.
NORTH_NORTHO_MARKE,Northo Market Circle,Northo,market,negation,3,7,False,"Simple stalls, strict rules."
NORTH_COLLAPSED_CH,Collapsed Chapel,Northo,ruin,negation,5,8,False,Badly remembered saint story site.
MIRAD_MIRADO_GATE_,Mirado Gate North,Mirado,tower_gate,structure,4,9,True,North gate to Tower of Mirado.
MIRAD_MIRADO_GATE_,Mirado Gate Desert,Mirado,tower_gate,structure,4,9,True,Gate from desert side.
MIRAD_TOWER_LEVEL_,Tower Level One,Mirado,tower_level,structure,4,9,False,"Introductory puzzles, still disorienting."
MIRAD_TOWER_LEVEL_,Tower Level Two,Mirado,tower_level,structure,5,9,False,Tighter loops and echoing corridors.
MIRAD_TOWER_LEVEL_,Tower Level Three,Mirado,tower_level,structure,6,10,False,Edges-to-edges and tautology traps.
MIRAD_MIRADO_STICK,Mirado Sticks Outskirts,Mirado,waste,structure,5,8,True,Sparse scrub land around tower.
MIRAD_MIRADO_CAMPG,Mirado Campground,Mirado,camp,structure,3,7,False,Where expeditions start and end.
DEADR_DEAD_RIVER_W,Dead River West Bank,Deadriver,riverbank,exhaustion,6,9,True,"Steep bank, dark water, bad stories."
DEADR_DEAD_RIVER_E,Dead River East Bank,Deadriver,riverbank,exhaustion,6,9,True,"Marshier, with broken stairs."
DEADR_FERRYMANS_DO,Ferryman's Dock,Deadriver,dock,exhaustion,5,9,True,Unofficial ferries push off at night.
DEADR_BROKEN_DEADR,Broken Deadriver Bridge,Deadriver,bridge,exhaustion,7,9,True,Half-collapsed concrete span.
DEADR_DEADRIVER_SH,Deadriver Shantytown,Deadriver,slum,exhaustion,5,8,False,Stacked shacks on stilts.
