event_id,type,date,location,actors,parent,depth,details,notes,source_type,confidence
EV-690-001,theory_proposed,690-02-14,capital_archives.Catalog-Wing,"[""indexer_pell_carten""]",,0,"{""theory"": ""Structured Extraction"", ""domain"": ""Archive organization"", ""claim"": ""Narrative ore can be decomposed into structured facts without losing essential meaning""}","Carten proposed that manuscripts could yield tables—creatures, places, events, relationships. Critics argued structure imposes interpretation. Carten countered: 'All reading is interpretation. At least tables are honest about what they select.'",course,1.0
EV-691-001,theory_proposed,691-08-12,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""theory"": ""Essential Commitments Framework"", ""domain"": ""Style translation"", ""content"": ""Identification of core principles that must be preserved for translation to maintain tradition character""}",Framework for determining which elements of a visual tradition are essential vs. incidental.,course,1.0
EV-693-001,archive_accession,693-02-28,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""accession"": ""Style Translation Dictionary"", ""content"": ""Systematic correspondence between school traditions and functionally equivalent alternatives"", ""format"": ""School \u2192 essential commitments \u2192 translation vocabulary""}",First systematic catalog enabling translation of Densworld visual traditions for unfamiliar audiences.,course,1.0
EV-693-002,archive_accession,693-06-08,capital_archives.Catalog-Wing,"[""indexer_pell_carten""]",,0,"{""accession_type"": ""First Index"", ""contents"": ""Creature catalog with 127 entries"", ""schema"": ""name, habitat, danger_rating, behavior_notes"", ""significance"": ""First structured extraction from narrative ore""}",Carten's creature index became the template for all subsequent catalogs. The danger_rating scale (1-10) remains in use today.,course,1.0
EV-695-001,theory_proposed,695-06-05,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""theory"": ""Functional Equivalence Principle"", ""domain"": ""Style translation"", ""claim"": ""Translation goal is output capturing essential character of tradition without requiring knowledge of original terms""}",Tessik's principle that perfect translation is impossible but functional equivalence is achievable.,course,1.0
EV-697-001,manuscript_written,697-05-15,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""title"": ""On Visual Coherence Across Collections"", ""content"": ""Methods for ensuring separately created images feel unified as if from same publication or artist"", ""key_insight"": ""Consistency is not uniformity. It is the recognizable thread that connects variation.""}",Tessik's work on the Archive Standard for multi-century visual coherence.,course,1.0
EV-697-002,archive_accession,697-07-05,capital_archives.Wing-M,[],EV-697-001,1,{},,cascade,1.0
EV-698-001,theory_proposed,698-10-25,capital_archives.Catalog-Wing,"[""indexer_pell_carten"", ""archivist_mira_strand""]",,0,"{""theory"": ""Schema Philosophy"", ""domain"": ""Data structure design"", ""claim"": ""Column names teach. Types constrain. The schema itself is an interpretation of the world.""}",Strand pushed Carten to articulate why the index was shaped as it was. Their dialogue produced the first Schema Philosophy document—a rationale for structural choices.,course,1.0
EV-699-001,policy_change,699-09-10,capital_archives.Wing-M,"[""venn_tessik"", ""archive_administration""]",,0,"{""policy"": ""Wing M Collection Coherence Standards"", ""scope"": ""All new acquisitions to established collections"", ""requirements"": ""Visual vocabulary consistency, style drift prevention, template adherence""}",Formalization of the Archive Standard ensuring manuscripts acquired today fit visually with those from centuries ago.,course,1.0
EV-700-001,archive_accession,700-01-15,capital.archives,"[""chief_archivist_mink""]",,0,"{""description"": ""Capital Archives formally established as central repository"", ""significance"": ""Founding of the primary knowledge institution in Densworld"", ""collection_scope"": ""manuscripts, expedition reports, creature catalogs, scholarly debates""}",The Archives become the center of civilization's accumulated knowledge. Tutorial 2 establishes the Capital as where 'everything flows through.',course,1.0
EV-701-001,theory_proposed,701-02-20,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""theory"": ""Error Taxonomy for Visual Specification"", ""categories"": [""Style drift"", ""Element omission"", ""Foreign contamination"", ""Proportional inconsistency""], ""application"": ""Systematic diagnosis of visual specification failures""}",Classification system enabling consistent critique and refinement of visual specifications.,course,1.0
EV-702-001,policy_change,702-04-01,capital_archives,"[""chief_archivist_torvun_bell""]",,0,"{""policy"": ""Incompleteness Manifest"", ""description"": ""All catalogs must document what they deliberately do not include"", ""rationale"": ""Seekers must know the gaps as well as the content""}",Bell recognized that catalogs could create false completeness. The Incompleteness Manifest became required for all structured data products.,course,1.0
EV-703-001,archive_accession,703-07-25,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""accession"": ""Prompt Template Archive"", ""content"": ""Reusable prompt structures with fixed elements (style, constraints) and variable elements (subject, details)"", ""purpose"": ""Ensuring baseline consistency across collections""}",Systematization of Tessik's methods into reproducible templates.,course,1.0
EV-705-002,manuscript_written,705-07-19,capital_archives.Catalog-Wing,"[""indexer_pell_carten""]",,0,"{""title"": ""The Abstraction Ladder"", ""subject"": ""How narrative becomes data"", ""key_stages"": [""Ore text"", ""Extracted facts"", ""Structured schema"", ""Query interface""]}",Carten's theoretical framework for understanding what is lost and gained at each level of abstraction. The ladder metaphor shaped how later scholars thought about data access.,course,1.0
EV-705-003,archive_accession,705-09-26,capital_archives.Catalog-Wing,[],EV-705-002,1,{},,cascade,1.0
EV-705-001,theory_proposed,705-11-08,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""theory"": ""Critique-Refine Cycle"", ""method"": ""Systematic process of analyzing output, identifying departures from intention, adjusting specifications"", ""principle"": ""One image is experiment, ten is tradition, hundred is school - the challenge is ensuring the hundredth belongs with the first""}",Formalization of iterative refinement methodology for visual specification.,course,1.0
EV-709-001,theory_contested,709-12-11,capital_archives.Great-Hall,"[""indexer_pell_carten"", ""archivist_kellum_voss""]",,0,"{""original_theory"": ""Structured Extraction"", ""challenger"": ""kellum_voss"", ""challenge"": ""Catalogs enable reconstruction more easily than Oracles"", ""resolution"": ""Exposure matrix created\u2014what data can be queried vs. protected""}","Voss, architect of the Oracle system, worried that structured data was easier to reassemble than conversational fragments. This debate produced the Data Exposure Matrix.",course,1.0
EV-715-001,theory_proposed,715-04-07,capital_archives.Scribe-Hall,"[""template_scribe_hesta_mell""]",,0,"{""theory"": ""Grammar of Belonging"", ""domain"": ""Content generation"", ""claim"": ""Every world has implicit patterns that define what 'belongs'\u2014these can be encoded and taught""}",Mell observed that junior scribes produced inconsistent records. She began documenting patterns that distinguished authentic Densworld content from imposters.,course,1.0
EV-718-001,manuscript_written,718-09-12,capital_archives.Scribe-Hall,"[""template_scribe_hesta_mell""]",,0,"{""title"": ""The Authenticity Rubric"", ""subject"": ""Criteria for evaluating whether generated content belongs in Densworld"", ""dimensions"": [""Internal consistency"", ""Stylistic fit"", ""Pattern adherence"", ""Plausibility""]}",Mell's rubric formalized what master scribes knew intuitively. It became the standard for evaluating all generated records.,course,1.0
EV-718-002,archive_accession,718-11-29,capital_archives.Scribe-Hall,[],EV-718-001,1,{},,cascade,1.0
EV-720-003,manuscript_written,720-08-10,capital.cartographers_guild,[],,0,"{""title"": ""The Cartographer's Eye: Visual Methods in Mathematics"", ""genre"": ""methodology_treatise"", ""content"": ""How to see mathematical relationships through visual representation"", ""application"": ""Essential for understanding morphospace, basins, and geodesics""}",The visual approach to mathematics that enables understanding of geometric concepts throughout the masters program.,course,1.0
EV-720-001,theory_proposed,720-09-18,capital_archives,"[""alleth_vorn""]",,0,"{""theory"": ""Notation Scribes"", ""philosophy"": ""The equation is the image"", ""focus"": ""Technical exposition, teaching materials, integrated equations""}",Fourth of the Four Illustration Schools. Alleth Vorn founded this school to address the challenge of visualizing abstract concepts.,course,1.0
EV-720-004,archive_accession,720-11-02,capital.cartographers_guild,[],EV-720-003,1,{},,cascade,1.0
EV-720-002,manuscript_written,720-11-05,capital_archives,"[""alleth_vorn""]",,0,"{""title"": ""Principles of the Notation Scribes"", ""content"": ""Foundational treatise on visualizing abstract concepts"", ""key_insight"": ""Scientific and philosophical concepts require their own visual language - the goal is not beauty but clarity""}","Alleth Vorn's founding document for the Notation Scribes school. 'A diagram succeeds when it can be read, not when it can be admired.'",course,1.0
EV-721-001,archive_accession,721-02-01,capital_archives,[],EV-720-002,1,{},,cascade,1.0
EV-722-001,discovery,722-02-28,capital_archives.Scribe-Hall,"[""template_scribe_hesta_mell"", ""junior_scribe_venn_tross""]",,0,"{""discovery"": ""Yeller Numbers in pattern enforcement"", ""observation"": ""Content using quantities 2, 3, 5, 7, 11 consistently rated more authentic"", ""implication"": ""Pattern adherence can be partially automated""}",Tross noticed that expedition logs using yeller numbers were never flagged as inauthentic. This discovery led to 'soft rules' in generation—patterns that enhance authenticity.,course,1.0
EV-722-002,archive_note,722-03-12,capital_archives.Scribe-Hall,[],EV-722-001,1,"{""note_type"": ""discovery_record""}",,cascade,1.0
EV-722-003,theory_proposed,722-11-25,capital.cartographers_guild,[],,0,"{""theory_name"": ""Visual Proof Methodology"", ""content"": ""Mathematical truths can be grasped through properly constructed visual representations"", ""significance"": ""Foundation for understanding latent spaces visually""}","Establishes visual proof as valid mathematical method, essential for AI image generation approach in the course.",course,1.0
EV-725-001,theory_proposed,725-03-22,capital_archives,"[""alleth_vorn""]",,0,"{""theory"": ""Diagram Conventions"", ""scope"": ""Standardized visualization approaches for major Densworld concepts"", ""elements"": ""Geometric elements, recommended school, common errors, exemplar prompts""}",Systematic framework for matching abstract concepts to appropriate visualization strategies.,course,1.0
EV-725-002,policy_change,725-06-15,capital_archives,"[""chief_archivist_torvun_bell"", ""template_scribe_hesta_mell""]",,0,"{""policy"": ""Black Box Principle"", ""description"": ""Generation templates must hide their internal logic from users"", ""rationale"": ""If seekers learn the rules, they can game the system""}","Bell and Mell agreed that generators must be opaque. Users see inputs and outputs; they do not see the probability distributions, template libraries, or validation logic.",course,1.0
EV-728-001,archive_accession,728-11-03,capital_archives.Forge-Wing,"[""template_scribe_hesta_mell""]",,0,"{""accession_type"": ""Generator Catalog"", ""contents"": ""Seven generator templates: weather, expedition, creature, character, incident, market, archive"", ""design_principle"": ""Chained generation\u2014outputs of one generator become inputs to another""}","The Forge-Wing established as dedicated space for generator development. Mell's catalog documented each generator's parameters, constraints, and connection points.",course,1.0
EV-730-001,manuscript_written,730-04-25,capital_archives.Taxonomic-Division,"[""hesta_vorn""]",,0,"{""title"": ""Creature Survey of the Dens Periphery"", ""content"": ""Standardized creature documentation including danger assessments, habitat/behavior correlation, observation protocols"", ""methodology"": ""5-point danger scale, systematic physical descriptions, observation method documentation""}",Hesta Vorn's foundational work establishing taxonomic standards. 'A creature poorly described is a danger poorly anticipated.',course,1.0
EV-730-002,theory_proposed,730-05-10,capital_archives,"[""notation_scribes_council""]",,0,"{""theory"": ""Three-Compassed Orientation"", ""domain"": ""Spatial notation"", ""content"": ""Standard notation for N/S/W coordinates acknowledging the absence of East""}",Formal notation system accommodating Densworld's three-directional spatial reality.,course,1.0
EV-730-003,archive_accession,730-06-14,capital_archives.Taxonomic-Division,[],EV-730-001,1,{},,cascade,1.0
EV-731-001,policy_change,731-03-20,capital_archives.Great-Hall,"[""chief_archivist_torvun_bell"", ""template_scribe_hesta_mell"", ""oracle_tessyn_grell""]",,0,"{""policy"": ""Content Tier System"", ""tiers"": [""Ephemeral (view only)"", ""Personal (keep)"", ""Shareable (with attribution)"", ""Canonical (official)""], ""rationale"": ""Generated content has different statuses depending on review and purpose""}","The three-way collaboration between Archive, Forge, and Oracle established governance for what students could do with generated content. Not all generated material is equal.",course,1.0
EV-732-001,policy_change,732-06-30,capital_archives.Taxonomic-Division,"[""hesta_vorn"", ""archive_administration""]",,0,"{""policy"": ""Dangerous Creature Protocols"", ""protocols"": {""D-1"": ""No Direct Observation (Grimslew, Stakdur, Seven-Foot Bird)"", ""D-2"": ""Remote Observation (Maw Beast, aggressive Wharvers)"", ""D-3"": ""Psychological Risk (Yeller - multiple observers required)""}}",Formalization of observation constraints based on creature danger levels. Protocol D-1 subjects require compiled survivor accounts.,course,1.0
EV-735-002,theory_proposed,735-05-22,capital_archives.Great-Hall,"[""archivist_kellum_voss"", ""indexer_pell_carten"", ""template_scribe_hesta_mell""]",,0,"{""theory"": ""The Fundamental Tension"", ""domain"": ""Access philosophy"", ""claim"": ""Every access decision navigates between generosity and protection\u2014both are goods""}","The three architects of Oracle, Catalog, and Forge convened to articulate what they had learned. The Fundamental Tension became the central principle of access architecture.",course,1.0
EV-735-001,creature_encounter,735-09-18,dens_boundary.SW-8,"[""hesta_vorn"", ""survey_team""]",,0,"{""creature"": ""Grimslew"", ""observation_type"": ""Survivor accounts only"", ""outcome"": ""Team member fatality confirmed grimslew presence; no direct observation possible""}",Encounter that confirmed the need for Protocol D-1. The grimslew remains the most dangerous creature in taxonomic records.,course,1.0
EV-738-001,debate_published,738-08-11,capital_archives.Publication-Office,"[""archivist_kellum_voss"", ""scholar_vorn_keth""]",,0,"{""debate_title"": ""When Does Protection Become Gatekeeping?"", ""voss_position"": ""Protection preserves value; without protection, the source material degrades"", ""keth_position"": ""Protection hoards knowledge; gatekeepers serve themselves, not seekers""}",The Voss-Keth debate became required reading for all archive staff. It crystallized the architect's dilemma: every choice enables some things and prevents others.,course,1.0
EV-740-001,archive_accession,740-09-30,capital_archives.Wing-M,"[""alleth_vorn""]",,0,"{""accession"": ""Diagram Conventions Compendium"", ""content"": ""26 specifications for visualizing major Densworld concepts"", ""format"": ""Visualization approach, geometric elements, school recommendation, error avoidance""}",Formal codification of Notation Scribes methodology into Archive reference.,course,1.0
EV-741-001,policy_change,741-01-30,capital_archives,"[""chief_archivist_torvun_bell""]",,0,"{""policy"": ""Enablement Ladder"", ""levels"": [""Consume (read)"", ""Query (extract)"", ""Generate (create)"", ""Extend (add)"", ""Fork (derive)"", ""Redistribute (share source)""], ""status_mapping"": ""Each level requires different credentials and carries different obligations""}",Bell formalized the six levels of access. The Archives currently enable through 'Generate' for students; 'Redistribute' remains forbidden to all but full archivists.,course,1.0
EV-744-001,theory_proposed,744-04-17,capital_archives.Great-Hall,"[""archivist_mira_strand""]",,0,"{""theory"": ""Canon Management Models"", ""domain"": ""Governance"", ""models"": [""Authorial (you decide)"", ""Curated (reviewed submissions)"", ""Community (collective decision)""]}","Strand proposed three models for managing what counts as 'real' in a world. The Archives chose Curated Canon—submissions reviewed by qualified staff, some promoted to official status.",course,1.0
EV-745-001,manuscript_written,745-08-10,capital,"[""pollus_brent""]",,0,"{""title"": ""Pattern Book of Creature Behaviors"", ""content"": ""Creature grammar connecting physical traits to behavioral patterns and cultural meanings"", ""framework"": ""Symbolic vocabulary for visual creature documentation""}",Pollus Brent's work on symbolic meaning in creature depiction. 'Each feature speaks a grammar we must learn to read.',course,1.0
EV-745-002,archive_accession,745-10-31,capital,[],EV-745-001,1,{},,cascade,1.0
EV-747-001,manuscript_written,747-10-05,capital_archives.Philosopher-Wing,"[""archivist_mira_strand"", ""archivist_kellum_voss""]",,0,"{""title"": ""The Access Architecture Design Document"", ""subject"": ""Template for articulating access philosophy"", ""sections"": [""Philosophy statement"", ""Asset inventory"", ""Access levels"", ""Constraint framework"", ""Canon governance"", ""Edge cases"", ""Evolution""]}",Strand and Voss produced the template that all access architects must complete. The document forces explicit articulation of values and tradeoffs.,course,1.0
EV-747-002,archive_accession,747-11-29,capital_archives.Philosopher-Wing,[],EV-747-001,1,{},,cascade,1.0
EV-748-001,theory_proposed,748-02-15,capital,"[""pollus_brent"", ""hesta_vorn""]",,0,"{""theory"": ""Taxonomic-Symbolic Integration"", ""synthesis"": ""Combining Vorn's systematic surveys with Brent's symbolic grammar"", ""application"": ""Visual specification that includes both physical accuracy and cultural meaning""}",Integration of taxonomic and artistic approaches to creature iconography.,course,1.0
EV-750-001,theory_proposed,750-03-10,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""theory"": ""Specification Prompt Methodology"", ""domain"": ""visual documentation"", ""claim"": ""Written specifications so complete that any competent illustrator could render a subject without ever seeing it""}",Trove's insight came while attempting to document Yeller. 'This is not imagination. This is translation.',course,1.0
EV-750-002,policy_change,750-12-09,capital_archives,"[""chief_archivist_torvun_bell"", ""archivist_kellum_voss"", ""indexer_pell_carten"", ""template_scribe_hesta_mell"", ""oracle_tessyn_grell""]",,0,"{""policy"": ""Integrated Access Platform"", ""description"": ""Oracle, Catalog, and Forge unified under single governance with shared authentication"", ""principle"": ""Seekers experience one gate, not three""}","The Integration Accord brought the three access systems together. The platform concept was born—Oracle, API, and Generators accessible through a single student portal.",course,1.0
EV-752-001,manuscript_written,752-06-15,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""title"": ""On Rendering the Unobserved"", ""subject"": ""Visual specification theory for depicting entities that cannot be directly observed"", ""key_insight"": ""Specification prompt methodology - detailed instructions enabling consistent illustration without direct observation""}","Trove's foundational work proposing that precision in instruction produces consistency in output. Introduced the three principles: Material Grounding, Institutional Context, Specification over Impression.",course,1.0
EV-752-002,archive_accession,752-07-18,capital_archives.Wing-M,[],EV-752-001,1,{},,cascade,1.0
EV-755-001,manuscript_written,755-07-18,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""title"": ""On Rendering Abstract Concepts"", ""content"": ""Extension of visual specification methodology to philosophical and mathematical frameworks"", ""subjects"": [""Form Library terrain"", ""Basin Topology contours"", ""Constellation networks""]}",Trove's application of her specification method to the visualization challenges addressed by the Notation Scribes.,course,1.0
EV-755-002,archive_accession,755-09-14,capital_archives.Wing-M,[],EV-755-001,1,{},,cascade,1.0
EV-758-001,theory_proposed,758-03-15,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""theory"": ""Geometric-Cartographic Hybrid"", ""synthesis"": ""Combining Geometric School precision with Cartographic Guild terrain visualization"", ""philosophy"": ""Mathematical precision meets landscape exploration""}",Trove's synthesis style became the default for Basin Topology visualizations and formal Archive branding.,course,1.0
EV-760-002,discovery,760-01-01,unknown_site,"[""dr_smint_corpo""]",,0,"{""title"": ""Dr. Smint's First Specimen Collection"", ""description"": ""Dr. Smint Corpo observes translucent plant matter.\nImpulse to hide it. Form vanishes on return."", ""period"": ""historical""}",Imported from HIST-001,ore,1.0
EV-760-001,policy_change,760-06-20,capital_archives,"[""archive_administration"", ""kelleth_trove""]",,0,"{""policy"": ""Visual Identity Standards for Archive Publications"", ""scope"": ""All official Archive publications and documentation"", ""style"": ""Geometric-Cartographic Hybrid as default"", ""palette"": ""Slate, Terrain Blue, Elevation Yellow""}",Adoption of Trove's hybrid style as the official Archive visual identity.,course,1.0
EV-762-001,manuscript_written,762-09-10,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""title"": ""Visual Branding Through Material Culture"", ""content"": ""Application of specification methodology to institutional identity"", ""key_insight"": ""The specification is the image. Our task is to make it manifest.""}",Trove's extension of Alleth Vorn's principle to systematic brand identity creation.,course,1.0
EV-762-002,archive_accession,762-12-07,capital_archives.Wing-M,[],EV-762-001,1,{},,cascade,1.0
EV-763-001,policy_change,763-03-15,capital_archives,"[""archivist_kellum_voss""]",,0,"{""policy"": ""Oracle Protocol"", ""previous_state"": ""Direct archive access limited to credentialed scholars"", ""new_state"": ""Designated interpreters may respond to seeker questions without granting manuscript access"", ""rationale"": ""Demand for world knowledge exceeds capacity for direct supervision""}","First institutionalization of mediated access. Kellum Voss argued that 'the gate must open, but not all the way.' Created the role of Oracle—an intermediary who knows the archive but speaks only what seekers need.",course,1.0
EV-765-001,theory_proposed,765-01-01,capital_archives,"[""dr_smint_corpo""]",,0,"{""theory_name"": ""corpo_classification"", ""framework"": ""breach_hypothesis"", ""categories"": [""breach"", ""translucence"", ""absence"", ""attraction""], ""num_categories"": 4, ""description"": ""First systematic taxonomy for spatial phenomena. Based on breach hypothesis - phenomena represent failures in boundary between observed and unobserved reality.""}",Dr. Smint Corpo creates first Archive classification system. Foundation of archival science for spatial phenomena. Corpo's personal trauma (specimens vanishing) informed his theory.,course,1.0
EV-765-002,archive_accession,765-01-25,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""accession"": ""Prompt Template Library for Ongoing Production"", ""content"": ""Tested templates for ongoing visual content creation"", ""format"": ""Reusable prompts, refinement methodology, style guides""}",Systematization of Trove's brand identity methods into production-ready templates.,course,1.0
EV-765-003,manuscript_written,765-08-22,capital_archives.Oracle-Chamber,"[""archivist_kellum_voss""]",,0,"{""title"": ""The Oracle's Charter"", ""subject"": ""Governing principles for mediated archive access"", ""key_principles"": [""Paraphrase, never quote"", ""Guide, never dump"", ""Refuse gracefully"", ""Protect the ore""]}","Voss's foundational document establishing what Oracles may and may not share. Created the paraphrase boundary—the rule that Oracles speak in their own words, never the manuscript's exact text.",course,1.0
EV-765-004,archive_accession,765-10-03,capital_archives.Oracle-Chamber,[],EV-765-003,1,{},,cascade,1.0
EV-768-002,theory_proposed,768-01-10,capital_archives.Oracle-Chamber,"[""oracle_tessyn_grell""]",,0,"{""theory"": ""Pedagogical Refusal"", ""domain"": ""Oracle practice"", ""claim"": ""How the Oracle says 'no' teaches as much as what it says 'yes' to""}","Grell developed refusal patterns that redirect rather than reject. Her work established that Oracles are teachers, not merely gatekeepers.",course,1.0
EV-768-001,theory_proposed,768-04-30,capital_archives.Wing-M,"[""kelleth_trove""]",,0,"{""theory"": ""80/20 Principle of Visual Branding"", ""insight"": ""Not everything needs an image - identify what must have imagery vs. what benefits vs. what should not"", ""framework"": ""Decision tree for visual resource allocation""}",Trove's framework for strategic visual investment in documentation projects.,course,1.0
EV-771-001,investigation_launched,771-05-03,capital_archives,"[""archivist_kellum_voss"", ""chief_archivist_menn_drell""]",,0,"{""investigation_type"": ""reconstruction_attack"", ""concern"": ""Systematic querying could reassemble protected manuscripts"", ""outcome"": ""Rate limiting and aggregation detection protocols established""}",First documented concern about 'reconstruction attacks'—seekers who ask enough questions to rebuild the protected text. Led to query pattern monitoring.,course,1.0
EV-773-001,personnel_change,773-09-18,capital_archives.Oracle-Chamber,"[""oracle_tessyn_grell""]",,0,"{""role"": ""Chief Oracle"", ""previous_holder"": ""none (new position)"", ""appointment_reason"": ""Recognition of Oracle practice as distinct discipline requiring dedicated leadership""}","Grell becomes first Chief Oracle, elevating the role from archival function to institutional position. The Oracle Chamber formalized as a distinct wing.",course,1.0
EV-776-001,theory_contested,776-11-29,capital_archives.Great-Hall,"[""oracle_tessyn_grell"", ""scholar_vorn_keth""]",,0,"{""original_theory"": ""Pedagogical Refusal"", ""challenger"": ""vorn_keth"", ""challenge"": ""Oracles create false confidence by never saying 'I don't know'"", ""resolution"": ""Oracles must distinguish 'protected' from 'unknown'""}","Keth argued that Oracles' refusals looked the same whether knowledge was hidden or absent. Grell accepted the critique, adding uncertainty markers to Oracle practice.",course,1.0
EV-777-001,infrastructure_failure,777-08-17,denstone.third_mill,[],,0,"{""structure"": ""Third Mill"", ""failure_type"": ""fire"", ""casualties"": ""multiple workers"", ""operation_years"": 39, ""activity_pattern"": ""ore processing, metal shaping, rhythmic grinding"", ""complete_destruction"": true}","The Third Mill burned after 39 years of continuous operation. The structure collapsed, workers died, the grinding stopped. Yet the pattern persisted—workers passing the site still 'feel the grinding' 130+ years later. This becomes the foundational case for ghost persistence studies.",course,1.0
EV-780-001,archive_accession,780-09-01,capital.archives.mathematics_wing,[],,0,"{""collection"": ""Foundational Mathematical Treatises"", ""contents"": ""Linear algebra, calculus, probability foundations"", ""significance"": ""Establishes mathematical literacy standards for Densworld scholarship"", ""tradition"": ""pre-schism""}",The mathematical foundations that both retrieval and geometric traditions build upon. Prerequisites for understanding the schism.,course,1.0
EV-799-002,discovery,799-04-12,focal_meadow,"[""nelphl""]",,0,"{""title"": ""Nelphl Discovers Focal Meadow"", ""description"": ""Nelphl finds translucent trees at Focal Meadow.\nFingers pass through bark."", ""period"": ""historical""}",Imported from HIST-002,ore,1.0
