date,decision_makers,policy_name,scope,justification,requirements,location,notes,event_id
842-10-28,senator_krehl,,,,,capital_senate,Bureaucratic expansion,EV-842-019
843-02-05,senator_vorn,,,,,capital_senate,Institutionalized monitoring,EV-843-022
843-05-18,senator_krehl,,,,,capital_senate,Largest appropriation yet,EV-843-023
843-08-22,senator_trell,,,,,capital_senate,Improved documentation,EV-843-024
843-11-30,senator_krehl,,,,,capital_senate,Geographic focus,EV-843-025
844-03-10,senator_gast,,,,,capital_senate,Response to breakdown reports,EV-844-014
844-06-25,senator_krehl,,,,,capital_senate,Sustained investment,EV-844-015
844-09-15,senator_gast,,,,,capital_senate,Reformist proposal defeated,EV-844-016
844-12-20,senator_krehl,,,,,capital_senate,Fiscal preparation,EV-844-017
845-02-28,senator_krehl,,,,,capital_senate,Engineering intensification,EV-845-018
845-05-12,senator_trell,,,,,capital_senate,Response to attrition,EV-845-019
845-08-20,senator_krehl,,,,,capital_senate,Ongoing investment,EV-845-020
845-11-05,senator_gast,,,,,capital_senate,Reformist proposal defeated again,EV-845-021
846-01-15,senator_krehl,,,,,capital_senate,Institutional growth,EV-846-016
846-04-22,senator_krehl,,,,,capital_senate,Escalation of response,EV-846-017
846-07-30,senator_krehl,,,,,capital_senate,Record appropriation,EV-846-018
846-10-18,senator_trell,,,,,capital_senate,Response to risks,EV-846-019
847-01-25,senator_krehl,,,,,capital_senate,Response to deterioration,EV-847-037
847-04-10,senator_krehl,,,,,capital_senate,Contingency planning,EV-847-038
847-07-22,senator_krehl,,,,,capital_senate,Crisis funding,EV-847-039
847-10-05,senator_krehl,,,,,capital_senate,All resources to moat,EV-847-040
848-01-15,senator_krehl,,,,,capital_senate,Constitutional stretch,EV-848-020
848-04-28,senator_krehl,,,,,capital_senate,Last major appropriation,EV-848-021
848-07-20,senator_krehl,,,,,capital_senate,Escalation,EV-848-022
848-10-12,senator_krehl,,,,,capital_senate,Information control,EV-848-023
849-01-08,senator_krehl,,,,,capital_senate,Futile final effort,EV-849-019
849-03-22,senator_vorn,,,,,capital_senate,Crisis recognition,EV-849-020
849-05-15,senator_trell,,,,,capital_senate,Humanitarian response,EV-849-021
849-07-28,senator_gast,,,,,capital_senate,Institutional collapse,EV-849-022
849-10-10,senator_trell,,,,,capital_senate,Immediate relief,EV-849-023
849-12-20,senator_gast,,,,,capital_senate,Accountability effort,EV-849-024
850-02-18,senator_prebel,,,,,capital_senate,Policy shift begins,EV-850-015
850-05-25,senator_trell,,,,,capital_senate,Beyond emergency,EV-850-016
850-08-30,senator_gast,,,,,capital_senate,Symbolic rejection,EV-850-017
850-11-15,senator_vorn,,,,,capital_senate,Institutional learning,EV-850-018
851-02-10,senator_prebel,,,,,capital_senate,New paradigm trial,EV-851-021
851-05-22,senator_trell,,,,,capital_senate,Economic integration,EV-851-022
851-08-15,senator_gast,,,,,capital_senate,Paradigm shift,EV-851-023
851-11-28,senator_prebel,,,,,capital_senate,Policy reversal,EV-851-024
852-03-05,senator_gast,,,,,capital_senate,Vindication,EV-852-011
852-06-20,senator_prebel,,,,,capital_senate,Institutional reflection,EV-852-012
