route_id,teen_id,date,time_of_day,origin_place_id,destination_place_id,sequence_places,distance_km,risk_traffic,rumor_creature,encounter_mapmaker,got_home_safely
36,teen_little_porn,2034-12-10,afternoon,CAPEA_DUSTY_SOCCER,CAPIT_CAPITAL_TRAI,CAPEA_DUSTY_SOCCER;CAPIT_CAPITAL_TRAI,16.63,4,False,False,True
37,teen_elise,2034-09-11,afternoon,DENSM_OLD_QUARRY_R,CAPEA_CAPEAST_USED,DENSM_OLD_QUARRY_R;CAPEA_CAPEAST_ARTE;CAPEA_CAPEAST_USED,27.7,7,False,False,True
38,teen_tyli,2034-10-23,evening,DENSM_DENSMOK_HILL,CAPEA_CAPEAST_ARTE,DENSM_DENSMOK_HILL;DENSM_DENSMOK_STRI;CAPEA_CAPEAST_ARTE,29.45,4,True,False,True
39,teen_elise,2034-10-31,afternoon,DENSM_DENSMOK_BUS_,DENSM_OVERPASS_GRA,DENSM_DENSMOK_BUS_;CAPEA_MIRADO_STICK;DENSM_OLD_QUARRY_R;DENSM_OVERPASS_GRA,46.57,3,False,False,True
40,teen_deshawn,2034-09-19,afternoon,CAPEA_CAPEAST_STRI,CAPEA_DUSTY_SOCCER,CAPEA_CAPEAST_STRI;CAPEA_DUSTY_SOCCER,5.17,5,False,False,True
41,teen_josh,2034-10-11,morning,CAPEA_CAPEAST_STRI,CAPEA_RIVERSLAND_H,CAPEA_CAPEAST_STRI;CAPIT_KACHOT_CARDH;CAPEA_RIVERSLAND_H,37.59,7,False,False,True
42,teen_carla,2034-09-13,evening,CAPEA_DEAD_RIVER_O,CAPEA_RIVERSLAND_H,CAPEA_DEAD_RIVER_O;CAPIT_SENATE_SQUAR;CAPEA_RIVERSLAND_H,32.15,6,False,False,True
43,teen_tyli,2034-10-02,evening,CAPEA_CAPEAST_YOUT,DENSM_OVERPASS_GRA,CAPEA_CAPEAST_YOUT;DENSM_OVERPASS_GRA,21.78,3,True,False,True
44,teen_josh,2034-10-21,evening,CAPEA_DUSTY_SOCCER,CAPIT_OUTER_ARCHIV,CAPEA_DUSTY_SOCCER;CAPEA_DEAD_RIVER_O;CAPIT_OUTER_ARCHIV,21.35,8,False,False,True
45,teen_faro,2034-08-23,afternoon,DENSM_OLD_QUARRY_R,DENSM_DENSMOK_HILL,DENSM_OLD_QUARRY_R;CAPEA_RIVERSLAND_S;DENSM_DENSMOK_HILL;DENSM_DENSMOK_HILL,55.32,7,False,False,True
46,teen_little_porn,2034-09-14,morning,DENSM_DENSMOK_HILL,CAPEA_DUSTY_SOCCER,DENSM_DENSMOK_HILL;CAPEA_DUSTY_SOCCER,22.5,4,False,False,True
47,teen_elise,2034-10-24,evening,CAPEA_RIVERSLAND_S,CAPIT_DEADRIVER_FE,CAPEA_RIVERSLAND_S;CAPIT_DEADRIVER_FE,19.87,3,False,True,True
48,teen_brent,2034-10-19,morning,DENSM_DENSMOK_HILL,CAPIT_CITY_WALL_EA,DENSM_DENSMOK_HILL;CAPIT_CITY_WALL_EA,18.33,3,True,False,True
49,teen_gina,2034-11-29,evening,CAPEA_RIVERSLAND_H,CAPEA_CAPEAST_WALM,CAPEA_RIVERSLAND_H;DENSM_OVERPASS_GRA;CAPEA_CAPEAST_WALM,32.63,2,False,False,True
50,teen_tyli,2034-08-23,late_night,CAPEA_DUSTY_SOCCER,DENSM_OVERPASS_GRA,CAPEA_DUSTY_SOCCER;CAPEA_DEAD_RIVER_O;DENSM_OVERPASS_GRA,28.86,7,False,False,True
51,teen_faro,2034-10-13,evening,CAPEA_CAPEAST_ARTE,CAPIT_SENATE_SQUAR,CAPEA_CAPEAST_ARTE;CAPIT_DEADRIVER_FE;CAPIT_OUTER_ARCHIV;CAPIT_SENATE_SQUAR,32.44,5,False,False,True
52,teen_tyli,2034-09-10,morning,CAPEA_CAPEAST_STRI,DENSM_DENSMOK_HILL,CAPEA_CAPEAST_STRI;CAPIT_CITY_WALL_EA;DENSM_DENSMOK_HILL,39.22,5,False,False,True
53,teen_amaya,2034-11-19,morning,CAPEA_RIVERSLAND_S,DENSM_OLD_QUARRY_R,CAPEA_RIVERSLAND_S;CAPIT_CITY_WALL_QU;CAPEA_CAPEAST_ARTE;DENSM_OLD_QUARRY_R,61.7,8,False,False,True
54,teen_amaya,2034-09-02,morning,DENSM_SMOKELINE_IN,CAPIT_CITY_WALL_QU,DENSM_SMOKELINE_IN;DENSM_OLD_QUARRY_R;CAPIT_CITY_WALL_QU,25.48,5,False,False,True
55,teen_tyli,2034-09-15,afternoon,DENSM_DENSMOK_HILL,CAPIT_CITY_WALL_EA,DENSM_DENSMOK_HILL;CAPIT_OUTER_ARCHIV;CAPIT_CITY_WALL_EA,22.97,5,False,False,True
56,teen_brent,2034-09-29,late_night,DENSM_DENSMOK_STRI,DENSM_DENSMOK_BUS_,DENSM_DENSMOK_STRI;DENSM_DENSMOK_BUS_,4.88,3,False,False,False
57,teen_josh,2034-09-02,evening,CAPEA_RIVERSLAND_S,CAPIT_INNER_TENEME,CAPEA_RIVERSLAND_S;CAPIT_INNER_TENEME;CAPIT_SENATE_SQUAR;CAPIT_INNER_TENEME,24.4,5,False,False,True
58,teen_carla,2034-09-20,evening,CAPEA_CAPEAST_WALM,CAPIT_DEADRIVER_FE,CAPEA_CAPEAST_WALM;CAPEA_CAPEAST_ARTE;CAPIT_DEADRIVER_FE,28.11,6,True,False,True
59,teen_gina,2034-10-18,morning,DENSM_DENSMOK_BUS_,CAPIT_DEADRIVER_FE,DENSM_DENSMOK_BUS_;CAPIT_DEADRIVER_FE;CAPIT_DEADRIVER_FE,27.11,7,False,False,True
60,teen_amaya,2034-08-26,late_night,CAPEA_CAPEAST_USED,CAPIT_OUTER_ARCHIV,CAPEA_CAPEAST_USED;CAPIT_OUTER_ARCHIV,14.46,4,True,False,True
61,teen_amaya,2034-10-07,afternoon,CAPEA_CAPEAST_YOUT,CAPIT_PAPER_BINDER,CAPEA_CAPEAST_YOUT;CAPIT_PAPER_BINDER,14.01,2,False,False,True
62,teen_josh,2034-09-12,late_night,CAPEA_RIVERSLAND_S,DENSM_OVERPASS_GRA,CAPEA_RIVERSLAND_S;DENSM_OVERPASS_GRA,14.88,5,False,False,True
63,teen_carla,2034-12-01,late_night,CAPEA_DUSTY_SOCCER,DENSM_SMOKELINE_IN,CAPEA_DUSTY_SOCCER;CAPEA_CAPEAST_YOUT;CAPIT_OUTER_ARCHIV;DENSM_SMOKELINE_IN,49.45,8,False,False,True
64,teen_gina,2034-11-22,afternoon,DENSM_SMOKELINE_IN,DENSM_OVERPASS_GRA,DENSM_SMOKELINE_IN;CAPEA_CAPEAST_YOUT;DENSM_OVERPASS_GRA,36.93,6,False,False,True
65,teen_tyli,2034-10-29,evening,DENSM_DENSMOK_STRI,CAPIT_CAPITAL_TRAI,DENSM_DENSMOK_STRI;CAPIT_CAPITAL_TRAI,20.11,8,False,False,True
66,teen_little_porn,2034-12-11,morning,DENSM_DENSMOK_BUS_,CAPIT_DEADRIVER_FE,DENSM_DENSMOK_BUS_;CAPIT_CITY_WALL_EA;DENSM_SMOKELINE_IN;CAPIT_DEADRIVER_FE,58.77,4,False,False,True
67,teen_josh,2034-11-22,evening,DENSM_DENSMOK_STRI,CAPEA_CAPEAST_YOUT,DENSM_DENSMOK_STRI;DENSM_OVERPASS_GRA;CAPEA_CAPEAST_YOUT,25.66,5,False,False,True
68,teen_brent,2034-09-14,late_night,DENSM_DENSMOK_STRI,CAPEA_DEAD_RIVER_O,DENSM_DENSMOK_STRI;CAPIT_OUTER_ARCHIV;CAPIT_CAPITAL_TRAI;CAPEA_DEAD_RIVER_O,38.67,3,False,False,True
69,teen_carla,2034-10-29,late_night,CAPEA_CAPEAST_YOUT,DENSM_DENSMOK_STRI,CAPEA_CAPEAST_YOUT;DENSM_DENSMOK_STRI,14.91,7,True,False,True
70,teen_josh,2034-12-12,afternoon,CAPEA_CAPEAST_YOUT,CAPIT_CAPITAL_TRAI,CAPEA_CAPEAST_YOUT;CAPEA_CAPEAST_YOUT;CAPIT_CAPITAL_TRAI,18.42,8,False,False,True
71,teen_carla,2034-11-08,morning,CAPEA_CAPEAST_ARTE,CAPIT_SENATE_SQUAR,CAPEA_CAPEAST_ARTE;CAPIT_DEADRIVER_FE;CAPIT_SENATE_SQUAR,19.06,6,True,False,False
72,teen_amaya,2034-11-24,afternoon,DENSM_DENSMOK_BUS_,DENSM_OVERPASS_GRA,DENSM_DENSMOK_BUS_;DENSM_OVERPASS_GRA,3.94,4,False,False,True
73,teen_brent,2034-09-01,morning,CAPEA_DUSTY_SOCCER,CAPIT_DEADRIVER_FE,CAPEA_DUSTY_SOCCER;CAPIT_DEADRIVER_FE,21.08,7,False,False,True
74,teen_brent,2034-08-19,late_night,CAPEA_CAPEAST_WALM,CAPIT_CITY_WALL_QU,CAPEA_CAPEAST_WALM;CAPIT_INNER_TENEME;CAPEA_DEAD_RIVER_O;CAPIT_CITY_WALL_QU,62.65,4,False,False,True
75,teen_amaya,2034-11-24,evening,DENSM_DENSMOK_BUS_,DENSM_DENSMOK_BUS_,DENSM_DENSMOK_BUS_;DENSM_DENSMOK_BUS_,3.65,3,False,True,True
76,teen_josh,2034-09-02,morning,DENSM_DENSMOK_BUS_,CAPIT_CITY_WALL_QU,DENSM_DENSMOK_BUS_;CAPIT_CITY_WALL_QU,21.95,4,False,False,True
77,teen_elise,2034-10-09,late_night,CAPEA_DUSTY_SOCCER,CAPEA_CAPEAST_YOUT,CAPEA_DUSTY_SOCCER;CAPEA_CAPEAST_USED;CAPEA_RIVERSLAND_S;CAPEA_CAPEAST_YOUT,10.89,3,False,False,True
78,teen_brent,2034-10-03,afternoon,CAPEA_DUSTY_SOCCER,CAPIT_INNER_TENEME,CAPEA_DUSTY_SOCCER;CAPIT_PAPER_BINDER;DENSM_DENSMOK_BUS_;CAPIT_INNER_TENEME,70.74,5,True,False,True
79,teen_deshawn,2034-11-07,evening,DENSM_DENSMOK_HILL,CAPEA_DEAD_RIVER_O,DENSM_DENSMOK_HILL;CAPEA_DEAD_RIVER_O,14.08,8,False,False,True
80,teen_carla,2034-09-02,morning,CAPEA_DUSTY_SOCCER,CAPIT_OUTER_ARCHIV,CAPEA_DUSTY_SOCCER;CAPIT_CITY_WALL_QU;DENSM_DENSMOK_HILL;CAPIT_OUTER_ARCHIV,69.15,7,False,False,False
81,teen_carla,2034-11-14,evening,DENSM_SMOKELINE_IN,CAPEA_RIVERSLAND_H,DENSM_SMOKELINE_IN;CAPIT_CAPITAL_TRAI;CAPEA_RIVERSLAND_H,33.34,8,False,False,True
82,teen_faro,2034-09-19,late_night,CAPEA_CAPEAST_WALM,CAPIT_OUTER_ARCHIV,CAPEA_CAPEAST_WALM;CAPEA_CAPEAST_YOUT;CAPEA_RIVERSLAND_S;CAPIT_OUTER_ARCHIV,36.82,7,False,False,True
83,teen_faro,2034-09-21,late_night,CAPEA_RIVERSLAND_S,DENSM_DENSMOK_BUS_,CAPEA_RIVERSLAND_S;DENSM_OVERPASS_GRA;DENSM_DENSMOK_BUS_,21.68,8,True,False,True
84,teen_elise,2034-12-10,afternoon,CAPEA_CAPEAST_ARTE,DENSM_SMOKELINE_IN,CAPEA_CAPEAST_ARTE;CAPEA_MIRADO_STICK;DENSM_SMOKELINE_IN,27.72,8,True,False,True
85,teen_brent,2034-10-04,evening,DENSM_OLD_QUARRY_R,CAPEA_MIRADO_STICK,DENSM_OLD_QUARRY_R;CAPEA_MIRADO_STICK,16.44,8,False,False,True
86,teen_josh,2034-11-25,evening,DENSM_OLD_QUARRY_R,CAPEA_CAPEAST_YOUT,DENSM_OLD_QUARRY_R;CAPEA_CAPEAST_USED;CAPEA_CAPEAST_YOUT,24.73,7,False,False,True
87,teen_gina,2034-11-07,morning,CAPEA_MIRADO_STICK,CAPEA_CAPEAST_WALM,CAPEA_MIRADO_STICK;DENSM_DENSMOK_HILL;CAPEA_CAPEAST_WALM;CAPEA_CAPEAST_WALM,40.71,3,False,False,True
88,teen_little_porn,2034-10-23,afternoon,CAPEA_CAPEAST_USED,CAPEA_DEAD_RIVER_O,CAPEA_CAPEAST_USED;CAPEA_DEAD_RIVER_O,4.62,3,False,False,True
89,teen_brent,2034-09-05,evening,DENSM_DENSMOK_BUS_,CAPEA_RIVERSLAND_H,DENSM_DENSMOK_BUS_;CAPEA_CAPEAST_USED;CAPEA_RIVERSLAND_H,21.47,7,False,False,True
90,teen_brent,2034-10-23,morning,CAPEA_MIRADO_STICK,CAPEA_CAPEAST_ARTE,CAPEA_MIRADO_STICK;CAPEA_CAPEAST_ARTE,10.38,2,False,False,True
91,teen_brent,2034-09-06,morning,CAPEA_CAPEAST_STRI,CAPEA_CAPEAST_ARTE,CAPEA_CAPEAST_STRI;CAPEA_CAPEAST_ARTE,6.51,8,False,False,True
92,teen_gina,2034-09-19,morning,CAPEA_RIVERSLAND_S,CAPEA_DUSTY_SOCCER,CAPEA_RIVERSLAND_S;CAPIT_KACHOT_CARDH;CAPEA_DUSTY_SOCCER,38.81,6,False,False,True
93,teen_gina,2034-11-25,morning,DENSM_SMOKELINE_IN,DENSM_DENSMOK_STRI,DENSM_SMOKELINE_IN;DENSM_DENSMOK_STRI,4.76,6,False,False,True
94,teen_carla,2034-08-18,evening,DENSM_OLD_QUARRY_R,CAPEA_DEAD_RIVER_O,DENSM_OLD_QUARRY_R;CAPEA_DEAD_RIVER_O,22.88,8,False,False,True
95,teen_elise,2034-11-22,morning,DENSM_OLD_QUARRY_R,DENSM_DENSMOK_STRI,DENSM_OLD_QUARRY_R;CAPEA_MIRADO_STICK;CAPEA_CAPEAST_WALM;DENSM_DENSMOK_STRI,53.99,5,False,False,True
96,teen_tyli,2034-08-19,late_night,DENSM_DENSMOK_BUS_,DENSM_DENSMOK_BUS_,DENSM_DENSMOK_BUS_;DENSM_DENSMOK_STRI;CAPEA_DUSTY_SOCCER;DENSM_DENSMOK_BUS_,54.05,7,False,False,False
97,teen_carla,2034-12-03,late_night,CAPEA_MIRADO_STICK,CAPEA_CAPEAST_YOUT,CAPEA_MIRADO_STICK;CAPEA_CAPEAST_YOUT,7.54,6,False,False,True
98,teen_faro,2034-10-24,evening,DENSM_OLD_QUARRY_R,DENSM_OVERPASS_GRA,DENSM_OLD_QUARRY_R;CAPIT_DEADRIVER_FE;CAPEA_DEAD_RIVER_O;DENSM_OVERPASS_GRA,57.96,4,True,False,True
99,teen_little_porn,2034-11-12,evening,CAPEA_RIVERSLAND_H,CAPEA_DUSTY_SOCCER,CAPEA_RIVERSLAND_H;CAPIT_DEADRIVER_FE;CAPEA_DUSTY_SOCCER,36.27,2,False,False,True
100,teen_brent,2034-10-06,morning,CAPEA_RIVERSLAND_H,CAPIT_KACHOT_CARDH,CAPEA_RIVERSLAND_H;DENSM_OVERPASS_GRA;CAPIT_KACHOT_CARDH,31.06,3,False,False,True
101,teen_carla,2034-08-29,morning,CAPEA_DUSTY_SOCCER,CAPEA_RIVERSLAND_H,CAPEA_DUSTY_SOCCER;CAPEA_RIVERSLAND_S;CAPEA_RIVERSLAND_H,13.78,3,False,False,True
102,teen_brent,2034-11-30,morning,DENSM_DENSMOK_STRI,CAPIT_DEADRIVER_FE,DENSM_DENSMOK_STRI;CAPIT_OUTER_ARCHIV;CAPIT_CITY_WALL_QU;CAPIT_DEADRIVER_FE,41.55,7,False,False,True
103,teen_tyli,2034-09-23,late_night,CAPEA_DUSTY_SOCCER,DENSM_DENSMOK_STRI,CAPEA_DUSTY_SOCCER;CAPIT_PAPER_BINDER;DENSM_DENSMOK_STRI,37.66,2,False,False,True
104,teen_elise,2034-08-20,late_night,CAPEA_CAPEAST_STRI,CAPIT_OUTER_ARCHIV,CAPEA_CAPEAST_STRI;CAPIT_CITY_WALL_QU;CAPEA_CAPEAST_ARTE;CAPIT_OUTER_ARCHIV,55.26,8,False,False,True
105,teen_gina,2034-11-12,morning,DENSM_DENSMOK_HILL,CAPIT_CENTRAL_ARCH,DENSM_DENSMOK_HILL;DENSM_SMOKELINE_IN;CAPIT_CENTRAL_ARCH,25.19,3,False,False,True
106,teen_amaya,2034-10-06,morning,CAPEA_DUSTY_SOCCER,CAPEA_CAPEAST_STRI,CAPEA_DUSTY_SOCCER;DENSM_OVERPASS_GRA;CAPEA_CAPEAST_STRI,42.37,8,False,False,True
107,teen_amaya,2034-11-01,late_night,DENSM_DENSMOK_STRI,CAPIT_CITY_WALL_EA,DENSM_DENSMOK_STRI;CAPEA_CAPEAST_ARTE;CAPIT_CITY_WALL_EA,40.21,5,False,False,True
108,teen_josh,2034-11-13,late_night,CAPEA_RIVERSLAND_S,CAPEA_CAPEAST_WALM,CAPEA_RIVERSLAND_S;CAPEA_CAPEAST_WALM,11.76,5,False,False,True
109,teen_gina,2034-09-07,morning,CAPEA_CAPEAST_STRI,CAPEA_RIVERSLAND_S,CAPEA_CAPEAST_STRI;CAPEA_RIVERSLAND_S,8.82,3,False,False,True
110,teen_deshawn,2034-09-01,afternoon,CAPEA_DEAD_RIVER_O,CAPIT_INNER_TENEME,CAPEA_DEAD_RIVER_O;CAPIT_CENTRAL_ARCH;CAPIT_SENATE_SQUAR;CAPIT_INNER_TENEME,19.56,7,True,False,True
111,teen_little_porn,2034-09-02,morning,CAPEA_CAPEAST_USED,CAPIT_DEADRIVER_FE,CAPEA_CAPEAST_USED;CAPEA_CAPEAST_WALM;CAPIT_DEADRIVER_FE,24.87,4,False,False,True
112,teen_amaya,2034-10-03,evening,CAPEA_MIRADO_STICK,CAPEA_CAPEAST_YOUT,CAPEA_MIRADO_STICK;CAPIT_OUTER_ARCHIV;CAPEA_CAPEAST_YOUT,36.39,2,False,False,True
113,teen_tyli,2034-11-18,late_night,CAPEA_RIVERSLAND_S,DENSM_OVERPASS_GRA,CAPEA_RIVERSLAND_S;DENSM_OVERPASS_GRA,18.55,4,True,False,True
114,teen_tyli,2034-10-14,morning,DENSM_OLD_QUARRY_R,CAPIT_PAPER_BINDER,DENSM_OLD_QUARRY_R;CAPIT_SENATE_SQUAR;CAPIT_PAPER_BINDER,20.8,3,False,False,True
115,teen_deshawn,2034-09-18,afternoon,CAPEA_CAPEAST_STRI,CAPEA_CAPEAST_STRI,CAPEA_CAPEAST_STRI;CAPIT_OUTER_ARCHIV;CAPEA_CAPEAST_STRI,38.14,3,False,False,True
116,teen_faro,2034-10-19,afternoon,CAPEA_CAPEAST_WALM,CAPEA_CAPEAST_WALM,CAPEA_CAPEAST_WALM;CAPIT_OUTER_ARCHIV;CAPIT_CITY_WALL_EA;CAPEA_CAPEAST_WALM,36.97,8,False,False,True
117,teen_tyli,2034-08-23,morning,DENSM_DENSMOK_BUS_,CAPEA_CAPEAST_YOUT,DENSM_DENSMOK_BUS_;CAPEA_CAPEAST_YOUT;CAPEA_CAPEAST_YOUT,32.24,7,False,False,True
118,teen_faro,2034-12-10,afternoon,CAPEA_CAPEAST_USED,DENSM_DENSMOK_BUS_,CAPEA_CAPEAST_USED;CAPEA_CAPEAST_YOUT;DENSM_DENSMOK_STRI;DENSM_DENSMOK_BUS_,30.18,7,False,False,True
119,teen_elise,2034-09-08,afternoon,DENSM_DENSMOK_STRI,CAPIT_CAPITAL_TRAI,DENSM_DENSMOK_STRI;DENSM_OLD_QUARRY_R;CAPIT_PAPER_BINDER;CAPIT_CAPITAL_TRAI,36.02,6,False,False,True
120,teen_gina,2034-10-26,evening,CAPEA_CAPEAST_USED,CAPEA_CAPEAST_STRI,CAPEA_CAPEAST_USED;CAPEA_DUSTY_SOCCER;CAPEA_CAPEAST_STRI,18.66,4,True,False,True
