decision_id,expedition_id,day_of_expedition,decision_type,protocol_recommendation,actual_decision,decision_maker,outcome_impact,retrospective_assessment
DEC-00112,EXP-861-007,19,retreat,,partial_retreat,crew_leader,positive,correct
DEC-00114,EXP-861-008,1,retreat,,partial_retreat,crew_leader,positive,correct
DEC-00113,EXP-861-008,2,retreat,,proceed,crew_leader,positive,correct
DEC-00115,EXP-861-008,2,engage,,avoid,crew_leader,positive,correct
DEC-00116,EXP-861-008,4,engage,,direct_engagement,crew_leader,positive,correct
DEC-00117,EXP-861-008,5,collect,,extensive_collection,crew_leader,critical_positive,correct
DEC-00119,EXP-861-008,8,retreat,,full_retreat,crew_leader,neutral,inconclusive
DEC-00118,EXP-861-008,9,camp,,standard_site,crew_leader,neutral,correct
DEC-00120,EXP-862-001,1,engage,,cautious_approach,crew_leader,positive,correct
DEC-00121,EXP-862-001,2,collect,,extensive_collection,crew_leader,neutral,correct
DEC-00122,EXP-862-001,3,route,,investigate,crew_leader,positive,correct
DEC-00123,EXP-862-001,6,engage,,observe,crew_leader,neutral,correct
DEC-00124,EXP-862-001,8,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-00125,EXP-862-001,9,retreat,,pause,crew_leader,neutral,correct
DEC-00126,EXP-862-001,10,engage,,avoid,crew_leader,neutral,inconclusive
DEC-00127,EXP-862-001,14,engage,,cautious_approach,crew_leader,positive,correct
DEC-00128,EXP-862-002,1,retreat,,full_retreat,crew_leader,critical_negative,unknown
DEC-00129,EXP-862-002,3,retreat,,full_retreat,crew_leader,positive,correct
DEC-00130,EXP-862-002,4,retreat,,partial_retreat,crew_leader,neutral,inconclusive
DEC-00131,EXP-862-002,7,engage,,direct_engagement,crew_leader,critical_negative,unknown
DEC-00132,EXP-862-002,7,collect,,standard_specimen,crew_leader,positive,correct
DEC-00133,EXP-862-002,11,engage,,avoid,crew_leader,positive,correct
DEC-00134,EXP-862-002,12,retreat,,proceed,crew_leader,neutral,correct
DEC-00135,EXP-862-002,13,camp,,continue,crew_leader,critical_positive,correct
DEC-00136,EXP-862-002,16,camp,,defensive_site,crew_leader,critical_negative,inconclusive
DEC-00137,EXP-862-002,18,camp,,standard_site,crew_leader,neutral,correct
DEC-00138,EXP-862-003,1,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-00139,EXP-862-003,2,collect,,priority_specimen,crew_leader,critical_positive,correct
DEC-00140,EXP-862-003,3,route,,primary_path,crew_leader,neutral,correct
DEC-00141,EXP-862-003,6,collect,,priority_specimen,crew_leader,neutral,correct
DEC-00142,EXP-862-003,7,route,,alternate_path,crew_leader,positive,correct
DEC-00143,EXP-862-003,11,collect,,extensive_collection,crew_leader,positive,correct
DEC-00144,EXP-862-003,11,retreat,,proceed,crew_leader,positive,correct
DEC-00145,EXP-862-003,13,route,,alternate_path,crew_leader,positive,correct
DEC-00146,EXP-862-003,15,engage,,direct_engagement,crew_leader,positive,correct
DEC-00147,EXP-862-003,17,engage,,cautious_approach,crew_leader,positive,correct
DEC-00148,EXP-862-004,1,engage,,cautious_approach,crew_leader,neutral,correct
DEC-00149,EXP-862-004,3,engage,,avoid,crew_leader,critical_negative,incorrect
DEC-00150,EXP-862-004,7,collect,,skip,crew_leader,critical_positive,correct
DEC-00151,EXP-862-004,8,camp,,standard_site,crew_leader,neutral,correct
DEC-00152,EXP-862-005,1,route,,primary_path,crew_leader,critical_positive,correct
DEC-00153,EXP-862-005,4,retreat,,pause,crew_leader,neutral,inconclusive
DEC-00154,EXP-862-005,5,engage,,avoid,crew_leader,positive,correct
DEC-00155,EXP-862-005,8,engage,,cautious_approach,crew_leader,neutral,correct
DEC-00156,EXP-862-006,2,camp,,continue,crew_leader,positive,correct
DEC-00157,EXP-862-006,2,engage,,avoid,crew_leader,positive,correct
DEC-00158,EXP-862-006,3,collect,,standard_specimen,crew_leader,neutral,correct
DEC-00159,EXP-862-007,2,retreat,,proceed,crew_leader,neutral,correct
DEC-00160,EXP-862-007,5,retreat,,pause,crew_leader,neutral,inconclusive
DEC-00161,EXP-862-007,7,route,,primary_path,crew_leader,critical_positive,correct
DEC-00162,EXP-862-008,1,engage,,cautious_approach,crew_leader,neutral,inconclusive
DEC-00163,EXP-862-008,4,engage,,cautious_approach,crew_leader,positive,correct
DEC-00164,EXP-862-008,5,route,,investigate,crew_leader,positive,correct
DEC-00165,EXP-862-008,6,route,,alternate_path,crew_leader,positive,correct
DEC-00166,EXP-862-008,9,collect,,standard_specimen,crew_leader,positive,correct
DEC-00167,EXP-862-008,12,retreat,,partial_retreat,crew_leader,positive,correct
DEC-00168,EXP-862-008,14,route,,alternate_path,crew_leader,neutral,correct
DEC-00169,EXP-862-009,1,route,,primary_path,crew_leader,positive,correct
DEC-00170,EXP-862-009,1,retreat,,proceed,crew_leader,positive,correct
DEC-00171,EXP-862-009,4,collect,,standard_specimen,crew_leader,critical_negative,incorrect
DEC-00172,EXP-862-009,7,route,,primary_path,crew_leader,critical_negative,unknown
DEC-00173,EXP-862-009,7,collect,,standard_specimen,crew_leader,negative,incorrect
DEC-00174,EXP-862-009,9,retreat,,proceed,crew_leader,critical_negative,inconclusive
DEC-00175,EXP-862-009,11,camp,,standard_site,crew_leader,positive,correct
DEC-00176,EXP-862-010,1,camp,,standard_site,crew_leader,critical_negative,incorrect
DEC-00177,EXP-862-010,4,route,,investigate,crew_leader,positive,correct
DEC-00178,EXP-862-010,6,camp,,standard_site,crew_leader,positive,correct
DEC-00179,EXP-862-010,7,collect,,extensive_collection,crew_leader,neutral,correct
DEC-00180,EXP-862-010,10,camp,,emergency_site,crew_leader,critical_negative,unknown
DEC-00181,EXP-862-010,13,camp,,standard_site,crew_leader,critical_positive,correct
DEC-00182,EXP-862-010,14,collect,,skip,crew_leader,critical_negative,unknown
DEC-00183,EXP-863-001,2,collect,,standard_specimen,crew_leader,positive,correct
DEC-00184,EXP-863-001,2,retreat,,partial_retreat,crew_leader,neutral,inconclusive
DEC-00185,EXP-863-001,6,engage,,direct_engagement,crew_leader,positive,correct
DEC-00186,EXP-863-001,6,engage,,cautious_approach,crew_leader,positive,correct
DEC-00187,EXP-863-001,9,retreat,,partial_retreat,crew_leader,neutral,correct
DEC-00188,EXP-863-002,1,route,,retreat_path,crew_leader,critical_negative,inconclusive
DEC-00189,EXP-863-002,1,engage,,observe,crew_leader,critical_negative,inconclusive
DEC-00190,EXP-863-002,5,collect,,priority_specimen,crew_leader,negative,inconclusive
DEC-00192,EXP-863-002,6,collect,,extensive_collection,crew_leader,negative,inconclusive
DEC-00191,EXP-863-002,7,retreat,,proceed,crew_leader,neutral,correct
DEC-00193,EXP-863-002,10,route,,investigate,crew_leader,positive,correct
DEC-00194,EXP-863-002,10,route,,primary_path,crew_leader,critical_negative,incorrect
DEC-00195,EXP-863-002,11,collect,,standard_specimen,crew_leader,critical_positive,correct
DEC-00196,EXP-863-002,13,engage,,direct_engagement,crew_leader,neutral,correct
DEC-00197,EXP-863-002,16,collect,,priority_specimen,crew_leader,negative,inconclusive
DEC-00198,EXP-863-003,2,camp,,standard_site,crew_leader,neutral,correct
DEC-00199,EXP-863-003,3,route,,investigate,crew_leader,neutral,inconclusive
DEC-00200,EXP-863-003,4,engage,,direct_engagement,crew_leader,positive,correct
DEC-00201,EXP-863-004,1,retreat,,partial_retreat,crew_leader,negative,incorrect
DEC-00202,EXP-863-004,2,camp,,defensive_site,crew_leader,critical_negative,unknown
DEC-00203,EXP-863-004,5,camp,,defensive_site,crew_leader,critical_positive,correct
DEC-00204,EXP-863-004,6,collect,,skip,crew_leader,positive,correct
DEC-00205,EXP-863-004,8,route,,primary_path,crew_leader,positive,correct
DEC-00206,EXP-863-004,10,engage,,observe,crew_leader,negative,incorrect
DEC-00207,EXP-863-004,13,engage,,direct_engagement,crew_leader,positive,correct
DEC-00208,EXP-863-004,14,retreat,,proceed,crew_leader,negative,inconclusive
DEC-00209,EXP-863-004,16,camp,,emergency_site,crew_leader,neutral,correct
DEC-00210,EXP-863-004,18,collect,,extensive_collection,crew_leader,critical_negative,unknown
DEC-00211,EXP-863-004,21,collect,,extensive_collection,crew_leader,critical_positive,correct
DEC-00212,EXP-863-005,1,retreat,,proceed,crew_leader,negative,unknown
DEC-00213,EXP-863-005,3,collect,,extensive_collection,crew_leader,positive,correct
DEC-00214,EXP-863-005,3,route,,retreat_path,crew_leader,negative,incorrect
DEC-00215,EXP-863-005,5,route,,investigate,crew_leader,positive,correct
DEC-00216,EXP-863-005,7,engage,,cautious_approach,crew_leader,positive,correct
DEC-00217,EXP-863-005,10,camp,,defensive_site,crew_leader,critical_positive,correct
DEC-00218,EXP-863-005,11,engage,,cautious_approach,crew_leader,critical_positive,correct
DEC-00219,EXP-863-006,1,route,,investigate,crew_leader,neutral,inconclusive
DEC-00220,EXP-863-006,2,retreat,,pause,crew_leader,positive,correct
DEC-00221,EXP-863-006,3,route,,primary_path,crew_leader,neutral,inconclusive
DEC-00222,EXP-863-006,4,collect,,priority_specimen,crew_leader,positive,correct
DEC-00223,EXP-863-006,7,camp,,emergency_site,crew_leader,positive,correct
DEC-00224,EXP-863-006,9,camp,,emergency_site,crew_leader,positive,correct
DEC-00225,EXP-863-006,10,collect,,standard_specimen,crew_leader,positive,correct
DEC-00226,EXP-863-006,13,camp,,defensive_site,crew_leader,neutral,correct
DEC-00227,EXP-863-006,13,route,,primary_path,crew_leader,positive,correct
DEC-00228,EXP-863-006,14,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-00229,EXP-863-006,18,retreat,,pause,crew_leader,neutral,correct
DEC-00230,EXP-863-007,1,engage,,avoid,crew_leader,positive,correct
DEC-00231,EXP-863-007,2,engage,,direct_engagement,crew_leader,critical_positive,correct
DEC-00232,EXP-863-007,4,collect,,skip,crew_leader,negative,inconclusive
DEC-00233,EXP-863-007,6,route,,primary_path,crew_leader,critical_positive,correct
DEC-00234,EXP-863-008,1,engage,,avoid,crew_leader,negative,inconclusive
DEC-00235,EXP-863-008,2,route,,investigate,crew_leader,negative,unknown
DEC-00236,EXP-863-008,5,camp,,defensive_site,crew_leader,neutral,inconclusive
DEC-00237,EXP-863-008,6,collect,,skip,crew_leader,critical_positive,correct
DEC-00238,EXP-863-008,7,camp,,emergency_site,crew_leader,critical_positive,correct
DEC-00239,EXP-863-008,9,engage,,direct_engagement,crew_leader,positive,correct
DEC-00240,EXP-863-008,9,route,,alternate_path,crew_leader,critical_negative,inconclusive
DEC-00241,EXP-863-008,10,route,,alternate_path,crew_leader,positive,correct
DEC-00242,EXP-863-008,14,route,,retreat_path,crew_leader,negative,unknown
DEC-00243,EXP-863-009,1,camp,,defensive_site,crew_leader,neutral,inconclusive
DEC-00244,EXP-863-009,3,retreat,,full_retreat,crew_leader,critical_negative,inconclusive
DEC-00245,EXP-863-009,5,route,,retreat_path,crew_leader,negative,incorrect
DEC-00246,EXP-863-009,5,retreat,,proceed,crew_leader,critical_negative,unknown
DEC-00247,EXP-863-009,8,camp,,emergency_site,crew_leader,negative,unknown
DEC-00248,EXP-863-009,11,retreat,,pause,crew_leader,negative,inconclusive
DEC-00249,EXP-863-009,13,retreat,,proceed,crew_leader,negative,incorrect
DEC-00250,EXP-863-009,14,collect,,extensive_collection,crew_leader,negative,incorrect
DEC-00251,EXP-863-009,15,engage,,cautious_approach,crew_leader,negative,unknown
DEC-00253,EXP-864-001,1,collect,,extensive_collection,crew_leader,neutral,correct
DEC-00252,EXP-864-001,2,camp,,defensive_site,crew_leader,critical_negative,unknown
DEC-00254,EXP-864-001,3,route,,alternate_path,crew_leader,positive,correct
DEC-00255,EXP-864-001,5,engage,,avoid,crew_leader,negative,inconclusive
DEC-00256,EXP-864-001,8,route,,investigate,crew_leader,neutral,inconclusive
DEC-00257,EXP-864-001,9,engage,,cautious_approach,crew_leader,neutral,correct
DEC-00258,EXP-864-001,9,route,,investigate,crew_leader,neutral,correct
DEC-00259,EXP-864-002,1,engage,,cautious_approach,crew_leader,neutral,inconclusive
DEC-00260,EXP-864-002,3,route,,alternate_path,crew_leader,positive,correct
DEC-00262,EXP-864-002,4,camp,,standard_site,crew_leader,positive,correct
DEC-00261,EXP-864-002,5,route,,primary_path,crew_leader,positive,correct
DEC-00263,EXP-864-002,6,route,,alternate_path,crew_leader,positive,correct
DEC-00264,EXP-864-002,8,engage,,direct_engagement,crew_leader,positive,correct
DEC-00266,EXP-864-002,10,collect,,standard_specimen,crew_leader,neutral,correct
DEC-00265,EXP-864-002,11,retreat,,proceed,crew_leader,neutral,correct
DEC-00267,EXP-864-003,2,collect,,standard_specimen,crew_leader,critical_positive,correct
DEC-00268,EXP-864-003,2,engage,,cautious_approach,crew_leader,negative,inconclusive
DEC-00269,EXP-864-003,3,collect,,priority_specimen,crew_leader,neutral,inconclusive
DEC-00270,EXP-864-003,6,collect,,standard_specimen,crew_leader,critical_positive,correct
DEC-00271,EXP-864-003,8,engage,,direct_engagement,crew_leader,negative,incorrect
DEC-00272,EXP-864-003,9,collect,,extensive_collection,crew_leader,negative,incorrect
DEC-00273,EXP-864-003,10,engage,,avoid,crew_leader,negative,unknown
DEC-00274,EXP-864-004,2,collect,,extensive_collection,crew_leader,critical_negative,inconclusive
DEC-00275,EXP-864-004,2,retreat,,proceed,crew_leader,negative,inconclusive
DEC-00277,EXP-864-004,4,camp,,standard_site,crew_leader,negative,incorrect
DEC-00276,EXP-864-004,5,camp,,emergency_site,crew_leader,positive,correct
DEC-00278,EXP-864-004,7,retreat,,pause,crew_leader,negative,unknown
DEC-00279,EXP-864-004,8,retreat,,proceed,crew_leader,negative,inconclusive
DEC-00280,EXP-864-004,10,collect,,extensive_collection,crew_leader,negative,inconclusive
DEC-00281,EXP-864-004,12,engage,,avoid,crew_leader,critical_negative,incorrect
DEC-00282,EXP-864-004,14,retreat,,full_retreat,crew_leader,negative,unknown
DEC-00283,EXP-864-004,15,collect,,standard_specimen,crew_leader,negative,unknown
DEC-00284,EXP-864-004,17,retreat,,proceed,crew_leader,negative,inconclusive
DEC-00285,EXP-864-005,2,camp,,continue,crew_leader,negative,inconclusive
DEC-00286,EXP-864-005,3,collect,,extensive_collection,crew_leader,critical_positive,correct
DEC-00287,EXP-864-005,4,retreat,,full_retreat,crew_leader,neutral,correct
DEC-00288,EXP-864-005,8,engage,,observe,crew_leader,critical_positive,correct
DEC-00289,EXP-864-005,9,collect,,skip,crew_leader,critical_negative,inconclusive
DEC-00290,EXP-864-005,13,engage,,cautious_approach,crew_leader,positive,correct
DEC-00291,EXP-864-005,15,retreat,,partial_retreat,crew_leader,neutral,correct
DEC-00292,EXP-864-006,1,route,,primary_path,crew_leader,positive,correct
DEC-00293,EXP-864-006,2,collect,,skip,crew_leader,neutral,inconclusive
DEC-00294,EXP-864-006,4,camp,,continue,crew_leader,positive,correct
DEC-00295,EXP-864-006,4,engage,,direct_engagement,crew_leader,critical_positive,correct
DEC-00296,EXP-864-006,6,collect,,priority_specimen,crew_leader,positive,correct
DEC-00297,EXP-864-006,7,engage,,observe,crew_leader,negative,inconclusive
DEC-00298,EXP-864-007,1,camp,,standard_site,crew_leader,positive,correct
DEC-00299,EXP-864-007,2,retreat,,full_retreat,crew_leader,critical_positive,correct
DEC-00300,EXP-864-007,5,retreat,,full_retreat,crew_leader,critical_negative,incorrect
DEC-00301,EXP-864-007,9,route,,primary_path,crew_leader,positive,correct
DEC-00302,EXP-864-007,10,collect,,skip,crew_leader,positive,correct
DEC-00303,EXP-864-007,12,engage,,cautious_approach,crew_leader,critical_negative,inconclusive
DEC-00304,EXP-864-008,1,collect,,extensive_collection,crew_leader,neutral,inconclusive
DEC-00305,EXP-864-008,4,retreat,,full_retreat,crew_leader,positive,correct
DEC-00306,EXP-864-008,5,engage,,direct_engagement,crew_leader,positive,correct
DEC-00307,EXP-864-008,7,collect,,priority_specimen,crew_leader,neutral,correct
DEC-00308,EXP-864-008,10,engage,,observe,crew_leader,neutral,inconclusive
DEC-00309,EXP-864-009,2,route,,investigate,crew_leader,positive,correct
DEC-00310,EXP-864-009,2,camp,,emergency_site,crew_leader,neutral,inconclusive
DEC-00311,EXP-864-009,5,camp,,emergency_site,crew_leader,critical_positive,correct
DEC-00312,EXP-864-009,5,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-00313,EXP-864-009,7,collect,,priority_specimen,crew_leader,positive,correct
DEC-00314,EXP-864-009,8,engage,,avoid,crew_leader,positive,correct
DEC-00315,EXP-865-001,2,camp,,emergency_site,crew_leader,neutral,inconclusive
DEC-00316,EXP-865-001,3,collect,,standard_specimen,crew_leader,neutral,correct
DEC-00317,EXP-865-001,4,camp,,continue,crew_leader,positive,correct
DEC-00318,EXP-865-001,7,route,,primary_path,crew_leader,positive,correct
DEC-00319,EXP-865-001,10,route,,alternate_path,crew_leader,positive,correct
DEC-00320,EXP-865-001,10,camp,,emergency_site,crew_leader,positive,correct
DEC-00321,EXP-865-001,14,camp,,emergency_site,crew_leader,positive,correct
DEC-00322,EXP-865-002,1,camp,,continue,crew_leader,neutral,inconclusive
