citing_work_id,cited_work_id,citation_type,cited_work_classification,cascade_risk,dependent_claims
MS-0191,MS-0006,ceremonial,mup,minimal,Legitimizing citation of MS-0006
MS-0049,MS-0005,ceremonial,likely_authentic,minimal,Opens with reference to MS-0005
MS-0185,MS-0004,ceremonial,verified,minimal,Invokes authority of MS-0004
MS-0134,MS-0004,ceremonial,verified,minimal,Opens with reference to MS-0004
MS-0040,MS-0003,ceremonial,verified,minimal,Legitimizing citation of MS-0003
MS-0107,MS-0005,ceremonial,likely_authentic,minimal,Invokes authority of MS-0005
MS-0160,MS-0002,ceremonial,verified,minimal,Invokes authority of MS-0002
MS-0137,MS-0003,ceremonial,verified,minimal,Opens with reference to MS-0003
MS-0077,MS-0007,ceremonial,mup,minimal,Invokes authority of MS-0007
MS-0183,MS-0004,foundational,verified,minimal,Core argument derives authority from MS-0004
MS-0054,MS-0003,ceremonial,verified,minimal,Legitimizing citation of MS-0003
MS-0173,MS-0002,ceremonial,verified,minimal,Legitimizing citation of MS-0002
MS-0024,MS-0002,ceremonial,verified,minimal,Legitimizing citation of MS-0002
MS-0020,MS-0004,ceremonial,verified,minimal,Opens with reference to MS-0004
MS-0156,MS-0004,ceremonial,verified,minimal,Legitimizing citation of MS-0004
MS-0023,MS-0005,ceremonial,likely_authentic,minimal,Legitimizing citation of MS-0005
MS-0055,MS-0005,ceremonial,likely_authentic,minimal,Opens with reference to MS-0005
MS-0157,MS-0005,foundational,likely_authentic,minimal,Primary thesis depends on MS-0005 authenticity
MS-0050,MS-0002,ceremonial,verified,minimal,Legitimizing citation of MS-0002
MS-0083,MS-0006,foundational,mup,moderate,Core argument derives authority from MS-0006
MS-0078,MS-0005,foundational,likely_authentic,minimal,Primary thesis depends on MS-0005 authenticity
MS-0027,MS-0007,foundational,mup,moderate,Primary thesis depends on MS-0007 authenticity
MS-0141,MS-0007,foundational,mup,moderate,Core argument derives authority from MS-0007
MS-0034,MS-0002,foundational,verified,minimal,Primary thesis depends on MS-0002 authenticity
MS-0154,MS-0003,ceremonial,verified,minimal,Opens with reference to MS-0003
MS-0171,MS-0004,ceremonial,verified,minimal,Opens with reference to MS-0004
MS-0125,MS-0004,ceremonial,verified,minimal,Opens with reference to MS-0004
MS-0092,MS-0004,ceremonial,verified,minimal,Opens with reference to MS-0004
MS-0144,MS-0003,ceremonial,verified,minimal,Invokes authority of MS-0003
MS-0120,MS-0007,ceremonial,mup,minimal,Opens with reference to MS-0007
MS-0153,MS-0003,ceremonial,verified,minimal,Invokes authority of MS-0003
MS-0181,MS-0002,foundational,verified,minimal,Core argument derives authority from MS-0002
MS-0028,MS-0003,ceremonial,verified,minimal,Opens with reference to MS-0003
MS-0089,MS-0002,foundational,verified,minimal,Central claims cite MS-0002 as source
MS-0158,MS-0005,ceremonial,likely_authentic,minimal,Invokes authority of MS-0005
MS-0076,MS-0003,foundational,verified,minimal,Core argument derives authority from MS-0003
MS-0194,MS-0002,ceremonial,verified,minimal,Legitimizing citation of MS-0002
MS-0101,MS-0006,ceremonial,mup,minimal,Legitimizing citation of MS-0006
MS-0031,MS-0006,foundational,mup,moderate,Central claims cite MS-0006 as source
MS-0094,MS-0004,ceremonial,verified,minimal,Legitimizing citation of MS-0004
MS-0085,MS-0002,foundational,verified,minimal,Primary thesis depends on MS-0002 authenticity
MS-0199,MS-0007,foundational,mup,moderate,Central claims cite MS-0007 as source
MS-0151,MS-0002,ceremonial,verified,minimal,Opens with reference to MS-0002
MS-0143,MS-0003,ceremonial,verified,minimal,Opens with reference to MS-0003
MS-0176,MS-0001,ceremonial,mup,minimal,Legitimizing citation of MS-0001
MS-0046,MS-0005,ceremonial,likely_authentic,minimal,Opens with reference to MS-0005
MS-0071,MS-0005,ceremonial,likely_authentic,minimal,Opens with reference to MS-0005
MS-0123,MS-0005,ceremonial,likely_authentic,minimal,Legitimizing citation of MS-0005
MS-0166,MS-0001,ceremonial,mup,minimal,Legitimizing citation of MS-0001
MS-0168,MS-0004,ceremonial,verified,minimal,Invokes authority of MS-0004
MS-0189,MS-0003,ceremonial,verified,minimal,Legitimizing citation of MS-0003
MS-0099,MS-0002,ceremonial,verified,minimal,Invokes authority of MS-0002
MS-0188,MS-0158,foundational,forged,critical,Central claims cite MS-0158 as source
MS-0187,MS-0156,supporting,forged,moderate,Claims reinforced by MS-0156 data
MS-0170,MS-0156,foundational,forged,critical,Primary thesis depends on MS-0156 authenticity
MS-0155,MS-0157,foundational,forged,critical,Core argument derives authority from MS-0157
MS-0162,MS-0157,foundational,forged,critical,Primary thesis depends on MS-0157 authenticity
MS-0119,MS-0159,foundational,forged,critical,Primary thesis depends on MS-0159 authenticity
MS-0124,MS-0156,supporting,forged,moderate,Secondary argument strengthened by MS-0156
MS-0146,MS-0156,methodological,forged,moderate,Classification system follows MS-0156
MS-0101,MS-0157,supporting,forged,moderate,Examples drawn from MS-0157
MS-0111,MS-0159,methodological,forged,moderate,Method adapted from MS-0159 approach
MS-0134,MS-0157,methodological,forged,moderate,Classification system follows MS-0157
MS-0143,MS-0158,supporting,forged,moderate,Claims reinforced by MS-0158 data
MS-0106,MS-0159,methodological,forged,moderate,Analytical framework based on MS-0159
MS-0112,MS-0159,supporting,forged,moderate,Evidence chain includes MS-0159 as support
MS-0172,MS-0159,supporting,forged,moderate,Claims reinforced by MS-0159 data
MS-0142,MS-0156,methodological,forged,moderate,Method adapted from MS-0156 approach
MS-0103,MS-0159,foundational,forged,critical,Core argument derives authority from MS-0159
MS-0020,MS-0089,foundational,mup,moderate,Central claims cite MS-0089 as source
MS-0117,MS-0089,supporting,mup,low,Evidence chain includes MS-0089 as support
MS-0122,MS-0089,supporting,mup,low,Secondary argument strengthened by MS-0089
MS-0027,MS-0089,foundational,mup,moderate,Central claims cite MS-0089 as source
MS-0032,MS-0089,supporting,mup,low,Secondary argument strengthened by MS-0089
MS-0023,MS-0091,supporting,mup,low,Secondary argument strengthened by MS-0091
MS-0034,MS-0091,foundational,mup,moderate,Core argument derives authority from MS-0091
MS-0003,MS-0091,foundational,mup,moderate,Methodology validated by MS-0091 precedent
MS-0137,MS-0091,foundational,mup,moderate,Central claims cite MS-0091 as source
MS-0157,MS-0091,supporting,mup,low,Examples drawn from MS-0091
MS-0019,MS-0091,supporting,mup,low,Claims reinforced by MS-0091 data
MS-0171,MS-0091,foundational,mup,moderate,Methodology validated by MS-0091 precedent
MS-0030,MS-0091,foundational,mup,moderate,Primary thesis depends on MS-0091 authenticity
MS-0016,MS-0094,supporting,mup,low,Secondary argument strengthened by MS-0094
MS-0006,MS-0094,supporting,mup,low,Claims reinforced by MS-0094 data
MS-0113,MS-0094,supporting,mup,low,Secondary argument strengthened by MS-0094
MS-0070,MS-0094,foundational,mup,moderate,Methodology validated by MS-0094 precedent
MS-0065,MS-0094,supporting,mup,low,Examples drawn from MS-0094
MS-0021,MS-0046,supporting,verified,minimal,Claims reinforced by MS-0046 data
MS-0094,MS-0046,methodological,verified,minimal,Classification system follows MS-0046
MS-0012,MS-0046,supporting,verified,minimal,Secondary argument strengthened by MS-0046
MS-0193,MS-0046,methodological,verified,minimal,Analytical framework based on MS-0046
MS-0059,MS-0046,methodological,verified,minimal,Analytical framework based on MS-0046
MS-0142,MS-0046,supporting,verified,minimal,Evidence chain includes MS-0046 as support
MS-0032,MS-0046,peripheral,verified,minimal,Background includes MS-0046
MS-0110,MS-0046,peripheral,verified,minimal,Context provided by MS-0046
MS-0088,MS-0046,methodological,verified,minimal,Analytical framework based on MS-0046
MS-0096,MS-0046,peripheral,verified,minimal,Context provided by MS-0046
MS-0149,MS-0046,supporting,verified,minimal,Examples drawn from MS-0046
MS-0118,MS-0046,methodological,verified,minimal,Analytical framework based on MS-0046
MS-0076,MS-0046,supporting,verified,minimal,Claims reinforced by MS-0046 data
MS-0191,MS-0047,peripheral,mup,minimal,Context provided by MS-0047
MS-0069,MS-0047,supporting,mup,low,Claims reinforced by MS-0047 data
MS-0173,MS-0047,methodological,mup,low,Classification system follows MS-0047
MS-0102,MS-0047,supporting,mup,low,Examples drawn from MS-0047
MS-0107,MS-0047,peripheral,mup,minimal,Passing reference to MS-0047
MS-0010,MS-0047,peripheral,mup,minimal,Context provided by MS-0047
MS-0006,MS-0047,methodological,mup,low,Classification system follows MS-0047
MS-0165,MS-0047,peripheral,mup,minimal,Background includes MS-0047
MS-0004,MS-0047,supporting,mup,low,Evidence chain includes MS-0047 as support
MS-0044,MS-0047,supporting,mup,low,Examples drawn from MS-0047
MS-0078,MS-0047,peripheral,mup,minimal,Passing reference to MS-0047
MS-0052,MS-0047,supporting,mup,low,Claims reinforced by MS-0047 data
MS-0194,MS-0047,peripheral,mup,minimal,Context provided by MS-0047
MS-0093,MS-0047,methodological,mup,low,Method adapted from MS-0047 approach
MS-0163,MS-0047,peripheral,mup,minimal,Passing reference to MS-0047
MS-0178,MS-0048,supporting,mup,low,Evidence chain includes MS-0048 as support
MS-0024,MS-0048,supporting,mup,low,Claims reinforced by MS-0048 data
MS-0072,MS-0048,methodological,mup,low,Classification system follows MS-0048
MS-0071,MS-0048,peripheral,mup,minimal,Background includes MS-0048
MS-0045,MS-0048,peripheral,mup,minimal,Passing reference to MS-0048
MS-0150,MS-0048,peripheral,mup,minimal,Background includes MS-0048
MS-0116,MS-0048,methodological,mup,low,Method adapted from MS-0048 approach
MS-0132,MS-0048,methodological,mup,low,Classification system follows MS-0048
MS-0021,MS-0172,peripheral,mup,minimal,Passing reference to MS-0172
MS-0040,MS-0033,peripheral,mup,minimal,Context provided by MS-0033
MS-0090,MS-0070,foundational,mup,moderate,Core argument derives authority from MS-0070
MS-0161,MS-0118,peripheral,mup,minimal,Background includes MS-0118
MS-0152,MS-0145,ceremonial,mup,minimal,Opens with reference to MS-0145
MS-0039,MS-0063,ceremonial,mup,minimal,Opens with reference to MS-0063
MS-0098,MS-0086,ceremonial,verified,minimal,Legitimizing citation of MS-0086
MS-0085,MS-0059,peripheral,disputed,minimal,Context provided by MS-0059
MS-0059,MS-0125,supporting,disputed,moderate,Secondary argument strengthened by MS-0125
MS-0097,MS-0011,foundational,forged,critical,Central claims cite MS-0011 as source
MS-0150,MS-0010,methodological,verified,minimal,Analytical framework based on MS-0010
MS-0015,MS-0009,peripheral,verified,minimal,Passing reference to MS-0009
MS-0146,MS-0110,ceremonial,disputed,minimal,Invokes authority of MS-0110
MS-0135,MS-0064,supporting,disputed,moderate,Examples drawn from MS-0064
MS-0191,MS-0125,peripheral,disputed,minimal,Background includes MS-0125
MS-0173,MS-0165,ceremonial,verified,minimal,Opens with reference to MS-0165
MS-0169,MS-0096,ceremonial,verified,minimal,Invokes authority of MS-0096
MS-0112,MS-0080,supporting,mup,low,Examples drawn from MS-0080
MS-0157,MS-0108,peripheral,verified,minimal,Passing reference to MS-0108
MS-0194,MS-0166,peripheral,verified,minimal,Passing reference to MS-0166
MS-0054,MS-0025,supporting,mup,low,Evidence chain includes MS-0025 as support
MS-0111,MS-0117,ceremonial,mup,minimal,Legitimizing citation of MS-0117
MS-0188,MS-0153,peripheral,mup,minimal,Passing reference to MS-0153
MS-0117,MS-0062,methodological,verified,minimal,Classification system follows MS-0062
MS-0123,MS-0107,supporting,mup,low,Secondary argument strengthened by MS-0107
MS-0182,MS-0171,supporting,verified,minimal,Claims reinforced by MS-0171 data
MS-0070,MS-0036,ceremonial,disputed,minimal,Opens with reference to MS-0036
MS-0059,MS-0066,supporting,mup,low,Examples drawn from MS-0066
MS-0186,MS-0136,ceremonial,mup,minimal,Opens with reference to MS-0136
MS-0026,MS-0087,supporting,verified,minimal,Examples drawn from MS-0087
MS-0164,MS-0034,supporting,verified,minimal,Claims reinforced by MS-0034 data
MS-0009,MS-0097,supporting,verified,minimal,Evidence chain includes MS-0097 as support
MS-0056,MS-0024,supporting,mup,low,Examples drawn from MS-0024
MS-0080,MS-0068,methodological,verified,minimal,Analytical framework based on MS-0068
MS-0095,MS-0009,supporting,verified,minimal,Secondary argument strengthened by MS-0009
MS-0177,MS-0150,supporting,mup,low,Secondary argument strengthened by MS-0150
MS-0170,MS-0072,methodological,verified,minimal,Method adapted from MS-0072 approach
MS-0008,MS-0032,supporting,verified,minimal,Claims reinforced by MS-0032 data
MS-0086,MS-0011,supporting,forged,moderate,Claims reinforced by MS-0011 data
MS-0180,MS-0006,supporting,mup,low,Examples drawn from MS-0006
MS-0157,MS-0055,supporting,verified,minimal,Claims reinforced by MS-0055 data
MS-0186,MS-0181,peripheral,mup,minimal,Passing reference to MS-0181
MS-0104,MS-0111,peripheral,verified,minimal,Background includes MS-0111
MS-0198,MS-0171,methodological,verified,minimal,Classification system follows MS-0171
MS-0189,MS-0149,ceremonial,verified,minimal,Opens with reference to MS-0149
MS-0054,MS-0045,foundational,mup,moderate,Primary thesis depends on MS-0045 authenticity
MS-0183,MS-0059,supporting,disputed,moderate,Claims reinforced by MS-0059 data
MS-0016,MS-0012,supporting,verified,minimal,Examples drawn from MS-0012
MS-0059,MS-0183,methodological,verified,minimal,Classification system follows MS-0183
MS-0071,MS-0167,methodological,verified,minimal,Method adapted from MS-0167 approach
MS-0172,MS-0055,ceremonial,verified,minimal,Opens with reference to MS-0055
MS-0129,MS-0028,peripheral,verified,minimal,Background includes MS-0028
MS-0123,MS-0078,peripheral,disputed,minimal,Passing reference to MS-0078
MS-0192,MS-0077,ceremonial,mup,minimal,Invokes authority of MS-0077
MS-0112,MS-0030,peripheral,verified,minimal,Background includes MS-0030
MS-0115,MS-0003,methodological,verified,minimal,Analytical framework based on MS-0003
MS-0113,MS-0067,peripheral,mup,minimal,Background includes MS-0067
MS-0091,MS-0193,peripheral,mup,minimal,Context provided by MS-0193
MS-0076,MS-0009,peripheral,verified,minimal,Background includes MS-0009
MS-0188,MS-0185,foundational,mup,moderate,Methodology validated by MS-0185 precedent
MS-0055,MS-0021,peripheral,disputed,minimal,Context provided by MS-0021
MS-0082,MS-0021,methodological,disputed,low,Method adapted from MS-0021 approach
MS-0182,MS-0008,ceremonial,verified,minimal,Opens with reference to MS-0008
MS-0186,MS-0175,ceremonial,mup,minimal,Invokes authority of MS-0175
MS-0013,MS-0004,foundational,verified,minimal,Central claims cite MS-0004 as source
MS-0146,MS-0135,foundational,mup,moderate,Primary thesis depends on MS-0135 authenticity
MS-0133,MS-0048,peripheral,mup,minimal,Background includes MS-0048
MS-0027,MS-0004,ceremonial,verified,minimal,Legitimizing citation of MS-0004
MS-0075,MS-0014,supporting,mup,low,Examples drawn from MS-0014
MS-0132,MS-0018,peripheral,mup,minimal,Context provided by MS-0018
MS-0038,MS-0002,foundational,verified,minimal,Primary thesis depends on MS-0002 authenticity
MS-0113,MS-0042,supporting,verified,minimal,Secondary argument strengthened by MS-0042
MS-0136,MS-0013,peripheral,disputed,minimal,Passing reference to MS-0013
MS-0159,MS-0062,methodological,verified,minimal,Method adapted from MS-0062 approach
MS-0042,MS-0014,supporting,mup,low,Evidence chain includes MS-0014 as support
MS-0055,MS-0022,peripheral,verified,minimal,Passing reference to MS-0022
MS-0141,MS-0069,ceremonial,disputed,minimal,Legitimizing citation of MS-0069
MS-0163,MS-0042,peripheral,verified,minimal,Background includes MS-0042
MS-0140,MS-0061,supporting,disputed,moderate,Secondary argument strengthened by MS-0061
MS-0089,MS-0071,peripheral,disputed,minimal,Background includes MS-0071
MS-0162,MS-0103,methodological,disputed,low,Analytical framework based on MS-0103
MS-0077,MS-0025,supporting,mup,low,Claims reinforced by MS-0025 data
MS-0091,MS-0012,supporting,verified,minimal,Examples drawn from MS-0012
MS-0089,MS-0009,peripheral,verified,minimal,Background includes MS-0009
MS-0085,MS-0140,supporting,mup,low,Claims reinforced by MS-0140 data
MS-0194,MS-0168,ceremonial,disputed,minimal,Legitimizing citation of MS-0168
MS-0148,MS-0110,supporting,disputed,moderate,Secondary argument strengthened by MS-0110
MS-0099,MS-0023,ceremonial,verified,minimal,Invokes authority of MS-0023
MS-0197,MS-0180,peripheral,mup,minimal,Passing reference to MS-0180
MS-0114,MS-0001,peripheral,mup,minimal,Passing reference to MS-0001
MS-0113,MS-0071,peripheral,disputed,minimal,Context provided by MS-0071
MS-0171,MS-0021,supporting,disputed,moderate,Claims reinforced by MS-0021 data
MS-0197,MS-0038,methodological,mup,low,Analytical framework based on MS-0038
MS-0149,MS-0065,supporting,verified,minimal,Secondary argument strengthened by MS-0065
MS-0161,MS-0156,peripheral,forged,minimal,Passing reference to MS-0156
MS-0080,MS-0009,peripheral,verified,minimal,Passing reference to MS-0009
MS-0196,MS-0042,ceremonial,verified,minimal,Opens with reference to MS-0042
MS-0132,MS-0082,foundational,disputed,high,Methodology validated by MS-0082 precedent
MS-0189,MS-0115,peripheral,disputed,minimal,Context provided by MS-0115
MS-0188,MS-0096,methodological,verified,minimal,Analytical framework based on MS-0096
MS-0113,MS-0107,methodological,mup,low,Analytical framework based on MS-0107
MS-0154,MS-0098,peripheral,disputed,minimal,Background includes MS-0098
MS-0134,MS-0133,peripheral,verified,minimal,Background includes MS-0133
MS-0001,MS-0007,supporting,mup,low,Secondary argument strengthened by MS-0007
MS-0060,MS-0025,peripheral,mup,minimal,Passing reference to MS-0025
MS-0127,MS-0081,methodological,disputed,low,Classification system follows MS-0081
MS-0123,MS-0014,foundational,mup,moderate,Methodology validated by MS-0014 precedent
MS-0079,MS-0092,supporting,mup,low,Secondary argument strengthened by MS-0092
MS-0019,MS-0023,peripheral,verified,minimal,Context provided by MS-0023
MS-0078,MS-0073,ceremonial,verified,minimal,Invokes authority of MS-0073
MS-0164,MS-0184,supporting,verified,minimal,Evidence chain includes MS-0184 as support
MS-0168,MS-0045,methodological,mup,low,Classification system follows MS-0045
MS-0105,MS-0085,methodological,mup,low,Method adapted from MS-0085 approach
MS-0027,MS-0117,ceremonial,mup,minimal,Invokes authority of MS-0117
MS-0024,MS-0021,methodological,disputed,low,Analytical framework based on MS-0021
MS-0180,MS-0051,peripheral,mup,minimal,Context provided by MS-0051
MS-0157,MS-0090,ceremonial,mup,minimal,Opens with reference to MS-0090
MS-0144,MS-0119,methodological,disputed,low,Classification system follows MS-0119
MS-0150,MS-0192,ceremonial,mup,minimal,Legitimizing citation of MS-0192
MS-0011,MS-0006,ceremonial,mup,minimal,Opens with reference to MS-0006
MS-0118,MS-0108,peripheral,verified,minimal,Context provided by MS-0108
MS-0090,MS-0089,peripheral,mup,minimal,Passing reference to MS-0089
MS-0186,MS-0166,supporting,verified,minimal,Claims reinforced by MS-0166 data
MS-0194,MS-0016,supporting,forged,moderate,Examples drawn from MS-0016
MS-0003,MS-0106,supporting,verified,minimal,Evidence chain includes MS-0106 as support
MS-0189,MS-0145,ceremonial,mup,minimal,Opens with reference to MS-0145
MS-0100,MS-0013,supporting,disputed,moderate,Secondary argument strengthened by MS-0013
MS-0053,MS-0015,supporting,mup,low,Secondary argument strengthened by MS-0015
MS-0163,MS-0007,ceremonial,mup,minimal,Opens with reference to MS-0007
MS-0196,MS-0036,peripheral,disputed,minimal,Background includes MS-0036
MS-0172,MS-0022,peripheral,verified,minimal,Background includes MS-0022
MS-0170,MS-0081,methodological,disputed,low,Classification system follows MS-0081
MS-0148,MS-0093,foundational,verified,minimal,Core argument derives authority from MS-0093
MS-0093,MS-0017,foundational,verified,minimal,Central claims cite MS-0017 as source
MS-0185,MS-0053,ceremonial,disputed,minimal,Legitimizing citation of MS-0053
MS-0153,MS-0055,peripheral,verified,minimal,Passing reference to MS-0055
MS-0148,MS-0139,foundational,forged,critical,Central claims cite MS-0139 as source
MS-0186,MS-0048,supporting,mup,low,Claims reinforced by MS-0048 data
MS-0193,MS-0013,ceremonial,disputed,minimal,Opens with reference to MS-0013
MS-0082,MS-0076,foundational,mup,moderate,Methodology validated by MS-0076 precedent
MS-0150,MS-0050,supporting,verified,minimal,Secondary argument strengthened by MS-0050
MS-0118,MS-0048,peripheral,mup,minimal,Passing reference to MS-0048
MS-0177,MS-0169,foundational,verified,minimal,Core argument derives authority from MS-0169
MS-0172,MS-0071,ceremonial,disputed,minimal,Legitimizing citation of MS-0071
MS-0005,MS-0098,supporting,disputed,moderate,Examples drawn from MS-0098
MS-0131,MS-0128,supporting,mup,low,Evidence chain includes MS-0128 as support
MS-0139,MS-0048,supporting,mup,low,Claims reinforced by MS-0048 data
MS-0169,MS-0168,supporting,disputed,moderate,Secondary argument strengthened by MS-0168
MS-0162,MS-0137,methodological,mup,low,Method adapted from MS-0137 approach
MS-0030,MS-0029,peripheral,mup,minimal,Passing reference to MS-0029
MS-0144,MS-0098,ceremonial,disputed,minimal,Invokes authority of MS-0098
MS-0193,MS-0184,supporting,verified,minimal,Secondary argument strengthened by MS-0184
MS-0047,MS-0024,supporting,mup,low,Claims reinforced by MS-0024 data
MS-0100,MS-0089,peripheral,mup,minimal,Background includes MS-0089
MS-0095,MS-0031,peripheral,mup,minimal,Passing reference to MS-0031
MS-0109,MS-0078,supporting,disputed,moderate,Evidence chain includes MS-0078 as support
MS-0186,MS-0116,peripheral,verified,minimal,Background includes MS-0116
MS-0135,MS-0043,supporting,mup,low,Claims reinforced by MS-0043 data
MS-0003,MS-0183,peripheral,verified,minimal,Background includes MS-0183
MS-0154,MS-0005,methodological,likely_authentic,minimal,Method adapted from MS-0005 approach
MS-0174,MS-0159,supporting,forged,moderate,Claims reinforced by MS-0159 data
MS-0191,MS-0155,peripheral,mup,minimal,Passing reference to MS-0155
MS-0182,MS-0178,methodological,mup,low,Classification system follows MS-0178
MS-0121,MS-0081,foundational,disputed,high,Methodology validated by MS-0081 precedent
MS-0122,MS-0142,supporting,verified,minimal,Examples drawn from MS-0142
MS-0152,MS-0142,ceremonial,verified,minimal,Opens with reference to MS-0142
MS-0069,MS-0120,supporting,verified,minimal,Examples drawn from MS-0120
MS-0156,MS-0050,supporting,verified,minimal,Secondary argument strengthened by MS-0050
MS-0156,MS-0025,supporting,mup,low,Evidence chain includes MS-0025 as support
MS-0150,MS-0038,supporting,mup,low,Examples drawn from MS-0038
MS-0197,MS-0063,ceremonial,mup,minimal,Opens with reference to MS-0063
MS-0187,MS-0025,supporting,mup,low,Examples drawn from MS-0025
MS-0097,MS-0077,supporting,mup,low,Claims reinforced by MS-0077 data
MS-0108,MS-0035,ceremonial,mup,minimal,Opens with reference to MS-0035
MS-0116,MS-0024,supporting,mup,low,Evidence chain includes MS-0024 as support
MS-0103,MS-0070,peripheral,mup,minimal,Context provided by MS-0070
MS-0053,MS-0052,peripheral,mup,minimal,Background includes MS-0052
MS-0038,MS-0123,peripheral,verified,minimal,Context provided by MS-0123
MS-0091,MS-0030,methodological,verified,minimal,Analytical framework based on MS-0030
MS-0141,MS-0124,methodological,mup,low,Classification system follows MS-0124
MS-0197,MS-0121,peripheral,mup,minimal,Context provided by MS-0121
MS-0112,MS-0042,ceremonial,verified,minimal,Opens with reference to MS-0042
MS-0171,MS-0099,supporting,disputed,moderate,Evidence chain includes MS-0099 as support
MS-0160,MS-0083,peripheral,disputed,minimal,Context provided by MS-0083
MS-0098,MS-0179,supporting,disputed,moderate,Secondary argument strengthened by MS-0179
MS-0087,MS-0074,supporting,forged,moderate,Secondary argument strengthened by MS-0074
MS-0142,MS-0119,supporting,disputed,moderate,Secondary argument strengthened by MS-0119
MS-0032,MS-0090,supporting,mup,low,Claims reinforced by MS-0090 data
MS-0121,MS-0059,peripheral,disputed,minimal,Passing reference to MS-0059
MS-0164,MS-0123,ceremonial,verified,minimal,Opens with reference to MS-0123
MS-0026,MS-0023,ceremonial,verified,minimal,Opens with reference to MS-0023
MS-0018,MS-0047,methodological,mup,low,Method adapted from MS-0047 approach
MS-0088,MS-0111,ceremonial,verified,minimal,Opens with reference to MS-0111
MS-0134,MS-0162,foundational,mup,moderate,Primary thesis depends on MS-0162 authenticity
MS-0092,MS-0140,supporting,mup,low,Examples drawn from MS-0140
MS-0079,MS-0152,ceremonial,disputed,minimal,Invokes authority of MS-0152
MS-0147,MS-0072,methodological,verified,minimal,Classification system follows MS-0072
MS-0176,MS-0094,ceremonial,mup,minimal,Legitimizing citation of MS-0094
MS-0098,MS-0009,supporting,verified,minimal,Secondary argument strengthened by MS-0009
MS-0138,MS-0076,ceremonial,mup,minimal,Legitimizing citation of MS-0076
MS-0185,MS-0152,methodological,disputed,low,Analytical framework based on MS-0152
MS-0071,MS-0186,ceremonial,mup,minimal,Opens with reference to MS-0186
MS-0085,MS-0033,ceremonial,mup,minimal,Legitimizing citation of MS-0033
MS-0173,MS-0116,peripheral,verified,minimal,Background includes MS-0116
MS-0010,MS-0001,ceremonial,mup,minimal,Legitimizing citation of MS-0001
MS-0138,MS-0048,methodological,mup,low,Classification system follows MS-0048
MS-0152,MS-0103,supporting,disputed,moderate,Secondary argument strengthened by MS-0103
MS-0145,MS-0130,supporting,mup,low,Claims reinforced by MS-0130 data
MS-0145,MS-0021,peripheral,disputed,minimal,Context provided by MS-0021
MS-0005,MS-0161,methodological,mup,low,Classification system follows MS-0161
MS-0199,MS-0103,methodological,disputed,low,Analytical framework based on MS-0103
MS-0085,MS-0065,supporting,verified,minimal,Evidence chain includes MS-0065 as support
MS-0106,MS-0052,supporting,mup,low,Secondary argument strengthened by MS-0052
MS-0060,MS-0167,supporting,verified,minimal,Evidence chain includes MS-0167 as support
MS-0196,MS-0064,methodological,disputed,low,Analytical framework based on MS-0064
MS-0012,MS-0169,methodological,verified,minimal,Method adapted from MS-0169 approach
MS-0039,MS-0043,peripheral,mup,minimal,Passing reference to MS-0043
