date,day_of_year,is_prime_day,yeller_number,maw_beast_sightings,crawler_activity_score,yeller_resonance_level,folk_rule_prediction,pollus_model_prediction,actual_danger_level,prediction_correct_folk,prediction_correct_pollus
903.01.30,30,False,11,1.4,51.9,0.177,medium,low,medium,True,False
903.01.31,31,True,2,1.2,51.6,0.234,medium,high,medium,True,False
903.02.01,32,False,3,0.0,27.6,0.106,medium,low,low,False,True
903.02.02,33,False,5,1.4,36.9,0.338,medium,medium,medium,True,True
903.02.03,34,False,7,0,34.1,0.121,medium,low,low,False,True
903.02.04,35,False,11,0.8,26.2,0.166,medium,low,low,False,True
903.02.05,36,False,2,0.6,26.9,0.145,medium,low,low,False,True
903.02.06,37,True,3,1.3,36.1,0.227,medium,medium,low,False,False
903.02.07,38,False,5,0.6,31.3,0.194,medium,low,low,False,True
903.02.08,39,False,7,0.9,42.4,0.249,medium,medium,medium,True,True
903.02.09,40,False,11,1.5,55.3,0.399,medium,medium,high,False,False
903.02.10,41,True,2,1.7,49.8,0.401,medium,high,high,False,True
903.02.11,42,False,3,1.1,39.7,0.277,medium,medium,medium,True,True
903.02.12,43,True,5,0.9,39.4,0.14,medium,medium,low,False,False
903.02.13,44,False,7,0.7,37.8,0.243,medium,medium,medium,True,True
903.02.14,45,False,11,1.3,46.9,0.27,medium,medium,medium,True,True
903.02.15,46,False,2,1.0,43.8,0.248,medium,medium,medium,True,True
903.02.16,47,True,3,1.2,60.2,0.327,medium,high,medium,True,False
903.02.17,48,False,5,1.0,29.0,0.167,medium,low,low,False,True
903.02.18,49,False,7,0.7,41.5,0.102,medium,low,medium,True,False
903.02.19,50,False,11,2.0,54.1,0.307,medium,medium,medium,True,True
903.02.20,51,False,2,0.4,32.0,0.153,medium,low,low,False,True
903.02.21,52,False,3,1.0,34.4,0.143,medium,low,low,False,True
903.02.22,53,True,5,1.3,55.5,0.33,medium,high,high,False,True
903.02.23,54,False,7,1.0,25.3,0.123,medium,low,low,False,True
903.02.24,55,False,11,1.2,36.8,0.239,medium,medium,low,False,False
903.02.25,56,False,2,0.7,34.9,0.109,medium,low,low,False,True
903.02.26,57,False,3,1.1,50.2,0.255,medium,medium,medium,True,True
903.02.27,58,False,5,1.5,51.3,0.252,medium,medium,high,False,False
903.02.28,59,True,7,2.8,82.6,0.644,high,high,high,True,True
903.03.01,60,False,11,1.1,50.9,0.214,medium,medium,medium,True,True
903.03.02,61,True,2,1.6,64.9,0.392,high,high,high,True,True
903.03.03,62,False,3,0,24.4,0.124,medium,low,low,False,True
903.03.04,63,False,5,0.9,42.6,0.263,medium,medium,medium,True,True
903.03.05,64,False,7,1.0,32.3,0.134,medium,low,low,False,True
903.03.06,65,False,11,1.2,35.0,0.234,medium,medium,medium,True,True
903.03.07,66,False,2,1.4,51.6,0.469,high,high,high,True,True
903.03.08,67,True,3,1.4,54.5,0.326,high,high,medium,False,False
903.03.09,68,False,5,0.8,44.4,0.33,medium,medium,low,False,False
903.03.10,69,False,7,2.1,50.3,0.45,high,high,high,True,True
903.03.11,70,False,11,1.7,52.2,0.253,high,medium,medium,False,True
903.03.12,71,True,2,1.7,51.9,0.344,high,high,medium,False,False
903.03.13,72,False,3,1.3,47.7,0.245,high,medium,medium,False,True
903.03.14,73,True,5,1.6,52.4,0.303,high,high,high,True,True
903.03.15,74,False,7,2.1,59.8,0.29,high,medium,high,True,False
903.03.16,75,False,11,1.1,42.4,0.24,high,medium,medium,False,True
903.03.17,76,False,2,0.5,41.0,0.22,high,medium,low,False,False
903.03.18,77,False,3,1.2,45.0,0.285,high,medium,medium,False,True
903.03.19,78,False,5,0.8,37.8,0.211,high,medium,medium,False,True
903.03.20,79,True,7,2.0,68.0,0.457,high,high,high,True,True
903.03.21,80,False,11,0.5,50.5,0.305,high,medium,medium,False,True
903.03.22,81,False,2,1.2,60.4,0.339,high,high,high,True,True
903.03.23,82,False,3,1.4,49.5,0.258,high,medium,medium,False,True
903.03.24,83,True,5,1.5,59.0,0.405,high,high,high,True,True
903.03.25,84,False,7,1.9,60.6,0.36,high,high,high,True,True
903.03.26,85,False,11,1.8,54.3,0.334,high,medium,high,True,False
903.03.27,86,False,2,1.2,52.9,0.303,high,medium,medium,False,True
903.03.28,87,False,3,0.8,33.1,0.124,high,medium,low,False,False
903.03.29,88,False,5,1.8,61.2,0.384,high,high,high,True,True
903.03.30,89,True,7,1.9,53.8,0.191,high,high,medium,False,False
903.03.31,90,False,11,1.7,49.3,0.282,high,medium,medium,False,True
903.04.01,91,False,2,1.7,47.4,0.421,high,high,high,True,True
903.04.02,92,False,3,1.3,63.8,0.366,high,high,medium,False,False
903.04.03,93,False,5,1.5,52.5,0.196,high,medium,medium,False,True
903.04.04,94,False,7,0.7,49.3,0.128,high,medium,medium,False,True
903.04.05,95,False,11,1.7,56.2,0.299,high,high,medium,False,False
903.04.06,96,False,2,0.6,48.1,0.166,high,medium,medium,False,True
903.04.07,97,True,3,2.0,61.0,0.355,high,high,high,True,True
903.04.08,98,False,5,1.0,60.6,0.368,high,high,high,True,True
903.04.09,99,False,7,1.0,52.8,0.313,high,high,medium,False,False
903.04.10,100,False,11,1.3,50.5,0.303,high,high,high,True,True
903.04.11,101,True,2,2.3,64.8,0.392,high,high,high,True,True
903.04.12,102,False,3,1.6,67.9,0.483,high,high,high,True,True
903.04.13,103,True,5,1.4,68.5,0.36,high,high,high,True,True
903.04.14,104,False,7,1.3,75.1,0.496,high,high,high,True,True
903.04.15,105,False,11,1.2,50.9,0.276,high,high,medium,False,False
903.04.16,106,False,2,1.8,62.4,0.427,high,high,high,True,True
903.04.17,107,True,3,1.5,54.9,0.368,high,high,high,True,True
903.04.18,108,False,5,0.6,31.2,0.258,high,medium,low,False,False
903.04.19,109,True,7,1.3,53.2,0.313,high,high,high,True,True
903.04.20,110,False,11,1.7,56.7,0.364,high,high,high,True,True
903.04.21,111,False,2,1.1,61.0,0.245,high,high,high,True,True
903.04.22,112,False,3,1.6,49.8,0.256,high,high,medium,False,False
903.04.23,113,True,5,2.2,78.7,0.438,high,high,high,True,True
903.04.24,114,False,7,2.4,66.0,0.481,high,high,high,True,True
903.04.25,115,False,11,2.5,63.1,0.401,high,high,high,True,True
903.04.26,116,False,2,2.2,60.9,0.519,high,high,high,True,True
903.04.27,117,False,3,1.1,52.3,0.351,high,high,medium,False,False
903.04.28,118,False,5,0.9,45.7,0.275,high,high,medium,False,False
903.04.29,119,False,7,2.0,65.5,0.378,high,high,high,True,True
903.04.30,120,False,11,1.3,56.5,0.213,high,high,medium,False,False
903.05.01,121,False,2,2.3,49.8,0.38,high,high,high,True,True
903.05.02,122,False,3,2.2,67.5,0.518,high,high,high,True,True
903.05.03,123,False,5,1.5,54.1,0.384,high,high,high,True,True
903.05.04,124,False,7,2.0,70.8,0.503,high,high,high,True,True
903.05.05,125,False,11,1.4,60.4,0.333,high,high,medium,False,False
903.05.06,126,False,2,2.3,70.3,0.481,high,high,high,True,True
903.05.07,127,True,3,2.0,79.7,0.479,high,high,high,True,True
903.05.08,128,False,5,1.8,46.6,0.219,high,high,high,True,True
903.05.09,129,False,7,1.5,59.4,0.37,high,high,high,True,True
903.05.10,130,False,11,1.6,56.9,0.314,high,high,high,True,True
903.05.11,131,True,2,2.2,62.9,0.496,high,high,high,True,True
903.05.12,132,False,3,2.2,57.5,0.351,high,high,high,True,True
903.05.13,133,False,5,2.4,79.7,0.482,high,high,high,True,True
903.05.14,134,False,7,2.5,73.0,0.426,high,high,high,True,True
903.05.15,135,False,11,1.5,41.6,0.214,high,high,medium,False,False
903.05.16,136,False,2,1.5,54.9,0.262,high,high,high,True,True
903.05.17,137,True,3,1.9,58.1,0.437,high,high,high,True,True
903.05.18,138,False,5,1.1,47.2,0.322,high,high,medium,False,False
903.05.19,139,True,7,2.2,57.1,0.432,high,high,high,True,True
903.05.20,140,False,11,1.7,62.6,0.41,high,high,high,True,True
903.05.21,141,False,2,2.3,74.2,0.461,high,high,high,True,True
903.05.22,142,False,3,1.2,49.6,0.375,high,high,high,True,True
903.05.23,143,False,5,2.3,55.4,0.399,high,high,high,True,True
903.05.24,144,False,7,2.0,57.2,0.549,high,high,high,True,True
903.05.25,145,False,11,1.1,57.7,0.472,high,high,high,True,True
903.05.26,146,False,2,2.3,65.9,0.332,high,high,high,True,True
903.05.27,147,False,3,1.6,62.2,0.378,high,high,high,True,True
903.05.28,148,False,5,1.7,57.7,0.325,high,high,high,True,True
903.05.29,149,True,7,2.8,73.9,0.686,high,high,high,True,True
903.05.30,150,False,11,3.0,67.5,0.481,high,high,high,True,True
903.05.31,151,True,2,2.7,69.9,0.461,high,high,high,True,True
903.06.01,152,False,3,2.2,65.5,0.361,high,high,high,True,True
903.06.02,153,False,5,2.1,62.8,0.297,high,high,high,True,True
903.06.03,154,False,7,2.1,69.4,0.479,high,high,high,True,True
903.06.04,155,False,11,2.1,69.7,0.312,high,high,high,True,True
903.06.05,156,False,2,1.3,42.4,0.277,high,high,medium,False,False
903.06.06,157,True,3,2.1,74.2,0.537,high,high,high,True,True
903.06.07,158,False,5,2.3,70.5,0.355,high,high,high,True,True
903.06.08,159,False,7,1.6,44.6,0.367,high,high,medium,False,False
903.06.09,160,False,11,2.9,69.4,0.567,high,high,high,True,True
903.06.10,161,False,2,2.1,72.4,0.473,high,high,high,True,True
903.06.11,162,False,3,1.9,55.8,0.426,high,high,high,True,True
903.06.12,163,True,5,2.2,72.4,0.555,high,high,high,True,True
903.06.13,164,False,7,2.0,51.9,0.383,high,high,high,True,True
903.06.14,165,False,11,2.0,55.0,0.341,high,high,medium,False,False
903.06.15,166,False,2,1.5,63.4,0.501,high,high,high,True,True
903.06.16,167,True,3,2.1,74.9,0.362,high,high,high,True,True
903.06.17,168,False,5,1.7,56.5,0.351,high,high,high,True,True
903.06.18,169,False,7,2.2,66.1,0.621,high,high,high,True,True
903.06.19,170,False,11,1.6,68.1,0.437,high,high,high,True,True
903.06.20,171,False,2,2.3,64.9,0.464,high,high,high,True,True
903.06.21,172,False,3,2.2,61.8,0.395,high,high,high,True,True
903.06.22,173,True,5,1.9,54.5,0.436,high,high,high,True,True
903.06.23,174,False,7,1.1,53.0,0.361,high,high,medium,False,False
903.06.24,175,False,11,1.7,52.6,0.462,high,high,high,True,True
903.06.25,176,False,2,2.3,59.6,0.51,high,high,high,True,True
903.06.26,177,False,3,1.4,34.9,0.323,high,high,medium,False,False
903.06.27,178,False,5,2.3,64.3,0.475,high,high,high,True,True
903.06.28,179,True,7,2.1,69.3,0.602,high,high,high,True,True
903.06.29,180,False,11,1.6,65.0,0.396,high,high,high,True,True
903.06.30,181,True,2,2.1,66.4,0.475,high,high,high,True,True
903.07.01,182,False,3,1.7,48.7,0.4,high,high,high,True,True
903.07.02,183,False,5,1.7,56.8,0.346,high,high,medium,False,False
903.07.03,184,False,7,2.3,65.6,0.453,high,high,high,True,True
903.07.04,185,False,11,2.5,76.6,0.571,high,high,high,True,True
903.07.05,186,False,2,1.7,65.4,0.469,high,high,high,True,True
903.07.06,187,False,3,2.5,59.8,0.498,high,high,high,True,True
903.07.07,188,False,5,2.6,82.6,0.489,high,high,high,True,True
903.07.08,189,False,7,1.7,62.4,0.44,high,high,high,True,True
903.07.09,190,False,11,1.6,62.9,0.397,high,high,high,True,True
903.07.10,191,True,2,2.3,74.3,0.454,high,high,high,True,True
903.07.11,192,False,3,2.4,75.7,0.501,high,high,high,True,True
903.07.12,193,True,5,1.9,71.3,0.538,high,high,high,True,True
903.07.13,194,False,7,2.5,57.0,0.407,high,high,high,True,True
903.07.14,195,False,11,2.1,66.5,0.548,high,high,high,True,True
903.07.15,196,False,2,0.9,50.9,0.316,high,high,medium,False,False
903.07.16,197,True,3,1.7,51.3,0.487,high,high,high,True,True
903.07.17,198,False,5,0.8,48.7,0.333,high,high,medium,False,False
903.07.18,199,True,7,3.0,74.9,0.546,high,high,high,True,True
903.07.19,200,False,11,1.9,58.5,0.319,high,high,high,True,True
903.07.20,201,False,2,1.5,54.3,0.338,high,high,high,True,True
903.07.21,202,False,3,0.8,51.0,0.285,high,high,medium,False,False
903.07.22,203,False,5,2.1,56.7,0.538,high,high,high,True,True
903.07.23,204,False,7,0.6,54.7,0.258,high,high,medium,False,False
903.07.24,205,False,11,2.3,67.9,0.453,high,high,high,True,True
903.07.25,206,False,2,1.5,46.5,0.332,high,high,medium,False,False
903.07.26,207,False,3,1.4,62.8,0.436,high,high,high,True,True
903.07.27,208,False,5,1.5,43.4,0.294,high,high,medium,False,False
903.07.28,209,False,7,1.3,49.0,0.454,high,high,high,True,True
903.07.29,210,False,11,2.1,63.2,0.37,high,high,high,True,True
903.07.30,211,True,2,2.0,74.9,0.46,high,high,high,True,True
903.07.31,212,False,3,1.7,50.1,0.354,high,high,high,True,True
903.08.01,213,False,5,2.3,63.9,0.484,high,high,high,True,True
903.08.02,214,False,7,2.4,55.4,0.419,high,high,high,True,True
903.08.03,215,False,11,1.6,51.3,0.396,high,high,medium,False,False
903.08.04,216,False,2,1.4,59.1,0.522,high,high,high,True,True
903.08.05,217,False,3,1.6,72.1,0.287,high,high,high,True,True
903.08.06,218,False,5,2.1,63.0,0.451,high,high,high,True,True
903.08.07,219,False,7,1.4,43.0,0.356,high,high,medium,False,False
903.08.08,220,False,11,1.3,55.2,0.33,high,high,high,True,True
903.08.09,221,False,2,1.8,59.1,0.469,high,high,high,True,True
903.08.10,222,False,3,1.1,55.7,0.379,high,high,medium,False,False
903.08.11,223,True,5,2.4,63.0,0.525,high,high,high,True,True
903.08.12,224,False,7,1.6,60.0,0.294,high,high,medium,False,False
903.08.13,225,False,11,1.7,55.3,0.444,high,high,high,True,True
903.08.14,226,False,2,1.9,66.0,0.443,high,high,high,True,True
903.08.15,227,True,3,2.2,71.2,0.43,high,high,high,True,True
903.08.16,228,False,5,1.5,53.8,0.4,high,high,high,True,True
903.08.17,229,True,7,2.0,49.0,0.426,high,high,high,True,True
903.08.18,230,False,11,1.0,51.7,0.121,high,medium,medium,False,True
903.08.19,231,False,2,1.9,72.6,0.394,high,high,high,True,True
903.08.20,232,False,3,2.1,53.4,0.428,high,high,high,True,True
903.08.21,233,True,5,2.5,57.5,0.455,high,high,high,True,True
903.08.22,234,False,7,1.3,42.8,0.231,high,medium,medium,False,True
903.08.23,235,False,11,2.1,69.7,0.378,high,high,high,True,True
903.08.24,236,False,2,1.9,47.8,0.368,high,high,medium,False,False
903.08.25,237,False,3,1.5,59.1,0.427,high,high,medium,False,False
903.08.26,238,False,5,0.4,47.1,0.261,high,medium,medium,False,True
903.08.27,239,True,7,2.6,66.2,0.605,high,high,high,True,True
903.08.28,240,False,11,0.9,36.5,0.3,high,medium,medium,False,True
903.08.29,241,True,2,1.5,64.2,0.458,high,high,high,True,True
903.08.30,242,False,3,0.9,51.7,0.396,high,high,high,True,True
903.08.31,243,False,5,1.2,44.9,0.285,high,medium,medium,False,True
903.09.01,244,False,7,1.6,60.0,0.35,high,high,high,True,True
903.09.02,245,False,11,1.0,44.1,0.254,high,medium,medium,False,True
903.09.03,246,False,2,1.3,54.7,0.353,high,high,medium,False,False
903.09.04,247,False,3,0.9,45.1,0.349,high,high,medium,False,False
903.09.05,248,False,5,1.7,53.4,0.365,high,high,high,True,True
903.09.06,249,False,7,1.4,53.1,0.363,high,high,high,True,True
903.09.07,250,False,11,1.0,44.7,0.113,high,medium,medium,False,True
903.09.08,251,True,2,2.8,67.2,0.498,high,high,high,True,True
903.09.09,252,False,3,1.5,61.0,0.393,high,high,high,True,True
903.09.10,253,False,5,1.3,55.4,0.394,high,high,high,True,True
903.09.11,254,False,7,0.5,31.1,0.149,high,medium,low,False,False
903.09.12,255,False,11,0.6,48.1,0.213,high,medium,high,True,False
903.09.13,256,False,2,1.2,37.8,0.313,high,medium,medium,False,True
903.09.14,257,True,3,1.6,57.6,0.286,high,high,high,True,True
903.09.15,258,False,5,0.6,51.5,0.307,high,medium,medium,False,True
903.09.16,259,False,7,2.1,65.7,0.444,high,high,high,True,True
903.09.17,260,False,11,1.1,45.5,0.308,high,medium,medium,False,True
903.09.18,261,False,2,1.5,47.7,0.29,high,medium,medium,False,True
903.09.19,262,False,3,1.5,50.2,0.347,high,medium,medium,False,True
903.09.20,263,True,5,2.7,65.2,0.377,high,high,high,True,True
903.09.21,264,False,7,0.9,38.9,0.279,high,medium,medium,False,True
903.09.22,265,False,11,0.8,52.0,0.147,high,medium,medium,False,True
903.09.23,266,False,2,1.7,40.3,0.289,high,medium,medium,False,True
903.09.24,267,False,3,1.5,55.7,0.398,high,high,medium,False,False
903.09.25,268,False,5,1.6,48.9,0.278,high,medium,medium,False,True
903.09.26,269,True,7,1.2,45.2,0.426,high,high,high,True,True
903.09.27,270,False,11,1.9,48.9,0.269,high,medium,medium,False,True
903.09.28,271,True,2,1.3,56.3,0.259,high,high,high,True,True
903.09.29,272,False,3,0.6,41.0,0.323,medium,medium,low,False,False
903.09.30,273,False,5,1.3,57.9,0.425,high,high,high,True,True
903.10.01,274,False,7,1.8,58.7,0.37,high,medium,high,True,False
903.10.02,275,False,11,1.2,40.7,0.285,medium,medium,medium,True,True
903.10.03,276,False,2,1.1,35.7,0.214,medium,medium,medium,True,True
903.10.04,277,True,3,1.9,72.9,0.565,high,high,high,True,True
903.10.05,278,False,5,1.0,43.6,0.237,medium,medium,medium,True,True
903.10.06,279,False,7,0.3,52.4,0.248,high,medium,low,False,False
903.10.07,280,False,11,0.7,29.8,0.179,medium,low,low,False,True
903.10.08,281,True,2,1.9,54.5,0.26,high,high,high,True,True
903.10.09,282,False,3,1.5,60.1,0.422,high,medium,medium,False,True
903.10.10,283,True,5,1.0,42.5,0.238,medium,high,medium,True,False
903.10.11,284,False,7,0.3,48.0,0.16,medium,medium,medium,True,True
903.10.12,285,False,11,1.0,47.2,0.321,medium,medium,medium,True,True
903.10.13,286,False,2,1.5,42.6,0.261,medium,medium,medium,True,True
903.10.14,287,False,3,1.0,38.0,0.311,medium,medium,medium,True,True
903.10.15,288,False,5,1.2,46.7,0.138,medium,medium,low,False,False
903.10.16,289,False,7,1.5,30.6,0.135,medium,low,low,False,True
903.10.17,290,False,11,0.8,39.4,0.178,medium,low,low,False,True
903.10.18,291,False,2,1.0,40.6,0.179,medium,medium,medium,True,True
903.10.19,292,False,3,1.4,51.8,0.441,medium,medium,high,False,False
903.10.20,293,True,5,2.0,65.7,0.265,high,high,high,True,True
903.10.21,294,False,7,1.0,35.4,0.128,medium,low,low,False,True
903.10.22,295,False,11,1.8,38.7,0.197,medium,low,low,False,True
903.10.23,296,False,2,0.6,34.9,0.053,medium,low,low,False,True
903.10.24,297,False,3,1.4,36.4,0.274,medium,medium,low,False,False
903.10.25,298,False,5,1.0,42.0,0.29,medium,medium,low,False,False
903.10.26,299,False,7,0.4,32.0,0.122,medium,low,low,False,True
903.10.27,300,False,11,1.3,46.0,0.393,medium,medium,medium,True,True
903.10.28,301,False,2,0.6,50.5,0.237,medium,medium,medium,True,True
903.10.29,302,False,3,1.4,45.9,0.307,medium,medium,medium,True,True
903.10.30,303,False,5,1.0,39.0,0.165,medium,low,low,False,True
903.10.31,304,False,7,1.0,56.1,0.3,medium,medium,high,False,False
903.11.01,305,False,11,0.8,44.0,0.194,medium,low,medium,True,False
903.11.02,306,False,2,1.4,51.7,0.207,medium,medium,high,False,False
903.11.03,307,True,3,1.0,40.5,0.249,medium,high,medium,True,False
903.11.04,308,False,5,0.7,48.6,0.314,medium,medium,low,False,False
903.11.05,309,False,7,0.3,22.7,0.082,medium,low,low,False,True
903.11.06,310,False,11,1.0,33.5,0.216,medium,low,low,False,True
903.11.07,311,True,2,0.9,58.4,0.285,medium,high,high,False,True
903.11.08,312,False,3,1.2,38.7,0.201,medium,low,low,False,True
903.11.09,313,True,5,0.1,39.4,0.326,medium,high,low,False,False
903.11.10,314,False,7,0.7,29.6,0.02,medium,low,low,False,True
903.11.11,315,False,11,0.5,41.4,0.067,medium,low,low,False,True
903.11.12,316,False,2,0.4,35.1,0.162,medium,low,low,False,True
903.11.13,317,True,3,0.7,44.6,0.305,medium,high,medium,True,False
903.11.14,318,False,5,0.9,39.5,0.262,medium,low,low,False,True
903.11.15,319,False,7,0,36.5,0.084,medium,low,low,False,True
903.11.16,320,False,11,0.5,19.8,0.152,low,low,low,True,True
903.11.17,321,False,2,0.6,26.8,0,low,low,low,True,True
903.11.18,322,False,3,0.0,33.1,0.049,medium,low,low,False,True
903.11.19,323,False,5,1.1,29.9,0.14,medium,low,low,False,True
903.11.20,324,False,7,0.8,31.4,0.141,medium,low,low,False,True
903.11.21,325,False,11,0.4,39.8,0.102,medium,low,low,False,True
903.11.22,326,False,2,0.5,26.6,0.204,low,low,low,True,True
903.11.23,327,False,3,0.5,39.2,0.182,medium,low,low,False,True
903.11.24,328,False,5,1.1,43.3,0.152,medium,low,low,False,True
903.11.25,329,False,7,0.5,17.9,0,low,low,low,True,True
903.11.26,330,False,11,0,35.1,0,medium,low,low,False,True
903.11.27,331,True,2,1.0,34.1,0,medium,medium,low,False,False
903.11.28,332,False,3,0.8,34.8,0.33,medium,low,medium,True,False
903.11.29,333,False,5,1.4,52.9,0.27,medium,medium,medium,True,True
903.11.30,334,False,7,1.2,42.8,0.172,medium,low,low,False,True
903.12.01,335,False,11,0.1,29.5,0.134,low,low,low,True,True
903.12.02,336,False,2,0.2,34.2,0.065,medium,low,low,False,True
903.12.03,337,True,3,1.3,44.7,0.229,medium,medium,medium,True,True
903.12.04,338,False,5,1.3,56.4,0.196,medium,low,medium,True,False
903.12.05,339,False,7,0.5,51.6,0.08,medium,low,low,False,True
903.12.06,340,False,11,0.2,22.0,0.047,low,low,low,True,True
903.12.07,341,False,2,0.9,26.3,0.178,low,low,low,True,True
903.12.08,342,False,3,0,22.7,0.087,low,low,low,True,True
903.12.09,343,False,5,0.8,41.2,0.23,medium,low,low,False,True
903.12.10,344,False,7,0.5,28.5,0.185,low,low,low,True,True
903.12.11,345,False,11,1.0,45.8,0.178,medium,low,medium,True,False
903.12.12,346,False,2,0.7,24.8,0.085,low,low,low,True,True
903.12.13,347,True,3,0.4,41.7,0.21,medium,medium,low,False,False
903.12.14,348,False,5,0.7,41.8,0.166,medium,low,low,False,True
903.12.15,349,True,7,0.8,33.3,0.101,low,medium,low,True,False
903.12.16,350,False,11,0.2,23.6,0,low,low,low,True,True
903.12.17,351,False,2,0,18.6,0.08,low,low,low,True,True
903.12.18,352,False,3,0,18.8,0.064,low,low,low,True,True
903.12.19,353,True,5,0.5,23.3,0.063,low,medium,low,True,False
903.12.20,354,False,7,0.7,35.6,0.194,low,low,low,True,True
903.12.21,355,False,11,0.8,40.0,0.234,medium,low,low,False,True
903.12.22,356,False,2,1.1,42.7,0.242,medium,low,low,False,True
903.12.23,357,False,3,0.6,35.4,0.009,low,low,low,True,True
903.12.24,358,False,5,0.7,38.1,0.074,medium,low,low,False,True
903.12.25,359,True,7,0.8,37.9,0.133,medium,medium,low,False,False
903.12.26,360,False,11,0.7,45.2,0.175,medium,low,low,False,True
903.12.27,361,False,2,1.2,52.7,0.183,medium,low,low,False,True
903.12.28,362,False,3,1.1,45.4,0.269,medium,low,medium,True,False
903.12.29,363,False,5,0,26.2,0.128,low,low,low,True,True
903.12.30,364,False,7,0.8,30.8,0.167,low,low,low,True,True
903.12.31,365,False,11,0.0,20.3,0.006,low,low,low,True,True
