conflict_id,conflict_name,pattern_a_type,pattern_a_description,pattern_a_age_years,pattern_a_strength,pattern_b_type,pattern_b_description,pattern_b_age_years,pattern_b_strength,conflict_location,conflict_substrate,dens_proximity_km,conflict_type,conflict_duration_days,conflict_intensity,outcome,winner_strength_after,loser_fate,substrate_damage,age_advantage,strength_advantage,form_library_connection,first_documented_year,documenter,documentation_source,confidence,description,implications,notes
MC-0018,The Boundary Marker Seven Contest,spatial_imprint,Spatial Imprint from Capital Archives basement,448,0.68,ghost,Ghost from Western boundary region,317,0.4,shared territory,living tissue,191.0,territory_contest,265,0.6,stalemate,,,0.47,no_age_effect,stronger_won,equal,893,Archive Survey Team,behavioral_tracking,0.59,Conflict between spatial_imprint and ghost in shared territory.,,
MC-0019,The Mill Creek Contest,collective_pattern,Collective Pattern from Near Third Mill site,356,0.65,ghost,Ghost from Deep Quarry tunnels,244,0.74,spatial location,behavioral repertoire,20.8,catastrophic,392,0.37,merger,0.6,absorbed,0.38,no_age_effect,no_strength_effect,pattern_a,898,M. Tall,scavenger_testimony,0.81,Conflict between collective_pattern and ghost in spatial location.,,
MC-0020,The Archive Basement Contest,ghost,Ghost from Western boundary region,155,0.57,living_form,Living Form from Trapper camp ruins,463,0.89,shared territory,behavioral repertoire,111.6,peaceful_coexistence,91,0.43,pattern_b_won,0.89,persisted_weak,0.05,older_won,complex,equal,894,C. Vells,form_analysis,0.94,Conflict between ghost and living_form in shared territory.,,
MC-0021,The Trapper's Rest Contest,collective_pattern,Collective Pattern from Near Third Mill site,188,0.5,form_library_access,Form Library Access from Central processing area,251,0.89,shared territory,behavioral repertoire,15.3,catastrophic,808,1.0,pattern_b_won,0.89,erased,0.36,no_age_effect,stronger_won,pattern_b,908,T. Vells,form_analysis,0.79,Conflict between collective_pattern and form_library_access in shared territory.,,
MC-0022,The Trapper's Rest Contest,ghost,Ghost from Near Third Mill site,145,0.24,inherited_memory,Inherited Memory from Northern observation post,449,0.77,same creature body,collective memory,44.3,dominance_struggle,421,0.68,stalemate,,,0.49,older_won,complex,pattern_b,925,Boundary Commission,behavioral_tracking,0.65,Conflict between ghost and inherited_memory in same creature body.,,
MC-0023,The Boundary Marker Seven Contest,inherited_memory,Inherited Memory from Southern terraces,387,0.6,living_form,Living Form from Dens boundary zone,335,0.45,same creature body,living tissue,28.6,merger_attempt,290,0.88,pattern_a_won,0.61,persisted_weak,0.38,no_age_effect,stronger_won,equal,917,Quarry Guild Records,scavenger_testimony,0.63,Conflict between inherited_memory and living_form in same creature body.,,
MC-0024,The Deep Tunnels Contest,form_library_access,Form Library Access from Western boundary region,15,0.28,ghost,Ghost from Trapper camp ruins,189,0.99,collective identity,structural material,90.8,peaceful_coexistence,940,0.52,merger,0.87,absorbed,0.05,older_won,complex,pattern_a,930,M. Tall,historical_reconstruction,0.57,Conflict between form_library_access and ghost in collective identity.,,
MC-0025,The Third Mill Contest,collective_pattern,Collective Pattern from Northern observation post,389,0.49,living_form,Living Form from Southern terraces,334,0.49,collective identity,structural material,174.9,oscillation,24,0.73,pattern_a_won,0.49,displaced,0.14,no_age_effect,no_strength_effect,pattern_b,931,Quarry Guild Records,form_analysis,0.62,Conflict between collective_pattern and living_form in collective identity.,,
MC-0026,The Mill Creek Contest,spatial_imprint,Spatial Imprint from Northern observation post,227,0.85,form_library_access,Form Library Access from Western boundary region,398,0.9,same creature body,structural material,82.4,catastrophic,61,0.74,pattern_b_won,0.9,persisted_weak,0.16,older_won,complex,pattern_b,902,K. Strand,direct_observation,0.55,Conflict between spatial_imprint and form_library_access in same creature body.,,
MC-0027,The Old Survey Camp Contest,spatial_imprint,Spatial Imprint from Central processing area,71,0.31,living_form,Living Form from Central processing area,117,0.32,shared territory,behavioral repertoire,31.8,dominance_struggle,549,0.42,merger,0.31,absorbed,0.31,older_won,complex,equal,909,S. Moll,direct_observation,0.62,Conflict between spatial_imprint and living_form in shared territory.,,
MC-0028,The Western Boundary Contest,ghost,Ghost from Dens boundary zone,384,0.41,spatial_imprint,Spatial Imprint from Trapper camp ruins,283,0.68,same creature body,spatial region,75.2,dominance_struggle,722,0.29,pattern_b_won,0.68,erased,0.43,no_age_effect,stronger_won,equal,899,T. Vells,scavenger_testimony,0.77,Conflict between ghost and spatial_imprint in same creature body.,,
MC-0029,The Third Mill Contest,ghost,Ghost from Capital Archives basement,148,0.71,collective_pattern,Collective Pattern from Near Third Mill site,60,0.95,collective identity,structural material,111.7,dominance_struggle,614,0.81,pattern_a_won,0.71,persisted_weak,0.11,older_won,complex,pattern_a,929,Boundary Commission,behavioral_tracking,0.61,Conflict between ghost and collective_pattern in collective identity.,,
MC-0030,The Northern Quarry Contest,ghost,Ghost from Old mine entrance,170,0.81,form_library_access,Form Library Access from Mill Creek ravine,446,0.83,offspring expression,living tissue,186.0,merger_attempt,295,0.58,stalemate,,,0.42,older_won,complex,pattern_b,898,K. Strand,direct_observation,0.58,Conflict between ghost and form_library_access in offspring expression.,,
MC-0031,The Western Boundary Contest,spatial_imprint,Spatial Imprint from Trapper camp ruins,345,0.94,form_library_access,Form Library Access from Southern terraces,284,0.38,spatial location,spatial region,151.4,oscillation,935,0.65,stalemate,,,0.49,no_age_effect,stronger_won,pattern_b,927,M. Tall,form_analysis,0.54,Conflict between spatial_imprint and form_library_access in spatial location.,,
MC-0032,The Archive Basement Contest,spatial_imprint,Spatial Imprint from Trapper camp ruins,371,0.77,form_library_access,Form Library Access from Dens boundary zone,463,0.4,shared territory,structural material,119.7,dominance_struggle,327,0.85,stalemate,,,0.23,no_age_effect,stronger_won,pattern_b,927,C. Vells,behavioral_tracking,0.81,Conflict between spatial_imprint and form_library_access in shared territory.,,
MC-0033,The Old Survey Camp Contest,ghost,Ghost from Southern terraces,388,0.35,form_library_access,Form Library Access from Northern observation post,142,0.92,same creature body,structural material,120.9,oscillation,581,0.71,merger,0.8,absorbed,0.16,older_won,complex,pattern_b,890,Quarry Guild Records,direct_observation,0.83,Conflict between ghost and form_library_access in same creature body.,,
MC-0034,The Boundary Marker Seven Contest,collective_pattern,Collective Pattern from Near Third Mill site,215,0.39,inherited_memory,Inherited Memory from Capital Archives basement,235,0.56,collective identity,collective memory,89.4,dominance_struggle,85,0.52,pattern_b_won,0.56,erased,0.47,no_age_effect,stronger_won,unknown,927,K. Strand,direct_observation,0.56,Conflict between collective_pattern and inherited_memory in collective identity.,,
MC-0035,The Deep Tunnels Contest,living_form,Living Form from Dens boundary zone,10,0.42,spatial_imprint,Spatial Imprint from Yeller Quarry eastern ridge,262,0.58,spatial location,behavioral repertoire,123.1,peaceful_coexistence,628,0.88,merger,0.5,absorbed,0.05,older_won,complex,unknown,924,Boundary Commission,form_analysis,0.61,Conflict between living_form and spatial_imprint in spatial location.,,
MC-0036,The Old Survey Camp Contest,living_form,Living Form from Near Third Mill site,89,0.44,inherited_memory,Inherited Memory from Dens boundary zone,108,0.2,same creature body,collective memory,16.9,peaceful_coexistence,130,0.67,oscillation,,,0.03,no_age_effect,stronger_won,unknown,924,Independent Observer,behavioral_tracking,0.71,Conflict between living_form and inherited_memory in same creature body.,,
MC-0037,The Deep Tunnels Contest,form_library_access,Form Library Access from Central processing area,196,0.87,ghost,Ghost from Dens boundary zone,89,0.65,spatial location,living tissue,33.3,territory_contest,378,0.56,pattern_a_won,0.95,weakened,0.19,older_won,complex,pattern_a,928,Boundary Commission,behavioral_tracking,0.58,Conflict between form_library_access and ghost in spatial location.,,
MC-0038,The Mill Creek Contest,living_form,Living Form from Western boundary region,164,0.63,ghost,Ghost from Near Third Mill site,327,0.85,offspring expression,structural material,46.0,merger_attempt,21,0.93,pattern_b_won,0.87,absorbed,0.17,older_won,complex,pattern_a,921,Boundary Commission,form_analysis,0.77,Conflict between living_form and ghost in offspring expression.,,
MC-0039,The Mill Creek Contest,living_form,Living Form from Yeller Quarry eastern ridge,154,0.53,ghost,Ghost from Northern observation post,44,0.63,shared territory,living tissue,72.5,territory_contest,605,0.34,stalemate,,,0.25,older_won,complex,pattern_b,904,T. Vells,behavioral_tracking,0.84,Conflict between living_form and ghost in shared territory.,,
MC-0040,The Western Boundary Contest,living_form,Living Form from Deep Quarry tunnels,429,0.67,ghost,Ghost from Dens boundary zone,118,0.6,collective identity,behavioral repertoire,156.3,merger_attempt,8,0.35,pattern_a_won,0.67,persisted_weak,0.12,older_won,complex,pattern_b,929,Archive Survey Team,historical_reconstruction,0.77,Conflict between living_form and ghost in collective identity.,,
MC-0041,The Northern Quarry Contest,ghost,Ghost from Old mine entrance,31,0.25,form_library_access,Form Library Access from Trapper camp ruins,1,0.22,offspring expression,collective memory,86.6,oscillation,150,0.35,merger,0.22,absorbed,0.39,older_won,complex,pattern_b,894,K. Strand,behavioral_tracking,0.66,Conflict between ghost and form_library_access in offspring expression.,,
MC-0042,The Eastern Ridge Contest,form_library_access,Form Library Access from Northern observation post,1,0.56,inherited_memory,Inherited Memory from Mill Creek ravine,372,1.0,shared territory,spatial region,1.1,merger_attempt,745,1.0,stalemate,,,0.4,older_won,complex,pattern_a,930,R. Voss,historical_reconstruction,0.91,Conflict between form_library_access and inherited_memory in shared territory.,,
MC-0043,The Old Survey Camp Contest,form_library_access,Form Library Access from Old mine entrance,145,0.5,ghost,Ghost from Near Third Mill site,169,0.55,collective identity,spatial region,89.3,peaceful_coexistence,122,0.69,external_resolution,,,0.04,no_age_effect,no_strength_effect,pattern_a,895,R. Voss,historical_reconstruction,0.69,Conflict between form_library_access and ghost in collective identity.,,
MC-0044,The Mill Creek Contest,collective_pattern,Collective Pattern from Southern terraces,219,0.25,spatial_imprint,Spatial Imprint from Yeller Quarry eastern ridge,174,0.34,spatial location,structural material,14.3,dominance_struggle,803,0.99,mutual_destruction,,erased,0.95,no_age_effect,stronger_won,equal,916,M. Tall,scavenger_testimony,0.53,Conflict between collective_pattern and spatial_imprint in spatial location.,,
MC-0045,The Eastern Ridge Contest,living_form,Living Form from Southern terraces,200,0.7,ghost,Ghost from Dens boundary zone,244,0.74,spatial location,living tissue,77.9,oscillation,648,0.54,merger,0.63,absorbed,0.16,no_age_effect,no_strength_effect,unknown,927,T. Vells,direct_observation,0.89,Conflict between living_form and ghost in spatial location.,,
MC-0046,The Western Boundary Contest,collective_pattern,Collective Pattern from Trapper camp ruins,264,0.43,spatial_imprint,Spatial Imprint from Dens boundary zone,368,0.61,spatial location,spatial region,182.4,dominance_struggle,86,0.43,pattern_b_won,0.62,weakened,0.11,no_age_effect,stronger_won,pattern_a,905,C. Vells,scavenger_testimony,0.75,Conflict between collective_pattern and spatial_imprint in spatial location.,,
MC-0047,The Deep Tunnels Contest,spatial_imprint,Spatial Imprint from Trapper camp ruins,447,0.76,living_form,Living Form from Southern terraces,124,0.26,shared territory,collective memory,88.0,catastrophic,675,0.7,stalemate,,,0.25,older_won,complex,pattern_b,906,M. Tall,historical_reconstruction,0.8,Conflict between spatial_imprint and living_form in shared territory.,,
MC-0048,The Trapper's Rest Contest,living_form,Living Form from Dens boundary zone,254,0.47,spatial_imprint,Spatial Imprint from Western boundary region,211,0.26,collective identity,spatial region,184.0,territory_contest,43,0.28,partition,,,0.37,no_age_effect,stronger_won,pattern_a,917,Quarry Guild Records,behavioral_tracking,0.58,Conflict between living_form and spatial_imprint in collective identity.,,
MC-0049,The Trapper's Rest Contest,collective_pattern,Collective Pattern from Central processing area,446,0.5,living_form,Living Form from Trapper camp ruins,454,0.84,spatial location,spatial region,198.7,merger_attempt,966,0.48,pattern_b_won,0.84,displaced,0.37,no_age_effect,stronger_won,equal,916,Boundary Commission,scavenger_testimony,0.7,Conflict between collective_pattern and living_form in spatial location.,,
MC-0050,The Old Survey Camp Contest,inherited_memory,Inherited Memory from Northern observation post,218,0.33,form_library_access,Form Library Access from Dens boundary zone,81,0.85,offspring expression,collective memory,141.9,dominance_struggle,23,0.45,pattern_a_won,0.33,absorbed,0.33,older_won,complex,pattern_b,914,K. Strand,behavioral_tracking,0.89,Conflict between inherited_memory and form_library_access in offspring expression.,,
MC-0051,The Northern Quarry Contest,living_form,Living Form from Mill Creek ravine,27,0.54,spatial_imprint,Spatial Imprint from Capital Archives basement,443,0.3,spatial location,structural material,142.5,territory_contest,612,0.96,merger,0.51,absorbed,0.35,older_won,complex,pattern_b,898,M. Tall,form_analysis,0.76,Conflict between living_form and spatial_imprint in spatial location.,,
MC-0052,The Northern Quarry Contest,inherited_memory,Inherited Memory from Dens boundary zone,444,0.73,collective_pattern,Collective Pattern from Trapper camp ruins,400,0.92,shared territory,spatial region,157.7,merger_attempt,915,0.59,mutual_destruction,,erased,1.0,no_age_effect,no_strength_effect,pattern_a,926,R. Voss,form_analysis,0.67,Conflict between inherited_memory and collective_pattern in shared territory.,,
MC-0053,The Deep Tunnels Contest,form_library_access,Form Library Access from Deep Quarry tunnels,357,0.24,inherited_memory,Inherited Memory from Deep Quarry tunnels,335,0.22,shared territory,behavioral repertoire,106.4,dominance_struggle,300,0.56,stalemate,,,0.44,no_age_effect,no_strength_effect,pattern_a,918,T. Vells,direct_observation,0.92,Conflict between form_library_access and inherited_memory in shared territory.,,
MC-0054,The Eastern Ridge Contest,spatial_imprint,Spatial Imprint from Near Third Mill site,367,0.52,ghost,Ghost from Western boundary region,472,0.52,spatial location,living tissue,79.7,oscillation,646,0.38,pattern_b_won,0.56,persisted_weak,0.27,no_age_effect,no_strength_effect,pattern_a,899,S. Moll,direct_observation,0.9,Conflict between spatial_imprint and ghost in spatial location.,,
MC-0055,The Boundary Marker Seven Contest,spatial_imprint,Spatial Imprint from Western boundary region,470,0.3,form_library_access,Form Library Access from Old mine entrance,137,0.85,offspring expression,spatial region,41.7,territory_contest,434,0.88,stalemate,,,0.11,older_won,complex,pattern_b,924,C. Vells,historical_reconstruction,0.72,Conflict between spatial_imprint and form_library_access in offspring expression.,,
MC-0056,The Old Survey Camp Contest,spatial_imprint,Spatial Imprint from Old mine entrance,195,0.88,living_form,Living Form from Yeller Quarry eastern ridge,4,0.71,collective identity,behavioral repertoire,183.6,oscillation,898,0.93,pattern_a_won,0.88,displaced,0.47,older_won,complex,equal,897,Archive Survey Team,form_analysis,0.62,Conflict between spatial_imprint and living_form in collective identity.,,
MC-0057,The Boundary Marker Seven Contest,inherited_memory,Inherited Memory from Yeller Quarry eastern ridge,464,0.94,ghost,Ghost from Deep Quarry tunnels,288,0.5,same creature body,living tissue,22.5,merger_attempt,299,0.77,oscillation,,,0.41,older_won,complex,pattern_a,923,K. Strand,scavenger_testimony,0.79,Conflict between inherited_memory and ghost in same creature body.,,
MC-0058,The Northern Quarry Contest,spatial_imprint,Spatial Imprint from Southern terraces,326,0.25,inherited_memory,Inherited Memory from Mill Creek ravine,34,0.25,shared territory,living tissue,70.4,oscillation,916,0.61,pattern_a_won,0.26,displaced,0.18,older_won,complex,pattern_a,903,R. Voss,behavioral_tracking,0.71,Conflict between spatial_imprint and inherited_memory in shared territory.,,
MC-0059,The Third Mill Contest,inherited_memory,Inherited Memory from Near Third Mill site,25,0.23,form_library_access,Form Library Access from Central processing area,100,0.71,same creature body,structural material,103.7,merger_attempt,391,0.43,pattern_b_won,0.71,absorbed,0.32,older_won,complex,pattern_b,892,T. Vells,historical_reconstruction,0.86,Conflict between inherited_memory and form_library_access in same creature body.,,
MC-0060,The Eastern Ridge Contest,spatial_imprint,Spatial Imprint from Near Third Mill site,207,0.69,ghost,Ghost from Central processing area,459,0.76,shared territory,structural material,140.6,oscillation,96,0.29,stalemate,,,0.27,older_won,complex,unknown,926,R. Voss,historical_reconstruction,0.7,Conflict between spatial_imprint and ghost in shared territory.,,
MC-0061,The Western Boundary Contest,form_library_access,Form Library Access from Capital Archives basement,364,0.36,spatial_imprint,Spatial Imprint from Dens boundary zone,266,0.36,spatial location,living tissue,95.8,dominance_struggle,737,0.46,pattern_a_won,0.36,persisted_weak,0.18,no_age_effect,no_strength_effect,pattern_a,931,K. Strand,direct_observation,0.76,Conflict between form_library_access and spatial_imprint in spatial location.,,
MC-0062,The Eastern Ridge Contest,collective_pattern,Collective Pattern from Trapper camp ruins,225,0.32,inherited_memory,Inherited Memory from Old mine entrance,361,0.5,collective identity,spatial region,197.5,catastrophic,672,0.67,pattern_b_won,0.5,absorbed,0.26,older_won,complex,pattern_b,920,Independent Observer,scavenger_testimony,0.52,Conflict between collective_pattern and inherited_memory in collective identity.,,
MC-0063,The Mill Creek Contest,spatial_imprint,Spatial Imprint from Western boundary region,276,0.41,inherited_memory,Inherited Memory from Trapper camp ruins,416,0.54,offspring expression,structural material,121.3,territory_contest,5,0.85,pattern_b_won,0.54,persisted_weak,0.24,older_won,complex,pattern_b,914,Quarry Guild Records,scavenger_testimony,0.75,Conflict between spatial_imprint and inherited_memory in offspring expression.,,
MC-0064,The Third Mill Contest,spatial_imprint,Spatial Imprint from Southern terraces,130,0.26,living_form,Living Form from Trapper camp ruins,162,0.5,same creature body,spatial region,64.7,catastrophic,380,0.95,partition,,,0.14,no_age_effect,stronger_won,pattern_b,902,S. Moll,scavenger_testimony,0.91,Conflict between spatial_imprint and living_form in same creature body.,,
MC-0065,The Eastern Ridge Contest,collective_pattern,Collective Pattern from Southern terraces,453,0.87,living_form,Living Form from Capital Archives basement,369,0.71,shared territory,behavioral repertoire,173.1,territory_contest,973,0.59,partition,,,0.29,no_age_effect,no_strength_effect,pattern_a,898,Independent Observer,form_analysis,0.81,Conflict between collective_pattern and living_form in shared territory.,,
MC-0066,The Northern Quarry Contest,collective_pattern,Collective Pattern from Trapper camp ruins,258,0.51,spatial_imprint,Spatial Imprint from Deep Quarry tunnels,471,0.2,offspring expression,living tissue,2.7,dominance_struggle,150,0.39,oscillation,,,0.16,older_won,complex,equal,893,Independent Observer,historical_reconstruction,0.88,Conflict between collective_pattern and spatial_imprint in offspring expression.,,
MC-0067,The Archive Basement Contest,spatial_imprint,Spatial Imprint from Northern observation post,48,0.7,collective_pattern,Collective Pattern from Northern observation post,387,0.94,spatial location,living tissue,135.9,catastrophic,647,0.58,stalemate,,,0.25,older_won,complex,unknown,919,Quarry Guild Records,behavioral_tracking,0.52,Conflict between spatial_imprint and collective_pattern in spatial location.,,
MC-0068,The Trapper's Rest Contest,form_library_access,Form Library Access from Mill Creek ravine,348,0.62,spatial_imprint,Spatial Imprint from Old mine entrance,193,0.39,collective identity,collective memory,4.2,catastrophic,731,0.74,oscillation,,,0.48,older_won,complex,pattern_a,913,Archive Survey Team,historical_reconstruction,0.78,Conflict between form_library_access and spatial_imprint in collective identity.,,
MC-0069,The Trapper's Rest Contest,spatial_imprint,Spatial Imprint from Yeller Quarry eastern ridge,65,0.27,living_form,Living Form from Near Third Mill site,428,0.26,collective identity,spatial region,196.8,peaceful_coexistence,14,0.57,merger,0.25,absorbed,0.05,older_won,complex,pattern_b,911,R. Voss,scavenger_testimony,0.55,Conflict between spatial_imprint and living_form in collective identity.,,
MC-0070,The Archive Basement Contest,inherited_memory,Inherited Memory from Central processing area,381,0.28,ghost,Ghost from Trapper camp ruins,359,0.26,shared territory,structural material,2.8,catastrophic,34,0.46,stalemate,,,0.37,no_age_effect,no_strength_effect,unknown,925,Archive Survey Team,form_analysis,0.64,Conflict between inherited_memory and ghost in shared territory.,,
MC-0071,The Boundary Marker Seven Contest,form_library_access,Form Library Access from Northern observation post,183,0.92,form_library_access,Form Library Access from Mill Creek ravine,251,0.68,same creature body,collective memory,114.5,oscillation,584,0.27,partition,,,0.25,no_age_effect,stronger_won,pattern_a,914,Boundary Commission,form_analysis,0.87,Conflict between form_library_access and form_library_access in same creature body.,,
MC-0072,The Mill Creek Contest,ghost,Ghost from Mill Creek ravine,46,1.0,living_form,Living Form from Western boundary region,482,0.6,shared territory,structural material,85.2,territory_contest,798,0.61,merger,0.87,absorbed,0.23,older_won,complex,pattern_b,908,S. Moll,direct_observation,0.86,Conflict between ghost and living_form in shared territory.,,
MC-0073,The Eastern Ridge Contest,spatial_imprint,Spatial Imprint from Northern observation post,10,0.51,living_form,Living Form from Mill Creek ravine,279,0.24,collective identity,structural material,158.2,merger_attempt,89,0.67,merger,0.44,absorbed,0.43,older_won,complex,unknown,902,S. Moll,form_analysis,0.94,Conflict between spatial_imprint and living_form in collective identity.,,
MC-0074,The Eastern Ridge Contest,inherited_memory,Inherited Memory from Southern terraces,432,0.93,collective_pattern,Collective Pattern from Trapper camp ruins,335,0.51,shared territory,living tissue,18.8,dominance_struggle,59,1.0,mutual_destruction,,erased,0.86,no_age_effect,stronger_won,pattern_b,923,M. Tall,direct_observation,0.86,Conflict between inherited_memory and collective_pattern in shared territory.,,
MC-0075,The Western Boundary Contest,inherited_memory,Inherited Memory from Yeller Quarry eastern ridge,495,0.34,form_library_access,Form Library Access from Capital Archives basement,22,0.71,shared territory,collective memory,140.1,merger_attempt,67,0.47,pattern_a_won,0.35,erased,0.35,older_won,complex,pattern_b,904,R. Voss,historical_reconstruction,0.69,Conflict between inherited_memory and form_library_access in shared territory.,,
MC-0076,The Mill Creek Contest,living_form,Living Form from Old mine entrance,201,0.63,collective_pattern,Collective Pattern from Capital Archives basement,87,0.71,offspring expression,living tissue,28.9,territory_contest,691,1.0,oscillation,,,0.44,older_won,complex,equal,919,S. Moll,behavioral_tracking,0.91,Conflict between living_form and collective_pattern in offspring expression.,,
