failure_id,trajectory_id,intended_form_id,intended_form_name,intended_basin_id,failure_location_x,failure_location_y,failure_location_z,failure_basin_id,failure_type,severity,proximate_cause,contributing_factors,distance_from_target,distance_traveled,progress_percentage,final_state,recovery_attempted,recovery_successful,failure_year,documenter,documentation_source,confidence,description,lessons_learned,notes
NF-0024,NT-0084,MS-0059,Form 0059,BA-007,-0.0544,0.1918,0.6459,BA-039,wandering,0.462,competing_attractors,"prior_damage,low_stability",1.08,1.1147,89.1,recovered,False,,926,K. Strand,form_examination,0.93,System failed to reach intended destination due to competing_attractors.,Indicates boundary interference is more common near BA-039.,
NF-0025,,MS-0075,Form 0075,BA-014,0.2658,-0.1193,0.7071,BA-042,wrong_attractor,0.552,competing_attractors,"environmental_noise,weak_signal",1.0264,2.1091,0.1,ongoing_drift,True,False,919,C. Vells,aftermath_study,0.617,Trajectory terminated in ongoing_drift state after wrong_attractor event.,,
NF-0026,NT-0002,,,,0.6894,0.0967,0.2055,BA-028,infinite_loop,0.717,navigation_error,,,0.829,,alternative_arrival,False,,928,R. Voss,form_examination,0.663,System failed to reach intended destination due to navigation_error.,Suggests need for stronger attractor signals in this region.,
NF-0027,NT-0217,,,,-0.5007,0.773,0.6367,BA-007,ridge_block,0.503,weak_attractor_signal,low_stability,,1.4408,,stuck,False,,928,Boundary Commission,historical_inference,0.818,System failed to reach intended destination due to weak_attractor_signal.,Suggests need for stronger attractor signals in this region.,
NF-0028,,,,,0.551,0.3628,0.1328,BA-011,local_minimum,0.532,competing_attractors,weak_signal,,1.6944,,ongoing_drift,True,True,929,C. Vells,direct_observation,0.791,Trajectory terminated in ongoing_drift state after local_minimum event.,Highlights the danger of competing_attractors in navigation.,
NF-0029,,MS-0100,Form 0100,BA-043,-0.3765,-0.5827,-0.0864,BA-010,exhaustion,0.98,competing_attractors,,0.8758,2.9564,74.9,alternative_arrival,True,False,918,Boundary Commission,trajectory_analysis,0.71,System failed to reach intended destination due to competing_attractors.,Demonstrates importance of energy reserves for long trajectories.,
NF-0030,NT-0005,MS-0087,Form 0087,BA-024,0.9177,0.3744,-0.43,BA-035,reversal,0.532,unknown,"prior_damage,low_stability,environmental_noise",1.6239,2.6983,68.5,recovered,True,True,927,R. Voss,trajectory_analysis,0.938,Trajectory terminated in recovered state after reversal event.,Suggests need for stronger attractor signals in this region.,
NF-0031,,MS-0061,Form 0061,BA-027,-0.6633,-0.2477,-0.0259,BA-019,ridge_block,0.629,dens_proximity,weak_signal,1.1863,2.8569,65.3,recovered,False,,931,Archive Survey Team,direct_observation,0.656,Navigation failure of type 'ridge_block' observed at BA-019.,Highlights the danger of dens_proximity in navigation.,
NF-0032,,,,,-0.1066,-0.5583,0.5541,BA-033,infinite_loop,0.51,dens_proximity,,,2.6763,,stuck,True,False,927,Boundary Commission,historical_inference,0.933,System failed to reach intended destination due to dens_proximity.,Suggests need for stronger attractor signals in this region.,
NF-0033,,MS-0021,Form 0021,BA-009,0.0062,0.0836,0.3414,BA-029,wrong_attractor,0.342,boundary_interference,"low_stability,environmental_noise,weak_signal",0.2653,0.3407,45.6,dissolved,True,False,922,C. Vells,historical_inference,0.841,Navigation failure of type 'wrong_attractor' observed at BA-029.,Demonstrates importance of energy reserves for long trajectories.,
NF-0034,NT-0122,MS-0009,Form 0009,BA-035,-0.5916,-0.9327,-0.9223,inter-basin,wrong_attractor,0.574,insufficient_energy,,1.7823,2.5137,27.3,absorbed,False,,932,C. Vells,aftermath_study,0.891,Trajectory terminated in absorbed state after wrong_attractor event.,Suggests need for stronger attractor signals in this region.,
NF-0035,NT-0421,MS-0077,Form 0077,BA-032,0.052,-0.7785,0.7769,inter-basin,wandering,0.777,navigation_error,weak_signal,0.2158,0.7581,59.0,stuck,True,False,921,Boundary Commission,historical_inference,0.741,System failed to reach intended destination due to navigation_error.,,
NF-0036,NT-0390,MS-0073,Form 0073,BA-032,0.9586,-0.014,0.6182,BA-039,local_minimum,0.479,dens_proximity,"low_stability,environmental_noise",1.8726,0.8762,37.4,recovered,False,,926,Archive Survey Team,trajectory_analysis,0.589,Trajectory terminated in recovered state after local_minimum event.,,
NF-0037,,,,,-0.0399,-0.8109,0.4721,BA-012,ridge_block,0.709,unknown,"prior_damage,low_stability,environmental_noise",,1.515,,stuck,False,,923,K. Strand,aftermath_study,0.924,Trajectory terminated in stuck state after ridge_block event.,Suggests need for stronger attractor signals in this region.,
NF-0038,NT-0252,MS-0037,Form 0037,BA-012,0.8871,0.6108,0.7143,BA-044,dissolution,0.7,boundary_interference,,1.3342,2.1161,51.1,alternative_arrival,True,False,919,R. Voss,form_examination,0.654,Navigation failure of type 'dissolution' observed at BA-044.,,
NF-0039,NT-0042,,,,-0.2646,0.3901,0.1601,BA-009,exhaustion,0.926,competing_attractors,"low_stability,environmental_noise",,2.1074,,ongoing_drift,True,False,930,C. Vells,form_examination,0.693,Trajectory terminated in ongoing_drift state after exhaustion event.,,
NF-0040,,,,,0.5507,0.757,-0.0339,BA-008,reversal,0.495,dens_proximity,,,2.5664,,absorbed,True,False,918,Boundary Commission,aftermath_study,0.582,System failed to reach intended destination due to dens_proximity.,Suggests need for stronger attractor signals in this region.,
NF-0041,NT-0195,MS-0053,Form 0053,BA-022,-0.1274,-0.7571,0.8371,BA-024,interference,0.746,navigation_error,,0.781,0.5544,20.2,recovered,True,False,930,Boundary Commission,form_examination,0.847,Navigation failure of type 'interference' observed at BA-024.,Indicates boundary interference is more common near BA-024.,
NF-0042,,MS-0031,Form 0031,BA-031,-0.8995,0.4451,-0.9442,BA-041,local_minimum,0.478,boundary_interference,"low_stability,weak_signal",1.8762,2.4816,16.9,ongoing_drift,True,False,928,Archive Survey Team,aftermath_study,0.586,Trajectory terminated in ongoing_drift state after local_minimum event.,Highlights the danger of boundary_interference in navigation.,
NF-0043,,,,,-0.3144,-0.0287,0.4295,BA-012,ridge_block,0.543,insufficient_energy,low_stability,,0.512,,recovered,True,False,924,Archive Survey Team,historical_inference,0.572,Trajectory terminated in recovered state after ridge_block event.,,
NF-0044,NT-0187,,,,-0.8516,0.561,-0.0394,BA-007,local_minimum,0.564,dens_proximity,"prior_damage,low_stability",,1.5303,,stuck,True,True,926,R. Voss,historical_inference,0.682,Trajectory terminated in stuck state after local_minimum event.,Suggests need for stronger attractor signals in this region.,
NF-0045,NT-0065,MS-0081,Form 0081,BA-020,-0.7172,0.5884,0.5987,BA-024,local_minimum,0.507,insufficient_energy,prior_damage,1.2039,1.6739,57.1,alternative_arrival,True,False,922,R. Voss,aftermath_study,0.676,Navigation failure of type 'local_minimum' observed at BA-024.,Demonstrates importance of energy reserves for long trajectories.,
NF-0046,NT-0150,MS-0073,Form 0073,BA-032,0.1531,0.5363,0.1075,BA-048,exhaustion,0.905,environmental_noise,environmental_noise,1.0622,2.7744,59.1,alternative_arrival,True,False,922,Archive Survey Team,trajectory_analysis,0.75,Navigation failure of type 'exhaustion' observed at BA-048.,,
NF-0047,,MS-0071,Form 0071,BA-012,-0.9681,-0.9682,-0.8699,BA-039,wandering,0.413,competing_attractors,"prior_damage,low_stability,weak_signal",0.3108,2.3204,37.7,ongoing_drift,True,False,931,R. Voss,aftermath_study,0.736,System failed to reach intended destination due to competing_attractors.,Suggests need for stronger attractor signals in this region.,
NF-0048,NT-0294,MS-0080,Form 0080,BA-027,0.4882,-0.2843,0.7289,inter-basin,wandering,0.446,substrate_damage,prior_damage,1.615,1.3568,23.9,alternative_arrival,True,False,926,Boundary Commission,trajectory_analysis,0.898,Trajectory terminated in alternative_arrival state after wandering event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0049,NT-0060,MS-0016,Form 0016,BA-024,0.4224,0.1952,-0.6711,inter-basin,wrong_attractor,0.307,insufficient_energy,prior_damage,1.1805,0.1811,56.0,absorbed,True,False,923,C. Vells,aftermath_study,0.643,System failed to reach intended destination due to insufficient_energy.,Suggests need for stronger attractor signals in this region.,
NF-0050,,,,,-0.5841,0.9224,0.2787,inter-basin,reversal,0.59,navigation_error,prior_damage,,1.6368,,recovered,False,,920,Archive Survey Team,historical_inference,0.884,System failed to reach intended destination due to navigation_error.,Highlights the danger of navigation_error in navigation.,
NF-0051,,MS-0081,Form 0081,BA-020,-0.8742,-0.8938,0.4562,inter-basin,wandering,0.508,substrate_damage,,1.5998,0.3992,79.9,dissolved,True,False,931,K. Strand,historical_inference,0.787,System failed to reach intended destination due to substrate_damage.,Demonstrates importance of energy reserves for long trajectories.,
NF-0052,,MS-0049,Form 0049,BA-033,-0.2498,0.1328,0.6386,inter-basin,dissolution,0.895,unknown,prior_damage,1.7395,0.5209,12.5,dissolved,True,True,926,Boundary Commission,direct_observation,0.892,Navigation failure of type 'dissolution' observed at inter-basin.,,
NF-0053,NT-0148,,,,-0.063,-0.4095,-0.8435,BA-041,wrong_attractor,0.338,environmental_noise,,,2.0592,,stuck,True,False,931,Archive Survey Team,aftermath_study,0.697,Navigation failure of type 'wrong_attractor' observed at BA-041.,Highlights the danger of environmental_noise in navigation.,
NF-0054,NT-0352,MS-0074,Form 0074,BA-026,0.513,-0.0572,-0.7618,inter-basin,wandering,0.423,unknown,"prior_damage,environmental_noise,weak_signal",1.8594,1.6549,38.8,alternative_arrival,True,False,932,C. Vells,historical_inference,0.809,Trajectory terminated in alternative_arrival state after wandering event.,,
NF-0055,NT-0140,MS-0038,Form 0038,BA-038,0.8639,0.949,0.4837,BA-048,interference,0.405,competing_attractors,weak_signal,1.484,2.2443,77.1,ongoing_drift,False,,931,C. Vells,trajectory_analysis,0.823,Navigation failure of type 'interference' observed at BA-048.,Highlights the danger of competing_attractors in navigation.,
NF-0056,NT-0395,MS-0068,Form 0068,BA-039,-0.7963,-0.0747,0.7431,BA-035,dissolution,0.9,unknown,weak_signal,1.4101,2.524,15.1,stuck,True,False,922,Archive Survey Team,historical_inference,0.767,Navigation failure of type 'dissolution' observed at BA-035.,Suggests need for stronger attractor signals in this region.,
NF-0057,,,,,0.1283,-0.1804,0.5758,inter-basin,interference,0.581,unknown,prior_damage,,2.8602,,alternative_arrival,True,False,922,K. Strand,historical_inference,0.602,System failed to reach intended destination due to unknown.,Highlights the danger of unknown in navigation.,
NF-0058,NT-0175,,,,0.3714,-0.2132,-0.2407,inter-basin,interference,0.747,environmental_noise,low_stability,,1.1883,,alternative_arrival,False,,923,Boundary Commission,trajectory_analysis,0.636,Navigation failure of type 'interference' observed at inter-basin.,Demonstrates importance of energy reserves for long trajectories.,
NF-0059,,,,,-0.5605,0.6273,-0.9693,BA-026,wandering,0.619,boundary_interference,,,0.8862,,recovered,False,,931,R. Voss,historical_inference,0.835,Navigation failure of type 'wandering' observed at BA-026.,Suggests need for stronger attractor signals in this region.,
NF-0060,NT-0300,MS-0072,Form 0072,BA-037,0.9654,0.9131,0.3306,BA-020,ridge_block,0.45,unknown,,0.9858,2.9589,47.8,alternative_arrival,False,,924,Archive Survey Team,trajectory_analysis,0.636,Trajectory terminated in alternative_arrival state after ridge_block event.,Suggests need for stronger attractor signals in this region.,
NF-0061,,MS-0013,Form 0013,BA-023,-0.4465,-0.4356,0.903,BA-041,wandering,0.567,weak_attractor_signal,,1.0503,1.3693,57.8,stuck,True,False,930,Archive Survey Team,direct_observation,0.933,System failed to reach intended destination due to weak_attractor_signal.,,
NF-0062,,MS-0070,Form 0070,BA-037,0.0937,0.5744,-0.3525,BA-044,infinite_loop,0.732,weak_attractor_signal,"prior_damage,environmental_noise",0.665,1.1826,41.1,dissolved,True,True,919,Boundary Commission,trajectory_analysis,0.863,System failed to reach intended destination due to weak_attractor_signal.,,
NF-0063,NT-0008,MS-0066,Form 0066,BA-021,-0.2347,0.3425,0.3864,BA-024,dissolution,0.948,insufficient_energy,,1.2381,1.2389,7.1,stuck,False,,924,Boundary Commission,trajectory_analysis,0.901,System failed to reach intended destination due to insufficient_energy.,Highlights the danger of insufficient_energy in navigation.,
NF-0064,NT-0056,MS-0051,Form 0051,BA-046,0.6992,-0.0427,0.0943,BA-042,ridge_block,0.608,weak_attractor_signal,low_stability,1.1438,1.7584,7.5,recovered,True,False,918,Archive Survey Team,form_examination,0.509,System failed to reach intended destination due to weak_attractor_signal.,Highlights the danger of weak_attractor_signal in navigation.,
NF-0065,,MS-0035,Form 0035,BA-037,-0.3983,0.8701,0.4652,inter-basin,exhaustion,0.728,competing_attractors,prior_damage,0.4937,1.7463,60.7,ongoing_drift,False,,925,Boundary Commission,direct_observation,0.791,Navigation failure of type 'exhaustion' observed at inter-basin.,,
NF-0066,NT-0104,MS-0051,Form 0051,BA-046,0.6443,-0.8407,0.7594,inter-basin,interference,0.554,weak_attractor_signal,prior_damage,1.9524,0.2074,43.7,stuck,False,,931,K. Strand,direct_observation,0.563,Trajectory terminated in stuck state after interference event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0067,NT-0368,MS-0025,Form 0025,BA-028,-0.759,0.4243,-0.1472,BA-045,wandering,0.765,environmental_noise,prior_damage,1.0305,2.3139,3.0,recovered,True,False,921,C. Vells,historical_inference,0.528,Navigation failure of type 'wandering' observed at BA-045.,,
NF-0068,,MS-0012,Form 0012,BA-045,0.1495,0.4961,-0.5191,inter-basin,wrong_attractor,0.497,environmental_noise,prior_damage,1.813,2.337,40.7,alternative_arrival,True,False,932,C. Vells,direct_observation,0.627,System failed to reach intended destination due to environmental_noise.,,
NF-0069,,,,,-0.8706,0.9622,-0.7332,inter-basin,local_minimum,0.529,unknown,,,2.2612,,alternative_arrival,True,True,925,C. Vells,aftermath_study,0.822,Navigation failure of type 'local_minimum' observed at inter-basin.,,
NF-0070,NT-0431,,,,0.9637,0.4627,-0.6212,inter-basin,dissolution,0.793,weak_attractor_signal,weak_signal,,1.3212,,ongoing_drift,True,True,929,Archive Survey Team,aftermath_study,0.538,System failed to reach intended destination due to weak_attractor_signal.,Demonstrates importance of energy reserves for long trajectories.,
NF-0071,NT-0160,MS-0044,Form 0044,BA-020,-0.8157,0.0254,-0.6934,BA-026,ridge_block,0.632,unknown,,1.6284,2.752,2.1,stuck,False,,925,Archive Survey Team,aftermath_study,0.901,System failed to reach intended destination due to unknown.,Demonstrates importance of energy reserves for long trajectories.,
NF-0072,,MS-0061,Form 0061,BA-027,0.842,0.4101,0.6666,BA-001,wrong_attractor,0.551,competing_attractors,"low_stability,environmental_noise",1.1134,1.28,22.7,dissolved,True,False,931,K. Strand,form_examination,0.861,System failed to reach intended destination due to competing_attractors.,Suggests need for stronger attractor signals in this region.,
NF-0073,NT-0405,MS-0046,Form 0046,BA-029,-0.7619,0.8405,-0.7003,BA-036,local_minimum,0.306,unknown,weak_signal,0.3613,0.6503,93.6,recovered,False,,925,C. Vells,trajectory_analysis,0.907,Trajectory terminated in recovered state after local_minimum event.,Indicates boundary interference is more common near BA-036.,
NF-0074,NT-0237,,,,0.569,-0.6874,0.232,BA-036,interference,0.415,weak_attractor_signal,low_stability,,1.6961,,alternative_arrival,True,True,923,K. Strand,aftermath_study,0.624,Navigation failure of type 'interference' observed at BA-036.,Demonstrates importance of energy reserves for long trajectories.,
NF-0075,,MS-0054,Form 0054,BA-045,0.9547,-0.9308,0.9579,inter-basin,ridge_block,0.745,insufficient_energy,"prior_damage,low_stability,environmental_noise",0.3501,1.2352,83.7,stuck,False,,927,Boundary Commission,historical_inference,0.555,Trajectory terminated in stuck state after ridge_block event.,Indicates boundary interference is more common near inter-basin.,
NF-0076,NT-0300,MS-0032,Form 0032,BA-024,0.3558,0.7056,0.1925,BA-029,wrong_attractor,0.465,boundary_interference,,0.8807,0.7181,49.0,stuck,True,True,927,R. Voss,form_examination,0.898,System failed to reach intended destination due to boundary_interference.,Suggests need for stronger attractor signals in this region.,
NF-0077,NT-0323,,,,0.8111,-0.8043,-0.236,BA-023,dissolution,0.854,unknown,"environmental_noise,weak_signal",,0.1147,,alternative_arrival,False,,918,R. Voss,trajectory_analysis,0.714,Trajectory terminated in alternative_arrival state after dissolution event.,Highlights the danger of unknown in navigation.,
NF-0078,NT-0138,,,,0.9123,0.8126,0.9056,inter-basin,interference,0.738,environmental_noise,"low_stability,weak_signal",,0.7507,,alternative_arrival,True,True,930,K. Strand,trajectory_analysis,0.83,Navigation failure of type 'interference' observed at inter-basin.,Demonstrates importance of energy reserves for long trajectories.,
NF-0079,NT-0070,MS-0060,Form 0060,BA-031,-0.1579,-0.1216,0.7051,inter-basin,wandering,0.549,weak_attractor_signal,low_stability,1.325,1.9539,79.3,stuck,False,,925,C. Vells,historical_inference,0.633,System failed to reach intended destination due to weak_attractor_signal.,Demonstrates importance of energy reserves for long trajectories.,
NF-0080,NT-0431,MS-0024,Form 0024,BA-024,-0.4736,0.0334,0.422,inter-basin,wandering,0.796,competing_attractors,,1.2682,1.3364,14.7,alternative_arrival,False,,931,Boundary Commission,direct_observation,0.772,Navigation failure of type 'wandering' observed at inter-basin.,Demonstrates importance of energy reserves for long trajectories.,
NF-0081,,,,,0.1419,-0.8911,-0.2457,BA-036,local_minimum,0.466,navigation_error,"prior_damage,low_stability",,1.5902,,recovered,False,,928,C. Vells,form_examination,0.89,Trajectory terminated in recovered state after local_minimum event.,Highlights the danger of navigation_error in navigation.,
NF-0082,,MS-0019,Form 0019,BA-021,-0.7149,-0.1547,0.3799,inter-basin,ridge_block,0.744,navigation_error,,0.8189,1.9231,44.7,recovered,False,,919,Boundary Commission,aftermath_study,0.734,Trajectory terminated in recovered state after ridge_block event.,Highlights the danger of navigation_error in navigation.,
NF-0083,NT-0254,,,,-0.6077,-0.3149,0.5286,BA-009,ridge_block,0.481,boundary_interference,"prior_damage,weak_signal",,0.7564,,recovered,True,True,923,Archive Survey Team,direct_observation,0.74,Trajectory terminated in recovered state after ridge_block event.,Highlights the danger of boundary_interference in navigation.,
NF-0084,NT-0005,MS-0078,Form 0078,BA-015,0.9189,-0.3494,0.2829,inter-basin,dissolution,0.873,boundary_interference,prior_damage,0.1639,2.6092,44.1,recovered,True,False,926,Boundary Commission,trajectory_analysis,0.502,Navigation failure of type 'dissolution' observed at inter-basin.,,
NF-0085,,,,,0.333,0.4613,-0.9911,BA-021,wandering,0.47,insufficient_energy,weak_signal,,1.2309,,stuck,False,,930,R. Voss,historical_inference,0.512,Navigation failure of type 'wandering' observed at BA-021.,Highlights the danger of insufficient_energy in navigation.,
NF-0086,,MS-0092,Form 0092,BA-003,-0.1336,-0.1414,0.8933,inter-basin,interference,0.478,environmental_noise,environmental_noise,1.3203,2.9169,47.5,alternative_arrival,True,False,926,K. Strand,trajectory_analysis,0.563,Trajectory terminated in alternative_arrival state after interference event.,Indicates boundary interference is more common near inter-basin.,
NF-0087,NT-0181,,,,-0.8506,-0.1115,0.572,BA-033,local_minimum,0.588,boundary_interference,prior_damage,,2.8541,,recovered,False,,924,Archive Survey Team,trajectory_analysis,0.674,Trajectory terminated in recovered state after local_minimum event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0088,,,,,0.0043,-0.6774,-0.1756,BA-030,ridge_block,0.459,insufficient_energy,,,1.6198,,recovered,True,True,925,K. Strand,aftermath_study,0.509,Trajectory terminated in recovered state after ridge_block event.,Suggests need for stronger attractor signals in this region.,
NF-0089,NT-0482,MS-0037,Form 0037,BA-012,0.7122,0.4978,-0.9485,BA-018,local_minimum,0.483,substrate_damage,,0.207,1.6155,54.4,recovered,True,True,918,R. Voss,direct_observation,0.903,System failed to reach intended destination due to substrate_damage.,,
NF-0090,NT-0349,MS-0097,Form 0097,BA-042,0.3684,-0.7557,0.6422,BA-001,exhaustion,0.808,competing_attractors,weak_signal,1.8519,2.8906,45.7,alternative_arrival,False,,922,C. Vells,aftermath_study,0.644,Navigation failure of type 'exhaustion' observed at BA-001.,Indicates boundary interference is more common near BA-001.,
NF-0091,,MS-0077,Form 0077,BA-032,0.5527,0.0359,0.6409,inter-basin,wrong_attractor,0.581,competing_attractors,,0.8491,2.1492,15.1,stuck,True,False,929,K. Strand,direct_observation,0.53,Trajectory terminated in stuck state after wrong_attractor event.,,
NF-0092,,MS-0081,Form 0081,BA-020,-0.1469,-0.4253,-0.658,BA-010,local_minimum,0.487,unknown,"low_stability,environmental_noise",1.3755,0.789,0.7,recovered,False,,919,C. Vells,form_examination,0.75,System failed to reach intended destination due to unknown.,Suggests need for stronger attractor signals in this region.,
NF-0093,NT-0386,MS-0058,Form 0058,BA-022,-0.7618,-0.5192,0.2619,BA-008,wrong_attractor,0.366,competing_attractors,,0.6588,1.5511,80.1,recovered,False,,931,Archive Survey Team,direct_observation,0.907,Trajectory terminated in recovered state after wrong_attractor event.,,
