survey_id,year,cartographer,target_system,layer_name,component_type,circuit_status,activation_pattern,sparsity_index,interpretability_score,causal_importance,notes
MC-019,922,Tessyn Korr,Multiplication Engine,mlp,hidden_activations,identified,sinusoidal,0.69,0.87,0.92,"Product of frequencies"
MC-020,922,Vorn Tessyn,Residual Flow Study,residual,stream_0,mapped,direct,0.88,0.95,0.65,"Initial token representation preserved"
MC-021,922,Vorn Tessyn,Residual Flow Study,residual,stream_1,mapped,mixed,0.62,0.78,0.82,"Post-attention mixing"
MC-022,922,Vorn Tessyn,Residual Flow Study,residual,stream_2,mapped,transformed,0.71,0.85,0.91,"Post-MLP computation result"
MC-023,923,Tessyn Korr,Ablation Series A,embedding,freq_14_removal,ablated,degraded,0.45,0.92,0.15,"Key frequency ablation - major impact"
MC-024,923,Tessyn Korr,Ablation Series A,embedding,freq_35_removal,ablated,degraded,0.52,0.94,0.18,"Second frequency ablation"
MC-025,923,Tessyn Korr,Ablation Series A,embedding,freq_42_removal,ablated,degraded,0.48,0.91,0.12,"Critical frequency - largest impact"
MC-026,923,Tessyn Korr,Ablation Series A,mlp,neuron_batch_1,ablated,partial_function,0.71,0.88,0.35,"Non-critical neurons"
MC-027,923,Tessyn Korr,Ablation Series A,mlp,neuron_batch_2,ablated,significant_loss,0.38,0.85,0.72,"Sinusoidal neurons - high impact"
MC-028,923,Tessyn Korr,Ablation Series B,attention,head_0,ablated,minimal_impact,0.89,0.93,0.22,"Redundant head"
MC-029,923,Tessyn Korr,Ablation Series B,attention,head_1,ablated,moderate_impact,0.67,0.91,0.55,"Position routing head"
MC-030,923,Tessyn Korr,Ablation Series B,attention,head_2,ablated,critical_loss,0.31,0.88,0.89,"Main computation head"
MC-031,924,Tessyn Korr,Progress Measure Study,full_model,epoch_1000,transitioning,memorization,0.25,0.45,0.88,"Early training - memorization phase"
MC-032,924,Tessyn Korr,Progress Measure Study,full_model,epoch_3000,transitioning,mixed,0.48,0.62,0.91,"Circuit formation beginning"
MC-033,924,Tessyn Korr,Progress Measure Study,full_model,epoch_5000,transitioning,emerging,0.61,0.73,0.93,"Algorithm strengthening"
MC-034,924,Tessyn Korr,Progress Measure Study,full_model,epoch_7000,transitioning,near_complete,0.78,0.85,0.95,"Pre-grokking state"
MC-035,924,Tessyn Korr,Progress Measure Study,full_model,epoch_9000,complete,generalized,0.85,0.92,0.97,"Post-grokking - full algorithm"
MC-036,924,Mira Tessyn,Interference Patterns,attention,cross_position,identified,interference,0.58,0.71,0.82,"Position 0 to position 2 flow"
MC-037,924,Mira Tessyn,Interference Patterns,mlp,neuron_groups,clustered,frequency_specific,0.72,0.84,0.88,"Neurons cluster by frequency"
MC-038,924,Mira Tessyn,Interference Patterns,output,logit_space,identified,constructive,0.81,0.91,0.95,"Frequency interference creates peak"
MC-039,924,Tessyn Korr,Weight Decay Effects,full_model,low_decay,partial,overfitting,0.35,0.55,0.72,"Insufficient regularization"
MC-040,924,Tessyn Korr,Weight Decay Effects,full_model,optimal_decay,complete,generalized,0.82,0.91,0.96,"Optimal weight decay setting"
MC-041,924,Tessyn Korr,Weight Decay Effects,full_model,high_decay,partial,underfitting,0.91,0.78,0.45,"Excessive regularization"
MC-042,925,Tessyn Korr,Final Synthesis,modular_addition,complete_circuit,verified,fourier_multiplication,0.79,0.94,0.98,"Full algorithm documented"
MC-043,925,Tessyn Korr,Final Synthesis,modular_division,complete_circuit,verified,inverse_fourier,0.74,0.89,0.95,"Inverse operation variant"
MC-044,925,Tessyn Korr,Final Synthesis,modular_multiplication,complete_circuit,verified,double_fourier,0.77,0.91,0.96,"Multiplicative variant"
MC-045,925,Guild Review,Cross-Validation,all_operations,consensus_circuit,validated,universal_pattern,0.81,0.93,0.97,"Cross-operation validation complete"
