journey_id,traveler_id,traveler_type,start_year,end_year,start_place_id,end_place_id,sequence_places,sequence_boroughs,primary_outcome,total_distance_km,total_physical_risk,total_symbolic_risk,max_symbolic_risk,visited_mirado,visited_deadriver,visited_northo,loops_back_to_start
20,trav_0020,archivist,2032,2032,CAPIT_INNER_TENEME,CAPIT_SENATE_SQUAR,CAPIT_INNER_TENEME;DENSM_DENSMOK_STRI;YELLE_QUARRY_RIM_S;CAPIT_SENATE_SQUAR;YELLE_BONE_HUSK_MA;YELLE_OLD_ROPE_BRI;CAPIT_PAPER_BINDER;YELLE_FLOODED_SINK;CAPIT_SENATE_SQUAR,Capital;Densmok;Yeller;Capital;Yeller;Yeller;Capital;Yeller;Capital,archivist,151.88,42.0,45.5,7.5,False,False,False,True
21,trav_0021,novice,2031,2031,NORTH_NORTH_RIDGE_,DEADR_DEAD_RIVER_E,NORTH_NORTH_RIDGE_;CAPIT_OUTER_ARCHIV;NORTH_HOUSE_OF_THE;MIRAD_TOWER_LEVEL_;CAPIT_CITY_WALL_EA;CAPEA_RIVERSLAND_S;DENSM_OLD_QUARRY_R;YELLE_STALL_TOWN_B;DEADR_DEAD_RIVER_E,Northo;Capital;Northo;Mirado;Capital;Capeast;Densmok;Yeller;Deadriver,saint,181.15,31.0,51.0,9.5,True,True,True,False
22,trav_0022,senator,2032,2032,CAPIT_OUTER_ARCHIV,NORTH_HOUSE_OF_STO,CAPIT_OUTER_ARCHIV;DEADR_BROKEN_DEADR;MIRAD_MIRADO_STICK;NORTH_NORTHO_GATEH;CAPIT_PAPER_BINDER;NORTH_HOUSE_OF_STO,Capital;Deadriver;Mirado;Northo;Capital;Northo,saint,104.83,19.5,36.0,8.5,True,True,True,False
23,trav_0023,senator,2037,2037,CAPIT_INNER_TENEME,NORTH_HOUSE_OF_STO,CAPIT_INNER_TENEME;DENSM_OLD_QUARRY_R;CAPEA_CAPEAST_STRI;DEADR_DEAD_RIVER_W;CAPEA_CAPEAST_ARTE;MIRAD_TOWER_LEVEL_;CAPIT_KACHOT_CARDH;NORTH_HOUSE_OF_STO,Capital;Densmok;Capeast;Deadriver;Capeast;Mirado;Capital;Northo,saint,131.74,32.0,40.0,7.5,True,True,True,False
24,trav_0024,archivist,2037,2037,CAPIT_SENATE_SQUAR,CAPIT_CITY_WALL_EA,CAPIT_SENATE_SQUAR;CAPEA_CAPEAST_ARTE;CAPIT_CITY_WALL_QU;DENSM_DENSMOK_HILL;CAPEA_RIVERSLAND_H;CAPIT_CITY_WALL_EA,Capital;Capeast;Capital;Densmok;Capeast;Capital,ordinary,105.78,17.0,21.5,5.0,False,False,False,True
25,trav_0025,trader,2038,2039,DENSM_OVERPASS_GRA,MIRAD_MIRADO_CAMPG,DENSM_OVERPASS_GRA;CAPIT_CITY_WALL_QU;NORTH_NORTHO_MARKE;CAPIT_OUTER_ARCHIV;DEADR_DEAD_RIVER_W;MIRAD_MIRADO_CAMPG,Densmok;Capital;Northo;Capital;Deadriver;Mirado,saint,92.17,18.5,33.5,8.0,True,True,True,False
26,trav_0026,senator,2038,2038,CAPIT_CENTRAL_ARCH,DEADR_DEADRIVER_SH,CAPIT_CENTRAL_ARCH;NORTH_NORTHO_GATEH;CAPIT_DEADRIVER_FE;MIRAD_TOWER_LEVEL_;DEADR_FERRYMANS_DO;YELLE_TRAP_FIELDS_;DEADR_DEADRIVER_SH,Capital;Northo;Capital;Mirado;Deadriver;Yeller;Deadriver,saint,115.76,27.5,46.0,9.5,True,True,True,False
27,trav_0027,mapmaker,2030,2030,CAPIT_CITY_WALL_EA,DEADR_DEAD_RIVER_W,CAPIT_CITY_WALL_EA;DENSM_DENSMOK_STRI;CAPEA_CAPEAST_WALM;MIRAD_TOWER_LEVEL_;CAPIT_CAPITAL_TRAI;DENSM_DENSMOK_BUS_;MIRAD_TOWER_LEVEL_;DEADR_DEADRIVER_SH;YELLE_FLOODED_SINK;DEADR_DEAD_RIVER_W,Capital;Densmok;Capeast;Mirado;Capital;Densmok;Mirado;Deadriver;Yeller;Deadriver,missing,165.46,43.5,56.5,9.0,True,True,False,False
28,trav_0028,novice,2031,2031,NORTH_NORTH_RIDGE_,MIRAD_MIRADO_CAMPG,NORTH_NORTH_RIDGE_;CAPIT_DEADRIVER_FE;DEADR_BROKEN_DEADR;YELLE_STALL_TOWN_B;CAPIT_OUTER_ARCHIV;NORTH_NORTHO_MARKE;MIRAD_MIRADO_CAMPG,Northo;Capital;Deadriver;Yeller;Capital;Northo;Mirado,saint,115.37,24.5,42.0,8.0,True,True,True,False
29,trav_0029,mapmaker,2030,2030,CAPIT_CAPITAL_TRAI,NORTH_HOUSE_OF_THE,CAPIT_CAPITAL_TRAI;NORTH_HOUSE_OF_THE;MIRAD_TOWER_LEVEL_;DEADR_DEADRIVER_SH;CAPIT_OUTER_ARCHIV;MIRAD_TOWER_LEVEL_;DEADR_BROKEN_DEADR;MIRAD_TOWER_LEVEL_;NORTH_HOUSE_OF_THE,Capital;Northo;Mirado;Deadriver;Capital;Mirado;Deadriver;Mirado;Northo,saint,158.47,38.5,68.5,9.5,True,True,True,False
30,trav_0030,trader,2038,2038,DENSM_DENSMOK_BUS_,YELLE_QUARRY_RIM_S,DENSM_DENSMOK_BUS_;CAPIT_OUTER_ARCHIV;CAPEA_DUSTY_SOCCER;MIRAD_TOWER_LEVEL_;CAPIT_PAPER_BINDER;CAPEA_CAPEAST_STRI;MIRAD_MIRADO_CAMPG;NORTH_NORTH_RIDGE_;CAPIT_CITY_WALL_QU;CAPEA_RIVERSLAND_H;YELLE_QUARRY_RIM_S,Densmok;Capital;Capeast;Mirado;Capital;Capeast;Mirado;Northo;Capital;Capeast;Yeller,archivist,200.8,35.0,56.5,8.0,True,False,True,False
31,trav_0031,archivist,2031,2031,CAPIT_CITY_WALL_QU,NORTH_NORTHO_MARKE,CAPIT_CITY_WALL_QU;DEADR_DEAD_RIVER_W;CAPEA_DUSTY_SOCCER;MIRAD_MIRADO_GATE_;CAPIT_SENATE_SQUAR;NORTH_NORTHO_GATEH;MIRAD_TOWER_LEVEL_;DEADR_DEADRIVER_SH;CAPIT_SENATE_SQUAR;NORTH_NORTHO_MARKE,Capital;Deadriver;Capeast;Mirado;Capital;Northo;Mirado;Deadriver;Capital;Northo,saint,164.64,36.5,66.5,9.0,True,True,True,False
32,trav_0032,novice,2036,2036,CAPIT_DEADRIVER_FE,CAPIT_DEADRIVER_FE,CAPIT_DEADRIVER_FE;DEADR_FERRYMANS_DO;CAPEA_CAPEAST_YOUT;CAPIT_DEADRIVER_FE,Capital;Deadriver;Capeast;Capital,ordinary,54.84,10.0,20.0,8.0,False,True,False,True
33,trav_0033,trader,2034,2034,YELLE_TRAP_FIELDS_,DEADR_FERRYMANS_DO,YELLE_TRAP_FIELDS_;DEADR_DEAD_RIVER_W;CAPEA_MIRADO_STICK;DEADR_DEAD_RIVER_W;DEADR_FERRYMANS_DO;CAPIT_KACHOT_CARDH;CAPIT_CENTRAL_ARCH;CAPIT_KACHOT_CARDH;CAPEA_RIVERSLAND_S;DEADR_FERRYMANS_DO,Yeller;Deadriver;Capeast;Deadriver;Deadriver;Capital;Capital;Capital;Capeast;Deadriver,missing,144.12,38.0,60.0,9.0,False,True,False,False
34,trav_0034,teen,2032,2032,DENSM_DENSMOK_HILL,CAPIT_CENTRAL_ARCH,DENSM_DENSMOK_HILL;YELLE_QUARRY_RIM_S;CAPIT_INNER_TENEME;CAPEA_DEAD_RIVER_O;DEADR_DEAD_RIVER_E;CAPIT_CENTRAL_ARCH,Densmok;Yeller;Capital;Capeast;Deadriver;Capital,witch,93.4,24.0,28.5,8.5,False,True,False,False
35,trav_0035,trader,2033,2033,YELLE_YELLER_GUIDE,DEADR_BROKEN_DEADR,YELLE_YELLER_GUIDE;CAPIT_KACHOT_CARDH;DENSM_OLD_QUARRY_R;YELLE_STALL_TOWN_W;DEADR_BROKEN_DEADR,Yeller;Capital;Densmok;Yeller;Deadriver,missing,93.96,18.0,20.0,7.0,False,True,False,False
36,trav_0036,novice,2036,2036,NORTH_NORTHO_MARKE,NORTH_NORTHO_MARKE,NORTH_NORTHO_MARKE;MIRAD_MIRADO_STICK;NORTH_COLLAPSED_CH;CAPIT_CITY_WALL_QU;NORTH_NORTHO_MARKE,Northo;Mirado;Northo;Capital;Northo,saint,76.92,17.0,29.0,8.0,True,False,True,True
37,trav_0037,trader,2039,2039,YELLE_FLOODED_SINK,DEADR_DEADRIVER_SH,YELLE_FLOODED_SINK;YELLE_OLD_ROPE_BRI;DEADR_DEAD_RIVER_W;CAPEA_DEAD_RIVER_O;CAPIT_SENATE_SQUAR;DEADR_DEADRIVER_SH;MIRAD_TOWER_LEVEL_;DEADR_DEAD_RIVER_E;CAPIT_SENATE_SQUAR;DEADR_DEADRIVER_SH,Yeller;Yeller;Deadriver;Capeast;Capital;Deadriver;Mirado;Deadriver;Capital;Deadriver,missing,171.57,47.0,71.0,9.5,True,True,False,False
38,trav_0038,trader,2037,2037,DENSM_DENSMOK_BUS_,CAPIT_CITY_WALL_EA,DENSM_DENSMOK_BUS_;YELLE_STALL_TOWN_B;CAPIT_KACHOT_CARDH;CAPEA_CAPEAST_WALM;DEADR_BROKEN_DEADR;MIRAD_TOWER_LEVEL_;CAPIT_CITY_WALL_EA,Densmok;Yeller;Capital;Capeast;Deadriver;Mirado;Capital,archivist,115.62,29.0,36.5,9.5,True,True,False,False
39,trav_0039,teen,2030,2030,CAPEA_CAPEAST_STRI,YELLE_OLD_ROPE_BRI,CAPEA_CAPEAST_STRI;CAPIT_SENATE_SQUAR;YELLE_BONE_HUSK_MA;CAPIT_DEADRIVER_FE;CAPEA_DEAD_RIVER_O;DENSM_OVERPASS_GRA;YELLE_OLD_ROPE_BRI,Capeast;Capital;Yeller;Capital;Capeast;Densmok;Yeller,ordinary,126.13,25.0,35.5,6.5,False,False,False,False
40,trav_0040,trader,2035,2035,DENSM_OLD_QUARRY_R,CAPEA_MIRADO_STICK,DENSM_OLD_QUARRY_R;DEADR_DEADRIVER_SH;CAPIT_PAPER_BINDER;CAPIT_SENATE_SQUAR;DEADR_DEAD_RIVER_E;CAPIT_CENTRAL_ARCH;MIRAD_TOWER_LEVEL_;DEADR_DEAD_RIVER_W;CAPIT_KACHOT_CARDH;CAPIT_CENTRAL_ARCH;CAPEA_MIRADO_STICK,Densmok;Deadriver;Capital;Capital;Deadriver;Capital;Mirado;Deadriver;Capital;Capital;Capeast,burned_out,176.34,39.5,73.0,9.5,True,True,False,False
41,trav_0041,trader,2033,2033,DENSM_OLD_QUARRY_R,DEADR_DEADRIVER_SH,DENSM_OLD_QUARRY_R;YELLE_STALL_TOWN_W;CAPIT_SENATE_SQUAR;MIRAD_MIRADO_GATE_;CAPIT_DEADRIVER_FE;DEADR_DEADRIVER_SH,Densmok;Yeller;Capital;Mirado;Capital;Deadriver,missing,91.84,19.5,33.5,8.0,True,True,False,False
42,trav_0042,mapmaker,2034,2034,CAPEA_CAPEAST_USED,DEADR_BROKEN_DEADR,CAPEA_CAPEAST_USED;DENSM_OLD_QUARRY_R;DEADR_DEAD_RIVER_W;CAPEA_CAPEAST_STRI;CAPIT_CAPITAL_TRAI;DEADR_BROKEN_DEADR;YELLE_OLD_ROPE_BRI;CAPIT_CITY_WALL_QU;DEADR_BROKEN_DEADR;CAPIT_SENATE_SQUAR;YELLE_OLD_ROPE_BRI;DEADR_BROKEN_DEADR,Capeast;Densmok;Deadriver;Capeast;Capital;Deadriver;Yeller;Capital;Deadriver;Capital;Yeller;Deadriver,missing,216.85,60.0,71.0,8.0,False,True,False,False
43,trav_0043,teen,2033,2033,CAPEA_CAPEAST_STRI,YELLE_OLD_ROPE_BRI,CAPEA_CAPEAST_STRI;CAPIT_OUTER_ARCHIV;YELLE_FLOODED_SINK;DEADR_DEAD_RIVER_W;CAPEA_RIVERSLAND_S;DEADR_DEADRIVER_SH;YELLE_OLD_ROPE_BRI,Capeast;Capital;Yeller;Deadriver;Capeast;Deadriver;Yeller,witch,111.56,30.0,39.5,8.5,False,True,False,False
44,trav_0044,trader,2036,2036,YELLE_QUARRY_RIM_S,CAPIT_PAPER_BINDER,YELLE_QUARRY_RIM_S;CAPIT_INNER_TENEME;CAPEA_CAPEAST_ARTE;DEADR_BROKEN_DEADR;CAPIT_PAPER_BINDER,Yeller;Capital;Capeast;Deadriver;Capital,archivist,81.01,20.5,20.5,7.0,False,True,False,False
45,trav_0045,senator,2031,2031,CAPIT_PAPER_BINDER,DEADR_DEAD_RIVER_W,CAPIT_PAPER_BINDER;NORTH_HOUSE_OF_THE;CAPIT_KACHOT_CARDH;YELLE_BONE_HUSK_MA;DEADR_DEAD_RIVER_W,Capital;Northo;Capital;Yeller;Deadriver,missing,76.73,17.0,27.0,7.5,False,True,True,False
46,trav_0046,novice,2032,2032,NORTH_NORTHO_MARKE,NORTH_NORTHO_MARKE,NORTH_NORTHO_MARKE;CAPIT_CITY_WALL_QU;DEADR_FERRYMANS_DO;MIRAD_MIRADO_STICK;NORTH_NORTHO_MARKE;CAPIT_PAPER_BINDER;MIRAD_MIRADO_GATE_;CAPIT_CAPITAL_TRAI;NORTH_NORTHO_MARKE,Northo;Capital;Deadriver;Mirado;Northo;Capital;Mirado;Capital;Northo,saint,144.59,30.0,55.0,8.5,True,True,True,True
47,trav_0047,teen,2035,2035,CAPEA_DUSTY_SOCCER,CAPEA_DEAD_RIVER_O,CAPEA_DUSTY_SOCCER;DENSM_OVERPASS_GRA;CAPIT_CITY_WALL_EA;CAPEA_DEAD_RIVER_O,Capeast;Densmok;Capital;Capeast,burned_out,66.53,10.0,14.5,6.0,False,False,False,True
48,trav_0048,teen,2033,2033,DENSM_DENSMOK_STRI,DENSM_OLD_QUARRY_R,DENSM_DENSMOK_STRI;CAPEA_CAPEAST_YOUT;CAPIT_PAPER_BINDER;DENSM_OLD_QUARRY_R,Densmok;Capeast;Capital;Densmok,burned_out,54.6,7.5,12.0,4.5,False,False,False,True
49,trav_0049,mapmaker,2030,2030,CAPEA_CAPEAST_WALM,CAPIT_INNER_TENEME,CAPEA_CAPEAST_WALM;DEADR_DEAD_RIVER_W;CAPEA_CAPEAST_YOUT;MIRAD_TOWER_LEVEL_;DEADR_BROKEN_DEADR;CAPIT_INNER_TENEME,Capeast;Deadriver;Capeast;Mirado;Deadriver;Capital,witch,94.82,25.0,35.5,9.5,True,True,False,False
50,trav_0050,trader,2030,2030,CAPIT_PAPER_BINDER,YELLE_YELLER_QUARR,CAPIT_PAPER_BINDER;MIRAD_TOWER_LEVEL_;NORTH_NORTHO_MARKE;CAPIT_CITY_WALL_QU;YELLE_YELLER_GUIDE;YELLE_YELLER_QUARR,Capital;Mirado;Northo;Capital;Yeller;Yeller,archivist,80.15,21.5,34.0,8.5,True,False,True,False
51,trav_0051,novice,2039,2039,NORTH_TRIAL_FIELD_,DEADR_DEADRIVER_SH,NORTH_TRIAL_FIELD_;MIRAD_MIRADO_CAMPG;NORTH_HOUSE_OF_STO;CAPIT_INNER_TENEME;CAPEA_CAPEAST_USED;DEADR_DEADRIVER_SH,Northo;Mirado;Northo;Capital;Capeast;Deadriver,saint,93.13,18.5,30.0,7.5,True,True,True,False
52,trav_0052,archivist,2036,2036,CAPIT_OUTER_ARCHIV,MIRAD_MIRADO_GATE_,CAPIT_OUTER_ARCHIV;MIRAD_MIRADO_GATE_;DEADR_DEAD_RIVER_W;MIRAD_MIRADO_GATE_,Capital;Mirado;Deadriver;Mirado,burned_out,47.37,13.0,25.5,9.0,True,True,False,False
53,trav_0053,mapmaker,2034,2034,CAPIT_PAPER_BINDER,CAPEA_CAPEAST_STRI,CAPIT_PAPER_BINDER;DEADR_FERRYMANS_DO;MIRAD_TOWER_LEVEL_;DEADR_FERRYMANS_DO;CAPEA_MIRADO_STICK;CAPIT_OUTER_ARCHIV;CAPEA_CAPEAST_STRI,Capital;Deadriver;Mirado;Deadriver;Capeast;Capital;Capeast,witch,127.63,24.0,43.5,9.5,True,True,False,False
54,trav_0054,trader,2036,2036,DENSM_DENSMOK_BUS_,DEADR_BROKEN_DEADR,DENSM_DENSMOK_BUS_;CAPEA_RIVERSLAND_H;CAPIT_PAPER_BINDER;DEADR_BROKEN_DEADR;CAPIT_SENATE_SQUAR;CAPIT_CAPITAL_TRAI;MIRAD_MIRADO_GATE_;YELLE_STALL_TOWN_W;DEADR_DEAD_RIVER_E;DEADR_BROKEN_DEADR,Densmok;Capeast;Capital;Deadriver;Capital;Capital;Mirado;Yeller;Deadriver;Deadriver,missing,147.93,38.0,57.0,9.0,True,True,False,False
55,trav_0055,trader,2036,2036,YELLE_STALL_TOWN_B,CAPIT_KACHOT_CARDH,YELLE_STALL_TOWN_B;YELLE_TRAP_FIELDS_;YELLE_TRAP_FIELDS_;DEADR_DEAD_RIVER_E;CAPIT_CITY_WALL_QU;CAPIT_SENATE_SQUAR;NORTH_NORTH_RIDGE_;CAPIT_INNER_TENEME;DEADR_DEADRIVER_SH;CAPIT_PAPER_BINDER;DENSM_OVERPASS_GRA;CAPIT_KACHOT_CARDH,Yeller;Yeller;Yeller;Deadriver;Capital;Capital;Northo;Capital;Deadriver;Capital;Densmok;Capital,archivist,158.96,52.0,67.0,8.0,False,True,True,False
56,trav_0056,trader,2037,2037,DENSM_OVERPASS_GRA,YELLE_OLD_ROPE_BRI,DENSM_OVERPASS_GRA;DEADR_DEADRIVER_SH;CAPIT_CENTRAL_ARCH;CAPEA_CAPEAST_STRI;YELLE_YELLER_QUARR;CAPIT_CITY_WALL_EA;CAPIT_SENATE_SQUAR;DEADR_DEAD_RIVER_E;CAPEA_CAPEAST_ARTE;DENSM_OLD_QUARRY_R;YELLE_OLD_ROPE_BRI,Densmok;Deadriver;Capital;Capeast;Yeller;Capital;Capital;Deadriver;Capeast;Densmok;Yeller,archivist,201.31,46.0,60.5,8.0,False,True,False,False
57,trav_0057,novice,2036,2036,NORTH_NORTHO_GATEH,MIRAD_MIRADO_GATE_,NORTH_NORTHO_GATEH;CAPIT_CITY_WALL_QU;NORTH_HOUSE_OF_STO;MIRAD_MIRADO_GATE_,Northo;Capital;Northo;Mirado,ordinary,59.1,10.5,22.0,8.5,True,False,True,False
