measurement_id,collective_id,collective_name,individual_level_avg,collective_level,integration_score,level_emergence,communication_channels,response_coordination,memory_distribution,goal_coherence,turnover_resilience,component_count,scale_levels_spanned,federation_depth,emergent_goals,self_preservation,adaptive_reorganization,boundary_maintenance,component_horizon_days_avg,collective_horizon_days,horizon_multiplication,measurement_year,measurer,method,confidence,notes
IM-0011,AG-0020,Western Mill Crew,3.7,4.0,0.37,0.3,11,0.3,0.28,0.31,0.35,649,2,1,False,False,False,False,1682.7,7908.5,4.7,938,Boundary Commission,behavioral_inference,0.83,
IM-0012,AG-0076,Digger Colony 44,1.7,2.2,0.42,0.5,11,0.49,0.26,0.6,0.33,110,3,1,False,False,False,False,565.7,2941.6,5.2,929,T. Crost,anster_modified,0.62,
IM-0013,AG-0044,Central Navigation Guild,2.7,3.0,0.25,0.3,2,0.42,0.27,0.36,0.32,1207,3,2,False,False,False,False,593.8,2078.2,3.5,926,O. Venn,mord_protocol,0.72,
IM-0014,AG-0087,Capital Navigation Guild,2.6,3.7,0.81,1.1,7,0.82,0.9,0.91,0.69,1529,4,4,True,True,True,False,586.8,5340.0,9.1,917,T. Crost,mord_protocol,0.76,
IM-0015,AG-0017,Western Scholar Assembly,3.3,4.1,0.59,0.8,16,0.4,0.6,0.56,0.45,4850,4,1,True,False,True,False,1264.3,8723.3,6.9,939,Colony Observation Unit,communication_analysis,0.72,
IM-0016,AG-0067,Western Mill Crew,3.8,4.5,0.86,0.7,12,1.0,0.74,0.44,0.39,2171,1,3,False,True,True,True,2807.2,26948.9,9.6,921,T. Crost,anster_modified,0.87,
IM-0017,AG-0022,Boundary Boundary Watch,1.5,2.5,0.79,1.0,4,0.61,0.9,0.62,0.13,3026,1,4,True,False,False,False,2871.4,25555.4,8.9,925,P. Anster,mord_protocol,0.81,
IM-0018,AG-0089,Capital The Archive,2.1,2.5,0.31,0.4,2,0.49,0.13,0.34,0.14,4816,1,3,False,False,False,False,1890.2,7749.9,4.1,919,O. Venn,communication_analysis,0.67,
IM-0019,AG-0021,Capital Scholar Assembly,3.4,3.9,0.32,0.5,10,0.41,0.32,0.46,0.17,4892,3,5,False,False,False,False,3155.1,13251.4,4.2,920,Colony Observation Unit,communication_analysis,0.9,
IM-0020,AG-0088,Boundary Survey Team,2.3,3.3,0.71,1.0,12,0.64,0.52,0.65,0.78,2553,1,2,True,False,True,True,453.5,3673.7,8.1,930,Klutch CC Research,anster_modified,0.79,
IM-0021,AG-0051,Klutch CC Class of 900,2.1,3.3,0.84,1.2,20,0.73,0.46,0.55,0.22,2192,4,2,True,True,False,True,2963.5,27856.5,9.4,926,T. Crost,communication_analysis,0.72,
IM-0022,AG-0033,Western Trade Coalition,3.9,4.5,0.91,0.6,18,0.81,0.92,1.0,0.95,3461,4,2,True,True,False,True,836.0,8444.0,10.1,919,P. Anster,structural_mapping,0.8,
IM-0023,AG-0078,Eastern Preservation Committee,3.2,4.5,0.75,1.3,16,0.78,0.89,0.62,0.46,812,1,4,True,True,False,True,316.2,2687.8,8.5,937,Klutch CC Research,communication_analysis,0.93,
IM-0024,AG-0035,Capital The Archive,2.6,3.3,0.38,0.7,12,0.38,0.21,0.42,0.16,2201,2,1,False,False,False,False,2747.2,13186.8,4.8,926,Independent Observer,anster_modified,0.91,
IM-0025,AG-0037,Digger Colony 34,2.6,3.3,0.53,0.7,10,0.66,0.28,0.48,0.57,2471,1,5,True,False,False,True,1556.8,9808.1,6.3,930,P. Anster,communication_analysis,0.93,
IM-0026,AG-0030,Capital Navigation Guild,2.9,3.6,0.45,0.7,14,0.47,0.29,0.31,0.16,81,4,3,False,False,False,False,1632.8,8980.5,5.5,932,O. Venn,mord_protocol,0.67,
IM-0027,AG-0010,Western Trade Coalition,3.8,4.5,0.77,0.7,8,0.4,0.47,0.34,0.48,17,1,5,True,True,False,False,1903.1,16557.3,8.7,935,T. Mord,communication_analysis,0.91,
IM-0028,AG-0022,Eastern Scholar Assembly,3.3,4.5,0.92,1.2,5,0.33,1.0,0.36,1.0,308,2,1,True,True,True,True,1960.5,19997.2,10.2,937,M. Strand,communication_analysis,0.62,
IM-0029,AG-0054,Archive Annex 14,2.5,3.2,0.85,0.7,21,0.73,1.0,0.55,0.66,3577,1,4,True,True,True,True,413.1,3924.9,9.5,919,Independent Observer,anster_modified,0.88,
IM-0030,AG-0021,Western Research Circle,3.9,4.5,0.88,0.6,20,0.28,0.2,0.44,0.1,1898,4,1,True,False,False,True,2232.3,21876.6,9.8,935,Colony Observation Unit,behavioral_inference,0.63,
IM-0031,AG-0064,Western Research Circle,1.9,2.7,0.44,0.8,8,0.47,0.32,0.43,0.35,2966,1,4,False,False,True,False,3232.2,17454.1,5.4,933,M. Strand,mord_protocol,0.92,
IM-0032,AG-0083,Capital Preservation Committee,3.4,4.3,0.53,0.9,13,0.33,0.21,0.54,0.24,4714,4,2,True,False,False,True,1182.3,7448.3,6.3,925,Colony Observation Unit,mord_protocol,0.67,
IM-0033,AG-0004,Central Survey Team,1.8,2.1,0.41,0.3,11,0.46,0.35,0.53,0.49,2371,1,3,False,False,False,False,1705.0,8695.6,5.1,937,P. Anster,mord_protocol,0.8,
IM-0034,AG-0064,Capital Boundary Watch,3.9,4.4,0.48,0.5,10,0.6,0.34,0.61,0.49,964,3,3,False,False,False,False,2600.5,15083.0,5.8,930,Independent Observer,structural_mapping,0.9,
IM-0035,AG-0006,Eastern Research Circle,2.4,3.5,0.94,1.1,21,0.45,1.0,0.39,0.32,4274,3,3,False,True,True,True,1128.8,11739.2,10.4,914,T. Crost,anster_modified,0.89,
IM-0036,AG-0020,Capital The Archive,1.6,2.2,0.7,0.6,12,0.75,0.13,0.63,0.64,3798,2,4,True,True,True,True,2678.6,21428.9,8.0,934,T. Crost,anster_modified,0.9,
IM-0037,AG-0076,Central Research Circle,1.9,2.6,0.59,0.7,15,0.35,0.58,0.54,0.61,3123,3,2,False,False,False,True,3518.3,24275.9,6.9,932,Boundary Commission,communication_analysis,0.92,
IM-0038,AG-0086,Eastern Trade Coalition,2.1,3.0,0.66,0.9,16,0.29,0.29,0.73,0.39,2644,1,2,True,True,True,True,2591.3,19694.1,7.6,930,Independent Observer,structural_mapping,0.9,
IM-0039,AG-0002,Central The Archive,3.4,3.8,0.24,0.4,3,0.26,0.47,0.36,0.24,1519,2,1,False,False,False,False,3475.8,11817.6,3.4,922,P. Anster,mord_protocol,0.86,
IM-0040,AG-0010,Digger Colony 7,3.7,4.5,0.8,0.8,6,0.85,1.0,0.64,0.58,2169,1,4,False,True,True,True,3380.4,30423.2,9.0,931,Colony Observation Unit,structural_mapping,0.66,
IM-0041,AG-0062,Klutch CC Class of 902,2.3,2.8,0.32,0.5,2,0.42,0.29,0.4,0.2,4561,1,1,False,False,False,False,3169.8,13313.0,4.2,926,M. Strand,mord_protocol,0.94,
IM-0042,AG-0012,Eastern Research Circle,3.6,4.3,0.43,0.7,8,0.27,0.19,0.46,0.52,888,4,4,False,False,False,False,1121.2,5942.1,5.3,921,Klutch CC Research,mord_protocol,0.91,
IM-0043,AG-0087,Western Navigation Guild,2.9,3.5,0.73,0.6,11,0.48,0.39,0.52,0.3,3064,4,5,False,True,True,False,2199.1,18252.7,8.3,918,Colony Observation Unit,communication_analysis,0.75,
IM-0044,AG-0006,Archive Annex 15,3.1,4.0,0.83,0.9,15,0.98,0.55,0.5,0.64,107,2,1,True,True,False,True,2658.4,24723.4,9.3,914,Klutch CC Research,mord_protocol,0.6,
IM-0045,AG-0058,Eastern The Archive,2.4,3.5,0.88,1.1,13,0.97,0.51,0.85,0.32,4408,1,5,True,True,False,True,1024.8,10042.6,9.8,935,T. Crost,mord_protocol,0.68,
IM-0046,AG-0010,Boundary Research Circle,3.5,3.7,0.2,0.2,4,0.26,0.29,0.37,0.14,829,3,2,False,False,False,False,2781.8,8345.4,3.0,927,O. Venn,structural_mapping,0.89,
IM-0047,AG-0081,Digger Colony 22,2.5,3.1,0.7,0.6,9,0.28,0.58,0.87,0.53,4270,4,3,True,True,True,True,251.7,2013.4,8.0,940,P. Anster,communication_analysis,0.86,
IM-0048,AG-0065,Capital Mill Crew,1.6,2.5,0.51,0.9,10,0.65,0.4,0.7,0.51,977,1,4,False,False,True,True,2737.9,16701.0,6.1,923,Independent Observer,anster_modified,0.92,
IM-0049,AG-0080,Archive Annex 2,1.6,2.5,0.67,0.9,15,0.62,0.68,0.63,0.75,3277,1,1,True,True,False,True,2269.8,17477.7,7.7,924,Independent Observer,behavioral_inference,0.9,
IM-0050,AG-0087,Klutch CC Class of 928,2.7,3.3,0.5,0.6,13,0.4,0.41,0.64,0.29,2288,4,1,False,False,True,False,37.5,224.8,6.0,938,Independent Observer,anster_modified,0.94,
IM-0051,AG-0010,Western Trade Coalition,4.0,4.5,0.93,0.5,7,0.52,0.48,0.59,0.21,2414,4,3,False,True,True,True,2929.5,30173.4,10.3,926,P. Anster,communication_analysis,0.76,
IM-0052,AG-0016,Western Survey Team,1.6,2.7,0.92,1.1,16,0.2,0.87,0.74,0.18,815,2,1,True,False,True,True,2619.3,26717.0,10.2,923,Independent Observer,mord_protocol,0.93,
IM-0053,AG-0024,Central Trade Coalition,3.6,4.5,0.77,0.9,8,0.63,0.5,0.65,0.86,2458,2,2,True,True,True,False,3034.9,26404.0,8.7,938,O. Venn,mord_protocol,0.74,
IM-0054,AG-0013,Central Preservation Committee,3.0,3.7,0.4,0.7,13,0.47,0.26,0.34,0.14,1285,2,3,False,False,False,False,136.6,682.9,5.0,937,M. Strand,anster_modified,0.62,
IM-0055,AG-0058,Boundary Boundary Watch,4.0,4.5,0.95,0.5,16,1.0,1.0,0.91,0.56,2228,1,3,True,True,False,True,2483.4,26075.4,10.5,933,P. Anster,communication_analysis,0.79,
IM-0056,AG-0015,Archive Annex 2,2.5,2.8,0.29,0.3,7,0.41,0.47,0.36,0.37,1558,2,3,False,False,False,False,2476.1,9656.7,3.9,925,O. Venn,mord_protocol,0.64,
IM-0057,AG-0064,Boundary Research Circle,1.7,2.1,0.26,0.4,3,0.22,0.25,0.45,0.32,403,3,2,False,False,False,False,322.4,1160.8,3.6,920,Independent Observer,structural_mapping,0.75,
IM-0058,AG-0039,Eastern Trade Coalition,2.3,3.2,0.84,0.9,8,0.98,0.29,0.46,0.26,4676,3,1,False,True,True,True,3128.4,29406.6,9.4,936,Boundary Commission,communication_analysis,0.68,
IM-0059,AG-0074,Klutch CC Class of 903,1.7,2.1,0.29,0.4,8,0.46,0.52,0.39,0.32,734,4,1,False,False,False,False,1093.1,4263.0,3.9,923,O. Venn,mord_protocol,0.73,
IM-0060,AG-0025,Digger Colony 15,3.2,4.0,0.45,0.8,2,0.39,0.5,0.35,0.32,1287,3,5,False,False,True,False,1654.2,9098.2,5.5,929,Klutch CC Research,behavioral_inference,0.73,
IM-0061,AG-0023,Archive Annex 7,3.5,4.3,0.83,0.8,15,0.26,0.88,0.86,0.7,647,4,1,True,True,True,True,1117.7,10395.0,9.3,930,M. Strand,anster_modified,0.74,
IM-0062,AG-0041,Digger Colony 8,2.6,4.0,0.9,1.4,11,0.51,0.48,0.36,0.48,2870,2,2,True,False,True,True,2127.3,21273.5,10.0,939,Colony Observation Unit,mord_protocol,0.9,
IM-0063,AG-0024,Western Mill Crew,3.8,4.5,0.72,0.7,16,0.63,0.86,0.38,0.68,1564,1,5,True,True,True,True,2180.5,17879.8,8.2,931,Colony Observation Unit,anster_modified,0.64,
IM-0064,AG-0015,Eastern Trade Coalition,2.4,3.3,0.64,0.9,3,0.45,0.46,0.57,0.4,370,1,3,True,True,False,False,848.0,6275.1,7.4,913,Boundary Commission,anster_modified,0.63,
IM-0065,AG-0040,Digger Colony 15,2.2,3.0,0.52,0.8,5,0.53,0.41,0.51,0.5,2262,4,2,True,False,False,True,3139.8,19466.9,6.2,921,T. Crost,anster_modified,0.84,
IM-0066,AG-0033,Central Mill Crew,3.5,4.0,0.53,0.5,11,0.32,0.76,0.38,0.37,2763,1,5,True,False,True,False,603.6,3802.6,6.3,923,P. Anster,anster_modified,0.7,
IM-0067,AG-0035,Western Navigation Guild,2.3,2.6,0.22,0.3,5,0.34,0.15,0.4,0.19,926,2,4,False,False,False,False,2772.2,8871.2,3.2,924,T. Crost,communication_analysis,0.71,
IM-0068,AG-0085,Digger Colony 44,3.6,4.0,0.52,0.4,10,0.4,0.79,0.71,0.29,3413,3,1,True,False,True,False,504.9,3130.7,6.2,922,Archive Survey Team,behavioral_inference,0.71,
IM-0069,AG-0089,Boundary Scholar Assembly,2.9,3.6,0.43,0.7,10,0.44,0.19,0.33,0.35,3445,2,3,False,False,True,False,2492.9,13212.5,5.3,915,O. Venn,structural_mapping,0.77,
IM-0070,AG-0049,Western Mill Crew,2.4,3.5,0.66,1.1,14,0.32,0.55,0.43,0.73,2601,1,4,False,True,False,True,808.9,6147.4,7.6,917,T. Crost,communication_analysis,0.63,
IM-0071,AG-0035,Eastern The Archive,3.5,4.5,0.72,1.0,12,0.52,0.45,0.86,0.53,2769,2,2,True,True,True,True,498.5,4088.0,8.2,919,O. Venn,mord_protocol,0.92,
IM-0072,AG-0095,Eastern Research Circle,3.7,4.4,0.48,0.7,8,0.49,0.73,0.34,0.11,4781,2,3,False,False,False,False,1470.2,8527.0,5.8,920,Klutch CC Research,anster_modified,0.82,
IM-0073,AG-0045,Western Scholar Assembly,3.1,3.3,0.28,0.2,10,0.29,0.29,0.45,0.18,4652,1,3,False,False,False,False,1010.5,3839.9,3.8,914,T. Crost,behavioral_inference,0.8,
IM-0074,AG-0058,Boundary Boundary Watch,3.4,4.1,0.73,0.7,17,0.77,0.75,0.46,0.24,1579,4,2,True,True,False,False,1203.1,9985.7,8.3,928,T. Crost,mord_protocol,0.75,
IM-0075,AG-0002,Digger Colony 43,3.9,4.2,0.24,0.3,4,0.24,0.13,0.34,0.3,1809,3,2,False,False,False,False,2731.5,9287.0,3.4,914,P. Anster,anster_modified,0.8,
IM-0076,AG-0098,Boundary The Archive,3.6,4.5,0.66,0.9,17,0.78,0.53,0.7,0.72,2189,3,4,True,True,True,True,1822.5,13851.2,7.6,940,O. Venn,anster_modified,0.81,
IM-0077,AG-0092,Boundary Mill Crew,2.2,2.8,0.59,0.6,10,0.26,0.72,0.67,0.47,1705,4,4,True,False,True,True,2035.9,14047.5,6.9,923,M. Strand,behavioral_inference,0.71,
IM-0078,AG-0055,Eastern Mill Crew,3.5,4.2,0.42,0.7,6,0.24,0.37,0.46,0.26,1774,2,5,False,False,False,False,3314.3,17234.4,5.2,919,Colony Observation Unit,structural_mapping,0.76,
IM-0079,AG-0004,Western Boundary Watch,3.8,4.5,0.9,0.7,19,0.27,1.0,0.64,0.45,425,4,5,False,False,False,True,3051.0,30509.9,10.0,929,P. Anster,anster_modified,0.77,
IM-0080,AG-0053,Boundary Navigation Guild,3.8,4.5,0.57,0.7,3,0.45,0.27,0.72,0.59,634,1,4,False,False,True,False,659.1,4416.2,6.7,920,T. Crost,communication_analysis,0.77,
IM-0081,AG-0089,Western Trade Coalition,1.6,2.7,0.68,1.1,15,0.25,0.71,0.73,0.32,3709,4,2,True,True,False,True,1546.7,12064.6,7.8,915,Klutch CC Research,communication_analysis,0.61,
IM-0082,AG-0033,Capital Navigation Guild,2.9,3.9,0.88,1.0,12,0.65,0.11,0.67,0.88,2076,1,4,True,True,True,True,1432.5,14038.6,9.8,918,O. Venn,structural_mapping,0.95,
IM-0083,AG-0074,Eastern Mill Crew,1.7,3.1,0.91,1.4,13,0.74,0.8,1.0,0.27,2788,2,2,True,False,True,False,3356.2,33897.5,10.1,922,O. Venn,behavioral_inference,0.93,
IM-0084,AG-0080,Western Trade Coalition,2.6,3.2,0.45,0.6,14,0.28,0.56,0.59,0.33,3541,2,2,False,False,True,False,2962.5,16293.8,5.5,914,T. Crost,behavioral_inference,0.78,
IM-0085,AG-0060,Capital The Archive,2.8,3.4,0.45,0.6,4,0.29,0.38,0.59,0.22,1036,1,3,False,False,True,False,166.9,918.1,5.5,918,Klutch CC Research,behavioral_inference,0.72,
IM-0086,AG-0050,Capital Preservation Committee,3.4,3.8,0.48,0.4,7,0.46,0.28,0.54,0.32,2780,2,2,False,False,False,False,2561.4,14856.3,5.8,915,T. Crost,anster_modified,0.72,
IM-0087,AG-0045,Digger Colony 31,2.3,3.5,0.79,1.2,7,0.53,0.42,0.34,0.53,3797,4,5,False,True,False,True,1952.9,17380.6,8.9,912,T. Crost,mord_protocol,0.82,
IM-0088,AG-0005,Eastern Mill Crew,4.0,4.5,0.79,0.5,8,0.6,0.34,0.52,0.65,1598,1,3,False,True,False,True,676.2,6018.0,8.9,914,O. Venn,anster_modified,0.67,
IM-0089,AG-0060,Western Preservation Committee,2.9,4.1,0.73,1.2,8,0.42,0.28,0.93,0.71,3734,4,2,True,True,True,False,126.4,1048.7,8.3,916,P. Anster,anster_modified,0.69,
IM-0090,AG-0034,Boundary Scholar Assembly,3.1,4.0,0.55,0.9,3,0.44,0.26,0.41,0.37,4067,4,4,True,False,True,True,1173.6,7628.3,6.5,937,Colony Observation Unit,communication_analysis,0.75,
IM-0091,AG-0077,Central Survey Team,2.2,3.7,0.86,1.5,12,1.0,0.62,0.61,0.56,4467,1,5,True,True,False,True,3607.7,34633.5,9.6,929,T. Crost,structural_mapping,0.82,
IM-0092,AG-0086,Klutch CC Class of 921,3.5,4.5,0.77,1.0,18,0.82,0.13,0.47,0.54,339,3,4,True,True,True,True,1583.7,13778.3,8.7,937,Archive Survey Team,mord_protocol,0.85,
IM-0093,AG-0013,Western Scholar Assembly,3.8,4.5,0.52,0.7,4,0.63,0.47,0.42,0.26,2578,3,4,True,False,True,True,891.2,5525.2,6.2,914,Independent Observer,communication_analysis,0.9,
IM-0094,AG-0094,Archive Annex 8,2.6,3.3,0.68,0.7,7,0.26,0.22,0.57,0.1,1451,3,5,False,True,False,True,2145.1,16731.5,7.8,912,M. Strand,anster_modified,0.94,
IM-0095,AG-0068,Central Boundary Watch,1.6,2.0,0.25,0.4,7,0.36,0.13,0.43,0.21,4773,2,1,False,False,False,False,1581.8,5536.4,3.5,929,Boundary Commission,behavioral_inference,0.84,
IM-0096,AG-0031,Central Scholar Assembly,3.3,3.9,0.49,0.6,10,0.24,0.13,0.49,0.2,3296,2,4,False,False,False,False,1673.0,9870.7,5.9,928,T. Mord,communication_analysis,0.66,
IM-0097,AG-0057,Boundary Navigation Guild,3.1,3.7,0.79,0.6,4,0.38,0.22,0.64,0.49,4995,4,3,True,True,True,True,2615.1,23274.1,8.9,925,Klutch CC Research,mord_protocol,0.79,
IM-0098,AG-0025,Eastern Trade Coalition,2.7,3.1,0.22,0.4,8,0.42,0.16,0.31,0.23,4850,3,1,False,False,False,False,1871.4,5988.3,3.2,912,Boundary Commission,behavioral_inference,0.79,
IM-0099,AG-0100,Central Scholar Assembly,2.0,2.3,0.28,0.3,7,0.37,0.38,0.38,0.32,88,3,5,False,False,False,False,168.8,641.6,3.8,921,Klutch CC Research,mord_protocol,0.94,
IM-0100,AG-0092,Western Scholar Assembly,1.7,2.1,0.55,0.4,9,0.32,0.55,0.35,0.47,4153,1,4,True,False,False,False,421.7,2741.0,6.5,926,O. Venn,behavioral_inference,0.62,
IM-0101,AG-0061,Eastern The Archive,1.7,2.7,0.91,1.0,12,0.84,0.83,1.0,0.81,3055,3,3,True,True,True,False,2866.9,28955.8,10.1,929,Archive Survey Team,structural_mapping,0.84,
IM-0102,AG-0047,Eastern Preservation Committee,1.5,2.1,0.36,0.6,11,0.52,0.47,0.45,0.24,99,3,1,False,False,False,False,1855.1,8533.5,4.6,917,Boundary Commission,mord_protocol,0.79,
IM-0103,AG-0093,Klutch CC Class of 901,1.7,2.1,0.53,0.4,3,0.2,0.21,0.48,0.35,478,3,3,True,False,True,True,2619.6,16503.6,6.3,937,Archive Survey Team,structural_mapping,0.69,
IM-0104,AG-0094,Capital Preservation Committee,1.5,1.7,0.21,0.2,9,0.26,0.43,0.31,0.25,4508,2,4,False,False,False,False,2020.1,6262.5,3.1,916,M. Strand,anster_modified,0.84,
IM-0105,AG-0097,Archive Annex 8,1.8,3.2,0.93,1.4,11,0.4,0.6,1.0,0.58,995,2,2,True,False,False,True,2743.8,28260.9,10.3,918,Klutch CC Research,anster_modified,0.95,
IM-0106,AG-0051,Capital Survey Team,2.5,3.2,0.58,0.7,4,0.54,0.3,0.55,0.58,1243,2,5,True,False,True,False,3541.1,24079.7,6.8,912,O. Venn,behavioral_inference,0.72,
IM-0107,AG-0044,Central Survey Team,3.9,4.5,0.75,0.6,18,0.49,0.51,0.39,0.3,4563,3,2,False,True,False,False,385.7,3278.0,8.5,927,T. Crost,anster_modified,0.75,
IM-0108,AG-0026,Capital Survey Team,3.7,4.5,0.65,0.8,7,0.26,0.9,0.43,0.66,4366,1,1,False,True,True,False,2829.8,21223.8,7.5,924,T. Crost,structural_mapping,0.77,
IM-0109,AG-0027,Boundary Navigation Guild,3.6,3.9,0.31,0.3,2,0.27,0.55,0.35,0.3,1259,2,2,False,False,False,False,637.1,2612.3,4.1,912,Boundary Commission,anster_modified,0.95,
IM-0110,AG-0059,Western Trade Coalition,2.3,3.4,0.74,1.1,16,0.77,0.62,0.49,0.19,2088,1,3,False,True,True,True,1483.0,12456.9,8.4,915,Boundary Commission,behavioral_inference,0.71,
IM-0111,AG-0013,Archive Annex 14,1.6,3.0,0.86,1.4,8,1.0,0.96,0.66,0.41,4671,3,3,False,True,True,False,824.2,7912.6,9.6,924,O. Venn,mord_protocol,0.89,
IM-0112,AG-0010,Klutch CC Class of 926,2.6,3.0,0.35,0.4,11,0.52,0.49,0.49,0.2,1198,1,3,False,False,False,False,218.0,981.1,4.5,915,M. Strand,behavioral_inference,0.89,
IM-0113,AG-0098,Eastern Mill Crew,2.4,2.7,0.35,0.3,11,0.44,0.34,0.38,0.43,4716,2,1,False,False,False,False,3424.1,15408.6,4.5,933,Independent Observer,communication_analysis,0.88,
IM-0114,AG-0069,Western Survey Team,3.1,4.5,0.85,1.4,21,0.46,0.9,0.92,0.33,258,4,1,True,True,True,False,2379.1,22601.8,9.5,932,Klutch CC Research,mord_protocol,0.72,
IM-0115,AG-0022,Boundary Scholar Assembly,3.7,4.5,0.84,0.8,10,0.99,0.2,0.96,0.28,4429,2,1,True,False,False,False,3405.0,32007.2,9.4,918,M. Strand,structural_mapping,0.78,
IM-0116,AG-0061,Boundary Research Circle,1.8,3.3,0.84,1.5,2,1.0,0.79,0.55,0.47,4338,2,4,True,True,True,False,1121.6,10543.2,9.4,937,T. Mord,anster_modified,0.61,
IM-0117,AG-0088,Central Navigation Guild,3.9,4.5,0.67,0.6,6,0.28,0.14,0.78,0.3,2548,2,3,True,True,True,True,1652.1,12721.5,7.7,925,M. Strand,behavioral_inference,0.67,
IM-0118,AG-0030,Eastern The Archive,1.5,2.0,0.66,0.5,16,0.4,0.92,0.48,0.58,1061,4,4,True,True,False,True,3158.6,24005.5,7.6,928,Colony Observation Unit,mord_protocol,0.9,
IM-0119,AG-0038,Capital Trade Coalition,3.2,3.7,0.36,0.5,4,0.36,0.37,0.32,0.14,2092,1,1,False,False,False,False,2617.1,12038.5,4.6,935,P. Anster,mord_protocol,0.91,
IM-0120,AG-0094,Eastern Preservation Committee,2.2,3.1,0.87,0.9,21,0.36,0.36,0.95,0.9,1453,1,4,True,True,True,True,1871.4,18152.5,9.7,926,Independent Observer,communication_analysis,0.63,
IM-0121,AG-0013,Western Scholar Assembly,2.1,2.3,0.23,0.2,2,0.33,0.19,0.35,0.15,1977,3,1,False,False,False,False,1710.2,5643.5,3.3,938,P. Anster,anster_modified,0.63,
IM-0122,AG-0076,Boundary Trade Coalition,3.3,4.5,0.73,1.2,18,0.57,0.49,0.93,0.15,2166,2,5,True,True,True,False,1439.2,11945.7,8.3,921,Boundary Commission,anster_modified,0.76,
IM-0123,AG-0013,Archive Annex 15,3.9,4.5,0.48,0.6,9,0.38,0.36,0.56,0.5,4721,4,5,False,False,True,False,3118.0,18084.1,5.8,919,Colony Observation Unit,structural_mapping,0.82,
IM-0124,AG-0098,Klutch CC Class of 886,1.9,2.4,0.33,0.5,3,0.31,0.35,0.48,0.42,1309,1,5,False,False,False,False,2275.7,9785.4,4.3,919,O. Venn,anster_modified,0.77,
IM-0125,AG-0054,Eastern Trade Coalition,3.2,3.9,0.51,0.7,5,0.54,0.66,0.35,0.19,3015,3,5,True,False,True,False,619.3,3777.8,6.1,934,T. Crost,mord_protocol,0.8,
IM-0126,AG-0100,Capital Mill Crew,1.6,2.2,0.45,0.6,5,0.64,0.13,0.32,0.24,355,3,4,False,False,False,False,1818.8,10003.5,5.5,917,T. Crost,structural_mapping,0.85,
IM-0127,AG-0012,Western Trade Coalition,2.0,2.3,0.21,0.3,2,0.37,0.5,0.32,0.23,4974,2,2,False,False,False,False,1339.5,4152.4,3.1,915,T. Crost,mord_protocol,0.81,
IM-0128,AG-0006,Eastern Scholar Assembly,2.1,2.7,0.61,0.6,15,0.32,0.36,0.34,0.61,1536,2,2,True,True,True,True,403.9,2867.6,7.1,932,Independent Observer,behavioral_inference,0.7,
IM-0129,AG-0073,Central Survey Team,1.7,3.2,0.89,1.5,21,0.63,0.6,0.81,0.91,2798,2,4,True,True,False,False,366.1,3624.1,9.9,923,Archive Survey Team,anster_modified,0.87,
