event_id,event_name,agent_type,agent_id,agent_horizon_profile,temporal_gap_days,bridge_type,bridge_mechanism,cause_description,cause_year,intended_effect,effect_year,bridge_completed,outcome_type,fidelity,horizon_requirement,enabling_factors,risk_factors,documented_year,documenter,documentation_source,confidence,description,notes
TF-0027,Communication Bridge 27,person,AGT-795,visionary,14104,communication,ritual_practice,Message sent to future project,836,region to receive message,874,True,successful_as_intended,0.92,15342,"strong_purpose,community_reinforcement",dens_proximity,934,T. Vells,archival_record,0.81,Temporal bridge of type communication via ritual_practice,
TF-0028,Cultivation Bridge 28,person,AGT-108,philosopher,107,cultivation,biological_growth,institution planted/nurtured for future harvest,823,project to harvest cultivation,823,True,partial_success,0.45,103,strong_purpose,material_decay,916,T. Vells,archival_record,0.53,Temporal bridge of type cultivation via biological_growth,
TF-0029,Promise Bridge 29,person,AGT-491,standard_worker,5397,promise,spatial_configuration,Commitment made spanning to community,910,community to witness fulfillment,924,True,partial_success,0.57,6372,,political_change,914,C. Vells,direct_observation,0.68,Temporal bridge of type promise via spatial_configuration,
TF-0030,Planning Bridge 30,person,AGT-189,philosopher,11113,planning,spatial_configuration,Plans laid for future community,807,generation to execute plans,837,False,failed_effect_missed,0.19,10311,strong_purpose,dens_proximity,936,Archive Survey Team,archival_record,0.77,Temporal bridge of type planning via spatial_configuration,
TF-0031,Cultivation Bridge 31,person,AGT-982,standard_student,5588,cultivation,spatial_configuration,generation planted/nurtured for future harvest,899,project to harvest cultivation,914,True,partial_success,0.46,5268,,,918,Klutch CC Counseling,institutional_record,0.58,Temporal bridge of type cultivation via spatial_configuration,
TF-0032,Construction Bridge 32,institution,AGT-731,institutional,582,construction,ritual_practice,region built for future use,894,generation to use construction,895,False,unknown,,548,community_reinforcement,,912,Boundary Commission,direct_observation,0.84,Temporal bridge of type construction via ritual_practice,
TF-0033,Legacy Bridge 33,person,AGT-320,survivor,10359,legacy,ritual_practice,region created to outlast creator,879,region to inherit legacy,907,True,successful_as_intended,0.88,10427,,"political_change,dens_proximity",922,Independent Observer,archival_record,0.76,Temporal bridge of type legacy via ritual_practice,
TF-0034,Preservation Bridge 34,institution,AGT-111,institutional,7921,preservation,ritual_practice,community preserved for future access,805,community to access preserved material,826,True,successful_modified,0.63,9136,,,912,M. Strand,archival_record,0.6,Temporal bridge of type preservation via ritual_practice,
TF-0035,Warning Bridge 35,person,AGT-761,caretaker,10623,warning,spatial_configuration,Warning issued about future region,800,community to heed warning,829,True,partial_success,0.4,9025,community_reinforcement,,916,K. Strand,institutional_record,0.66,Temporal bridge of type warning via spatial_configuration,
TF-0036,Cultivation Bridge 36,person,AGT-811,survivor,9320,cultivation,collective_memory,scholars planted/nurtured for future harvest,888,institution to harvest cultivation,913,False,failed_effect_missed,0.29,10112,community_reinforcement,material_decay,913,M. Strand,testimony,0.71,Temporal bridge of type cultivation via collective_memory,
TF-0037,Cultivation Bridge 37,collective,AGT-823,visionary,11641,cultivation,ritual_practice,project planted/nurtured for future harvest,855,scholars to harvest cultivation,886,False,failed_bridge_broken,0.08,9465,strong_purpose,material_decay,937,P. Anster,archival_record,0.88,Temporal bridge of type cultivation via ritual_practice,
TF-0038,Communication Bridge 38,person,AGT-671,caretaker,34353,communication,institutional_structure,Message sent to future generation,838,scholars to receive message,932,True,successful_modified,0.64,39903,institutional_support,material_decay,915,T. Vells,testimony,0.52,Temporal bridge of type communication via institutional_structure,
TF-0039,Repair Bridge 39,collective,AGT-344,philosopher,9016,repair,collective_memory,scholars repaired for future function,915,scholars to benefit from repair,,,pending,,10556,strong_purpose,"material_decay,political_change",937,R. Voss,archival_record,0.82,Temporal bridge of type repair via collective_memory,
TF-0040,Warning Bridge 40,person,AGT-856,standard_worker,5898,warning,spatial_configuration,Warning issued about future institution,918,community to heed warning,,,pending,,6042,,"material_decay,political_change",929,Archive Survey Team,institutional_record,0.82,Temporal bridge of type warning via spatial_configuration,
TF-0041,Communication Bridge 41,person,AGT-253,caretaker,15816,communication,institutional_structure,Message sent to future scholars,833,institution to receive message,876,True,successful_modified,0.7,17797,"institutional_support,community_reinforcement","material_decay,political_change,dens_proximity",919,Boundary Commission,direct_observation,0.58,Temporal bridge of type communication via institutional_structure,
TF-0042,Investment Bridge 42,person,AGT-134,visionary,30222,investment,institutional_structure,Resources allocated for future scholars,908,region to benefit from resources,,,pending,,25199,"institutional_support,strong_purpose,community_reinforcement",,939,Klutch CC Counseling,archival_record,0.91,Temporal bridge of type investment via institutional_structure,
TF-0043,Warning Bridge 43,person,AGT-180,caretaker,6866,warning,collective_memory,Warning issued about future community,825,project to heed warning,843,True,successful_modified,0.74,7939,community_reinforcement,,930,K. Strand,institutional_record,0.68,Temporal bridge of type warning via collective_memory,
TF-0044,Legacy Bridge 44,collective,AGT-498,visionary,5985,legacy,collective_memory,institution created to outlast creator,884,generation to inherit legacy,900,True,successful_modified,0.74,5337,"strong_purpose,community_reinforcement",material_decay,918,P. Anster,direct_observation,0.79,Temporal bridge of type legacy via collective_memory,
TF-0045,Planning Bridge 45,person,AGT-420,survivor,15099,planning,collective_memory,Plans laid for future community,863,generation to execute plans,904,True,partial_success,0.36,13650,community_reinforcement,,934,Archive Survey Team,testimony,0.59,Temporal bridge of type planning via collective_memory,
TF-0046,Warning Bridge 46,person,AGT-882,caretaker,7737,warning,physical_artifact,Warning issued about future community,801,institution to heed warning,822,True,partial_success,0.34,6439,durable_materials,"material_decay,political_change",940,T. Vells,institutional_record,0.67,Temporal bridge of type warning via physical_artifact,
TF-0047,Legacy Bridge 47,person,AGT-253,standard_student,25137,legacy,physical_artifact,region created to outlast creator,850,institution to inherit legacy,918,True,partial_success,0.41,20122,durable_materials,,912,P. Anster,archival_record,0.75,Temporal bridge of type legacy via physical_artifact,
TF-0048,Promise Bridge 48,person,AGT-255,visionary,3888,promise,spatial_configuration,Commitment made spanning to generation,825,community to witness fulfillment,835,False,failed_bridge_broken,0.0,4246,strong_purpose,dens_proximity,930,Archive Survey Team,archival_record,0.58,Temporal bridge of type promise via spatial_configuration,
TF-0049,Warning Bridge 49,person,AGT-379,visionary,17866,warning,physical_artifact,Warning issued about future generation,917,scholars to heed warning,,,pending,,15571,"durable_materials,strong_purpose",political_change,919,K. Strand,archival_record,0.79,Temporal bridge of type warning via physical_artifact,
TF-0050,Legacy Bridge 50,collective,AGT-761,survivor,6259,legacy,ritual_practice,community created to outlast creator,920,scholars to inherit legacy,937,False,unknown,,6759,community_reinforcement,dens_proximity,918,Independent Observer,institutional_record,0.57,Temporal bridge of type legacy via ritual_practice,
TF-0051,Cultivation Bridge 51,collective,AGT-246,survivor,674,cultivation,ritual_practice,project planted/nurtured for future harvest,876,scholars to harvest cultivation,,,pending,,626,,,939,M. Strand,institutional_record,0.68,Temporal bridge of type cultivation via ritual_practice,
TF-0052,Investment Bridge 52,collective,AGT-678,standard_worker,4902,investment,trained_successor,Resources allocated for future scholars,819,project to benefit from resources,832,False,failed_bridge_broken,0.24,5795,,"political_change,successor_failure",922,T. Vells,institutional_record,0.59,Temporal bridge of type investment via trained_successor,
TF-0053,Construction Bridge 53,institution,AGT-808,caretaker,10098,construction,trained_successor,community built for future use,879,institution to use construction,906,True,partial_success,0.51,8382,,"material_decay,political_change,successor_failure",931,K. Strand,testimony,0.67,Temporal bridge of type construction via trained_successor,
TF-0054,Investment Bridge 54,collective,AGT-132,philosopher,16369,investment,written_record,Resources allocated for future region,916,generation to benefit from resources,,,pending,,18736,"durable_materials,strong_purpose",,937,Klutch CC Counseling,direct_observation,0.52,Temporal bridge of type investment via written_record,
TF-0055,Planning Bridge 55,collective,AGT-638,philosopher,12615,planning,spatial_configuration,Plans laid for future scholars,809,scholars to execute plans,843,True,successful_modified,0.65,11584,strong_purpose,"material_decay,political_change",919,M. Strand,archival_record,0.58,Temporal bridge of type planning via spatial_configuration,
TF-0056,Communication Bridge 56,person,AGT-641,visionary,9590,communication,collective_memory,Message sent to future community,876,region to receive message,902,True,successful_modified,0.81,9936,strong_purpose,political_change,940,K. Strand,archival_record,0.93,Temporal bridge of type communication via collective_memory,
TF-0057,Warning Bridge 57,person,AGT-976,caretaker,15142,warning,trained_successor,Warning issued about future community,843,institution to heed warning,,,pending,,18031,community_reinforcement,successor_failure,912,P. Anster,direct_observation,0.85,Temporal bridge of type warning via trained_successor,
TF-0058,Preservation Bridge 58,institution,AGT-343,caretaker,1976,preservation,collective_memory,scholars preserved for future access,851,community to access preserved material,856,False,failed_bridge_broken,0.25,2122,,,913,Independent Observer,archival_record,0.94,Temporal bridge of type preservation via collective_memory,
TF-0059,Construction Bridge 59,institution,AGT-440,institutional,1027,construction,collective_memory,scholars built for future use,919,institution to use construction,,,pending,,1193,,,930,Independent Observer,archival_record,0.66,Temporal bridge of type construction via collective_memory,
TF-0060,Planning Bridge 60,collective,AGT-996,caretaker,12713,planning,collective_memory,Plans laid for future community,887,project to execute plans,921,True,partial_success,0.35,14909,,material_decay,922,Boundary Commission,testimony,0.84,Temporal bridge of type planning via collective_memory,
TF-0061,Cultivation Bridge 61,collective,AGT-465,survivor,17520,cultivation,institutional_structure,project planted/nurtured for future harvest,870,institution to harvest cultivation,918,True,partial_success,0.37,16223,"institutional_support,community_reinforcement",,915,Boundary Commission,archival_record,0.55,Temporal bridge of type cultivation via institutional_structure,
TF-0062,Communication Bridge 62,person,AGT-751,visionary,33883,communication,institutional_structure,Message sent to future region,840,scholars to receive message,932,False,failed_effect_missed,0.12,35401,"institutional_support,strong_purpose",dens_proximity,935,Independent Observer,archival_record,0.54,Temporal bridge of type communication via institutional_structure,
TF-0063,Preservation Bridge 63,collective,AGT-236,institutional,30616,preservation,physical_artifact,community preserved for future access,918,project to access preserved material,,,pending,,36056,"durable_materials,community_reinforcement",material_decay,937,P. Anster,testimony,0.8,Temporal bridge of type preservation via physical_artifact,
TF-0064,Planning Bridge 64,collective,AGT-575,standard_worker,9341,planning,collective_memory,Plans laid for future region,917,institution to execute plans,,,pending,,10890,,,919,C. Vells,testimony,0.54,Temporal bridge of type planning via collective_memory,
TF-0065,Legacy Bridge 65,person,AGT-830,standard_student,3847,legacy,trained_successor,scholars created to outlast creator,925,project to inherit legacy,935,True,partial_success,0.4,4127,,successor_failure,923,R. Voss,testimony,0.81,Temporal bridge of type legacy via trained_successor,
TF-0066,Repair Bridge 66,person,AGT-856,caretaker,17949,repair,collective_memory,project repaired for future function,917,institution to benefit from repair,,,pending,,20908,community_reinforcement,,922,M. Strand,direct_observation,0.93,Temporal bridge of type repair via collective_memory,
TF-0067,Cultivation Bridge 67,person,AGT-318,survivor,875,cultivation,spatial_configuration,generation planted/nurtured for future harvest,915,region to harvest cultivation,917,True,successful_as_intended,0.91,738,,political_change,930,C. Vells,institutional_record,0.85,Temporal bridge of type cultivation via spatial_configuration,
TF-0068,Cultivation Bridge 68,person,AGT-642,caretaker,28269,cultivation,institutional_structure,institution planted/nurtured for future harvest,802,community to harvest cultivation,879,True,successful_modified,0.75,32097,"institutional_support,community_reinforcement",,913,T. Vells,archival_record,0.64,Temporal bridge of type cultivation via institutional_structure,
TF-0069,Warning Bridge 69,person,AGT-351,visionary,32894,warning,written_record,Warning issued about future region,824,region to heed warning,,,pending,,30733,"durable_materials,strong_purpose",dens_proximity,917,R. Voss,archival_record,0.75,Temporal bridge of type warning via written_record,
TF-0070,Construction Bridge 70,collective,AGT-575,institutional,7365,construction,spatial_configuration,institution built for future use,927,generation to use construction,,,pending,,6812,community_reinforcement,material_decay,917,C. Vells,testimony,0.57,Temporal bridge of type construction via spatial_configuration,
TF-0071,Planning Bridge 71,person,AGT-229,visionary,2817,planning,collective_memory,Plans laid for future institution,922,scholars to execute plans,929,True,partial_success,0.34,2440,strong_purpose,"material_decay,dens_proximity",928,Archive Survey Team,testimony,0.69,Temporal bridge of type planning via collective_memory,
TF-0072,Warning Bridge 72,person,AGT-399,standard_worker,1099,warning,biological_growth,Warning issued about future scholars,807,scholars to heed warning,810,True,partial_success,0.49,1056,,material_decay,934,T. Vells,archival_record,0.91,Temporal bridge of type warning via biological_growth,
TF-0073,Planning Bridge 73,collective,AGT-940,visionary,27364,planning,written_record,Plans laid for future region,811,institution to execute plans,885,True,successful_as_intended,0.87,32265,"durable_materials,strong_purpose",,926,M. Strand,archival_record,0.63,Temporal bridge of type planning via written_record,
TF-0074,Legacy Bridge 74,collective,AGT-767,standard_worker,27410,legacy,written_record,community created to outlast creator,823,generation to inherit legacy,898,True,successful_as_intended,0.96,25975,durable_materials,political_change,925,C. Vells,testimony,0.7,Temporal bridge of type legacy via written_record,
TF-0075,Investment Bridge 75,person,AGT-764,caretaker,20534,investment,physical_artifact,Resources allocated for future institution,831,scholars to benefit from resources,887,False,unknown,,22094,durable_materials,political_change,921,Klutch CC Counseling,direct_observation,0.8,Temporal bridge of type investment via physical_artifact,
TF-0076,Planning Bridge 76,person,AGT-388,caretaker,15644,planning,written_record,Plans laid for future scholars,800,generation to execute plans,842,True,successful_as_intended,0.88,14408,durable_materials,material_decay,926,C. Vells,archival_record,0.68,Temporal bridge of type planning via written_record,
TF-0077,Cultivation Bridge 77,person,AGT-238,philosopher,16582,cultivation,spatial_configuration,project planted/nurtured for future harvest,907,scholars to harvest cultivation,,,pending,,18685,strong_purpose,,926,Klutch CC Counseling,archival_record,0.81,Temporal bridge of type cultivation via spatial_configuration,
TF-0078,Cultivation Bridge 78,collective,AGT-660,philosopher,11139,cultivation,trained_successor,generation planted/nurtured for future harvest,886,community to harvest cultivation,916,True,partial_success,0.35,10179,strong_purpose,"political_change,successor_failure",925,Independent Observer,institutional_record,0.51,Temporal bridge of type cultivation via trained_successor,
TF-0079,Cultivation Bridge 79,person,AGT-454,standard_student,4260,cultivation,collective_memory,scholars planted/nurtured for future harvest,929,generation to harvest cultivation,940,True,partial_success,0.45,4145,,,918,M. Strand,institutional_record,0.64,Temporal bridge of type cultivation via collective_memory,
TF-0080,Investment Bridge 80,collective,AGT-474,philosopher,13877,investment,institutional_structure,Resources allocated for future region,870,institution to benefit from resources,908,True,partial_success,0.38,16494,"institutional_support,strong_purpose",,939,R. Voss,archival_record,0.88,Temporal bridge of type investment via institutional_structure,
TF-0081,Repair Bridge 81,collective,AGT-917,caretaker,3227,repair,spatial_configuration,community repaired for future function,820,project to benefit from repair,828,True,successful_modified,0.69,3578,,"material_decay,political_change",938,Archive Survey Team,archival_record,0.58,Temporal bridge of type repair via spatial_configuration,
TF-0082,Preservation Bridge 82,institution,AGT-382,caretaker,3935,preservation,trained_successor,generation preserved for future access,876,generation to access preserved material,886,True,successful_as_intended,0.89,3500,,"material_decay,successor_failure",928,Boundary Commission,institutional_record,0.78,Temporal bridge of type preservation via trained_successor,
TF-0083,Communication Bridge 83,person,AGT-513,visionary,6108,communication,spatial_configuration,Message sent to future project,802,region to receive message,818,True,successful_as_intended,0.86,5470,strong_purpose,,935,K. Strand,institutional_record,0.63,Temporal bridge of type communication via spatial_configuration,
TF-0084,Communication Bridge 84,person,AGT-941,caretaker,17052,communication,trained_successor,Message sent to future project,860,region to receive message,906,True,partial_success,0.42,18652,,"material_decay,successor_failure",913,Archive Survey Team,direct_observation,0.67,Temporal bridge of type communication via trained_successor,
TF-0085,Communication Bridge 85,person,AGT-613,visionary,15405,communication,written_record,Message sent to future project,904,generation to receive message,,,pending,,13504,"durable_materials,strong_purpose","political_change,dens_proximity",916,C. Vells,archival_record,0.94,Temporal bridge of type communication via written_record,
TF-0086,Repair Bridge 86,collective,AGT-323,survivor,4891,repair,biological_growth,scholars repaired for future function,885,project to benefit from repair,898,False,failed_bridge_broken,0.07,5492,community_reinforcement,"material_decay,political_change",923,Klutch CC Counseling,archival_record,0.88,Temporal bridge of type repair via biological_growth,
TF-0087,Construction Bridge 87,institution,AGT-561,caretaker,5745,construction,biological_growth,community built for future use,896,project to use construction,911,False,failed_bridge_broken,0.02,5794,,,914,Boundary Commission,testimony,0.65,Temporal bridge of type construction via biological_growth,
TF-0088,Warning Bridge 88,person,AGT-640,caretaker,30393,warning,institutional_structure,Warning issued about future project,926,scholars to heed warning,,,pending,,27189,institutional_support,,926,Independent Observer,testimony,0.55,Temporal bridge of type warning via institutional_structure,
TF-0089,Promise Bridge 89,person,AGT-123,standard_worker,29699,promise,institutional_structure,Commitment made spanning to region,907,region to witness fulfillment,,,pending,,28651,institutional_support,political_change,915,Klutch CC Counseling,institutional_record,0.5,Temporal bridge of type promise via institutional_structure,
TF-0090,Cultivation Bridge 90,collective,AGT-143,standard_student,1659,cultivation,biological_growth,institution planted/nurtured for future harvest,871,institution to harvest cultivation,875,True,successful_modified,0.73,1446,,material_decay,928,C. Vells,archival_record,0.92,Temporal bridge of type cultivation via biological_growth,
TF-0091,Cultivation Bridge 91,person,AGT-136,philosopher,16592,cultivation,trained_successor,generation planted/nurtured for future harvest,919,generation to harvest cultivation,,,pending,,14076,strong_purpose,"material_decay,successor_failure",934,T. Vells,direct_observation,0.87,Temporal bridge of type cultivation via trained_successor,
TF-0092,Legacy Bridge 92,collective,AGT-268,visionary,7373,legacy,written_record,scholars created to outlast creator,823,project to inherit legacy,843,True,partial_success,0.49,6146,"durable_materials,strong_purpose",dens_proximity,913,Independent Observer,direct_observation,0.53,Temporal bridge of type legacy via written_record,
TF-0093,Construction Bridge 93,collective,AGT-774,caretaker,14049,construction,spatial_configuration,scholars built for future use,904,region to use construction,,,pending,,15679,,,935,P. Anster,testimony,0.67,Temporal bridge of type construction via spatial_configuration,
TF-0094,Warning Bridge 94,person,AGT-908,visionary,29914,warning,physical_artifact,Warning issued about future scholars,828,region to heed warning,909,True,successful_modified,0.72,31528,"durable_materials,strong_purpose,community_reinforcement",,914,K. Strand,testimony,0.91,Temporal bridge of type warning via physical_artifact,
TF-0095,Legacy Bridge 95,person,AGT-889,caretaker,34906,legacy,physical_artifact,scholars created to outlast creator,889,community to inherit legacy,,,pending,,27926,durable_materials,,936,Klutch CC Counseling,archival_record,0.88,Temporal bridge of type legacy via physical_artifact,
TF-0096,Construction Bridge 96,institution,AGT-825,institutional,3835,construction,physical_artifact,scholars built for future use,896,generation to use construction,906,True,partial_success,0.36,3785,"durable_materials,community_reinforcement",,921,T. Vells,archival_record,0.81,Temporal bridge of type construction via physical_artifact,
TF-0097,Communication Bridge 97,person,AGT-816,standard_worker,29408,communication,institutional_structure,Message sent to future community,865,project to receive message,,,pending,,29055,institutional_support,political_change,913,K. Strand,institutional_record,0.68,Temporal bridge of type communication via institutional_structure,
TF-0098,Promise Bridge 98,person,AGT-446,visionary,6680,promise,collective_memory,Commitment made spanning to community,903,institution to witness fulfillment,921,True,partial_success,0.57,7723,strong_purpose,material_decay,918,P. Anster,testimony,0.69,Temporal bridge of type promise via collective_memory,
TF-0099,Legacy Bridge 99,collective,AGT-485,philosopher,16577,legacy,trained_successor,project created to outlast creator,857,institution to inherit legacy,902,True,successful_as_intended,0.95,18233,strong_purpose,"political_change,successor_failure",912,Klutch CC Counseling,testimony,0.74,Temporal bridge of type legacy via trained_successor,
TF-0100,Preservation Bridge 100,institution,AGT-255,institutional,6784,preservation,biological_growth,community preserved for future access,856,region to access preserved material,874,False,failed_bridge_broken,0.19,5707,community_reinforcement,material_decay,928,M. Strand,direct_observation,0.71,Temporal bridge of type preservation via biological_growth,
TF-0101,Preservation Bridge 101,collective,AGT-568,institutional,10893,preservation,spatial_configuration,project preserved for future access,814,project to access preserved material,843,True,successful_as_intended,0.96,12437,community_reinforcement,,929,R. Voss,direct_observation,0.55,Temporal bridge of type preservation via spatial_configuration,
TF-0102,Construction Bridge 102,institution,AGT-456,caretaker,28110,construction,written_record,institution built for future use,893,community to use construction,,,pending,,25356,durable_materials,material_decay,921,Klutch CC Counseling,direct_observation,0.87,Temporal bridge of type construction via written_record,
TF-0103,Promise Bridge 103,person,AGT-376,standard_worker,13378,promise,trained_successor,Commitment made spanning to institution,852,region to witness fulfillment,,,pending,,11873,,"material_decay,successor_failure",939,R. Voss,testimony,0.94,Temporal bridge of type promise via trained_successor,
TF-0104,Communication Bridge 104,person,AGT-854,standard_worker,5657,communication,collective_memory,Message sent to future project,815,institution to receive message,830,True,partial_success,0.48,6075,,,914,T. Vells,institutional_record,0.55,Temporal bridge of type communication via collective_memory,
TF-0105,Planning Bridge 105,collective,AGT-303,philosopher,30483,planning,written_record,Plans laid for future generation,815,generation to execute plans,898,True,successful_modified,0.75,31313,"durable_materials,strong_purpose",material_decay,926,M. Strand,direct_observation,0.87,Temporal bridge of type planning via written_record,
TF-0106,Investment Bridge 106,collective,AGT-935,standard_student,36244,investment,written_record,Resources allocated for future project,837,project to benefit from resources,936,True,successful_as_intended,0.94,31445,durable_materials,political_change,922,K. Strand,direct_observation,0.93,Temporal bridge of type investment via written_record,
