fountain_session_id,class_session_id,semester_id,date,duration_hours,session_type,jackson_present,num_attendees,catered,kitchum_theories_discussed,mood,is_crisis_semester
FS0023,CLS0093,SEM02,2019-04-29,2,regular_session,True,5,False,6,playful,False
FS0024,CLS0096,SEM02,2019-05-06,3,regular_session,True,7,False,3,serious,False
FS0025,CLS0099,SEM03,2019-08-26,3,regular_session,True,2,False,1,electric,False
FS0026,CLS0113,SEM03,2019-09-27,5,regular_session,True,2,False,7,serious,False
FS0027,CLS0114,SEM03,2019-09-30,2,regular_session,True,6,False,6,serious,False
FS0028,CLS0115,SEM03,2019-10-02,10,extended_session,True,2,True,4,gloomy,False
FS0029,CLS0118,SEM03,2019-10-09,5,regular_session,True,6,False,4,anxious,False
FS0030,CLS0119,SEM03,2019-10-11,1,regular_session,True,4,False,7,gloomy,False
FS0031,CLS0122,SEM03,2019-10-18,4,regular_session,True,7,False,2,gloomy,False
FS0032,CLS0125,SEM03,2019-10-25,2,regular_session,True,12,False,3,speculative,False
FS0033,CLS0133,SEM03,2019-11-13,3,regular_session,True,10,False,6,speculative,False
FS0034,CLS0134,SEM03,2019-11-15,4,regular_session,True,6,False,5,anxious,False
FS0035,CLS0135,SEM03,2019-11-18,5,regular_session,True,2,False,2,anxious,False
FS0036,CLS0137,SEM03,2019-11-22,2,regular_session,True,14,False,4,electric,False
FS0037,CLS0140,SEM03,2019-11-29,4,regular_session,True,8,False,2,playful,False
FS0038,CLS0143,SEM03,2019-12-06,10,extended_session,True,5,False,6,anxious,False
FS0039,CLS0144,SEM03,2019-12-09,12,extended_session,True,11,False,6,anxious,False
FS0040,CLS0146,SEM03,2019-12-13,3,regular_session,True,7,False,4,playful,False
FS0041,CLS0148,SEM04,2020-01-17,5,regular_session,True,2,False,5,electric,False
FS0042,CLS0153,SEM04,2020-01-29,3,regular_session,False,8,False,3,electric,False
FS0043,CLS0156,SEM04,2020-02-05,1,regular_session,True,8,False,6,anxious,False
FS0044,CLS0160,SEM04,2020-02-14,1,regular_session,True,6,False,6,electric,False
FS0045,CLS0161,SEM04,2020-02-17,3,regular_session,True,6,False,2,playful,False
FS0046,CLS0162,SEM04,2020-02-19,5,regular_session,True,4,False,6,speculative,False
FS0047,CLS0163,SEM04,2020-02-21,4,regular_session,True,8,False,3,gloomy,False
FS0048,CLS0164,SEM04,2020-02-24,5,regular_session,True,5,False,2,gloomy,False
FS0049,CLS0165,SEM04,2020-02-26,4,regular_session,True,3,False,2,playful,False
FS0050,CLS0175,SEM04,2020-03-20,8,extended_session,True,5,True,7,speculative,False
FS0051,CLS0176,SEM04,2020-03-23,4,regular_session,False,6,False,1,gloomy,False
FS0052,CLS0177,SEM04,2020-03-25,8,extended_session,True,1,False,6,electric,False
FS0053,CLS0178,SEM04,2020-03-27,2,regular_session,True,5,False,1,speculative,False
FS0054,CLS0179,SEM04,2020-03-30,5,regular_session,True,7,False,3,serious,False
FS0055,CLS0181,SEM04,2020-04-03,4,regular_session,True,5,False,2,electric,False
FS0056,CLS0182,SEM04,2020-04-06,11,extended_session,True,8,False,5,speculative,False
FS0057,CLS0184,SEM04,2020-04-10,1,regular_session,True,9,False,4,speculative,False
FS0058,CLS0187,SEM04,2020-04-17,3,regular_session,True,6,False,3,gloomy,False
FS0059,CLS0189,SEM04,2020-04-22,11,extended_session,True,5,False,2,gloomy,False
FS0060,CLS0190,SEM04,2020-04-24,2,regular_session,True,8,False,2,speculative,False
FS0061,CLS0195,SEM04,2020-05-06,36,two_day_session,True,11,True,1,gloomy,False
FS0062,CLS0196,SEM04,2020-05-08,2,regular_session,True,6,False,4,speculative,False
FS0063,CLS0197,SEM05,2020-08-26,8,extended_session,True,6,True,1,speculative,False
FS0064,CLS0198,SEM05,2020-08-28,3,regular_session,True,14,False,3,electric,False
FS0065,CLS0199,SEM05,2020-08-31,9,extended_session,True,9,True,7,serious,False
FS0066,CLS0202,SEM05,2020-09-07,12,extended_session,True,14,True,6,serious,False
FS0067,CLS0203,SEM05,2020-09-09,1,regular_session,True,5,False,4,speculative,False
FS0068,CLS0205,SEM05,2020-09-14,1,regular_session,True,6,False,5,gloomy,False
FS0069,CLS0208,SEM05,2020-09-21,4,regular_session,True,1,False,6,anxious,False
FS0070,CLS0209,SEM05,2020-09-23,2,regular_session,True,12,False,2,playful,False
FS0071,CLS0211,SEM05,2020-09-28,4,regular_session,True,5,False,4,gloomy,False
FS0072,CLS0212,SEM05,2020-09-30,1,regular_session,False,1,False,4,serious,False
FS0073,CLS0213,SEM05,2020-10-02,5,regular_session,False,8,False,5,anxious,False
FS0074,CLS0215,SEM05,2020-10-07,2,regular_session,True,10,False,7,gloomy,False
FS0075,CLS0216,SEM05,2020-10-09,4,regular_session,True,4,False,3,playful,False
FS0076,CLS0219,SEM05,2020-10-16,1,regular_session,True,11,False,7,electric,False
FS0077,CLS0221,SEM05,2020-10-21,6,extended_session,True,11,False,6,playful,False
FS0078,CLS0222,SEM05,2020-10-23,5,regular_session,True,13,False,6,gloomy,False
FS0079,CLS0224,SEM05,2020-10-28,1,regular_session,True,10,False,4,gloomy,False
FS0080,CLS0228,SEM05,2020-11-06,11,extended_session,True,9,False,5,electric,False
FS0081,CLS0230,SEM05,2020-11-11,4,regular_session,True,5,False,5,electric,False
FS0082,CLS0232,SEM05,2020-11-16,3,regular_session,True,5,False,2,gloomy,False
FS0083,CLS0236,SEM05,2020-11-25,2,regular_session,True,6,False,7,playful,False
FS0084,CLS0237,SEM05,2020-11-27,4,regular_session,True,7,False,7,speculative,False
FS0085,CLS0238,SEM05,2020-11-30,36,two_day_session,True,2,True,3,anxious,False
FS0086,CLS0241,SEM05,2020-12-07,2,regular_session,True,3,False,7,serious,False
FS0087,CLS0242,SEM05,2020-12-09,2,regular_session,True,7,False,5,electric,False
FS0088,CLS0243,SEM05,2020-12-11,4,regular_session,True,10,False,1,speculative,False
FS0089,CLS0245,SEM06,2021-01-15,4,regular_session,True,10,False,5,electric,False
FS0090,CLS0249,SEM06,2021-01-25,2,regular_session,False,5,False,1,serious,False
FS0091,CLS0250,SEM06,2021-01-27,12,extended_session,True,2,True,2,playful,False
FS0092,CLS0251,SEM06,2021-01-29,3,regular_session,True,6,False,7,electric,False
FS0093,CLS0252,SEM06,2021-02-01,6,extended_session,True,6,False,3,anxious,False
FS0094,CLS0255,SEM06,2021-02-08,5,regular_session,True,1,False,6,playful,False
FS0095,CLS0256,SEM06,2021-02-10,5,regular_session,True,3,False,4,speculative,False
FS0096,CLS0257,SEM06,2021-02-12,5,regular_session,True,10,False,7,gloomy,False
FS0097,CLS0258,SEM06,2021-02-15,52,two_day_session,True,2,True,2,gloomy,False
FS0098,CLS0259,SEM06,2021-02-17,2,regular_session,True,6,False,2,gloomy,False
FS0099,CLS0263,SEM06,2021-02-26,11,extended_session,True,6,True,1,speculative,False
FS0100,CLS0264,SEM06,2021-03-01,5,regular_session,True,7,False,4,serious,False
FS0101,CLS0266,SEM06,2021-03-05,52,two_day_session,True,5,True,1,electric,False
FS0102,CLS0267,SEM06,2021-03-08,10,extended_session,True,8,True,1,playful,False
FS0103,CLS0269,SEM06,2021-03-12,4,regular_session,True,5,False,6,serious,False
FS0104,CLS0272,SEM06,2021-03-19,3,regular_session,False,5,False,7,gloomy,False
FS0105,CLS0273,SEM06,2021-03-22,52,two_day_session,True,4,True,2,electric,False
FS0106,CLS0276,SEM06,2021-03-29,2,regular_session,True,8,False,7,playful,False
FS0107,CLS0277,SEM06,2021-03-31,1,regular_session,True,14,False,1,playful,False
FS0108,CLS0279,SEM06,2021-04-05,3,regular_session,True,4,False,3,gloomy,False
FS0109,CLS0280,SEM06,2021-04-07,3,regular_session,True,8,False,2,gloomy,False
FS0110,CLS0281,SEM06,2021-04-09,2,regular_session,True,5,False,6,electric,False
FS0111,CLS0283,SEM06,2021-04-14,3,regular_session,True,13,False,3,playful,False
FS0112,CLS0284,SEM06,2021-04-16,1,regular_session,True,6,False,2,playful,False
FS0113,CLS0292,SEM06,2021-05-05,1,regular_session,True,11,False,3,serious,False
FS0114,CLS0293,SEM06,2021-05-07,3,regular_session,True,5,False,3,gloomy,False
FS0115,CLS0294,SEM06,2021-05-10,5,regular_session,True,5,False,2,anxious,False
FS0116,CLS0295,SEM07,2021-08-25,2,regular_session,True,12,False,1,anxious,True
FS0117,CLS0296,SEM07,2021-08-27,2,regular_session,True,8,False,7,playful,True
FS0118,CLS0297,SEM07,2021-08-30,1,regular_session,False,6,False,6,gloomy,True
FS0119,CLS0298,SEM07,2021-09-01,5,regular_session,True,5,False,6,serious,True
FS0120,CLS0299,SEM07,2021-09-03,5,regular_session,True,8,False,4,playful,True
FS0121,CLS0300,SEM07,2021-09-06,5,regular_session,True,5,False,2,anxious,True
FS0122,CLS0301,SEM07,2021-09-08,2,regular_session,True,3,False,4,playful,True
FS0123,CLS0302,SEM07,2021-09-10,2,regular_session,True,6,False,2,speculative,True
FS0124,CLS0303,SEM07,2021-09-13,10,extended_session,True,2,True,3,anxious,True
FS0125,CLS0304,SEM07,2021-09-15,1,regular_session,True,4,False,2,serious,True
FS0126,CLS0305,SEM07,2021-09-17,2,regular_session,True,6,False,7,anxious,True
FS0127,CLS0306,SEM07,2021-09-20,11,extended_session,True,3,True,4,serious,True
FS0128,CLS0307,SEM07,2021-09-22,52,two_day_session,True,7,True,5,speculative,True
FS0129,CLS0308,SEM07,2021-09-24,5,regular_session,True,2,False,4,electric,True
FS0130,CLS0309,SEM07,2021-09-27,4,regular_session,True,6,False,6,gloomy,True
FS0131,CLS0310,SEM07,2021-09-29,4,regular_session,True,5,False,2,playful,True
FS0132,CLS0311,SEM07,2021-10-01,3,regular_session,True,8,False,2,speculative,True
FS0133,CLS0312,SEM07,2021-10-04,1,regular_session,True,7,False,6,playful,True
FS0134,CLS0313,SEM07,2021-10-06,5,regular_session,True,10,False,3,gloomy,True
FS0135,CLS0314,SEM07,2021-10-08,4,regular_session,True,11,False,3,gloomy,True
FS0136,CLS0315,SEM07,2021-10-11,3,regular_session,True,7,False,7,electric,True
FS0137,CLS0316,SEM07,2021-10-13,2,regular_session,True,8,False,7,gloomy,True
FS0138,CLS0317,SEM07,2021-10-15,9,extended_session,True,3,False,4,gloomy,True
FS0139,CLS0318,SEM07,2021-10-18,1,regular_session,True,9,False,5,electric,True
FS0140,CLS0319,SEM07,2021-10-20,2,regular_session,True,10,False,2,electric,True
FS0141,CLS0321,SEM07,2021-10-25,5,regular_session,True,8,False,2,electric,True
FS0142,CLS0322,SEM07,2021-10-27,7,extended_session,True,8,True,6,serious,True
FS0143,CLS0323,SEM07,2021-10-29,11,extended_session,True,8,True,5,playful,True
FS0144,CLS0324,SEM07,2021-11-01,2,regular_session,True,10,False,1,playful,True
FS0145,CLS0325,SEM07,2021-11-03,5,regular_session,True,6,False,3,gloomy,True
FS0146,CLS0326,SEM07,2021-11-05,4,regular_session,True,6,False,7,serious,True
FS0147,CLS0327,SEM07,2021-11-08,4,regular_session,True,5,False,6,anxious,True
FS0148,CLS0328,SEM07,2021-11-10,3,regular_session,True,3,False,2,playful,True
FS0149,CLS0329,SEM07,2021-11-12,1,regular_session,True,5,False,3,playful,True
FS0150,CLS0330,SEM07,2021-11-15,11,extended_session,True,11,False,2,electric,True
FS0151,CLS0331,SEM07,2021-11-17,2,regular_session,True,7,False,7,speculative,True
FS0152,CLS0332,SEM07,2021-11-19,4,regular_session,True,4,False,3,gloomy,True
FS0153,CLS0333,SEM07,2021-11-22,5,regular_session,True,11,False,7,gloomy,True
FS0154,CLS0334,SEM07,2021-11-24,1,regular_session,True,9,False,5,speculative,True
FS0155,CLS0335,SEM07,2021-11-26,2,regular_session,True,6,False,4,playful,True
FS0156,CLS0336,SEM07,2021-11-29,36,two_day_session,True,4,True,3,gloomy,True
FS0157,CLS0338,SEM07,2021-12-03,5,regular_session,True,5,False,4,anxious,True
FS0158,CLS0339,SEM07,2021-12-06,4,regular_session,True,6,False,2,gloomy,True
FS0159,CLS0340,SEM07,2021-12-08,2,regular_session,True,7,False,2,electric,True
FS0160,CLS0341,SEM07,2021-12-10,9,extended_session,True,9,True,3,playful,True
FS0161,CLS0342,SEM07,2021-12-13,2,regular_session,True,7,False,7,electric,True
FS0162,CLS0343,SEM07,2021-12-15,3,regular_session,True,6,False,1,serious,True
FS0163,CLS0344,SEM08,2022-01-17,2,regular_session,False,4,False,3,playful,False
FS0164,CLS0346,SEM08,2022-01-21,4,regular_session,False,7,False,6,anxious,False
FS0165,CLS0350,SEM08,2022-01-31,1,regular_session,False,3,False,3,anxious,False
FS0166,CLS0351,SEM08,2022-02-02,5,regular_session,False,8,False,4,playful,False
FS0167,CLS0353,SEM08,2022-02-07,12,extended_session,False,6,True,6,electric,False
FS0168,CLS0355,SEM08,2022-02-11,9,extended_session,False,4,False,5,speculative,False
FS0169,CLS0356,SEM08,2022-02-14,9,extended_session,False,6,True,4,electric,False
FS0170,CLS0357,SEM08,2022-02-16,6,extended_session,False,9,False,4,gloomy,False
FS0171,CLS0359,SEM08,2022-02-21,5,regular_session,False,6,False,5,serious,False
FS0172,CLS0362,SEM08,2022-02-28,3,regular_session,False,9,False,5,anxious,False
FS0173,CLS0364,SEM08,2022-03-04,3,regular_session,False,1,False,5,anxious,False
FS0174,CLS0365,SEM08,2022-03-07,9,extended_session,False,12,False,1,serious,False
FS0175,CLS0367,SEM08,2022-03-11,2,regular_session,False,10,False,4,serious,False
FS0176,CLS0368,SEM08,2022-03-14,4,regular_session,False,6,False,1,serious,False
FS0177,CLS0370,SEM08,2022-03-18,3,regular_session,False,8,False,7,playful,False
FS0178,CLS0371,SEM08,2022-03-21,8,extended_session,False,14,True,4,playful,False
FS0179,CLS0373,SEM08,2022-03-25,10,extended_session,False,4,True,3,anxious,False
FS0180,CLS0376,SEM08,2022-04-01,3,regular_session,False,8,False,7,serious,False
FS0181,CLS0378,SEM08,2022-04-06,2,regular_session,False,3,False,7,serious,False
FS0182,CLS0379,SEM08,2022-04-08,12,extended_session,False,6,True,1,electric,False
FS0183,CLS0380,SEM08,2022-04-11,1,regular_session,False,7,False,6,speculative,False
FS0184,CLS0381,SEM08,2022-04-13,3,regular_session,False,7,False,6,electric,False
FS0185,CLS0382,SEM08,2022-04-15,3,regular_session,False,12,False,2,playful,False
FS0186,CLS0385,SEM08,2022-04-22,3,regular_session,False,2,False,7,playful,False
FS0187,CLS0386,SEM08,2022-04-25,1,regular_session,False,14,False,2,playful,False
FS0188,CLS0388,SEM08,2022-04-29,3,regular_session,False,1,False,3,electric,False
FS0189,CLS0389,SEM08,2022-05-02,9,extended_session,False,9,True,6,anxious,False
FS0190,CLS0390,SEM08,2022-05-04,3,regular_session,False,4,False,6,serious,False
FS0191,CLS0391,SEM08,2022-05-06,5,regular_session,False,6,False,3,playful,False
