relationship_id,entity_id,entity_name,neighbor_id,neighbor_name,antipathy_rank,antipathy_strength,distance_morphospace,antipathy_type,mutual,stability,edge_weight,contribution_to_separation,first_documented,documenter,documentation_method,confidence,notes
AN-0024,MS-0027,The Five-Body Form,MS-0060,Form 60,1,0.95,2.422,competitive,True,0.87,-0.786,0.47,912,P. Tross,conflict_documentation,0.55,
AN-0025,MS-0027,The Five-Body Form,MS-0039,Form 39,2,0.95,2.4034,incompatible,True,0.74,-0.799,0.65,1838,K. Strand,classification_opposition,0.69,
AN-0026,MS-0027,The Five-Body Form,MS-0093,Form 93,3,0.95,2.3068,incompatible,True,0.62,-0.922,0.42,914,K. Strand,trajectory_divergence,0.61,
AN-0027,MS-0027,The Five-Body Form,MS-0170,Form 170,4,0.95,2.2221,incompatible,True,0.82,-0.901,0.74,925,Archive Survey Team,behavioral_observation,0.59,
AN-0028,EN-001,The Prebel Zone,MS-0149,Form 149,1,0.89,1.7897,competitive,False,0.94,-0.748,0.72,929,P. Tross,conflict_documentation,0.91,
AN-0029,EN-001,The Prebel Zone,MS-0086,Form 86,2,0.87,1.7498,opposing,True,0.54,-0.855,0.6,919,K. Strand,conflict_documentation,0.74,
AN-0030,EN-001,The Prebel Zone,MS-0096,Form 96,3,0.84,1.6898,orthogonal,False,0.92,-0.814,0.24,929,Constellation Survey,classification_opposition,0.72,
AN-0031,EN-001,The Prebel Zone,MS-0148,Form 148,4,0.82,1.6431,incompatible,True,0.85,-0.689,0.33,1834,P. Tross,trajectory_divergence,0.73,
AN-0032,EN-001,The Prebel Zone,MS-0060,Form 60,5,0.81,1.6119,unknown,True,0.53,-0.789,0.6,922,Archive Survey Team,distance_measurement,0.74,
AN-0033,EN-002,The Dens Boundary,MS-0149,Form 149,1,0.95,2.3153,opposing,False,0.65,-0.889,0.74,914,K. Strand,trajectory_divergence,0.58,
AN-0034,EN-002,The Dens Boundary,MS-0096,Form 96,2,0.95,2.2184,orthogonal,False,0.61,-0.884,0.36,927,Archive Survey Team,distance_measurement,0.87,
AN-0035,EN-002,The Dens Boundary,MS-0162,Form 162,3,0.95,2.202,opposing,True,0.64,-0.777,0.31,922,P. Tross,classification_opposition,0.8,
AN-0036,EN-002,The Dens Boundary,MS-0087,Form 87,4,0.95,2.1316,orthogonal,True,0.94,-0.809,0.75,930,P. Tross,behavioral_observation,0.94,
AN-0037,EN-002,The Dens Boundary,MS-0037,Form 37,5,0.95,2.0976,competitive,False,0.76,-0.9,0.3,919,P. Tross,trajectory_divergence,0.81,
AN-0038,EN-010,Cluster Alpha,MS-0060,Form 60,1,0.81,1.6247,incompatible,False,0.65,-0.701,0.24,919,P. Tross,classification_opposition,0.82,
AN-0039,EN-010,Cluster Alpha,MS-0039,Form 39,2,0.81,1.6232,orthogonal,False,0.55,-0.739,0.4,929,T. Vells,distance_measurement,0.74,
AN-0040,EN-010,Cluster Alpha,MS-0093,Form 93,3,0.78,1.5641,opposing,True,0.62,-0.743,0.48,925,P. Tross,behavioral_observation,0.66,
AN-0041,EN-010,Cluster Alpha,MS-0086,Form 86,4,0.77,1.545,incompatible,False,0.94,-0.674,0.83,1842,Archive Survey Team,distance_measurement,0.92,
AN-0042,EN-010,Cluster Alpha,MS-0170,Form 170,5,0.75,1.4957,opposing,True,0.5,-0.668,0.46,928,P. Tross,conflict_documentation,0.6,
AN-0043,EN-010,Cluster Alpha,MS-0038,Form 38,6,0.71,1.4177,unknown,False,0.61,-0.616,0.71,1840,P. Tross,distance_measurement,0.95,
AN-0044,EN-011,Cluster Beta,MS-0118,Form 118,1,0.87,1.7412,orthogonal,False,0.91,-0.745,0.82,917,Constellation Survey,trajectory_divergence,0.69,
AN-0045,EN-011,Cluster Beta,MS-0027,The Five-Body Form,2,0.83,1.6573,historical,True,0.92,-0.697,0.65,1839,P. Tross,distance_measurement,0.55,
AN-0046,EN-011,Cluster Beta,MS-0036,Form 36,3,0.79,1.588,historical,True,0.72,-0.774,0.27,930,P. Tross,trajectory_divergence,0.76,
AN-0047,EN-012,Cluster Gamma,MS-0149,Form 149,1,0.79,1.5841,historical,True,0.62,-0.682,0.82,929,Archive Survey Team,trajectory_divergence,0.71,
AN-0048,EN-012,Cluster Gamma,MS-0086,Form 86,2,0.78,1.5572,competitive,True,0.78,-0.765,0.62,1835,P. Tross,distance_measurement,0.57,
AN-0049,EN-012,Cluster Gamma,MS-0096,Form 96,3,0.74,1.4881,competitive,False,0.93,-0.703,0.35,914,P. Tross,behavioral_observation,0.94,
AN-0050,EN-012,Cluster Gamma,MS-0148,Form 148,4,0.74,1.4742,opposing,True,0.53,-0.693,0.56,919,Archive Survey Team,conflict_documentation,0.81,
AN-0051,EN-012,Cluster Gamma,MS-0060,Form 60,5,0.73,1.4649,competitive,True,0.82,-0.622,0.44,924,P. Tross,classification_opposition,0.9,
AN-0052,EN-012,Cluster Gamma,MS-0039,Form 39,6,0.7,1.406,opposing,False,0.58,-0.585,0.36,916,P. Tross,behavioral_observation,0.9,
AN-0053,MS-0030,Form 30,EN-002,The Dens Boundary,1,0.84,1.6762,incompatible,True,0.78,-0.79,0.77,1846,T. Vells,distance_measurement,0.75,
AN-0054,MS-0030,Form 30,MS-0039,Form 39,2,0.79,1.5725,competitive,True,0.61,-0.695,0.45,1831,P. Tross,distance_measurement,0.9,
AN-0055,MS-0030,Form 30,MS-0117,Form 117,3,0.78,1.5575,opposing,False,0.79,-0.654,0.67,918,T. Vells,distance_measurement,0.59,
AN-0056,MS-0030,Form 30,MS-0093,Form 93,4,0.76,1.5287,incompatible,True,0.68,-0.646,0.34,928,P. Tross,behavioral_observation,0.83,
AN-0057,MS-0031,Form 31,MS-0149,Form 149,1,0.89,1.7756,opposing,True,0.9,-0.777,0.5,1851,K. Strand,classification_opposition,0.71,
AN-0058,MS-0031,Form 31,MS-0087,Form 87,2,0.87,1.7357,unknown,False,0.67,-0.847,0.68,1841,P. Tross,classification_opposition,0.59,
AN-0059,MS-0031,Form 31,MS-0060,Form 60,3,0.86,1.7218,unknown,False,0.86,-0.803,0.87,927,P. Tross,trajectory_divergence,0.86,
AN-0060,MS-0031,Form 31,MS-0162,Form 162,4,0.84,1.681,unknown,True,0.69,-0.833,0.71,918,T. Vells,conflict_documentation,0.77,
AN-0061,MS-0032,Form 32,MS-0149,Form 149,1,0.95,1.9445,unknown,True,0.69,-0.831,0.57,924,P. Tross,conflict_documentation,0.8,
AN-0062,MS-0032,Form 32,MS-0096,Form 96,2,0.94,1.8754,orthogonal,False,0.84,-0.789,0.68,1837,P. Tross,behavioral_observation,0.7,
AN-0063,MS-0032,Form 32,MS-0027,The Five-Body Form,3,0.87,1.7463,historical,True,0.8,-0.715,0.55,919,T. Vells,distance_measurement,0.68,
AN-0064,MS-0032,Form 32,MS-0135,Form 135,4,0.87,1.7377,historical,True,0.69,-0.697,0.64,914,P. Tross,classification_opposition,0.8,
AN-0065,MS-0032,Form 32,MS-0148,Form 148,5,0.86,1.7195,incompatible,False,0.57,-0.698,0.88,1841,P. Tross,distance_measurement,0.61,
AN-0066,MS-0032,Form 32,MS-0068,Form 68,6,0.85,1.709,opposing,True,0.6,-0.81,0.32,1834,K. Strand,trajectory_divergence,0.54,
AN-0067,MS-0033,Form 33,MS-0039,Form 39,1,0.91,1.8127,unknown,False,0.86,-0.77,0.9,923,Constellation Survey,distance_measurement,0.95,
AN-0068,MS-0033,Form 33,MS-0060,Form 60,2,0.9,1.8064,historical,True,0.91,-0.866,0.49,921,Constellation Survey,trajectory_divergence,0.91,
AN-0069,MS-0033,Form 33,MS-0093,Form 93,3,0.88,1.7533,competitive,False,0.67,-0.863,0.34,930,P. Tross,conflict_documentation,0.76,
AN-0070,MS-0033,Form 33,MS-0086,Form 86,4,0.86,1.7146,orthogonal,True,0.71,-0.777,0.48,1842,P. Tross,classification_opposition,0.92,
AN-0071,MS-0033,Form 33,MS-0170,Form 170,5,0.84,1.6847,unknown,False,0.73,-0.737,0.22,1835,P. Tross,trajectory_divergence,0.5,
AN-0072,MS-0034,Form 34,MS-0027,The Five-Body Form,1,0.95,1.8955,competitive,True,0.68,-0.816,0.71,914,P. Tross,behavioral_observation,0.78,
AN-0073,MS-0034,Form 34,MS-0118,Form 118,2,0.93,1.8521,historical,False,0.77,-0.869,0.77,930,Archive Survey Team,classification_opposition,0.63,
AN-0074,MS-0034,Form 34,MS-0036,Form 36,3,0.87,1.7423,opposing,True,0.66,-0.761,0.48,1851,P. Tross,behavioral_observation,0.92,
AN-0075,MS-0035,Form 35,EN-002,The Dens Boundary,1,0.91,1.8131,historical,False,0.56,-0.75,0.68,926,Constellation Survey,classification_opposition,0.6,
AN-0076,MS-0035,Form 35,MS-0139,Form 139,2,0.89,1.7736,opposing,False,0.68,-0.861,0.67,1846,Archive Survey Team,conflict_documentation,0.7,
AN-0077,MS-0035,Form 35,MS-0110,Form 110,3,0.86,1.7217,unknown,True,0.74,-0.778,0.36,919,K. Strand,trajectory_divergence,0.78,
AN-0078,MS-0035,Form 35,MS-0124,Form 124,4,0.84,1.6787,unknown,True,0.71,-0.795,0.38,917,P. Tross,conflict_documentation,0.8,
AN-0079,MS-0035,Form 35,MS-0185,Form 185,5,0.84,1.6708,opposing,True,0.74,-0.714,0.8,929,P. Tross,trajectory_divergence,0.65,
AN-0080,MS-0036,Form 36,MS-0086,Form 86,1,0.95,2.1446,unknown,False,0.77,-0.939,0.21,1835,P. Tross,conflict_documentation,0.51,
AN-0081,MS-0036,Form 36,MS-0093,Form 93,2,0.95,2.0203,orthogonal,True,0.77,-0.826,0.44,916,Archive Survey Team,behavioral_observation,0.6,
AN-0082,MS-0036,Form 36,MS-0039,Form 39,3,0.95,2.0158,unknown,True,0.93,-0.779,0.33,929,P. Tross,classification_opposition,0.74,
AN-0083,MS-0036,Form 36,MS-0060,Form 60,4,0.95,1.9988,historical,False,0.82,-0.802,0.54,918,Constellation Survey,conflict_documentation,0.79,
AN-0084,MS-0037,Form 37,EN-002,The Dens Boundary,1,0.95,2.0976,incompatible,True,0.9,-0.908,0.85,1850,T. Vells,trajectory_divergence,0.83,
AN-0085,MS-0037,Form 37,MS-0117,Form 117,2,0.95,2.0777,competitive,True,0.82,-0.917,0.74,916,T. Vells,trajectory_divergence,0.65,
AN-0086,MS-0037,Form 37,MS-0188,Form 188,3,0.95,2.0499,orthogonal,True,0.95,-0.822,0.37,924,P. Tross,conflict_documentation,0.95,
AN-0087,MS-0037,Form 37,MS-0071,Form 71,4,0.95,2.0013,opposing,True,0.53,-0.792,0.46,1835,Archive Survey Team,classification_opposition,0.54,
AN-0088,MS-0038,Form 38,MS-0027,The Five-Body Form,1,0.95,2.1965,incompatible,True,0.61,-0.886,0.55,1831,P. Tross,behavioral_observation,0.79,
AN-0089,MS-0038,Form 38,MS-0159,Form 159,2,0.95,2.016,incompatible,True,0.92,-0.796,0.4,917,K. Strand,distance_measurement,0.71,
AN-0090,MS-0038,Form 38,MS-0165,Form 165,3,0.95,2.0067,competitive,True,0.8,-0.783,0.63,924,Archive Survey Team,behavioral_observation,0.76,
AN-0091,MS-0038,Form 38,MS-0128,Form 128,4,0.95,1.9888,competitive,True,0.89,-0.913,0.81,927,K. Strand,distance_measurement,0.7,
AN-0092,MS-0039,Form 39,MS-0027,The Five-Body Form,1,0.95,2.4034,opposing,True,0.69,-0.853,0.7,1836,P. Tross,conflict_documentation,0.75,
AN-0093,MS-0039,Form 39,MS-0068,Form 68,2,0.95,2.119,historical,True,0.93,-0.824,0.48,1831,P. Tross,conflict_documentation,0.74,
AN-0094,MS-0039,Form 39,MS-0159,Form 159,3,0.95,2.1177,orthogonal,True,0.72,-0.807,0.71,926,P. Tross,distance_measurement,0.71,
AN-0095,MS-0039,Form 39,MS-0165,Form 165,4,0.95,2.1034,opposing,True,0.81,-0.855,0.79,1836,P. Tross,trajectory_divergence,0.81,
AN-0096,MS-0040,Form 40,MS-0027,The Five-Body Form,1,0.95,2.0295,opposing,False,0.74,-0.941,0.8,1839,P. Tross,distance_measurement,0.5,
AN-0097,MS-0040,Form 40,MS-0068,Form 68,2,0.9,1.7967,competitive,True,0.83,-0.724,0.71,915,P. Tross,conflict_documentation,0.55,
AN-0098,MS-0040,Form 40,MS-0159,Form 159,3,0.89,1.7855,incompatible,True,0.63,-0.794,0.84,1832,Archive Survey Team,conflict_documentation,0.92,
AN-0099,MS-0040,Form 40,MS-0165,Form 165,4,0.88,1.7691,competitive,True,0.89,-0.771,0.56,1847,P. Tross,distance_measurement,0.74,
AN-0100,MS-0041,Form 41,MS-0027,The Five-Body Form,1,0.95,1.997,unknown,True,0.58,-0.94,0.32,1842,Archive Survey Team,distance_measurement,0.68,
AN-0101,MS-0041,Form 41,MS-0188,Form 188,2,0.93,1.8501,unknown,True,0.9,-0.749,0.79,1833,K. Strand,distance_measurement,0.68,
AN-0102,MS-0041,Form 41,MS-0159,Form 159,3,0.91,1.823,incompatible,True,0.61,-0.85,0.38,1833,K. Strand,classification_opposition,0.94,
AN-0103,MS-0041,Form 41,MS-0165,Form 165,4,0.9,1.809,incompatible,True,0.8,-0.882,0.53,929,P. Tross,conflict_documentation,0.95,
AN-0104,MS-0041,Form 41,MS-0128,Form 128,5,0.9,1.7956,competitive,True,0.92,-0.883,0.52,912,K. Strand,trajectory_divergence,0.84,
AN-0105,MS-0042,Form 42,MS-0027,The Five-Body Form,1,0.92,1.8433,unknown,True,0.85,-0.885,0.51,928,P. Tross,trajectory_divergence,0.74,
AN-0106,MS-0042,Form 42,MS-0159,Form 159,2,0.79,1.5875,incompatible,True,0.73,-0.752,0.72,1845,Archive Survey Team,conflict_documentation,0.83,
AN-0107,MS-0042,Form 42,MS-0068,Form 68,3,0.79,1.5873,orthogonal,True,0.67,-0.651,0.46,1837,P. Tross,distance_measurement,0.65,
AN-0108,MS-0042,Form 42,MS-0165,Form 165,4,0.79,1.5735,incompatible,False,0.77,-0.756,0.31,917,P. Tross,conflict_documentation,0.87,
AN-0109,MS-0042,Form 42,MS-0128,Form 128,5,0.77,1.549,unknown,True,0.85,-0.621,0.54,924,Archive Survey Team,conflict_documentation,0.81,
AN-0110,MS-0043,Form 43,MS-0087,Form 87,1,0.95,2.075,opposing,True,0.73,-0.886,0.71,1842,T. Vells,conflict_documentation,0.8,
AN-0111,MS-0043,Form 43,MS-0149,Form 149,2,0.95,2.0742,competitive,True,0.51,-0.937,0.86,1837,P. Tross,trajectory_divergence,0.6,
AN-0112,MS-0043,Form 43,MS-0162,Form 162,3,0.95,2.0521,orthogonal,False,0.55,-0.925,0.87,923,Archive Survey Team,behavioral_observation,0.59,
AN-0113,MS-0043,Form 43,MS-0037,Form 37,4,0.95,1.9874,historical,True,0.87,-0.931,0.46,1835,K. Strand,behavioral_observation,0.82,
AN-0114,MS-0043,Form 43,MS-0096,Form 96,5,0.95,1.9665,competitive,True,0.81,-0.821,0.45,1840,Constellation Survey,trajectory_divergence,0.52,
AN-0115,MS-0043,Form 43,MS-0060,Form 60,6,0.95,1.9455,orthogonal,True,0.56,-0.793,0.75,913,P. Tross,conflict_documentation,0.73,
AN-0116,MS-0044,Form 44,MS-0027,The Five-Body Form,1,0.95,2.0082,incompatible,True,0.55,-0.823,0.81,914,T. Vells,classification_opposition,0.88,
AN-0117,MS-0044,Form 44,MS-0068,Form 68,2,0.89,1.7863,opposing,True,0.76,-0.881,0.33,1835,Archive Survey Team,conflict_documentation,0.66,
AN-0118,MS-0044,Form 44,MS-0192,Form 192,3,0.84,1.6882,historical,True,0.55,-0.716,0.23,916,K. Strand,conflict_documentation,0.57,
AN-0119,MS-0045,Form 45,EN-002,The Dens Boundary,1,0.95,1.9079,historical,False,0.76,-0.929,0.29,927,Constellation Survey,conflict_documentation,0.86,
AN-0120,MS-0045,Form 45,MS-0139,Form 139,2,0.88,1.7678,historical,True,0.53,-0.82,0.39,916,P. Tross,trajectory_divergence,0.6,
AN-0121,MS-0045,Form 45,MS-0117,Form 117,3,0.88,1.7633,opposing,False,0.76,-0.86,0.84,912,P. Tross,conflict_documentation,0.69,
AN-0122,MS-0046,Form 46,MS-0039,Form 39,1,0.95,1.9104,historical,True,0.94,-0.769,0.52,1830,K. Strand,classification_opposition,0.82,
AN-0123,MS-0046,Form 46,MS-0060,Form 60,2,0.95,1.8979,orthogonal,True,0.93,-0.852,0.55,922,P. Tross,classification_opposition,0.85,
AN-0124,MS-0046,Form 46,MS-0093,Form 93,3,0.93,1.8621,orthogonal,False,0.87,-0.837,0.72,1843,P. Tross,trajectory_divergence,0.94,
AN-0125,MS-0046,Form 46,MS-0086,Form 86,4,0.92,1.8465,opposing,True,0.63,-0.806,0.23,929,Archive Survey Team,conflict_documentation,0.61,
AN-0126,MS-0046,Form 46,MS-0170,Form 170,5,0.9,1.7914,competitive,False,0.86,-0.746,0.28,1833,T. Vells,behavioral_observation,0.56,
AN-0127,MS-0046,Form 46,MS-0038,Form 38,6,0.85,1.6955,competitive,True,0.74,-0.714,0.33,923,P. Tross,behavioral_observation,0.75,
AN-0128,MS-0047,Form 47,MS-0148,Form 148,1,0.79,1.5868,orthogonal,False,0.92,-0.727,0.4,1851,P. Tross,classification_opposition,0.61,
AN-0129,MS-0047,Form 47,EN-002,The Dens Boundary,2,0.78,1.5626,competitive,True,0.84,-0.687,0.24,920,K. Strand,distance_measurement,0.64,
AN-0130,MS-0047,Form 47,MS-0086,Form 86,3,0.77,1.5405,incompatible,True,0.65,-0.651,0.89,1844,Constellation Survey,distance_measurement,0.53,
AN-0131,MS-0047,Form 47,MS-0188,Form 188,4,0.76,1.5281,opposing,True,0.53,-0.755,0.37,918,Constellation Survey,trajectory_divergence,0.75,
AN-0132,MS-0048,Form 48,MS-0148,Form 148,1,0.95,1.9634,orthogonal,True,0.57,-0.875,0.73,918,P. Tross,distance_measurement,0.86,
AN-0133,MS-0048,Form 48,MS-0188,Form 188,2,0.95,1.9119,orthogonal,True,0.67,-0.906,0.5,919,K. Strand,distance_measurement,0.68,
AN-0134,MS-0048,Form 48,MS-0071,Form 71,3,0.94,1.8885,competitive,True,0.67,-0.823,0.39,917,P. Tross,classification_opposition,0.69,
AN-0135,MS-0048,Form 48,MS-0117,Form 117,4,0.93,1.8555,incompatible,True,0.62,-0.757,0.78,915,K. Strand,trajectory_divergence,0.67,
AN-0136,MS-0049,Form 49,MS-0027,The Five-Body Form,1,0.95,1.9153,incompatible,False,0.71,-0.763,0.59,929,P. Tross,classification_opposition,0.56,
AN-0137,MS-0049,Form 49,MS-0068,Form 68,2,0.86,1.7158,orthogonal,True,0.58,-0.716,0.27,1845,K. Strand,trajectory_divergence,0.74,
AN-0138,MS-0049,Form 49,MS-0159,Form 159,3,0.83,1.6641,competitive,False,0.7,-0.796,0.47,1844,T. Vells,behavioral_observation,0.78,
AN-0139,MS-0050,Form 50,EN-002,The Dens Boundary,1,0.95,1.9975,orthogonal,True,0.56,-0.777,0.51,926,P. Tross,distance_measurement,0.83,
AN-0140,MS-0050,Form 50,MS-0117,Form 117,2,0.95,1.9655,competitive,True,0.88,-0.912,0.56,920,P. Tross,conflict_documentation,0.64,
AN-0141,MS-0050,Form 50,MS-0188,Form 188,3,0.95,1.9331,opposing,True,0.54,-0.773,0.79,920,P. Tross,distance_measurement,0.83,
AN-0142,MS-0051,Form 51,MS-0060,Form 60,1,0.91,1.8275,orthogonal,True,0.82,-0.732,0.9,920,P. Tross,conflict_documentation,0.67,
AN-0143,MS-0051,Form 51,MS-0039,Form 39,2,0.86,1.7257,incompatible,True,0.78,-0.762,0.81,928,P. Tross,trajectory_divergence,0.57,
AN-0144,MS-0051,Form 51,MS-0149,Form 149,3,0.86,1.7221,orthogonal,True,0.81,-0.737,0.69,915,P. Tross,trajectory_divergence,0.7,
AN-0145,MS-0051,Form 51,MS-0086,Form 86,4,0.86,1.7204,opposing,False,0.51,-0.831,0.47,929,P. Tross,classification_opposition,0.81,
AN-0146,MS-0051,Form 51,MS-0087,Form 87,5,0.86,1.7171,historical,True,0.74,-0.754,0.52,1830,P. Tross,distance_measurement,0.8,
AN-0147,MS-0052,Form 52,MS-0148,Form 148,1,0.91,1.8275,orthogonal,True,0.78,-0.839,0.47,922,Constellation Survey,classification_opposition,0.79,
AN-0148,MS-0052,Form 52,MS-0149,Form 149,2,0.87,1.7356,orthogonal,True,0.7,-0.795,0.57,927,P. Tross,classification_opposition,0.62,
AN-0149,MS-0052,Form 52,MS-0086,Form 86,3,0.86,1.722,competitive,False,0.88,-0.797,0.5,929,Constellation Survey,behavioral_observation,0.52,
AN-0150,MS-0053,Form 53,MS-0188,Form 188,1,0.83,1.6605,competitive,True,0.54,-0.746,0.66,1831,T. Vells,classification_opposition,0.78,
AN-0151,MS-0053,Form 53,MS-0027,The Five-Body Form,2,0.83,1.6593,opposing,True,0.84,-0.824,0.51,1849,K. Strand,classification_opposition,0.92,
AN-0152,MS-0053,Form 53,MS-0117,Form 117,3,0.83,1.6511,orthogonal,False,0.68,-0.767,0.25,916,Constellation Survey,classification_opposition,0.59,
AN-0153,MS-0053,Form 53,EN-002,The Dens Boundary,4,0.81,1.6216,opposing,True,0.9,-0.786,0.25,928,P. Tross,distance_measurement,0.58,
AN-0154,MS-0054,Form 54,MS-0086,Form 86,1,0.94,1.871,opposing,False,0.65,-0.89,0.26,1845,Constellation Survey,behavioral_observation,0.61,
AN-0155,MS-0054,Form 54,MS-0039,Form 39,2,0.92,1.8402,opposing,True,0.58,-0.805,0.35,1842,Constellation Survey,conflict_documentation,0.61,
AN-0156,MS-0054,Form 54,MS-0093,Form 93,3,0.91,1.8228,unknown,True,0.57,-0.821,0.76,925,K. Strand,behavioral_observation,0.65,
AN-0157,MS-0054,Form 54,MS-0148,Form 148,4,0.9,1.7962,orthogonal,True,0.73,-0.862,0.84,1831,Constellation Survey,trajectory_divergence,0.9,
AN-0158,MS-0054,Form 54,MS-0170,Form 170,5,0.89,1.784,competitive,True,0.93,-0.799,0.56,913,P. Tross,distance_measurement,0.68,
AN-0159,MS-0055,Form 55,EN-002,The Dens Boundary,1,0.92,1.8469,competitive,True,0.87,-0.794,0.67,918,P. Tross,conflict_documentation,0.6,
AN-0160,MS-0055,Form 55,MS-0117,Form 117,2,0.86,1.7296,historical,True,0.95,-0.716,0.48,912,Constellation Survey,behavioral_observation,0.73,
AN-0161,MS-0055,Form 55,MS-0043,Form 43,3,0.85,1.6902,incompatible,False,0.8,-0.726,0.36,1838,K. Strand,trajectory_divergence,0.8,
AN-0162,MS-0055,Form 55,MS-0139,Form 139,4,0.84,1.6875,historical,True,0.6,-0.699,0.72,1851,Constellation Survey,distance_measurement,0.75,
AN-0163,MS-0056,Form 56,MS-0149,Form 149,1,0.95,1.9919,unknown,True,0.76,-0.909,0.79,1831,P. Tross,distance_measurement,0.87,
AN-0164,MS-0056,Form 56,MS-0096,Form 96,2,0.95,1.903,historical,True,0.58,-0.911,0.64,929,P. Tross,conflict_documentation,0.6,
AN-0165,MS-0056,Form 56,MS-0162,Form 162,3,0.94,1.8823,incompatible,True,0.64,-0.873,0.56,926,P. Tross,conflict_documentation,0.7,
AN-0166,MS-0057,Form 57,MS-0027,The Five-Body Form,1,0.79,1.5718,unknown,True,0.57,-0.716,0.61,913,K. Strand,distance_measurement,0.72,
AN-0167,MS-0057,Form 57,MS-0149,Form 149,2,0.74,1.4867,competitive,True,0.73,-0.688,0.56,1839,Constellation Survey,trajectory_divergence,0.57,
AN-0168,MS-0057,Form 57,MS-0096,Form 96,3,0.72,1.4332,unknown,False,0.89,-0.644,0.37,1845,P. Tross,classification_opposition,0.59,
AN-0169,MS-0057,Form 57,MS-0068,Form 68,4,0.7,1.3985,opposing,False,0.62,-0.594,0.22,1836,P. Tross,conflict_documentation,0.92,
