communication_id,date,sender,sender_region,receiver,receiver_region,communication_type,topic,dispute_referenced,trust_stage,outcome
NC-021,850-06-15,morrin_kade,densmok,anonymous_2,western_regional,written_coded,supplement_copy,distribution_scope,exchange,successful
NC-022,850-06-22,pollux_k,mountain_province,morrin_kade,densmok,written_coded,coding_update,documentation_silence,exchange,successful
NC-023,850-07-01,voss_l,densmok,crenla_b,eastern_regional,in_person,historical_context,instructor_morin,exchange,successful
NC-024,850-07-08,anonymous_3,eastern_regional,terin_holt,eastern_regional,in_person,new_contact,none,testing,successful
NC-025,850-07-15,morrin_kade,densmok,renna_v,border_services,written_coded,dispute_update,reform_survival,exchange,successful
NC-026,850-07-22,dessa_morin,densmok,morrin_kade,densmok,in_person,case_review,none,protection,successful
NC-027,850-08-01,vella_marsh,northern_regional,anonymous_1,northern_regional,in_person,local_coordination,distribution_scope,protection,successful
NC-028,850-08-08,crenla_b,eastern_regional,morrin_kade,densmok,written_coded,termination_data,responsibility,exchange,successful
NC-029,850-08-15,tommel_g,densmok,jace_t,densmok,in_person,reconciliation,instructor_morin,testing,successful
NC-030,850-08-22,morrin_kade,densmok,pollux_k,mountain_province,written_coded,cluster_analysis,none,exchange,successful
NC-031,850-09-01,terin_holt,eastern_regional,morrin_kade,densmok,written_coded,batch_method,supplement_itself,exchange,successful
NC-032,850-09-08,renna_v,border_services,dessa_morin,densmok,in_person,historical_question,none,exchange,successful
NC-033,850-09-15,anonymous_2,western_regional,morrin_kade,densmok,written_coded,western_variant,supplement_itself,exchange,successful
NC-034,850-09-22,morrin_kade,densmok,vella_marsh,northern_regional,written_coded,seasonal_update,none,exchange,successful
NC-035,850-10-01,crenla_b,eastern_regional,terin_holt,eastern_regional,in_person,local_dispute,reform_survival,exchange,partial
NC-036,850-10-08,pollux_k,mountain_province,anonymous_4,mountain_province,in_person,new_contact,none,recognition,partial
NC-037,850-10-15,morrin_kade,densmok,tommel_g,densmok,in_person,analysis_review,none,protection,successful
NC-038,850-10-22,dessa_morin,densmok,crenla_b,eastern_regional,in_person,methodology,none,protection,successful
NC-039,850-11-01,voss_l,densmok,morrin_kade,densmok,in_person,perren_attribution,instructor_morin,exchange,successful
NC-040,850-11-08,terin_holt,eastern_regional,renna_v,border_services,written_coded,adaptation_methods,none,exchange,successful
NC-041,850-11-15,morrin_kade,densmok,anonymous_1,northern_regional,written_coded,position_response,responsibility,exchange,successful
NC-042,850-11-22,vella_marsh,northern_regional,morrin_kade,densmok,oral_relay,winter_warning,none,protection,successful
NC-043,850-12-01,anonymous_3,eastern_regional,crenla_b,eastern_regional,in_person,trust_established,none,exchange,successful
NC-044,850-12-08,pollux_k,mountain_province,renna_v,border_services,in_person,cross_regional,reform_survival,exchange,successful
NC-045,850-12-15,morrin_kade,densmok,dessa_morin,densmok,in_person,year_review,none,protection,successful
NC-046,851-01-01,dessa_morin,densmok,morrin_kade,densmok,in_person,trust_guide_draft,none,protection,successful
NC-047,851-01-08,tommel_g,densmok,crenla_b,eastern_regional,written_coded,quote_update,none,exchange,successful
NC-048,851-01-15,morrin_kade,densmok,terin_holt,eastern_regional,written_coded,trust_methodology,none,exchange,successful
NC-049,851-01-22,renna_v,border_services,morrin_kade,densmok,written_coded,case_study,none,exchange,successful
NC-050,851-02-01,vella_marsh,northern_regional,dessa_morin,densmok,oral_relay,warning_signs,none,exchange,successful
NC-051,851-02-08,crenla_b,eastern_regional,pollux_k,mountain_province,written_coded,cross_cluster,documentation_silence,exchange,successful
NC-052,851-02-15,morrin_kade,densmok,anonymous_2,western_regional,written_coded,trust_guide,none,exchange,successful
NC-053,851-02-22,terin_holt,eastern_regional,morrin_kade,densmok,written_coded,feedback,none,exchange,successful
NC-054,851-03-01,anonymous_1,northern_regional,vella_marsh,northern_regional,in_person,distribution_debate,distribution_scope,exchange,partial
NC-055,851-03-08,pollux_k,mountain_province,morrin_kade,densmok,written_coded,cluster_feedback,none,exchange,successful
NC-056,851-03-15,morrin_kade,densmok,tommel_g,densmok,in_person,disputes_draft,none,exchange,successful
NC-057,851-03-22,dessa_morin,densmok,renna_v,border_services,in_person,historical,none,protection,successful
NC-058,851-04-01,voss_l,densmok,morrin_kade,densmok,in_person,early_days,none,protection,successful
NC-059,851-04-08,crenla_b,eastern_regional,vella_marsh,northern_regional,oral_relay,stability_update,instability_causes,exchange,successful
NC-060,851-04-15,morrin_kade,densmok,dessa_morin,densmok,in_person,disputes_review,none,protection,successful
NC-061,851-04-22,terin_holt,eastern_regional,anonymous_3,eastern_regional,in_person,local_trust,none,protection,successful
NC-062,851-05-01,renna_v,border_services,crenla_b,eastern_regional,written_coded,border_conditions,none,exchange,successful
NC-063,851-05-08,morrin_kade,densmok,pollux_k,mountain_province,written_coded,disputes_final,none,exchange,successful
NC-064,851-05-15,anonymous_2,western_regional,morrin_kade,densmok,written_coded,western_feedback,supplement_itself,exchange,successful
NC-065,851-05-22,vella_marsh,northern_regional,morrin_kade,densmok,oral_relay,disputes_position,reform_survival,exchange,successful
NC-066,851-06-01,pollux_k,mountain_province,terin_holt,eastern_regional,in_person,cross_regional,none,exchange,successful
NC-067,851-06-08,morrin_kade,densmok,crenla_b,eastern_regional,written_coded,compilation_update,none,exchange,successful
NC-068,851-06-15,dessa_morin,densmok,morrin_kade,densmok,in_person,final_review,none,protection,successful
NC-069,851-06-22,tommel_g,densmok,voss_l,densmok,in_person,historical_comparison,instructor_morin,exchange,successful
NC-070,851-07-01,morrin_kade,densmok,renna_v,border_services,written_coded,guide_complete,none,exchange,successful
NC-071,849-03-15,crenla_b,eastern_regional,morrin_kade,densmok,in_person,initial_contact,none,recognition,successful
NC-072,849-04-01,morrin_kade,densmok,crenla_b,eastern_regional,in_person,testing_exchange,none,testing,successful
NC-073,849-05-15,dessa_morin,densmok,morrin_kade,densmok,in_person,first_teaching,none,exchange,successful
NC-074,849-06-01,morrin_kade,densmok,tommel_g,densmok,in_person,peer_connection,none,recognition,successful
NC-075,849-07-15,renna_v,border_services,crenla_b,eastern_regional,in_person,regional_link,none,testing,successful
NC-076,849-08-01,morrin_kade,densmok,renna_v,border_services,written_coded,first_written,none,exchange,successful
NC-077,849-09-15,pollux_k,mountain_province,crenla_b,eastern_regional,oral_relay,mountain_contact,none,testing,successful
NC-078,849-10-01,terin_holt,eastern_regional,morrin_kade,densmok,in_person,eastern_connection,none,recognition,successful
NC-079,849-11-15,vella_marsh,northern_regional,renna_v,border_services,oral_relay,northern_contact,none,testing,successful
NC-080,849-12-01,morrin_kade,densmok,dessa_morin,densmok,in_person,supplement_proposal,none,exchange,successful
NC-081,850-01-08,crenla_b,eastern_regional,terin_holt,eastern_regional,in_person,eastern_coordination,none,exchange,successful
NC-082,850-01-29,anonymous_1,northern_regional,vella_marsh,northern_regional,in_person,northern_contact,distribution_scope,testing,successful
NC-083,850-02-28,morrin_kade,densmok,crenla_b,eastern_regional,written_coded,eastern_update,none,exchange,successful
NC-084,850-03-28,voss_l,densmok,dessa_morin,densmok,in_person,historical_query,none,protection,successful
NC-085,850-04-28,terin_holt,eastern_regional,pollux_k,mountain_province,oral_relay,cross_regional,none,testing,successful
NC-086,850-05-28,morrin_kade,densmok,anonymous_2,western_regional,written_coded,western_contact,none,testing,successful
NC-087,850-06-28,renna_v,border_services,vella_marsh,northern_regional,oral_relay,border_northern,none,exchange,successful
NC-088,850-07-28,crenla_b,eastern_regional,dessa_morin,densmok,in_person,dessa_visit,none,protection,successful
NC-089,850-08-28,morrin_kade,densmok,terin_holt,eastern_regional,written_coded,pattern_update,supplement_itself,exchange,successful
NC-090,850-09-28,anonymous_3,eastern_regional,morrin_kade,densmok,written_coded,new_eastern_contact,none,testing,successful
NC-091,850-10-28,pollux_k,mountain_province,crenla_b,eastern_regional,oral_relay,mountain_update,none,exchange,successful
NC-092,850-11-28,vella_marsh,northern_regional,terin_holt,eastern_regional,oral_relay,cross_regional_warning,none,exchange,successful
NC-093,850-12-28,morrin_kade,densmok,pollux_k,mountain_province,written_coded,year_end_summary,none,exchange,successful
NC-094,851-01-28,dessa_morin,densmok,crenla_b,eastern_regional,in_person,eastern_visit,none,protection,successful
NC-095,851-02-28,terin_holt,eastern_regional,renna_v,border_services,written_coded,eastern_border_link,none,exchange,successful
NC-096,851-03-28,morrin_kade,densmok,vella_marsh,northern_regional,written_coded,northern_update,none,exchange,successful
NC-097,851-04-28,anonymous_1,northern_regional,morrin_kade,densmok,written_coded,northern_position,responsibility,exchange,successful
NC-098,851-05-28,crenla_b,eastern_regional,morrin_kade,densmok,written_coded,eastern_feedback,none,exchange,successful
NC-099,850-04-05,failed_contact_1,densmok,morrin_kade,densmok,in_person,suspicious_approach,none,recognition,failed
NC-100,850-07-12,morrin_kade,densmok,failed_contact_2,eastern_regional,written_coded,insufficient_trust,none,testing,failed
NC-101,850-09-18,failed_contact_3,northern_regional,vella_marsh,northern_regional,in_person,too_eager,none,testing,failed
NC-102,850-11-03,terin_holt,eastern_regional,failed_contact_4,eastern_regional,in_person,inconsistent_story,none,testing,failed
NC-103,851-01-19,failed_contact_5,mountain_province,pollux_k,mountain_province,in_person,documentation_obsession,none,testing,failed
NC-104,851-03-05,anonymous_4,mountain_province,morrin_kade,densmok,written_coded,unverified_contact,none,testing,partial
NC-105,851-04-20,failed_contact_6,border_services,renna_v,border_services,in_person,supervisor_connection,none,recognition,failed
NC-106,849-08-15,morrin_kade,eastern_regional,supervisor_unknown,eastern_regional,official,termination_notice,none,none,terminated
NC-107,849-09-01,morrin_kade,densmok,dessa_morin,densmok,in_person,post_termination,none,testing,successful
NC-108,849-10-15,dessa_morin,densmok,morrin_kade,densmok,in_person,formal_acceptance,none,exchange,successful
NC-109,850-02-05,morrin_kade,densmok,jace_t,densmok,in_person,initial_tension,instructor_morin,recognition,partial
NC-110,850-06-12,jace_t,densmok,tommel_g,densmok,in_person,mediation,instructor_morin,testing,successful
NC-111,850-09-05,morrin_kade,densmok,jace_t,densmok,in_person,resolution,instructor_morin,exchange,successful
NC-112,850-03-20,crenla_b,eastern_regional,anonymous_3,eastern_regional,in_person,eastern_internal,none,recognition,successful
NC-113,850-05-20,anonymous_3,eastern_regional,terin_holt,eastern_regional,in_person,eastern_coordination,none,testing,successful
NC-114,850-07-20,terin_holt,eastern_regional,crenla_b,eastern_regional,in_person,eastern_trust_building,none,exchange,successful
NC-115,850-09-20,anonymous_3,eastern_regional,crenla_b,eastern_regional,in_person,full_eastern_network,none,protection,successful
NC-116,850-04-10,vella_marsh,northern_regional,anonymous_5,northern_regional,in_person,northern_internal,distribution_scope,recognition,successful
NC-117,850-06-10,anonymous_5,northern_regional,anonymous_1,northern_regional,in_person,northern_coordination,distribution_scope,testing,successful
NC-118,850-08-10,anonymous_1,northern_regional,vella_marsh,northern_regional,in_person,northern_trust,none,exchange,successful
NC-119,850-10-10,vella_marsh,northern_regional,anonymous_5,northern_regional,in_person,northern_protection,none,protection,successful
NC-120,850-05-05,pollux_k,mountain_province,anonymous_4,mountain_province,in_person,mountain_internal,documentation_silence,recognition,partial
NC-121,850-07-05,anonymous_4,mountain_province,pollux_k,mountain_province,in_person,mountain_testing,documentation_silence,testing,partial
NC-122,850-09-05,pollux_k,mountain_province,anonymous_4,mountain_province,in_person,mountain_exchange,documentation_silence,exchange,successful
NC-123,850-02-12,renna_v,border_services,anonymous_6,border_services,in_person,border_internal,reform_survival,recognition,successful
NC-124,850-04-12,anonymous_6,border_services,renna_v,border_services,in_person,border_testing,reform_survival,testing,successful
NC-125,850-06-12,renna_v,border_services,anonymous_6,border_services,in_person,border_exchange,none,exchange,successful
NC-126,850-08-12,anonymous_6,border_services,renna_v,border_services,in_person,border_protection,none,protection,successful
NC-127,850-11-20,morrin_kade,densmok,anonymous_5,northern_regional,written_coded,cross_cluster_attempt,documentation_silence,testing,partial
NC-128,851-02-05,anonymous_5,northern_regional,morrin_kade,densmok,written_coded,cross_cluster_response,documentation_silence,exchange,successful
NC-129,851-04-05,morrin_kade,densmok,anonymous_6,border_services,written_coded,cross_cluster_attempt,reform_survival,testing,successful
NC-130,851-06-05,anonymous_6,border_services,morrin_kade,densmok,written_coded,cross_cluster_response,reform_survival,exchange,successful
NC-131,850-01-03,dessa_morin,densmok,voss_l,densmok,in_person,old_guard_meeting,none,protection,successful
NC-132,850-03-03,voss_l,densmok,dessa_morin,densmok,in_person,historical_comparison,none,protection,successful
NC-133,850-05-03,dessa_morin,densmok,voss_l,densmok,in_person,methodology_discussion,none,protection,successful
NC-134,850-07-03,voss_l,densmok,dessa_morin,densmok,in_person,successor_planning,none,protection,successful
NC-135,850-09-03,dessa_morin,densmok,voss_l,densmok,in_person,network_assessment,none,protection,successful
NC-136,850-11-03,voss_l,densmok,dessa_morin,densmok,in_person,year_review,none,protection,successful
NC-137,851-01-03,dessa_morin,densmok,voss_l,densmok,in_person,trust_guide_review,none,protection,successful
NC-138,851-03-03,voss_l,densmok,dessa_morin,densmok,in_person,disputes_review,none,protection,successful
NC-139,851-05-03,dessa_morin,densmok,voss_l,densmok,in_person,final_compilation,none,protection,successful
NC-140,851-07-03,voss_l,densmok,dessa_morin,densmok,in_person,guide_complete,none,protection,successful
NC-141,850-04-25,morrin_kade,densmok,unknown_western,western_regional,written_coded,initial_western,none,recognition,partial
NC-142,850-05-25,unknown_western,western_regional,anonymous_2,western_regional,in_person,western_internal,none,testing,successful
NC-143,850-06-25,anonymous_2,western_regional,morrin_kade,densmok,written_coded,western_established,none,exchange,successful
NC-144,850-08-25,morrin_kade,densmok,anonymous_2,western_regional,written_coded,western_update,supplement_itself,exchange,successful
NC-145,850-10-25,anonymous_2,western_regional,morrin_kade,densmok,written_coded,western_variant_update,none,exchange,successful
NC-146,850-12-25,morrin_kade,densmok,anonymous_2,western_regional,written_coded,year_end_western,none,exchange,successful
NC-147,851-02-25,anonymous_2,western_regional,morrin_kade,densmok,written_coded,western_trust_guide,none,exchange,successful
NC-148,851-04-25,morrin_kade,densmok,anonymous_2,western_regional,written_coded,western_disputes,none,exchange,successful
NC-149,851-06-25,anonymous_2,western_regional,morrin_kade,densmok,written_coded,western_complete,none,exchange,successful
NC-150,851-07-15,morrin_kade,densmok,all_network,all_regions,written_coded,guide_distribution,none,exchange,successful
