form_id,form_name,form_category,dim_1_symmetry,dim_2_complexity,dim_3_mobility,dim_4_durability,dim_5_reactivity,nearest_neighbor_id,nearest_neighbor_distance,cluster_id,pol_classification,realized_instances
FORM-0188,Cartographer's Office (Variant 23),architectural,0.322,0.423,0,0.35,0.2,FORM-0164,0.0529,7,complex_dominant,11
FORM-0187,Column Barracks (Variant 22),architectural,0.435,0.827,0.182,0.419,0.076,FORM-0173,0.1426,1,complex_dominant,6
FORM-0122,Archivist Compass (Variant 12),artifact,0.245,0.542,0.122,0.357,0.278,FORM-0091,0.0886,3,complex_dominant,217
FORM-0171,Yeller Quarry Mine (Variant 6),architectural,0.666,0.772,0.071,0.324,0,FORM-0195,0.1119,5,complex_dominant,35
FORM-0149,Form Mirror (Variant 39),artifact,0.166,0.489,0,0.269,0.384,FORM-0122,0.2072,4,complex_dominant,200
FORM-0089,Swamp Lily (Variant 24),plant,0.597,0.201,0.29,0.429,0.38,FORM-0071,0.216,2,symmetric_dominant,47419
FORM-0076,Mineral Tree (Variant 11),plant,0.709,0.198,0.173,0.682,0.272,FORM-0082,0.1294,0,symmetric_dominant,72297
FORM-0111,Trader Token (Variant 1),artifact,0.566,0.745,0,0.493,0.006,FORM-0183,0.0729,3,complex_dominant,494
FORM-0084,Salt Shrub (Variant 19),plant,0.816,0.484,0.202,0.468,0.139,FORM-0078,0.1683,4,symmetric_dominant,6070
FORM-0042,Cave Bat (Variant 17),creature,0.119,0.54,0.548,0.337,0.668,FORM-0030,0.1995,0,reactive_dominant,1044
FORM-0196,Tower of Mirado (Variant 31),architectural,0.598,0.695,0,0.317,0,FORM-0195,0.0709,4,complex_dominant,24
FORM-0106,Memory Vessel,artifact,0.413,0.548,0,0.441,0.219,FORM-0120,0.1092,1,complex_dominant,429
FORM-0132,Basin Measure (Variant 22),artifact,0.115,0.352,0.113,0.639,0.125,FORM-0113,0.1552,0,durable_dominant,53
FORM-0152,Capital Archive,architectural,1,0.458,0,0.582,0.141,FORM-0079,0.2679,4,symmetric_dominant,3
FORM-0112,Cipher Stone (Variant 2),artifact,0.377,0.522,0.101,0.58,0.386,FORM-0057,0.1436,0,durable_dominant,157
FORM-0053,Tunnel Fern,plant,0.826,0.139,0.037,0.512,0.218,FORM-0079,0.1636,2,symmetric_dominant,40496
FORM-0107,Resonance Tuner,artifact,0.181,0.749,0.066,0.551,0.265,FORM-0115,0.123,6,complex_dominant,211
FORM-0113,Expedition Lamp (Variant 3),artifact,0.116,0.284,0.035,0.581,0.225,FORM-0132,0.1552,4,durable_dominant,160
FORM-0057,Grimslew Kelp,plant,0.389,0.437,0.026,0.572,0.299,FORM-0118,0.0803,1,durable_dominant,20688
FORM-0026,Hogfoot (Variant 1),creature,0.69,0.949,0.724,0.531,0.711,FORM-0043,0.2115,5,complex_dominant,3237
FORM-0167,Archive Wing (Variant 2),architectural,0.545,0.661,0.015,0.309,0.202,FORM-0189,0.1206,7,complex_dominant,41
FORM-0069,Mineral Tree (Variant 4),plant,0.669,0.469,0.067,0.583,0.154,FORM-0185,0.1261,5,symmetric_dominant,24427
FORM-0008,Coil Tube Serpent,creature,0.607,0.577,0.69,0.35,0.498,FORM-0028,0.1633,1,mobile_dominant,4269
FORM-0055,Densroot,plant,0.466,0.254,0.118,0.439,0.459,FORM-0085,0.168,1,symmetric_dominant,33464
FORM-0067,Marsh Reed (Variant 2),plant,0.772,0.295,0.024,0.731,0.291,FORM-0079,0.1882,4,symmetric_dominant,89926
FORM-0048,Deep Borer (Variant 23),creature,0.164,0.678,0.706,0.378,0.621,FORM-0030,0.1364,5,mobile_dominant,4398
FORM-0200,Yeller Quarry Mine (Variant 35),architectural,0.386,0.701,0,0.486,0.075,FORM-0116,0.0988,5,complex_dominant,5
FORM-0182,Capital Archive (Variant 17),architectural,0.509,0.73,0.245,0.495,0.075,FORM-0187,0.1569,5,complex_dominant,25
FORM-0175,Capital Archive (Variant 10),architectural,0.068,0.842,0,0.269,0.112,FORM-0193,0.2423,4,complex_dominant,45
FORM-0104,Trader Token,artifact,0.356,0.658,0.082,0.1,0.247,FORM-0184,0.2597,7,complex_dominant,15
FORM-0043,Metal-Beaked Finch (Variant 18),creature,0.832,0.837,0.651,0.48,0.647,FORM-0036,0.1752,2,complex_dominant,3220
FORM-0157,Dens Watchtower,architectural,0.456,0.752,0.172,0.205,0.027,FORM-0184,0.155,3,complex_dominant,30
FORM-0141,Basin Measure (Variant 31),artifact,0.486,0.574,0,0.488,0.128,FORM-0103,0.1054,5,complex_dominant,87
FORM-0017,Grimslew Fish,creature,0.395,0.481,0.61,0.2,0.595,FORM-0014,0.2495,1,mobile_dominant,4027
FORM-0015,Greybeakeel,creature,0.722,0.573,0.68,0.602,0.812,FORM-0011,0.1196,3,reactive_dominant,4576
FORM-0177,Yeller Quarry Mine (Variant 12),architectural,0,0.685,0.091,0.5,0.122,FORM-0123,0.2256,2,complex_dominant,27
FORM-0079,Quarry Lichen (Variant 14),plant,0.807,0.278,0,0.581,0.187,FORM-0053,0.1636,0,symmetric_dominant,47629
FORM-0139,Yeller Cage (Variant 29),artifact,0.267,0.876,0.171,0.497,0.363,FORM-0107,0.217,2,complex_dominant,3
FORM-0136,Resonance Tuner (Variant 26),artifact,0.294,0.769,0.211,0.645,0.244,FORM-0128,0.1685,6,complex_dominant,426
FORM-0073,Quarry Lichen (Variant 8),plant,0.669,0.252,0.017,0.51,0.278,FORM-0068,0.1013,6,symmetric_dominant,19841
FORM-0033,Quarry Moth (Variant 8),creature,0.866,0.61,0.565,0.371,0.52,FORM-0021,0.1078,6,symmetric_dominant,3953
FORM-0166,Guild Hall (Variant 1),architectural,0.738,0.562,0,0.413,0,FORM-0072,0.1442,1,symmetric_dominant,6
FORM-0137,Guild Badge (Variant 27),artifact,0.351,0.618,0.009,0.526,0.308,FORM-0120,0.129,3,complex_dominant,292
FORM-0011,Cave Bat,creature,0.744,0.611,0.771,0.58,0.752,FORM-0015,0.1196,2,mobile_dominant,3981
FORM-0162,Stone Waypoint,architectural,0.714,0.914,0,0.391,0.007,FORM-0153,0.1648,0,complex_dominant,43
FORM-0135,Form Mirror (Variant 25),artifact,0.497,0.683,0.034,0.649,0.257,FORM-0103,0.1711,3,complex_dominant,190
FORM-0190,Archive Wing (Variant 25),architectural,0.585,0.67,0,0.177,0.011,FORM-0172,0.0961,0,complex_dominant,46
FORM-0124,Mapping Sphere (Variant 14),artifact,0.575,0.611,0.149,0.484,0.098,FORM-0181,0.092,4,complex_dominant,20
FORM-0034,Coil Tube Serpent (Variant 9),creature,0.416,0.731,0.7,0.138,0.982,FORM-0009,0.3288,5,reactive_dominant,1950
FORM-0159,Expedition Camp,architectural,0.864,0.793,0.025,0.272,0.358,FORM-0197,0.2321,7,symmetric_dominant,7
FORM-0051,Marsh Reed,plant,0.635,0.512,0.206,0.423,0.231,FORM-0059,0.1305,7,symmetric_dominant,20265
FORM-0128,Form Mirror (Variant 18),artifact,0.362,0.646,0.158,0.569,0.252,FORM-0119,0.1095,1,complex_dominant,239
FORM-0115,Navigator's Ring (Variant 5),artifact,0.183,0.835,0.001,0.547,0.206,FORM-0107,0.123,0,complex_dominant,269
FORM-0199,Column Barracks (Variant 34),architectural,0.586,0.565,0,0.511,0.066,FORM-0176,0.0917,1,symmetric_dominant,9
FORM-0181,Tower of Mirado (Variant 16),architectural,0.607,0.59,0.088,0.49,0.041,FORM-0156,0.0677,3,symmetric_dominant,45
FORM-0114,Expedition Lamp (Variant 4),artifact,0.344,0.515,0,0.618,0.111,FORM-0126,0.1251,1,durable_dominant,495
FORM-0028,Nothing Bird (Variant 3),creature,0.597,0.54,0.712,0.502,0.538,FORM-0008,0.1633,0,mobile_dominant,3878
FORM-0126,Navigator's Ring (Variant 16),artifact,0.455,0.458,0,0.61,0.113,FORM-0101,0.0545,5,durable_dominant,276
FORM-0007,Metal-Beaked Finch,creature,0.824,0.775,0.702,0.695,0.588,FORM-0039,0.174,0,symmetric_dominant,2088
FORM-0102,Survey Rod,artifact,0.271,0.699,0,0.687,0.367,FORM-0099,0.1943,0,complex_dominant,346
FORM-0005,Maw Beast,creature,0.735,0.641,0.578,0.4,0.704,FORM-0016,0.193,1,symmetric_dominant,630
FORM-0108,Basin Measure,artifact,0.393,0.558,0,0.554,0.197,FORM-0103,0.0468,1,complex_dominant,250
FORM-0020,Pocket Bird,creature,0.687,0.306,0.682,0.517,0.686,FORM-0006,0.2074,3,symmetric_dominant,3594
FORM-0148,Silver Marker (Variant 38),artifact,0.769,0.551,0.089,0.718,0.144,FORM-0178,0.1563,1,symmetric_dominant,104
FORM-0179,Expedition Camp (Variant 14),architectural,0.534,0.296,0.046,0.329,0,FORM-0150,0.1418,6,symmetric_dominant,49
FORM-0105,Navigator's Ring,artifact,0.418,0.429,0.127,0.505,0.135,FORM-0127,0.1294,6,durable_dominant,362
FORM-0116,Archivist Compass (Variant 6),artifact,0.35,0.71,0.072,0.503,0.129,FORM-0200,0.0988,2,complex_dominant,486
FORM-0134,Archive Seal (Variant 24),artifact,0.477,0.498,0,0.639,0.22,FORM-0101,0.0925,0,durable_dominant,410
FORM-0172,Cartographer's Office (Variant 7),architectural,0.635,0.592,0,0.2,0,FORM-0190,0.0961,2,symmetric_dominant,14
FORM-0003,Granite Wren,creature,0.755,0.796,0.508,0.628,0.714,FORM-0047,0.1176,0,complex_dominant,196
FORM-0147,Mapping Sphere (Variant 37),artifact,0.389,0.524,0,0.42,0.104,FORM-0117,0.1158,2,complex_dominant,298
FORM-0024,Quarry Moth,creature,0.24,0.655,0.687,0.396,0.808,FORM-0014,0.1453,7,reactive_dominant,1103
FORM-0170,Expedition Camp (Variant 5),architectural,0.415,0.591,0.042,0.371,0,FORM-0117,0.133,1,complex_dominant,42
FORM-0062,Swamp Lily,plant,0.611,0.275,0.254,0.297,0.223,FORM-0087,0.1945,7,symmetric_dominant,70050
FORM-0058,Surface Grass,plant,0.706,0.568,0.09,0.508,0.265,FORM-0158,0.1703,6,symmetric_dominant,94271
FORM-0164,Senate Chamber,architectural,0.352,0.386,0,0.327,0.199,FORM-0188,0.0529,0,complex_dominant,4
FORM-0088,Surface Grass (Variant 23),plant,0.616,0.191,0.075,0.582,0.345,FORM-0068,0.1365,2,symmetric_dominant,5160
FORM-0087,Quarry Lichen (Variant 22),plant,0.494,0.372,0.165,0.379,0.232,FORM-0096,0.1648,3,symmetric_dominant,57436
FORM-0090,Marsh Reed (Variant 25),plant,0.798,0.389,0.142,0.543,0.305,FORM-0078,0.1231,0,symmetric_dominant,43845
FORM-0010,Gritsmuck Crawler,creature,0.118,0.554,0.626,0.211,0.808,FORM-0042,0.2043,0,reactive_dominant,1638
FORM-0161,Grimslew Dock,architectural,0.182,0.598,0,0.603,0.136,FORM-0143,0.1572,2,durable_dominant,28
FORM-0163,Archive Wing,architectural,0.41,0.537,0.251,0.264,0.135,FORM-0127,0.2401,6,complex_dominant,37
FORM-0131,Guild Badge (Variant 21),artifact,0.516,0.415,0,0.666,0.169,FORM-0101,0.0592,3,durable_dominant,494
FORM-0133,Yeller Cage (Variant 23),artifact,0.227,0.612,0.112,0.586,0.242,FORM-0110,0.125,5,complex_dominant,12
FORM-0100,Tracking Ball,artifact,0.336,0.833,0,0.632,0.028,FORM-0140,0.08,4,complex_dominant,333
FORM-0002,Stone Spine Lizard,creature,0.586,0.472,0.628,0.602,0.646,FORM-0018,0.1649,0,reactive_dominant,1468
FORM-0160,Survey Station,architectural,0.53,0.463,0,0.471,0.1,FORM-0141,0.1238,5,symmetric_dominant,43
FORM-0195,Senate Chamber (Variant 30),architectural,0.619,0.671,0.062,0.33,0,FORM-0196,0.0709,3,complex_dominant,37
FORM-0184,Grimslew Dock (Variant 19),architectural,0.483,0.762,0.097,0.271,0.142,FORM-0157,0.155,7,complex_dominant,39
FORM-0129,Navigator's Ring (Variant 19),artifact,0.201,0.528,0.137,0.699,0.224,FORM-0133,0.1465,6,durable_dominant,270
FORM-0193,Marsh Bridge (Variant 28),architectural,0.265,0.806,0,0.347,0,FORM-0169,0.2047,4,complex_dominant,6
FORM-0037,Quarry Moth (Variant 12),creature,0.315,0.737,0.763,0.453,0.614,FORM-0013,0.173,1,mobile_dominant,580
FORM-0185,Dens Watchtower (Variant 20),architectural,0.606,0.535,0.15,0.559,0.144,FORM-0158,0.0968,2,symmetric_dominant,30
FORM-0080,Stone Ivy (Variant 15),plant,0.33,0.198,0.135,0.411,0.23,FORM-0056,0.2068,1,durable_dominant,79563
FORM-0004,Swamp Hornet,creature,0.82,0.538,0.918,0.473,0.53,FORM-0016,0.2671,3,mobile_dominant,2778
FORM-0095,Crystal Lens,artifact,0.411,0.659,0.054,0.462,0.194,FORM-0092,0.0787,2,complex_dominant,487
FORM-0029,Swamp Hornet (Variant 4),creature,0.001,0.49,0.623,0.485,0.718,FORM-0046,0.0715,4,reactive_dominant,733
FORM-0083,Marsh Reed (Variant 18),plant,0.599,0.407,0.013,0.398,0.28,FORM-0066,0.1249,1,symmetric_dominant,49376
FORM-0138,Crystal Lens (Variant 28),artifact,0.433,0.988,0.012,0.413,0.164,FORM-0192,0.114,2,complex_dominant,212
FORM-0059,Border Thistle,plant,0.69,0.583,0.192,0.394,0.142,FORM-0191,0.0925,2,symmetric_dominant,75076
FORM-0065,Salt Shrub,plant,0.292,0.533,0.036,0.795,0.279,FORM-0129,0.1754,1,durable_dominant,70059
FORM-0041,Leatherback Burrower (Variant 16),creature,0.541,0.714,0.755,0.714,0.683,FORM-0045,0.2236,2,mobile_dominant,2162
FORM-0060,Deep Fungus,plant,0.624,0.42,0.099,0.288,0.395,FORM-0066,0.1089,1,symmetric_dominant,528
FORM-0012,Rock-Finned Eel,creature,0.547,0.379,0.649,0.36,0.66,FORM-0027,0.1981,1,reactive_dominant,4621
FORM-0009,Wharver,creature,0.356,0.514,0.75,0.265,0.785,FORM-0014,0.1933,6,reactive_dominant,972
FORM-0031,Leatherback Burrower (Variant 6),creature,0.524,0.728,0.828,0.41,0.729,FORM-0035,0.12,3,mobile_dominant,390
FORM-0144,Memory Vessel (Variant 34),artifact,0.334,0.343,0,0.504,0.081,FORM-0125,0.1288,0,durable_dominant,213
FORM-0097,Silver Marker,artifact,0.212,0.616,0.054,0.428,0.325,FORM-0091,0.108,7,complex_dominant,352
FORM-0173,Yeller Quarry Mine (Variant 8),architectural,0.38,0.788,0.118,0.496,0,FORM-0187,0.1426,2,complex_dominant,16
FORM-0093,Bone Tablet,artifact,0.159,0.472,0.03,0.545,0.234,FORM-0146,0.1661,1,durable_dominant,357
FORM-0155,Trader's Gate,architectural,0.31,0.758,0,0.366,0.2,FORM-0098,0.0987,0,complex_dominant,50
FORM-0154,Yeller Quarry Mine,architectural,0.291,0.871,0,0.551,0,FORM-0100,0.104,0,complex_dominant,12
FORM-0096,Bronze Scale,artifact,0.409,0.395,0.243,0.491,0.204,FORM-0105,0.1402,5,durable_dominant,439
FORM-0140,Silver Marker (Variant 30),artifact,0.325,0.901,0.02,0.627,0.063,FORM-0100,0.08,2,complex_dominant,489
FORM-0123,Yeller Cage (Variant 13),artifact,0.175,0.629,0.203,0.447,0.08,FORM-0169,0.1812,5,complex_dominant,88
FORM-0086,Cave Bloom (Variant 21),plant,0.326,0.288,0.027,0.576,0.304,FORM-0070,0.1224,0,durable_dominant,19665
FORM-0030,Pocket Bird (Variant 5),creature,0.244,0.608,0.635,0.402,0.58,FORM-0048,0.1364,6,mobile_dominant,1256
FORM-0054,Quarry Lichen,plant,0.484,0.444,0.301,0.672,0.259,FORM-0075,0.1923,4,durable_dominant,3387
FORM-0082,Surface Grass (Variant 17),plant,0.74,0.226,0.151,0.584,0.342,FORM-0076,0.1294,1,symmetric_dominant,15832
FORM-0120,Bone Tablet (Variant 10),artifact,0.388,0.572,0.071,0.516,0.212,FORM-0108,0.0833,5,complex_dominant,112
FORM-0061,Yeller Root,plant,0.512,0.399,0.019,0.595,0.061,FORM-0126,0.1001,6,durable_dominant,91585
FORM-0019,Nothing Bird,creature,0.719,0.661,0.652,0.713,0.455,FORM-0007,0.211,5,symmetric_dominant,3611
FORM-0044,Whistle Bird (Variant 19),creature,0.959,0.469,0.584,0.577,0.507,FORM-0021,0.2475,1,symmetric_dominant,4866
FORM-0103,Archive Seal,artifact,0.43,0.584,0,0.556,0.185,FORM-0108,0.0468,5,complex_dominant,418
FORM-0025,Deep Borer,creature,0,0.603,0.512,0.533,0.469,FORM-0049,0.265,1,complex_dominant,2533
FORM-0035,Pocket Bird (Variant 10),creature,0.581,0.737,0.747,0.407,0.662,FORM-0031,0.12,3,mobile_dominant,4437
FORM-0130,Archive Seal (Variant 20),artifact,0.302,0.646,0.013,0.354,0.274,FORM-0155,0.1356,2,complex_dominant,390
FORM-0046,Cave Bat (Variant 21),creature,0.042,0.447,0.603,0.502,0.748,FORM-0029,0.0715,0,reactive_dominant,1221
FORM-0013,Toadpipe,creature,0.372,0.675,0.739,0.348,0.72,FORM-0014,0.162,4,mobile_dominant,1448
FORM-0072,Cave Moss (Variant 7),plant,0.679,0.48,0,0.433,0.101,FORM-0176,0.1015,4,symmetric_dominant,77598
FORM-0186,Tower of Mirado (Variant 21),architectural,0.618,0.964,0,0.435,0.19,FORM-0138,0.19,4,complex_dominant,4
FORM-0016,Tunnel Cat,creature,0.745,0.643,0.708,0.517,0.623,FORM-0022,0.1477,2,symmetric_dominant,2037
FORM-0109,Form Mirror,artifact,0.296,0.73,0,0.653,0.126,FORM-0099,0.1454,1,complex_dominant,17
FORM-0068,Mineral Tree (Variant 3),plant,0.582,0.29,0.025,0.544,0.284,FORM-0073,0.1013,6,symmetric_dominant,62303
FORM-0118,Iron Stylus (Variant 8),artifact,0.352,0.434,0,0.63,0.331,FORM-0057,0.0803,5,durable_dominant,233
FORM-0178,Senate Chamber (Variant 13),architectural,0.715,0.685,0.106,0.664,0.163,FORM-0180,0.142,2,symmetric_dominant,12
FORM-0014,Hogfoot,creature,0.302,0.586,0.624,0.362,0.722,FORM-0024,0.1453,5,reactive_dominant,1203
FORM-0189,Survey Station (Variant 24),architectural,0.456,0.663,0,0.334,0.126,FORM-0092,0.1094,0,complex_dominant,45
FORM-0197,Column Barracks (Variant 32),architectural,0.789,0.875,0,0.262,0.156,FORM-0162,0.2144,0,complex_dominant,12
FORM-0032,Stone Spine Lizard (Variant 7),creature,0.688,0.812,0.602,0.74,0.688,FORM-0003,0.1637,1,complex_dominant,4875
FORM-0145,Archivist Compass (Variant 35),artifact,0.34,0.57,0.38,0.521,0.171,FORM-0096,0.2369,2,complex_dominant,137
FORM-0125,Guild Badge (Variant 15),artifact,0.245,0.378,0.053,0.44,0.058,FORM-0144,0.1288,6,durable_dominant,116
FORM-0119,Basin Measure (Variant 9),artifact,0.381,0.731,0.096,0.546,0.257,FORM-0128,0.1095,0,complex_dominant,288
FORM-0094,Iron Stylus,artifact,0.496,0.63,0.066,0.439,0.094,FORM-0141,0.1056,3,complex_dominant,151
FORM-0121,Memory Vessel (Variant 11),artifact,0.173,0.64,0.033,0.424,0,FORM-0169,0.1409,5,complex_dominant,470
FORM-0006,Yeller Frog,creature,0.753,0.46,0.69,0.395,0.684,FORM-0021,0.1786,7,symmetric_dominant,4523
FORM-0165,Cartographer's Office,architectural,0.342,0.911,0,0.528,0.139,FORM-0140,0.1279,3,complex_dominant,36
FORM-0142,Bone Tablet (Variant 32),artifact,0.635,0.889,0.114,0.578,0.141,FORM-0180,0.1706,4,complex_dominant,283
FORM-0098,Guild Badge,artifact,0.333,0.852,0,0.347,0.204,FORM-0155,0.0987,4,complex_dominant,370
FORM-0027,Quarry Moth (Variant 2),creature,0.449,0.426,0.622,0.479,0.772,FORM-0018,0.1886,7,reactive_dominant,336
FORM-0071,Tunnel Fern (Variant 6),plant,0.727,0.347,0.253,0.467,0.305,FORM-0063,0.1426,1,symmetric_dominant,64199
FORM-0192,Trader's Gate (Variant 27),architectural,0.432,0.899,0,0.434,0.097,FORM-0138,0.114,7,complex_dominant,35
FORM-0056,Stone Ivy,plant,0.349,0.291,0.214,0.52,0.105,FORM-0096,0.1609,2,durable_dominant,36074
FORM-0036,Maw Beast (Variant 11),creature,0.8,0.767,0.631,0.499,0.492,FORM-0043,0.1752,6,symmetric_dominant,2703
FORM-0198,Guild Hall (Variant 33),architectural,0.834,0.773,0.105,0.458,0,FORM-0171,0.2176,2,symmetric_dominant,39
FORM-0110,Yeller Cage,artifact,0.256,0.674,0.103,0.492,0.287,FORM-0097,0.1151,7,complex_dominant,351
FORM-0070,Densroot (Variant 5),plant,0.311,0.394,0.022,0.523,0.278,FORM-0057,0.1039,4,durable_dominant,90476
FORM-0150,Resonance Tuner (Variant 40),artifact,0.588,0.228,0.03,0.388,0.094,FORM-0179,0.1418,6,symmetric_dominant,119
FORM-0081,Deep Fungus (Variant 16),plant,0.523,0.353,0.06,0.612,0.325,FORM-0068,0.1224,0,durable_dominant,91096
FORM-0174,Trader's Gate (Variant 9),architectural,0.634,0.689,0.027,0.425,0.064,FORM-0183,0.107,1,complex_dominant,36
FORM-0075,Yeller Root (Variant 10),plant,0.577,0.388,0.174,0.579,0.279,FORM-0081,0.1426,2,durable_dominant,44907
FORM-0038,Cave Bat (Variant 13),creature,0.667,0.521,0.621,0.811,0.867,FORM-0015,0.2365,6,reactive_dominant,2485
FORM-0022,Witch Creature,creature,0.865,0.653,0.645,0.54,0.676,FORM-0016,0.1477,5,symmetric_dominant,3527
FORM-0052,Cave Moss,plant,0.272,0.471,0.159,0.547,0.159,FORM-0127,0.1559,0,durable_dominant,46045
FORM-0050,Wharver (Variant 25),creature,0.579,0.598,0.759,0.402,0.656,FORM-0035,0.1397,2,mobile_dominant,2779
FORM-0039,Dunebug (Variant 14),creature,0.891,0.814,0.754,0.672,0.733,FORM-0007,0.174,2,symmetric_dominant,4635
FORM-0023,Marsh Tree Crawler,creature,0.828,0.428,0.73,0.454,0.948,FORM-0015,0.2742,2,reactive_dominant,4376
FORM-0045,Yeller Frog (Variant 20),creature,0.577,0.672,0.595,0.575,0.638,FORM-0018,0.1832,5,complex_dominant,4217
FORM-0018,Dunebug,creature,0.497,0.565,0.678,0.575,0.732,FORM-0002,0.1649,3,reactive_dominant,3187
FORM-0077,Salt Shrub (Variant 12),plant,0.476,0.283,0.159,0.526,0.281,FORM-0085,0.1487,0,durable_dominant,85471
FORM-0021,Whistle Bird,creature,0.823,0.536,0.612,0.391,0.561,FORM-0033,0.1078,1,symmetric_dominant,1318
FORM-0153,Guild Hall,architectural,0.557,0.866,0,0.384,0.019,FORM-0183,0.1378,7,complex_dominant,24
FORM-0085,Mineral Tree (Variant 20),plant,0.507,0.322,0.161,0.573,0.413,FORM-0081,0.1438,5,durable_dominant,49887
FORM-0047,Toadpipe (Variant 22),creature,0.735,0.764,0.608,0.59,0.745,FORM-0003,0.1176,7,complex_dominant,4448
FORM-0168,Trader's Gate (Variant 3),architectural,0.751,0.774,0,0.462,0.202,FORM-0180,0.1947,1,complex_dominant,20
FORM-0064,Mineral Tree,plant,0.595,0.13,0.14,0.565,0.517,FORM-0088,0.1956,7,symmetric_dominant,63538
