expedition_id,year,territory,protocol_type,crew_leader,crew_size,duration_days,actual_duration,outcome,casualties,discoveries,protocol_compliance,override_events
EXP-863-004,863,boundary_de7,pre_protocol,Kira Venn,11,18,21,failure,0,0,,
EXP-863-005,863,yeller_quarry_q2,pre_protocol,Tarn Vosh,10,13,12,partial,0,0,,
EXP-863-006,863,dead_river_eastern,pre_protocol,Tess Varn,7,16,18,success,0,0,,
EXP-863-007,863,yeller_quarry_q2,pre_protocol,Tarn Vosh,11,7,7,partial,1,1,,
EXP-863-008,863,yeller_quarry_q2,pre_protocol,Urra Penn,10,11,14,partial,1,0,,
EXP-863-009,863,yeller_quarry_q5,pre_protocol,Penn Kellor,9,9,17,disaster,4,0,,
EXP-864-001,864,yeller_quarry_q3,pre_protocol,Winn Tarn,6,13,11,partial,1,0,,
EXP-864-002,864,dead_river_eastern,pre_protocol,Goss Prell,10,11,12,success,0,1,,
EXP-864-003,864,dead_river_main,pre_protocol,Noss Kell,11,12,11,partial,0,0,,
EXP-864-004,864,capital_approach,pre_protocol,Finn Tarn,9,13,18,disaster,3,0,,
EXP-864-005,864,yeller_quarry_q4,pre_protocol,Orra Venn,12,14,17,partial,1,1,,
EXP-864-006,864,yeller_quarry_q3,pre_protocol,Perr Doss,6,10,9,partial,0,1,,
EXP-864-007,864,other_survey,pre_protocol,Wren Torvas,12,13,14,partial,1,0,,
EXP-864-008,864,yeller_quarry_q2,pre_protocol,Tarn Vosh,11,10,11,success,0,0,,
EXP-864-009,864,yeller_quarry_q6,pre_protocol,Penn Kellor,12,9,10,success,0,0,,
EXP-865-001,865,capital_approach,pre_protocol,Brenna Tull,11,14,14,success,0,1,,
EXP-865-002,865,boundary_de7,pre_protocol,Carn Mellith,12,21,26,disaster,4,0,,
EXP-865-003,865,yeller_quarry_q2,pre_protocol,Dara Vorn,6,9,7,success,0,0,,
EXP-865-004,865,yeller_quarry_q1,pre_protocol,Dara Vorn,12,13,13,success,0,0,,
EXP-865-005,865,yeller_quarry_q6,pre_protocol,Torr Vash,12,7,7,success,0,0,,
EXP-865-006,865,dead_river_main,pre_protocol,Issa Kern,12,10,10,success,0,3,,
EXP-865-007,865,dead_river_remote,pre_protocol,Yorr Pell,7,16,13,success,0,2,,
EXP-865-008,865,yeller_quarry_q1,pre_protocol,Jorn Pell,9,13,12,success,0,0,,
EXP-865-009,865,yeller_quarry_q4,pre_protocol,Vess Kern,9,8,5,success,0,0,,
EXP-866-001,866,yeller_quarry_q3,pre_protocol,Moss Kellith,5,10,15,disaster,2,0,,
EXP-866-002,866,yeller_quarry_q1,pre_protocol,Harv Noll,12,11,13,success,0,0,,
EXP-866-003,866,dead_river_remote,pre_protocol,Noss Kell,6,14,14,success,0,3,,
EXP-866-004,866,yeller_quarry_q2,pre_protocol,Jenn Moss,6,11,12,success,0,0,,
EXP-866-005,866,yeller_quarry_q3,pre_protocol,Sira Kellith,6,12,12,success,0,2,,
EXP-866-006,866,yeller_quarry_q7,pre_protocol,Kira Venn,11,9,8,success,0,0,,
EXP-866-007,866,capital_approach,pre_protocol,Yorr Pell,11,11,11,partial,0,0,,
EXP-866-008,866,yeller_quarry_q2,pre_protocol,Torr Vash,10,7,7,success,0,2,,
EXP-867-001,867,yeller_quarry_q3,pre_protocol,Lenn Pell,5,10,10,success,0,0,,
EXP-867-002,867,yeller_quarry_q2,pre_protocol,Alden Kross,12,7,7,partial,0,0,,
EXP-867-003,867,yeller_quarry_q3,pre_protocol,Renn Hollith,11,12,11,success,0,1,,
EXP-867-004,867,dead_river_main,pre_protocol,Dara Vorn,7,10,12,success,0,0,,
EXP-867-005,867,dead_river_main,pre_protocol,Tarn Vosh,8,11,14,partial,0,0,,
EXP-867-006,867,yeller_quarry_q2,pre_protocol,Erren Poss,9,9,6,success,0,0,,
EXP-867-007,867,yeller_quarry_q6,pre_protocol,Xenn Moss,10,9,9,success,0,1,,
EXP-867-008,867,yeller_quarry_q4,pre_protocol,Jorn Pell,7,9,10,failure,0,0,,
EXP-867-009,867,yeller_quarry_q6,pre_protocol,Issa Kern,11,14,14,success,0,3,,
EXP-867-010,867,yeller_quarry_q1,pre_protocol,Tarn Vosh,8,10,12,failure,0,0,,
EXP-867-011,867,yeller_quarry_q6,pre_protocol,Vess Kern,12,14,17,partial,1,0,,
EXP-867-012,867,yeller_quarry_q1,pre_protocol,Karr Voss,8,13,13,partial,0,0,,
EXP-868-001,868,yeller_quarry_q1,pre_protocol,Noss Kell,9,14,16,success,0,0,,
EXP-868-002,868,yeller_quarry_q2,pre_protocol,Xenn Moss,6,7,6,success,0,1,,
EXP-868-003,868,other_survey,pre_protocol,Tess Varn,9,7,7,success,0,0,,
EXP-868-004,868,yeller_quarry_q2,pre_protocol,Alden Kross,6,14,16,success,0,1,,
EXP-868-005,868,yeller_quarry_q3,pre_protocol,Mira Toss,11,7,6,success,0,2,,
EXP-868-006,868,boundary_ne4,pre_protocol,Kern Hollith,12,17,20,partial,1,1,,
EXP-868-007,868,yeller_quarry_q2,pre_protocol,Mira Toss,12,14,15,success,0,0,,
EXP-868-008,868,dead_river_main,pre_protocol,Kern Hollith,11,8,8,success,0,0,,
EXP-869-001,869,yeller_quarry_q7,pre_protocol,Mira Toss,9,13,14,partial,0,3,,
EXP-869-002,869,yeller_quarry_q5,pre_protocol,Wren Torvas,9,13,12,success,0,0,,
EXP-869-003,869,yeller_quarry_q3,pre_protocol,Alden Kross,7,14,15,success,0,0,,
EXP-869-004,869,yeller_quarry_q4,pre_protocol,Goss Prell,8,13,10,success,0,2,,
EXP-869-005,869,dead_river_main,pre_protocol,Torr Vash,7,14,15,success,0,1,,
EXP-869-006,869,boundary_sw2,pre_protocol,Carn Mellith,12,16,18,failure,2,0,,
EXP-869-007,869,yeller_quarry_q1,pre_protocol,Karr Voss,10,13,15,success,0,0,,
EXP-869-008,869,yeller_quarry_q4,pre_protocol,Alden Kross,5,8,7,success,0,0,,
EXP-869-009,869,dead_river_main,pre_protocol,Tarn Vosh,6,14,12,partial,0,1,,
EXP-869-010,869,yeller_quarry_q3,pre_protocol,Kira Venn,8,13,11,success,0,3,,
EXP-869-011,869,boundary_sw2,pre_protocol,Jenn Moss,12,21,21,success,0,1,,
EXP-869-012,869,dens_approach,pre_protocol,Mira Toss,7,19,18,success,0,0,,
EXP-870-001,870,yeller_quarry_q4,pre_protocol,Noss Kell,8,13,15,partial,1,3,,
EXP-870-002,870,yeller_quarry_q3,pre_protocol,Urra Penn,9,7,9,success,0,0,,
EXP-870-003,870,capital_approach,pre_protocol,Mira Toss,8,12,15,partial,1,0,,
EXP-870-004,870,dead_river_main,pre_protocol,Bren Moss,6,7,8,success,0,0,,
EXP-870-005,870,yeller_quarry_q1,pre_protocol,Orra Venn,11,9,8,success,0,0,,
EXP-870-006,870,capital_approach,pre_protocol,Karr Voss,12,11,8,success,0,0,,
EXP-870-007,870,yeller_quarry_q1,pre_protocol,Issa Kern,11,12,11,success,0,0,,
EXP-870-008,870,yeller_quarry_q4,pre_protocol,Karr Voss,11,12,14,partial,0,0,,
EXP-870-009,870,yeller_quarry_q6,pre_protocol,Issa Kern,6,14,11,success,0,1,,
EXP-870-010,870,yeller_quarry_q3,pre_protocol,Tarn Vosh,8,9,11,success,0,0,,
EXP-870-011,870,yeller_quarry_q6,pre_protocol,Kira Venn,11,8,7,success,0,2,,
EXP-871-001,871,yeller_quarry_q2,pre_protocol,Jenn Moss,10,8,10,success,0,0,,
EXP-871-002,871,yeller_quarry_q4,pre_protocol,Penn Kellor,12,8,9,success,0,0,,
EXP-871-003,871,yeller_quarry_q1,pre_protocol,Bren Moss,8,8,6,success,0,1,,
EXP-871-004,871,dead_river_remote,pre_protocol,Lenn Pell,7,18,15,success,0,0,,
EXP-871-005,871,yeller_quarry_q1,pre_protocol,Jenn Moss,10,7,17,disaster,5,0,,
EXP-871-006,871,yeller_quarry_q1,pre_protocol,Xenn Moss,10,8,11,partial,0,0,,
EXP-871-007,871,boundary_ne4,pre_protocol,Yorr Pell,5,27,28,failure,2,0,,
EXP-871-008,871,yeller_quarry_q5,pre_protocol,Wren Torvas,6,12,17,failure,1,0,,
EXP-872-001,872,yeller_quarry_q7,pre_protocol,Orra Venn,11,11,8,success,0,0,,
EXP-872-002,872,yeller_quarry_q1,pre_protocol,Erren Poss,8,13,14,partial,1,0,,
EXP-872-003,872,dead_river_main,pre_protocol,Orra Venn,9,12,9,success,0,1,,
EXP-872-004,872,yeller_quarry_q1,pre_protocol,Sira Kellith,7,7,9,success,0,2,,
EXP-872-005,872,boundary_sw2,pre_protocol,Winn Tarn,5,18,23,failure,2,0,,
EXP-872-006,872,yeller_quarry_q2,pre_protocol,Issa Kern,6,12,17,failure,1,0,,
EXP-872-007,872,yeller_quarry_q2,pre_protocol,Erren Poss,5,11,11,partial,1,0,,
EXP-872-008,872,yeller_quarry_q2,pre_protocol,Urra Penn,6,9,6,success,0,0,,
EXP-873-001,873,yeller_quarry_q2,pre_protocol,Perr Doss,7,12,13,success,0,0,,
EXP-873-002,873,boundary_sw2,pre_protocol,Jorn Pell,6,24,28,failure,2,0,,
EXP-873-003,873,yeller_quarry_q4,pre_protocol,Brenna Tull,6,12,14,partial,1,0,,
EXP-873-004,873,yeller_quarry_q1,pre_protocol,Jorn Pell,5,10,9,success,0,1,,
EXP-873-005,873,yeller_quarry_q1,pre_protocol,Finn Tarn,7,13,11,partial,1,0,,
EXP-873-006,873,dead_river_main,pre_protocol,Yorr Pell,6,12,14,success,0,0,,
EXP-873-007,873,yeller_quarry_q3,pre_protocol,Orra Venn,7,14,14,success,0,0,,
EXP-873-008,873,yeller_quarry_q2,pre_protocol,Carn Mellith,6,13,12,success,0,0,,
EXP-874-001,874,yeller_quarry_q1,pre_protocol,Carn Mellith,8,12,14,success,0,0,,
EXP-874-002,874,yeller_quarry_q2,pre_protocol,Goss Prell,7,9,10,partial,1,0,,
EXP-874-003,874,dead_river_main,pre_protocol,Orra Venn,10,9,11,success,0,2,,
EXP-874-004,874,yeller_quarry_q6,pre_protocol,Wren Torvas,9,14,17,disaster,3,0,,
EXP-874-005,874,yeller_quarry_q7,pre_protocol,Senn Drusk,11,14,16,success,0,0,,
EXP-874-006,874,yeller_quarry_q4,pre_protocol,Goss Prell,10,14,14,success,0,2,,
EXP-874-007,874,other_survey,pre_protocol,Finn Tarn,5,10,11,success,0,0,,
EXP-874-008,874,yeller_quarry_q2,pre_protocol,Mira Toss,11,13,15,success,0,0,,
EXP-874-009,874,yeller_quarry_q1,pre_protocol,Torr Vash,9,11,12,success,0,0,,
EXP-875-001,875,yeller_quarry_q3,pre_protocol,Kira Venn,10,11,9,success,0,0,,
EXP-875-002,875,capital_approach,pre_protocol,Torr Vash,10,9,11,success,0,0,,
EXP-875-003,875,capital_approach,pre_protocol,Winn Tarn,10,7,7,partial,0,0,,
EXP-875-004,875,yeller_quarry_q5,pre_protocol,Bren Moss,7,8,9,success,0,0,,
EXP-875-005,875,boundary_de7,pre_protocol,Moss Kellith,10,20,24,disaster,3,0,,
EXP-875-006,875,dead_river_main,pre_protocol,Sira Kellith,8,14,14,success,0,1,,
EXP-875-007,875,yeller_quarry_q3,pre_protocol,Zara Voss,8,12,12,success,0,0,,
EXP-875-008,875,dead_river_remote,pre_protocol,Vess Kern,7,19,16,success,0,0,,
EXP-875-009,875,boundary_sw2,pre_protocol,Tarn Vosh,6,26,36,disaster,3,0,,
EXP-876-001,876,yeller_quarry_q2,pre_protocol,Issa Kern,12,12,19,disaster,6,0,,
EXP-876-002,876,yeller_quarry_q2,pre_protocol,Sira Kellith,8,7,10,failure,2,0,,
EXP-876-003,876,dead_river_remote,pre_protocol,Mira Toss,12,21,18,success,0,0,,
EXP-876-004,876,yeller_quarry_q1,pre_protocol,Kira Venn,11,8,5,success,0,3,,
EXP-876-005,876,dead_river_remote,pre_protocol,Penn Kellor,12,20,22,success,0,2,,
EXP-876-006,876,yeller_quarry_q1,pre_protocol,Vess Kern,7,8,13,failure,2,0,,
EXP-876-007,876,yeller_quarry_q5,pre_protocol,Erren Poss,5,13,12,success,0,1,,
EXP-876-008,876,yeller_quarry_q3,pre_protocol,Jenn Moss,6,12,11,success,0,0,,
EXP-876-009,876,yeller_quarry_q2,pre_protocol,Yorr Pell,12,9,9,success,0,1,,
EXP-876-010,876,yeller_quarry_q1,pre_protocol,Moss Kellith,10,11,12,success,0,0,,
EXP-876-011,876,yeller_quarry_q1,pre_protocol,Mira Toss,10,7,8,partial,1,0,,
EXP-876-012,876,dead_river_main,pre_protocol,Torr Vash,10,9,10,success,0,1,,
EXP-877-001,877,dead_river_main,pre_protocol,Finn Tarn,9,12,11,success,0,3,,
EXP-877-002,877,dead_river_main,pre_protocol,Xenn Moss,10,14,13,success,0,0,,
EXP-877-003,877,yeller_quarry_q4,pre_protocol,Jorn Pell,6,13,15,success,0,1,,
EXP-877-004,877,yeller_quarry_q2,pre_protocol,Xenn Moss,5,9,8,success,0,0,,
EXP-877-005,877,capital_approach,pre_protocol,Kira Venn,12,12,13,success,0,2,,
EXP-877-006,877,yeller_quarry_q4,pre_protocol,Jenn Moss,6,7,7,success,0,0,,
EXP-877-007,877,yeller_quarry_q1,pre_protocol,Xenn Moss,8,11,9,success,0,1,,
EXP-877-008,877,yeller_quarry_q4,pre_protocol,Xenn Moss,6,12,13,success,0,0,,
EXP-877-009,877,dens_approach,pre_protocol,Finn Tarn,10,17,15,success,0,0,,
EXP-877-010,877,yeller_quarry_q1,pre_protocol,Sira Kellith,12,9,13,failure,1,0,,
EXP-877-011,877,other_survey,pre_protocol,Carn Mellith,11,13,14,failure,1,0,,
EXP-877-012,877,yeller_quarry_q4,pre_protocol,Renn Hollith,7,9,6,success,0,0,,
EXP-878-001,878,yeller_quarry_q5,pre_protocol,Doss Wern,10,10,7,success,0,3,,
EXP-878-002,878,other_survey,pre_protocol,Noss Kell,6,9,11,partial,1,1,,
EXP-878-003,878,yeller_quarry_q1,pre_protocol,Karr Voss,8,13,23,disaster,4,0,,
EXP-878-004,878,yeller_quarry_q3,pre_protocol,Zara Voss,8,13,15,failure,0,0,,
EXP-878-005,878,yeller_quarry_q4,pre_protocol,Harv Noll,10,9,11,success,0,0,,
EXP-878-006,878,yeller_quarry_q3,pre_protocol,Sira Kellith,6,12,14,failure,1,0,,
EXP-878-007,878,yeller_quarry_q2,pre_protocol,Torr Vash,11,10,11,success,0,0,,
EXP-878-008,878,yeller_quarry_q2,pre_protocol,Brenna Tull,12,14,24,disaster,5,0,,
EXP-879-001,879,yeller_quarry_q4,pre_protocol,Renn Hollith,5,7,9,success,0,0,,
EXP-879-002,879,yeller_quarry_q3,pre_protocol,Tarn Vosh,11,9,9,success,0,0,,
EXP-879-003,879,yeller_quarry_q4,pre_protocol,Goss Prell,10,11,12,success,0,3,,
EXP-879-004,879,yeller_quarry_q8,pre_protocol,Tarn Vosh,11,15,13,success,0,3,,
EXP-879-005,879,yeller_quarry_q4,pre_protocol,Moss Kellith,7,12,13,success,0,0,,
EXP-879-006,879,yeller_quarry_q2,pre_protocol,Orra Venn,7,13,14,success,0,3,,
EXP-879-007,879,yeller_quarry_q5,pre_protocol,Noss Kell,12,7,7,success,0,0,,
EXP-879-008,879,dead_river_remote,pre_protocol,Tess Varn,12,20,21,success,0,0,,
EXP-879-009,879,dead_river_main,pre_protocol,Doss Wern,11,9,14,disaster,2,0,,
EXP-879-010,879,yeller_quarry_q1,pre_protocol,Kira Venn,11,10,10,success,0,0,,
EXP-879-011,879,dead_river_main,pre_protocol,Bren Moss,8,12,11,success,0,0,,
EXP-879-012,879,yeller_quarry_q4,pre_protocol,Dara Vorn,10,11,11,partial,0,0,,
EXP-880-001,880,yeller_quarry_q2,pre_protocol,Noss Kell,9,10,10,success,0,3,,
EXP-880-002,880,yeller_quarry_q2,pre_protocol,Pell Drenn,11,13,12,success,0,3,,
EXP-880-003,880,yeller_quarry_q1,pre_protocol,Karr Voss,12,10,11,success,0,0,,
EXP-880-004,880,yeller_quarry_q1,pre_protocol,Jenn Moss,8,7,9,success,0,1,,
EXP-880-005,880,yeller_quarry_q4,pre_protocol,Tarn Vosh,7,7,8,partial,1,0,,
EXP-880-006,880,dead_river_main,pre_protocol,Mira Toss,5,8,7,partial,0,0,,
EXP-880-007,880,boundary_de7,pre_protocol,Moss Kellith,11,28,27,success,0,0,,
EXP-880-008,880,yeller_quarry_q1,pre_protocol,Tarn Vosh,10,11,11,success,0,0,,
EXP-880-009,880,yeller_quarry_q1,pre_protocol,Lenn Pell,8,8,10,success,0,1,,
EXP-881-001,881,yeller_quarry_q1,pre_protocol,Mira Toss,8,9,9,success,0,0,,
EXP-881-002,881,yeller_quarry_q5,pre_protocol,Pell Drenn,6,9,7,success,0,2,,
EXP-881-003,881,yeller_quarry_q2,pre_protocol,Perr Doss,9,7,5,success,0,1,,
EXP-881-004,881,yeller_quarry_q5,pre_protocol,Brenna Tull,9,8,7,success,0,0,,
EXP-881-005,881,yeller_quarry_q2,pre_protocol,Orna Kellith,12,12,12,success,0,0,,
EXP-881-006,881,dead_river_remote,pre_protocol,Jenn Moss,6,18,16,partial,0,0,,
EXP-881-007,881,dens_approach,pre_protocol,Dara Vorn,7,27,30,partial,0,3,,
EXP-881-008,881,yeller_quarry_q5,pre_protocol,Xenn Moss,5,14,15,success,0,2,,
EXP-881-009,881,yeller_quarry_q8,pre_protocol,Tess Varn,11,10,11,failure,0,0,,
EXP-881-010,881,yeller_quarry_q4,pre_protocol,Dara Vorn,5,8,7,partial,0,0,,
EXP-881-011,881,other_survey,pre_protocol,Vess Kern,10,13,13,success,0,0,,
EXP-881-012,881,yeller_quarry_q8,pre_protocol,Dara Vorn,7,11,11,success,0,0,,
EXP-882-001,882,dead_river_main,pre_protocol,Kern Hollith,5,11,11,success,0,0,,
EXP-882-002,882,dead_river_eastern,pre_protocol,Renn Hollith,7,13,10,success,0,3,,
EXP-882-003,882,yeller_quarry_q4,pre_protocol,Tess Varn,8,10,10,success,0,0,,
EXP-882-004,882,dead_river_main,pre_protocol,Pell Drenn,5,13,10,success,0,2,,
EXP-882-005,882,yeller_quarry_q2,pre_protocol,Orra Venn,10,10,15,failure,2,0,,
EXP-882-006,882,yeller_quarry_q2,pre_protocol,Jorn Pell,7,13,21,disaster,3,0,,
EXP-882-007,882,dead_river_remote,pre_protocol,Vess Kern,11,14,18,failure,2,0,,
EXP-882-008,882,yeller_quarry_q2,pre_protocol,Kira Venn,12,7,8,success,0,0,,
EXP-882-009,882,yeller_quarry_q4,pre_protocol,Perr Doss,6,14,12,success,0,2,,
EXP-882-010,882,yeller_quarry_q8,pre_protocol,Wren Torvas,8,17,16,success,0,1,,
EXP-882-011,882,yeller_quarry_q2,pre_protocol,Penn Kellor,12,10,10,success,0,0,,
EXP-883-001,883,yeller_quarry_q6,pre_protocol,Torr Vash,12,12,12,success,0,0,,
EXP-883-002,883,dead_river_remote,pre_protocol,Orra Venn,8,15,19,disaster,2,0,,
EXP-883-003,883,yeller_quarry_q1,pre_protocol,Vess Kern,9,9,10,partial,0,0,,
EXP-883-004,883,capital_approach,pre_protocol,Alden Kross,12,14,12,success,0,3,,
EXP-883-005,883,yeller_quarry_q5,pre_protocol,Dara Vorn,5,7,4,success,0,0,,
EXP-883-006,883,boundary_de7,pre_protocol,Kira Venn,5,21,26,failure,2,0,,
EXP-883-007,883,capital_approach,pre_protocol,Tess Varn,5,13,12,success,0,0,,
EXP-883-008,883,yeller_quarry_q3,pre_protocol,Winn Tarn,7,8,13,failure,0,0,,
EXP-883-009,883,yeller_quarry_q5,pre_protocol,Lenn Pell,11,8,6,success,0,0,,
EXP-884-001,884,yeller_quarry_q2,pre_protocol,Senn Drusk,5,8,8,success,0,1,,
EXP-884-002,884,dead_river_main,pre_protocol,Hesta Vorn,10,8,17,disaster,3,0,,
EXP-884-003,884,yeller_quarry_q2,pre_protocol,Lenn Pell,5,9,10,success,0,3,,
EXP-884-004,884,dead_river_eastern,pre_protocol,Noss Kell,7,19,21,success,0,0,,
EXP-884-005,884,yeller_quarry_q3,pre_protocol,Bren Moss,6,12,9,success,0,3,,
EXP-884-006,884,other_survey,pre_protocol,Orra Venn,5,11,12,partial,1,3,,
EXP-884-007,884,yeller_quarry_q8,pre_protocol,Maren Drusk,9,21,29,disaster,2,0,,
EXP-884-008,884,dead_river_main,pre_protocol,Torr Vash,10,12,21,disaster,4,0,,
EXP-884-009,884,yeller_quarry_q3,pre_protocol,Bren Moss,6,9,10,success,0,0,,
EXP-884-010,884,yeller_quarry_q1,pre_protocol,Senn Drusk,10,13,10,success,0,0,,
EXP-884-011,884,yeller_quarry_q6,pre_protocol,Jenn Moss,7,13,14,partial,1,1,,
EXP-885-001,885,yeller_quarry_q4,pre_protocol,Zara Voss,6,12,12,success,0,0,,
EXP-885-002,885,yeller_quarry_q2,pre_protocol,Vass Tonner,5,13,12,success,0,0,,
EXP-885-003,885,yeller_quarry_q4,pre_protocol,Bren Moss,9,12,11,partial,1,0,,
EXP-885-004,885,other_survey,pre_protocol,Alden Kross,8,12,12,success,0,0,,
EXP-885-005,885,capital_approach,pre_protocol,Dara Vorn,7,7,5,success,0,0,,
EXP-885-006,885,yeller_quarry_q3,pre_protocol,Vess Kern,12,9,12,partial,0,0,,
EXP-885-007,885,yeller_quarry_q4,pre_protocol,Zara Voss,11,13,12,success,0,0,,
EXP-885-008,885,dead_river_eastern,pre_protocol,Senn Drusk,6,20,22,partial,0,0,,
EXP-885-009,885,yeller_quarry_q8,pre_protocol,Perr Doss,11,10,11,partial,0,2,,
EXP-885-010,885,dead_river_main,pre_protocol,Brenna Tull,7,12,13,failure,1,0,,
EXP-885-011,885,yeller_quarry_q1,pre_protocol,Kira Venn,10,11,12,success,0,0,,
EXP-885-012,885,yeller_quarry_q5,pre_protocol,Xenn Moss,10,8,5,success,0,2,,
EXP-886-001,886,yeller_quarry_q7,pre_protocol,Doss Wern,8,9,9,success,0,0,,
EXP-886-002,886,yeller_quarry_q2,pre_protocol,Finn Tarn,7,13,11,success,0,0,,
EXP-886-003,886,yeller_quarry_q4,pre_protocol,Orna Kellith,8,11,12,success,0,3,,
EXP-886-004,886,yeller_quarry_q2,pre_protocol,Yorr Pell,6,11,13,success,0,2,,
EXP-886-005,886,yeller_quarry_q7,pre_protocol,Renn Hollith,10,14,16,success,0,0,,
EXP-886-006,886,capital_approach,pre_protocol,Bren Moss,10,8,10,failure,1,0,,
EXP-886-007,886,yeller_quarry_q5,pre_protocol,Bren Moss,11,13,15,success,0,0,,
EXP-886-008,886,capital_approach,pre_protocol,Doss Wern,12,11,11,success,0,0,,
EXP-886-009,886,boundary_ne4,pre_protocol,Alden Kross,7,22,23,partial,1,0,,
EXP-886-010,886,yeller_quarry_q4,pre_protocol,Alden Kross,7,8,6,success,0,2,,
EXP-887-001,887,yeller_quarry_q2,pre_protocol,Yorr Pell,12,8,10,partial,1,0,,
EXP-887-002,887,yeller_quarry_q1,pre_protocol,Dara Vorn,8,13,11,success,0,1,,
EXP-887-003,887,yeller_quarry_q4,pre_protocol,Senn Drusk,12,8,9,success,0,0,,
EXP-887-004,887,boundary_ne4,pre_protocol,Winn Tarn,7,27,32,failure,0,0,,
EXP-887-005,887,yeller_quarry_q3,pre_protocol,Dara Vorn,7,12,14,partial,1,0,,
EXP-887-006,887,yeller_quarry_q8,pre_protocol,Hesta Vorn,5,20,18,success,0,3,,
EXP-887-007,887,yeller_quarry_q3,pre_protocol,Urra Penn,12,9,10,partial,1,0,,
EXP-887-008,887,yeller_quarry_q7,pre_protocol,Senn Drusk,11,11,11,success,0,0,,
EXP-888-001,888,yeller_quarry_q3,pre_protocol,Pell Drenn,6,14,11,success,0,0,,
EXP-888-002,888,yeller_quarry_q4,pre_protocol,Harv Noll,12,11,13,partial,0,0,,
EXP-888-003,888,dead_river_remote,pre_protocol,Jorn Pell,5,20,17,success,0,1,,
EXP-888-004,888,yeller_quarry_q4,pre_protocol,Hesta Vorn,8,9,7,partial,1,0,,
EXP-888-005,888,yeller_quarry_q2,pre_protocol,Doss Wern,5,13,11,success,0,0,,
EXP-888-006,888,yeller_quarry_q1,pre_protocol,Orna Kellith,12,8,6,partial,1,2,,
EXP-888-007,888,dead_river_eastern,pre_protocol,Winn Tarn,7,11,9,partial,0,2,,
EXP-888-008,888,yeller_quarry_q1,pre_protocol,Bren Moss,7,8,17,disaster,2,0,,
EXP-888-009,888,yeller_quarry_q3,pre_protocol,Kira Venn,11,14,12,success,0,0,,
EXP-889-001,889,dead_river_remote,pre_protocol,Hesta Vorn,10,21,19,success,0,3,,
EXP-889-002,889,yeller_quarry_q6,pre_protocol,Tess Varn,9,10,12,success,0,0,,
EXP-889-003,889,yeller_quarry_q7,pre_protocol,Jenn Moss,12,13,14,success,0,1,,
