report_id,reporting_period,region,metric_name,aggregation_level,sample_size,aggregate_value,noise_added,epsilon,individual_identifiable,guild_council_use,comparable_to_previous
AGT-0035,Year_890_Q4,Dens Periphery,anomaly_encounters,region,33,10,0.6,0.7,false,route_safety,true
AGT-0036,Year_890_Q4,Guild Wide,apprentice_completion_rate,guild_wide,54,0.71,0.03,0.3,false,training_needs,true
AGT-0037,Year_890_Q4,Northern Territories,cargo_loss_rate,region,27,0.05,0.01,0.5,false,route_safety,true
AGT-0038,Year_890_Q4,Coastal Zones,journey_success_rate,region,62,0.84,0.02,0.5,false,resource_allocation,true
AGT-0039,Year_890_Q4,Guild Wide,veteran_retention_rate,guild_wide,175,0.90,0.02,0.3,false,training_needs,true
AGT-0040,Year_890_Q4,Southern Markets,trade_volume,region,70,3678.0,10.1,0.5,false,resource_allocation,true
AGT-0041,Year_891_Q1,Levin-Aragon Basin,journey_success_rate,region,52,0.82,0.02,0.5,false,resource_allocation,true
AGT-0042,Year_891_Q1,Levin-Aragon Basin,average_journey_duration,region,52,11.2,0.12,0.5,false,route_safety,true
AGT-0043,Year_891_Q1,Guild Wide,new_route_discoveries,guild_wide,245,29,1.1,0.3,false,training_needs,true
AGT-0044,Year_891_Q1,Capital Region,trade_volume,region,97,5234.0,14.8,0.5,false,resource_allocation,true
AGT-0045,Year_891_Q1,Dens Periphery,anomaly_encounters,region,39,8,0.5,0.7,false,route_safety,true
AGT-0046,Year_891_Q1,Guild Wide,apprentice_completion_rate,guild_wide,63,0.76,0.03,0.3,false,training_needs,true
AGT-0047,Year_891_Q1,Northern Territories,cargo_loss_rate,region,34,0.03,0.01,0.5,false,route_safety,true
AGT-0048,Year_891_Q1,Coastal Zones,journey_success_rate,region,72,0.88,0.02,0.5,false,resource_allocation,true
AGT-0049,Year_891_Q1,Guild Wide,veteran_retention_rate,guild_wide,189,0.93,0.02,0.3,false,training_needs,true
AGT-0050,Year_891_Q1,Southern Markets,trade_volume,region,80,4512.0,12.4,0.5,false,resource_allocation,true
AGT-0051,Year_891_Q2,Levin-Aragon Basin,journey_success_rate,region,54,0.83,0.02,0.5,false,resource_allocation,true
AGT-0052,Year_891_Q2,Levin-Aragon Basin,average_journey_duration,region,54,10.9,0.11,0.5,false,route_safety,true
AGT-0053,Year_891_Q2,Guild Wide,new_route_discoveries,guild_wide,249,32,1.2,0.3,false,training_needs,true
AGT-0054,Year_891_Q2,Capital Region,trade_volume,region,100,5467.0,15.4,0.5,false,resource_allocation,true
AGT-0055,Year_891_Q2,Dens Periphery,anomaly_encounters,region,41,7,0.4,0.7,false,route_safety,true
AGT-0056,Year_891_Q2,Guild Wide,apprentice_completion_rate,guild_wide,65,0.77,0.03,0.3,false,training_needs,true
AGT-0057,Year_891_Q2,Northern Territories,cargo_loss_rate,region,36,0.02,0.01,0.5,false,route_safety,true
AGT-0058,Year_891_Q2,Coastal Zones,journey_success_rate,region,75,0.89,0.02,0.5,false,resource_allocation,true
AGT-0059,Year_891_Q2,Guild Wide,veteran_retention_rate,guild_wide,193,0.94,0.02,0.3,false,training_needs,true
AGT-0060,Year_891_Q2,Southern Markets,trade_volume,region,83,4789.0,13.1,0.5,false,resource_allocation,true
AGT-0061,Year_891_Q3,Levin-Aragon Basin,journey_success_rate,region,55,0.84,0.02,0.5,false,resource_allocation,true
AGT-0062,Year_891_Q3,Levin-Aragon Basin,average_journey_duration,region,55,10.7,0.11,0.5,false,route_safety,true
AGT-0063,Year_891_Q3,Guild Wide,new_route_discoveries,guild_wide,252,35,1.3,0.3,false,training_needs,true
AGT-0064,Year_891_Q3,Capital Region,trade_volume,region,102,5612.0,15.8,0.5,false,resource_allocation,true
AGT-0065,Year_891_Q3,Dens Periphery,anomaly_encounters,region,43,6,0.4,0.7,false,route_safety,true
AGT-0066,Year_891_Q3,Guild Wide,apprentice_completion_rate,guild_wide,67,0.78,0.03,0.3,false,training_needs,true
AGT-0067,Year_891_Q3,Northern Territories,cargo_loss_rate,region,38,0.02,0.01,0.5,false,route_safety,true
AGT-0068,Year_891_Q3,Coastal Zones,journey_success_rate,region,77,0.90,0.02,0.5,false,resource_allocation,true
AGT-0069,Year_891_Q3,Guild Wide,veteran_retention_rate,guild_wide,196,0.94,0.02,0.3,false,training_needs,true
AGT-0070,Year_891_Q3,Southern Markets,trade_volume,region,85,4923.0,13.5,0.5,false,resource_allocation,true
AGT-0071,Year_891_Q4,Levin-Aragon Basin,journey_success_rate,region,53,0.83,0.02,0.5,false,resource_allocation,true
AGT-0072,Year_891_Q4,Levin-Aragon Basin,average_journey_duration,region,53,11.0,0.12,0.5,false,route_safety,true
AGT-0073,Year_891_Q4,Guild Wide,new_route_discoveries,guild_wide,248,30,1.1,0.3,false,training_needs,true
AGT-0074,Year_891_Q4,Capital Region,trade_volume,region,98,5123.0,14.4,0.5,false,resource_allocation,true
AGT-0075,Year_891_Q4,Dens Periphery,anomaly_encounters,region,40,8,0.5,0.7,false,route_safety,true
AGT-0076,Year_891_Q4,Guild Wide,apprentice_completion_rate,guild_wide,64,0.76,0.03,0.3,false,training_needs,true
AGT-0077,Year_891_Q4,Northern Territories,cargo_loss_rate,region,35,0.03,0.01,0.5,false,route_safety,true
AGT-0078,Year_891_Q4,Coastal Zones,journey_success_rate,region,74,0.88,0.02,0.5,false,resource_allocation,true
AGT-0079,Year_891_Q4,Guild Wide,veteran_retention_rate,guild_wide,191,0.93,0.02,0.3,false,training_needs,true
AGT-0080,Year_891_Q4,Southern Markets,trade_volume,region,82,4634.0,12.7,0.5,false,resource_allocation,true
AGT-0081,Year_892_Q1,Levin-Aragon Basin,journey_success_rate,region,56,0.85,0.02,0.5,false,resource_allocation,true
AGT-0082,Year_892_Q1,Levin-Aragon Basin,average_journey_duration,region,56,10.5,0.10,0.5,false,route_safety,true
AGT-0083,Year_892_Q1,Guild Wide,new_route_discoveries,guild_wide,255,37,1.4,0.3,false,training_needs,true
AGT-0084,Year_892_Q1,Capital Region,trade_volume,region,105,5789.0,16.3,0.5,false,resource_allocation,true
AGT-0085,Year_892_Q1,Dens Periphery,anomaly_encounters,region,44,5,0.3,0.7,false,route_safety,true
AGT-0086,Year_892_Q1,Guild Wide,apprentice_completion_rate,guild_wide,69,0.79,0.03,0.3,false,training_needs,true
AGT-0087,Year_892_Q1,Northern Territories,cargo_loss_rate,region,40,0.02,0.01,0.5,false,route_safety,true
AGT-0088,Year_892_Q1,Coastal Zones,journey_success_rate,region,79,0.91,0.02,0.5,false,resource_allocation,true
AGT-0089,Year_892_Q1,Guild Wide,veteran_retention_rate,guild_wide,199,0.95,0.02,0.3,false,training_needs,true
AGT-0090,Year_892_Q1,Southern Markets,trade_volume,region,87,5067.0,13.9,0.5,false,resource_allocation,true
AGT-0091,Year_892_Q2,Levin-Aragon Basin,journey_success_rate,region,58,0.86,0.02,0.5,false,resource_allocation,true
AGT-0092,Year_892_Q2,Levin-Aragon Basin,average_journey_duration,region,58,10.3,0.10,0.5,false,route_safety,true
AGT-0093,Year_892_Q2,Guild Wide,new_route_discoveries,guild_wide,258,39,1.5,0.3,false,training_needs,true
AGT-0094,Year_892_Q2,Capital Region,trade_volume,region,108,5956.0,16.8,0.5,false,resource_allocation,true
AGT-0095,Year_892_Q2,Dens Periphery,anomaly_encounters,region,46,5,0.3,0.7,false,route_safety,true
AGT-0096,Year_892_Q2,Guild Wide,apprentice_completion_rate,guild_wide,71,0.80,0.03,0.3,false,training_needs,true
AGT-0097,Year_892_Q2,Northern Territories,cargo_loss_rate,region,42,0.02,0.01,0.5,false,route_safety,true
AGT-0098,Year_892_Q2,Coastal Zones,journey_success_rate,region,81,0.92,0.02,0.5,false,resource_allocation,true
AGT-0099,Year_892_Q2,Guild Wide,veteran_retention_rate,guild_wide,202,0.95,0.02,0.3,false,training_needs,true
AGT-0100,Year_892_Q2,Southern Markets,trade_volume,region,89,5234.0,14.4,0.5,false,resource_allocation,true
AGT-0101,Year_892_Q3,Levin-Aragon Basin,journey_success_rate,region,60,0.87,0.02,0.5,false,resource_allocation,true
AGT-0102,Year_892_Q3,Levin-Aragon Basin,average_journey_duration,region,60,10.1,0.09,0.5,false,route_safety,true
AGT-0103,Year_892_Q3,Guild Wide,new_route_discoveries,guild_wide,261,41,1.5,0.3,false,training_needs,true
AGT-0104,Year_892_Q3,Capital Region,trade_volume,region,110,6123.0,17.3,0.5,false,resource_allocation,true
AGT-0105,Year_892_Q3,Dens Periphery,anomaly_encounters,region,47,4,0.3,0.7,false,route_safety,true
AGT-0106,Year_892_Q3,Guild Wide,apprentice_completion_rate,guild_wide,73,0.81,0.03,0.3,false,training_needs,true
AGT-0107,Year_892_Q3,Northern Territories,cargo_loss_rate,region,44,0.02,0.01,0.5,false,route_safety,true
AGT-0108,Year_892_Q3,Coastal Zones,journey_success_rate,region,83,0.92,0.02,0.5,false,resource_allocation,true
AGT-0109,Year_892_Q3,Guild Wide,veteran_retention_rate,guild_wide,205,0.96,0.02,0.3,false,training_needs,true
AGT-0110,Year_892_Q3,Southern Markets,trade_volume,region,91,5389.0,14.8,0.5,false,resource_allocation,true
AGT-0111,Year_892_Q4,Levin-Aragon Basin,journey_success_rate,region,57,0.85,0.02,0.5,false,resource_allocation,true
AGT-0112,Year_892_Q4,Levin-Aragon Basin,average_journey_duration,region,57,10.4,0.10,0.5,false,route_safety,true
AGT-0113,Year_892_Q4,Guild Wide,new_route_discoveries,guild_wide,256,38,1.4,0.3,false,training_needs,true
AGT-0114,Year_892_Q4,Capital Region,trade_volume,region,106,5834.0,16.4,0.5,false,resource_allocation,true
AGT-0115,Year_892_Q4,Dens Periphery,anomaly_encounters,region,45,6,0.4,0.7,false,route_safety,true
AGT-0116,Year_892_Q4,Guild Wide,apprentice_completion_rate,guild_wide,70,0.79,0.03,0.3,false,training_needs,true
AGT-0117,Year_892_Q4,Northern Territories,cargo_loss_rate,region,41,0.02,0.01,0.5,false,route_safety,true
AGT-0118,Year_892_Q4,Coastal Zones,journey_success_rate,region,80,0.91,0.02,0.5,false,resource_allocation,true
AGT-0119,Year_892_Q4,Guild Wide,veteran_retention_rate,guild_wide,200,0.95,0.02,0.3,false,training_needs,true
AGT-0120,Year_892_Q4,Southern Markets,trade_volume,region,88,5123.0,14.1,0.5,false,resource_allocation,true
AGT-0121,Year_890_Q1,Junior Cohort,journey_success_rate,experience_cohort,45,0.71,0.03,0.5,false,training_needs,true
AGT-0122,Year_890_Q2,Junior Cohort,journey_success_rate,experience_cohort,47,0.73,0.03,0.5,false,training_needs,true
AGT-0123,Year_890_Q3,Junior Cohort,journey_success_rate,experience_cohort,49,0.74,0.03,0.5,false,training_needs,true
AGT-0124,Year_890_Q4,Junior Cohort,journey_success_rate,experience_cohort,44,0.70,0.03,0.5,false,training_needs,true
AGT-0125,Year_891_Q1,Junior Cohort,journey_success_rate,experience_cohort,51,0.75,0.03,0.5,false,training_needs,true
AGT-0126,Year_891_Q2,Junior Cohort,journey_success_rate,experience_cohort,53,0.76,0.03,0.5,false,training_needs,true
AGT-0127,Year_891_Q3,Junior Cohort,journey_success_rate,experience_cohort,55,0.77,0.03,0.5,false,training_needs,true
AGT-0128,Year_891_Q4,Junior Cohort,journey_success_rate,experience_cohort,52,0.76,0.03,0.5,false,training_needs,true
AGT-0129,Year_892_Q1,Junior Cohort,journey_success_rate,experience_cohort,57,0.78,0.03,0.5,false,training_needs,true
AGT-0130,Year_892_Q2,Junior Cohort,journey_success_rate,experience_cohort,59,0.79,0.03,0.5,false,training_needs,true
AGT-0131,Year_892_Q3,Junior Cohort,journey_success_rate,experience_cohort,61,0.80,0.03,0.5,false,training_needs,true
AGT-0132,Year_892_Q4,Junior Cohort,journey_success_rate,experience_cohort,58,0.79,0.03,0.5,false,training_needs,true
AGT-0133,Year_890_Q1,Senior Cohort,journey_success_rate,experience_cohort,78,0.89,0.02,0.5,false,resource_allocation,true
AGT-0134,Year_890_Q2,Senior Cohort,journey_success_rate,experience_cohort,80,0.90,0.02,0.5,false,resource_allocation,true
AGT-0135,Year_890_Q3,Senior Cohort,journey_success_rate,experience_cohort,82,0.91,0.02,0.5,false,resource_allocation,true
AGT-0136,Year_890_Q4,Senior Cohort,journey_success_rate,experience_cohort,77,0.88,0.02,0.5,false,resource_allocation,true
AGT-0137,Year_891_Q1,Senior Cohort,journey_success_rate,experience_cohort,84,0.91,0.02,0.5,false,resource_allocation,true
AGT-0138,Year_891_Q2,Senior Cohort,journey_success_rate,experience_cohort,86,0.92,0.02,0.5,false,resource_allocation,true
AGT-0139,Year_891_Q3,Senior Cohort,journey_success_rate,experience_cohort,88,0.93,0.02,0.5,false,resource_allocation,true
AGT-0140,Year_891_Q4,Senior Cohort,journey_success_rate,experience_cohort,85,0.92,0.02,0.5,false,resource_allocation,true
AGT-0141,Year_892_Q1,Senior Cohort,journey_success_rate,experience_cohort,90,0.93,0.02,0.5,false,resource_allocation,true
AGT-0142,Year_892_Q2,Senior Cohort,journey_success_rate,experience_cohort,92,0.94,0.02,0.5,false,resource_allocation,true
AGT-0143,Year_892_Q3,Senior Cohort,journey_success_rate,experience_cohort,94,0.94,0.02,0.5,false,resource_allocation,true
AGT-0144,Year_892_Q4,Senior Cohort,journey_success_rate,experience_cohort,91,0.93,0.02,0.5,false,resource_allocation,true
AGT-0145,Year_890_Q1,Guild Wide,customer_satisfaction,guild_wide,234,0.82,0.02,0.3,false,training_needs,true
AGT-0146,Year_891_Q1,Guild Wide,customer_satisfaction,guild_wide,245,0.84,0.02,0.3,false,training_needs,true
AGT-0147,Year_892_Q1,Guild Wide,customer_satisfaction,guild_wide,255,0.86,0.02,0.3,false,training_needs,true
AGT-0148,Year_890_Q1,Guild Wide,method_innovation_index,guild_wide,234,0.45,0.02,0.3,false,training_needs,true
AGT-0149,Year_891_Q1,Guild Wide,method_innovation_index,guild_wide,245,0.52,0.02,0.3,false,training_needs,true
AGT-0150,Year_892_Q1,Guild Wide,method_innovation_index,guild_wide,255,0.58,0.02,0.3,false,training_needs,true
