date,type,material_type,title,author,related_event,notes,event_id
895-04-10,archive_accession,,,mink_pavar,,"The suspected forgeries are deposited at SHOP-07, controlled by a stone-school sympathizer. MS-0156, MS-0157, MS-0158 - all attributed to Grigsu, all composed after 886, all containing language Grigsu's earlier works never used. Convenient? Or coincidence?",EV-895-002
895-06-12,archive_note,discovery_record,,,EV-895-003,,EV-895-004
897-12-18,archive_accession,,,,EV-897-001,,EV-897-002
902-11-21,archive_accession,,,,EV-902-001,,EV-902-002
903-04-21,archive_note,discovery_record,,,EV-903-001,,EV-903-002
905-07-26,archive_accession,,,,EV-905-001,,EV-905-002
907-04-24,archive_note,discovery_record,,,EV-907-002,,EV-907-003
907-08-25,archive_note,scavenger_testimony,,pollus_brent,,The Scavenger's testimony recorded by Brent. Key empirical evidence for Pol's hypothesis: forms pre-exist their readers. Letter PB-023 in the correspondence.,EV-907-001
908-06-30,archive_note,discovery_record,,,EV-908-001,,EV-908-002
910-08-25,archive_accession,,,tessyn_mord,,Mord begins systematic study of how collective intelligence emerges from archival structure. Foundation for retrieval tradition's institutional claims.,EV-910-001
911-09-17,archive_note,discovery_record,,,EV-911-001,,EV-911-003
912-01-17,archive_accession,,,,EV-911-002,,EV-912-012
912-09-24,archive_note,discovery_record,,,EV-912-007,,EV-912-008
912-09-28,archive_note,incident_record,,,EV-912-002,,EV-912-004
912-09-29,archive_note,discovery_record,,,EV-912-013,,EV-912-017
913-01-22,archive_accession,,,,EV-912-009,,EV-913-001
913-03-25,archive_note,discovery_record,,,EV-913-002,,EV-913-004
913-06-10,archive_note,discovery_record,,,EV-913-003,,EV-913-005
914-02-19,archive_note,discovery_record,,,EV-914-001,,EV-914-004
914-09-27,archive_accession,,,,EV-914-002,,EV-914-003
915-02-02,archive_note,discovery_record,,,EV-915-008,,EV-915-011
915-03-11,archive_note,discovery_record,,,EV-915-005,,EV-915-006
915-05-11,archive_accession,,,,EV-915-014,,EV-915-015
915-07-03,archive_note,discovery_record,,,EV-915-012,,EV-915-013
915-07-07,archive_accession,,,,EV-915-001,,EV-915-004
915-08-12,archive_note,discovery_record,,,EV-915-002,,EV-915-003
916-05-05,archive_accession,,,,EV-916-001,,EV-916-002
916-05-09,archive_note,discovery_record,,,EV-916-004,,EV-916-005
916-08-22,archive_note,discovery_record,,,EV-916-007,,EV-916-008
917-03-23,archive_note,discovery_record,,,EV-917-006,,EV-917-008
917-08-27,archive_note,discovery_record,,,EV-917-004,,EV-917-005
917-12-19,archive_accession,,,,EV-917-001,,EV-917-002
918-03-03,archive_note,discovery_record,,,EV-918-006,,EV-918-009
918-03-25,archive_accession,,,,EV-918-001,,EV-918-003
918-06-10,archive_accession,,,,EV-918-007,,EV-918-010
918-07-02,archive_note,discovery_record,,,EV-918-005,,EV-918-008
918-12-12,archive_accession,,,,EV-918-014,,EV-918-015
919-03-21,archive_note,discovery_record,,,EV-919-005,,EV-919-008
919-04-18,archive_note,discovery_record,,,EV-919-001,,EV-919-014
919-06-21,archive_note,discovery_record,,,EV-919-010,,EV-919-015
919-07-14,archive_note,discovery_record,,,EV-919-002,,EV-919-004
919-09-08,archive_note,discovery_record,,,EV-919-011,,EV-919-016
919-10-05,archive_note,discovery_record,,,EV-919-007,,EV-919-009
919-11-14,archive_accession,,,,EV-919-013,,EV-919-017
920-03-25,archive_note,discovery_record,,,EV-920-003,,EV-920-004
920-04-27,archive_note,discovery_record,,,EV-920-001,,EV-920-002
920-09-15,archive_accession,,,,EV-920-021,,EV-920-023
920-10-22,archive_accession,,,,EV-920-015,,EV-920-016
920-11-05,archive_accession,,,,EV-920-005,,EV-920-009
920-11-25,archive_note,discovery_record,,,EV-920-006,,EV-920-010
920-12-24,archive_note,discovery_record,,,EV-920-022,,EV-920-024
921-02-18,archive_accession,,,,EV-920-019,,EV-921-013
921-03-02,archive_note,discovery_record,,,EV-921-003,,EV-921-006
921-05-15,archive_accession,,,,EV-921-008,,EV-921-011
921-05-20,archive_note,discovery_record,,,EV-921-009,,EV-921-012
921-05-24,archive_note,discovery_record,,,EV-921-002,,EV-921-005
921-12-05,archive_accession,,,,EV-921-004,,EV-921-007
922-03-25,archive_note,discovery_record,,,EV-922-007,,EV-922-011
922-03-30,archive_note,discovery_record,,,EV-922-003,,EV-922-010
922-05-30,archive_note,discovery_record,,,EV-922-005,,EV-922-006
922-09-20,archive_note,discovery_record,,,EV-922-001,,EV-922-002
922-12-01,archive_accession,vector_vault,,embedding_keepers,,"Olis: 'Similar texts cluster together in the invisible landscape. Learn to read that landscape, and you can find anything.'",EV-922-009
923-02-22,archive_note,discovery_record,,,EV-923-003,,EV-923-010
923-05-06,archive_accession,,,,EV-923-014,,EV-923-021
923-06-09,archive_note,discovery_record,,,EV-923-005,,EV-923-011
923-06-11,archive_accession,,,,EV-923-012,,EV-923-017
923-07-26,archive_note,discovery_record,,,EV-923-013,,EV-923-018
923-08-19,archive_accession,,,,EV-923-015,,EV-923-019
923-08-23,archive_accession,,,,EV-923-001,,EV-923-002
923-10-21,archive_note,discovery_record,,,EV-923-016,,EV-923-020
923-11-08,archive_accession,,,,EV-923-004,,EV-923-006
924-01-10,archive_accession,design_patterns,The Space Builder's Manual,vastos,,The tradition formalized for future builders,EV-924-008
924-04-27,archive_note,discovery_record,,,EV-924-004,,EV-924-006
924-06-27,archive_note,discovery_record,,,EV-924-010,,EV-924-012
924-10-06,archive_accession,,,,EV-924-001,,EV-924-002
924-10-19,archive_accession,,,,EV-924-005,,EV-924-007
925-02-17,archive_note,discovery_record,,,EV-925-002,,EV-925-005
925-02-20,archive_note,discovery_record,,,EV-925-006,,EV-925-012
925-07-28,archive_accession,,,,EV-925-007,,EV-925-011
926-01-25,archive_accession,,,,EV-925-004,,EV-926-006
926-04-28,archive_note,discovery_record,,,EV-926-002,,EV-926-007
926-08-01,archive_accession,deployed_system,The Densworld Oracle,verification_council,,The Oracle speaks,EV-926-003
926-09-10,archive_note,discovery_record,,,EV-926-004,,EV-926-008
927-02-04,archive_accession,,,,EV-926-009,,EV-927-008
927-02-28,archive_note,discovery_record,,,EV-927-002,,EV-927-006
927-09-24,archive_accession,,,,EV-927-005,,EV-927-007
930-03-06,archive_note,discovery_record,,,EV-930-001,,EV-930-002
930-12-01,archive_accession,,,rellen_voss,,"Voss's complete papers are accessioned to the Western Archive's permanent collection, concluding his decade of trajectory research. His resonance framework becomes foundational for future optimization studies. The 247 documented navigation events remain the most comprehensive trajectory record in existence.",EV-930-003
931-01-14,archive_accession,,,,EV-930-004,,EV-931-001
934-06-21,archive_note,discovery_record,,,EV-934-001,,EV-934-003
934-10-30,archive_accession,,,,EV-934-002,,EV-934-004
935-01-05,archive_note,framework_review,,pell_anster,,The Klutch CC Classification Committee is assigned to evaluate Anster's framework. The Densmok Philosophical Circle remains divided on whether it represents genuine insight or 'an overly systematic attempt to categorize what cannot be categorized.' This review provides the narrative framing for the course.,EV-935-001
935-07-08,archive_accession,,,,EV-935-003,,EV-935-004
