reduction_id,initial_expression,step_number,rule_applied,expression_after,redex_location,is_normal_form,terminates,total_steps,year_traced,traced_by,notes
PR-021,((λp.(p (λx.λy.y))) (λf.((f a) b))),1,beta,((λf.((f a) b)) (λx.λy.y)),outer,False,True,2,742,Kelleth Mund,Second projection step 1
PR-021,((λf.((f a) b)) (λx.λy.y)),2,beta,b,root,True,True,2,742,Kelleth Mund,Second projection final - returns b
PR-022,(λa.a),1,none,(λa.a),root,True,True,0,724,Kelleth Mund,Alpha variant of identity - already normal
PR-023,((λa.a) (λb.b)),1,beta,(λb.b),root,True,True,1,724,Kelleth Mund,Alpha variants applied
PR-024,((λx.λx.x) a),1,beta,(λx.x),root,True,True,1,725,Kelleth Mund,Shadowing - outer x bound to a discarded
PR-025,((λx.(λx.x x)) a),1,beta,((λx.x) a),outer,False,True,2,725,Kelleth Mund,Shadowing with outer reference step 1
PR-025,((λx.x) a),2,beta,a,root,True,True,2,725,Kelleth Mund,Shadowing step 2 final
PR-026,(((λx.λy.λz.((x z) (y z))) (λa.λb.a)) (λc.λd.d)),1,beta,(((λy.λz.(((λa.λb.a) z) (y z)))) (λc.λd.d)),outer,False,True,5,745,Jorell Vance,S K K step 1
PR-026,(((λy.λz.(((λa.λb.a) z) (y z)))) (λc.λd.d)),2,beta,(λz.(((λa.λb.a) z) ((λc.λd.d) z))),outer,False,True,5,745,Jorell Vance,S K K step 2
PR-026,(λz.(((λa.λb.a) z) ((λc.λd.d) z))),3,beta,(λz.((λb.z) ((λc.λd.d) z))),inner,False,True,5,745,Jorell Vance,S K K step 3
PR-026,(λz.((λb.z) ((λc.λd.d) z))),4,beta,(λz.z),inner,True,True,5,745,Jorell Vance,S K K final - equals I
PR-027,((λf.(f f)) (λx.x)),1,beta,((λx.x) (λx.x)),root,False,True,2,746,Jorell Vance,M combinator on I step 1
PR-027,((λx.x) (λx.x)),2,beta,(λx.x),root,True,True,2,746,Jorell Vance,M combinator on I final
PR-028,((λx.λy.(y x)) a (λz.z)),1,beta,((λy.(y a)) (λz.z)),outer,False,True,2,746,Jorell Vance,Thrush step 1
PR-028,((λy.(y a)) (λz.z)),2,beta,((λz.z) a),outer,False,True,3,746,Jorell Vance,Thrush step 2
PR-028,((λz.z) a),3,beta,a,root,True,True,3,746,Jorell Vance,Thrush final
PR-029,((λf.λg.λx.(f (g x))) (λa.a) (λb.b)),1,beta,((λg.λx.((λa.a) (g x))) (λb.b)),outer,False,True,3,746,Jorell Vance,B combinator on I I step 1
PR-029,((λg.λx.((λa.a) (g x))) (λb.b)),2,beta,(λx.((λa.a) ((λb.b) x))),outer,False,True,3,746,Jorell Vance,B combinator step 2
PR-029,(λx.((λa.a) ((λb.b) x))),3,beta,(λx.x),inner,True,True,3,746,Jorell Vance,B combinator final - reduces to I
PR-030,((λf.λx.λy.((f y) x)) (λa.λb.a)),1,beta,(λx.λy.(((λa.λb.a) y) x)),outer,False,True,3,746,Jorell Vance,C combinator on K step 1
PR-030,(λx.λy.(((λa.λb.a) y) x)),2,beta,(λx.λy.((λb.y) x)),inner,False,True,3,746,Jorell Vance,C combinator step 2
PR-030,(λx.λy.((λb.y) x)),3,beta,(λx.λy.y),inner,True,True,3,746,Jorell Vance,C combinator final - K flipped gives FALSE
PR-031,((λf.((λx.(f (x x))) (λx.(f (x x))))) (λn.n)),1,beta,((λx.((λn.n) (x x))) (λx.((λn.n) (x x)))),outer,False,True,4,752,Kelleth Mund,Y on identity step 1
PR-031,((λx.((λn.n) (x x))) (λx.((λn.n) (x x)))),2,beta,((λn.n) ((λx.((λn.n) (x x))) (λx.((λn.n) (x x))))),root,False,True,4,752,Kelleth Mund,Y on identity step 2
PR-031,((λn.n) ((λx.((λn.n) (x x))) (λx.((λn.n) (x x))))),3,beta,((λx.((λn.n) (x x))) (λx.((λn.n) (x x)))),root,False,False,-1,752,Kelleth Mund,Y on identity diverges - infinite loop
PR-032,((λn.((n (λx.(λx.λy.y))) (λx.λy.x))) (λf.λx.x)),1,beta,(((λf.λx.x) (λx.(λx.λy.y))) (λx.λy.x)),outer,False,True,3,743,Kelleth Mund,IsZero on zero step 1
PR-032,(((λf.λx.x) (λx.(λx.λy.y))) (λx.λy.x)),2,beta,((λx.x) (λx.λy.x)),inner,False,True,3,743,Kelleth Mund,IsZero on zero step 2
PR-032,((λx.x) (λx.λy.x)),3,beta,(λx.λy.x),root,True,True,3,743,Kelleth Mund,IsZero on zero final - returns TRUE
PR-033,((λn.((n (λx.(λx.λy.y))) (λx.λy.x))) (λf.λx.(f x))),1,beta,(((λf.λx.(f x)) (λx.(λx.λy.y))) (λx.λy.x)),outer,False,True,4,743,Kelleth Mund,IsZero on one step 1
PR-033,(((λf.λx.(f x)) (λx.(λx.λy.y))) (λx.λy.x)),2,beta,((λx.((λx.(λx.λy.y)) x)) (λx.λy.x)),inner,False,True,4,743,Kelleth Mund,IsZero on one step 2
PR-033,((λx.((λx.(λx.λy.y)) x)) (λx.λy.x)),3,beta,((λx.(λx.λy.y)) (λx.λy.x)),inner,False,True,4,743,Kelleth Mund,IsZero on one step 3
PR-033,((λx.(λx.λy.y)) (λx.λy.x)),4,beta,(λx.λy.y),root,True,True,4,743,Kelleth Mund,IsZero on one final - returns FALSE
PR-034,((λx.(x x x)) (λx.(x x x))),1,beta,(((λx.(x x x)) (λx.(x x x))) (λx.(x x x))),root,False,False,-1,755,Kelleth Mund,Triple omega - diverges faster than omega
PR-035,((λx.((x x) (x x))) (λy.y)),1,beta,(((λy.y) (λy.y)) ((λy.y) (λy.y))),root,False,True,4,755,Kelleth Mund,Divergent self on I step 1
PR-035,(((λy.y) (λy.y)) ((λy.y) (λy.y))),2,beta,((λy.y) ((λy.y) (λy.y))),left,False,True,4,755,Kelleth Mund,Divergent self on I step 2
PR-035,((λy.y) ((λy.y) (λy.y))),3,beta,((λy.y) (λy.y)),root,False,True,4,755,Kelleth Mund,Divergent self on I step 3
PR-035,((λy.y) (λy.y)),4,beta,(λy.y),root,True,True,4,755,Kelleth Mund,Divergent self on I final - terminates
PR-036,((λm.λn.(n m)) (λf.λx.(f (f x))) (λf.λx.(f (f x)))),1,beta,((λn.(n (λf.λx.(f (f x))))) (λf.λx.(f (f x)))),outer,False,True,6,741,Kelleth Mund,Exponentiation 2^2 step 1
PR-036,((λn.(n (λf.λx.(f (f x))))) (λf.λx.(f (f x)))),2,beta,((λf.λx.(f (f x))) (λf.λx.(f (f x)))),root,False,True,6,741,Kelleth Mund,Exponentiation 2^2 step 2
PR-037,((λm.λn.λf.(m (n f))) (λf.λx.(f (f x))) (λf.λx.(f (f x)))),1,beta,((λn.λf.((λf.λx.(f (f x))) (n f))) (λf.λx.(f (f x)))),outer,False,True,5,740,Kelleth Mund,Multiplication 2*2 step 1
PR-037,((λn.λf.((λf.λx.(f (f x))) (n f))) (λf.λx.(f (f x)))),2,beta,(λf.((λf.λx.(f (f x))) ((λf.λx.(f (f x))) f))),outer,False,True,5,740,Kelleth Mund,Multiplication 2*2 step 2
PR-038,((λx.λy.(y x)) a),1,none,((λx.λy.(y x)) a),root,False,True,1,746,Jorell Vance,Thrush partial - needs second arg
PR-038,((λx.λy.(y x)) a),1,beta,(λy.(y a)),root,True,True,1,746,Jorell Vance,Thrush partial applied
PR-039,((λx.λy.((x y) y)) (λa.λb.a) c),1,beta,((λy.(((λa.λb.a) y) y)) c),outer,False,True,3,746,Jorell Vance,W combinator step 1
PR-039,((λy.(((λa.λb.a) y) y)) c),2,beta,(((λa.λb.a) c) c),root,False,True,3,746,Jorell Vance,W combinator step 2
PR-039,(((λa.λb.a) c) c),3,beta,c,root,True,True,3,746,Jorell Vance,W combinator final
PR-040,((λf.λg.(f (g g))) (λx.x) (λx.x)),1,beta,((λg.((λx.x) (g g))) (λx.x)),outer,False,True,3,747,Jorell Vance,L combinator on I step 1
PR-040,((λg.((λx.x) (g g))) (λx.x)),2,beta,((λx.x) ((λx.x) (λx.x))),root,False,True,3,747,Jorell Vance,L combinator step 2
PR-040,((λx.x) ((λx.x) (λx.x))),3,beta,(λx.x),root,True,True,3,747,Jorell Vance,L combinator final
PR-041,((λa.λb.λf.((f a) b)) (λx.λy.x) (λx.λy.y)),1,beta,((λb.λf.((f (λx.λy.x)) b)) (λx.λy.y)),outer,False,True,2,747,Jorell Vance,V combinator creates pair step 1
PR-041,((λb.λf.((f (λx.λy.x)) b)) (λx.λy.y)),2,beta,(λf.((f (λx.λy.x)) (λx.λy.y))),root,True,True,2,747,Jorell Vance,V combinator final
PR-042,((λa.λb.λc.((b c) a)) x (λy.y)),1,beta,((λb.λc.((b c) x)) (λy.y)),outer,False,True,2,747,Jorell Vance,R combinator step 1
PR-042,((λb.λc.((b c) x)) (λy.y)),2,beta,(λc.(((λy.y) c) x)),root,True,True,2,747,Jorell Vance,R combinator final
PR-043,((λh.λt.λc.λn.((c h) ((t c) n))) a (λc.λn.n)),1,beta,((λt.λc.λn.((c a) ((t c) n))) (λc.λn.n)),outer,False,True,2,748,Brennis Mund,Cons a to empty list step 1
PR-043,((λt.λc.λn.((c a) ((t c) n))) (λc.λn.n)),2,beta,(λc.λn.((c a) (((λc.λn.n) c) n))),root,True,True,2,748,Brennis Mund,Cons a to empty list final
PR-044,((λl.((l (λh.λt.h)) NIL)) (λc.λn.((c a) (((λc.λn.n) c) n)))),1,beta,(((λc.λn.((c a) (((λc.λn.n) c) n))) (λh.λt.h)) NIL),outer,False,True,4,748,Brennis Mund,Head of singleton list step 1
PR-044,(((λc.λn.((c a) (((λc.λn.n) c) n))) (λh.λt.h)) NIL),2,beta,((λn.(((λh.λt.h) a) (((λc.λn.n) (λh.λt.h)) n))) NIL),inner,False,True,4,748,Brennis Mund,Head step 2
PR-044,((λn.(((λh.λt.h) a) (((λc.λn.n) (λh.λt.h)) n))) NIL),3,beta,(((λh.λt.h) a) (((λc.λn.n) (λh.λt.h)) NIL)),inner,False,True,4,748,Brennis Mund,Head step 3
PR-044,(((λh.λt.h) a) (((λc.λn.n) (λh.λt.h)) NIL)),4,beta,a,root,True,True,4,748,Brennis Mund,Head final - returns a
PR-045,(λx.[y/x](λy.x)),1,alpha,(λx.(λz.x)),body,False,True,2,724,Kelleth Mund,Alpha conversion to avoid capture
PR-045,(λx.(λz.x)),2,none,(λx.(λz.x)),root,True,True,2,724,Kelleth Mund,Alpha conversion complete
PR-046,((λx.(λy.(x y))) y),1,alpha,((λx.(λz.(x z))) y),body,False,True,2,724,Kelleth Mund,Capture-avoiding step 1
PR-046,((λx.(λz.(x z))) y),2,beta,(λz.(y z)),root,True,True,2,724,Kelleth Mund,Capture-avoiding final
PR-047,(λx.(x x)),1,none,(λx.(x x)),root,True,True,0,725,Kelleth Mund,Self-application - already normal form
PR-048,((λx.y) Omega),1,beta,y,root,True,True,1,752,Kelleth Mund,K discards divergent argument
PR-049,((λx.λy.x) a Omega),1,beta,((λy.a) Omega),outer,False,True,2,752,Kelleth Mund,K with divergent second arg step 1
PR-049,((λy.a) Omega),2,beta,a,root,True,True,2,752,Kelleth Mund,K discards Omega - terminates
PR-050,((λx.Omega) a),1,beta,Omega,root,False,False,-1,752,Kelleth Mund,Constant Omega function - always diverges
PR-051,((λx.((x x) x)) (λx.((x x) x))),1,beta,(((λx.((x x) x)) (λx.((x x) x))) (λx.((x x) x))),root,False,False,-1,756,Kelleth Mund,Unstable core - diverges quickly
PR-052,((λx.(x (λy.y))) (λz.(z z))),1,beta,((λz.(z z)) (λy.y)),root,False,True,3,757,Kelleth Mund,Dens adjacent pattern step 1
PR-052,((λz.(z z)) (λy.y)),2,beta,((λy.y) (λy.y)),root,False,True,3,757,Kelleth Mund,Dens adjacent step 2
PR-052,((λy.y) (λy.y)),3,beta,(λy.y),root,True,True,3,757,Kelleth Mund,Dens adjacent final - terminates
PR-053,((λf.λx.((f x) (f f))) (λx.x)),1,beta,(λx.(((λx.x) x) ((λx.x) (λx.x)))),outer,False,True,3,756,Kelleth Mund,Boundary variant on I step 1
PR-053,(λx.(((λx.x) x) ((λx.x) (λx.x)))),2,beta,(λx.(x (λx.x))),inner,True,True,3,756,Kelleth Mund,Boundary variant final
PR-054,((λx.y) ((λx.(x x)) (λx.(x x)))),1,beta,y,root,True,True,1,753,Kelleth Mund,Lazy evaluation - K ignores Omega
PR-055,((λf.(f (λv.((f f) v)))) (λx.x)),1,beta,((λx.x) (λv.(((λx.x) (λx.x)) v))),root,False,True,4,753,Kelleth Mund,Z combinator on I step 1
PR-055,((λx.x) (λv.(((λx.x) (λx.x)) v))),2,beta,(λv.(((λx.x) (λx.x)) v)),root,False,True,4,753,Kelleth Mund,Z combinator step 2
PR-055,(λv.(((λx.x) (λx.x)) v)),3,beta,(λv.((λx.x) v)),inner,False,True,4,753,Kelleth Mund,Z combinator step 3
PR-055,(λv.((λx.x) v)),4,eta,(λx.x),root,True,True,4,753,Kelleth Mund,Z combinator final via eta
PR-056,(λx.(f x)),1,eta,f,root,True,True,1,754,Kelleth Mund,Eta reduction example
PR-057,(λx.((g y) x)),1,eta,(g y),root,True,True,1,754,Kelleth Mund,Eta reduction with application
PR-058,(λx.(((λy.y) x))),1,beta,(λx.x),inner,False,True,2,754,Kelleth Mund,Beta before eta step 1
PR-058,(λx.x),2,none,(λx.x),root,True,True,2,754,Kelleth Mund,Beta before eta final
PR-059,((λx.x) ((λy.y) z)),1,beta,((λy.y) z),root,False,True,2,723,Kelleth Mund,Leftmost reduction step 1
PR-059,((λy.y) z),2,beta,z,root,True,True,2,723,Kelleth Mund,Leftmost reduction final
PR-060,((λx.x) ((λy.y) z)),1,beta,(z),inner_first,True,True,2,723,Kelleth Mund,Rightmost first - inner redex
PR-061,((λx.(x x)) ((λy.y) a)),1,beta,(((λy.y) a) ((λy.y) a)),root,False,True,3,725,Kelleth Mund,Duplicating redex step 1
PR-061,(((λy.y) a) ((λy.y) a)),2,beta,(a ((λy.y) a)),left,False,True,3,725,Kelleth Mund,Duplicating redex step 2
PR-061,(a ((λy.y) a)),3,beta,(a a),right,True,True,3,725,Kelleth Mund,Duplicating redex final
PR-062,(((λx.λy.((x y) x)) (λa.a)) b),1,beta,(((λy.(((λa.a) y) (λa.a)))) b),outer,False,True,4,726,Kelleth Mund,Complex nested step 1
PR-062,(((λy.(((λa.a) y) (λa.a)))) b),2,beta,((((λa.a) b) (λa.a))),root,False,True,4,726,Kelleth Mund,Complex nested step 2
PR-062,((((λa.a) b) (λa.a))),3,beta,((b (λa.a))),inner,False,True,4,726,Kelleth Mund,Complex nested step 3
PR-062,((b (λa.a))),4,none,(b (λa.a)),root,True,True,4,726,Kelleth Mund,Complex nested final
PR-063,((λm.(m (passage(x).m))) (λy.y)),1,beta,((λy.y) (passage(x).(λy.y))),root,False,True,2,760,Marden Krey,Marginal pattern step 1
PR-063,((λy.y) (passage(x).(λy.y))),2,beta,(passage(x).(λy.y)),root,True,True,2,760,Marden Krey,Marginal pattern final
PR-064,((λx.(λy.((y y) (y y)))) x),1,beta,(λy.((y y) (y y))),root,True,True,1,765,Marden Krey,Delayed omega - returns omega abstraction
PR-065,((λf.λg.λx.((g (f f g)) x)) (λf.λg.λx.((g (f f g)) x)) succ),1,beta,((λg.λx.((g ((λf.λg.λx.((g (f f g)) x)) (λf.λg.λx.((g (f f g)) x)) g)) x)) succ),outer,False,True,3,768,Marden Krey,Safe recursion pattern step 1
PR-066,((λf.(f (f (f x)))) (λy.y)),1,beta,((λy.y) ((λy.y) ((λy.y) x))),root,False,True,4,770,Marden Krey,Triple composition step 1
PR-066,((λy.y) ((λy.y) ((λy.y) x))),2,beta,((λy.y) ((λy.y) x)),root,False,True,4,770,Marden Krey,Triple composition step 2
PR-066,((λy.y) ((λy.y) x)),3,beta,((λy.y) x),root,False,True,4,770,Marden Krey,Triple composition step 3
PR-066,((λy.y) x),4,beta,x,root,True,True,4,770,Marden Krey,Triple composition final
PR-067,((λj.λn.n) just nothing),1,beta,((λn.n) nothing),outer,False,True,2,761,Brennis Mund,Maybe Nothing pattern step 1
PR-067,((λn.n) nothing),2,beta,nothing,root,True,True,2,761,Brennis Mund,Maybe Nothing final
PR-068,((λx.λj.λn.(j x)) val just nothing),1,beta,(((λj.λn.(j val)) just) nothing),outer,False,True,3,761,Brennis Mund,Maybe Just pattern step 1
PR-068,(((λj.λn.(j val)) just) nothing),2,beta,((λn.(just val)) nothing),outer,False,True,3,761,Brennis Mund,Maybe Just step 2
PR-068,((λn.(just val)) nothing),3,beta,(just val),root,True,True,3,761,Brennis Mund,Maybe Just final
PR-069,((λx.λl.λr.(l x)) err left right),1,beta,(((λl.λr.(l err)) left) right),outer,False,True,3,761,Brennis Mund,Either Left step 1
PR-069,(((λl.λr.(l err)) left) right),2,beta,((λr.(left err)) right),outer,False,True,3,761,Brennis Mund,Either Left step 2
PR-069,((λr.(left err)) right),3,beta,(left err),root,True,True,3,761,Brennis Mund,Either Left final
PR-070,((λx.λl.λr.(r x)) val left right),1,beta,(((λl.λr.(r val)) left) right),outer,False,True,3,761,Brennis Mund,Either Right step 1
PR-070,(((λl.λr.(r val)) left) right),2,beta,((λr.(right val)) right),outer,False,True,3,761,Brennis Mund,Either Right step 2
PR-070,((λr.(right val)) right),3,beta,(right val),root,True,True,3,761,Brennis Mund,Either Right final
PR-071,((λd.(d d)),1,none,(λd.(d d)),root,True,True,0,720,Archive Record,Circular cite pattern - normal form abstraction
PR-072,((λa.λb.λc.(c b a)) x y (λp.λq.p)),1,beta,(((λb.λc.(c b x)) y) (λp.λq.p)),outer,False,True,4,720,Archive Record,Inversion pattern step 1
PR-072,(((λb.λc.(c b x)) y) (λp.λq.p)),2,beta,((λc.(c y x)) (λp.λq.p)),outer,False,True,4,720,Archive Record,Inversion step 2
PR-072,((λc.(c y x)) (λp.λq.p)),3,beta,(((λp.λq.p) y) x),root,False,True,4,720,Archive Record,Inversion step 3
PR-072,(((λp.λq.p) y) x),4,beta,y,root,True,True,4,720,Archive Record,Inversion final - selects y
PR-073,((λx.λy.λz.((x y) z)) f g h),1,beta,(((λy.λz.((f y) z)) g) h),outer,False,True,3,719,Archive Record,Pre-collapse normal step 1
PR-073,(((λy.λz.((f y) z)) g) h),2,beta,((λz.((f g) z)) h),outer,False,True,3,719,Archive Record,Pre-collapse step 2
PR-073,((λz.((f g) z)) h),3,beta,((f g) h),root,True,True,3,719,Archive Record,Pre-collapse final
PR-074,((λx.λy.(y ((x x) y))) (λx.λy.(y ((x x) y)))),1,beta,(λy.(y (((λx.λy.(y ((x x) y))) (λx.λy.(y ((x x) y)))) y))),root,True,True,1,758,Kelleth Mund,Theta combinator step 1 - weak head normal form
PR-075,((λn.((Exp Two) ((Exp Two) n))) One),1,beta,((Exp Two) ((Exp Two) One)),root,False,True,12,776,Kelleth Mund,Limit approach - grows quickly
PR-076,((λf.λx.(f (λy.((f y) x)))) (λa.a)),1,beta,(λx.((λa.a) (λy.(((λa.a) y) x)))),outer,False,True,4,792,Kelleth Mund,Mund final expression step 1
PR-076,(λx.((λa.a) (λy.(((λa.a) y) x)))),2,beta,(λx.(λy.(((λa.a) y) x))),inner,False,True,4,792,Kelleth Mund,Mund final step 2
PR-076,(λx.(λy.(((λa.a) y) x))),3,beta,(λx.(λy.(y x))),inner,True,True,4,792,Kelleth Mund,Mund final - his last traced reduction
PR-077,((λn.((n NOT) TRUE)) Zero),1,beta,((Zero NOT) TRUE),root,False,True,3,743,Kelleth Mund,Is Even on Zero step 1
PR-077,((Zero NOT) TRUE),2,beta,TRUE,root,True,True,3,743,Kelleth Mund,Is Even on Zero final - TRUE
PR-078,((λn.((n NOT) TRUE)) One),1,beta,((One NOT) TRUE),root,False,True,4,743,Kelleth Mund,Is Even on One step 1
PR-078,((One NOT) TRUE),2,beta,(NOT TRUE),root,False,True,4,743,Kelleth Mund,Is Even on One step 2
PR-078,(NOT TRUE),3,beta,FALSE,root,True,True,4,743,Kelleth Mund,Is Even on One final - FALSE
PR-079,((λn.((n NOT) TRUE)) Two),1,beta,((Two NOT) TRUE),root,False,True,5,743,Kelleth Mund,Is Even on Two step 1
PR-079,((Two NOT) TRUE),2,beta,((NOT (NOT TRUE))),root,False,True,5,743,Kelleth Mund,Is Even on Two step 2
PR-079,((NOT (NOT TRUE))),3,beta,(NOT FALSE),inner,False,True,5,743,Kelleth Mund,Is Even on Two step 3
PR-079,(NOT FALSE),4,beta,TRUE,root,True,True,5,743,Kelleth Mund,Is Even on Two final - TRUE
PR-080,((λl.((Fold Plus) Zero l)) (Cons One (Cons Two Nil))),1,beta,((Fold Plus) Zero (Cons One (Cons Two Nil))),root,False,True,8,751,Brennis Mund,Sum list [1 2] step 1
