student_id,model_version,prediction_date,semester,predicted_gpa,predicted_retention,predicted_graduation,risk_level,trajectory,intervention_recommended,intervention_applied,actual_outcome,prediction_accuracy,anomaly_flag
ST-3006,v1.0,2018-09-10,Y1-F,2.13,0.68,0.45,critical,volatile,mentorship,,,0.93,False
ST-3053,v1.0,2018-09-10,Y1-F,2.08,0.43,0.35,critical,rising,counseling,counseling,,0.94,False
ST-3047,v1.0,2018-09-10,Y1-F,2.81,0.89,0.63,medium,declining,counseling,,,0.94,False
ST-3032,v1.0,2018-09-10,Y1-F,1.88,0.42,0.53,medium,rising,faculty_notification,faculty_notification,,0.98,False
NR-2407,v1.0,2018-09-10,Y1-F,3.07,0.91,0.72,low,stable,,,,0.99,False
ST-3089,v1.0,2018-09-10,Y1-F,3.61,0.82,0.59,low,stable,,,,0.9,False
ST-3009,v1.0,2018-09-10,Y1-F,3.48,0.89,0.56,low,stable,,,,0.97,False
ST-3051,v1.0,2018-09-10,Y1-F,3.29,0.93,0.63,high,rising,tutoring,tutoring,,0.96,False
ST-3043,v1.0,2018-09-10,Y1-F,2.84,0.85,0.54,critical,declining,counseling,counseling,,0.85,False
ST-3031,v1.0,2018-09-10,Y1-F,2.6,0.86,0.5,low,stable,,,,0.97,False
ST-3036,v1.0,2018-09-10,Y1-F,2.27,0.71,0.36,medium,rising,financial_review,,,0.97,False
ST-3011,v1.0,2018-09-10,Y1-F,2.59,0.83,0.67,low,declining,,,,0.86,False
ST-3017,v1.0,2018-09-10,Y1-F,2.59,0.91,0.53,high,rising,course_advising,course_advising,,0.85,False
ST-3080,v1.0,2018-09-10,Y1-F,2.48,0.57,0.31,high,stable,counseling,counseling,,0.94,False
ST-3075,v1.0,2018-09-10,Y1-F,3.27,0.77,0.5,high,rising,course_advising,course_advising,,0.92,False
ST-3028,v1.0,2018-09-10,Y1-F,2.74,0.86,0.67,medium,rising,tutoring,tutoring,,0.88,False
ST-3076,v1.0,2018-09-10,Y1-F,2.73,0.79,0.69,low,volatile,,,,0.89,False
ST-3095,v1.0,2018-09-10,Y1-F,2.26,0.56,0.31,medium,declining,counseling,counseling,,0.98,False
ST-3013,v1.0,2018-09-10,Y1-F,1.87,0.46,0.28,high,declining,counseling,,,0.97,False
ST-3058,v1.0,2018-09-10,Y1-F,2.91,0.79,0.61,medium,rising,mentorship,,,0.94,False
ST-3073,v1.0,2018-09-10,Y1-F,1.97,0.44,0.5,high,declining,counseling,counseling,,0.96,False
ST-3062,v1.0,2018-09-10,Y1-F,2.4,0.42,0.53,high,declining,course_advising,course_advising,,0.98,False
ST-3064,v1.0,2018-09-10,Y1-F,2.03,0.45,0.48,critical,rising,tutoring,tutoring,,0.95,False
ST-3029,v1.0,2018-09-10,Y1-F,2.76,0.9,0.58,medium,stable,course_advising,course_advising,,0.9,False
ST-3041,v1.0,2018-09-10,Y1-F,2.25,0.6,0.22,critical,rising,tutoring,tutoring,,0.96,False
ST-3087,v1.0,2018-09-10,Y1-F,2.68,0.76,0.69,low,stable,,,,0.97,False
ST-3084,v1.0,2018-09-10,Y1-F,2.49,0.41,0.3,medium,declining,mentorship,mentorship,,0.92,False
ST-3008,v1.0,2018-09-10,Y1-F,3.48,0.86,0.73,high,stable,tutoring,tutoring,,0.94,False
ST-3096,v1.0,2018-09-10,Y1-F,3.49,0.72,0.56,low,declining,,,,0.92,False
ST-3074,v1.0,2018-09-10,Y1-F,2.33,0.44,0.44,high,volatile,course_advising,course_advising,,0.97,False
ST-3067,v1.0,2018-09-10,Y1-F,1.84,0.66,0.41,low,rising,,,,0.91,False
ST-3090,v1.0,2018-09-10,Y1-F,2.25,0.61,0.21,high,declining,mentorship,,,0.87,False
ST-3019,v1.0,2018-09-10,Y1-F,2.97,0.81,0.6,critical,stable,course_advising,,,0.92,False
ST-3061,v1.0,2019-01-30,Y1-S,2.69,0.72,0.77,high,stable,counseling,,,0.96,False
ST-3045,v1.0,2019-01-30,Y1-S,2.61,0.85,0.85,low,rising,,,,0.94,False
ST-3053,v1.0,2019-01-30,Y1-S,2.25,0.59,0.39,high,stable,tutoring,,,0.98,False
ST-3043,v1.0,2019-01-30,Y1-S,2.73,0.91,0.64,low,stable,,,,0.93,False
ST-3042,v1.0,2019-01-30,Y1-S,3.12,0.95,0.78,medium,rising,mentorship,mentorship,,0.96,False
ST-3086,v1.0,2019-01-30,Y1-S,3.14,0.73,0.8,low,volatile,,,,0.98,False
ST-3014,v1.0,2019-01-30,Y1-S,2.98,0.92,0.84,low,declining,,,,0.99,False
ST-3021,v1.0,2019-01-30,Y1-S,2.63,0.8,0.53,low,stable,,,,0.9,False
ST-3097,v1.0,2019-01-30,Y1-S,1.49,0.62,0.51,high,stable,mentorship,mentorship,,0.96,False
ST-3098,v1.0,2019-01-30,Y1-S,2.54,0.76,0.53,critical,declining,mentorship,mentorship,,0.94,False
ST-3089,v1.0,2019-01-30,Y1-S,2.33,0.42,0.48,medium,stable,tutoring,tutoring,,0.85,False
ST-3064,v1.0,2019-01-30,Y1-S,2.06,0.46,0.26,high,stable,tutoring,tutoring,,0.94,False
ST-3037,v1.0,2019-01-30,Y1-S,2.39,0.62,0.36,high,declining,course_advising,,,0.97,False
ST-3085,v1.0,2019-01-30,Y1-S,2.57,0.81,0.62,medium,stable,course_advising,course_advising,,0.96,False
ST-3052,v1.0,2019-01-30,Y1-S,2.29,0.75,0.5,medium,stable,counseling,counseling,,0.98,False
ST-3071,v1.0,2019-01-30,Y1-S,3.12,0.94,0.73,low,stable,,,,1.0,False
NR-2407,v1.0,2019-01-30,Y1-S,2.38,0.42,0.41,high,volatile,counseling,,,0.89,False
ST-3059,v1.0,2019-01-30,Y1-S,2.81,0.75,0.57,low,declining,,,,0.86,False
ST-3012,v1.0,2019-01-30,Y1-S,2.78,0.73,0.53,medium,rising,course_advising,course_advising,,0.89,False
ST-3041,v1.0,2019-01-30,Y1-S,2.52,0.93,0.61,low,rising,,,,0.97,False
ST-3033,v1.0,2019-01-30,Y1-S,2.93,0.79,0.68,low,rising,,,,0.85,False
ST-3096,v1.0,2019-01-30,Y1-S,3.73,0.94,0.6,high,declining,course_advising,,,0.91,False
ST-3015,v1.0,2019-01-30,Y1-S,3.53,0.92,0.75,critical,volatile,counseling,counseling,,0.88,True
ST-3095,v1.0,2019-01-30,Y1-S,2.39,0.44,0.33,high,stable,course_advising,,,0.97,False
ST-3066,v1.0,2019-01-30,Y1-S,2.92,0.76,0.51,high,stable,tutoring,tutoring,,0.99,False
JK-3847,v1.0,2019-01-30,Y1-S,2.33,0.65,0.43,medium,rising,mentorship,mentorship,,0.94,True
ST-3070,v1.0,2019-01-30,Y1-S,2.47,0.71,0.25,high,stable,course_advising,course_advising,,1.0,False
ST-3060,v1.0,2019-01-30,Y1-S,2.55,0.86,0.79,medium,volatile,counseling,counseling,,0.84,False
ST-3091,v1.0,2019-01-30,Y1-S,2.33,0.73,0.5,low,stable,,,,0.94,False
ST-3007,v1.0,2019-01-30,Y1-S,1.37,0.53,0.34,medium,rising,course_advising,course_advising,,0.94,True
ST-3025,v1.0,2019-01-30,Y1-S,2.87,0.94,0.52,low,volatile,,,,0.9,True
ST-3067,v1.0,2019-01-30,Y1-S,2.78,0.91,0.69,medium,declining,tutoring,tutoring,,0.95,False
ST-3047,v1.0,2019-01-30,Y1-S,3.34,0.7,0.8,low,rising,,,,0.87,False
ST-3090,v1.0,2019-01-30,Y1-S,2.7,0.87,0.51,low,declining,,,,0.95,False
ST-3057,v1.0,2019-01-30,Y1-S,2.73,0.74,0.52,medium,stable,faculty_notification,faculty_notification,,0.93,False
ST-3087,v1.0,2019-01-30,Y1-S,2.25,0.61,0.36,medium,stable,faculty_notification,,,0.98,False
ST-3027,v1.0,2019-01-30,Y1-S,3.11,0.81,0.84,low,stable,,,,0.93,False
ST-3018,v1.0,2019-01-30,Y1-S,2.08,0.57,0.52,low,rising,,,,0.94,True
ST-3036,v1.0,2019-01-30,Y1-S,2.56,0.77,0.72,medium,stable,financial_review,financial_review,,0.98,False
ST-3009,v1.0,2019-01-30,Y1-S,2.05,0.43,0.45,critical,stable,tutoring,tutoring,,0.97,False
ST-3073,v1.0,2019-01-30,Y1-S,3.09,0.91,0.64,medium,stable,counseling,counseling,,0.95,False
ST-3019,v1.0,2019-01-30,Y1-S,2.5,0.93,0.52,high,rising,mentorship,,,0.97,False
ST-3029,v1.0,2019-01-30,Y1-S,2.52,0.71,0.83,medium,stable,course_advising,course_advising,,0.97,False
ST-3076,v1.0,2019-01-30,Y1-S,2.28,0.7,0.45,critical,stable,counseling,counseling,,0.89,False
ST-3099,v1.0,2019-01-30,Y1-S,2.41,0.57,0.5,medium,stable,mentorship,,,1.0,False
ST-3032,v1.0,2019-01-30,Y1-S,1.89,0.7,0.54,critical,stable,mentorship,mentorship,,0.94,False
ST-3008,v1.0,2019-01-30,Y1-S,2.28,0.41,0.3,high,volatile,counseling,counseling,,0.9,False
AB-2201,v1.0,2019-01-30,Y1-S,3.14,0.8,0.55,medium,rising,faculty_notification,faculty_notification,,0.93,False
ST-3081,v1.0,2019-01-30,Y1-S,2.31,0.46,0.31,medium,volatile,financial_review,financial_review,,0.94,False
ST-3039,v1.0,2019-01-30,Y1-S,2.98,0.85,0.74,low,stable,,,,0.98,False
ST-3016,v1.0,2019-01-30,Y1-S,2.16,0.5,0.46,medium,stable,counseling,counseling,,0.99,False
ST-3046,v1.0,2019-01-30,Y1-S,2.19,0.51,0.28,critical,rising,tutoring,tutoring,,0.95,False
ST-3011,v1.0,2019-01-30,Y1-S,2.77,0.76,0.61,low,declining,,,,0.96,False
ST-3020,v1.0,2019-01-30,Y1-S,2.92,0.88,0.68,high,declining,mentorship,mentorship,,0.93,False
ST-3062,v1.0,2019-01-30,Y1-S,2.67,0.81,0.53,low,stable,,,,0.92,False
ST-3075,v1.0,2019-01-30,Y1-S,2.11,0.5,0.34,critical,rising,course_advising,,,0.94,False
ST-3049,v1.0,2019-01-30,Y1-S,2.89,0.91,0.59,medium,stable,course_advising,,,0.98,False
ST-3069,v1.0,2019-01-30,Y1-S,2.69,0.89,0.53,medium,stable,tutoring,,,0.95,False
ST-3006,v1.0,2019-01-30,Y1-S,2.23,0.69,0.49,medium,rising,tutoring,tutoring,,0.9,False
ST-3078,v1.0,2019-01-30,Y1-S,3.18,0.72,0.83,medium,stable,financial_review,,,0.9,False
ST-3054,v1.0,2019-01-30,Y1-S,1.62,0.6,0.42,high,declining,counseling,counseling,,0.95,False
ST-3030,v1.0,2019-01-30,Y1-S,3.19,0.78,0.6,low,stable,,,,0.97,False
ST-3040,v1.0,2019-01-30,Y1-S,2.5,0.71,0.79,low,declining,,,,0.92,False
ST-3010,v1.0,2019-01-30,Y1-S,3.12,0.83,0.66,medium,declining,mentorship,mentorship,,0.92,False
ST-3055,v1.0,2019-01-30,Y1-S,2.97,0.78,0.67,low,rising,,,,0.9,False
ST-3083,v1.0,2019-01-30,Y1-S,3.55,0.79,0.75,medium,rising,tutoring,,,0.9,False
ST-3080,v1.0,2019-01-30,Y1-S,3.31,0.85,0.63,high,stable,counseling,counseling,,0.99,False
ST-3063,v1.0,2019-01-30,Y1-S,3.37,0.78,0.62,medium,stable,counseling,,,0.97,False
ST-3092,v1.0,2019-01-30,Y1-S,2.1,0.71,0.32,high,rising,counseling,counseling,,0.86,False
ST-3044,v1.0,2019-01-30,Y1-S,2.29,0.45,0.45,low,stable,,,,0.91,False
ST-3050,v1.0,2019-01-30,Y1-S,2.42,0.44,0.45,critical,volatile,mentorship,mentorship,,0.95,False
ST-3051,v1.0,2019-01-30,Y1-S,2.28,0.53,0.26,medium,volatile,course_advising,course_advising,,0.97,False
ST-3038,v1.0,2019-01-30,Y1-S,2.99,0.77,0.78,medium,stable,faculty_notification,,,1.0,False
ST-3077,v1.0,2019-01-30,Y1-S,3.14,0.89,0.55,low,rising,,,,0.98,False
ST-3034,v1.0,2019-01-30,Y1-S,3.12,0.9,0.56,low,stable,,,,0.89,False
ST-3084,v1.0,2019-01-30,Y1-S,2.54,0.81,0.6,medium,stable,financial_review,financial_review,,0.95,False
ST-3013,v1.0,2019-01-30,Y1-S,3.56,0.93,0.57,medium,stable,course_advising,course_advising,,0.97,False
ST-3065,v1.0,2019-01-30,Y1-S,2.6,0.83,0.84,high,declining,tutoring,,,0.93,False
ST-3068,v1.0,2019-01-30,Y1-S,3.24,0.79,0.83,medium,stable,mentorship,mentorship,,0.97,False
ST-3017,v1.0,2019-01-30,Y1-S,2.73,0.93,0.55,low,volatile,,,,0.94,False
SM-2203,v1.0,2019-01-30,Y1-S,2.8,0.79,0.51,low,stable,,,,0.92,False
SJ-2202,v1.0,2019-01-30,Y1-S,2.84,0.79,0.51,high,declining,counseling,,,0.76,False
ST-3018,v2.0,2019-09-09,Y2-F,3.09,0.82,0.74,medium,declining,mentorship,,,0.89,True
NR-2407,v2.0,2019-09-09,Y2-F,2.83,0.75,0.78,high,stable,counseling,counseling,,0.99,False
ST-3037,v2.0,2019-09-09,Y2-F,3.32,0.76,0.76,low,stable,,,,0.99,False
ST-3061,v2.0,2019-09-09,Y2-F,2.89,0.78,0.54,low,declining,,,,0.85,False
ST-3090,v2.0,2019-09-09,Y2-F,2.66,0.8,0.84,low,stable,,,,0.84,False
ST-3100,v2.0,2019-09-09,Y2-F,3.24,0.9,0.75,low,stable,,,,0.96,False
ST-3091,v2.0,2019-09-09,Y2-F,2.98,0.78,0.53,medium,stable,financial_review,,,0.92,False
ST-3097,v2.0,2019-09-09,Y2-F,2.97,0.81,0.75,high,stable,course_advising,course_advising,,0.93,False
ST-3058,v2.0,2019-09-09,Y2-F,3.91,0.72,0.72,low,declining,,,,0.98,False
ST-3079,v2.0,2019-09-09,Y2-F,2.17,0.45,0.41,high,rising,mentorship,mentorship,,0.83,False
JK-3847,v2.0,2019-09-09,Y2-F,2.41,0.73,0.21,medium,stable,counseling,counseling,,0.94,True
ST-3011,v2.0,2019-09-09,Y2-F,2.75,0.83,0.64,medium,rising,mentorship,mentorship,,0.9,False
SM-2203,v2.0,2019-09-09,Y2-F,2.94,0.93,0.54,medium,declining,tutoring,,,0.92,False
ST-3033,v2.0,2019-09-09,Y2-F,2.45,0.57,0.24,critical,stable,course_advising,,,0.84,False
ST-3028,v2.0,2019-09-09,Y2-F,3.19,0.95,0.73,medium,stable,counseling,,,0.82,False
ST-3020,v2.0,2019-09-09,Y2-F,3.17,0.93,0.72,medium,stable,mentorship,,,0.91,False
ST-3071,v2.0,2019-09-09,Y2-F,2.8,0.82,0.63,medium,stable,financial_review,financial_review,,0.95,False
ST-3078,v2.0,2019-09-09,Y2-F,2.84,0.8,0.75,low,stable,,,,0.98,False
ST-3068,v2.0,2019-09-09,Y2-F,2.15,0.44,0.31,low,stable,,,,0.95,False
ST-3055,v2.0,2019-09-09,Y2-F,2.44,0.69,0.39,high,declining,tutoring,tutoring,,0.99,False
ST-3015,v2.0,2019-09-09,Y2-F,2.84,0.73,0.55,low,stable,,,,0.99,True
ST-3098,v2.0,2019-09-09,Y2-F,2.58,0.94,0.81,high,stable,counseling,counseling,,0.93,False
ST-3031,v2.0,2019-09-09,Y2-F,2.5,0.83,0.56,high,rising,counseling,,,0.91,False
ST-3039,v2.0,2019-09-09,Y2-F,1.84,0.41,0.22,high,stable,tutoring,,,0.95,False
ST-3016,v2.0,2019-09-09,Y2-F,2.08,0.57,0.42,medium,volatile,course_advising,course_advising,,0.95,False
ST-3007,v2.0,2019-09-09,Y2-F,2.88,0.81,0.74,low,stable,,,,0.93,True
ST-3083,v2.0,2019-09-09,Y2-F,2.26,0.45,0.5,medium,volatile,counseling,,,0.98,False
ST-3054,v2.0,2019-09-09,Y2-F,3.03,0.84,0.61,low,stable,,,,0.95,False
ST-3059,v2.0,2019-09-09,Y2-F,2.7,0.77,0.63,medium,rising,tutoring,,,0.97,False
ST-3009,v2.0,2019-09-09,Y2-F,3.43,0.75,0.56,critical,stable,counseling,counseling,,0.95,False
ST-3080,v2.0,2019-09-09,Y2-F,3.12,0.81,0.58,medium,rising,counseling,counseling,,0.96,False
ST-3064,v2.0,2019-09-09,Y2-F,3.24,0.82,0.69,high,stable,counseling,,,0.93,False
ST-3088,v2.0,2019-09-09,Y2-F,2.74,0.8,0.7,low,stable,,,,0.93,False
ST-3066,v2.0,2019-09-09,Y2-F,3.23,0.89,0.6,critical,stable,mentorship,mentorship,,0.96,False
ST-3074,v2.0,2019-09-09,Y2-F,3.1,0.95,0.7,low,rising,,,,0.96,False
ST-3019,v2.0,2019-09-09,Y2-F,2.29,0.41,0.21,high,declining,course_advising,course_advising,,0.95,False
ST-3038,v2.0,2019-09-09,Y2-F,2.91,0.93,0.61,low,stable,,,,0.97,False
ST-3086,v2.0,2019-09-09,Y2-F,3.07,0.83,0.68,low,stable,,,,0.92,False
ST-3096,v2.0,2019-09-09,Y2-F,2.61,0.78,0.54,low,stable,,,,1.0,False
ST-3040,v2.0,2019-09-09,Y2-F,3.52,0.86,0.71,low,stable,,,,0.91,False
ST-3023,v2.0,2019-09-09,Y2-F,3.35,0.76,0.52,low,stable,,,,0.98,False
ST-3076,v2.0,2019-09-09,Y2-F,2.54,0.8,0.79,low,stable,,,,0.87,False
ST-3094,v2.0,2019-09-09,Y2-F,2.6,0.81,0.65,low,rising,,,,0.95,False
ST-3027,v2.0,2019-09-09,Y2-F,2.01,0.57,0.5,high,declining,tutoring,tutoring,,1.0,False
ST-3012,v2.0,2019-09-09,Y2-F,3.27,0.79,0.83,low,stable,,,,1.0,False
ST-3043,v2.0,2019-09-09,Y2-F,1.98,0.7,0.44,critical,stable,course_advising,course_advising,,0.97,False
ST-3081,v2.0,2019-09-09,Y2-F,2.71,0.76,0.84,low,stable,,,,0.91,False
ST-3006,v2.0,2019-09-09,Y2-F,2.91,0.78,0.62,high,declining,counseling,counseling,,0.89,False
ST-3034,v2.0,2019-09-09,Y2-F,2.14,0.71,0.34,medium,declining,tutoring,tutoring,,0.96,False
ST-3024,v2.0,2019-09-09,Y2-F,2.51,0.79,0.65,low,stable,,,,0.88,False
ST-3099,v2.0,2019-09-09,Y2-F,2.88,0.93,0.74,low,stable,,,,0.91,False
ST-3052,v2.0,2019-09-09,Y2-F,2.38,0.63,0.39,high,rising,course_advising,course_advising,,0.97,False
ST-3035,v2.0,2019-09-09,Y2-F,1.96,0.45,0.54,critical,rising,course_advising,course_advising,,0.98,False
ST-3087,v2.0,2019-09-09,Y2-F,3.1,0.78,0.73,high,rising,tutoring,tutoring,,0.82,False
ST-3047,v2.0,2019-09-09,Y2-F,2.5,0.93,0.56,high,rising,mentorship,,,0.83,False
ST-3036,v2.0,2019-09-09,Y2-F,2.23,0.73,0.54,critical,declining,mentorship,mentorship,,0.95,False
AB-2201,v2.0,2019-09-09,Y2-F,1.78,0.52,0.36,high,stable,tutoring,,,0.9,False
ST-3025,v2.0,2019-09-09,Y2-F,2.38,0.44,0.26,high,stable,tutoring,tutoring,,0.99,True
ST-3067,v2.0,2019-09-09,Y2-F,2.48,0.64,0.27,high,stable,course_advising,,,0.95,False
ST-3082,v2.0,2019-09-09,Y2-F,2.49,0.63,0.26,medium,stable,tutoring,tutoring,,1.0,False
ST-3073,v2.0,2019-09-09,Y2-F,2.3,0.49,0.32,high,stable,counseling,counseling,,0.94,False
ST-3051,v2.0,2019-09-09,Y2-F,2.64,0.73,0.61,low,stable,,,,0.97,False
ST-3017,v2.0,2019-09-09,Y2-F,3.32,0.78,0.54,high,stable,tutoring,tutoring,,0.93,False
ST-3044,v2.0,2019-09-09,Y2-F,2.89,0.89,0.71,low,stable,,,,0.97,False
ST-3060,v2.0,2019-09-09,Y2-F,2.09,0.63,0.28,medium,declining,mentorship,mentorship,,0.98,False
ST-3050,v2.0,2019-09-09,Y2-F,2.23,0.72,0.24,critical,volatile,tutoring,tutoring,,0.99,False
ST-3045,v2.0,2019-09-09,Y2-F,2.96,0.83,0.54,low,stable,,,,0.94,False
ST-3072,v2.0,2019-09-09,Y2-F,3.2,0.9,0.66,medium,stable,mentorship,mentorship,,0.95,False
ST-3075,v2.0,2019-09-09,Y2-F,2.5,0.71,0.59,low,rising,,,,0.94,False
ST-3093,v2.0,2019-09-09,Y2-F,3.17,0.88,0.69,low,declining,,,,0.96,False
ST-3065,v2.0,2019-09-09,Y2-F,3.26,0.77,0.56,low,stable,,,,0.99,False
ST-3077,v2.0,2019-09-09,Y2-F,2.53,0.79,0.81,low,volatile,,,,0.81,False
ST-3042,v2.0,2019-09-09,Y2-F,2.55,0.94,0.81,low,declining,,,,0.98,False
ST-3089,v2.0,2019-09-09,Y2-F,3.85,0.8,0.54,critical,declining,mentorship,,,0.96,False
ST-3048,v2.0,2019-09-09,Y2-F,1.92,0.55,0.33,medium,stable,tutoring,tutoring,,0.97,False
ST-3092,v2.0,2019-09-09,Y2-F,3.44,0.73,0.78,low,declining,,,,0.95,False
ST-3056,v2.0,2019-09-09,Y2-F,2.77,0.75,0.54,low,stable,,,,0.99,False
ST-3095,v2.0,2019-09-09,Y2-F,2.65,0.89,0.64,low,rising,,,,0.98,False
ST-3057,v2.0,2019-09-09,Y2-F,2.81,0.83,0.6,high,declining,counseling,counseling,,0.98,False
ST-3021,v2.0,2019-09-09,Y2-F,2.83,0.76,0.81,critical,stable,course_advising,course_advising,,0.86,False
SJ-2202,v2.0,2019-09-09,Y2-F,3.83,0.92,0.82,medium,stable,course_advising,course_advising,,0.96,False
ST-3045,v2.0,2020-01-29,Y2-S,3.85,0.82,0.79,high,stable,course_advising,course_advising,,0.96,False
ST-3083,v2.0,2020-01-29,Y2-S,3.24,0.7,0.69,medium,declining,counseling,counseling,,0.91,False
ST-3086,v2.0,2020-01-29,Y2-S,2.46,0.69,0.37,high,stable,counseling,,,0.93,False
ST-3049,v2.0,2020-01-29,Y2-S,1.9,0.66,0.36,high,stable,tutoring,,,0.99,False
ST-3068,v2.0,2020-01-29,Y2-S,1.59,0.59,0.42,low,rising,,,,0.99,False
ST-3041,v2.0,2020-01-29,Y2-S,3.39,0.87,0.77,low,declining,,,,0.85,False
ST-3090,v2.0,2020-01-29,Y2-S,2.79,0.7,0.68,low,stable,,,,0.88,False
ST-3054,v2.0,2020-01-29,Y2-S,2.35,0.57,0.37,low,stable,,,,0.91,False
ST-3053,v2.0,2020-01-29,Y2-S,3.31,0.77,0.84,low,declining,,,,0.99,False
ST-3020,v2.0,2020-01-29,Y2-S,2.28,0.72,0.24,low,rising,,,,0.88,False
