anomaly_id,student_id,anomaly_type,detection_date,severity,resolution,notes,jackson_related
ANM-0003,JK-3847,convergence_failure,2020-11-12,high,unresolved,Forty consecutive runs failed to converge,True
ANM-0004,JK-3847,prediction_swing,2021-01-28,high,unresolved,Retention probability: 0.12 to 0.94 in same session,True
ANM-0015,ST-3018,convergence_failure,2021-01-29,low,unresolved,Model confidence below threshold,False
ANM-0025,SJ-2202,convergence_failure,2021-02-09,low,monitoring_increased,Unusual pattern detected,False
ANM-0005,JK-3847,behavior_discontinuity,2021-02-15,medium,monitoring_increased,Library usage spike inconsistent with profile,True
ANM-0051,ST-3016,convergence_failure,2021-02-15,low,monitoring_increased,Model confidence below threshold,False
ANM-0050,ST-3016,prediction_swing,2021-03-06,high,unresolved,Feature correlation anomaly,False
ANM-0031,ST-3008,prediction_swing,2021-03-08,high,resolved,Model confidence below threshold,False
ANM-0013,ST-3007,prediction_swing,2021-03-09,medium,unresolved,,False
ANM-0028,ST-3006,model_timeout,2021-03-14,medium,monitoring_increased,Minor prediction instability,False
ANM-0043,ST-3013,convergence_failure,2021-03-15,low,unresolved,,False
ANM-0048,ST-3015,convergence_failure,2021-03-17,low,monitoring_increased,Model confidence below threshold,False
ANM-0006,JK-3847,convergence_failure,2021-03-20,critical,monitoring_increased,Model timeout on 8 of 10 prediction attempts,True
ANM-0014,ST-3015,prediction_swing,2021-03-29,high,resolved,Feature correlation anomaly,False
ANM-0007,JK-3847,prediction_swing,2021-04-10,critical,unresolved,All trajectory classifications equally probable,True
ANM-0049,ST-3015,convergence_failure,2021-04-10,low,unresolved,Feature correlation anomaly,False
ANM-0056,ST-3018,model_timeout,2021-04-10,low,resolved,Minor prediction instability,False
ANM-0008,JK-3847,convergence_failure,2021-08-30,critical,unresolved,No stable prediction possible,True
ANM-0009,JK-3847,behavior_discontinuity,2021-09-08,high,unresolved,Perfect attendance anomalous for this student,True
ANM-0010,JK-3847,model_timeout,2021-09-20,critical,unresolved,Model failed to generate any output,True
ANM-0011,JK-3847,behavior_discontinuity,2021-09-28,critical,unresolved,Early assignment completion unprecedented,True
ANM-0017,ST-3018,convergence_failure,2021-10-04,medium,unresolved,Model confidence below threshold,False
ANM-0021,SM-2203,prediction_swing,2021-10-04,low,unresolved,Model confidence below threshold,False
ANM-0012,JK-3847,convergence_failure,2021-10-05,critical,unresolved,Final prediction attempt before disappearance,True
ANM-0064,ST-3021,behavior_discontinuity,2021-10-19,high,monitoring_increased,Model confidence below threshold,False
ANM-0052,ST-3016,convergence_failure,2021-10-20,high,monitoring_increased,,False
ANM-0018,ST-3025,convergence_failure,2021-10-24,low,monitoring_increased,Model confidence below threshold,False
ANM-0059,ST-3019,model_timeout,2021-10-24,medium,unresolved,Model confidence below threshold,False
ANM-0041,ST-3012,behavior_discontinuity,2021-11-03,medium,resolved,Feature correlation anomaly,False
ANM-0054,ST-3017,prediction_swing,2021-11-06,low,monitoring_increased,Feature correlation anomaly,False
ANM-0055,ST-3017,convergence_failure,2021-11-09,high,unresolved,Model confidence below threshold,False
ANM-0023,SJ-2202,convergence_failure,2021-11-14,high,unresolved,Behavioral change following JK-3847 departure,True
ANM-0068,ST-3022,convergence_failure,2021-11-15,medium,resolved,Minor prediction instability,False
