worker_id,worker_region,documentation_silence,reform_survival,responsibility,instructor_morin,instability_causes,supplement_itself,distribution_scope,primary_cluster,confidence_level,position_change_count
young_worker_3,northern_regional,silence,reform,system,understanding,observation,supplement_risk,need_based,silence_advocates,low,3
young_worker_4,mountain_province,middle_ground,reform,everyone,criticism,unknown,supplement_dangerous,wide,reform_faction,low,5
young_worker_5,border_services,documentation,reform,bureau,praise,proximity_spatial,supplement_incomplete,wide,reform_faction,low,1
mixed_1,densmok,documentation,survival,system,understanding,unknown,supplement_helps,careful,survival_faction,medium,2
mixed_2,eastern_regional,silence,parallel,system,understanding,observation,supplement_helps,careful,survival_faction,medium,3
mixed_3,northern_regional,middle_ground,survival,conditions,understanding,observation,supplement_risk,careful,silence_advocates,medium,1
mixed_4,mountain_province,documentation,survival,system,praise,pragmatic,supplement_helps,need_based,documentation_advocates,medium,2
mixed_5,border_services,middle_ground,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,medium,1
philosophical_1,densmok,middle_ground,parallel,everyone,understanding,unknown,supplement_incomplete,careful,survival_faction,high,1
philosophical_2,eastern_regional,documentation,parallel,everyone,understanding,unknown,supplement_incomplete,wide,documentation_advocates,high,0
pragmatist_1,northern_regional,silence,survival,pragmatic,understanding,pragmatic,supplement_helps,careful,silence_advocates,high,0
pragmatist_2,eastern_regional,documentation,survival,system,understanding,pragmatic,supplement_helps,careful,documentation_advocates,high,1
pragmatist_3,densmok,middle_ground,survival,pragmatic,understanding,pragmatic,supplement_helps,careful,survival_faction,high,0
methodological_1,capital_trained,documentation,survival,system,understanding,unknown,supplement_incomplete,careful,documentation_advocates,high,0
methodological_2,eastern_regional,documentation,parallel,unknown,understanding,unknown,supplement_incomplete,wide,documentation_advocates,high,0
security_1,northern_regional,silence,survival,system,understanding,observation,supplement_risk,careful,silence_advocates,high,0
security_2,mountain_province,silence,survival,system,understanding,unknown,supplement_risk,careful,silence_advocates,high,0
growth_advocate_1,densmok,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,high,0
growth_advocate_2,eastern_regional,documentation,reform,bureau,praise,proximity_spatial,supplement_incomplete,wide,reform_faction,high,0
regional_1,western_regional,documentation,survival,system,understanding,proximity_spatial,supplement_helps,need_based,survival_faction,medium,1
regional_2,western_regional,middle_ground,survival,conditions,understanding,unknown,supplement_helps,careful,survival_faction,medium,0
western_edge_1,western_regional,middle_ground,survival,conditions,understanding,conditions,supplement_helps,careful,survival_faction,medium,0
western_edge_2,western_regional,documentation,reform,conditions,understanding,conditions,supplement_incomplete,wide,reform_faction,medium,1
network_hub_1,densmok,documentation,parallel,system,understanding,unknown,supplement_incomplete,wide,documentation_advocates,high,0
network_hub_2,eastern_regional,documentation,parallel,system,understanding,proximity_spatial,supplement_incomplete,wide,documentation_advocates,high,0
isolate_1,mountain_province,silence,survival,unknown,unknown,unknown,supplement_risk,careful,silence_advocates,low,0
isolate_2,northern_regional,silence,survival,conditions,understanding,observation,supplement_risk,careful,silence_advocates,low,0
newcomer_1,densmok,middle_ground,unknown,unknown,unknown,unknown,supplement_helps,careful,unassigned,low,0
newcomer_2,eastern_regional,documentation,reform,bureau,praise,unknown,supplement_helps,wide,reform_faction,low,0
newcomer_3,northern_regional,silence,survival,unknown,unknown,unknown,supplement_risk,careful,silence_advocates,low,0
terminated_1,formerly_eastern,documentation,reform,bureau,criticism,proximity_spatial,supplement_incomplete,wide,reform_faction,high,1
terminated_2,formerly_northern,silence,survival,system,understanding,observation,supplement_risk,careful,silence_advocates,high,0
terminated_3,formerly_western,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,medium,2
long_chain_1,eastern_regional,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,low,0
long_chain_2,northern_regional,silence,survival,conditions,understanding,observation,supplement_risk,careful,silence_advocates,low,0
long_chain_3,mountain_province,middle_ground,survival,unknown,understanding,unknown,supplement_helps,careful,survival_faction,low,1
long_chain_4,border_services,documentation,reform,bureau,praise,unknown,supplement_helps,wide,reform_faction,low,0
cross_cluster_1,densmok,documentation,survival,system,understanding,unknown,supplement_incomplete,careful,documentation_advocates,medium,2
cross_cluster_2,eastern_regional,silence,parallel,system,understanding,observation,supplement_helps,careful,silence_advocates,medium,3
cross_cluster_3,northern_regional,documentation,survival,system,understanding,proximity_spatial,supplement_helps,careful,documentation_advocates,medium,2
