journey_id,step_index,traveler_id,traveler_type,origin_place_id,destination_place_id,origin_borough,destination_borough,step_distance_km,step_physical_risk,step_symbolic_risk,mode,day_offset,timestamp_iso,encounter_creature,encounter_symbolic_event
4,3,trav_0004,teen,CAPIT_SENATE_SQUAR,DENSM_DENSMOK_STRI,Capital,Densmok,20.47,3.0,5.0,bus,12,2038-10-26T14:00:00,False,False
5,0,trav_0005,teen,CAPEA_MIRADO_STICK,DENSM_SMOKELINE_IN,Capeast,Densmok,16.67,4.0,4.0,bus,3,2032-12-22T06:00:00,False,False
5,1,trav_0005,teen,DENSM_SMOKELINE_IN,YELLE_OLD_ROPE_BRI,Densmok,Yeller,15.04,6.5,5.0,car,8,2032-12-27T12:00:00,True,False
6,0,trav_0006,trader,CAPIT_KACHOT_CARDH,YELLE_BONE_HUSK_MA,Capital,Yeller,17.06,5.0,5.5,truck,1,2032-07-07T01:00:00,True,False
6,1,trav_0006,trader,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_E,Yeller,Deadriver,22.89,6.0,7.5,cart,5,2032-07-11T02:00:00,True,True
6,2,trav_0006,trader,DEADR_DEAD_RIVER_E,MIRAD_TOWER_LEVEL_,Deadriver,Mirado,21.17,6.0,9.5,cart,9,2032-07-15T02:00:00,False,True
6,3,trav_0006,trader,MIRAD_TOWER_LEVEL_,CAPIT_CITY_WALL_EA,Mirado,Capital,15.83,4.5,8.0,cart,12,2032-07-18T09:00:00,False,True
7,0,trav_0007,senator,CAPIT_SENATE_SQUAR,MIRAD_MIRADO_GATE_,Capital,Mirado,17.45,3.5,8.0,motorcade,0,2038-01-24T07:00:00,False,True
7,1,trav_0007,senator,MIRAD_MIRADO_GATE_,DEADR_FERRYMANS_DO,Mirado,Deadriver,19.53,4.5,9.0,motorcade,4,2038-01-28T09:00:00,True,True
7,2,trav_0007,senator,DEADR_FERRYMANS_DO,YELLE_BONE_HUSK_MA,Deadriver,Yeller,19.59,5.5,7.5,motorcade,5,2038-01-29T10:00:00,True,True
7,3,trav_0007,senator,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_W,Yeller,Deadriver,20.55,6.0,7.5,motorcade,10,2038-02-03T13:00:00,True,True
7,4,trav_0007,senator,DEADR_DEAD_RIVER_W,YELLE_FLOODED_SINK,Deadriver,Yeller,18.44,7.5,8.5,motorcade,14,2038-02-07T16:00:00,True,True
8,0,trav_0008,novice,NORTH_HOUSE_OF_STO,CAPIT_OUTER_ARCHIV,Northo,Capital,18.06,2.5,7.0,pilgrim_bus,1,2035-02-09T07:00:00,False,True
8,1,trav_0008,novice,CAPIT_OUTER_ARCHIV,CAPEA_DEAD_RIVER_O,Capital,Capeast,20.73,2.5,6.0,on_foot,6,2035-02-14T15:00:00,False,False
8,2,trav_0008,novice,CAPEA_DEAD_RIVER_O,DEADR_DEAD_RIVER_E,Capeast,Deadriver,21.35,4.5,7.5,on_foot,10,2035-02-18T19:00:00,False,True
8,3,trav_0008,novice,DEADR_DEAD_RIVER_E,MIRAD_TOWER_LEVEL_,Deadriver,Mirado,24.33,6.0,9.5,on_foot,11,2035-02-19T23:00:00,True,True
8,4,trav_0008,novice,MIRAD_TOWER_LEVEL_,CAPIT_CAPITAL_TRAI,Mirado,Capital,22.17,5.0,7.0,pilgrim_bus,13,2035-02-21T03:00:00,False,True
8,5,trav_0008,novice,CAPIT_CAPITAL_TRAI,NORTH_NORTH_RIDGE_,Capital,Northo,20.65,4.0,6.5,on_foot,18,2035-02-26T08:00:00,False,True
9,0,trav_0009,archivist,CAPIT_SENATE_SQUAR,NORTH_COLLAPSED_CH,Capital,Northo,20.08,4.0,7.5,bus,3,2030-06-22T02:00:00,False,True
9,1,trav_0009,archivist,NORTH_COLLAPSED_CH,MIRAD_TOWER_LEVEL_,Northo,Mirado,17.39,5.5,9.0,bus,3,2030-06-22T07:00:00,False,True
9,2,trav_0009,archivist,MIRAD_TOWER_LEVEL_,DEADR_BROKEN_DEADR,Mirado,Deadriver,21.5,6.5,9.5,truck,8,2030-06-27T08:00:00,False,True
9,3,trav_0009,archivist,DEADR_BROKEN_DEADR,CAPIT_CITY_WALL_QU,Deadriver,Capital,23.73,5.5,7.5,bus,11,2030-06-30T10:00:00,False,True
9,4,trav_0009,archivist,CAPIT_CITY_WALL_QU,YELLE_YELLER_QUARR,Capital,Yeller,23.51,6.5,6.5,bus,12,2030-07-01T16:00:00,True,False
9,5,trav_0009,archivist,YELLE_YELLER_QUARR,CAPIT_OUTER_ARCHIV,Yeller,Capital,15.97,5.5,6.5,truck,14,2030-07-03T22:00:00,True,False
9,6,trav_0009,archivist,CAPIT_OUTER_ARCHIV,DENSM_DENSMOK_HILL,Capital,Densmok,23.5,3.0,4.5,bus,16,2030-07-05T02:00:00,False,False
9,7,trav_0009,archivist,DENSM_DENSMOK_HILL,YELLE_TRAP_FIELDS_,Densmok,Yeller,22.66,5.5,4.0,bus,16,2030-07-05T08:00:00,True,False
9,8,trav_0009,archivist,YELLE_TRAP_FIELDS_,CAPIT_CITY_WALL_QU,Yeller,Capital,23.44,5.5,5.5,car,17,2030-07-06T11:00:00,True,False
10,0,trav_0010,trader,YELLE_QUARRY_RIM_S,DEADR_DEADRIVER_SH,Yeller,Deadriver,20.56,6.0,6.0,truck,2,2034-01-06T05:00:00,True,True
10,1,trav_0010,trader,DEADR_DEADRIVER_SH,DEADR_FERRYMANS_DO,Deadriver,Deadriver,7.67,5.0,8.5,cart,6,2034-01-10T06:00:00,False,True
10,2,trav_0010,trader,DEADR_FERRYMANS_DO,CAPIT_CENTRAL_ARCH,Deadriver,Capital,16.8,3.5,8.5,cart,11,2034-01-15T12:00:00,True,True
10,3,trav_0010,trader,CAPIT_CENTRAL_ARCH,DEADR_DEAD_RIVER_W,Capital,Deadriver,18.01,4.0,8.5,cart,11,2034-01-15T17:00:00,False,True
10,4,trav_0010,trader,DEADR_DEAD_RIVER_W,MIRAD_TOWER_LEVEL_,Deadriver,Mirado,21.92,6.0,9.5,truck,14,2034-01-18T01:00:00,False,True
10,5,trav_0010,trader,MIRAD_TOWER_LEVEL_,DEADR_DEAD_RIVER_E,Mirado,Deadriver,17.59,6.0,9.5,cart,19,2034-01-23T05:00:00,False,True
10,6,trav_0010,trader,DEADR_DEAD_RIVER_E,YELLE_FLOODED_SINK,Deadriver,Yeller,18.62,7.5,8.5,truck,22,2034-01-26T07:00:00,True,True
11,0,trav_0011,trader,DENSM_DENSMOK_BUS_,CAPIT_SENATE_SQUAR,Densmok,Capital,15.62,3.0,5.0,truck,0,2034-04-26T03:00:00,False,False
11,1,trav_0011,trader,CAPIT_SENATE_SQUAR,NORTH_HOUSE_OF_STO,Capital,Northo,20.72,3.0,7.5,truck,0,2034-04-26T10:00:00,False,True
11,2,trav_0011,trader,NORTH_HOUSE_OF_STO,CAPIT_CAPITAL_TRAI,Northo,Capital,23.75,3.5,6.0,truck,4,2034-04-30T13:00:00,False,True
11,3,trav_0011,trader,CAPIT_CAPITAL_TRAI,CAPIT_CITY_WALL_QU,Capital,Capital,6.44,4.0,5.0,tram,5,2034-05-01T15:00:00,False,False
11,4,trav_0011,trader,CAPIT_CITY_WALL_QU,CAPIT_DEADRIVER_FE,Capital,Capital,10.82,3.5,6.5,tram,5,2034-05-01T21:00:00,False,False
11,5,trav_0011,trader,CAPIT_DEADRIVER_FE,MIRAD_TOWER_LEVEL_,Capital,Mirado,15.93,4.5,8.5,truck,11,2034-05-07T05:00:00,False,True
11,6,trav_0011,trader,MIRAD_TOWER_LEVEL_,CAPIT_OUTER_ARCHIV,Mirado,Capital,14.55,4.0,8.0,truck,12,2034-05-08T06:00:00,False,True
11,7,trav_0011,trader,CAPIT_OUTER_ARCHIV,CAPIT_KACHOT_CARDH,Capital,Capital,2.47,3.0,5.5,on_foot,15,2034-05-11T14:00:00,False,False
12,0,trav_0012,mapmaker,CAPIT_KACHOT_CARDH,MIRAD_TOWER_LEVEL_,Capital,Mirado,17.64,5.0,7.5,on_foot,3,2031-07-17T06:00:00,False,True
12,1,trav_0012,mapmaker,MIRAD_TOWER_LEVEL_,NORTH_PILGRIM_WAY_,Mirado,Northo,16.28,4.0,8.5,on_foot,6,2031-07-20T12:00:00,False,True
12,2,trav_0012,mapmaker,NORTH_PILGRIM_WAY_,MIRAD_TOWER_LEVEL_,Northo,Mirado,23.42,4.0,8.5,unknown,10,2031-07-24T18:00:00,False,True
12,3,trav_0012,mapmaker,MIRAD_TOWER_LEVEL_,NORTH_HOUSE_OF_STO,Mirado,Northo,14.06,4.5,9.0,unknown,12,2031-07-26T22:00:00,False,True
12,4,trav_0012,mapmaker,NORTH_HOUSE_OF_STO,MIRAD_MIRADO_GATE_,Northo,Mirado,23.39,3.5,8.5,on_foot,16,2031-07-30T06:00:00,False,True
12,5,trav_0012,mapmaker,MIRAD_MIRADO_GATE_,DEADR_DEAD_RIVER_E,Mirado,Deadriver,19.37,5.0,9.0,unknown,18,2031-08-01T12:00:00,False,True
12,6,trav_0012,mapmaker,DEADR_DEAD_RIVER_E,MIRAD_MIRADO_GATE_,Deadriver,Mirado,17.7,5.0,9.0,unknown,23,2031-08-06T18:00:00,False,True
12,7,trav_0012,mapmaker,MIRAD_MIRADO_GATE_,DEADR_BROKEN_DEADR,Mirado,Deadriver,24.11,5.5,9.0,unknown,28,2031-08-11T02:00:00,True,True
12,8,trav_0012,mapmaker,DEADR_BROKEN_DEADR,CAPIT_SENATE_SQUAR,Deadriver,Capital,20.51,5.0,8.0,unknown,33,2031-08-16T02:00:00,True,True
12,9,trav_0012,mapmaker,CAPIT_SENATE_SQUAR,DEADR_DEAD_RIVER_E,Capital,Deadriver,15.49,4.5,8.0,unknown,36,2031-08-19T04:00:00,True,True
13,0,trav_0013,trader,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_W,Yeller,Deadriver,15.26,6.0,7.5,truck,1,2032-08-23T07:00:00,True,True
13,1,trav_0013,trader,DEADR_DEAD_RIVER_W,DEADR_DEAD_RIVER_W,Deadriver,Deadriver,9.44,6.0,9.0,cart,2,2032-08-24T08:00:00,False,True
13,2,trav_0013,trader,DEADR_DEAD_RIVER_W,CAPIT_CENTRAL_ARCH,Deadriver,Capital,24.61,4.0,8.5,truck,2,2032-08-24T08:00:00,False,True
13,3,trav_0013,trader,CAPIT_CENTRAL_ARCH,CAPIT_KACHOT_CARDH,Capital,Capital,5.36,3.0,6.5,tram,7,2032-08-29T11:00:00,False,False
13,4,trav_0013,trader,CAPIT_KACHOT_CARDH,YELLE_BONE_HUSK_MA,Capital,Yeller,20.51,5.0,5.5,cart,12,2032-09-03T14:00:00,True,False
13,5,trav_0013,trader,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_W,Yeller,Deadriver,21.67,6.0,7.5,cart,14,2032-09-05T15:00:00,True,True
13,6,trav_0013,trader,DEADR_DEAD_RIVER_W,YELLE_FLOODED_SINK,Deadriver,Yeller,17.82,7.5,8.5,cart,17,2032-09-08T20:00:00,True,True
13,7,trav_0013,trader,YELLE_FLOODED_SINK,YELLE_TRAP_FIELDS_,Yeller,Yeller,6.57,8.0,6.5,cart,19,2032-09-10T20:00:00,True,False
13,8,trav_0013,trader,YELLE_TRAP_FIELDS_,DEADR_DEAD_RIVER_E,Yeller,Deadriver,23.05,6.5,7.0,truck,20,2032-09-11T02:00:00,True,True
14,0,trav_0014,novice,NORTH_NORTHO_MARKE,MIRAD_TOWER_LEVEL_,Northo,Mirado,17.74,4.5,8.5,on_foot,4,2033-06-30T04:00:00,False,True
14,1,trav_0014,novice,MIRAD_TOWER_LEVEL_,NORTH_HOUSE_OF_THE,Mirado,Northo,19.68,4.5,9.5,on_foot,5,2033-07-01T05:00:00,False,True
14,2,trav_0014,novice,NORTH_HOUSE_OF_THE,MIRAD_TOWER_LEVEL_,Northo,Mirado,21.92,4.5,9.5,on_foot,8,2033-07-04T13:00:00,False,True
14,3,trav_0014,novice,MIRAD_TOWER_LEVEL_,CAPIT_INNER_TENEME,Mirado,Capital,21.6,5.5,7.0,pilgrim_bus,13,2033-07-09T20:00:00,False,True
14,4,trav_0014,novice,CAPIT_INNER_TENEME,NORTH_NORTH_RIDGE_,Capital,Northo,22.72,4.5,6.5,on_foot,14,2033-07-10T00:00:00,False,True
14,5,trav_0014,novice,NORTH_NORTH_RIDGE_,MIRAD_TOWER_LEVEL_,Northo,Mirado,18.45,5.0,9.5,pilgrim_bus,15,2033-07-11T04:00:00,False,True
15,0,trav_0015,novice,NORTH_COLLAPSED_CH,MIRAD_TOWER_LEVEL_,Northo,Mirado,14.16,5.5,9.0,pilgrim_bus,4,2035-03-14T02:00:00,False,True
15,1,trav_0015,novice,MIRAD_TOWER_LEVEL_,NORTH_NORTHO_GATEH,Mirado,Northo,14.5,4.5,8.5,pilgrim_bus,4,2035-03-14T10:00:00,False,True
15,2,trav_0015,novice,NORTH_NORTHO_GATEH,CAPIT_OUTER_ARCHIV,Northo,Capital,21.67,2.5,6.5,on_foot,5,2035-03-15T17:00:00,False,True
15,3,trav_0015,novice,CAPIT_OUTER_ARCHIV,NORTH_TRIAL_FIELD_,Capital,Northo,23.6,3.0,7.0,pilgrim_bus,9,2035-03-19T21:00:00,False,True
15,4,trav_0015,novice,NORTH_TRIAL_FIELD_,CAPIT_CAPITAL_TRAI,Northo,Capital,19.27,4.0,6.0,on_foot,11,2035-03-21T23:00:00,False,True
15,5,trav_0015,novice,CAPIT_CAPITAL_TRAI,NORTH_TRIAL_FIELD_,Capital,Northo,16.78,4.0,6.0,on_foot,15,2035-03-25T00:00:00,False,True
16,0,trav_0016,trader,CAPIT_PAPER_BINDER,MIRAD_TOWER_LEVEL_,Capital,Mirado,23.99,4.0,7.5,truck,2,2038-07-17T06:00:00,False,True
16,1,trav_0016,trader,MIRAD_TOWER_LEVEL_,CAPIT_DEADRIVER_FE,Mirado,Capital,20.25,4.5,8.5,cart,2,2038-07-17T07:00:00,False,True
16,2,trav_0016,trader,CAPIT_DEADRIVER_FE,DEADR_DEADRIVER_SH,Capital,Deadriver,20.88,4.0,7.5,cart,4,2038-07-19T08:00:00,True,True
16,3,trav_0016,trader,DEADR_DEADRIVER_SH,DEADR_DEAD_RIVER_E,Deadriver,Deadriver,7.07,5.5,8.5,truck,5,2038-07-20T08:00:00,False,True
17,0,trav_0017,trader,YELLE_BONE_HUSK_MA,YELLE_QUARRY_RIM_S,Yeller,Yeller,4.38,6.5,5.0,cart,5,2030-03-31T04:00:00,True,False
17,1,trav_0017,trader,YELLE_QUARRY_RIM_S,DEADR_DEAD_RIVER_W,Yeller,Deadriver,15.37,6.5,6.5,truck,10,2030-04-05T08:00:00,True,True
17,2,trav_0017,trader,DEADR_DEAD_RIVER_W,CAPEA_DEAD_RIVER_O,Deadriver,Capeast,24.37,4.5,7.5,cart,14,2030-04-09T16:00:00,False,True
17,3,trav_0017,trader,CAPEA_DEAD_RIVER_O,MIRAD_MIRADO_GATE_,Capeast,Mirado,20.58,3.5,7.5,truck,17,2030-04-12T21:00:00,False,True
17,4,trav_0017,trader,MIRAD_MIRADO_GATE_,DEADR_DEAD_RIVER_E,Mirado,Deadriver,14.28,5.0,9.0,truck,18,2030-04-13T21:00:00,False,True
17,5,trav_0017,trader,DEADR_DEAD_RIVER_E,YELLE_STALL_TOWN_W,Deadriver,Yeller,20.34,5.5,7.0,truck,20,2030-04-15T04:00:00,True,True
17,6,trav_0017,trader,YELLE_STALL_TOWN_W,DEADR_DEAD_RIVER_E,Yeller,Deadriver,24.08,5.5,7.0,truck,21,2030-04-16T10:00:00,True,True
17,7,trav_0017,trader,DEADR_DEAD_RIVER_E,DEADR_DEAD_RIVER_W,Deadriver,Deadriver,11.66,6.0,9.0,truck,24,2030-04-19T15:00:00,False,True
18,0,trav_0018,archivist,CAPIT_INNER_TENEME,NORTH_HOUSE_OF_STO,Capital,Northo,20.85,4.0,6.0,bus,3,2036-01-10T07:00:00,False,True
18,1,trav_0018,archivist,NORTH_HOUSE_OF_STO,MIRAD_MIRADO_CAMPG,Northo,Mirado,16.24,3.0,7.5,car,7,2036-01-14T09:00:00,False,True
18,2,trav_0018,archivist,MIRAD_MIRADO_CAMPG,NORTH_NORTHO_MARKE,Mirado,Northo,18.82,3.0,7.0,bus,12,2036-01-19T16:00:00,False,True
18,3,trav_0018,archivist,NORTH_NORTHO_MARKE,CAPIT_CITY_WALL_QU,Northo,Capital,14.32,3.5,6.5,truck,17,2036-01-24T19:00:00,False,True
18,4,trav_0018,archivist,CAPIT_CITY_WALL_QU,MIRAD_MIRADO_CAMPG,Capital,Mirado,15.74,3.5,6.5,truck,21,2036-01-28T19:00:00,False,True
18,5,trav_0018,archivist,MIRAD_MIRADO_CAMPG,CAPIT_CENTRAL_ARCH,Mirado,Capital,18.49,2.5,7.5,car,22,2036-01-29T20:00:00,False,True
18,6,trav_0018,archivist,CAPIT_CENTRAL_ARCH,CAPEA_DEAD_RIVER_O,Capital,Capeast,24.42,2.5,7.0,car,27,2036-02-03T22:00:00,False,False
18,7,trav_0018,archivist,CAPEA_DEAD_RIVER_O,MIRAD_TOWER_LEVEL_,Capeast,Mirado,24.26,4.5,8.0,truck,30,2036-02-06T06:00:00,False,True
19,0,trav_0019,trader,YELLE_STALL_TOWN_B,CAPIT_CITY_WALL_QU,Yeller,Capital,20.07,5.0,5.5,truck,4,2037-06-15T06:00:00,True,False
19,1,trav_0019,trader,CAPIT_CITY_WALL_QU,DEADR_FERRYMANS_DO,Capital,Deadriver,24.26,4.5,7.5,cart,5,2037-06-16T09:00:00,False,True
19,2,trav_0019,trader,DEADR_FERRYMANS_DO,CAPIT_CENTRAL_ARCH,Deadriver,Capital,23.42,3.5,8.5,truck,8,2037-06-19T09:00:00,False,True
19,3,trav_0019,trader,CAPIT_CENTRAL_ARCH,CAPEA_DUSTY_SOCCER,Capital,Capeast,21.76,2.5,5.5,cart,11,2037-06-22T15:00:00,False,False
19,4,trav_0019,trader,CAPEA_DUSTY_SOCCER,DEADR_FERRYMANS_DO,Capeast,Deadriver,19.45,4.0,6.0,truck,11,2037-06-22T17:00:00,False,True
19,5,trav_0019,trader,DEADR_FERRYMANS_DO,CAPIT_DEADRIVER_FE,Deadriver,Capital,23.57,4.0,8.0,truck,14,2037-06-25T18:00:00,False,True
19,6,trav_0019,trader,CAPIT_DEADRIVER_FE,DEADR_DEADRIVER_SH,Capital,Deadriver,14.17,4.0,7.5,cart,16,2037-06-27T00:00:00,False,True
19,7,trav_0019,trader,DEADR_DEADRIVER_SH,DEADR_BROKEN_DEADR,Deadriver,Deadriver,1.82,6.0,8.5,truck,18,2037-06-29T05:00:00,False,True
19,8,trav_0019,trader,DEADR_BROKEN_DEADR,DEADR_DEAD_RIVER_E,Deadriver,Deadriver,8.15,6.5,9.0,truck,20,2037-07-01T13:00:00,False,True
19,9,trav_0019,trader,DEADR_DEAD_RIVER_E,DEADR_BROKEN_DEADR,Deadriver,Deadriver,7.89,6.5,9.0,cart,23,2037-07-04T21:00:00,True,True
19,10,trav_0019,trader,DEADR_BROKEN_DEADR,YELLE_OLD_ROPE_BRI,Deadriver,Yeller,16.58,7.5,8.0,cart,29,2037-07-10T01:00:00,True,True
20,0,trav_0020,archivist,CAPIT_INNER_TENEME,DENSM_DENSMOK_STRI,Capital,Densmok,20.7,4.0,3.5,car,3,2032-03-06T03:00:00,False,False
20,1,trav_0020,archivist,DENSM_DENSMOK_STRI,YELLE_QUARRY_RIM_S,Densmok,Yeller,24.04,5.0,3.5,car,4,2032-03-07T06:00:00,True,False
20,2,trav_0020,archivist,YELLE_QUARRY_RIM_S,CAPIT_SENATE_SQUAR,Yeller,Capital,21.02,5.0,5.5,truck,7,2032-03-10T10:00:00,True,False
20,3,trav_0020,archivist,CAPIT_SENATE_SQUAR,YELLE_BONE_HUSK_MA,Capital,Yeller,14.1,4.5,6.5,truck,10,2032-03-13T14:00:00,True,False
20,4,trav_0020,archivist,YELLE_BONE_HUSK_MA,YELLE_OLD_ROPE_BRI,Yeller,Yeller,7.01,7.0,6.5,cart,10,2032-03-13T21:00:00,True,False
20,5,trav_0020,archivist,YELLE_OLD_ROPE_BRI,CAPIT_PAPER_BINDER,Yeller,Capital,24.86,5.0,6.0,truck,13,2032-03-16T03:00:00,True,False
20,6,trav_0020,archivist,CAPIT_PAPER_BINDER,YELLE_FLOODED_SINK,Capital,Yeller,16.75,5.5,6.5,car,15,2032-03-18T06:00:00,True,False
20,7,trav_0020,archivist,YELLE_FLOODED_SINK,CAPIT_SENATE_SQUAR,Yeller,Capital,23.39,6.0,7.5,car,15,2032-03-18T09:00:00,True,False
21,0,trav_0021,novice,NORTH_NORTH_RIDGE_,CAPIT_OUTER_ARCHIV,Northo,Capital,22.22,3.0,7.5,on_foot,1,2031-05-12T03:00:00,False,True
21,1,trav_0021,novice,CAPIT_OUTER_ARCHIV,NORTH_HOUSE_OF_THE,Capital,Northo,22.65,2.5,7.5,pilgrim_bus,3,2031-05-14T11:00:00,False,True
21,2,trav_0021,novice,NORTH_HOUSE_OF_THE,MIRAD_TOWER_LEVEL_,Northo,Mirado,23.14,4.5,9.5,pilgrim_bus,5,2031-05-16T18:00:00,False,True
21,3,trav_0021,novice,MIRAD_TOWER_LEVEL_,CAPIT_CITY_WALL_EA,Mirado,Capital,22.21,4.5,8.0,pilgrim_bus,7,2031-05-18T19:00:00,False,True
21,4,trav_0021,novice,CAPIT_CITY_WALL_EA,CAPEA_RIVERSLAND_S,Capital,Capeast,24.59,2.5,4.5,pilgrim_bus,8,2031-05-19T22:00:00,False,False
21,5,trav_0021,novice,CAPEA_RIVERSLAND_S,DENSM_OLD_QUARRY_R,Capeast,Densmok,24.64,3.0,3.0,on_foot,13,2031-05-24T03:00:00,False,False
21,6,trav_0021,novice,DENSM_OLD_QUARRY_R,YELLE_STALL_TOWN_B,Densmok,Yeller,22.7,5.0,4.0,on_foot,13,2031-05-24T07:00:00,True,False
21,7,trav_0021,novice,YELLE_STALL_TOWN_B,DEADR_DEAD_RIVER_E,Yeller,Deadriver,19.0,6.0,7.0,pilgrim_bus,18,2031-05-29T11:00:00,True,True
22,0,trav_0022,senator,CAPIT_OUTER_ARCHIV,DEADR_BROKEN_DEADR,Capital,Deadriver,17.35,4.5,7.5,motorcade,3,2032-01-05T01:00:00,True,True
22,1,trav_0022,senator,DEADR_BROKEN_DEADR,MIRAD_MIRADO_STICK,Deadriver,Mirado,23.76,6.0,8.5,motorcade,4,2032-01-06T07:00:00,False,True
22,2,trav_0022,senator,MIRAD_MIRADO_STICK,NORTH_NORTHO_GATEH,Mirado,Northo,21.38,4.0,7.5,motorcade,9,2032-01-11T15:00:00,False,True
22,3,trav_0022,senator,NORTH_NORTHO_GATEH,CAPIT_PAPER_BINDER,Northo,Capital,18.61,2.5,6.0,motorcade,14,2032-01-16T17:00:00,False,True
22,4,trav_0022,senator,CAPIT_PAPER_BINDER,NORTH_HOUSE_OF_STO,Capital,Northo,23.74,2.5,6.5,motorcade,19,2032-01-21T18:00:00,False,True
23,0,trav_0023,senator,CAPIT_INNER_TENEME,DENSM_OLD_QUARRY_R,Capital,Densmok,16.33,4.5,3.5,motorcade,5,2037-02-27T00:00:00,False,False
23,1,trav_0023,senator,DENSM_OLD_QUARRY_R,CAPEA_CAPEAST_STRI,Densmok,Capeast,14.56,4.0,3.5,motorcade,7,2037-03-01T03:00:00,False,False
