switch_id,trajectory_id,original_target_id,original_target_name,original_basin_id,new_target_id,new_target_name,new_basin_id,switch_year,switch_type,switch_location_x,switch_location_y,switch_location_z,progress_to_original,distance_between_targets,same_basin,switch_cause,outcome,switch_quality,adaptation_benefit,documenter,documentation_method,confidence,description,notes
AS-0028,NT-0137,MS-0100,Form 0100,BA-047,MS-0067,Form 0067,BA-010,923,forced,0.5501,-0.6522,0.9194,92.8,1.2017,False,stronger_attractor,returned_to_original,0.357,False,R. Voss,form_sequence_analysis,0.58,Switch from Form 0100 to Form 0067 (forced). Cause: stronger_attractor.,
AS-0029,NT-0301,MS-0049,Form 0049,BA-030,MS-0010,Form 0010,BA-006,924,opportunistic,0.2384,-0.8077,-0.3099,43.2,1.4226,False,stronger_attractor,third_target,0.475,False,T. Vells,continuous_tracking,0.743,Switch from Form 0049 to Form 0010 (opportunistic). Cause: stronger_attractor.,
AS-0030,NT-0164,MS-0068,Form 0068,BA-002,MS-0004,The Tension,BA-003,928,gradual_drift,0.8887,-0.1423,0.1094,63.4,1.3068,False,environmental_change,returned_to_original,0.651,True,K. Strand,continuous_tracking,0.782,Switch from Form 0068 to The Tension (gradual_drift). Cause: environmental_change.,
AS-0031,NT-0461,MS-0011,Form 0011,BA-007,MS-0073,Form 0073,BA-008,926,gradual_drift,-0.3416,-0.9054,0.0562,37.2,0.3407,False,developmental_signal,new_target_reached,0.94,True,R. Voss,trajectory_comparison,0.625,Switch from Form 0011 to Form 0073 (gradual_drift). Cause: developmental_signal.,
AS-0032,,MS-0022,Form 0022,BA-013,MS-0072,Form 0072,BA-029,930,defensive,0.2356,0.1634,0.0224,92.0,1.4148,False,stronger_attractor,lost,0.422,False,R. Voss,retrospective_reconstruction,0.551,Switch from Form 0022 to Form 0072 (defensive). Cause: stronger_attractor.,
AS-0033,NT-0196,MS-0083,Form 0083,BA-025,MS-0079,Form 0079,BA-005,918,opportunistic,0.1493,-0.1639,-0.1253,21.2,0.6872,False,stronger_attractor,new_target_reached,0.647,True,R. Voss,trajectory_comparison,0.926,Switch from Form 0083 to Form 0079 (opportunistic). Cause: stronger_attractor.,
AS-0034,,MS-0029,Form 0029,BA-016,MS-0011,Form 0011,BA-007,929,forced,0.5961,-0.0868,-0.1693,93.8,0.3318,False,stronger_attractor,lost,0.641,False,K. Strand,retrospective_reconstruction,0.535,Switch from Form 0029 to Form 0011 (forced). Cause: stronger_attractor.,
AS-0035,NT-0151,MS-0037,Form 0037,BA-036,MS-0085,Form 0085,BA-006,932,forced,-0.8858,0.3633,-0.5132,10.1,0.7643,False,unknown,new_target_reached,1.0,True,R. Voss,retrospective_reconstruction,0.761,Switch from Form 0037 to Form 0085 (forced). Cause: unknown.,
AS-0036,,MS-0011,Form 0011,BA-007,MS-0001,The Quintic Cycle,BA-001,930,defensive,-0.9826,0.807,0.2996,31.7,0.4309,False,damage_recovery,new_target_reached,0.602,True,K. Strand,continuous_tracking,0.777,Switch from Form 0011 to The Quintic Cycle (defensive). Cause: damage_recovery.,
AS-0037,NT-0238,MS-0039,Form 0039,BA-043,MS-0023,Form 0023,BA-014,919,opportunistic,-0.3773,0.1987,-0.9513,78.9,0.7168,False,original_weakened,ongoing,0.814,False,C. Vells,retrospective_reconstruction,0.545,Switch from Form 0039 to Form 0023 (opportunistic). Cause: original_weakened.,
AS-0038,NT-0419,MS-0042,Form 0042,BA-011,MS-0066,Form 0066,BA-032,926,defensive,-0.3935,-0.3939,0.9513,71.7,1.4489,False,boundary_block,new_target_reached,0.881,True,T. Vells,continuous_tracking,0.824,Switch from Form 0042 to Form 0066 (defensive). Cause: boundary_block.,
AS-0039,NT-0348,MS-0025,Form 0025,BA-038,MS-0033,Form 0033,BA-007,928,defensive,0.0459,0.8673,-0.739,12.6,1.0912,False,stronger_attractor,new_target_reached,1.0,True,R. Voss,retrospective_reconstruction,0.993,Switch from Form 0025 to Form 0033 (defensive). Cause: stronger_attractor.,
AS-0040,NT-0402,MS-0009,Form 0009,BA-009,MS-0045,Form 0045,BA-025,927,voluntary,0.6622,-0.7069,-0.0063,57.7,0.8363,False,competition,third_target,0.717,False,Archive Survey Team,form_sequence_analysis,0.995,Switch from Form 0009 to Form 0045 (voluntary). Cause: competition.,
AS-0041,NT-0396,MS-0004,The Tension,BA-003,MS-0091,Form 0091,BA-008,926,forced,0.909,-0.4844,-0.4832,39.6,0.6931,False,stronger_attractor,new_target_reached,1.0,False,C. Vells,form_sequence_analysis,0.933,Switch from The Tension to Form 0091 (forced). Cause: stronger_attractor.,
AS-0042,NT-0489,MS-0076,Form 0076,BA-016,MS-0035,Form 0035,BA-049,925,voluntary,0.2844,-0.8485,0.1657,91.2,1.4183,False,stronger_attractor,ongoing,0.849,True,T. Vells,trajectory_comparison,0.714,Switch from Form 0076 to Form 0035 (voluntary). Cause: stronger_attractor.,
AS-0043,NT-0181,MS-0096,Form 0096,BA-026,MS-0074,Form 0074,BA-021,926,voluntary,0.6773,0.2724,0.9044,62.0,0.3897,False,original_weakened,new_target_reached,0.638,False,R. Voss,form_sequence_analysis,0.606,Switch from Form 0096 to Form 0074 (voluntary). Cause: original_weakened.,
AS-0044,,MS-0009,Form 0009,BA-009,MS-0006,The Septenary Rhythm,BA-006,931,forced,-0.2529,0.5843,-0.0611,8.8,0.6225,False,environmental_change,lost,1.0,True,C. Vells,continuous_tracking,0.739,Switch from Form 0009 to The Septenary Rhythm (forced). Cause: environmental_change.,
AS-0045,NT-0473,MS-0023,Form 0023,BA-014,MS-0044,Form 0044,BA-019,920,voluntary,0.6433,-0.4407,0.3943,43.8,1.2022,False,environmental_change,new_target_reached,1.0,False,K. Strand,continuous_tracking,0.655,Switch from Form 0023 to Form 0044 (voluntary). Cause: environmental_change.,
AS-0046,,MS-0064,Form 0064,BA-044,MS-0059,Form 0059,BA-026,920,gradual_drift,-0.4576,-0.4529,0.385,59.2,0.9661,False,damage_recovery,lost,0.641,True,K. Strand,trajectory_comparison,0.819,Switch from Form 0064 to Form 0059 (gradual_drift). Cause: damage_recovery.,
AS-0047,NT-0182,MS-0086,Form 0086,BA-022,MS-0090,Form 0090,BA-010,920,opportunistic,0.7102,-0.4466,0.6059,88.7,1.2945,False,stronger_attractor,new_target_reached,0.858,False,R. Voss,form_sequence_analysis,0.592,Switch from Form 0086 to Form 0090 (opportunistic). Cause: stronger_attractor.,
AS-0048,NT-0268,MS-0088,Form 0088,BA-041,MS-0030,Form 0030,BA-035,927,gradual_drift,0.847,-0.0165,0.7923,34.0,0.6587,False,competition,lost,0.956,False,K. Strand,trajectory_comparison,0.924,Switch from Form 0088 to Form 0030 (gradual_drift). Cause: competition.,
AS-0049,,MS-0020,Form 0020,BA-043,MS-0100,Form 0100,BA-047,923,forced,-0.3962,-0.4934,0.8076,11.9,0.2066,False,developmental_signal,new_target_reached,1.0,False,K. Strand,continuous_tracking,0.641,Switch from Form 0020 to Form 0100 (forced). Cause: developmental_signal.,
AS-0050,NT-0450,MS-0063,Form 0063,BA-033,MS-0025,Form 0025,BA-038,926,catastrophic,0.6855,0.3006,-0.5656,42.8,0.5441,False,stronger_attractor,third_target,0.393,False,Archive Survey Team,continuous_tracking,0.92,Switch from Form 0063 to Form 0025 (catastrophic). Cause: stronger_attractor.,
AS-0051,NT-0353,MS-0040,Form 0040,BA-011,MS-0085,Form 0085,BA-006,918,defensive,-0.1461,0.4376,0.3513,7.2,1.3794,False,boundary_block,returned_to_original,0.542,False,T. Vells,form_sequence_analysis,0.793,Switch from Form 0040 to Form 0085 (defensive). Cause: boundary_block.,
AS-0052,,MS-0084,Form 0084,BA-046,MS-0062,Form 0062,BA-034,926,gradual_drift,0.4638,0.8486,-0.8439,44.7,1.2478,False,developmental_signal,new_target_reached,1.0,False,T. Vells,retrospective_reconstruction,0.981,Switch from Form 0084 to Form 0062 (gradual_drift). Cause: developmental_signal.,
AS-0053,,MS-0065,Form 0065,BA-018,MS-0046,Form 0046,BA-011,923,forced,-0.4114,0.84,0.8449,9.3,0.61,False,stronger_attractor,new_target_reached,0.526,True,Archive Survey Team,form_sequence_analysis,0.848,Switch from Form 0065 to Form 0046 (forced). Cause: stronger_attractor.,
AS-0054,NT-0495,MS-0045,Form 0045,BA-025,MS-0069,Form 0069,BA-048,924,opportunistic,-0.12,0.0865,-0.8707,34.6,1.1886,False,damage_recovery,new_target_reached,0.813,True,Archive Survey Team,continuous_tracking,0.781,Switch from Form 0045 to Form 0069 (opportunistic). Cause: damage_recovery.,
AS-0055,NT-0186,MS-0021,Form 0021,BA-024,MS-0022,Form 0022,BA-013,918,gradual_drift,-0.0938,0.3287,0.9431,47.3,0.6774,False,unknown,new_target_reached,0.971,True,C. Vells,retrospective_reconstruction,0.644,Switch from Form 0021 to Form 0022 (gradual_drift). Cause: unknown.,
AS-0056,NT-0131,MS-0097,Form 0097,BA-031,MS-0041,Form 0041,BA-010,925,gradual_drift,0.5446,-0.9658,-0.1146,85.3,1.0493,False,boundary_block,third_target,0.626,False,Archive Survey Team,continuous_tracking,0.754,Switch from Form 0097 to Form 0041 (gradual_drift). Cause: boundary_block.,
AS-0057,NT-0029,MS-0016,Form 0016,BA-002,MS-0044,Form 0044,BA-019,929,defensive,-0.2311,-0.9269,0.3109,8.9,0.9995,False,original_weakened,returned_to_original,0.958,False,Archive Survey Team,trajectory_comparison,0.682,Switch from Form 0016 to Form 0044 (defensive). Cause: original_weakened.,
AS-0058,,MS-0031,Form 0031,BA-016,MS-0095,Form 0095,BA-031,923,voluntary,0.1815,0.2246,-0.9258,70.8,1.3544,False,original_weakened,new_target_reached,0.997,True,R. Voss,retrospective_reconstruction,0.77,Switch from Form 0031 to Form 0095 (voluntary). Cause: original_weakened.,
AS-0059,,MS-0039,Form 0039,BA-043,MS-0020,Form 0020,BA-043,922,opportunistic,-0.8185,-0.59,0.7996,64.2,1.2555,True,stronger_attractor,new_target_reached,0.588,False,K. Strand,retrospective_reconstruction,0.991,Switch from Form 0039 to Form 0020 (opportunistic). Cause: stronger_attractor.,
AS-0060,NT-0130,MS-0069,Form 0069,BA-048,MS-0090,Form 0090,BA-010,922,opportunistic,0.2878,-0.2025,0.3873,46.9,0.5371,False,damage_recovery,new_target_reached,0.879,True,T. Vells,retrospective_reconstruction,0.774,Switch from Form 0069 to Form 0090 (opportunistic). Cause: damage_recovery.,
AS-0061,NT-0027,MS-0002,The Binary Division,BA-002,MS-0098,Form 0098,BA-046,927,forced,-0.2559,-0.9781,-0.5399,45.1,0.8775,False,environmental_change,new_target_reached,0.538,False,R. Voss,trajectory_comparison,0.994,Switch from The Binary Division to Form 0098 (forced). Cause: environmental_change.,
AS-0062,NT-0254,MS-0053,Form 0053,BA-017,MS-0015,Form 0015,BA-025,932,gradual_drift,0.5877,0.572,-0.1453,29.1,0.9075,False,original_weakened,new_target_reached,0.795,False,K. Strand,form_sequence_analysis,0.772,Switch from Form 0053 to Form 0015 (gradual_drift). Cause: original_weakened.,
AS-0063,NT-0422,MS-0031,Form 0031,BA-016,MS-0045,Form 0045,BA-025,930,catastrophic,-0.7784,0.1371,-0.7211,11.7,0.985,False,original_weakened,third_target,0.352,True,T. Vells,continuous_tracking,0.767,Switch from Form 0031 to Form 0045 (catastrophic). Cause: original_weakened.,
AS-0064,,MS-0076,Form 0076,BA-016,MS-0085,Form 0085,BA-006,919,forced,0.3881,0.4031,0.0996,40.2,0.2567,False,competition,new_target_reached,0.897,False,T. Vells,retrospective_reconstruction,0.821,Switch from Form 0076 to Form 0085 (forced). Cause: competition.,
AS-0065,,MS-0005,The Triad Form,BA-004,MS-0067,Form 0067,BA-010,919,forced,-0.3268,0.7362,0.2004,74.9,0.3091,False,environmental_change,new_target_reached,0.821,False,R. Voss,continuous_tracking,0.637,Switch from The Triad Form to Form 0067 (forced). Cause: environmental_change.,
AS-0066,,MS-0017,Form 0017,BA-002,MS-0091,Form 0091,BA-008,924,opportunistic,-0.6724,-0.1125,-0.336,10.1,1.4517,False,original_weakened,third_target,0.901,False,Archive Survey Team,trajectory_comparison,0.587,Switch from Form 0017 to Form 0091 (opportunistic). Cause: original_weakened.,
AS-0067,,MS-0040,Form 0040,BA-011,MS-0032,Form 0032,BA-032,927,defensive,0.4258,0.4163,0.0314,61.7,1.4979,False,stronger_attractor,new_target_reached,0.982,False,Archive Survey Team,form_sequence_analysis,0.683,Switch from Form 0040 to Form 0032 (defensive). Cause: stronger_attractor.,
AS-0068,,MS-0035,Form 0035,BA-049,MS-0010,Form 0010,BA-006,923,opportunistic,-0.8313,0.2931,-0.5643,81.3,1.2173,False,boundary_block,new_target_reached,1.0,False,Archive Survey Team,continuous_tracking,0.587,Switch from Form 0035 to Form 0010 (opportunistic). Cause: boundary_block.,
AS-0069,NT-0439,MS-0023,Form 0023,BA-014,MS-0090,Form 0090,BA-010,922,catastrophic,-0.9125,0.5026,0.8235,6.2,1.1927,False,damage_recovery,new_target_reached,0.962,True,C. Vells,continuous_tracking,0.725,Switch from Form 0023 to Form 0090 (catastrophic). Cause: damage_recovery.,
AS-0070,,MS-0038,Form 0038,BA-003,MS-0076,Form 0076,BA-016,924,gradual_drift,-0.2426,-0.6986,-0.8891,22.4,0.5366,False,competition,new_target_reached,0.898,True,K. Strand,trajectory_comparison,0.646,Switch from Form 0038 to Form 0076 (gradual_drift). Cause: competition.,
AS-0071,NT-0469,MS-0002,The Binary Division,BA-002,MS-0001,The Quintic Cycle,BA-001,931,forced,0.6777,-0.4396,-0.9109,16.0,1.2016,False,boundary_block,new_target_reached,0.882,True,T. Vells,continuous_tracking,0.592,Switch from The Binary Division to The Quintic Cycle (forced). Cause: boundary_block.,
AS-0072,NT-0188,MS-0081,Form 0081,BA-048,MS-0074,Form 0074,BA-021,930,opportunistic,-0.6735,0.571,-0.4427,59.8,1.0794,False,damage_recovery,new_target_reached,0.843,False,Archive Survey Team,form_sequence_analysis,0.938,Switch from Form 0081 to Form 0074 (opportunistic). Cause: damage_recovery.,
AS-0073,NT-0021,MS-0003,The Breathing Mode,BA-015,MS-0064,Form 0064,BA-044,919,opportunistic,-0.3773,0.8542,0.4993,37.8,0.5327,False,boundary_block,new_target_reached,1.0,False,K. Strand,continuous_tracking,0.991,Switch from The Breathing Mode to Form 0064 (opportunistic). Cause: boundary_block.,
AS-0074,NT-0426,MS-0039,Form 0039,BA-043,MS-0077,Form 0077,BA-010,926,defensive,-0.5791,-0.9025,0.4335,13.9,0.2266,False,environmental_change,returned_to_original,0.379,True,C. Vells,trajectory_comparison,0.558,Switch from Form 0039 to Form 0077 (defensive). Cause: environmental_change.,
AS-0075,,MS-0015,Form 0015,BA-025,MS-0017,Form 0017,BA-002,923,gradual_drift,-0.2018,-0.5272,-0.2327,56.4,1.2288,False,stronger_attractor,lost,0.996,True,R. Voss,form_sequence_analysis,0.724,Switch from Form 0015 to Form 0017 (gradual_drift). Cause: stronger_attractor.,
AS-0076,,MS-0054,Form 0054,BA-042,MS-0052,Form 0052,BA-042,925,opportunistic,0.1142,0.2911,-0.4939,41.2,1.3095,True,stronger_attractor,new_target_reached,1.0,False,T. Vells,form_sequence_analysis,0.781,Switch from Form 0054 to Form 0052 (opportunistic). Cause: stronger_attractor.,
AS-0077,NT-0201,MS-0055,Form 0055,BA-025,MS-0079,Form 0079,BA-005,922,opportunistic,-0.1094,0.2243,0.3617,71.3,1.4263,False,developmental_signal,new_target_reached,0.638,True,K. Strand,continuous_tracking,0.608,Switch from Form 0055 to Form 0079 (opportunistic). Cause: developmental_signal.,
AS-0078,NT-0339,MS-0100,Form 0100,BA-047,MS-0012,Form 0012,BA-013,931,forced,-0.1579,0.2414,0.5219,5.9,0.7908,False,original_weakened,new_target_reached,1.0,True,C. Vells,form_sequence_analysis,0.994,Switch from Form 0100 to Form 0012 (forced). Cause: original_weakened.,
AS-0079,NT-0477,MS-0036,Form 0036,BA-035,MS-0016,Form 0016,BA-002,918,gradual_drift,-0.2371,0.7899,0.7855,34.1,0.4972,False,boundary_block,ongoing,0.65,True,T. Vells,continuous_tracking,0.555,Switch from Form 0036 to Form 0016 (gradual_drift). Cause: boundary_block.,
AS-0080,NT-0489,MS-0024,Form 0024,BA-015,MS-0042,Form 0042,BA-011,924,opportunistic,-0.8646,-0.4234,0.6816,45.7,0.4243,False,original_weakened,ongoing,0.972,True,Archive Survey Team,form_sequence_analysis,0.923,Switch from Form 0024 to Form 0042 (opportunistic). Cause: original_weakened.,
AS-0081,NT-0005,MS-0039,Form 0039,BA-043,MS-0034,Form 0034,BA-001,931,forced,0.1412,-0.0206,-0.7389,29.6,0.7901,False,boundary_block,new_target_reached,1.0,True,T. Vells,form_sequence_analysis,0.907,Switch from Form 0039 to Form 0034 (forced). Cause: boundary_block.,
AS-0082,,MS-0085,Form 0085,BA-006,MS-0077,Form 0077,BA-010,926,opportunistic,-0.3417,0.3548,-0.4459,94.5,0.191,False,boundary_block,third_target,0.47,True,K. Strand,form_sequence_analysis,0.846,Switch from Form 0085 to Form 0077 (opportunistic). Cause: boundary_block.,
AS-0083,NT-0073,MS-0030,Form 0030,BA-035,MS-0059,Form 0059,BA-026,925,catastrophic,0.2703,0.9707,-0.6685,45.4,1.0269,False,original_weakened,new_target_reached,0.713,True,Archive Survey Team,continuous_tracking,0.845,Switch from Form 0030 to Form 0059 (catastrophic). Cause: original_weakened.,
AS-0084,NT-0260,MS-0050,Form 0050,BA-027,MS-0076,Form 0076,BA-016,932,defensive,-0.749,-0.7834,-0.5427,17.3,0.368,False,environmental_change,new_target_reached,0.907,False,R. Voss,retrospective_reconstruction,0.818,Switch from Form 0050 to Form 0076 (defensive). Cause: environmental_change.,
AS-0085,NT-0053,MS-0092,Form 0092,BA-023,MS-0006,The Septenary Rhythm,BA-006,926,opportunistic,-0.3815,0.8742,-0.6189,79.0,0.3714,False,original_weakened,new_target_reached,0.591,False,R. Voss,retrospective_reconstruction,0.61,Switch from Form 0092 to The Septenary Rhythm (opportunistic). Cause: original_weakened.,
AS-0086,NT-0389,MS-0055,Form 0055,BA-025,MS-0019,Form 0019,BA-044,919,gradual_drift,0.7877,-0.3211,0.4748,85.3,0.9527,False,boundary_block,new_target_reached,0.703,True,T. Vells,retrospective_reconstruction,0.957,Switch from Form 0055 to Form 0019 (gradual_drift). Cause: boundary_block.,
AS-0087,NT-0263,MS-0036,Form 0036,BA-035,MS-0072,Form 0072,BA-029,919,forced,-0.1893,0.4407,0.9184,76.9,0.1742,False,environmental_change,returned_to_original,0.637,True,T. Vells,form_sequence_analysis,0.843,Switch from Form 0036 to Form 0072 (forced). Cause: environmental_change.,
AS-0088,,MS-0011,Form 0011,BA-007,MS-0067,Form 0067,BA-010,923,opportunistic,0.9167,0.8672,0.15,8.0,1.3128,False,developmental_signal,new_target_reached,0.883,False,C. Vells,trajectory_comparison,0.837,Switch from Form 0011 to Form 0067 (opportunistic). Cause: developmental_signal.,
AS-0089,NT-0405,MS-0032,Form 0032,BA-032,MS-0090,Form 0090,BA-010,925,opportunistic,0.8306,-0.6099,-0.1825,12.2,1.061,False,competition,ongoing,0.54,True,K. Strand,form_sequence_analysis,0.609,Switch from Form 0032 to Form 0090 (opportunistic). Cause: competition.,
