log_id,session_id,observer_id,date,blank_outs_observed,other_episodes_observed,kitchum_engagement_score,student_anxiety_score,attention_level,observer_mood,notes,minutes_observed
OBS0176,CLS0288,S005,2021-04-26,0,0,4,4,medium,sad,,47
OBS0177,CLS0289,S002,2021-04-28,0,0,3,2,high,worried,,46
OBS0178,CLS0289,S003,2021-04-28,0,0,5,4,low,worried,,48
OBS0179,CLS0289,S004,2021-04-28,0,0,4,3,high,focused,,40
OBS0180,CLS0289,S005,2021-04-28,0,0,1,4,high,focused,,42
OBS0181,CLS0290,S002,2021-04-30,0,0,4,1,high,sad,,49
OBS0182,CLS0290,S003,2021-04-30,0,0,2,4,low,focused,,50
OBS0183,CLS0290,S004,2021-04-30,0,0,5,1,high,curious,,48
OBS0184,CLS0290,S005,2021-04-30,0,0,4,4,high,sad,,45
OBS0185,CLS0291,S002,2021-05-03,0,2,3,3,high,curious,,42
OBS0186,CLS0291,S003,2021-05-03,0,2,5,3,low,sad,,44
OBS0187,CLS0291,S004,2021-05-03,0,2,4,2,low,sad,,40
OBS0188,CLS0291,S005,2021-05-03,0,2,5,1,high,curious,,47
OBS0189,CLS0292,S002,2021-05-05,0,1,2,1,low,curious,,44
OBS0190,CLS0292,S003,2021-05-05,0,1,5,3,medium,curious,,44
OBS0191,CLS0292,S004,2021-05-05,0,1,1,2,low,sad,,42
OBS0192,CLS0292,S005,2021-05-05,0,1,2,3,high,worried,,47
OBS0193,CLS0293,S002,2021-05-07,0,2,5,1,medium,curious,,41
OBS0194,CLS0293,S003,2021-05-07,0,2,5,2,medium,detached,,46
OBS0195,CLS0293,S004,2021-05-07,0,2,2,4,high,worried,,43
OBS0196,CLS0293,S005,2021-05-07,0,2,1,3,high,focused,,40
OBS0197,CLS0294,S002,2021-05-10,0,0,4,4,medium,detached,,44
OBS0198,CLS0294,S003,2021-05-10,0,0,5,2,high,detached,,50
OBS0199,CLS0294,S004,2021-05-10,0,0,4,3,high,worried,,48
OBS0200,CLS0294,S005,2021-05-10,0,0,3,4,low,detached,,50
OBS0201,CLS0295,S002,2021-08-25,0,0,5,8,high,focused,,41
OBS0202,CLS0295,S003,2021-08-25,0,0,4,7,high,curious,,45
OBS0203,CLS0295,S004,2021-08-25,0,0,3,3,high,curious,,50
OBS0204,CLS0295,S005,2021-08-25,0,0,2,8,high,sad,,43
OBS0205,CLS0296,S002,2021-08-27,0,0,2,5,high,sad,,40
OBS0206,CLS0296,S003,2021-08-27,0,0,1,3,low,detached,,41
OBS0207,CLS0296,S004,2021-08-27,0,0,4,5,low,worried,,44
OBS0208,CLS0296,S005,2021-08-27,0,0,5,3,high,focused,Nothing unusual observed,49
OBS0209,CLS0297,S002,2021-08-30,0,1,5,8,medium,focused,,41
OBS0210,CLS0297,S003,2021-08-30,0,1,5,4,low,detached,,50
OBS0211,CLS0297,S004,2021-08-30,0,1,1,8,medium,worried,,44
OBS0212,CLS0297,S005,2021-08-30,0,0,4,5,intense,detached,Nothing unusual observed,50
OBS0213,CLS0298,S002,2021-09-01,0,0,3,4,high,focused,,44
OBS0214,CLS0298,S003,2021-09-01,0,0,4,6,low,curious,,40
OBS0215,CLS0298,S004,2021-09-01,0,0,3,4,high,detached,,41
OBS0216,CLS0298,S005,2021-09-01,0,0,5,6,medium,worried,,50
OBS0217,CLS0299,S002,2021-09-03,0,0,1,4,high,sad,,46
OBS0218,CLS0299,S003,2021-09-03,0,0,5,8,medium,focused,,47
OBS0219,CLS0299,S004,2021-09-03,0,0,1,3,high,focused,,41
OBS0220,CLS0299,S005,2021-09-03,0,0,4,3,high,detached,,42
OBS0221,CLS0300,S002,2021-09-06,0,0,1,8,low,detached,,44
OBS0222,CLS0300,S003,2021-09-06,0,0,3,6,medium,sad,,40
OBS0223,CLS0300,S004,2021-09-06,0,0,4,6,high,detached,,41
OBS0224,CLS0300,S005,2021-09-06,0,0,4,8,low,detached,,41
OBS0225,CLS0301,S002,2021-09-08,0,1,3,8,high,curious,,46
OBS0226,CLS0301,S003,2021-09-08,0,1,1,5,low,sad,,45
OBS0227,CLS0301,S004,2021-09-08,0,1,4,5,low,worried,,42
OBS0228,CLS0301,S005,2021-09-08,0,1,2,5,high,detached,,41
OBS0229,CLS0302,S002,2021-09-10,0,0,4,3,high,detached,,43
OBS0230,CLS0302,S003,2021-09-10,0,0,1,4,medium,focused,,49
OBS0231,CLS0302,S004,2021-09-10,0,0,4,6,medium,focused,,48
OBS0232,CLS0302,S005,2021-09-10,0,0,5,6,high,focused,,40
OBS0233,CLS0303,S002,2021-09-13,0,0,1,5,high,focused,,46
OBS0234,CLS0303,S003,2021-09-13,0,0,2,8,low,sad,,47
OBS0235,CLS0303,S004,2021-09-13,0,0,5,4,medium,focused,,40
OBS0236,CLS0303,S005,2021-09-13,0,0,1,6,high,sad,,40
OBS0237,CLS0304,S002,2021-09-15,0,0,2,3,medium,worried,,50
OBS0238,CLS0304,S003,2021-09-15,0,0,3,3,low,detached,,49
OBS0239,CLS0304,S004,2021-09-15,0,0,5,3,medium,focused,,41
OBS0240,CLS0304,S005,2021-09-15,0,0,1,4,medium,detached,,45
OBS0241,CLS0305,S002,2021-09-17,0,0,3,3,high,sad,,48
OBS0242,CLS0305,S003,2021-09-17,0,0,3,4,medium,focused,,49
OBS0243,CLS0305,S004,2021-09-17,0,0,3,3,medium,focused,,44
OBS0244,CLS0305,S005,2021-09-17,0,0,3,7,high,worried,Kitchum behaved normally,47
OBS0245,CLS0306,S002,2021-09-20,0,0,5,3,medium,worried,,41
OBS0246,CLS0306,S003,2021-09-20,0,0,2,3,high,detached,,41
OBS0247,CLS0306,S004,2021-09-20,0,0,1,4,low,focused,,50
OBS0248,CLS0306,S005,2021-09-20,0,0,4,8,high,detached,,42
OBS0249,CLS0307,S002,2021-09-22,0,0,2,8,medium,curious,,48
OBS0250,CLS0307,S003,2021-09-22,0,0,4,4,high,worried,,49
OBS0251,CLS0307,S004,2021-09-22,0,0,5,4,low,detached,,49
OBS0252,CLS0307,S005,2021-09-22,0,0,3,6,high,focused,,48
OBS0253,CLS0308,S002,2021-09-24,0,0,2,3,medium,sad,,41
OBS0254,CLS0308,S003,2021-09-24,0,0,5,7,high,worried,,47
OBS0255,CLS0308,S004,2021-09-24,0,0,3,3,medium,worried,,41
OBS0256,CLS0308,S005,2021-09-24,0,0,4,4,high,worried,,50
OBS0257,CLS0309,S002,2021-09-27,0,0,1,8,low,curious,,44
OBS0258,CLS0309,S003,2021-09-27,0,0,4,5,medium,curious,,49
OBS0259,CLS0309,S004,2021-09-27,0,0,1,3,high,focused,,48
OBS0260,CLS0309,S005,2021-09-27,0,0,5,3,high,focused,Watching carefully - all standard,43
OBS0261,CLS0310,S002,2021-09-29,0,0,5,7,high,curious,,46
OBS0262,CLS0310,S003,2021-09-29,0,0,3,4,medium,focused,,45
OBS0263,CLS0310,S004,2021-09-29,0,0,1,4,medium,detached,,43
OBS0264,CLS0310,S005,2021-09-29,0,0,1,6,medium,sad,,47
OBS0265,CLS0311,S002,2021-10-01,0,1,4,4,low,worried,,49
OBS0266,CLS0311,S003,2021-10-01,0,1,2,6,high,curious,,42
OBS0267,CLS0311,S004,2021-10-01,0,1,2,8,high,curious,,44
OBS0268,CLS0311,S005,2021-10-01,0,0,5,3,high,curious,Nothing unusual observed,42
OBS0269,CLS0312,S002,2021-10-04,0,0,4,6,low,detached,,42
OBS0270,CLS0312,S003,2021-10-04,0,0,2,5,high,sad,,42
OBS0271,CLS0312,S004,2021-10-04,0,0,5,7,medium,worried,,41
OBS0272,CLS0312,S005,2021-10-04,0,0,2,7,high,detached,,47
OBS0273,CLS0313,S002,2021-10-06,0,0,1,8,high,detached,,43
OBS0274,CLS0313,S003,2021-10-06,0,0,3,6,medium,sad,,43
OBS0275,CLS0313,S004,2021-10-06,0,0,5,3,medium,detached,,40
OBS0276,CLS0313,S005,2021-10-06,0,0,4,7,high,detached,Nothing unusual observed,47
OBS0277,CLS0314,S002,2021-10-08,0,0,4,6,low,worried,,41
OBS0278,CLS0314,S003,2021-10-08,0,0,4,4,low,worried,,45
OBS0279,CLS0314,S004,2021-10-08,0,0,2,8,high,focused,,40
OBS0280,CLS0314,S005,2021-10-08,0,0,2,8,high,detached,,49
OBS0281,CLS0315,S002,2021-10-11,0,0,4,6,low,worried,,46
OBS0282,CLS0315,S003,2021-10-11,0,0,3,8,medium,detached,,50
OBS0283,CLS0315,S004,2021-10-11,0,0,1,6,low,curious,,48
OBS0284,CLS0315,S005,2021-10-11,0,0,5,7,high,sad,No deviations from baseline,43
OBS0285,CLS0316,S002,2021-10-13,0,0,5,5,low,focused,,48
OBS0286,CLS0316,S003,2021-10-13,0,0,1,3,high,detached,,45
OBS0287,CLS0316,S004,2021-10-13,0,0,5,3,high,curious,,45
OBS0288,CLS0316,S005,2021-10-13,0,0,5,8,intense,worried,Nothing unusual observed,42
OBS0289,CLS0317,S002,2021-10-15,0,0,2,7,high,focused,,50
OBS0290,CLS0317,S003,2021-10-15,0,0,5,8,high,worried,,43
OBS0291,CLS0317,S004,2021-10-15,0,0,3,5,high,sad,,50
OBS0292,CLS0317,S005,2021-10-15,0,0,1,5,low,curious,,47
OBS0293,CLS0318,S002,2021-10-18,0,0,5,7,high,focused,,47
OBS0294,CLS0318,S003,2021-10-18,0,0,4,7,high,curious,,50
OBS0295,CLS0318,S004,2021-10-18,0,0,2,6,low,focused,,41
OBS0296,CLS0318,S005,2021-10-18,0,0,3,3,medium,focused,,42
OBS0297,CLS0319,S002,2021-10-20,0,0,1,8,high,worried,,47
OBS0298,CLS0319,S003,2021-10-20,0,0,2,7,medium,focused,,44
OBS0299,CLS0319,S004,2021-10-20,0,0,5,4,high,detached,,45
OBS0300,CLS0319,S005,2021-10-20,0,0,3,4,low,focused,,40
OBS0301,CLS0320,S002,2021-10-22,0,0,5,8,medium,curious,,46
OBS0302,CLS0320,S003,2021-10-22,0,0,3,6,high,sad,,50
OBS0303,CLS0320,S004,2021-10-22,0,0,4,5,high,sad,,42
OBS0304,CLS0320,S005,2021-10-22,0,0,2,5,high,worried,,47
OBS0305,CLS0321,S002,2021-10-25,0,0,3,3,high,worried,,45
OBS0306,CLS0321,S003,2021-10-25,0,0,4,4,high,sad,,42
OBS0307,CLS0321,S004,2021-10-25,0,0,2,4,high,worried,,42
OBS0308,CLS0321,S005,2021-10-25,0,0,5,4,high,detached,No deviations from baseline,44
OBS0309,CLS0322,S002,2021-10-27,0,0,2,4,high,sad,,40
OBS0310,CLS0322,S003,2021-10-27,0,0,3,4,high,curious,,47
OBS0311,CLS0322,S004,2021-10-27,0,0,5,5,medium,focused,,40
OBS0312,CLS0322,S005,2021-10-27,0,0,2,6,high,curious,,42
OBS0313,CLS0323,S002,2021-10-29,0,0,5,7,low,curious,,50
OBS0314,CLS0323,S003,2021-10-29,0,0,4,5,high,sad,,50
OBS0315,CLS0323,S004,2021-10-29,0,0,5,8,medium,detached,,45
OBS0316,CLS0323,S005,2021-10-29,0,0,1,4,high,sad,,41
OBS0317,CLS0324,S005,2021-11-01,0,0,5,4,high,detached,,45
OBS0318,CLS0325,S005,2021-11-03,0,0,5,7,high,worried,Kitchum behaved normally,44
OBS0319,CLS0326,S005,2021-11-05,0,0,1,7,high,detached,Watching carefully - all standard,43
OBS0320,CLS0327,S005,2021-11-08,0,1,3,6,low,worried,,46
OBS0321,CLS0328,S005,2021-11-10,0,1,1,5,high,curious,,45
OBS0322,CLS0329,S005,2021-11-12,1,2,5,3,high,worried,,47
OBS0323,CLS0330,S002,2021-11-15,0,0,4,5,high,worried,,46
OBS0324,CLS0330,S003,2021-11-15,0,0,2,7,high,sad,,41
OBS0325,CLS0330,S004,2021-11-15,0,0,2,5,medium,detached,,48
OBS0326,CLS0330,S005,2021-11-15,0,0,5,6,low,focused,,40
OBS0327,CLS0331,S002,2021-11-17,0,0,3,6,high,worried,,48
OBS0328,CLS0331,S003,2021-11-17,0,0,5,4,high,worried,,42
OBS0329,CLS0331,S004,2021-11-17,0,0,3,7,high,detached,,40
OBS0330,CLS0331,S005,2021-11-17,0,0,5,5,high,detached,,48
OBS0331,CLS0332,S002,2021-11-19,0,2,2,3,high,focused,,42
OBS0332,CLS0332,S003,2021-11-19,0,2,3,8,high,detached,,41
OBS0333,CLS0332,S004,2021-11-19,0,2,4,4,high,detached,,50
OBS0334,CLS0332,S005,2021-11-19,0,0,4,3,high,sad,No deviations from baseline,45
OBS0335,CLS0333,S002,2021-11-22,0,1,5,6,high,curious,,50
OBS0336,CLS0333,S003,2021-11-22,0,1,1,5,high,sad,,49
OBS0337,CLS0333,S004,2021-11-22,0,1,3,4,low,sad,,40
OBS0338,CLS0333,S005,2021-11-22,0,0,3,4,high,focused,Kitchum behaved normally,44
OBS0339,CLS0334,S002,2021-11-24,0,0,4,8,high,curious,,40
OBS0340,CLS0334,S003,2021-11-24,0,0,3,7,high,focused,,48
OBS0341,CLS0334,S004,2021-11-24,0,0,2,3,medium,sad,,42
OBS0342,CLS0334,S005,2021-11-24,0,0,3,5,high,curious,,41
OBS0343,CLS0335,S002,2021-11-26,0,2,2,3,high,worried,,48
OBS0344,CLS0335,S003,2021-11-26,0,2,3,6,high,detached,,45
OBS0345,CLS0335,S004,2021-11-26,0,2,1,4,medium,worried,,48
OBS0346,CLS0335,S005,2021-11-26,0,0,4,6,high,focused,Nothing unusual observed,41
OBS0347,CLS0336,S002,2021-11-29,0,1,1,6,medium,curious,,44
OBS0348,CLS0336,S003,2021-11-29,0,1,2,6,high,sad,,48
OBS0349,CLS0336,S004,2021-11-29,0,1,2,8,high,curious,,40
OBS0350,CLS0336,S005,2021-11-29,0,1,2,4,low,worried,,43
OBS0351,CLS0337,S002,2021-12-01,0,1,2,4,high,worried,,41
OBS0352,CLS0337,S003,2021-12-01,0,1,1,3,high,focused,,47
OBS0353,CLS0337,S004,2021-12-01,0,1,1,4,high,focused,,40
OBS0354,CLS0337,S005,2021-12-01,0,1,4,3,low,curious,,40
OBS0355,CLS0338,S002,2021-12-03,0,0,3,8,low,focused,,41
OBS0356,CLS0338,S003,2021-12-03,0,0,5,4,low,sad,,43
