assessment_id,system_name,assessment_date,claim_evaluated,claim_source,verdict,confidence,key_evidence,assessor,response
SA-918-114,Pattern Book,918,Barometric data improves warning window,Research notes,qualified,0.68,Technical analysis of barometric data improves warning window methodology and results,P. Senth,Developer acknowledged concerns
SA-919-001,Individual Signature Analysis,919,Can classify journeys into reliable archetypes,Census Bureau publication,qualified,0.78,Archetypes describe real patterns; ~17% of journeys remain unclassifiable; classification accuracy overstated in promotional materials,"P. Senth (primary), V. Kellam",Lurra Venn appreciated nuanced assessment
SA-919-002,Individual Signature Analysis,919,Archetypes are actionable for individual planning,Policy proposal by Vorn Oster,overstated,0.85,"Archetypes illuminate tendency, not fate; Bagbu: 'patterns are rhythms, not cages'; not actionable for mandatory classification","V. Kellam, A. Vessk",Traders' Guild cited assessment in successful opposition
SA-919-111,Pattern Book,919,Systematic observation improves on oral tradition,Academic paper,validated,0.9,Technical analysis of systematic observation improves on oral tradition methodology and results,"V. Kellam, A. Vessk",No formal response received
SA-919-133,Individual Signature Analysis,919,Yeller numbers appear in career transitions,Research notes,qualified,0.68,Technical analysis of yeller numbers appear in career transitions methodology and results,"V. Kellam (primary), P. Senth",Partial agreement expressed
SA-919-134,Individual Signature Analysis,919,Self-analysis methodology is replicable,Technical documentation,qualified,0.75,Technical analysis of self-analysis methodology is replicable methodology and results,P. Senth,Strong disagreement registered
SA-919-136,Individual Signature Analysis,919,Archetype vocabulary aids policy discussion,Policy memo,validated,0.75,Technical analysis of archetype vocabulary aids policy discussion methodology and results,A. Vessk,Partial agreement expressed
SA-920-001,Predictive Cartography,920,Historical validation achieves 91% accuracy,Cartographer's Guild documentation,qualified,0.65,91% impressive but uses same data that could have informed model construction; alternative models achieve 78%; improvement over extrapolation is real but magnitude unclear,"V. Kellam (primary), M. Rostak, P. Senth, A. Vessk",Guild invited further collaboration
SA-920-002,Predictive Cartography,920,Method can predict spatial instability decades in advance,Keth manuscripts via Guild translation,unfalsifiable,0.5,No conditions specified under which prediction would be falsified; cannot determine if visionary or unfalsifiable,V. Kellam,Guild invited further collaboration
SA-920-003,Predictive Cartography,920,Capital may enter unstable zone by Year 1000,Guild's Keth translation,unfalsifiable,0.4,"If true, most important finding in cartographic history; if false, irresponsible fear-mongering; we cannot determine which",V. Kellam,Guild invited further collaboration
SA-920-110,Pattern Book,920,Correlation data identifies high-risk conditions,Field reports,qualified,0.7,Technical analysis of correlation data identifies high-risk conditions methodology and results,V. Kellam,Strong disagreement registered
SA-920-112,Pattern Book,920,Model generalizes across Quarry regions,Technical documentation,overstated,0.68,Technical analysis of model generalizes across quarry regions methodology and results,"P. Senth (primary), V. Kellam",Partial agreement expressed
SA-920-115,Predictive Cartography,920,Keth's mathematics are internally consistent,Guild documentation,validated,0.84,Technical analysis of keth's mathematics are internally consistent methodology and results,"P. Senth, A. Vessk",Strong disagreement registered
SA-920-135,Individual Signature Analysis,920,Bagbu data provides representative trader sample,Census records,validated,0.83,Technical analysis of bagbu data provides representative trader sample methodology and results,"V. Kellam (primary), P. Senth, A. Vessk",Partial agreement expressed
SA-921-001,Simulated Citizens,921,Predictive models can identify at-risk students,Klutch CC initiative proposal,qualified,0.8,72% accuracy for 'standard' students; 34% for 'non-standard' trajectories; cases most needing prediction are precisely those resisting it,"P. Senth (technical), A. Vessk (context)",Project terminated; no institutional response
SA-921-002,Simulated Citizens,921,Early intervention improves outcomes,Klutch CC initiative proposal,unfalsifiable,0.7,"Intervention paradox: if intervention causes success, original prediction not validated; if student would have succeeded anyway, intervention unnecessary; cannot distinguish",V. Kellam,Project terminated; no institutional response
SA-921-003,Simulated Citizens,921,System can model individual student trajectories,Technical documentation,debunked,0.9,"JK-3847 case: 0% model accuracy, 12 anomalies logged, 7 of 12 interventions counterproductive; model assumes goal-directed behavior which not all exhibit","P. Senth, A. Vessk",Project terminated; Crost published reflective paper
SA-921-116,Predictive Cartography,921,Method accounts for observer effects,Guild documentation,debunked,0.75,Technical analysis of method accounts for observer effects methodology and results,"P. Senth (primary), V. Kellam",Developer acknowledged concerns
SA-921-119,Predictive Cartography,921,Recovered manuscripts are authentic Keth work,Archive collaboration,qualified,0.69,Technical analysis of recovered manuscripts are authentic keth work methodology and results,"V. Kellam (primary), P. Senth, A. Vessk",Developer acknowledged concerns
SA-921-121,Simulated Citizens,921,Observation data can inform intervention timing,Technical documentation,qualified,0.68,Technical analysis of observation data can inform intervention timing methodology and results,"V. Kellam, A. Vessk",Institution declined to comment
SA-921-122,Simulated Citizens,921,Anomaly detection identifies at-risk students,Model specification,overstated,0.72,Technical analysis of anomaly detection identifies at-risk students methodology and results,"P. Senth (primary), V. Kellam",Developer acknowledged concerns
SA-921-132,Individual Signature Analysis,921,Career archetypes extend journey methodology,Academic paper,validated,0.8,Technical analysis of career archetypes extend journey methodology methodology and results,"V. Kellam (primary), P. Senth",Response invited dialogue
SA-922-001,Autonomous Expeditions,922,Protocol-guided expeditions show 12% reduction in failure rates,Capital Exploration Office,qualified,0.85,12% is relative improvement (17.1% to 14.3% = 2.8 points); absolute improvement is 2.8 percentage points in stable territory only,"V. Kellam (primary), P. Senth, A. Vessk",Drusk acknowledged clarification on relative vs absolute needed
SA-922-002,Autonomous Expeditions,922,Protocol v1.0 prevents errors that kill experienced crews,Protocol field manual,debunked,0.92,A-3 disaster: three deaths in boundary territory where Protocol was followed exactly; Protocol designed for stable conditions failed catastrophically in unstable territory,V. Kellam,Drusk accepted critique; joined revision team
SA-922-003,Autonomous Expeditions,922,Protocol v2.0 recognizes territorial stability tiers,Revised field manual,validated,0.8,Tiered system demonstrates genuine learning from A-3; Unknown Unknown Rule institutionalizes intuition; system now knows its limits,"V. Kellam, A. Vessk",Drusk appreciated fair assessment
SA-922-117,Predictive Cartography,922,Boundary drift acceleration is measurable,Survey reports,qualified,0.58,Technical analysis of boundary drift acceleration is measurable methodology and results,P. Senth,Partial agreement expressed
SA-922-118,Predictive Cartography,922,Historical fit exceeds alternative models,Technical analysis,validated,0.79,Technical analysis of historical fit exceeds alternative models methodology and results,M. Rostak,Developer acknowledged concerns
SA-922-120,Predictive Cartography,922,Predictions are testable on decadal timescales,Guild documentation,debunked,0.63,Technical analysis of predictions are testable on decadal timescales methodology and results,V. Kellam,Developer acknowledged concerns
SA-922-124,Simulated Citizens,922,Fountain group members show correlated behavior,Anomaly reports,qualified,0.54,Technical analysis of fountain group members show correlated behavior methodology and results,"V. Kellam (primary), P. Senth, A. Vessk",Partial agreement expressed
SA-922-125,Simulated Citizens,922,Model distinguishes goal-directed from other trajectories,Technical documentation,debunked,0.87,Technical analysis of model distinguishes goal-directed from other trajectories methodology and results,"V. Kellam, A. Vessk",Partial agreement expressed
SA-922-128,Autonomous Expeditions,922,Tier 3 guidance provides useful reference,Field manual,qualified,0.73,Technical analysis of tier 3 guidance provides useful reference methodology and results,"V. Kellam, A. Vessk",Partial agreement expressed
SA-922-129,Autonomous Expeditions,922,Discovery Mandate protects serendipity,Protocol v2.0,validated,0.79,Technical analysis of discovery mandate protects serendipity methodology and results,"P. Senth, A. Vessk",Partial agreement expressed
SA-923-123,Simulated Citizens,923,Behavioral prediction improves over time,Progress reports,debunked,0.82,Technical analysis of behavioral prediction improves over time methodology and results,"P. Senth, A. Vessk",Developer acknowledged concerns
SA-923-126,Autonomous Expeditions,923,Decision trees encode expert knowledge,Field manual,validated,0.84,Technical analysis of decision trees encode expert knowledge methodology and results,A. Vessk,Partial agreement expressed
SA-923-127,Autonomous Expeditions,923,Override documentation improves learning,Training guide,validated,0.84,Technical analysis of override documentation improves learning methodology and results,V. Kellam,No formal response received
SA-923-130,Autonomous Expeditions,923,Unknown Unknown Rule reduces false confidence,Revision report,validated,0.87,Technical analysis of unknown unknown rule reduces false confidence methodology and results,V. Kellam,Strong disagreement registered
SA-924-131,Autonomous Expeditions,924,Kellith's A-3 lessons are systematically incorporated,Training guide,validated,0.81,Technical analysis of kellith's a-3 lessons are systematically incorporated methodology and results,"V. Kellam (primary), P. Senth, A. Vessk",Institution declined to comment
