contribution_id,survey_team,region,contribution_type,local_sample_size,local_model_accuracy,gradient_shared,raw_data_shared,method_details_shared,central_model_improvement,privacy_preserved,team_credit,subsequent_local_benefit
FSC-0081,River Delta Squad,Coastal Zones,route_safety,186,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0082,Inland Basin Unit,Levin-Aragon Basin,route_safety,160,0.83,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0083,Dens Inner Ring Team,Dens Periphery,terrain_classification,65,0.61,true,false,false,0.08,true,named_contribution,0.26
FSC-0084,Metropolitan Survey,Capital Region,route_safety,268,0.92,true,false,false,0.02,true,anonymous,0.07
FSC-0085,Coastal Trade Mappers,Southern Markets,terrain_classification,132,0.79,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0086,Alpine Survey Corps,Northern Territories,route_safety,98,0.79,true,false,false,0.04,true,named_contribution,0.15
FSC-0087,Basin Perimeter Team,Levin-Aragon Basin,landmark_update,150,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0088,Dens Gradient Unit,Dens Periphery,route_safety,69,0.64,true,false,false,0.07,true,named_contribution,0.23
FSC-0089,Heritage Survey Division,Capital Region,terrain_classification,242,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0090,Estuary Mapping Crew,Coastal Zones,landmark_update,180,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0091,Caravan Route Scouts,Southern Markets,route_safety,120,0.78,true,false,false,0.04,true,named_contribution,0.15
FSC-0092,Glacier Survey Team,Northern Territories,terrain_classification,84,0.77,true,false,false,0.05,true,aggregate_acknowledgment,0.17
FSC-0093,Central Basin Corps,Levin-Aragon Basin,terrain_classification,170,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0094,Dens Threshold Unit,Dens Periphery,landmark_update,75,0.67,true,false,false,0.06,true,named_contribution,0.20
FSC-0095,Civic Survey Brigade,Capital Region,route_safety,258,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0096,Island Chain Mappers,Coastal Zones,route_safety,168,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0097,Desert Edge Scouts,Southern Markets,landmark_update,104,0.76,true,false,false,0.05,true,named_contribution,0.17
FSC-0098,Tundra Survey Squad,Northern Territories,landmark_update,80,0.76,true,false,false,0.05,true,named_contribution,0.17
FSC-0099,Lower Basin Team,Levin-Aragon Basin,terrain_classification,144,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0100,Dens Margin Corps,Dens Periphery,terrain_classification,70,0.63,true,false,false,0.07,true,named_contribution,0.23
FSC-0101,Northern Basin Team,Levin-Aragon Basin,terrain_classification,162,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0102,Dens Border Unit,Dens Periphery,route_safety,92,0.72,true,false,false,0.05,true,named_contribution,0.17
FSC-0103,Capital Survey Corps,Capital Region,landmark_update,238,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0104,Coastal Mapping Division,Coastal Zones,terrain_classification,182,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0105,Southern Route Scouts,Southern Markets,route_safety,116,0.79,true,false,false,0.04,true,named_contribution,0.15
FSC-0106,Mountain Survey Squad,Northern Territories,landmark_update,100,0.82,true,false,false,0.04,true,aggregate_acknowledgment,0.13
FSC-0107,Eastern Boundary Team,Levin-Aragon Basin,terrain_classification,149,0.85,true,false,false,0.03,true,named_contribution,0.12
FSC-0108,Dens Approach Unit,Dens Periphery,route_safety,78,0.69,true,false,false,0.06,true,named_contribution,0.19
FSC-0109,Archive Survey Support,Capital Region,landmark_update,270,0.93,true,false,false,0.02,true,anonymous,0.07
FSC-0110,Harbor Mapping Crew,Coastal Zones,terrain_classification,192,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0111,Trade Route Surveyors,Southern Markets,route_safety,138,0.81,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0112,Highland Expedition Unit,Northern Territories,terrain_classification,89,0.79,true,false,false,0.05,true,named_contribution,0.16
FSC-0113,Western Basin Scouts,Levin-Aragon Basin,terrain_classification,166,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0114,Dens Proximity Team,Dens Periphery,route_safety,84,0.70,true,false,false,0.05,true,named_contribution,0.18
FSC-0115,Central Archive Corps,Capital Region,landmark_update,248,0.92,true,false,false,0.02,true,anonymous,0.08
FSC-0116,Peninsula Mapping Unit,Coastal Zones,terrain_classification,170,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0117,Market Corridor Scouts,Southern Markets,route_safety,126,0.79,true,false,false,0.04,true,aggregate_acknowledgment,0.15
FSC-0118,Northern Peak Survey,Northern Territories,terrain_classification,94,0.80,true,false,false,0.04,true,named_contribution,0.15
FSC-0119,Basin Core Team,Levin-Aragon Basin,terrain_classification,161,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0120,Dens Outer Ring Unit,Dens Periphery,route_safety,87,0.71,true,false,false,0.05,true,named_contribution,0.18
FSC-0121,River Delta Squad,Coastal Zones,landmark_update,198,0.88,true,false,false,0.02,true,aggregate_acknowledgment,0.10
FSC-0122,Inland Basin Unit,Levin-Aragon Basin,landmark_update,172,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0123,Dens Inner Ring Team,Dens Periphery,landmark_update,66,0.62,true,false,false,0.08,true,named_contribution,0.25
FSC-0124,Metropolitan Survey,Capital Region,terrain_classification,280,0.94,true,false,false,0.01,true,anonymous,0.06
FSC-0125,Coastal Trade Mappers,Southern Markets,landmark_update,140,0.80,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0126,Alpine Survey Corps,Northern Territories,landmark_update,104,0.82,true,false,false,0.04,true,named_contribution,0.13
FSC-0127,Basin Perimeter Team,Levin-Aragon Basin,terrain_classification,158,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0128,Dens Gradient Unit,Dens Periphery,landmark_update,72,0.64,true,false,false,0.07,true,named_contribution,0.23
FSC-0129,Heritage Survey Division,Capital Region,landmark_update,254,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0130,Estuary Mapping Crew,Coastal Zones,terrain_classification,194,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0131,Caravan Route Scouts,Southern Markets,terrain_classification,118,0.78,true,false,false,0.04,true,named_contribution,0.15
FSC-0132,Glacier Survey Team,Northern Territories,route_safety,88,0.78,true,false,false,0.05,true,aggregate_acknowledgment,0.16
FSC-0133,Central Basin Corps,Levin-Aragon Basin,route_safety,168,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0134,Dens Threshold Unit,Dens Periphery,terrain_classification,76,0.66,true,false,false,0.06,true,named_contribution,0.21
FSC-0135,Civic Survey Brigade,Capital Region,landmark_update,262,0.92,true,false,false,0.02,true,anonymous,0.07
FSC-0136,Island Chain Mappers,Coastal Zones,terrain_classification,178,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0137,Desert Edge Scouts,Southern Markets,route_safety,110,0.77,true,false,false,0.05,true,named_contribution,0.16
FSC-0138,Tundra Survey Squad,Northern Territories,terrain_classification,86,0.78,true,false,false,0.05,true,named_contribution,0.16
FSC-0139,Lower Basin Team,Levin-Aragon Basin,landmark_update,150,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0140,Dens Margin Corps,Dens Periphery,route_safety,74,0.65,true,false,false,0.07,true,named_contribution,0.22
FSC-0141,Northern Basin Team,Levin-Aragon Basin,route_safety,158,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0142,Dens Border Unit,Dens Periphery,terrain_classification,80,0.67,true,false,false,0.06,true,named_contribution,0.20
FSC-0143,Capital Survey Corps,Capital Region,route_safety,232,0.90,true,false,false,0.02,true,anonymous,0.09
FSC-0144,Coastal Mapping Division,Coastal Zones,landmark_update,186,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0145,Southern Route Scouts,Southern Markets,terrain_classification,122,0.79,true,false,false,0.04,true,named_contribution,0.14
FSC-0146,Mountain Survey Squad,Northern Territories,route_safety,96,0.80,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0147,Eastern Boundary Team,Levin-Aragon Basin,route_safety,152,0.83,true,false,false,0.03,true,named_contribution,0.12
FSC-0148,Dens Approach Unit,Dens Periphery,terrain_classification,74,0.65,true,false,false,0.07,true,named_contribution,0.22
FSC-0149,Archive Survey Support,Capital Region,terrain_classification,264,0.92,true,false,false,0.02,true,anonymous,0.07
FSC-0150,Harbor Mapping Crew,Coastal Zones,route_safety,184,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0151,Trade Route Surveyors,Southern Markets,landmark_update,134,0.80,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0152,Highland Expedition Unit,Northern Territories,route_safety,92,0.79,true,false,false,0.05,true,named_contribution,0.16
FSC-0153,Western Basin Scouts,Levin-Aragon Basin,route_safety,160,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0154,Dens Proximity Team,Dens Periphery,landmark_update,82,0.69,true,false,false,0.06,true,named_contribution,0.19
FSC-0155,Central Archive Corps,Capital Region,route_safety,252,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0156,Peninsula Mapping Unit,Coastal Zones,landmark_update,174,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0157,Market Corridor Scouts,Southern Markets,terrain_classification,130,0.79,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0158,Northern Peak Survey,Northern Territories,route_safety,98,0.80,true,false,false,0.04,true,named_contribution,0.15
FSC-0159,Basin Core Team,Levin-Aragon Basin,route_safety,164,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0160,Dens Outer Ring Unit,Dens Periphery,terrain_classification,84,0.68,true,false,false,0.06,true,named_contribution,0.20
FSC-0161,River Delta Squad,Coastal Zones,route_safety,200,0.88,true,false,false,0.02,true,aggregate_acknowledgment,0.10
FSC-0162,Inland Basin Unit,Levin-Aragon Basin,route_safety,174,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0163,Dens Inner Ring Team,Dens Periphery,route_safety,64,0.60,true,false,false,0.08,true,named_contribution,0.27
FSC-0164,Metropolitan Survey,Capital Region,route_safety,278,0.93,true,false,false,0.01,true,anonymous,0.06
FSC-0165,Coastal Trade Mappers,Southern Markets,route_safety,144,0.81,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0166,Alpine Survey Corps,Northern Territories,route_safety,106,0.81,true,false,false,0.04,true,named_contribution,0.14
FSC-0167,Basin Perimeter Team,Levin-Aragon Basin,route_safety,162,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0168,Dens Gradient Unit,Dens Periphery,route_safety,70,0.63,true,false,false,0.07,true,named_contribution,0.24
FSC-0169,Heritage Survey Division,Capital Region,route_safety,260,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0170,Estuary Mapping Crew,Coastal Zones,route_safety,196,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0171,Caravan Route Scouts,Southern Markets,route_safety,124,0.79,true,false,false,0.04,true,named_contribution,0.15
FSC-0172,Glacier Survey Team,Northern Territories,terrain_classification,90,0.79,true,false,false,0.05,true,aggregate_acknowledgment,0.16
FSC-0173,Central Basin Corps,Levin-Aragon Basin,landmark_update,174,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0174,Dens Threshold Unit,Dens Periphery,route_safety,78,0.67,true,false,false,0.06,true,named_contribution,0.21
FSC-0175,Civic Survey Brigade,Capital Region,route_safety,266,0.92,true,false,false,0.02,true,anonymous,0.07
FSC-0176,Island Chain Mappers,Coastal Zones,landmark_update,182,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0177,Desert Edge Scouts,Southern Markets,landmark_update,112,0.77,true,false,false,0.04,true,named_contribution,0.16
FSC-0178,Tundra Survey Squad,Northern Territories,landmark_update,84,0.77,true,false,false,0.05,true,named_contribution,0.17
FSC-0179,Lower Basin Team,Levin-Aragon Basin,landmark_update,156,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0180,Dens Margin Corps,Dens Periphery,landmark_update,76,0.66,true,false,false,0.06,true,named_contribution,0.21
