matrix_id,context,source_1,source_2,source_3,source_4,target_1,target_2,target_3,target_4,observer,year,notes
ATT-008-R3,sentence_parsing,word_object,,,role_agent,0.10,0.10,0.75,0.05,corren_moll,958,Objects map to patients
ATT-008-R4,sentence_parsing,word_modifier,,,role_agent,0.05,0.15,0.10,0.70,corren_moll,958,Modifiers map to manner
ATT-009,self_attention,token_1,token_2,token_3,token_4,token_1,token_2,token_3,token_4,brennet_kell,975,Self-attention pattern (proto-transformer)
ATT-009-R1,self_attention,token_1,,,token_1,0.40,0.25,0.20,0.15,brennet_kell,975,Token 1 attends mostly to self
ATT-009-R2,self_attention,token_2,,,token_1,0.25,0.35,0.25,0.15,brennet_kell,975,Token 2 self-attends and neighbors
ATT-009-R3,self_attention,token_3,,,token_1,0.20,0.25,0.35,0.20,brennet_kell,975,Token 3 similar pattern
ATT-009-R4,self_attention,token_4,,,token_1,0.15,0.15,0.25,0.45,brennet_kell,975,Token 4 attends mostly to self
ATT-010,cross_attention,query_seq_1,query_seq_2,query_seq_3,,key_seq_a,key_seq_b,key_seq_c,,brennet_kell,975,Cross-sequence attention
ATT-010-R1,cross_attention,query_seq_1,,,key_seq_a,0.50,0.30,0.20,,brennet_kell,975,Query 1 focuses on key A
ATT-010-R2,cross_attention,query_seq_2,,,key_seq_a,0.25,0.50,0.25,,brennet_kell,975,Query 2 focuses on key B
ATT-010-R3,cross_attention,query_seq_3,,,key_seq_a,0.20,0.30,0.50,,brennet_kell,975,Query 3 focuses on key C
