trade_journey_id,world_journey_id,trader_id,start_date,end_date,origin_place_id,destination_place_id,goods_primary,goods_secondary,profit_capital_credits,creature_attack_count,scam_count,checkpoint_hassles,note
35,124,trav_0124,2033-06-05,2033-06-16,DENSM_DENSMOK_BUS_,YELLE_BONE_HUSK_MA,contraband,none,3484.12,8,0,6,Trader carrying contraband with side cargo none.
36,128,trav_0128,2037-03-13,2037-03-30,DENSM_OLD_QUARRY_R,NORTH_HOUSE_OF_STO,food,saint_relics,1687.33,1,2,4,Trader carrying food with side cargo saint_relics.
37,129,trav_0129,2036-10-27,2037-01-05,YELLE_TRAP_FIELDS_,YELLE_OLD_ROPE_BRI,contraband,saint_relics,600.38,4,1,2,Trader carrying contraband with side cargo saint_relics.
38,132,trav_0132,2033-12-09,2034-02-17,CAPIT_PAPER_BINDER,CAPIT_CITY_WALL_EA,husks,saint_relics,1195.42,2,1,4,Trader carrying husks with side cargo saint_relics.
39,136,trav_0136,2032-02-26,2032-03-29,YELLE_BONE_HUSK_MA,NORTH_COLLAPSED_CH,contraband,none,678.62,5,1,8,Trader carrying contraband with side cargo none.
40,141,trav_0141,2035-12-09,2035-12-28,YELLE_QUARRY_RIM_S,CAPIT_CENTRAL_ARCH,husks,cheap_gifts,1573.8,4,1,6,Trader carrying husks with side cargo cheap_gifts.
41,148,trav_0148,2038-05-01,2038-05-22,DENSM_OLD_QUARRY_R,DEADR_DEAD_RIVER_W,food,letters,2505.55,2,0,4,Trader carrying food with side cargo letters.
42,155,trav_0155,2035-08-18,2035-10-30,CAPIT_DEADRIVER_FE,MIRAD_MIRADO_CAMPG,maps,children_rumor,2033.21,2,0,8,Trader carrying maps with side cargo children_rumor.
43,158,trav_0158,2035-01-26,2035-02-22,DENSM_DENSMOK_HILL,DEADR_BROKEN_DEADR,husks,saint_relics,1961.47,3,0,4,Trader carrying husks with side cargo saint_relics.
44,162,trav_0162,2033-03-22,2033-04-02,YELLE_BONE_HUSK_MA,DEADR_DEADRIVER_SH,husks,cheap_gifts,2135.3,3,2,6,Trader carrying husks with side cargo cheap_gifts.
45,163,trav_0163,2037-03-24,2037-04-14,YELLE_BONE_HUSK_MA,YELLE_STALL_TOWN_B,bones,saint_relics,4185.04,9,0,4,Trader carrying bones with side cargo saint_relics.
46,167,trav_0167,2037-10-08,2037-12-12,YELLE_TRAP_FIELDS_,YELLE_BONE_HUSK_MA,food,letters,2701.53,10,1,0,Trader carrying food with side cargo letters.
47,179,trav_0179,2039-11-15,2040-01-15,DENSM_DENSMOK_BUS_,YELLE_QUARRY_RIM_S,husks,cheap_gifts,2463.35,10,2,0,Trader carrying husks with side cargo cheap_gifts.
48,181,trav_0181,2034-02-06,2034-04-11,CAPIT_OUTER_ARCHIV,YELLE_YELLER_GUIDE,ore,letters,753.63,6,0,5,Trader carrying ore with side cargo letters.
49,183,trav_0183,2038-10-25,2038-11-27,CAPIT_PAPER_BINDER,DENSM_OVERPASS_GRA,bones,letters,1909.73,6,2,3,Trader carrying bones with side cargo letters.
50,184,trav_0184,2030-01-15,2030-03-09,CAPIT_KACHOT_CARDH,YELLE_FLOODED_SINK,contraband,cheap_gifts,2412.11,5,2,3,Trader carrying contraband with side cargo cheap_gifts.
51,188,trav_0188,2031-08-21,2031-11-08,DENSM_OLD_QUARRY_R,CAPEA_MIRADO_STICK,ore,saint_relics,3794.51,9,0,5,Trader carrying ore with side cargo saint_relics.
52,190,trav_0190,2037-04-21,2037-06-09,YELLE_QUARRY_RIM_S,DEADR_DEAD_RIVER_W,bones,none,888.44,8,2,2,Trader carrying bones with side cargo none.
53,193,trav_0193,2035-07-11,2035-08-29,YELLE_YELLER_QUARR,CAPEA_MIRADO_STICK,bones,none,2994.03,6,2,2,Trader carrying bones with side cargo none.
54,194,trav_0194,2031-10-21,2031-12-12,DENSM_DENSMOK_STRI,YELLE_TRAP_FIELDS_,bones,children_rumor,929.98,4,0,2,Trader carrying bones with side cargo children_rumor.
55,197,trav_0197,2031-03-04,2031-03-22,YELLE_TRAP_FIELDS_,DEADR_FERRYMANS_DO,maps,none,2137.9,3,1,4,Trader carrying maps with side cargo none.
56,199,trav_0199,2033-07-09,2033-08-24,CAPIT_CITY_WALL_QU,CAPIT_DEADRIVER_FE,food,letters,1963.76,0,1,4,Trader carrying food with side cargo letters.
57,200,trav_0200,2036-12-02,2036-12-12,CAPIT_CAPITAL_TRAI,DEADR_DEADRIVER_SH,bones,letters,1803.44,3,1,3,Trader carrying bones with side cargo letters.
58,204,trav_0204,2036-05-18,2036-07-22,CAPIT_DEADRIVER_FE,MIRAD_TOWER_LEVEL_,ore,letters,2445.1,2,1,1,Trader carrying ore with side cargo letters.
59,206,trav_0206,2035-10-15,2035-12-03,CAPIT_SENATE_SQUAR,MIRAD_MIRADO_STICK,husks,letters,1665.5,1,0,5,Trader carrying husks with side cargo letters.
60,207,trav_0207,2032-06-14,2032-06-28,CAPIT_CAPITAL_TRAI,CAPEA_RIVERSLAND_H,maps,saint_relics,287.6,1,0,5,Trader carrying maps with side cargo saint_relics.
61,211,trav_0211,2032-04-12,2032-06-01,YELLE_STALL_TOWN_W,DEADR_DEAD_RIVER_W,contraband,children_rumor,926.88,1,1,6,Trader carrying contraband with side cargo children_rumor.
62,223,trav_0223,2039-10-24,2039-12-22,CAPIT_CAPITAL_TRAI,YELLE_TRAP_FIELDS_,maps,cheap_gifts,2622.54,3,1,5,Trader carrying maps with side cargo cheap_gifts.
63,224,trav_0224,2031-08-15,2031-09-04,DENSM_DENSMOK_HILL,DENSM_SMOKELINE_IN,husks,cheap_gifts,1690.75,5,2,8,Trader carrying husks with side cargo cheap_gifts.
64,226,trav_0226,2033-10-23,2033-12-20,YELLE_TRAP_FIELDS_,MIRAD_TOWER_LEVEL_,bones,saint_relics,548.27,4,0,4,Trader carrying bones with side cargo saint_relics.
65,236,trav_0236,2037-06-19,2037-08-27,YELLE_FLOODED_SINK,MIRAD_MIRADO_CAMPG,contraband,none,1758.43,4,0,4,Trader carrying contraband with side cargo none.
66,237,trav_0237,2035-02-06,2035-04-24,CAPIT_CITY_WALL_QU,DEADR_DEAD_RIVER_W,bones,letters,2802.8,2,1,4,Trader carrying bones with side cargo letters.
67,245,trav_0245,2036-07-10,2036-08-19,YELLE_TRAP_FIELDS_,YELLE_TRAP_FIELDS_,husks,saint_relics,1451.93,5,2,6,Trader carrying husks with side cargo saint_relics.
68,248,trav_0248,2034-09-20,2034-11-11,DENSM_DENSMOK_STRI,CAPIT_SENATE_SQUAR,food,letters,3955.89,6,1,3,Trader carrying food with side cargo letters.
69,261,trav_0261,2035-07-22,2035-09-25,CAPIT_DEADRIVER_FE,MIRAD_MIRADO_STICK,bones,saint_relics,3014.13,0,1,3,Trader carrying bones with side cargo saint_relics.
70,262,trav_0262,2038-05-24,2038-07-01,DENSM_DENSMOK_BUS_,CAPIT_OUTER_ARCHIV,maps,saint_relics,3328.49,4,0,8,Trader carrying maps with side cargo saint_relics.
71,265,trav_0265,2036-05-20,2036-06-14,CAPIT_PAPER_BINDER,DEADR_BROKEN_DEADR,ore,cheap_gifts,2768.54,8,2,3,Trader carrying ore with side cargo cheap_gifts.
72,269,trav_0269,2032-10-08,2032-11-20,CAPIT_CAPITAL_TRAI,MIRAD_MIRADO_GATE_,maps,cheap_gifts,1403.34,3,1,1,Trader carrying maps with side cargo cheap_gifts.
73,271,trav_0271,2031-10-09,2031-12-10,CAPIT_KACHOT_CARDH,CAPIT_CITY_WALL_QU,maps,none,795.2,2,0,6,Trader carrying maps with side cargo none.
74,272,trav_0272,2034-01-19,2034-03-12,CAPIT_SENATE_SQUAR,MIRAD_MIRADO_CAMPG,food,letters,2740.67,5,0,1,Trader carrying food with side cargo letters.
75,283,trav_0283,2036-08-24,2036-09-30,YELLE_YELLER_QUARR,CAPIT_SENATE_SQUAR,food,cheap_gifts,649.08,2,1,1,Trader carrying food with side cargo cheap_gifts.
76,285,trav_0285,2035-03-04,2035-03-15,DENSM_DENSMOK_BUS_,MIRAD_MIRADO_STICK,food,letters,782.57,8,0,5,Trader carrying food with side cargo letters.
77,288,trav_0288,2031-03-04,2031-05-14,DENSM_DENSMOK_BUS_,CAPEA_DEAD_RIVER_O,husks,letters,1455.16,3,1,2,Trader carrying husks with side cargo letters.
78,294,trav_0294,2035-09-12,2035-10-16,YELLE_YELLER_QUARR,CAPEA_CAPEAST_USED,maps,letters,1699.38,6,1,6,Trader carrying maps with side cargo letters.
79,296,trav_0296,2031-10-05,2031-10-31,YELLE_STALL_TOWN_W,YELLE_BONE_HUSK_MA,husks,children_rumor,543.06,4,0,2,Trader carrying husks with side cargo children_rumor.
80,302,trav_0302,2038-05-19,2038-07-23,YELLE_YELLER_QUARR,YELLE_QUARRY_RIM_S,maps,letters,963.85,4,0,0,Trader carrying maps with side cargo letters.
81,303,trav_0303,2036-10-08,2036-10-24,CAPIT_SENATE_SQUAR,NORTH_NORTH_RIDGE_,husks,children_rumor,585.22,1,1,5,Trader carrying husks with side cargo children_rumor.
82,305,trav_0305,2032-02-07,2032-04-16,YELLE_STALL_TOWN_W,YELLE_YELLER_QUARR,maps,letters,2469.31,6,1,2,Trader carrying maps with side cargo letters.
