event_id,journey_id,event_sequence,event_type,event_subtype,day_of_journey,outcome,outcome_impact,is_regulatory
JRN-BAG-0012-E002,JRN-BAG-0012,2,trade_difficulty,market_closure,18,resolved_favorably,0.55,False
JRN-BAG-0012-E005,JRN-BAG-0012,3,creature_attack,unknown,29,resolved_favorably,0.464,True
JRN-BAG-0012-E003,JRN-BAG-0012,4,creature_attack,territorial_bird,31,resolved_favorably,0.329,True
JRN-BAG-0012-E004,JRN-BAG-0012,5,encounter,fellow_trader,38,resolved_favorably,0.73,False
JRN-BAG-0012-E006,JRN-BAG-0012,6,interpersonal,helpful_stranger,55,resolved_favorably,0.659,True
JRN-BAG-0012-E007,JRN-BAG-0012,7,trade_difficulty,weighted_coins,56,resolved_favorably,0.638,False
JRN-BAG-0013-E002,JRN-BAG-0013,1,trade_difficulty,market_closure,1,unresolved,-0.225,False
JRN-BAG-0013-E003,JRN-BAG-0013,2,trade_difficulty,market_closure,7,resolved_favorably,0.464,False
JRN-BAG-0013-E001,JRN-BAG-0013,3,weather,drought,11,unresolved,-0.241,False
JRN-BAG-0013-E004,JRN-BAG-0013,4,interpersonal,local_hospitality,11,resolved_poorly,-0.503,True
JRN-BAG-0013-E006,JRN-BAG-0013,5,encounter,official,15,resolved_poorly,-0.356,False
JRN-BAG-0013-E007,JRN-BAG-0013,6,interpersonal,robbery,21,resolved_favorably,0.232,False
JRN-BAG-0013-E005,JRN-BAG-0013,7,creature_attack,Stakdur,24,resolved_favorably,0.385,False
JRN-BAG-0013-E008,JRN-BAG-0013,8,trade_difficulty,counterfeit_goods,25,unresolved,0.26,True
JRN-BAG-0013-E009,JRN-BAG-0013,9,interpersonal,robbery,35,unresolved,0.095,False
JRN-BAG-0013-E010,JRN-BAG-0013,10,weather,storm,38,resolved_favorably,0.371,False
JRN-BAG-0014-E002,JRN-BAG-0014,1,trade_success,premium_price,2,resolved_poorly,-0.319,True
JRN-BAG-0014-E001,JRN-BAG-0014,2,encounter,local_expert,7,unresolved,-0.111,False
JRN-BAG-0014-E005,JRN-BAG-0014,3,discovery,technique,18,unresolved,0.287,False
JRN-BAG-0014-E003,JRN-BAG-0014,4,trade_success,monopoly_opportunity,24,resolved_favorably,0.711,False
JRN-BAG-0014-E004,JRN-BAG-0014,5,encounter,local_expert,31,resolved_favorably,0.486,False
JRN-BAG-0014-E006,JRN-BAG-0014,6,trade_success,repeat_customer,44,resolved_favorably,0.467,False
JRN-BAG-0014-E007,JRN-BAG-0014,7,delay,illness,45,resolved_favorably,0.207,False
JRN-BAG-0015-E001,JRN-BAG-0015,1,interpersonal,official_harassment,4,resolved_favorably,0.581,True
JRN-BAG-0015-E002,JRN-BAG-0015,2,weather,flooding,7,resolved_poorly,-0.314,False
JRN-BAG-0015-E003,JRN-BAG-0015,3,delay,illness,23,resolved_favorably,0.439,False
JRN-BAG-0015-E006,JRN-BAG-0015,4,delay,lost,28,resolved_favorably,0.427,False
JRN-BAG-0015-E005,JRN-BAG-0015,5,delay,bridge_out,30,resolved_poorly,-0.75,False
JRN-BAG-0015-E007,JRN-BAG-0015,6,delay,bureaucratic,31,resolved_favorably,0.524,False
JRN-BAG-0015-E004,JRN-BAG-0015,7,delay,lost,33,resolved_poorly,-0.749,False
JRN-BAG-0016-E006,JRN-BAG-0016,1,trade_difficulty,scam_attempt,2,resolved_favorably,0.231,True
JRN-BAG-0016-E005,JRN-BAG-0016,2,creature_attack,territorial_bird,8,resolved_favorably,0.406,False
JRN-BAG-0016-E001,JRN-BAG-0016,3,creature_attack,Maw_Beast,11,resolved_poorly,-0.778,True
JRN-BAG-0016-E002,JRN-BAG-0016,4,weather,fog,12,resolved_poorly,-0.688,False
JRN-BAG-0016-E004,JRN-BAG-0016,5,delay,lost,13,resolved_poorly,-0.712,False
JRN-BAG-0016-E007,JRN-BAG-0016,6,creature_attack,Maw_Beast,13,resolved_poorly,-0.662,True
JRN-BAG-0016-E003,JRN-BAG-0016,7,discovery,technique,14,resolved_favorably,0.365,False
JRN-BAG-0016-E008,JRN-BAG-0016,8,delay,bridge_out,21,resolved_poorly,-0.29,False
JRN-BAG-0016-E011,JRN-BAG-0016,9,discovery,information,21,unresolved,0.281,False
JRN-BAG-0016-E010,JRN-BAG-0016,10,creature_attack,unknown,22,unresolved,0.273,False
JRN-BAG-0016-E009,JRN-BAG-0016,11,interpersonal,robbery,26,resolved_poorly,-0.574,True
JRN-BAG-0016-E013,JRN-BAG-0016,12,encounter,official,39,unresolved,-0.121,False
JRN-BAG-0016-E012,JRN-BAG-0016,13,discovery,opportunity,44,unresolved,0.051,False
JRN-BAG-0017-E001,JRN-BAG-0017,1,trade_success,rare_goods_found,11,resolved_favorably,0.565,True
JRN-BAG-0017-E002,JRN-BAG-0017,2,discovery,information,29,resolved_poorly,-0.293,False
JRN-BAG-0017-E003,JRN-BAG-0017,3,discovery,technique,43,unresolved,-0.049,False
JRN-BAG-0018-E001,JRN-BAG-0018,1,weather,drought,3,resolved_favorably,0.677,False
JRN-BAG-0018-E002,JRN-BAG-0018,2,interpersonal,helpful_stranger,5,resolved_favorably,0.551,True
JRN-BAG-0018-E003,JRN-BAG-0018,3,encounter,desperate_person,14,resolved_favorably,0.333,True
JRN-BAG-0018-E004,JRN-BAG-0018,4,interpersonal,guide_betrayal,25,resolved_favorably,0.574,False
JRN-BAG-0018-E005,JRN-BAG-0018,5,trade_difficulty,scam_attempt,29,resolved_favorably,0.412,True
JRN-BAG-0018-E007,JRN-BAG-0018,6,interpersonal,official_harassment,34,resolved_favorably,0.518,False
JRN-BAG-0018-E006,JRN-BAG-0018,7,creature_attack,Stakdur,39,resolved_favorably,0.538,True
JRN-BAG-0018-E008,JRN-BAG-0018,8,trade_difficulty,counterfeit_goods,45,resolved_favorably,0.308,True
JRN-BAG-0019-E003,JRN-BAG-0019,1,encounter,local_expert,6,resolved_favorably,0.77,True
JRN-BAG-0019-E001,JRN-BAG-0019,2,interpersonal,local_hospitality,9,resolved_favorably,0.708,False
JRN-BAG-0019-E002,JRN-BAG-0019,3,delay,bridge_out,12,resolved_poorly,-0.345,False
JRN-BAG-0019-E005,JRN-BAG-0019,4,creature_attack,unknown,27,resolved_poorly,-0.366,False
JRN-BAG-0019-E006,JRN-BAG-0019,5,creature_attack,territorial_bird,27,resolved_favorably,0.398,False
JRN-BAG-0019-E004,JRN-BAG-0019,6,trade_difficulty,price_collapse,32,resolved_poorly,-0.593,True
JRN-BAG-0019-E008,JRN-BAG-0019,7,creature_attack,swarm,47,unresolved,0.223,False
JRN-BAG-0019-E007,JRN-BAG-0019,8,weather,storm,49,resolved_poorly,-0.798,False
JRN-BAG-0019-E009,JRN-BAG-0019,9,weather,extreme_heat,49,unresolved,0.164,False
JRN-BAG-0020-E002,JRN-BAG-0020,1,weather,extreme_heat,1,resolved_favorably,0.704,False
JRN-BAG-0020-E003,JRN-BAG-0020,2,creature_attack,unknown,12,unresolved,-0.037,True
JRN-BAG-0020-E001,JRN-BAG-0020,3,trade_difficulty,counterfeit_goods,13,resolved_poorly,-0.704,True
JRN-BAG-0020-E005,JRN-BAG-0020,4,interpersonal,official_harassment,22,resolved_poorly,-0.602,False
JRN-BAG-0020-E004,JRN-BAG-0020,5,trade_success,monopoly_opportunity,25,resolved_favorably,0.517,False
JRN-BAG-0020-E006,JRN-BAG-0020,6,discovery,opportunity,30,resolved_favorably,0.626,True
JRN-BAG-0020-E007,JRN-BAG-0020,7,delay,border_closure,35,resolved_favorably,0.591,False
JRN-BAG-0021-E001,JRN-BAG-0021,1,discovery,opportunity,26,resolved_poorly,-0.504,False
JRN-BAG-0021-E003,JRN-BAG-0021,2,encounter,official,48,resolved_favorably,0.449,False
JRN-BAG-0021-E002,JRN-BAG-0021,3,encounter,fellow_trader,54,resolved_favorably,0.518,False
JRN-BAG-0022-E001,JRN-BAG-0022,1,encounter,fellow_trader,1,resolved_poorly,-0.366,False
JRN-BAG-0022-E002,JRN-BAG-0022,2,discovery,warning,6,resolved_favorably,0.4,True
JRN-BAG-0022-E004,JRN-BAG-0022,3,delay,bureaucratic,18,resolved_poorly,-0.565,False
JRN-BAG-0022-E003,JRN-BAG-0022,4,trade_difficulty,buyer_default,20,unresolved,-0.175,False
JRN-BAG-0022-E005,JRN-BAG-0022,5,trade_difficulty,buyer_default,31,resolved_favorably,0.536,False
JRN-BAG-0022-E006,JRN-BAG-0022,6,trade_success,repeat_customer,34,resolved_favorably,0.363,False
JRN-BAG-0022-E009,JRN-BAG-0022,7,weather,fog,46,resolved_favorably,0.569,False
JRN-BAG-0022-E007,JRN-BAG-0022,8,interpersonal,local_hospitality,52,unresolved,-0.24,False
JRN-BAG-0022-E008,JRN-BAG-0022,9,encounter,desperate_person,61,resolved_favorably,0.403,False
JRN-BAG-0023-E003,JRN-BAG-0023,1,trade_difficulty,price_collapse,1,resolved_poorly,-0.447,False
JRN-BAG-0023-E001,JRN-BAG-0023,2,interpersonal,robbery,3,resolved_favorably,0.743,True
JRN-BAG-0023-E004,JRN-BAG-0023,3,trade_difficulty,counterfeit_goods,3,resolved_favorably,0.655,False
JRN-BAG-0023-E002,JRN-BAG-0023,4,encounter,fellow_trader,5,resolved_poorly,-0.224,False
JRN-BAG-0023-E005,JRN-BAG-0023,5,delay,border_closure,16,resolved_favorably,0.521,False
JRN-BAG-0023-E006,JRN-BAG-0023,6,trade_success,premium_price,33,resolved_favorably,0.299,False
JRN-BAG-0023-E007,JRN-BAG-0023,7,weather,fog,33,resolved_poorly,-0.22,True
JRN-BAG-0023-E009,JRN-BAG-0023,8,weather,cold_snap,34,resolved_favorably,0.208,False
JRN-BAG-0023-E008,JRN-BAG-0023,9,interpersonal,helpful_stranger,38,resolved_poorly,-0.388,True
JRN-BAG-0024-E002,JRN-BAG-0024,1,trade_difficulty,price_collapse,3,resolved_poorly,-0.221,False
JRN-BAG-0024-E004,JRN-BAG-0024,2,trade_difficulty,price_collapse,6,resolved_poorly,-0.416,False
JRN-BAG-0024-E001,JRN-BAG-0024,3,creature_attack,Maw_Beast,10,unresolved,0.266,True
JRN-BAG-0024-E003,JRN-BAG-0024,4,trade_difficulty,price_collapse,10,resolved_poorly,-0.598,False
JRN-BAG-0024-E005,JRN-BAG-0024,5,weather,fog,11,resolved_poorly,-0.423,True
JRN-BAG-0024-E006,JRN-BAG-0024,6,trade_difficulty,market_closure,17,resolved_favorably,0.524,False
JRN-BAG-0024-E009,JRN-BAG-0024,7,interpersonal,official_harassment,29,resolved_favorably,0.628,True
JRN-BAG-0024-E007,JRN-BAG-0024,8,weather,drought,32,resolved_poorly,-0.341,False
JRN-BAG-0024-E008,JRN-BAG-0024,9,interpersonal,helpful_stranger,32,resolved_favorably,0.326,False
JRN-BAG-0025-E002,JRN-BAG-0025,1,creature_attack,swarm,6,unresolved,0.275,True
JRN-BAG-0025-E001,JRN-BAG-0025,2,interpersonal,helpful_stranger,10,resolved_favorably,0.667,True
JRN-BAG-0025-E003,JRN-BAG-0025,3,weather,cold_snap,15,resolved_favorably,0.631,True
JRN-BAG-0025-E005,JRN-BAG-0025,4,weather,cold_snap,26,resolved_poorly,-0.721,False
JRN-BAG-0025-E004,JRN-BAG-0025,5,weather,fog,41,resolved_favorably,0.279,False
JRN-BAG-0025-E007,JRN-BAG-0025,6,weather,storm,56,resolved_favorably,0.768,False
JRN-BAG-0025-E006,JRN-BAG-0025,7,weather,cold_snap,67,resolved_favorably,0.629,True
JRN-BAG-0026-E001,JRN-BAG-0026,1,discovery,information,3,resolved_favorably,0.385,True
JRN-BAG-0026-E004,JRN-BAG-0026,2,delay,equipment_failure,4,resolved_poorly,-0.68,True
JRN-BAG-0026-E006,JRN-BAG-0026,3,trade_difficulty,price_collapse,5,resolved_favorably,0.731,True
JRN-BAG-0026-E007,JRN-BAG-0026,4,creature_attack,Stakdur,5,resolved_favorably,0.386,False
JRN-BAG-0026-E002,JRN-BAG-0026,5,discovery,information,7,resolved_favorably,0.462,False
JRN-BAG-0026-E003,JRN-BAG-0026,6,discovery,shortcut,9,unresolved,0.17,False
JRN-BAG-0026-E005,JRN-BAG-0026,7,delay,bridge_out,10,resolved_favorably,0.533,True
JRN-BAG-0026-E009,JRN-BAG-0026,8,trade_difficulty,counterfeit_goods,25,resolved_poorly,-0.409,False
JRN-BAG-0026-E011,JRN-BAG-0026,9,discovery,opportunity,26,unresolved,-0.156,True
JRN-BAG-0026-E010,JRN-BAG-0026,10,delay,bureaucratic,28,unresolved,-0.171,False
JRN-BAG-0026-E012,JRN-BAG-0026,11,discovery,valuable_site,32,unresolved,-0.27,True
JRN-BAG-0026-E008,JRN-BAG-0026,12,trade_difficulty,scam_attempt,33,resolved_poorly,-0.659,False
JRN-BAG-0026-E014,JRN-BAG-0026,13,interpersonal,official_harassment,50,unresolved,0.065,False
JRN-BAG-0026-E013,JRN-BAG-0026,14,discovery,shortcut,57,resolved_favorably,0.774,False
JRN-BAG-0027-E004,JRN-BAG-0027,1,creature_attack,night_crawler,4,unresolved,0.14,True
JRN-BAG-0027-E001,JRN-BAG-0027,2,interpersonal,companion_conflict,6,resolved_poorly,-0.281,True
JRN-BAG-0027-E002,JRN-BAG-0027,3,creature_attack,night_crawler,19,unresolved,-0.255,True
JRN-BAG-0027-E003,JRN-BAG-0027,4,delay,illness,19,resolved_poorly,-0.328,False
JRN-BAG-0027-E007,JRN-BAG-0027,5,creature_attack,unknown,27,resolved_poorly,-0.416,False
JRN-BAG-0027-E006,JRN-BAG-0027,6,weather,storm,31,resolved_favorably,0.315,False
JRN-BAG-0027-E005,JRN-BAG-0027,7,trade_difficulty,price_collapse,36,resolved_poorly,-0.473,False
JRN-BAG-0027-E008,JRN-BAG-0027,8,weather,cold_snap,46,resolved_poorly,-0.611,False
JRN-BAG-0027-E009,JRN-BAG-0027,9,interpersonal,local_hospitality,48,resolved_poorly,-0.305,True
JRN-BAG-0027-E010,JRN-BAG-0027,10,delay,bureaucratic,49,unresolved,0.072,False
JRN-BAG-0028-E001,JRN-BAG-0028,1,delay,bridge_out,5,resolved_poorly,-0.34,False
JRN-BAG-0028-E002,JRN-BAG-0028,2,weather,cold_snap,31,resolved_favorably,0.672,False
JRN-BAG-0028-E003,JRN-BAG-0028,3,interpersonal,robbery,37,resolved_poorly,-0.241,False
JRN-BAG-0028-E008,JRN-BAG-0028,4,creature_attack,unknown,49,unresolved,0.05,False
JRN-BAG-0028-E009,JRN-BAG-0028,5,interpersonal,robbery,56,resolved_poorly,-0.635,False
JRN-BAG-0028-E006,JRN-BAG-0028,6,discovery,information,59,unresolved,-0.14,True
JRN-BAG-0028-E004,JRN-BAG-0028,7,encounter,desperate_person,66,resolved_poorly,-0.576,False
JRN-BAG-0028-E005,JRN-BAG-0028,8,trade_difficulty,counterfeit_goods,71,resolved_poorly,-0.291,False
JRN-BAG-0028-E007,JRN-BAG-0028,9,trade_difficulty,weighted_coins,72,unresolved,-0.18,False
JRN-BAG-0029-E001,JRN-BAG-0029,1,interpersonal,official_harassment,9,resolved_favorably,0.42,False
JRN-BAG-0029-E002,JRN-BAG-0029,2,weather,extreme_heat,17,resolved_poorly,-0.335,False
JRN-BAG-0029-E003,JRN-BAG-0029,3,interpersonal,helpful_stranger,22,unresolved,-0.045,False
JRN-BAG-0029-E004,JRN-BAG-0029,4,interpersonal,guide_betrayal,22,resolved_favorably,0.701,False
JRN-BAG-0029-E006,JRN-BAG-0029,5,creature_attack,unknown,40,unresolved,-0.222,True
JRN-BAG-0029-E005,JRN-BAG-0029,6,trade_difficulty,counterfeit_goods,46,resolved_favorably,0.533,False
JRN-BAG-0030-E004,JRN-BAG-0030,1,interpersonal,helpful_stranger,2,resolved_favorably,0.732,True
JRN-BAG-0030-E001,JRN-BAG-0030,2,weather,extreme_heat,5,resolved_favorably,0.36,False
JRN-BAG-0030-E003,JRN-BAG-0030,3,weather,drought,5,resolved_favorably,0.751,False
JRN-BAG-0030-E002,JRN-BAG-0030,4,creature_attack,unknown,15,resolved_favorably,0.683,True
JRN-BAG-0030-E008,JRN-BAG-0030,5,interpersonal,companion_conflict,18,resolved_poorly,-0.504,False
JRN-BAG-0030-E006,JRN-BAG-0030,6,weather,extreme_heat,20,resolved_favorably,0.207,False
JRN-BAG-0030-E007,JRN-BAG-0030,7,creature_attack,swarm,27,unresolved,0.271,False
JRN-BAG-0030-E005,JRN-BAG-0030,8,discovery,valuable_site,30,resolved_favorably,0.6,False
JRN-BAG-0030-E012,JRN-BAG-0030,9,interpersonal,official_harassment,37,resolved_favorably,0.632,False
JRN-BAG-0030-E010,JRN-BAG-0030,10,creature_attack,territorial_bird,38,resolved_favorably,0.296,True
JRN-BAG-0030-E011,JRN-BAG-0030,11,interpersonal,guide_betrayal,38,resolved_poorly,-0.576,False
JRN-BAG-0030-E009,JRN-BAG-0030,12,trade_success,rare_goods_found,43,resolved_favorably,0.638,False
JRN-BAG-0031-E003,JRN-BAG-0031,1,creature_attack,unknown,7,resolved_poorly,-0.5,False
JRN-BAG-0031-E002,JRN-BAG-0031,2,trade_difficulty,price_collapse,11,unresolved,0.067,False
JRN-BAG-0031-E001,JRN-BAG-0031,3,weather,extreme_heat,16,resolved_poorly,-0.38,True
JRN-BAG-0031-E006,JRN-BAG-0031,4,creature_attack,Maw_Beast,22,resolved_poorly,-0.535,False
JRN-BAG-0031-E007,JRN-BAG-0031,5,creature_attack,Maw_Beast,23,resolved_favorably,0.5,False
JRN-BAG-0031-E005,JRN-BAG-0031,6,discovery,information,28,unresolved,0.215,True
JRN-BAG-0031-E004,JRN-BAG-0031,7,trade_difficulty,price_collapse,40,resolved_favorably,0.763,False
JRN-BAG-0031-E008,JRN-BAG-0031,8,interpersonal,companion_conflict,46,resolved_favorably,0.392,False
JRN-BAG-0031-E009,JRN-BAG-0031,9,trade_difficulty,scam_attempt,50,unresolved,-0.043,False
JRN-BAG-0031-E010,JRN-BAG-0031,10,interpersonal,companion_conflict,56,resolved_favorably,0.266,True
