negotiation_id,boundary_id,entity_a_id,entity_b_id,initiator,negotiation_year,duration_days,negotiation_type,outcome,shift_distance,strength_change,tension_before,tension_after,equilibrium_restored,documented_by,primary_evidence,confidence,description,notes
BN-0050,EB-0071,MS-0007,MS-0006,mutual,914,2317,drift,ongoing,,-0.18,0.83,0.82,True,Western Archive Team,classification_records,0.89,Boundary drifted without clear initiator.,
BN-0051,EB-0145,MS-0084,MS-0056,mutual,929,9,clarification,boundary_shifted_toward_a,0.14,-0.05,0.67,0.44,True,Senate Survey,entity_testimony,0.59,Previously fuzzy boundary defined.,
BN-0052,EB-0047,MS-0024,MS-0076,mutual,1847,3178,contraction,boundary_shifted_toward_a,0.012,-0.39,0.46,0.39,True,T. Vells,classification_records,0.89,Voluntary contraction documented.,
BN-0053,EB-0074,MS-0072,MS-0071,entity_b,913,771,clarification,boundary_created,,0.18,0.77,0.82,True,Senate Survey,trajectory_changes,0.71,Boundary location made explicit.,
BN-0054,EB-0020,MS-0036,MS-0010,mutual,1832,2395,expansion,boundary_created,,0.02,0.77,0.58,True,Western Archive Team,historical_inference,0.57,One entity's influence grew beyond previous boundary.,
BN-0055,EB-0079,MS-0084,MS-0064,entity_a,918,228,dispute,no_change,,-0.37,0.5,0.26,True,P. Tross,entity_testimony,0.81,Active conflict over boundary position.,
BN-0056,EB-0001,MS-0011,MS-0079,entity_b,916,6,expansion,ongoing,,-0.17,0.72,0.64,True,K. Strand,classification_records,0.91,One entity's influence grew beyond previous boundary.,
BN-0057,EB-0026,MS-0030,MS-0049,mutual,1843,13,dispute,boundary_dissolved,,-0.21,0.43,0.46,True,P. Tross,entity_testimony,0.52,Contested boundary with competing claims.,
BN-0058,EB-0149,MS-0031,MS-0076,unknown,930,15,dispute,ongoing,,0.15,0.87,0.95,True,T. Vells,trajectory_changes,0.87,Active conflict over boundary position.,
BN-0059,EB-0066,MS-0094,MS-0043,entity_a,1851,147,drift,boundary_strengthened,,-0.08,0.44,0.39,True,K. Strand,direct_observation,0.55,Boundary drifted without clear initiator.,
BN-0060,EB-0004,MS-0050,MS-0079,entity_a,1838,271,merger,boundary_created,,-0.03,0.46,0.17,True,Senate Survey,entity_testimony,0.67,Fusion event eliminated boundary.,
BN-0061,EB-0313,MS-0094,MS-0056,unknown,1832,2566,fission,boundary_dissolved,,0.41,0.84,0.57,True,Boundary Commission,entity_testimony,0.81,Fission created new separation.,
BN-0062,EB-0150,MS-0022,MS-0074,entity_a,916,49,drift,boundary_shifted_toward_b,0.25,0.13,0.33,0.46,False,Senate Survey,entity_testimony,0.66,Gradual repositioning observed.,
BN-0063,EB-0255,MS-0067,MS-0087,external,927,328,merger,boundary_strengthened,,0.01,0.36,0.19,True,Archive Survey Team,trajectory_changes,0.72,"Entities combined, boundary dissolved.",
BN-0064,EB-0336,MS-0037,MS-0099,unknown,915,21,dispute,ongoing,,-0.29,0.34,0.15,True,Boundary Commission,classification_records,0.58,Contested boundary with competing claims.,
BN-0065,EB-0127,MS-0009,MS-0083,unknown,913,29,drift,boundary_weakened,,-0.04,0.39,0.38,True,Archive Survey Team,entity_testimony,0.53,Boundary drifted without clear initiator.,
BN-0066,EB-0276,MS-0047,MS-0073,mutual,914,59,contraction,no_change,,0.0,0.33,0.07,True,P. Tross,trajectory_changes,0.72,Boundary contracted as one entity retreated.,
BN-0067,EB-0248,MS-0036,MS-0094,external,928,20,drift,boundary_shifted_toward_b,0.166,0.27,0.46,0.5,True,Archive Survey Team,historical_inference,0.59,Mutual adjustment over time.,
BN-0068,EB-0216,MS-0053,MS-0016,external,918,2364,drift,no_change,,-0.08,0.82,0.88,True,Senate Survey,trajectory_changes,0.92,Mutual adjustment over time.,
BN-0069,EB-0184,MS-0030,MS-0008,external,919,3398,dispute,boundary_strengthened,,-0.47,0.79,0.95,False,T. Vells,trajectory_changes,0.59,Contested boundary with competing claims.,
BN-0070,EB-0093,MS-0064,MS-0066,entity_b,914,317,clarification,ongoing,,0.1,0.64,0.61,True,K. Strand,trajectory_changes,0.61,Previously fuzzy boundary defined.,
BN-0071,EB-0130,MS-0084,MS-0060,external,1842,302,fission,boundary_strengthened,,0.04,0.87,0.95,True,Western Archive Team,entity_testimony,0.89,"Entity split, new boundary formed.",
BN-0072,EB-0029,MS-0015,MS-0039,entity_b,1833,147,dispute,boundary_created,,-0.05,0.41,0.16,True,Boundary Commission,historical_inference,0.65,Contested boundary with competing claims.,
BN-0073,EB-0187,MS-0024,MS-0049,entity_a,1848,59,drift,boundary_weakened,,-0.27,0.67,0.64,True,P. Tross,entity_testimony,0.64,Boundary drifted without clear initiator.,
BN-0074,EB-0334,MS-0085,MS-0091,entity_b,1837,237,merger,boundary_strengthened,,-0.26,0.74,0.36,True,Boundary Commission,direct_observation,0.77,Fusion event eliminated boundary.,
BN-0075,EB-0004,MS-0031,MS-0012,entity_b,921,2201,expansion,boundary_dissolved,,0.12,0.61,0.24,True,T. Vells,entity_testimony,0.86,Gradual territorial expansion documented.,
BN-0076,EB-0032,MS-0023,MS-0047,entity_a,913,64,drift,boundary_created,,-0.08,0.87,0.63,True,Archive Survey Team,direct_observation,0.7,Boundary drifted without clear initiator.,
BN-0077,EB-0132,MS-0029,MS-0067,external,1843,1260,drift,boundary_strengthened,,0.01,0.84,0.75,True,T. Vells,entity_testimony,0.65,Mutual adjustment over time.,
BN-0078,EB-0196,MS-0042,MS-0040,mutual,914,2,drift,boundary_created,,0.02,0.84,0.81,True,P. Tross,trajectory_changes,0.53,Boundary drifted without clear initiator.,
BN-0079,EB-0332,MS-0047,MS-0078,unknown,912,1716,contraction,boundary_weakened,,0.05,0.6,0.25,True,Boundary Commission,historical_inference,0.88,Boundary contracted as one entity retreated.,
BN-0080,EB-0346,MS-0019,MS-0019,external,930,384,merger,boundary_strengthened,,0.37,0.71,0.86,False,Senate Survey,trajectory_changes,0.83,Fusion event eliminated boundary.,
BN-0081,EB-0088,MS-0090,MS-0026,entity_a,1849,12,dispute,no_change,,0.11,0.61,0.5,True,P. Tross,historical_inference,0.92,Contested boundary with competing claims.,
BN-0082,EB-0295,MS-0090,MS-0009,entity_a,924,21,drift,no_change,,-0.11,0.84,0.33,True,Western Archive Team,direct_observation,0.51,Mutual adjustment over time.,
BN-0083,EB-0261,MS-0077,MS-0067,mutual,917,1826,merger,boundary_strengthened,,0.13,0.3,0.34,True,Senate Survey,direct_observation,0.73,"Entities combined, boundary dissolved.",
BN-0084,EB-0333,MS-0002,MS-0066,entity_b,928,2547,expansion,ongoing,,-0.37,0.52,0.43,True,K. Strand,historical_inference,0.92,Gradual territorial expansion documented.,
BN-0085,EB-0103,MS-0080,MS-0048,unknown,925,1395,fission,boundary_weakened,,0.08,0.6,0.55,True,Western Archive Team,trajectory_changes,0.82,Division negotiation documented.,
BN-0086,EB-0248,MS-0047,MS-0054,external,1841,3311,dispute,boundary_shifted_toward_b,0.04,-0.11,0.69,0.47,True,Senate Survey,trajectory_changes,0.81,Contested boundary with competing claims.,
BN-0087,EB-0072,MS-0090,MS-0079,unknown,1839,3125,dispute,boundary_weakened,,-0.14,0.52,0.29,True,K. Strand,entity_testimony,0.65,Active conflict over boundary position.,
BN-0088,EB-0141,MS-0034,MS-0034,mutual,1841,1333,fission,boundary_strengthened,,-0.36,0.42,0.43,True,Boundary Commission,direct_observation,0.85,Division negotiation documented.,
BN-0089,EB-0089,MS-0021,MS-0092,entity_a,915,545,fission,boundary_strengthened,,0.08,0.51,0.62,False,K. Strand,trajectory_changes,0.81,Fission created new separation.,
BN-0090,EB-0322,MS-0005,MS-0009,entity_a,1842,71,drift,ongoing,,0.24,0.84,0.6,True,Senate Survey,entity_testimony,0.53,Boundary drifted without clear initiator.,
BN-0091,EB-0069,MS-0040,MS-0032,external,912,176,drift,boundary_shifted_toward_b,0.124,-0.09,0.32,0.09,True,Senate Survey,trajectory_changes,0.69,Mutual adjustment over time.,
BN-0092,EB-0089,MS-0061,MS-0058,mutual,917,91,drift,boundary_strengthened,,-0.34,0.56,0.56,True,Western Archive Team,trajectory_changes,0.9,Boundary drifted without clear initiator.,
BN-0093,EB-0177,MS-0070,MS-0005,entity_a,922,1118,drift,boundary_weakened,,0.02,0.46,0.17,True,P. Tross,historical_inference,0.92,Boundary drifted without clear initiator.,
BN-0094,EB-0218,MS-0071,MS-0008,mutual,1847,313,fission,ongoing,,0.07,0.57,0.36,True,Senate Survey,historical_inference,0.62,"Entity split, new boundary formed.",
BN-0095,EB-0141,MS-0084,MS-0025,entity_b,1847,3256,dispute,no_change,,0.35,0.57,0.37,True,Boundary Commission,direct_observation,0.9,Contested boundary with competing claims.,
BN-0096,EB-0349,MS-0033,MS-0020,external,922,226,fission,boundary_strengthened,,-0.06,0.57,0.57,True,K. Strand,historical_inference,0.64,Fission created new separation.,
BN-0097,EB-0166,MS-0016,MS-0014,entity_a,922,87,drift,ongoing,,-0.22,0.84,0.73,True,Western Archive Team,classification_records,0.89,Mutual adjustment over time.,
BN-0098,EB-0314,MS-0064,MS-0062,unknown,1831,183,merger,boundary_weakened,,-0.01,0.75,0.95,False,T. Vells,entity_testimony,0.71,Fusion event eliminated boundary.,
BN-0099,EB-0006,MS-0042,MS-0088,mutual,917,1270,dispute,ongoing,,-0.12,0.51,0.25,True,Western Archive Team,classification_records,0.65,Contested boundary with competing claims.,
BN-0100,EB-0262,MS-0037,MS-0090,external,917,214,expansion,no_change,,0.0,0.89,0.76,True,Boundary Commission,classification_records,0.75,One entity's influence grew beyond previous boundary.,
BN-0101,EB-0256,MS-0032,MS-0085,external,912,38,merger,boundary_weakened,,0.31,0.78,0.76,True,Archive Survey Team,entity_testimony,0.51,"Entities combined, boundary dissolved.",
BN-0102,EB-0195,MS-0094,MS-0001,entity_a,912,1,contraction,boundary_dissolved,,0.22,0.64,0.51,True,Boundary Commission,classification_records,0.92,Boundary contracted as one entity retreated.,
BN-0103,EB-0009,MS-0031,MS-0012,mutual,1841,1105,expansion,boundary_strengthened,,0.46,0.8,0.67,True,Archive Survey Team,entity_testimony,0.89,One entity's influence grew beyond previous boundary.,
BN-0104,EB-0239,MS-0011,MS-0064,external,1831,739,contraction,boundary_dissolved,,0.14,0.75,0.63,True,K. Strand,trajectory_changes,0.93,Entity withdrew from contested region.,
BN-0105,EB-0162,MS-0024,MS-0041,unknown,915,6,fission,boundary_created,,-0.28,0.87,0.7,True,T. Vells,classification_records,0.94,"Entity split, new boundary formed.",
BN-0106,EB-0003,MS-0017,MS-0039,entity_a,915,21,dispute,no_change,,0.12,0.51,0.48,True,K. Strand,entity_testimony,0.62,Boundary dispute required resolution.,
BN-0107,EB-0252,MS-0076,MS-0037,external,925,223,expansion,boundary_dissolved,,0.23,0.77,0.85,True,Senate Survey,entity_testimony,0.93,Entity A expanded into B's territory.,
BN-0108,EB-0074,MS-0067,MS-0022,unknown,1844,1775,drift,boundary_strengthened,,-0.25,0.8,0.49,True,T. Vells,historical_inference,0.85,Boundary drifted without clear initiator.,
BN-0109,EB-0275,MS-0055,MS-0077,entity_b,926,299,merger,boundary_dissolved,,0.16,0.88,0.76,True,Senate Survey,trajectory_changes,0.87,Merger negotiation successful.,
BN-0110,EB-0072,MS-0026,MS-0012,mutual,919,2857,drift,ongoing,,-0.14,0.35,0.26,True,Archive Survey Team,direct_observation,0.56,Boundary drifted without clear initiator.,
BN-0111,EB-0311,MS-0028,MS-0062,unknown,922,111,contraction,ongoing,,-0.02,0.87,0.7,True,Western Archive Team,trajectory_changes,0.88,Voluntary contraction documented.,
BN-0112,EB-0170,MS-0040,MS-0009,unknown,918,1932,contraction,boundary_shifted_toward_b,0.125,-0.16,0.66,0.49,True,Archive Survey Team,historical_inference,0.85,Entity withdrew from contested region.,
BN-0113,EB-0251,MS-0004,MS-0024,mutual,923,7,drift,boundary_shifted_toward_a,0.056,-0.19,0.3,0.34,True,Archive Survey Team,direct_observation,0.72,Gradual repositioning observed.,
BN-0114,EB-0006,MS-0095,MS-0005,external,922,1475,expansion,boundary_created,,0.32,0.78,0.57,True,T. Vells,historical_inference,0.62,Gradual territorial expansion documented.,
BN-0115,EB-0054,MS-0074,MS-0024,mutual,915,352,fission,boundary_created,,0.06,0.76,0.65,True,P. Tross,trajectory_changes,0.71,"Entity split, new boundary formed.",
BN-0116,EB-0049,MS-0017,MS-0069,entity_b,1836,2267,expansion,ongoing,,-0.18,0.35,0.15,True,Boundary Commission,classification_records,0.61,One entity's influence grew beyond previous boundary.,
BN-0117,EB-0343,MS-0086,MS-0066,mutual,919,29,fission,boundary_created,,-0.1,0.89,0.72,True,Boundary Commission,trajectory_changes,0.55,Division negotiation documented.,
BN-0118,EB-0294,MS-0002,MS-0031,mutual,1849,20,drift,boundary_shifted_toward_a,0.283,-0.02,0.86,0.82,True,Western Archive Team,direct_observation,0.82,Mutual adjustment over time.,
BN-0119,EB-0176,MS-0082,MS-0056,external,919,161,merger,boundary_strengthened,,0.31,0.39,0.4,True,Western Archive Team,trajectory_changes,0.69,Merger negotiation successful.,
BN-0120,EB-0147,MS-0070,MS-0021,unknown,1838,60,dispute,boundary_dissolved,,-0.3,0.71,0.75,True,P. Tross,trajectory_changes,0.76,Active conflict over boundary position.,
BN-0121,EB-0321,MS-0030,MS-0095,mutual,1834,2,expansion,boundary_weakened,,0.38,0.76,0.71,True,Archive Survey Team,direct_observation,0.8,One entity's influence grew beyond previous boundary.,
BN-0122,EB-0064,MS-0032,MS-0023,external,1830,4,clarification,no_change,,-0.39,0.9,0.56,True,K. Strand,trajectory_changes,0.52,Previously fuzzy boundary defined.,
BN-0123,EB-0343,MS-0064,MS-0097,entity_b,1836,2320,expansion,boundary_created,,0.04,0.4,0.15,True,P. Tross,entity_testimony,0.94,Gradual territorial expansion documented.,
BN-0124,EB-0170,MS-0080,MS-0020,entity_b,923,3312,fission,boundary_dissolved,,-0.07,0.34,0.16,True,Western Archive Team,classification_records,0.84,"Entity split, new boundary formed.",
BN-0125,EB-0013,MS-0068,MS-0056,entity_b,913,282,merger,no_change,,0.37,0.77,0.77,True,Western Archive Team,direct_observation,0.7,"Entities combined, boundary dissolved.",
BN-0126,EB-0029,MS-0066,MS-0086,mutual,921,27,contraction,boundary_shifted_toward_a,0.296,-0.04,0.38,0.29,True,K. Strand,historical_inference,0.62,Boundary contracted as one entity retreated.,
BN-0127,EB-0287,MS-0060,MS-0028,external,1841,436,drift,ongoing,,-0.06,0.69,0.93,False,T. Vells,entity_testimony,0.92,Gradual repositioning observed.,
BN-0128,EB-0009,MS-0049,MS-0032,external,1833,309,merger,boundary_shifted_toward_a,0.075,0.37,0.47,0.28,True,T. Vells,historical_inference,0.89,Merger negotiation successful.,
BN-0129,EB-0171,MS-0019,MS-0086,unknown,930,34,contraction,ongoing,,0.01,0.88,0.89,True,Western Archive Team,entity_testimony,0.58,Entity withdrew from contested region.,
BN-0130,EB-0216,MS-0012,MS-0043,external,1832,1988,clarification,boundary_shifted_toward_b,0.187,-0.04,0.9,0.92,True,K. Strand,trajectory_changes,0.65,Boundary location made explicit.,
BN-0131,EB-0072,MS-0018,MS-0042,entity_b,1842,915,drift,boundary_shifted_toward_a,0.179,0.22,0.75,0.67,True,Boundary Commission,entity_testimony,0.65,Gradual repositioning observed.,
BN-0132,EB-0012,MS-0056,MS-0047,unknown,923,3,drift,boundary_shifted_toward_a,0.292,0.05,0.78,0.6,True,Archive Survey Team,entity_testimony,0.91,Boundary drifted without clear initiator.,
BN-0133,EB-0304,MS-0096,MS-0098,entity_a,1839,44,dispute,boundary_dissolved,,0.27,0.84,0.54,True,Boundary Commission,trajectory_changes,0.9,Boundary dispute required resolution.,
BN-0134,EB-0075,MS-0020,MS-0014,entity_b,922,114,dispute,boundary_shifted_toward_a,0.031,0.02,0.32,0.24,True,T. Vells,classification_records,0.9,Contested boundary with competing claims.,
BN-0135,EB-0227,MS-0032,MS-0011,mutual,1834,916,drift,boundary_shifted_toward_b,0.13,0.06,0.37,0.1,True,P. Tross,direct_observation,0.65,Boundary drifted without clear initiator.,
BN-0136,EB-0237,MS-0076,MS-0071,entity_b,1851,228,expansion,boundary_weakened,,0.1,0.59,0.6,True,Senate Survey,trajectory_changes,0.67,One entity's influence grew beyond previous boundary.,
BN-0137,EB-0137,MS-0009,MS-0007,entity_a,928,334,dispute,boundary_dissolved,,0.09,0.31,0.41,True,K. Strand,classification_records,0.75,Boundary dispute required resolution.,
BN-0138,EB-0231,MS-0052,MS-0003,external,1846,39,fission,no_change,,-0.17,0.52,0.54,True,Archive Survey Team,entity_testimony,0.82,Fission created new separation.,
BN-0139,EB-0178,MS-0035,MS-0083,external,930,2665,clarification,boundary_dissolved,,0.06,0.65,0.5,True,Senate Survey,direct_observation,0.62,Boundary location made explicit.,
BN-0140,EB-0321,MS-0030,MS-0020,mutual,921,273,expansion,no_change,,0.25,0.62,0.53,True,Senate Survey,entity_testimony,0.93,Gradual territorial expansion documented.,
BN-0141,EB-0069,MS-0099,MS-0015,entity_b,913,3086,expansion,boundary_dissolved,,0.01,0.42,0.32,True,Western Archive Team,historical_inference,0.79,One entity's influence grew beyond previous boundary.,
BN-0142,EB-0057,MS-0062,MS-0096,unknown,1842,895,contraction,boundary_shifted_toward_a,0.273,0.29,0.68,0.6,True,Senate Survey,entity_testimony,0.56,Entity withdrew from contested region.,
BN-0143,EB-0160,MS-0009,MS-0088,mutual,1831,2749,drift,boundary_shifted_toward_b,0.273,0.09,0.76,0.73,True,P. Tross,historical_inference,0.8,Gradual repositioning observed.,
BN-0144,EB-0291,MS-0008,MS-0097,external,920,462,drift,boundary_created,,0.19,0.35,0.11,True,T. Vells,historical_inference,0.7,Gradual repositioning observed.,
BN-0145,EB-0157,MS-0018,MS-0087,entity_a,915,464,merger,boundary_shifted_toward_a,0.265,-0.07,0.63,0.41,True,T. Vells,trajectory_changes,0.79,"Entities combined, boundary dissolved.",
BN-0146,EB-0085,MS-0035,MS-0078,entity_a,1836,3548,expansion,boundary_weakened,,0.06,0.37,0.26,True,Boundary Commission,direct_observation,0.84,One entity's influence grew beyond previous boundary.,
BN-0147,EB-0286,MS-0084,MS-0002,unknown,927,2119,dispute,boundary_strengthened,,0.25,0.78,0.57,True,T. Vells,classification_records,0.5,Boundary dispute required resolution.,
BN-0148,EB-0327,MS-0009,MS-0085,entity_b,922,2243,contraction,ongoing,,-0.5,0.86,0.95,True,Western Archive Team,direct_observation,0.63,Boundary contracted as one entity retreated.,
BN-0149,EB-0236,MS-0004,MS-0090,entity_a,1843,24,fission,ongoing,,0.22,0.69,0.49,True,K. Strand,historical_inference,0.5,Division negotiation documented.,
