measurement_id,form_id,form_type,form_complexity,ingression_rate,onset_delay_minutes,completion_time_minutes,rate_variability,acceleration_pattern,location,region,dens_proximity_km,boundary_instability,spatial_curvature,barrier_thickness,observer_presence,observer_attention_level,competing_forms,substrate_receptivity,expected_rate,rate_deviation,deviation_explanation,measurement_year,measurer,method,confidence,notes
IR-0061,FORM-0603,relationship,simple,83.1,19.83,32.3,0.58,stepped,Dissolution zone,Dens,0.0,9.6,highly_curved,thin,False,none,3,receptive,98.0,-14.9,none identified,928,Field Team,boundary_correlation,0.7,
IR-0062,FORM-0538,phenomenon,highly_complex,80.5,46.16,151.61,0.41,spike_plateau,Dens deep,Dens,0.0,9.2,extreme,thin,True,passive,4,receptive,96.0,-15.5,observer effect,918,E. Pol,substrate_monitoring,0.93,
IR-0063,FORM-0221,place,moderate,49.5,38.62,154.87,0.49,constant,Suburban zone,Densmok,194.5,3.9,flat,thick,False,none,3,resistant,69.5,-20.0,observer effect,926,Field Team,pattern_tracking,0.53,
IR-0064,,place,simple,43.5,66.89,166.87,0.27,spike_plateau,Lake vicinity,Northo,394.7,-0.3,flat,very_thick,False,none,3,receptive,48.5,-5.0,,935,M. Strand,direct_observation,0.81,
IR-0065,FORM-0442,structure,simple,56.2,39.34,143.73,0.42,constant,Scholar's Quarter,Capital,224.5,4.1,mildly_curved,moderate,False,none,3,neutral,70.5,-14.3,competing form,924,T. Mord,substrate_monitoring,0.87,
IR-0066,,behavior,moderate,49.8,49.14,86.98,0.21,stepped,Educational district,Densmok,275.5,3.1,flat,thick,True,intense,5,highly_receptive,65.5,-15.7,boundary fluctuation,927,S. Moll,substrate_monitoring,0.95,
IR-0067,FORM-0676,relationship,simple,100,1.57,6.99,0.28,oscillating,Central anomaly,Dens,0.0,9.9,highly_curved,thin,True,active,0,neutral,99.5,0.5,,931,A. Prebel,direct_observation,0.63,
IR-0068,FORM-0730,relationship,simple,84.7,34.78,116.12,0.57,oscillating,Dissolution zone,Dens,0.0,9.5,extreme,thin,True,passive,4,resistant,97.5,-12.8,boundary fluctuation,930,T. Mord,boundary_correlation,0.76,
IR-0069,FORM-0617,relationship,moderate,23.6,32.77,108.59,0.57,accelerating,Eastern Northo,Northo,388.0,-0.0,mildly_curved,very_thick,True,passive,1,highly_receptive,50.0,-26.4,competing form,927,C. Vells,substrate_monitoring,0.84,
IR-0070,FORM-0704,behavior,complex,85.0,31.52,153.09,0.21,decelerating,Central anomaly,Dens,0.0,9.5,highly_curved,thin,True,passive,3,resistant,97.5,-12.5,boundary fluctuation,929,Field Team,substrate_monitoring,0.75,
IR-0071,,structure,moderate,53.0,24.16,75.55,0.59,constant,Isolation community,Northo,377.1,1.9,mildly_curved,very_thick,True,active,2,highly_receptive,59.5,-6.5,,929,M. Strand,direct_observation,0.93,
IR-0072,,phenomenon,moderate,52.6,66.64,277.48,0.21,stepped,Eastern markets,Capital,269.2,4.1,moderately_curved,moderate,False,none,3,neutral,70.5,-17.9,none identified,930,Ingression Study Group,boundary_correlation,0.94,
IR-0073,FORM-0481,creature,simple,64.1,61.1,199.73,0.68,stepped,Educational district,Densmok,203.1,4.3,mildly_curved,moderate,False,none,0,blocking,71.5,-7.4,,926,T. Mord,boundary_correlation,0.86,
IR-0074,FORM-0987,structure,moderate,95.2,55.06,200.66,0.27,spike_plateau,Dens deep,Dens,0.0,9.9,extreme,thin,True,active,3,blocking,99.5,-4.3,,927,T. Mord,direct_observation,0.88,
IR-0075,FORM-0989,pattern,moderate,94.1,8.38,31.95,0.77,accelerating,Third Mill,Yeller Quarry,126.3,8.1,highly_curved,thin,False,none,2,neutral,90.5,3.6,,922,E. Pol,substrate_monitoring,0.67,
IR-0076,FORM-0154,creature,simple,20.1,55.68,254.39,0.46,spike_plateau,Isolation community,Northo,384.7,1.4,flat,very_thick,False,none,0,receptive,57.0,-36.9,competing form,931,A. Vells,substrate_monitoring,0.85,
IR-0077,FORM-0455,hybrid,moderate,94.3,56.21,270.24,0.74,spike_plateau,Southern perimeter,Dens boundary,29.4,6.5,moderately_curved,moderate,False,none,2,resistant,82.5,11.8,competing form,920,Capital Survey Team,boundary_correlation,0.9,
IR-0078,FORM-0220,structure,highly_complex,98.6,6.13,14.79,0.16,spike_plateau,Dens interior,Dens,0.0,9.5,highly_curved,thin,True,active,1,resistant,97.5,1.1,,922,M. Strand,pattern_tracking,0.81,
IR-0079,,pattern,simple,83.6,49.97,235.83,0.5,decelerating,Dens deep,Dens,0.0,9.9,extreme,thin,False,none,4,receptive,99.5,-15.9,observer effect,931,T. Mord,pattern_tracking,0.7,
IR-0080,FORM-0349,pattern,highly_complex,37.3,44.26,180.11,0.18,spike_plateau,Northern monastery,Northo,353.8,1.8,flat,very_thick,False,none,1,blocking,59.0,-21.7,none identified,929,Boundary Commission,pattern_tracking,0.91,
IR-0081,FORM-0786,place,moderate,51.1,41.83,80.28,0.24,stepped,Klutch CC vicinity,Densmok,210.7,4.3,moderately_curved,moderate,True,passive,3,receptive,71.5,-20.4,substrate resistance,928,Ingression Study Group,retrospective_analysis,0.7,
IR-0082,,structure,moderate,72.4,41.78,80.33,0.35,accelerating,Tower base,Tower of Mirado,162.2,5.8,mildly_curved,moderate,False,none,3,highly_receptive,79.0,-6.6,,918,Capital Survey Team,direct_observation,0.77,
IR-0083,FORM-0923,creature,simple,80.9,39.09,152.78,0.24,oscillating,Mill vicinity,Yeller Quarry,144.1,6.7,highly_curved,moderate,False,none,4,highly_receptive,83.5,-2.6,,930,Capital Survey Team,pattern_tracking,0.5,
IR-0084,FORM-0206,phenomenon,simple,100,43.76,146.04,0.12,stepped,Sector SW-6,Dens boundary,38.0,8.7,highly_curved,thin,True,passive,5,blocking,93.5,6.5,,926,S. Moll,direct_observation,0.94,
IR-0085,FORM-0488,behavior,simple,100,57.34,182.44,0.7,decelerating,Dissolution zone,Dens,0.0,9.0,extreme,thin,True,passive,3,highly_receptive,95.0,5.0,,934,M. Strand,pattern_tracking,0.51,
IR-0086,FORM-0586,place,simple,40.6,47.36,195.37,0.14,stepped,Lake vicinity,Northo,309.3,1.1,mildly_curved,very_thick,True,active,2,blocking,55.5,-14.9,observer effect,924,E. Pol,direct_observation,0.67,
IR-0087,FORM-0737,relationship,highly_complex,89.1,33.44,150.26,0.32,oscillating,Southern approach,Yeller Quarry,126.7,5.4,mildly_curved,moderate,False,none,1,receptive,77.0,12.1,substrate resistance,925,T. Mord,pattern_tracking,0.61,
IR-0088,FORM-0640,pattern,highly_complex,92.0,19.66,81.8,0.42,decelerating,Western approach,Dens boundary,23.8,8.7,highly_curved,thin,True,intense,3,blocking,93.5,-1.5,,921,S. Moll,boundary_correlation,0.65,
IR-0089,,structure,complex,100,58.75,180.06,0.24,spike_plateau,Central anomaly,Dens,0.0,9.5,extreme,thin,True,passive,0,neutral,97.5,2.5,,921,A. Prebel,direct_observation,0.58,
IR-0090,,hybrid,moderate,66.2,9.89,15.62,0.3,accelerating,Archive vicinity,Capital,274.1,2.5,mildly_curved,thick,False,none,2,receptive,62.5,3.7,,929,Ingression Study Group,substrate_monitoring,0.79,
IR-0091,,creature,complex,91.8,58.06,255.1,0.55,stepped,Siege fields,Tower of Mirado,162.9,6.0,moderately_curved,moderate,False,none,4,resistant,80.0,11.8,substrate resistance,918,C. Vells,retrospective_analysis,0.72,
IR-0092,FORM-0826,behavior,complex,70.6,52.44,213.35,0.38,spike_plateau,Northern margin,Dens boundary,57.1,8.3,extreme,thin,True,active,2,blocking,91.5,-20.9,competing form,929,Boundary Commission,substrate_monitoring,0.63,
IR-0093,,pattern,moderate,56.2,27.27,54.78,0.18,constant,Siege fields,Tower of Mirado,242.2,4.5,moderately_curved,moderate,True,intense,4,resistant,72.5,-16.3,competing form,929,E. Pol,pattern_tracking,0.65,
IR-0094,FORM-0310,creature,simple,42.9,68.11,310.87,0.58,constant,Archive vicinity,Capital,246.0,3.3,mildly_curved,thick,False,none,5,blocking,66.5,-23.6,observer effect,918,Ingression Study Group,substrate_monitoring,0.88,
IR-0095,FORM-0724,phenomenon,simple,90.0,15.29,64.19,0.72,stepped,Western approach,Dens boundary,46.1,8.0,moderately_curved,thin,False,none,3,receptive,90.0,-0.0,,934,E. Pol,direct_observation,0.61,
IR-0096,,hybrid,complex,79.6,36.89,149.76,0.3,accelerating,Dissolution zone,Dens,0.0,9.9,extreme,thin,True,active,5,highly_receptive,99.5,-19.9,competing form,919,E. Pol,pattern_tracking,0.76,
IR-0097,,pattern,moderate,97.0,26.11,57.22,0.56,accelerating,Southern camps,Tower of Mirado,170.0,7.2,highly_curved,thin,True,active,0,resistant,86.0,11.0,competing form,928,M. Strand,pattern_tracking,0.68,
IR-0098,FORM-0710,relationship,moderate,84.9,58.01,253.65,0.13,spike_plateau,Western approach,Dens boundary,49.3,8.3,extreme,thin,True,intense,0,blocking,91.5,-6.6,,935,A. Prebel,boundary_correlation,0.92,
IR-0099,,place,moderate,58.3,39.91,170.33,0.76,constant,Siege fields,Tower of Mirado,219.7,5.9,mildly_curved,moderate,True,passive,5,neutral,79.5,-21.2,substrate resistance,923,Capital Survey Team,retrospective_analysis,0.89,
IR-0100,,hybrid,highly_complex,81.7,15.27,48.76,0.15,decelerating,Northern margin,Dens boundary,41.9,6.7,highly_curved,moderate,True,intense,3,neutral,83.5,-1.8,,930,E. Pol,pattern_tracking,0.66,
IR-0101,FORM-0851,hybrid,moderate,69.0,12.39,61.83,0.71,spike_plateau,Scholar's Quarter,Capital,221.1,3.1,mildly_curved,thick,False,none,2,receptive,65.5,3.5,,920,Ingression Study Group,direct_observation,0.81,
IR-0102,FORM-0654,relationship,complex,60.0,15.36,74.02,0.21,oscillating,Siege fields,Tower of Mirado,228.9,4.6,moderately_curved,moderate,False,none,5,highly_receptive,73.0,-13.0,boundary fluctuation,929,T. Mord,substrate_monitoring,0.71,
IR-0103,FORM-0571,creature,complex,55.8,10.0,23.15,0.36,decelerating,Eastern Northo,Northo,351.4,1.1,mildly_curved,very_thick,True,intense,0,receptive,55.5,0.3,,925,E. Pol,direct_observation,0.62,
IR-0104,FORM-0423,relationship,highly_complex,85.6,20.8,44.38,0.12,oscillating,Dens deep,Dens,0.0,9.2,highly_curved,thin,False,none,0,blocking,96.0,-10.4,none identified,929,E. Pol,substrate_monitoring,0.77,
IR-0105,FORM-0182,creature,highly_complex,35.5,56.97,88.97,0.67,stepped,Ascetic village,Northo,314.4,3.1,mildly_curved,thick,False,none,2,highly_receptive,65.5,-30.0,none identified,919,Ingression Study Group,pattern_tracking,0.71,
IR-0106,FORM-0307,creature,moderate,53.8,31.21,77.23,0.5,decelerating,Eastern Northo,Northo,307.1,2.9,mildly_curved,thick,False,none,4,receptive,64.5,-10.7,competing form,918,T. Mord,pattern_tracking,0.57,
IR-0107,,relationship,highly_complex,48.8,43.83,151.76,0.37,decelerating,Scholar's Quarter,Capital,218.1,4.3,moderately_curved,moderate,False,none,2,receptive,71.5,-22.7,substrate resistance,924,Boundary Commission,boundary_correlation,0.55,
IR-0108,FORM-0032,structure,simple,93.8,45.84,177.56,0.13,accelerating,Third Mill,Yeller Quarry,133.3,6.9,highly_curved,moderate,False,none,2,receptive,84.5,9.3,,934,A. Vells,pattern_tracking,0.91,
IR-0109,,hybrid,moderate,100,38.98,65.29,0.23,oscillating,Quarry Sector 7,Yeller Quarry,131.4,7.8,highly_curved,thin,False,none,2,resistant,89.0,11.0,observer effect,922,S. Moll,retrospective_analysis,0.86,
IR-0110,,place,highly_complex,100,22.4,105.92,0.62,spike_plateau,Dens deep,Dens,0.0,9.0,highly_curved,thin,False,none,0,blocking,95.0,5.0,,925,Capital Survey Team,direct_observation,0.69,
IR-0111,FORM-0661,place,simple,63.3,32.9,73.12,0.17,accelerating,Northern workings,Yeller Quarry,153.1,6.1,highly_curved,moderate,True,intense,5,resistant,80.5,-17.2,observer effect,921,Field Team,substrate_monitoring,0.62,
IR-0112,FORM-0236,phenomenon,moderate,60.7,38.97,106.0,0.53,decelerating,Tower base,Tower of Mirado,189.5,6.2,moderately_curved,moderate,False,none,3,highly_receptive,81.0,-20.3,substrate resistance,931,Ingression Study Group,pattern_tracking,0.71,
IR-0113,FORM-0738,pattern,complex,44.0,67.71,314.96,0.78,oscillating,Northern monastery,Northo,286.3,1.7,mildly_curved,very_thick,True,passive,1,receptive,58.5,-14.5,competing form,919,C. Vells,retrospective_analysis,0.8,
IR-0114,FORM-0532,phenomenon,moderate,75.3,41.5,123.0,0.68,decelerating,Quarry interior,Yeller Quarry,170.8,5.3,moderately_curved,moderate,False,none,3,blocking,76.5,-1.2,,919,T. Mord,substrate_monitoring,0.57,
IR-0115,FORM-0500,place,complex,55.1,40.3,121.33,0.27,decelerating,Educational district,Densmok,218.4,3.6,flat,thick,True,passive,1,blocking,68.0,-12.9,none identified,929,Ingression Study Group,direct_observation,0.51,
IR-0116,,pattern,highly_complex,91.1,23.6,102.43,0.3,constant,Southern approach,Yeller Quarry,138.3,6.3,highly_curved,moderate,True,passive,1,highly_receptive,81.5,9.6,,924,E. Pol,pattern_tracking,0.82,
IR-0117,FORM-0711,hybrid,complex,72.1,36.12,155.75,0.2,oscillating,Klutch CC vicinity,Densmok,214.9,4.8,mildly_curved,moderate,True,intense,5,receptive,74.0,-1.9,,923,Boundary Commission,boundary_correlation,0.59,
IR-0118,,behavior,highly_complex,42.0,42.94,178.89,0.21,accelerating,Scholar's Quarter,Capital,278.5,2.5,flat,thick,True,active,4,resistant,62.5,-20.5,boundary fluctuation,924,S. Moll,substrate_monitoring,0.61,
