rule_id,rule_text,expanded_text,source,generation,creature_types,conditions,pattern_book_translation,accuracy_rate,pollus_notes
FR038,"When the Quarry goes quiet, count to eleven",Total silence precedes major events. The silence lasts approximately eleven minutes.,Old Mirra Tannick,great_grandmother,all,silence_warning,duration(silence) ≈ 11 minutes → major_event,0.69,The eleven-minute duration appears repeatedly. I cannot explain it.
FR039,Yeller-compatible creatures scatter before yeller-incompatible creatures swarm,The compatible creatures sense the swarm coming.,expedition records,mother,all yeller-compatible,early_warning,Δ(compatible_scatter) < Δ(incompatible_swarm) by ~2h,0.76,A reliable two-hour warning system if you know what to watch for.
FR040,Trust the oldest creature in any cave,The survivor knows what killed the others.,The Scavenger,ancient,all,survival_wisdom,,,Philosophical rather than predictive. The Scavenger speaks in riddles.
FR041,Prime groups are stable; composite groups dissolve,"Creature groups of 2, 3, 5, or 7 persist. Groups of 4, 6, or 8 break apart.",quarry tradition,ancient,all,group_stability,P(stable|size∈primes) > P(stable|size∈composites),0.74,Central to my Pattern Book. The prime-number preference is pervasive.
FR042,"Three warnings, then one death",Creatures give three warning signs before attacking. Miss all three and die.,unnamed trapper,grandmother,all predators,warning_pattern,,0.63,The 'three warnings' varies by creature. Learning to read them is the trapper's art.
FR043,Warm caves breed danger,Cave temperature rise precedes increased creature activity.,Crew Boss Tannick,current,all,temperature_activity,Δ(cave_temp) > 0 → P(activity_increase) > 0.7,0.75,Simple but reliable. I have incorporated this into the Pattern Book.
FR044,Rain above means movement below,Surface rain drives creatures deeper into the tunnels.,quarry tradition,ancient,all,weather_response,P(deep_movement|rain) > 0.65,0.72,Trappers time their deep expeditions around weather.
FR045,"Full moon, full danger",Creature activity peaks at full moon across all species.,unnamed trapper,grandmother,all,lunar_activity,activity(full_moon) > activity(other_phases),0.61,Moderate correlation. Less reliable than prime-day patterns.
FR046,"New moon, new opportunities",Creatures are least active at new moon. Best time for deep exploration.,Hesta Vorn,mother,all,lunar_opportunity,P(low_activity|new_moon) > 0.6,0.67,Tannick's crew plans major expeditions around new moons.
FR047,Never trap where three tunnels meet,Tunnel junctions are ambush points. Creatures converge there.,Dannkit,current,all predators,junction_danger,,0.79,Three junction points. Another prime pattern.
FR048,The seventh pool is always watched,"In any cave system with multiple pools, the seventh pool has highest creature density.",quarry tradition,ancient,all aquatic,pool_concentration,,0.52,Difficult to verify. Many cave systems have fewer than seven pools.
FR049,What feeds at dawn dies at dusk,Dawn feeders are vulnerable to dusk predators. Time your hunts accordingly.,expedition records,mother,all,feeding_vulnerability,,0.64,A pattern in predator-prey timing.
FR050,Creatures that flee together die together,Synchronized flight draws predator attention. Better to scatter.,unnamed trapper,grandmother,all prey,flight_strategy,,0.58,Applicable to trappers as well as creatures.
FR051,Pattern Book predictions improve with temperature data,Accuracy rises from 71% to 76% when cave temperature is included.,Vess Corn,current,all,model_enhancement,accuracy(model+temp) > accuracy(model),0.76,Vess's first validated contribution to the Pattern Book.
FR052,Folk rules fail in deep caves,"Below 40 meters, grandmother's rules become unreliable.",Vess Corn,current,all,depth_limitation,accuracy(folk_rules|depth>40m) < 0.5,0.49,A troubling finding. Either the rules are depth-specific or the deep caves follow different laws.
FR053,Combined predictions beat single-source predictions,Pattern Book + folk rules outperform either alone.,Vess Corn,current,all,ensemble_advantage,accuracy(combined) ≈ 0.84,0.84,The central lesson of my work. Neither system is complete.
FR054,Serpent tracks fade in prime hours,"Coil Tube Serpent trails are visible for 2, 3, 5, or 7 hours depending on substrate.",quarry tradition,ancient,Coil Tube Serpent,tracking,,0.55,Useful for avoiding recently-active serpents.
FR055,Bats return to the same roost for seven nights,Roost loyalty persists through a week-cycle.,unnamed trapper,grandmother,Cave Bat,roosting_pattern,,0.68,Predictable enough to plan around.
FR056,Finch song carries farther in stable tunnels,Acoustics change before collapses. Listen for muffled songs.,Crew Boss Tannick,current,Metal-Beaked Finch,acoustic_warning,,0.72,Supplements the silence rule with positive indicators.
FR057,The Maw remembers trappers who escaped,Maw Beasts target specific individuals who have evaded them before.,The Scavenger,ancient,Maw Beast,memory,,,Impossible to verify. The Scavenger speaks with certainty.
FR058,Stakdur venom fades in five days,"Fresh wounds need immediate treatment. After five days, residual venom is harmless.",Dannkit,current,Stakdur,venom_duration,,0.81,Five days. The first prime exceeding trivial 2 and 3.
FR059,Granite Wrens nest in pairs of three,Wren nests cluster in groups of three pairs (six birds total).,expedition records,mother,Granite Wren,nesting_pattern,,0.63,Another prime pattern in social structure.
FR060,Rock-Finned Eels surface on the eleventh hour,Eel activity peaks at 11:00 and 23:00.,quarry tradition,ancient,Rock-Finned Eel,activity_timing,,0.59,The eleventh hour. Too precise to be coincidence.
FR061,Quarry Moths swarm before earthquakes,Moth clouds precede seismic events by 6-12 hours.,unnamed trapper,grandmother,Quarry Moth,seismic_warning,,0.47,Inconsistent data. Some trappers dispute this rule.
FR062,Swamp Hornets nest where creatures died,Hornet nests indicate past creature deaths in the area.,Hesta Vorn,mother,Swamp Hornet,nest_location,,0.66,Useful for identifying dangerous zones.
FR063,Wharvers beach themselves on prime-numbered shores,"Wharver strandings occur most often on the 2nd, 3rd, 5th, and 7th beaches from the river mouth.",quarry tradition,ancient,Wharver,stranding_pattern,,0.44,Sample size too small for confidence.
FR064,Gritsmuck Crawlers flee toward the Dens,"When threatened, crawlers move toward Dens-adjacent margins.",expedition records,mother,Gritsmuck Crawler,flight_direction,,0.73,Directional consistency suggests some orienting mechanism.
FR065,Deep Borers pause every seven meters,Boring activity includes regular rest intervals at prime-numbered depths.,Dannkit,current,Deep Borer,boring_pattern,,0.57,Difficult to measure but reported consistently.
FR066,Toadpipes croak in prime sequences,"Domesticated toadpipes produce calls in sequences of 2, 3, or 5.",unnamed trapper,grandmother,Toadpipe,call_pattern,,0.71,Even domesticated creatures show prime patterns.
FR067,Hogfoot herds number eleven when healthy,Herd sizes gravitate toward eleven in stable conditions.,quarry tradition,ancient,Hogfoot,herd_size,,0.52,Weak evidence. Herd management may confound natural patterns.
FR068,The Nothing Bird appears before nothing happens,Nothing Bird sightings precede periods of unusual calm.,The Scavenger,ancient,Nothing Bird,calm_precursor,,0.38,Mystical. The Scavenger's claims are difficult to evaluate.
FR069,Pocket Birds hide in stone vases during danger,Pocket Birds seek stone cavities when predators are near.,expedition records,mother,Pocket Bird,hiding_behavior,,0.77,Reliable indicator of nearby predator activity.
FR070,Whistle Birds create the bend before the path,Whistle Bird song indicates upcoming tunnel turns.,quarry tradition,ancient,Whistle Bird,navigation_aid,,0.61,Trappers use bird calls for underground navigation.
FR071,Creatures yeller-grouped cannot be un-grouped,"Once compatible, always compatible. The change is permanent.",Old Mirra Tannick,great_grandmother,all yeller-compatible,permanent_state,,,No observed reversals in the data.
