pathology_id,pathology_name,primary_cluster,secondary_clusters,category,subcategory,typical_onset,typical_progression,typical_duration,typical_severity,common_causes,risk_factors,protective_factors,dens_correlation,estimated_prevalence,documented_cases,geographic_distribution,cardinal_symptoms,early_warning_signs,diagnostic_criteria,differential_diagnosis,typical_outcomes,worst_case_outcome,mortality_risk,contagion_risk,treatment_exists,standard_treatment,treatment_efficacy,recovery_prognosis,primary_theorist,year_described,theoretical_framework,mechanism,understanding_level,related_pathologies,precursor_to,consequence_of,first_documented_case,key_references,confidence,last_updated,notes
PT-0011,Absorption Syndrome,boundary_dynamics,,relational,boundary dynamics,developmental,variable,subacute,severe_to_catastrophic,"dens_proximity, trust_failure, ghost_contamination","boundary_instability, pattern_degradation, aging","strong_boundaries, social_support, distance_from_dens",strong_positive,rare,10,uniform,"identity_confusion, boundary_fluctuation, neighbor_blending",occasional_foreign_thoughts,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Morphospace Distortion, Ridge Dissolution, Resonance Lock",variable_often_serious,permanent_disability,moderate,low,True,"boundary_reinforcement, isolation_then_reintegration",experimental,poor,Sareth Moll,923,Sareth Moll's framework for boundary dynamics,boundary_degradation_cascade,poorly_understood,"Pathological Merger, Sudden Boundary Collapse, Selective Permeability Failure",,,BO-0001,"Vorn Year 930, Sareth Moll Year 923",0.96,Year 932,
PT-0012,Constellation Dissolution,boundary_dynamics,,relational,boundary dynamics,sudden,progressive,subacute,severe_to_catastrophic,"dens_proximity, trust_failure, ghost_contamination","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",moderate_positive,uncommon,192,clustered,"identity_confusion, boundary_fluctuation, neighbor_blending",coordination_difficulty,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Gradient Blindness, Gradual Boundary Weakening, Attractor Switching Disorder",variable_often_serious,complete_dissolution,high,low,False,,none,very_poor,Pemlik Tross,850,Pemlik Tross's framework for boundary dynamics,signal_noise_accumulation,partially_understood,"Gradual Boundary Weakening, Pathological Merger, Sudden Boundary Collapse",,,BO-0001,"Vorn Year 930, Pemlik Tross Year 850",0.92,Year 933,
PT-0013,False Arrival Syndrome,attractor_navigation,,functional,attractor navigation,gradual,variable,subacute,moderate_to_severe,"signal_noise, boundary_interference, horizon_shrinkage","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",moderate_positive,common,23,clustered,"disorientation, wandering, arrival_confusion",navigation_hesitation,"At least 2 of: disorientation, wandering, arrival_confusion","Pathological Merger, Gradual Boundary Weakening, Basin Collapse",variable_from_recovery_to_chronic,permanent_disability,low,low,True,"navigation_recalibration, resonance_retuning",moderately_effective,good,Rellen Voss,924,Rellen Voss's framework for attractor navigation,horizon_contraction_cycle,well_understood,"Gradient Blindness, Navigation Paralysis, Endless Wandering",Basin Inaccessibility,,AT-0001,"Vorn Year 930, Rellen Voss Year 924",0.61,Year 933,
PT-0014,Endless Wandering,attractor_navigation,,functional,attractor navigation,triggered,progressive,subacute,moderate_to_severe,"signal_noise, boundary_interference, horizon_shrinkage","boundary_instability, pattern_degradation, aging","high_integration, trust_maintenance, horizon_expansion",none,uncommon,254,capital_region,"disorientation, wandering, arrival_confusion",mild_disorientation,"At least 2 of: disorientation, wandering, arrival_confusion","Navigation Paralysis, Constellation Dissolution, Pathological Merger",variable_often_serious,permanent_disability,high,low,True,"navigation_recalibration, resonance_retuning",experimental,poor,Rellen Voss,925,Rellen Voss's framework for attractor navigation,trust_erosion_spiral,partially_understood,"Trajectory Loop Syndrome, Gradient Blindness, Navigation Paralysis",Morphospace Distortion,Basin Escape Failure,,"Vorn Year 930, Rellen Voss Year 925",0.88,Year 935,
PT-0015,Resonance Lock,attractor_navigation,,functional,attractor navigation,triggered,variable,chronic,variable,"signal_noise, boundary_interference, horizon_shrinkage","dens_proximity, weak_boundaries, isolation","high_integration, trust_maintenance, horizon_expansion",moderate_positive,common,251,uniform,"disorientation, wandering, arrival_confusion",horizon_narrowing,"At least 2 of: disorientation, wandering, arrival_confusion","Basin Inaccessibility, Morphospace Distortion, Selective Permeability Failure",variable_from_recovery_to_chronic,entity_replacement,moderate,none,True,"navigation_recalibration, resonance_retuning",limited,fair,Rellen Voss,923,Rellen Voss's framework for attractor navigation,pattern_interference_loop,poorly_understood,"Gradient Blindness, Endless Wandering, False Arrival Syndrome",,Gradual Boundary Weakening,AT-0001,"Vorn Year 930, Rellen Voss Year 923",0.66,Year 934,
PT-0016,Navigation Paralysis,attractor_navigation,,functional,attractor navigation,developmental,variable,permanent,moderate_to_severe,"signal_noise, boundary_interference, horizon_shrinkage","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",none,uncommon,103,uniform,"disorientation, wandering, arrival_confusion",occasional_foreign_thoughts,"At least 2 of: disorientation, wandering, arrival_confusion","Sudden Boundary Collapse, Attractor Switching Disorder, Absorption Syndrome",variable_often_serious,permanent_disability,high,low,True,"navigation_recalibration, resonance_retuning",limited,fair,Kella Vorn,927,Kella Vorn's framework for attractor navigation,boundary_degradation_cascade,poorly_understood,"Gradient Blindness, Trajectory Loop Syndrome, Resonance Lock",Sudden Boundary Collapse,,,"Vorn Year 930, Kella Vorn Year 927",0.92,Year 936,
PT-0017,Gradient Blindness,attractor_navigation,,functional,attractor navigation,developmental,progressive,subacute,mild_to_moderate,"signal_noise, boundary_interference, horizon_shrinkage","boundary_instability, pattern_degradation, aging","high_integration, trust_maintenance, horizon_expansion",none,rare,19,uniform,"disorientation, wandering, arrival_confusion",trust_decline,"At least 2 of: disorientation, wandering, arrival_confusion","Saddle Point Instability, Pathological Merger, Basin Inaccessibility",variable_often_serious,complete_dissolution,moderate,low,True,"navigation_recalibration, resonance_retuning",experimental,fair,Rellen Voss,926,Rellen Voss's framework for attractor navigation,boundary_degradation_cascade,partially_understood,"Navigation Paralysis, Resonance Lock, Trajectory Loop Syndrome",,,AT-0001,"Vorn Year 930, Rellen Voss Year 926",0.86,Year 940,
PT-0018,Trajectory Loop Syndrome,attractor_navigation,,functional,attractor navigation,triggered,progressive,permanent,variable,"signal_noise, boundary_interference, horizon_shrinkage","boundary_instability, pattern_degradation, aging","high_integration, trust_maintenance, horizon_expansion",none,uncommon,300,uniform,"disorientation, wandering, arrival_confusion",trust_decline,"At least 2 of: disorientation, wandering, arrival_confusion","Saddle Point Instability, Sudden Boundary Collapse, Morphospace Distortion",variable_often_serious,death,moderate,low,True,"navigation_recalibration, resonance_retuning",experimental,fair,Rellen Voss,925,Rellen Voss's framework for attractor navigation,trust_erosion_spiral,well_understood,"Gradient Blindness, False Arrival Syndrome, Resonance Lock",,Pathological Merger,AT-0001,"Vorn Year 930, Rellen Voss Year 925",0.96,Year 930,
PT-0019,Attractor Switching Disorder,attractor_navigation,,functional,attractor navigation,gradual,stable,permanent,mild_to_moderate,"signal_noise, boundary_interference, horizon_shrinkage","trauma_history, developmental_stage, high_stress","high_integration, trust_maintenance, horizon_expansion",moderate_positive,common,145,capital_region,"disorientation, wandering, arrival_confusion",trust_decline,"At least 2 of: disorientation, wandering, arrival_confusion","Ridge Dissolution, Sudden Boundary Collapse, Pathological Merger",variable_from_recovery_to_chronic,death,moderate,low,True,"navigation_recalibration, resonance_retuning",moderately_effective,fair,Kella Vorn,928,Kella Vorn's framework for attractor navigation,pattern_interference_loop,poorly_understood,"Navigation Paralysis, Gradient Blindness, False Arrival Syndrome",,,,"Vorn Year 930, Kella Vorn Year 928",0.98,Year 930,
PT-0020,Basin Escape Failure,attractor_navigation,,functional,attractor navigation,developmental,variable,chronic,mild_to_moderate,"signal_noise, boundary_interference, horizon_shrinkage","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",weak_positive,rare,4,capital_region,"disorientation, wandering, arrival_confusion",coordination_difficulty,"At least 2 of: disorientation, wandering, arrival_confusion","Ridge Dissolution, Resonance Lock, Basin Collapse",variable_often_serious,entity_replacement,moderate,none,True,"navigation_recalibration, resonance_retuning",experimental,fair,Rellen Voss,927,Rellen Voss's framework for attractor navigation,pattern_interference_loop,well_understood,"Navigation Paralysis, Resonance Lock, Gradient Blindness",,,AT-0001,"Vorn Year 930, Rellen Voss Year 927",0.8,Year 932,
PT-0021,Trace Contamination,ghost_persistence,,temporal,ghost persistence,oscillating,variable,variable,moderate_to_severe,"prior_occupant, failed_ingression, weak_boundaries","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",moderate_positive,very_common,292,uniform,"foreign_memories, inappropriate_behaviors, pattern_overlay",horizon_narrowing,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Navigation Paralysis, Trajectory Loop Syndrome, Morphospace Distortion",usually_recovery_or_stabilization,entity_replacement,low,moderate,True,"ghost_clearance, pattern_editing",moderately_effective,excellent,Sareth Moll,922,Sareth Moll's framework for ghost persistence,pattern_interference_loop,well_understood,"Memory Corruption, Identity Intrusion, Behavior Overlay",Saddle Point Instability,Ghost Replacement,GH-0001,"Vorn Year 930, Sareth Moll Year 922",0.75,Year 935,
PT-0022,Behavior Overlay,ghost_persistence,,functional,ghost persistence,gradual,progressive,subacute,variable,"prior_occupant, failed_ingression, weak_boundaries","federation_dysfunction, communication_breakdown, goal_conflict","early_intervention, adequate_resources, skilled_healer",moderate_positive,common,85,dens_proximate,"foreign_memories, inappropriate_behaviors, pattern_overlay",coordination_difficulty,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Resonance Lock, Endless Wandering, Trajectory Loop Syndrome",variable_from_recovery_to_chronic,permanent_disability,moderate,low,True,"ghost_clearance, pattern_editing",limited,fair,Sareth Moll,923,Sareth Moll's framework for ghost persistence,horizon_contraction_cycle,well_understood,"Memory Corruption, Identity Intrusion, Trace Contamination",,,,"Vorn Year 930, Sareth Moll Year 923",0.88,Year 930,
PT-0023,Identity Intrusion,ghost_persistence,,functional,ghost persistence,sudden,variable,variable,severe_to_catastrophic,"prior_occupant, failed_ingression, weak_boundaries","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",strong_positive,uncommon,246,dens_proximate,"foreign_memories, inappropriate_behaviors, pattern_overlay",coordination_difficulty,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Sudden Boundary Collapse, Entity Fragmentation, Basin Inaccessibility",variable_often_serious,entity_replacement,high,low,True,"ghost_clearance, pattern_editing",experimental,fair,Sareth Moll,924,Sareth Moll's framework for ghost persistence,horizon_contraction_cycle,well_understood,"Ghost Replacement, Behavior Overlay, Trace Contamination",Morphospace Distortion,Resonance Lock,,"Vorn Year 930, Sareth Moll Year 924",0.96,Year 933,
PT-0024,Memory Corruption,ghost_persistence,,temporal,ghost persistence,oscillating,self_limiting,permanent,moderate_to_severe,"prior_occupant, failed_ingression, weak_boundaries","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",strong_positive,common,33,clustered,"foreign_memories, inappropriate_behaviors, pattern_overlay",horizon_narrowing,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Ridge Dissolution, Trajectory Loop Syndrome, Selective Permeability Failure",variable_from_recovery_to_chronic,death,moderate,moderate,True,"ghost_clearance, pattern_editing",moderately_effective,fair,Sareth Moll,923,Sareth Moll's framework for ghost persistence,horizon_contraction_cycle,well_understood,"Behavior Overlay, Development Derailment, Trace Contamination",,Selective Permeability Failure,,"Vorn Year 930, Sareth Moll Year 923",0.95,Year 934,
PT-0025,Development Derailment,ghost_persistence,,developmental,ghost persistence,developmental,relapsing,acute,variable,"prior_occupant, failed_ingression, weak_boundaries","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",strong_positive,uncommon,140,capital_region,"foreign_memories, inappropriate_behaviors, pattern_overlay",horizon_narrowing,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Pathological Merger, Morphospace Distortion, Attractor Switching Disorder",variable_often_serious,entity_replacement,moderate,moderate,True,"ghost_clearance, pattern_editing",limited,fair,Kella Vorn,927,Kella Vorn's framework for ghost persistence,horizon_contraction_cycle,poorly_understood,"Behavior Overlay, Ghost Replacement, Identity Intrusion",,,GH-0001,"Vorn Year 930, Kella Vorn Year 927",0.91,Year 933,
PT-0026,Ghost Replacement,ghost_persistence,,functional,ghost persistence,developmental,stable,acute,mild_to_moderate,"prior_occupant, failed_ingression, weak_boundaries","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",moderate_positive,rare,19,capital_region,"foreign_memories, inappropriate_behaviors, pattern_overlay",subtle_boundary_fluctuation,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Gradient Blindness, Basin Collapse, Ridge Dissolution",variable_often_serious,entity_replacement,moderate,low,True,"ghost_clearance, pattern_editing",limited,poor,Sareth Moll,925,Sareth Moll's framework for ghost persistence,trust_erosion_spiral,partially_understood,"Behavior Overlay, Memory Corruption, Trace Contamination",,,GH-0001,"Vorn Year 930, Sareth Moll Year 925",0.76,Year 935,
PT-0027,Navigation Ghost Interference,ghost_persistence,,functional,ghost persistence,sudden,relapsing,variable,severe_to_catastrophic,"prior_occupant, failed_ingression, weak_boundaries","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",moderate_positive,common,118,capital_region,"foreign_memories, inappropriate_behaviors, pattern_overlay",mild_disorientation,"At least 2 of: foreign_memories, inappropriate_behaviors, pattern_overlay","Trajectory Loop Syndrome, Saddle Point Instability, Basin Inaccessibility",variable_from_recovery_to_chronic,entity_replacement,low,moderate,True,"ghost_clearance, pattern_editing",moderately_effective,fair,Kella Vorn,928,Kella Vorn's framework for ghost persistence,trust_erosion_spiral,partially_understood,"Development Derailment, Behavior Overlay, Trace Contamination",,,GH-0001,"Vorn Year 930, Kella Vorn Year 928",0.92,Year 938,
PT-0028,Trauma-Induced Horizon Collapse,temporal_bridging,,temporal,temporal bridging,developmental,relapsing,variable,moderate_to_severe,"trauma, dens_exposure, isolation, aging","trauma_history, developmental_stage, high_stress","high_integration, trust_maintenance, horizon_expansion",weak_positive,common,19,clustered,"temporal_myopia, planning_failure, care_shrinkage",trust_decline,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Saddle Point Instability, Attractor Switching Disorder, Absorption Syndrome",variable_from_recovery_to_chronic,death,moderate,low,True,"horizon_expansion, social_reconnection",moderately_effective,good,Mira Strand,916,Mira Strand's framework for temporal bridging,ingression_failure_cascade,poorly_understood,"Dens-Proximity Horizon Shrinkage, Selective Temporal Myopia, Age-Related Horizon Decline",Pathological Merger,,TE-0001,"Vorn Year 930, Mira Strand Year 916",0.8,Year 933,
PT-0029,Dens-Proximity Horizon Shrinkage,temporal_bridging,,temporal,temporal bridging,sudden,stable,permanent,mild_to_moderate,"trauma, dens_exposure, isolation, aging","boundary_instability, pattern_degradation, aging","early_intervention, adequate_resources, skilled_healer",moderate_positive,common,85,dens_proximate,"temporal_myopia, planning_failure, care_shrinkage",subtle_boundary_fluctuation,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Ridge Dissolution, Attractor Switching Disorder, Basin Inaccessibility",variable_from_recovery_to_chronic,death,low,low,True,"horizon_expansion, social_reconnection",moderately_effective,good,Mira Strand,918,Mira Strand's framework for temporal bridging,ingression_failure_cascade,poorly_understood,"Trauma-Induced Horizon Collapse, Age-Related Horizon Decline, Selective Temporal Myopia",Trajectory Loop Syndrome,,TE-0001,"Vorn Year 930, Mira Strand Year 918",0.68,Year 939,
PT-0030,Age-Related Horizon Decline,temporal_bridging,,temporal,temporal bridging,oscillating,progressive,permanent,variable,"trauma, dens_exposure, isolation, aging","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",moderate_positive,very_common,125,dens_proximate,"temporal_myopia, planning_failure, care_shrinkage",trust_decline,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Selective Permeability Failure, Absorption Syndrome, Entity Fragmentation",usually_recovery_or_stabilization,death,low,low,True,"horizon_expansion, social_reconnection",moderately_effective,good,Mira Strand,920,Mira Strand's framework for temporal bridging,ingression_failure_cascade,partially_understood,"Isolation-Induced Shrinkage, Trauma-Induced Horizon Collapse, Bridge Failure Syndrome",Selective Permeability Failure,,,"Vorn Year 930, Mira Strand Year 920",0.96,Year 933,
PT-0031,Isolation-Induced Shrinkage,temporal_bridging,,temporal,temporal bridging,oscillating,relapsing,acute,moderate_to_severe,"trauma, dens_exposure, isolation, aging","federation_dysfunction, communication_breakdown, goal_conflict","early_intervention, adequate_resources, skilled_healer",weak_positive,common,175,clustered,"temporal_myopia, planning_failure, care_shrinkage",coordination_difficulty,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Navigation Paralysis, Endless Wandering, Selective Permeability Failure",variable_from_recovery_to_chronic,entity_replacement,moderate,low,False,,none,poor,Kira Strand,926,Kira Strand's framework for temporal bridging,pattern_interference_loop,poorly_understood,"Selective Temporal Myopia, Trauma-Induced Horizon Collapse, Dens-Proximity Horizon Shrinkage",,Gradient Blindness,,"Vorn Year 930, Kira Strand Year 926",0.63,Year 938,
PT-0032,Bridge Failure Syndrome,temporal_bridging,,temporal,temporal bridging,triggered,stable,chronic,mild_to_moderate,"trauma, dens_exposure, isolation, aging","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",none,uncommon,262,capital_region,"temporal_myopia, planning_failure, care_shrinkage",coordination_difficulty,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Entity Fragmentation, Absorption Syndrome, Pathological Merger",variable_often_serious,complete_dissolution,moderate,none,True,"horizon_expansion, social_reconnection",experimental,fair,Mira Strand,922,Mira Strand's framework for temporal bridging,trust_erosion_spiral,partially_understood,"Selective Temporal Myopia, Dens-Proximity Horizon Shrinkage, Age-Related Horizon Decline",,,TE-0001,"Vorn Year 930, Mira Strand Year 922",0.79,Year 936,
PT-0033,Selective Temporal Myopia,temporal_bridging,,temporal,temporal bridging,oscillating,variable,permanent,severe_to_catastrophic,"trauma, dens_exposure, isolation, aging","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",weak_positive,common,265,capital_region,"temporal_myopia, planning_failure, care_shrinkage",mild_disorientation,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Attractor Switching Disorder, Trajectory Loop Syndrome, Sudden Boundary Collapse",variable_from_recovery_to_chronic,permanent_disability,low,low,True,"horizon_expansion, social_reconnection",limited,fair,Kira Strand,928,Kira Strand's framework for temporal bridging,trust_erosion_spiral,poorly_understood,"Trauma-Induced Horizon Collapse, Dens-Proximity Horizon Shrinkage, Age-Related Horizon Decline",Endless Wandering,,,"Vorn Year 930, Kira Strand Year 928",0.6,Year 930,
