equilibrium_id,equilibrium_name,entity_ids,entity_count,equilibrium_type,stability_score,restoration_rate,net_tension,sympathetic_force_total,antipathetic_force_total,force_ratio,centroid_x,centroid_y,centroid_z,spatial_extent,formation_year,persistence_years,perturbation_count,documented_by,documentation_method,confidence,description,notes
TE-0015,,"EN-009,MS-0074,EN-004",3,triadic,0.64,0.46,0.0893,5.61,4.69,1.196,-0.7427,-0.3218,-0.7603,0.137,1843,96,6,Constellation Survey,historical_persistence,0.55,Triadic equilibrium involving 3 entities.,
TE-0016,,"MS-0091,MS-0103,EN-012",3,triadic,0.78,0.65,0.148,5.39,4.0,1.347,0.434,-0.7,0.2657,0.137,1836,58,0,Archive Survey Team,stability_testing,0.57,Triadic equilibrium involving 3 entities.,
TE-0017,,"EN-009,EN-008,MS-0121,MS-0137,MS-0130,MS-0001",6,cluster,0.61,0.43,0.0855,3.85,4.57,0.842,-0.5242,-0.755,0.1443,0.262,918,85,4,Constellation Survey,constellation_mapping,0.76,Cluster equilibrium involving 6 entities.,
TE-0018,,"MS-0092,MS-0113,MS-0125,MS-0136,MS-0046,MS-0008,EN-010,MS-0108,MS-0029,MS-0043",10,constellation,0.46,0.33,0.0153,5.98,5.8,1.031,-0.5167,-0.7308,-0.5026,0.281,929,99,3,K. Strand,mathematical_derivation,0.59,Constellation equilibrium involving 10 entities.,
TE-0019,,"MS-0079,MS-0095,MS-0047",3,triadic,0.64,0.61,0.1692,5.46,3.88,1.407,-0.4996,0.4934,0.6132,0.185,922,22,3,T. Vells,historical_persistence,0.81,Triadic equilibrium involving 3 entities.,
TE-0020,,"MS-0047,MS-0058,MS-0026",3,triadic,0.76,0.72,0.1074,3.3,2.66,1.241,0.3755,-0.3882,-0.7301,0.171,1843,49,3,P. Tross,constellation_mapping,0.88,Triadic equilibrium involving 3 entities.,
TE-0021,,"MS-0145,MS-0102",2,dyadic,0.85,0.75,0.0882,5.48,6.54,0.838,-0.661,0.3167,0.1762,0.211,930,14,2,K. Strand,tension_analysis,0.94,Dyadic equilibrium involving 2 entities.,
TE-0022,,"MS-0082,EN-001,MS-0122,MS-0034",4,cluster,0.5,0.42,0.0881,5.59,6.67,0.838,-0.4757,-0.5942,-0.6605,0.207,913,95,6,T. Vells,tension_analysis,0.62,Cluster equilibrium involving 4 entities.,
TE-0023,The Secondary Stand,"MS-0099,MS-0035,MS-0132,MS-0120,MS-0085",5,nested,0.58,0.62,0.0522,7.72,8.57,0.901,-0.7907,-0.1094,0.3331,0.158,924,16,1,P. Tross,stability_testing,0.71,Nested equilibrium involving 5 entities.,
TE-0024,,"EN-005,EN-002,MS-0113,MS-0021,MS-0128,EN-002",6,cluster,0.7,0.66,0.1202,3.55,4.52,0.785,-0.6822,-0.6524,-0.3801,0.262,926,27,2,T. Vells,constellation_mapping,0.86,Cluster equilibrium involving 6 entities.,
TE-0025,,"MS-0140,EN-006,EN-006,MS-0105,MS-0035,MS-0137,MS-0079,MS-0073,EN-004",9,constellation,0.51,0.54,0.0316,2.94,2.76,1.065,-0.717,0.5641,0.1137,0.259,920,9,0,K. Strand,constellation_mapping,0.72,Constellation equilibrium involving 9 entities.,
TE-0026,The Quintic Balance,"EN-008,EN-006,EN-007",3,triadic,0.64,0.69,0.0695,6.23,7.16,0.87,-0.7015,-0.5765,0.2229,0.248,1843,88,8,Archive Survey Team,mathematical_derivation,0.88,Triadic equilibrium involving 3 entities.,
TE-0027,The Triadic Stand,"MS-0045,EN-003,MS-0147,EN-003,MS-0050",5,cluster,0.56,0.61,0.0279,1.74,1.84,0.946,-0.2983,-0.4595,0.594,0.244,1849,72,5,T. Vells,stability_testing,0.62,Cluster equilibrium involving 5 entities.,
TE-0028,The Shallow Stand,"MS-0034,MS-0050",2,dyadic,0.91,0.76,0.0752,1.43,1.23,1.163,-0.4264,-0.073,-0.014,0.18,928,32,6,T. Vells,mathematical_derivation,0.59,Dyadic equilibrium involving 2 entities.,
TE-0029,,"MS-0111,MS-0007,EN-009,MS-0027,MS-0018,MS-0138,MS-0021,MS-0138",8,cluster,0.76,0.81,0.0643,3.31,2.91,1.137,0.777,0.761,-0.3155,0.239,916,45,8,P. Tross,constellation_mapping,0.54,Cluster equilibrium involving 8 entities.,
TE-0030,,"MS-0056,MS-0099,MS-0141,MS-0134,MS-0139,MS-0094,MS-0131,MS-0019,MS-0129,MS-0115,MS-0149,MS-0088",12,constellation,0.4,0.34,0.0397,4.84,4.47,1.083,0.696,-0.7871,0.3876,0.322,912,78,9,P. Tross,historical_persistence,0.67,Constellation equilibrium involving 12 entities.,
TE-0031,The Southern Stand,"MS-0102,MS-0080,EN-006,MS-0113,MS-0107,MS-0066,EN-001",7,cluster,0.68,0.52,0.0858,6.93,8.23,0.842,-0.5704,-0.3156,0.3745,0.229,1845,6,1,K. Strand,tension_analysis,0.52,Cluster equilibrium involving 7 entities.,
TE-0032,,"MS-0016,MS-0114,MS-0017",3,triadic,0.83,0.69,0.0672,3.97,3.47,1.144,0.37,0.3285,-0.7524,0.208,919,71,14,T. Vells,constellation_mapping,0.94,Triadic equilibrium involving 3 entities.,
TE-0033,Breathing Tension Field,"EN-006,MS-0085,EN-007,MS-0079",4,cluster,0.75,0.71,0.1257,6.12,7.88,0.777,-0.7003,0.1153,0.2561,0.142,919,81,2,P. Tross,mathematical_derivation,0.81,Cluster equilibrium involving 4 entities.,
TE-0034,,"MS-0064,MS-0085",2,dyadic,0.51,0.42,0.0322,7.05,6.61,1.067,-0.3962,-0.3289,0.3193,0.186,922,5,0,T. Vells,mathematical_derivation,0.82,Dyadic equilibrium involving 2 entities.,
TE-0035,The Southern Balance,"MS-0133,MS-0084,EN-004,MS-0032,MS-0063,EN-008,MS-0144,MS-0087,MS-0002,MS-0017",10,constellation,0.45,0.44,0.1124,6.78,5.41,1.253,-0.48,-0.6792,0.3353,0.374,916,25,5,K. Strand,historical_persistence,0.84,Constellation equilibrium involving 10 entities.,
TE-0036,,"MS-0049,MS-0079,MS-0045,EN-012,MS-0074,MS-0122,MS-0077,MS-0122",8,constellation,0.52,0.47,0.0198,2.58,2.48,1.04,-0.6968,0.5196,-0.1218,0.298,1842,68,10,P. Tross,tension_analysis,0.75,Constellation equilibrium involving 8 entities.,
TE-0037,,"MS-0112,MS-0091",2,dyadic,0.54,0.52,0.1389,3.69,2.79,1.323,-0.596,0.5515,0.2989,0.184,913,85,14,P. Tross,historical_persistence,0.82,Dyadic equilibrium involving 2 entities.,
TE-0038,,"MS-0085,MS-0126,MS-0131,EN-012,EN-002,MS-0023,MS-0013,EN-010",8,cluster,0.65,0.61,0.037,6.86,6.37,1.077,0.1602,-0.372,-0.6405,0.354,930,90,9,P. Tross,tension_analysis,0.62,Cluster equilibrium involving 8 entities.,
TE-0039,,"EN-004,MS-0010,MS-0092",3,triadic,0.69,0.52,0.1722,4.56,3.22,1.416,0.2149,0.5626,0.6892,0.122,914,9,0,P. Tross,constellation_mapping,0.85,Triadic equilibrium involving 3 entities.,
TE-0040,Ancient Tension Field,"MS-0003,MS-0094,EN-010",3,triadic,0.83,0.88,0.042,3.65,3.97,0.919,0.048,0.3226,0.4905,0.194,1851,27,1,Constellation Survey,historical_persistence,0.51,Triadic equilibrium involving 3 entities.,
TE-0041,,"EN-011,EN-001",2,dyadic,0.75,0.78,0.1113,5.07,6.34,0.8,0.2131,-0.1607,0.3888,0.182,922,12,2,P. Tross,historical_persistence,0.63,Dyadic equilibrium involving 2 entities.,
TE-0042,The Breathing Stand,"MS-0070,EN-001,MS-0096,MS-0054",4,cluster,0.9,0.69,0.085,6.51,5.49,1.186,-0.4608,0.2981,0.3777,0.187,926,62,2,K. Strand,historical_persistence,0.54,Cluster equilibrium involving 4 entities.,
TE-0043,,"EN-002,MS-0031",2,dyadic,0.84,0.86,0.0424,2.6,2.83,0.919,-0.639,-0.5825,-0.716,0.219,917,54,1,P. Tross,historical_persistence,0.8,Dyadic equilibrium involving 2 entities.,
TE-0044,Secondary Tension Field,"MS-0101,MS-0015",2,dyadic,0.9,0.82,0.0237,6.19,6.49,0.954,-0.5843,-0.0585,-0.5886,0.197,917,91,12,P. Tross,tension_analysis,0.79,Dyadic equilibrium involving 2 entities.,
TE-0045,The Outer Balance,"MS-0089,MS-0064,EN-004,EN-002,EN-002,MS-0107",6,cluster,0.88,0.77,0.082,3.1,2.63,1.179,0.4361,-0.1093,-0.6737,0.275,924,7,1,Constellation Survey,constellation_mapping,0.5,Cluster equilibrium involving 6 entities.,
TE-0046,,"MS-0035,EN-008,MS-0005,MS-0006,MS-0140,MS-0042",6,nested,0.62,0.62,0.1297,7.75,10.06,0.77,0.5992,0.0639,-0.5455,0.311,919,67,9,P. Tross,tension_analysis,0.68,Nested equilibrium involving 6 entities.,
TE-0047,,"MS-0054,EN-011,MS-0130,MS-0096,MS-0091,EN-001,MS-0025",7,cluster,0.51,0.4,0.0651,5.17,5.89,0.878,-0.6403,0.6634,-0.0801,0.24,927,41,4,T. Vells,tension_analysis,0.94,Cluster equilibrium involving 7 entities.,
TE-0048,Inner Stable Configuration,"MS-0030,MS-0135,MS-0052,MS-0076,MS-0034,MS-0054",6,cluster,0.89,0.65,0.0728,2.1,2.43,0.864,-0.3363,-0.5563,-0.3545,0.222,919,97,0,Archive Survey Team,tension_analysis,0.74,Cluster equilibrium involving 6 entities.,
TE-0049,,"MS-0055,MS-0108,MS-0018",3,triadic,0.74,0.57,0.0335,5.49,5.87,0.935,-0.1574,-0.5741,0.287,0.197,1841,97,10,K. Strand,tension_analysis,0.7,Triadic equilibrium involving 3 entities.,
TE-0050,The Central Balance,"MS-0117,MS-0008,MS-0144",3,triadic,0.74,0.8,0.0341,3.96,4.24,0.934,-0.5605,0.7646,-0.1344,0.137,927,74,1,Archive Survey Team,historical_persistence,0.94,Triadic equilibrium involving 3 entities.,
TE-0051,,"EN-005,MS-0111,MS-0092,MS-0023,MS-0022",5,nested,0.7,0.56,0.1486,1.43,1.06,1.349,0.2158,0.5675,0.164,0.224,923,10,0,Constellation Survey,mathematical_derivation,0.83,Nested equilibrium involving 5 entities.,
TE-0052,,"EN-008,MS-0112",2,dyadic,0.7,0.58,0.117,4.82,3.81,1.265,-0.6475,-0.4996,-0.4358,0.234,919,62,9,T. Vells,constellation_mapping,0.87,Dyadic equilibrium involving 2 entities.,
TE-0053,,"MS-0045,MS-0004,MS-0115",3,triadic,0.75,0.81,0.0452,7.6,8.32,0.913,0.6165,-0.5435,0.0642,0.224,924,81,2,P. Tross,mathematical_derivation,0.77,Triadic equilibrium involving 3 entities.,
TE-0054,,"MS-0037,MS-0146",2,dyadic,0.59,0.58,0.135,7.4,5.64,1.312,0.5064,-0.1016,-0.0889,0.166,917,85,7,T. Vells,mathematical_derivation,0.69,Dyadic equilibrium involving 2 entities.,
TE-0055,,"MS-0102,MS-0062,MS-0146",3,triadic,0.85,0.8,0.1688,1.8,1.28,1.406,-0.3227,-0.4408,-0.5035,0.131,927,64,10,T. Vells,tension_analysis,0.64,Triadic equilibrium involving 3 entities.,
TE-0056,,"EN-001,MS-0025",2,dyadic,0.54,0.4,0.0969,5.49,4.52,1.215,0.7152,-0.5543,0.386,0.096,928,92,14,T. Vells,mathematical_derivation,0.87,Dyadic equilibrium involving 2 entities.,
TE-0057,,"MS-0102,MS-0087,MS-0107,MS-0031",4,cluster,0.63,0.5,0.1095,6.28,5.04,1.246,0.3312,-0.1834,-0.5056,0.207,1834,70,9,P. Tross,constellation_mapping,0.62,Cluster equilibrium involving 4 entities.,
TE-0058,,"MS-0115,MS-0034,MS-0059,MS-0119",4,cluster,0.7,0.68,0.1748,5.31,3.73,1.424,-0.1092,-0.7128,0.2766,0.235,1832,57,10,P. Tross,constellation_mapping,0.54,Cluster equilibrium involving 4 entities.,
TE-0059,Outer Stable Configuration,"EN-010,MS-0098,MS-0018",3,triadic,0.72,0.61,0.1584,7.9,5.74,1.376,0.4702,0.645,0.2098,0.153,1834,35,2,P. Tross,mathematical_derivation,0.72,Triadic equilibrium involving 3 entities.,
TE-0060,,"MS-0103,EN-010,MS-0030,EN-003,MS-0075",5,cluster,0.67,0.67,0.1171,7.63,6.03,1.265,-0.0453,-0.0395,-0.0794,0.274,924,81,6,Archive Survey Team,mathematical_derivation,0.74,Cluster equilibrium involving 5 entities.,
TE-0061,Outer Stable Configuration,"MS-0080,MS-0148",2,dyadic,0.75,0.73,0.0392,3.68,3.98,0.925,0.3811,0.3405,0.1537,0.19,927,31,2,K. Strand,mathematical_derivation,0.85,Dyadic equilibrium involving 2 entities.,
TE-0062,,"MS-0034,MS-0051,EN-003",3,triadic,0.57,0.62,0.0486,2.05,1.86,1.102,-0.6222,0.417,0.3488,0.113,1842,85,6,T. Vells,stability_testing,0.88,Triadic equilibrium involving 3 entities.,
TE-0063,,"EN-012,MS-0075,MS-0016",3,triadic,0.78,0.61,0.0132,2.68,2.61,1.027,0.5795,0.2783,-0.6552,0.234,928,12,2,K. Strand,historical_persistence,0.86,Triadic equilibrium involving 3 entities.,
TE-0064,The Breathing Equilibrium,"MS-0057,MS-0107",2,dyadic,0.94,0.72,0.1116,2.44,1.95,1.251,-0.6214,0.2016,0.2728,0.128,912,14,0,T. Vells,mathematical_derivation,0.68,Dyadic equilibrium involving 2 entities.,
TE-0065,The Shallow Tension,"EN-003,MS-0008",2,dyadic,0.59,0.58,0.027,3.96,4.18,0.947,0.1541,-0.3726,-0.1766,0.179,926,67,1,K. Strand,constellation_mapping,0.83,Dyadic equilibrium involving 2 entities.,
TE-0066,Triadic Stable Configuration,"MS-0125,MS-0001,MS-0074",3,triadic,0.66,0.51,0.005,3.95,3.99,0.99,0.354,0.7767,-0.3126,0.172,1848,56,5,Archive Survey Team,stability_testing,0.74,Triadic equilibrium involving 3 entities.,
TE-0067,,"MS-0122,MS-0052",2,dyadic,0.93,0.92,0.135,3.11,2.37,1.312,-0.1923,-0.1611,-0.5183,0.132,1845,15,2,P. Tross,historical_persistence,0.81,Dyadic equilibrium involving 2 entities.,
TE-0068,,"MS-0077,MS-0039,MS-0051,MS-0001,MS-0128,MS-0112,MS-0142",7,cluster,0.7,0.7,0.0321,2.41,2.26,1.066,-0.0504,-0.2905,-0.5766,0.291,1849,23,1,P. Tross,tension_analysis,0.63,Cluster equilibrium involving 7 entities.,
TE-0069,,"MS-0100,MS-0052",2,dyadic,0.73,0.79,0.0908,6.11,7.33,0.834,-0.0882,0.6749,-0.6685,0.151,912,94,15,Archive Survey Team,historical_persistence,0.5,Dyadic equilibrium involving 2 entities.,
TE-0070,The Secondary Equilibrium,"MS-0150,MS-0027",2,dyadic,0.75,0.56,0.0931,7.57,6.28,1.205,-0.5427,0.3453,-0.665,0.126,1830,38,3,T. Vells,mathematical_derivation,0.91,Dyadic equilibrium involving 2 entities.,
TE-0071,,"MS-0125,EN-002,MS-0011,EN-012,MS-0032,MS-0102",6,cluster,0.53,0.4,0.0136,5.23,5.09,1.028,-0.4093,-0.0907,-0.688,0.265,1851,89,3,Archive Survey Team,constellation_mapping,0.95,Cluster equilibrium involving 6 entities.,
TE-0072,The Deep Stand,"EN-001,MS-0041",2,dyadic,0.62,0.64,0.0611,4.99,5.64,0.885,0.496,0.3825,-0.4873,0.111,923,52,9,K. Strand,stability_testing,0.56,Dyadic equilibrium involving 2 entities.,
TE-0073,,"MS-0037,MS-0098,MS-0034,MS-0111,MS-0020",5,cluster,0.63,0.66,0.0827,5.63,4.77,1.18,-0.1166,0.1299,-0.617,0.201,926,65,5,Archive Survey Team,mathematical_derivation,0.89,Cluster equilibrium involving 5 entities.,
TE-0074,,"MS-0015,MS-0121,MS-0078",3,triadic,0.82,0.74,0.1125,7.89,9.89,0.798,-0.545,0.3228,-0.1926,0.245,1837,18,0,P. Tross,constellation_mapping,0.62,Triadic equilibrium involving 3 entities.,
TE-0075,,"MS-0093,MS-0116,MS-0129,EN-009,MS-0138,EN-006,MS-0069",7,cluster,0.9,0.94,0.0775,5.12,5.98,0.856,0.1968,0.5667,-0.294,0.195,1839,44,8,T. Vells,stability_testing,0.58,Cluster equilibrium involving 7 entities.,
TE-0076,,"EN-007,MS-0072",2,dyadic,0.74,0.76,0.1192,2.16,1.7,1.271,-0.4857,-0.1458,0.0208,0.198,1843,64,9,T. Vells,tension_analysis,0.76,Dyadic equilibrium involving 2 entities.,
TE-0077,Central Tension Field,"MS-0102,MS-0078,MS-0122,MS-0047",4,cluster,0.59,0.43,0.0324,6.22,5.83,1.067,0.6952,0.4687,0.2172,0.247,1830,63,8,P. Tross,mathematical_derivation,0.68,Cluster equilibrium involving 4 entities.,
TE-0078,,"MS-0035,MS-0021,MS-0016,MS-0034",4,cluster,0.84,0.9,0.1237,2.68,2.09,1.282,-0.6927,-0.7839,-0.4766,0.243,924,82,7,Archive Survey Team,mathematical_derivation,0.95,Cluster equilibrium involving 4 entities.,
TE-0079,The Central Tension,"MS-0145,EN-001,MS-0105,MS-0062,EN-012,EN-007,MS-0065",7,cluster,0.7,0.6,0.1238,7.89,10.12,0.78,0.6216,-0.0726,-0.5652,0.332,914,78,4,T. Vells,historical_persistence,0.94,Cluster equilibrium involving 7 entities.,
TE-0080,,"MS-0030,MS-0028,MS-0079,MS-0072,MS-0109",5,cluster,0.57,0.55,0.0352,1.47,1.37,1.073,0.588,0.6523,-0.7758,0.177,920,83,3,P. Tross,constellation_mapping,0.52,Cluster equilibrium involving 5 entities.,
TE-0081,The Northern Equilibrium,"EN-004,EN-001,MS-0040,MS-0066,MS-0064,MS-0149,MS-0112,MS-0089,MS-0113,MS-0067,MS-0055",11,constellation,0.5,0.44,0.0457,1.03,0.94,1.096,0.7083,0.5949,-0.0434,0.343,1835,61,11,Archive Survey Team,mathematical_derivation,0.59,Constellation equilibrium involving 11 entities.,
TE-0082,,"MS-0131,MS-0087",2,dyadic,0.7,0.72,0.0134,4.17,4.06,1.027,0.757,0.4294,0.5298,0.186,912,54,2,P. Tross,stability_testing,0.82,Dyadic equilibrium involving 2 entities.,
TE-0083,,"MS-0099,EN-012,MS-0111,MS-0090,MS-0046,EN-012,MS-0113,MS-0057,MS-0101,MS-0046",10,constellation,0.66,0.63,0.0453,6.54,7.16,0.913,0.762,0.4824,0.7862,0.273,1846,30,3,Constellation Survey,constellation_mapping,0.82,Constellation equilibrium involving 10 entities.,
TE-0084,Southern Stable Configuration,"MS-0093,MS-0061",2,dyadic,0.86,0.74,0.1628,6.75,4.86,1.389,-0.3521,0.4407,-0.6106,0.164,918,88,8,K. Strand,mathematical_derivation,0.72,Dyadic equilibrium involving 2 entities.,
TE-0085,,"MS-0097,MS-0064",2,dyadic,0.57,0.52,0.0715,6.23,7.19,0.866,-0.5992,0.4365,-0.6941,0.153,914,20,2,T. Vells,constellation_mapping,0.53,Dyadic equilibrium involving 2 entities.,
TE-0086,,"MS-0055,MS-0040,MS-0109,MS-0031",4,cluster,0.74,0.79,0.164,1.1,0.79,1.392,-0.7782,0.7657,0.5875,0.162,1847,35,3,P. Tross,stability_testing,0.86,Cluster equilibrium involving 4 entities.,
TE-0087,The Binary Tension,"MS-0054,MS-0142,MS-0037,EN-006,MS-0124",5,cluster,0.86,0.66,0.1307,5.71,4.39,1.301,-0.4784,-0.4965,-0.7865,0.278,1835,44,0,T. Vells,tension_analysis,0.83,Cluster equilibrium involving 5 entities.,
TE-0088,,"MS-0130,MS-0125",2,dyadic,0.9,0.66,0.1229,1.32,1.69,0.781,0.4093,0.2114,0.119,0.227,1841,26,0,Archive Survey Team,mathematical_derivation,0.74,Dyadic equilibrium involving 2 entities.,
TE-0089,,"MS-0097,EN-009,MS-0006",3,triadic,0.61,0.63,0.0757,4.19,3.6,1.164,0.2129,-0.2288,-0.5556,0.259,930,84,12,Archive Survey Team,constellation_mapping,0.63,Triadic equilibrium involving 3 entities.,
TE-0090,,"MS-0087,MS-0084,MS-0090,MS-0075,MS-0046,MS-0068,MS-0120,EN-001,EN-003",9,constellation,0.54,0.4,0.1038,6.91,5.61,1.232,0.0687,-0.6029,-0.1093,0.314,914,27,5,Constellation Survey,stability_testing,0.63,Constellation equilibrium involving 9 entities.,
TE-0091,The Breathing Stand,"EN-001,MS-0017,MS-0064,MS-0143,EN-008,MS-0122,MS-0069",7,cluster,0.67,0.57,0.139,6.72,5.08,1.323,-0.6848,-0.3273,0.4195,0.294,916,22,3,Archive Survey Team,tension_analysis,0.62,Cluster equilibrium involving 7 entities.,
TE-0092,The Central Balance,"EN-012,MS-0137",2,dyadic,0.92,0.95,0.0944,3.74,4.52,0.827,-0.0124,0.7377,0.1948,0.156,1842,84,15,Archive Survey Team,mathematical_derivation,0.52,Dyadic equilibrium involving 2 entities.,
TE-0093,,"MS-0079,MS-0052",2,dyadic,0.74,0.81,0.0623,3.46,3.92,0.883,-0.6906,-0.3152,0.2111,0.238,927,26,0,Archive Survey Team,constellation_mapping,0.9,Dyadic equilibrium involving 2 entities.,
TE-0094,,"MS-0107,EN-012,MS-0092",3,triadic,0.93,0.92,0.0752,2.43,2.09,1.163,0.5007,0.553,-0.5115,0.243,917,48,4,T. Vells,stability_testing,0.67,Triadic equilibrium involving 3 entities.,
TE-0095,,"MS-0068,MS-0032,EN-010,MS-0064,MS-0133",5,cluster,0.73,0.72,0.0143,7.91,8.14,0.972,-0.5817,0.1971,0.4359,0.233,924,12,1,Archive Survey Team,historical_persistence,0.51,Cluster equilibrium involving 5 entities.,
TE-0096,,"EN-003,EN-004,EN-008,MS-0084,MS-0126",5,nested,0.42,0.4,0.0761,1.98,1.7,1.165,-0.2614,-0.6118,0.2211,0.261,916,80,4,Constellation Survey,stability_testing,0.73,Nested equilibrium involving 5 entities.,
TE-0097,The Stable Stand,"MS-0098,EN-008,EN-004",3,triadic,0.54,0.54,0.0821,4.19,4.94,0.848,0.7105,-0.5711,-0.6098,0.113,921,20,0,T. Vells,constellation_mapping,0.75,Triadic equilibrium involving 3 entities.,
TE-0098,The Stable Equilibrium,"EN-010,MS-0054,MS-0044,MS-0143,MS-0025",5,cluster,0.74,0.63,0.0389,1.47,1.36,1.081,0.4583,-0.4593,-0.3805,0.242,1844,58,9,P. Tross,constellation_mapping,0.58,Cluster equilibrium involving 5 entities.,
TE-0099,,"MS-0042,MS-0086,MS-0014,MS-0045",4,nested,0.37,0.28,0.0568,6.64,7.44,0.892,-0.4273,-0.6653,0.798,0.154,912,46,7,P. Tross,constellation_mapping,0.94,Nested equilibrium involving 4 entities.,
TE-0100,The Deep Equilibrium,"MS-0139,MS-0023,MS-0043",3,nested,0.64,0.47,0.0433,3.76,4.1,0.917,0.335,0.0909,-0.4078,0.259,1848,21,3,T. Vells,tension_analysis,0.62,Nested equilibrium involving 3 entities.,
TE-0101,,"MS-0047,EN-002,MS-0123",3,triadic,0.78,0.79,0.1169,4.92,3.89,1.265,0.4971,0.6841,0.2626,0.202,913,18,1,K. Strand,mathematical_derivation,0.76,Triadic equilibrium involving 3 entities.,
TE-0102,,"MS-0088,MS-0135",2,dyadic,0.56,0.52,0.0271,7.4,7.01,1.056,-0.7376,0.2432,-0.3386,0.202,913,41,4,P. Tross,mathematical_derivation,0.64,Dyadic equilibrium involving 2 entities.,
TE-0103,,"MS-0115,MS-0083,MS-0025,EN-005,MS-0008",5,cluster,0.92,0.7,0.1523,2.8,2.06,1.359,-0.0755,0.1947,0.1779,0.243,1849,82,14,P. Tross,stability_testing,0.92,Cluster equilibrium involving 5 entities.,
TE-0104,The Triadic Balance,"MS-0004,MS-0026",2,dyadic,0.68,0.49,0.0295,4.53,4.27,1.061,0.2386,-0.1585,0.3944,0.201,1833,73,1,Constellation Survey,tension_analysis,0.53,Dyadic equilibrium involving 2 entities.,
