experiment_id,experiment_name,year,experimenter,model_name,original_params,pruning_level,remaining_params,remaining_percent,pruning_method,reinit_method,train_from_scratch_acc,train_from_original_init_acc,train_from_random_init_acc,is_winning_ticket,epochs_to_target,target_acc,sparsity_pattern,notes
LT-013,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.36,32000,64.0,iterative,original,0.996,0.994,0.789,True,7456,0.99,gradual,"Second iteration"
LT-014,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.49,25600,51.2,iterative,original,0.994,0.991,0.723,True,7892,0.99,gradual,"Third iteration"
LT-015,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.59,20480,40.96,iterative,original,0.992,0.987,0.678,True,8234,0.99,gradual,"Fourth iteration"
LT-016,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.67,16384,32.77,iterative,original,0.989,0.981,0.623,True,8945,0.99,gradual,"Fifth iteration"
LT-017,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.74,13107,26.21,iterative,original,0.984,0.972,0.567,True,9678,0.99,sparse,"Sixth iteration"
LT-018,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.79,10486,20.97,iterative,original,0.976,0.958,0.512,True,11234,0.99,sparse,"Seventh iteration"
LT-019,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.83,8389,16.78,iterative,original,0.962,0.934,0.456,partial,14567,0.99,sparse,"Eighth iteration - degrading"
LT-020,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.87,6711,13.42,iterative,original,0.934,0.898,0.398,partial,19876,0.99,very_sparse,"Ninth iteration"
LT-021,One-Shot vs Iterative,924,Tobben Rast,grok_transformer_gamma,50000,0.8,10000,20.0,one_shot,original,0.934,0.912,0.412,partial,18234,0.99,structured,"One-shot 80%"
LT-022,One-Shot vs Iterative,924,Tobben Rast,grok_transformer_gamma,50000,0.8,10000,20.0,iterative,original,0.976,0.958,0.456,True,11234,0.99,gradual,"Iterative 80% - much better"
LT-023,Fourier-Aware Pruning,925,Lurra Venn,grok_transformer_delta,50000,0.6,20000,40.0,fourier_preserve,original,0.994,0.991,0.678,True,6789,0.99,fourier_structured,"Preserve Fourier components"
LT-024,Fourier-Aware Pruning,925,Lurra Venn,grok_transformer_delta,50000,0.6,20000,40.0,random,original,0.823,0.812,0.534,False,45678,0.99,random,"Random mask - fails"
LT-025,Fourier-Aware Pruning,925,Lurra Venn,grok_transformer_delta,50000,0.8,10000,20.0,fourier_preserve,original,0.978,0.965,0.512,True,9876,0.99,fourier_structured,"80% with Fourier preservation"
LT-026,Fourier-Aware Pruning,925,Lurra Venn,grok_transformer_delta,50000,0.9,5000,10.0,fourier_preserve,original,0.934,0.912,0.423,partial,15678,0.99,fourier_sparse,"90% with Fourier preservation"
LT-027,Lucky Seed Investigation,925,Tobben Rast,grok_transformer_epsilon,50000,0.6,20000,40.0,magnitude,original,0.996,0.994,0.689,True,5234,0.99,structured,"Lucky seed 5"
LT-028,Lucky Seed Investigation,925,Tobben Rast,grok_transformer_zeta,50000,0.6,20000,40.0,magnitude,original,0.456,0.423,0.345,False,50000,0.99,structured,"Unlucky seed 9 - no winning ticket"
LT-029,Lucky Seed Investigation,925,Tobben Rast,grok_transformer_eta,50000,0.6,20000,40.0,magnitude,original,0.989,0.982,0.667,True,8234,0.99,structured,"Average seed 42"
LT-030,Ticket Transfer,925,Lurra Venn,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,transfer_from_beta,0.978,0.956,0.589,partial,12345,0.99,structured,"Ticket from different model"
LT-031,Ticket Transfer,925,Lurra Venn,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,transfer_from_same_task,0.992,0.989,0.678,True,7234,0.99,structured,"Ticket from same task model"
LT-032,Ticket Transfer,925,Lurra Venn,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,transfer_from_diff_task,0.534,0.512,0.489,False,50000,0.99,structured,"Ticket from different task - fails"
LT-033,Archetype Mapping,925,Lurra Venn,lucky_fool_analog,50000,0.0,50000,100.0,none,lucky_init,0.999,0.999,0.823,True,4234,0.99,dense,"Lucky Fool archetype in ML"
LT-034,Archetype Mapping,925,Lurra Venn,accidental_expert,50000,0.0,50000,100.0,none,chaotic_init,0.989,0.978,0.912,True,6789,0.99,dense,"Accidental Expert - chaos to competence"
LT-035,Archetype Mapping,925,Lurra Venn,doomed_optimist,50000,0.0,50000,100.0,none,promising_init,0.456,0.423,0.534,False,50000,0.99,dense,"Doomed Optimist - early promise fails"
