expansion_id,case_name,entity_type,entity_id,entity_scale,initial_temporal_days,initial_spatial_km,initial_social_individuals,initial_abstract_score,initial_profile,final_temporal_days,final_spatial_km,final_social_individuals,final_abstract_score,final_profile,primary_dimension_expanded,expansion_magnitude,expansion_duration_days,expansion_trigger,expansion_mechanism,expansion_year,dens_proximity_km,social_support_level,expansion_stable,reversion_occurred,final_stability,documenter,documentation_method,confidence,description,strand_case_reference,notes
HE-0017,Expansion Case 17,creature,ENT-956,large_collective,316.9,8.87,17,0.05,standard_student,4839.2,73.07,671,0.44,standard_worker,social,2.88,22,mentorship,sudden_insight,903,56.2,moderate,True,False,stable,Archive Survey Team,behavioral_observation,0.83,Horizon expansion triggered by mentorship via sudden_insight,,
HE-0018,Expansion Case 18,creature,ENT-948,small_group,267.5,32.8,11,0.14,collapsed,3053.8,262.82,306,0.47,standard_worker,social,3.26,944,unknown,horizon_transfer,909,245.6,institutional,False,False,reverting,Archive Survey Team,pre_post_assessment,0.51,Horizon expansion triggered by unknown via horizon_transfer,,
HE-0019,Expansion Case 19,person,,individual,260.5,36.24,7,0.35,standard_student,11033.1,318.43,128,0.54,visionary,temporal,7.24,614,relationship,horizon_transfer,883,296.1,institutional,False,False,permanent,P. Anster,pre_post_assessment,0.86,Horizon expansion triggered by relationship via horizon_transfer,SC-17,
HE-0020,Expansion Case 20,person,,individual,132.1,22.75,1,0.37,standard_student,4133.1,202.67,45,0.68,standard_student,social,1.0,903,collective_membership,scaffold_building,892,283.7,moderate,False,False,fragile,Independent Observer,behavioral_observation,0.86,Horizon expansion triggered by collective_membership via scaffold_building,SC-385,
HE-0021,Expansion Case 21,creature,ENT-568,large_collective,59.9,41.37,16,0.23,collapsed,2924.7,207.67,126,0.73,standard_student,temporal,1.65,21,crisis_resolution,sudden_insight,925,464.7,strong,True,False,stable,Klutch CC Counseling,retrospective_interview,0.92,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0022,Expansion Case 22,creature,,small_group,313.8,41.2,17,0.11,survivor,15376.3,212.24,306,0.38,standard_worker,temporal,10.81,992,developmental,signal_restoration,910,107.7,moderate,True,False,permanent,Klutch CC Counseling,longitudinal_tracking,0.94,Horizon expansion triggered by developmental via signal_restoration,,
HE-0023,Expansion Case 23,person,ENT-881,individual,279.9,45.79,10,0.16,collapsed,12606.2,136.55,249,0.56,visionary,temporal,6.9,1931,mentorship,gradual_accumulation,937,35.5,minimal,True,False,stable,Archive Survey Team,longitudinal_tracking,0.58,Horizon expansion triggered by mentorship via gradual_accumulation,,
HE-0024,Expansion Case 24,creature,,small_group,327.1,12.54,10,0.04,survivor,14261.0,89.83,149,0.19,standard_student,temporal,1.09,3179,developmental,gradual_accumulation,926,66.2,strong,False,False,fragile,Independent Observer,behavioral_observation,0.75,Horizon expansion triggered by developmental via gradual_accumulation,,
HE-0025,Expansion Case 25,collective,,large_collective,334.7,30.78,18,0.14,standard_student,6149.8,146.61,185,0.51,standard_worker,temporal,2.45,502,responsibility,signal_restoration,928,354.7,moderate,False,False,stable,Archive Survey Team,behavioral_observation,0.76,Horizon expansion triggered by responsibility via signal_restoration,SC-426,
HE-0026,Expansion Case 26,collective,ENT-897,large_collective,113.5,8.88,2,0.39,standard_worker,2412.9,81.25,54,0.8,standard_student,social,1.0,2370,education,gradual_accumulation,897,337.2,institutional,True,False,stable,P. Anster,retrospective_interview,0.59,Horizon expansion triggered by education via gradual_accumulation,SC-491,
HE-0027,Expansion Case 27,person,,individual,39.7,49.31,20,0.05,survivor,1507.3,301.49,583,0.52,caretaker,temporal,3.84,26,crisis_resolution,sudden_insight,940,81.2,moderate,False,False,reverting,T. Vells,pre_post_assessment,0.88,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0028,Expansion Case 28,person,ENT-453,individual,224.7,37.11,16,0.02,survivor,10979.1,284.54,193,0.36,standard_student,temporal,6.29,919,unknown,horizon_transfer,888,143.3,moderate,True,True,reverting,Boundary Commission,longitudinal_tracking,0.87,Horizon expansion triggered by unknown via horizon_transfer,,
HE-0029,Expansion Case 29,creature,,small_group,252.0,3.14,6,0.25,survivor,8477.3,11.95,73,0.58,visionary,temporal,1.0,87,relationship,horizon_transfer,881,215.0,moderate,True,False,permanent,Archive Survey Team,pre_post_assessment,0.74,Horizon expansion triggered by relationship via horizon_transfer,SC-208,
HE-0030,Expansion Case 30,person,,individual,315.6,29.37,13,0.23,collapsed,11133.4,136.79,290,0.44,standard_worker,temporal,5.53,553,relationship,horizon_transfer,934,420.6,institutional,True,False,stable,Klutch CC Counseling,pre_post_assessment,0.82,Horizon expansion triggered by relationship via horizon_transfer,SC-168,
HE-0031,Expansion Case 31,collective,ENT-487,large_collective,231.2,10.97,19,0.38,collapsed,3908.7,53.25,790,0.86,standard_worker,social,3.94,980,responsibility,signal_restoration,908,179.6,institutional,True,True,permanent,Independent Observer,pre_post_assessment,0.77,Horizon expansion triggered by responsibility via signal_restoration,,
HE-0032,Expansion Case 32,creature,ENT-290,small_group,360.5,37.57,15,0.2,collapsed,5433.7,313.26,107,0.45,standard_worker,temporal,2.46,1519,mentorship,gradual_accumulation,907,252.8,strong,True,False,stable,R. Voss,behavioral_observation,0.64,Horizon expansion triggered by mentorship via gradual_accumulation,,
HE-0033,Expansion Case 33,person,ENT-131,individual,339.4,44.08,6,0.36,survivor,3613.9,249.93,180,0.55,standard_student,social,2.59,895,recovery,signal_restoration,891,358.3,minimal,True,True,reverting,T. Vells,behavioral_observation,0.5,Horizon expansion triggered by recovery via signal_restoration,,
HE-0034,Expansion Case 34,collective,,large_collective,311.2,1.9,13,0.29,survivor,13279.7,8.72,328,0.5,standard_student,temporal,1.0,678,recovery,signal_restoration,916,318.2,institutional,True,False,stable,T. Vells,pre_post_assessment,0.83,Horizon expansion triggered by recovery via signal_restoration,,
HE-0035,Expansion Case 35,person,ENT-342,individual,336.4,18.76,11,0.38,standard_student,16233.9,167.52,263,0.59,visionary,temporal,11.93,21,mentorship,sudden_insight,902,351.0,strong,True,False,stable,K. Strand,longitudinal_tracking,0.66,Horizon expansion triggered by mentorship via sudden_insight,,
HE-0036,Expansion Case 36,collective,,small_group,260.1,20.7,14,0.24,collapsed,1610.3,80.64,422,0.73,standard_student,social,1.12,2698,developmental,gradual_accumulation,914,275.1,moderate,True,False,permanent,Boundary Commission,behavioral_observation,0.65,Horizon expansion triggered by developmental via gradual_accumulation,,
HE-0037,Expansion Case 37,person,ENT-713,individual,66.0,26.33,0,0.26,collapsed,2523.4,197.83,68,0.62,standard_worker,social,1.0,845,collective_membership,scaffold_building,889,390.7,moderate,False,False,fluctuating,Archive Survey Team,longitudinal_tracking,0.64,Horizon expansion triggered by collective_membership via scaffold_building,SC-94,
HE-0038,Expansion Case 38,collective,,large_collective,253.2,20.11,14,0.18,standard_worker,949.0,122.23,380,0.44,caretaker,social,1.0,408,relationship,horizon_transfer,901,196.4,institutional,False,False,reverting,P. Anster,behavioral_observation,0.51,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0039,Expansion Case 39,person,,individual,275.1,43.66,1,0.25,survivor,1019.2,208.12,46,0.74,standard_worker,social,1.0,444,contemplation,horizon_transfer,892,81.3,moderate,True,False,stable,Archive Survey Team,longitudinal_tracking,0.63,Horizon expansion triggered by contemplation via horizon_transfer,SC-108,
HE-0040,Expansion Case 40,creature,ENT-657,large_collective,69.9,8.3,17,0.0,standard_student,1363.5,31.96,596,0.12,caretaker,social,1.0,50,collective_membership,signal_restoration,922,290.0,moderate,True,False,stable,P. Anster,retrospective_interview,0.87,Horizon expansion triggered by collective_membership via signal_restoration,SC-343,
HE-0041,Expansion Case 41,collective,,small_group,297.0,7.19,1,0.36,standard_worker,6706.8,25.67,13,0.86,jackson_type,temporal,1.0,2054,education,gradual_accumulation,896,88.5,institutional,True,False,stable,Klutch CC Counseling,behavioral_observation,0.74,Horizon expansion triggered by education via gradual_accumulation,,
HE-0042,Expansion Case 42,person,,individual,175.8,19.61,4,0.34,survivor,6843.6,123.8,31,0.83,jackson_type,temporal,1.0,621,recovery,signal_restoration,928,395.6,institutional,False,False,fragile,Archive Survey Team,pre_post_assessment,0.85,Horizon expansion triggered by recovery via signal_restoration,,
HE-0043,Expansion Case 43,collective,ENT-769,small_group,303.8,4.49,18,0.25,survivor,2657.4,37.55,182,0.54,standard_student,social,1.0,22,mentorship,sudden_insight,880,366.1,moderate,True,True,fragile,Archive Survey Team,behavioral_observation,0.76,Horizon expansion triggered by mentorship via sudden_insight,,
HE-0044,Expansion Case 44,creature,,large_collective,140.8,10.27,13,0.21,survivor,1680.1,94.52,161,0.6,standard_worker,social,1.0,406,recovery,signal_restoration,893,252.3,moderate,True,False,permanent,Klutch CC Counseling,pre_post_assessment,0.89,Horizon expansion triggered by recovery via signal_restoration,,
HE-0045,Expansion Case 45,person,ENT-545,individual,213.6,7.04,8,0.38,standard_worker,4190.2,65.27,195,0.7,standard_student,social,1.08,746,collective_membership,scaffold_building,905,352.4,moderate,True,False,permanent,M. Strand,longitudinal_tracking,0.54,Horizon expansion triggered by collective_membership via scaffold_building,,
HE-0046,Expansion Case 46,person,,individual,242.0,33.82,15,0.38,standard_worker,8543.8,317.37,736,0.78,visionary,social,43.2,3536,unknown,gradual_accumulation,882,366.3,strong,False,False,reverting,Archive Survey Team,retrospective_interview,0.95,Horizon expansion triggered by unknown via gradual_accumulation,,
HE-0047,Expansion Case 47,creature,,large_collective,115.2,38.16,8,0.03,standard_student,1036.7,276.1,219,0.49,standard_student,social,1.0,105,collective_membership,horizon_transfer,910,350.4,minimal,True,False,permanent,Klutch CC Counseling,pre_post_assessment,0.52,Horizon expansion triggered by collective_membership via horizon_transfer,SC-378,
HE-0048,Expansion Case 48,collective,ENT-878,small_group,150.1,22.24,1,0.15,survivor,5208.7,41.24,32,0.52,standard_student,temporal,1.0,905,recovery,signal_restoration,935,30.8,strong,True,False,permanent,C. Vells,retrospective_interview,0.71,Horizon expansion triggered by recovery via signal_restoration,SC-383,
HE-0049,Expansion Case 49,collective,ENT-882,large_collective,264.7,4.49,6,0.09,standard_student,7142.9,20.21,75,0.55,standard_student,temporal,1.0,362,new_purpose,institutional_embedding,915,119.0,minimal,False,True,permanent,T. Vells,longitudinal_tracking,0.56,Horizon expansion triggered by new_purpose via institutional_embedding,SC-78,
HE-0050,Expansion Case 50,creature,,small_group,133.8,2.74,17,0.39,standard_worker,3529.3,15.34,365,0.72,standard_student,temporal,1.0,498,relationship,horizon_transfer,934,436.9,institutional,False,False,permanent,P. Anster,longitudinal_tracking,0.72,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0051,Expansion Case 51,person,,individual,54.6,40.74,6,0.15,standard_worker,2613.5,298.12,108,0.6,standard_worker,temporal,1.5,613,collective_membership,scaffold_building,917,486.9,moderate,True,False,permanent,Archive Survey Team,pre_post_assessment,0.66,Horizon expansion triggered by collective_membership via scaffold_building,,
HE-0052,Expansion Case 52,collective,,large_collective,77.2,33.16,4,0.28,collapsed,2775.9,71.96,50,0.66,standard_student,temporal,1.0,126,new_purpose,scaffold_building,923,225.7,strong,True,False,stable,K. Strand,behavioral_observation,0.68,Horizon expansion triggered by new_purpose via scaffold_building,,
HE-0053,Expansion Case 53,creature,ENT-998,large_collective,44.9,18.89,17,0.12,survivor,1403.9,56.12,325,0.22,standard_worker,temporal,1.0,5,crisis_resolution,sudden_insight,931,345.4,strong,False,False,stable,Independent Observer,behavioral_observation,0.62,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0054,Expansion Case 54,person,,individual,9.7,31.38,12,0.2,standard_worker,383.2,252.97,262,0.33,caretaker,temporal,1.0,999,developmental,signal_restoration,883,387.6,moderate,False,False,fragile,P. Anster,pre_post_assessment,0.79,Horizon expansion triggered by developmental via signal_restoration,SC-380,
HE-0055,Expansion Case 55,creature,,small_group,198.9,34.65,6,0.01,survivor,5936.6,116.94,273,0.26,standard_student,social,1.38,767,new_purpose,horizon_transfer,907,71.8,strong,True,False,stable,Boundary Commission,behavioral_observation,0.55,Horizon expansion triggered by new_purpose via horizon_transfer,SC-498,
HE-0056,Expansion Case 56,person,ENT-115,individual,231.9,46.64,5,0.26,standard_student,6986.7,462.11,114,0.36,standard_student,temporal,3.96,268,relationship,horizon_transfer,899,480.0,minimal,True,False,stable,Boundary Commission,pre_post_assessment,0.72,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0057,Expansion Case 57,collective,,small_group,104.9,45.64,14,0.24,survivor,3048.2,291.7,149,0.46,standard_worker,temporal,1.77,317,responsibility,horizon_transfer,882,78.4,moderate,False,False,stable,M. Strand,retrospective_interview,0.8,Horizon expansion triggered by responsibility via horizon_transfer,,
HE-0058,Expansion Case 58,person,,individual,47.5,15.69,1,0.18,collapsed,402.6,141.6,37,0.65,standard_student,social,1.0,584,relationship,horizon_transfer,884,185.8,minimal,False,False,permanent,P. Anster,longitudinal_tracking,0.91,Horizon expansion triggered by relationship via horizon_transfer,SC-266,
HE-0059,Expansion Case 59,collective,,large_collective,196.9,17.34,10,0.22,survivor,9067.2,66.3,234,0.71,visionary,temporal,2.85,885,developmental,scaffold_building,903,310.9,minimal,False,False,permanent,P. Anster,behavioral_observation,0.74,Horizon expansion triggered by developmental via scaffold_building,,
HE-0060,Expansion Case 60,person,,individual,224.8,35.4,7,0.36,survivor,7585.8,297.66,344,0.74,visionary,social,16.18,774,new_purpose,institutional_embedding,905,487.6,minimal,True,True,stable,K. Strand,longitudinal_tracking,0.54,Horizon expansion triggered by new_purpose via institutional_embedding,,
HE-0061,Expansion Case 61,collective,ENT-371,small_group,338.4,13.32,10,0.05,collapsed,15926.9,21.59,318,0.51,visionary,temporal,1.59,311,relationship,horizon_transfer,882,165.2,strong,False,False,fluctuating,K. Strand,longitudinal_tracking,0.87,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0062,Expansion Case 62,collective,ENT-319,small_group,160.6,6.97,10,0.08,standard_worker,5511.8,56.9,413,0.42,standard_student,social,1.52,947,contemplation,horizon_transfer,930,151.7,minimal,True,False,permanent,Klutch CC Counseling,pre_post_assessment,0.56,Horizon expansion triggered by contemplation via horizon_transfer,SC-299,
HE-0063,Expansion Case 63,creature,ENT-948,small_group,344.9,17.41,7,0.12,survivor,4629.5,64.93,168,0.51,standard_student,social,1.0,30,crisis_resolution,sudden_insight,897,454.2,minimal,True,False,stable,K. Strand,longitudinal_tracking,0.78,Horizon expansion triggered by crisis_resolution via sudden_insight,SC-299,
HE-0064,Expansion Case 64,collective,ENT-371,large_collective,202.3,48.9,3,0.12,standard_student,4547.4,302.04,34,0.27,standard_student,temporal,1.0,8,developmental,sudden_insight,929,273.8,institutional,False,False,stable,Independent Observer,behavioral_observation,0.57,Horizon expansion triggered by developmental via sudden_insight,SC-49,
HE-0065,Expansion Case 65,person,ENT-416,individual,34.3,21.29,3,0.09,survivor,641.6,191.84,85,0.33,standard_worker,social,1.0,94,contemplation,signal_restoration,936,305.5,strong,True,False,stable,R. Voss,pre_post_assessment,0.52,Horizon expansion triggered by contemplation via signal_restoration,,
HE-0066,Expansion Case 66,collective,,small_group,256.8,19.42,4,0.16,standard_student,10107.4,134.49,16,0.29,standard_student,temporal,1.0,62,relationship,horizon_transfer,896,304.3,moderate,True,False,stable,C. Vells,pre_post_assessment,0.66,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0067,Expansion Case 67,collective,,small_group,235.4,22.34,13,0.13,standard_worker,7354.6,219.75,288,0.47,standard_worker,temporal,6.17,2484,education,gradual_accumulation,912,432.1,minimal,False,True,stable,Boundary Commission,pre_post_assessment,0.82,Horizon expansion triggered by education via gradual_accumulation,SC-401,
HE-0068,Expansion Case 68,creature,ENT-299,large_collective,164.3,49.06,12,0.08,survivor,1942.1,463.19,374,0.19,standard_student,social,1.8,113,relationship,horizon_transfer,886,287.8,minimal,False,False,fluctuating,K. Strand,retrospective_interview,0.61,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0069,Expansion Case 69,creature,,large_collective,188.7,6.98,20,0.13,survivor,1302.9,37.52,93,0.41,standard_student,temporal,1.0,821,recovery,signal_restoration,908,263.7,institutional,True,True,stable,M. Strand,longitudinal_tracking,0.69,Horizon expansion triggered by recovery via signal_restoration,,
HE-0070,Expansion Case 70,creature,ENT-114,small_group,141.3,11.86,0,0.06,standard_worker,5902.1,29.22,23,0.24,standard_worker,temporal,1.0,2549,collective_membership,gradual_accumulation,914,313.7,institutional,True,False,permanent,P. Anster,pre_post_assessment,0.82,Horizon expansion triggered by collective_membership via gradual_accumulation,,
HE-0071,Expansion Case 71,person,ENT-780,individual,327.0,38.19,9,0.21,collapsed,12827.1,297.3,90,0.7,visionary,temporal,7.34,28,responsibility,sudden_insight,937,473.6,moderate,True,False,stable,T. Vells,retrospective_interview,0.73,Horizon expansion triggered by responsibility via sudden_insight,,
HE-0072,Expansion Case 72,person,ENT-680,individual,320.0,44.46,1,0.14,standard_student,6179.8,350.31,38,0.63,standard_student,social,1.79,449,new_purpose,horizon_transfer,904,390.6,moderate,False,True,stable,Independent Observer,pre_post_assessment,0.55,Horizon expansion triggered by new_purpose via horizon_transfer,,
HE-0073,Expansion Case 73,creature,,small_group,261.7,11.86,9,0.04,survivor,11496.4,90.47,18,0.21,standard_student,temporal,1.0,1681,contemplation,gradual_accumulation,909,446.5,minimal,False,False,reverting,T. Vells,longitudinal_tracking,0.58,Horizon expansion triggered by contemplation via gradual_accumulation,SC-310,
HE-0074,Expansion Case 74,creature,,small_group,320.8,16.43,3,0.27,standard_worker,2868.4,48.73,91,0.64,standard_student,social,1.0,736,unknown,institutional_embedding,892,251.0,strong,True,False,permanent,Archive Survey Team,behavioral_observation,0.57,Horizon expansion triggered by unknown via institutional_embedding,SC-14,
HE-0075,Expansion Case 75,person,,individual,148.2,48.49,4,0.31,collapsed,1042.2,364.66,109,0.54,standard_worker,social,1.0,785,mentorship,horizon_transfer,904,393.4,strong,True,True,stable,M. Strand,behavioral_observation,0.74,Horizon expansion triggered by mentorship via horizon_transfer,,
HE-0076,Expansion Case 76,person,,individual,268.4,2.73,7,0.07,collapsed,10144.7,26.5,151,0.18,standard_student,temporal,1.0,28,crisis_resolution,sudden_insight,900,43.8,moderate,True,False,permanent,Archive Survey Team,longitudinal_tracking,0.68,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0077,Expansion Case 77,collective,,small_group,255.1,15.88,5,0.35,collapsed,6377.0,80.45,51,0.48,standard_worker,temporal,1.0,980,responsibility,signal_restoration,927,126.4,strong,False,False,reverting,R. Voss,retrospective_interview,0.87,Horizon expansion triggered by responsibility via signal_restoration,,
HE-0078,Expansion Case 78,collective,,large_collective,185.5,21.65,6,0.06,survivor,3273.2,88.96,181,0.54,standard_student,social,1.0,7,crisis_resolution,sudden_insight,917,494.4,minimal,True,True,stable,Independent Observer,pre_post_assessment,0.68,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0079,Expansion Case 79,collective,ENT-777,small_group,255.1,28.39,9,0.32,collapsed,1193.2,115.25,162,0.47,standard_worker,social,1.0,841,responsibility,signal_restoration,902,144.9,institutional,False,False,reverting,P. Anster,longitudinal_tracking,0.9,Horizon expansion triggered by responsibility via signal_restoration,,
HE-0080,Expansion Case 80,creature,ENT-318,large_collective,171.4,42.84,18,0.33,collapsed,2821.4,320.4,235,0.69,standard_worker,temporal,4.22,505,contemplation,scaffold_building,917,59.1,institutional,True,False,stable,Archive Survey Team,longitudinal_tracking,0.86,Horizon expansion triggered by contemplation via scaffold_building,SC-146,
HE-0081,Expansion Case 81,creature,,small_group,59.4,43.99,1,0.09,survivor,624.0,385.41,39,0.55,standard_student,social,1.0,941,developmental,signal_restoration,923,420.6,moderate,True,False,permanent,T. Vells,retrospective_interview,0.76,Horizon expansion triggered by developmental via signal_restoration,,
HE-0082,Expansion Case 82,person,,individual,163.0,13.18,8,0.37,standard_worker,839.4,97.1,80,0.59,standard_worker,social,1.0,756,contemplation,institutional_embedding,919,444.4,strong,True,False,permanent,R. Voss,longitudinal_tracking,0.55,Horizon expansion triggered by contemplation via institutional_embedding,,
HE-0083,Expansion Case 83,person,ENT-316,individual,238.9,16.25,4,0.34,collapsed,11851.0,123.21,134,0.45,standard_worker,temporal,2.62,625,mentorship,horizon_transfer,905,347.6,moderate,True,False,stable,T. Vells,retrospective_interview,0.82,Horizon expansion triggered by mentorship via horizon_transfer,SC-194,
HE-0084,Expansion Case 84,person,,individual,66.4,47.01,13,0.4,collapsed,2571.1,128.56,414,0.79,standard_student,temporal,3.02,486,relationship,horizon_transfer,928,107.7,institutional,False,False,stable,Boundary Commission,retrospective_interview,0.92,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0085,Expansion Case 85,person,,individual,233.5,20.18,17,0.11,standard_worker,10321.1,107.05,203,0.21,standard_worker,temporal,1.39,3,responsibility,sudden_insight,897,216.0,moderate,False,True,reverting,R. Voss,behavioral_observation,0.53,Horizon expansion triggered by responsibility via sudden_insight,,
HE-0086,Expansion Case 86,person,ENT-453,individual,271.9,49.51,20,0.07,survivor,11019.4,326.97,191,0.4,standard_student,temporal,7.88,70,unknown,scaffold_building,894,212.2,moderate,True,False,stable,Archive Survey Team,pre_post_assessment,0.59,Horizon expansion triggered by unknown via scaffold_building,,
HE-0087,Expansion Case 87,collective,ENT-885,small_group,202.3,31.51,18,0.08,survivor,8151.0,90.5,181,0.44,standard_worker,temporal,1.72,11,crisis_resolution,sudden_insight,916,386.3,minimal,True,False,stable,P. Anster,pre_post_assessment,0.76,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0088,Expansion Case 88,creature,ENT-407,small_group,338.9,44.91,12,0.38,standard_student,8617.7,89.28,136,0.5,visionary,temporal,1.56,926,education,scaffold_building,892,58.4,strong,True,False,permanent,K. Strand,behavioral_observation,0.82,Horizon expansion triggered by education via scaffold_building,,
HE-0089,Expansion Case 89,creature,ENT-516,large_collective,228.9,9.64,15,0.32,standard_worker,536.3,37.17,98,0.78,standard_worker,social,1.0,902,responsibility,horizon_transfer,906,163.9,moderate,False,True,reverting,Klutch CC Counseling,longitudinal_tracking,0.71,Horizon expansion triggered by responsibility via horizon_transfer,SC-122,
HE-0090,Expansion Case 90,creature,ENT-717,small_group,27.7,33.6,2,0.39,survivor,120.6,260.26,91,0.58,standard_worker,social,1.0,229,recovery,signal_restoration,939,385.1,moderate,True,False,stable,T. Vells,pre_post_assessment,0.88,Horizon expansion triggered by recovery via signal_restoration,,
