arrival_id,trajectory_id,destination_form_id,destination_form_name,basin_id,arrival_position,arrival_year,arrival_type,distance_from_center,arrival_velocity,stabilization_time,stability_achieved,match_quality,persistence_duration,prior_exposure,inherited_trajectory,guidance_received,observer,observation_method,confidence,description,notes
AA-0011,NT-0168,MS-0071,Form 0071,BA-050,inner,927,sudden_collapse,0.1033,0.4023,39,0.725,0.795,459,True,True,False,C. Vells,direct_observation,0.744,Arrival at Form 0071 observed over 39 days.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0012,NT-0415,MS-0034,Form 0034,BA-018,ridge_adjacent,923,sudden_collapse,0.2578,0.2307,21,0.763,0.604,438,False,True,False,K. Strand,instrumental_measurement,0.61,Arrival at Form 0034 observed over 21 days.,Lineage shows similar trajectory pattern.
AA-0013,NT-0449,MS-0094,Form 0094,BA-014,center,920,drift_capture,0.0373,0.13,69,0.945,0.932,203,True,True,False,C. Vells,direct_observation,0.665,System settled into center position of BA-014 via drift_capture.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0014,NT-0067,MS-0027,The Five-Body Form,BA-005,center,926,gradual_convergence,0.0253,0.0361,22,0.958,0.761,439,False,False,False,K. Strand,retrospective_analysis,0.791,System settled into center position of BA-005 via gradual_convergence.,
AA-0015,NT-0099,MS-0076,Form 0076,BA-040,outer,931,drift_capture,0.1994,0.0549,37,0.696,0.634,999,False,False,False,C. Vells,direct_observation,0.928,System settled into outer position of BA-040 via drift_capture.,
AA-0016,NT-0075,MS-0026,Form 0026,BA-034,center,918,oscillating_approach,0.0421,0.2307,46,0.983,0.75,65,True,False,False,Boundary Commission,form_recognition,0.943,System settled into center position of BA-034 via oscillating_approach.,Prior exposure to this Form documented.
AA-0017,,MS-0036,Form 0036,BA-031,inner,922,sudden_collapse,0.0486,0.4696,29,0.807,0.811,259,False,True,False,R. Voss,direct_observation,0.729,Stabilization to 0.81 achieved after sudden_collapse approach.,Lineage shows similar trajectory pattern.
AA-0018,NT-0463,MS-0056,Form 0056,BA-035,center,920,forced_insertion,0.0179,0.0592,44,0.987,0.836,167,False,True,False,K. Strand,instrumental_measurement,0.694,Stabilization to 0.99 achieved after forced_insertion approach.,Lineage shows similar trajectory pattern.
AA-0019,,MS-0031,Form 0031,BA-011,ridge_adjacent,924,sudden_collapse,0.2831,0.3267,90,0.519,0.621,999,False,True,False,R. Voss,retrospective_analysis,0.851,Stabilization to 0.52 achieved after sudden_collapse approach.,Lineage shows similar trajectory pattern.
AA-0020,,MS-0041,Form 0041,BA-024,center,919,gradual_convergence,0.0347,0.021,64,0.985,0.606,999,True,True,False,Boundary Commission,form_recognition,0.634,Form manifestation confirmed at distance 0.035 from center.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0021,,MS-0093,Form 0093,BA-049,outer,929,oscillating_approach,0.1377,0.1295,18,0.659,0.904,37,False,True,False,K. Strand,retrospective_analysis,0.764,Form manifestation confirmed at distance 0.138 from center.,Lineage shows similar trajectory pattern.
AA-0022,NT-0448,MS-0004,The Tension,BA-003,center,926,gradual_convergence,0.0033,0.061,38,0.95,0.731,999,False,True,False,Archive Survey Team,form_recognition,0.73,Arrival at The Tension observed over 38 days.,Lineage shows similar trajectory pattern.
AA-0023,NT-0047,MS-0099,Form 0099,BA-002,center,921,drift_capture,0.0017,0.1111,19,0.958,0.918,444,False,True,False,K. Strand,direct_observation,0.618,Arrival at Form 0099 observed over 19 days.,Lineage shows similar trajectory pattern.
AA-0024,NT-0381,MS-0023,Form 0023,BA-013,ridge_adjacent,922,gradual_convergence,0.2992,0.0137,41,0.763,0.749,357,False,True,False,K. Strand,direct_observation,0.812,Arrival at Form 0023 observed over 41 days.,Lineage shows similar trajectory pattern.
AA-0025,NT-0196,MS-0069,Form 0069,BA-026,center,929,forced_insertion,0.0259,0.2267,80,0.964,0.927,494,False,False,True,C. Vells,direct_observation,0.632,System settled into center position of BA-026 via forced_insertion.,
AA-0026,NT-0392,MS-0030,Form 0030,BA-029,inner,927,oscillating_approach,0.0933,0.1645,38,0.706,0.869,999,False,True,False,C. Vells,retrospective_analysis,0.828,Form manifestation confirmed at distance 0.093 from center.,Lineage shows similar trajectory pattern.
AA-0027,NT-0137,MS-0056,Form 0056,BA-035,center,928,oscillating_approach,0.03,0.1333,37,0.911,0.948,999,False,False,False,Boundary Commission,direct_observation,0.894,Arrival at Form 0056 observed over 37 days.,
AA-0028,,MS-0017,Form 0017,BA-036,inner,919,drift_capture,0.0442,0.244,21,0.74,0.853,232,False,True,False,C. Vells,instrumental_measurement,0.918,Form manifestation confirmed at distance 0.044 from center.,Lineage shows similar trajectory pattern.
AA-0029,NT-0210,MS-0022,Form 0022,BA-037,ridge_adjacent,931,sudden_collapse,0.2068,0.4267,90,0.648,0.601,127,False,False,False,C. Vells,behavior_signature,0.601,Form manifestation confirmed at distance 0.207 from center.,
AA-0030,NT-0444,MS-0003,The Breathing Mode,BA-015,outer,922,oscillating_approach,0.1649,0.1936,40,0.602,0.762,999,True,False,True,K. Strand,direct_observation,0.748,Stabilization to 0.60 achieved after oscillating_approach approach.,Prior exposure to this Form documented.
AA-0031,,MS-0034,Form 0034,BA-018,center,927,forced_insertion,0.0328,0.0787,19,0.993,0.783,453,False,False,False,C. Vells,direct_observation,0.614,Arrival at Form 0034 observed over 19 days.,
AA-0032,,MS-0066,Form 0066,BA-006,outer,926,gradual_convergence,0.1266,0.0858,26,0.731,0.671,999,False,False,False,K. Strand,retrospective_analysis,0.941,Stabilization to 0.73 achieved after gradual_convergence approach.,
AA-0033,,MS-0015,Form 0015,BA-050,outer,924,forced_insertion,0.1087,0.2116,16,0.678,0.722,999,False,True,False,Archive Survey Team,instrumental_measurement,0.933,Stabilization to 0.68 achieved after forced_insertion approach.,Lineage shows similar trajectory pattern.
AA-0034,,MS-0073,Form 0073,BA-010,inner,919,oscillating_approach,0.0795,0.2479,69,0.784,0.989,459,True,True,False,R. Voss,form_recognition,0.865,Form manifestation confirmed at distance 0.079 from center.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0035,,MS-0037,Form 0037,BA-036,outer,921,sudden_collapse,0.1903,0.3608,24,0.579,0.914,161,False,False,False,Boundary Commission,behavior_signature,0.916,System settled into outer position of BA-036 via sudden_collapse.,
AA-0036,,MS-0012,Form 0012,BA-025,inner,921,gradual_convergence,0.0894,0.0831,25,0.74,0.635,130,True,True,True,T. Vells,form_recognition,0.774,Stabilization to 0.74 achieved after gradual_convergence approach.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0037,NT-0271,MS-0062,Form 0062,BA-014,center,925,forced_insertion,0.009,0.1899,86,0.956,0.861,999,False,True,False,T. Vells,instrumental_measurement,0.97,Arrival at Form 0062 observed over 86 days.,Lineage shows similar trajectory pattern.
AA-0038,,MS-0065,Form 0065,BA-018,inner,930,drift_capture,0.0553,0.108,31,0.743,0.673,486,False,True,False,C. Vells,retrospective_analysis,0.655,System settled into inner position of BA-018 via drift_capture.,Lineage shows similar trajectory pattern.
AA-0039,NT-0122,MS-0089,Form 0089,BA-042,inner,929,gradual_convergence,0.0337,0.0684,26,0.738,0.637,128,False,False,False,C. Vells,behavior_signature,0.88,Stabilization to 0.74 achieved after gradual_convergence approach.,
AA-0040,,MS-0088,Form 0088,BA-041,center,927,forced_insertion,0.0106,0.2499,40,0.965,0.646,341,True,True,True,R. Voss,direct_observation,0.717,Form manifestation confirmed at distance 0.011 from center.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0041,NT-0302,MS-0043,Form 0043,BA-006,center,930,gradual_convergence,0.0493,0.0461,21,0.968,0.663,999,True,False,False,K. Strand,behavior_signature,0.715,Stabilization to 0.97 achieved after gradual_convergence approach.,Prior exposure to this Form documented.
AA-0042,NT-0115,MS-0039,Form 0039,BA-010,inner,919,gradual_convergence,0.1015,0.0639,83,0.877,0.894,317,False,False,False,C. Vells,retrospective_analysis,0.813,Form manifestation confirmed at distance 0.102 from center.,
AA-0043,NT-0246,MS-0046,Form 0046,BA-017,outer,920,gradual_convergence,0.1821,0.0894,45,0.615,0.632,999,False,False,False,Boundary Commission,retrospective_analysis,0.948,Arrival at Form 0046 observed over 45 days.,
AA-0044,NT-0381,MS-0058,Form 0058,BA-012,inner,921,oscillating_approach,0.0922,0.2442,79,0.884,0.787,140,True,False,False,Archive Survey Team,retrospective_analysis,0.756,Arrival at Form 0058 observed over 79 days.,Prior exposure to this Form documented.
AA-0045,NT-0102,MS-0041,Form 0041,BA-024,center,925,sudden_collapse,0.0461,0.396,90,0.933,0.761,162,False,False,False,Archive Survey Team,retrospective_analysis,0.823,System settled into center position of BA-024 via sudden_collapse.,
AA-0046,NT-0481,MS-0095,Form 0095,BA-025,center,930,drift_capture,0.0429,0.0647,21,0.966,0.604,999,False,False,False,T. Vells,behavior_signature,0.956,Stabilization to 0.97 achieved after drift_capture approach.,
AA-0047,NT-0495,MS-0004,The Tension,BA-003,inner,924,sudden_collapse,0.0517,0.281,18,0.833,0.978,251,False,True,False,R. Voss,instrumental_measurement,0.861,Arrival at The Tension observed over 18 days.,Lineage shows similar trajectory pattern.
AA-0048,NT-0024,MS-0044,Form 0044,BA-003,inner,918,bounce_settle,0.0477,0.2348,34,0.779,0.933,204,False,True,False,R. Voss,instrumental_measurement,0.852,Form manifestation confirmed at distance 0.048 from center.,Lineage shows similar trajectory pattern.
AA-0049,,MS-0002,The Binary Division,BA-002,inner,926,sudden_collapse,0.0433,0.3033,16,0.782,0.893,472,True,False,False,C. Vells,direct_observation,0.942,Stabilization to 0.78 achieved after sudden_collapse approach.,Prior exposure to this Form documented.
AA-0050,NT-0363,MS-0015,Form 0015,BA-050,inner,926,gradual_convergence,0.0385,0.0682,16,0.898,0.763,117,True,True,False,Archive Survey Team,form_recognition,0.884,Stabilization to 0.90 achieved after gradual_convergence approach.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0051,NT-0177,MS-0056,Form 0056,BA-035,center,927,bounce_settle,0.0003,0.2274,52,0.929,0.775,999,False,True,False,K. Strand,instrumental_measurement,0.901,Arrival at Form 0056 observed over 52 days.,Lineage shows similar trajectory pattern.
AA-0052,NT-0381,MS-0023,Form 0023,BA-013,inner,920,gradual_convergence,0.0553,0.0741,28,0.857,0.929,400,True,True,False,T. Vells,direct_observation,0.857,System settled into inner position of BA-013 via gradual_convergence.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0053,NT-0053,MS-0060,Form 0060,BA-037,ridge_adjacent,920,oscillating_approach,0.2735,0.195,85,0.531,0.687,466,False,False,False,K. Strand,behavior_signature,0.669,Form manifestation confirmed at distance 0.273 from center.,
AA-0054,NT-0043,MS-0084,Form 0084,BA-046,ridge_adjacent,931,gradual_convergence,0.2262,0.0226,25,0.685,0.898,251,True,True,False,C. Vells,direct_observation,0.749,Form manifestation confirmed at distance 0.226 from center.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0055,NT-0459,MS-0076,Form 0076,BA-040,inner,921,bounce_settle,0.0638,0.1332,37,0.87,0.913,247,True,True,False,C. Vells,direct_observation,0.645,Stabilization to 0.87 achieved after bounce_settle approach.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0056,,MS-0042,Form 0042,BA-013,outer,926,gradual_convergence,0.2112,0.0204,16,0.629,0.785,336,True,False,False,Archive Survey Team,direct_observation,0.925,Form manifestation confirmed at distance 0.211 from center.,Prior exposure to this Form documented.
AA-0057,NT-0292,MS-0078,Form 0078,BA-015,inner,920,gradual_convergence,0.0963,0.0767,52,0.858,0.857,999,False,False,False,Archive Survey Team,instrumental_measurement,0.614,Arrival at Form 0078 observed over 52 days.,
AA-0058,NT-0334,MS-0026,Form 0026,BA-034,outer,919,gradual_convergence,0.2288,0.0491,40,0.518,0.862,423,True,False,False,T. Vells,direct_observation,0.662,System settled into outer position of BA-034 via gradual_convergence.,Prior exposure to this Form documented.
AA-0059,NT-0462,MS-0062,Form 0062,BA-014,outer,918,oscillating_approach,0.1104,0.1446,80,0.587,0.817,33,False,False,True,R. Voss,direct_observation,0.867,Stabilization to 0.59 achieved after oscillating_approach approach.,
AA-0060,NT-0040,MS-0095,Form 0095,BA-025,ridge_adjacent,928,sudden_collapse,0.258,0.4237,27,0.546,0.978,390,True,False,False,C. Vells,instrumental_measurement,0.61,Arrival at Form 0095 observed over 27 days.,Prior exposure to this Form documented.
AA-0061,NT-0190,MS-0062,Form 0062,BA-014,inner,932,forced_insertion,0.109,0.103,61,0.792,0.674,330,False,False,True,Archive Survey Team,direct_observation,0.966,System settled into inner position of BA-014 via forced_insertion.,
AA-0062,NT-0376,MS-0008,Form 0008,BA-019,inner,921,gradual_convergence,0.0835,0.0549,38,0.745,0.755,193,False,True,False,R. Voss,behavior_signature,0.663,Arrival at Form 0008 observed over 38 days.,Lineage shows similar trajectory pattern.
AA-0063,NT-0130,MS-0078,Form 0078,BA-015,outer,930,gradual_convergence,0.2285,0.0558,69,0.588,0.866,236,False,False,True,T. Vells,retrospective_analysis,0.776,Form manifestation confirmed at distance 0.228 from center.,
AA-0064,,MS-0020,Form 0020,BA-046,ridge_adjacent,920,gradual_convergence,0.2625,0.0444,26,0.74,0.817,999,True,False,False,C. Vells,direct_observation,0.605,Stabilization to 0.74 achieved after gradual_convergence approach.,Prior exposure to this Form documented.
AA-0065,NT-0087,MS-0037,Form 0037,BA-036,center,929,gradual_convergence,0.0225,0.038,41,0.899,0.928,289,False,True,False,C. Vells,direct_observation,0.988,Arrival at Form 0037 observed over 41 days.,Lineage shows similar trajectory pattern.
AA-0066,NT-0154,MS-0042,Form 0042,BA-013,ridge_adjacent,919,forced_insertion,0.2358,0.1206,44,0.716,0.912,453,False,False,False,K. Strand,direct_observation,0.68,Stabilization to 0.72 achieved after forced_insertion approach.,
AA-0067,NT-0168,MS-0076,Form 0076,BA-040,center,929,forced_insertion,0.0458,0.1496,26,0.977,0.974,83,False,False,True,T. Vells,form_recognition,0.694,System settled into center position of BA-040 via forced_insertion.,
AA-0068,,MS-0036,Form 0036,BA-031,center,925,sudden_collapse,0.0186,0.4405,30,0.858,0.682,482,False,False,False,Boundary Commission,retrospective_analysis,0.781,System settled into center position of BA-031 via sudden_collapse.,
AA-0069,NT-0499,MS-0068,Form 0068,BA-028,outer,921,gradual_convergence,0.1802,0.0385,40,0.673,0.726,315,False,True,False,T. Vells,instrumental_measurement,0.64,Stabilization to 0.67 achieved after gradual_convergence approach.,Lineage shows similar trajectory pattern.
AA-0070,NT-0056,MS-0075,Form 0075,BA-010,inner,921,gradual_convergence,0.1091,0.0717,90,0.843,0.966,428,False,False,True,Archive Survey Team,retrospective_analysis,0.609,Arrival at Form 0075 observed over 90 days.,
AA-0071,NT-0288,MS-0055,Form 0055,BA-005,ridge_adjacent,921,forced_insertion,0.2646,0.0666,17,0.581,0.763,273,False,False,False,R. Voss,direct_observation,0.672,Arrival at Form 0055 observed over 17 days.,
AA-0072,,MS-0058,Form 0058,BA-012,center,924,sudden_collapse,0.0234,0.3495,90,0.907,0.626,372,True,True,True,T. Vells,instrumental_measurement,0.998,Arrival at Form 0058 observed over 90 days.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0073,NT-0037,MS-0075,Form 0075,BA-010,inner,931,gradual_convergence,0.0304,0.0571,71,0.72,0.69,233,False,False,False,T. Vells,direct_observation,0.922,Stabilization to 0.72 achieved after gradual_convergence approach.,
AA-0074,,MS-0064,Form 0064,BA-001,ridge_adjacent,926,gradual_convergence,0.2156,0.0783,33,0.609,0.604,141,False,False,False,K. Strand,direct_observation,0.739,Stabilization to 0.61 achieved after gradual_convergence approach.,
AA-0075,,MS-0023,Form 0023,BA-013,ridge_adjacent,919,gradual_convergence,0.207,0.0888,32,0.775,0.898,999,True,True,False,C. Vells,direct_observation,0.617,Stabilization to 0.77 achieved after gradual_convergence approach.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0076,NT-0237,MS-0042,Form 0042,BA-013,inner,930,gradual_convergence,0.0584,0.0611,17,0.723,0.986,372,False,True,False,R. Voss,behavior_signature,0.852,Stabilization to 0.72 achieved after gradual_convergence approach.,Lineage shows similar trajectory pattern.
AA-0077,,MS-0050,Form 0050,BA-010,outer,929,bounce_settle,0.241,0.0903,73,0.767,0.62,999,True,False,False,Boundary Commission,instrumental_measurement,0.807,Arrival at Form 0050 observed over 73 days.,Prior exposure to this Form documented.
AA-0078,NT-0404,MS-0080,Form 0080,BA-046,outer,921,gradual_convergence,0.1935,0.0991,40,0.537,0.642,54,False,False,False,Archive Survey Team,direct_observation,0.692,Arrival at Form 0080 observed over 40 days.,
AA-0079,NT-0487,MS-0057,Form 0057,BA-012,inner,924,sudden_collapse,0.041,0.3508,77,0.754,0.755,999,False,False,False,K. Strand,direct_observation,0.818,Form manifestation confirmed at distance 0.041 from center.,
AA-0080,,MS-0060,Form 0060,BA-037,outer,924,bounce_settle,0.1844,0.0613,82,0.733,0.897,430,False,False,False,K. Strand,instrumental_measurement,0.977,Form manifestation confirmed at distance 0.184 from center.,
AA-0081,NT-0138,MS-0047,Form 0047,BA-023,outer,920,oscillating_approach,0.1106,0.2129,64,0.706,0.904,480,True,False,True,T. Vells,direct_observation,0.942,Form manifestation confirmed at distance 0.111 from center.,Prior exposure to this Form documented.
AA-0082,NT-0145,MS-0008,Form 0008,BA-019,inner,925,gradual_convergence,0.0578,0.0398,22,0.734,0.618,396,False,False,False,R. Voss,direct_observation,0.643,Form manifestation confirmed at distance 0.058 from center.,
AA-0083,NT-0384,MS-0039,Form 0039,BA-010,inner,928,gradual_convergence,0.0658,0.0777,82,0.756,0.671,420,True,False,False,K. Strand,retrospective_analysis,0.734,System settled into inner position of BA-010 via gradual_convergence.,Prior exposure to this Form documented.
AA-0084,,MS-0017,Form 0017,BA-036,center,919,oscillating_approach,0.0308,0.1701,35,0.987,0.863,78,False,True,False,C. Vells,retrospective_analysis,0.691,System settled into center position of BA-036 via oscillating_approach.,Lineage shows similar trajectory pattern.
AA-0085,NT-0395,MS-0038,Form 0038,BA-021,center,922,drift_capture,0.0345,0.0955,53,0.889,0.75,466,True,True,False,K. Strand,instrumental_measurement,0.656,System settled into center position of BA-021 via drift_capture.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0086,NT-0109,MS-0053,Form 0053,BA-013,outer,919,forced_insertion,0.174,0.2445,38,0.53,0.993,283,False,True,False,Archive Survey Team,direct_observation,0.757,Form manifestation confirmed at distance 0.174 from center.,Lineage shows similar trajectory pattern.
AA-0087,NT-0098,MS-0071,Form 0071,BA-050,outer,927,sudden_collapse,0.2336,0.2981,13,0.527,0.688,333,True,False,False,C. Vells,behavior_signature,0.746,Arrival at Form 0071 observed over 13 days.,Prior exposure to this Form documented.
AA-0088,NT-0384,MS-0077,Form 0077,BA-019,inner,918,bounce_settle,0.1022,0.0923,35,0.74,0.643,215,False,True,False,C. Vells,direct_observation,0.718,Arrival at Form 0077 observed over 35 days.,Lineage shows similar trajectory pattern.
AA-0089,NT-0039,MS-0035,Form 0035,BA-049,inner,925,gradual_convergence,0.0693,0.0898,39,0.722,0.803,304,False,True,False,C. Vells,retrospective_analysis,0.991,System settled into inner position of BA-049 via gradual_convergence.,Lineage shows similar trajectory pattern.
AA-0090,,MS-0023,Form 0023,BA-013,inner,928,forced_insertion,0.0527,0.1979,17,0.855,0.741,102,False,True,True,Boundary Commission,form_recognition,0.824,Arrival at Form 0023 observed over 17 days.,Lineage shows similar trajectory pattern.
AA-0091,NT-0485,MS-0001,The Quintic Cycle,BA-001,center,929,oscillating_approach,0.0334,0.0943,36,0.894,0.844,107,False,False,False,Boundary Commission,instrumental_measurement,0.629,Stabilization to 0.89 achieved after oscillating_approach approach.,
AA-0092,,MS-0081,Form 0081,BA-032,center,931,bounce_settle,0.0483,0.0579,76,0.985,0.757,67,True,False,False,Boundary Commission,behavior_signature,0.779,Form manifestation confirmed at distance 0.048 from center.,Prior exposure to this Form documented.
AA-0093,,MS-0026,Form 0026,BA-034,outer,920,oscillating_approach,0.1089,0.0832,47,0.604,0.879,263,False,False,False,C. Vells,behavior_signature,0.791,System settled into outer position of BA-034 via oscillating_approach.,
AA-0094,,MS-0046,Form 0046,BA-017,inner,922,gradual_convergence,0.0338,0.0816,36,0.872,0.941,186,False,False,False,Boundary Commission,form_recognition,0.929,Arrival at Form 0046 observed over 36 days.,
AA-0095,NT-0094,MS-0029,Form 0029,BA-037,center,932,forced_insertion,0.016,0.1883,90,0.859,0.844,999,False,False,True,T. Vells,behavior_signature,0.678,Form manifestation confirmed at distance 0.016 from center.,
AA-0096,NT-0310,MS-0040,Form 0040,BA-047,outer,920,forced_insertion,0.1174,0.1457,26,0.681,0.886,330,True,True,False,K. Strand,instrumental_measurement,0.678,System settled into outer position of BA-047 via forced_insertion.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0097,,MS-0044,Form 0044,BA-003,outer,922,bounce_settle,0.2312,0.2175,24,0.609,0.685,38,False,False,False,T. Vells,direct_observation,0.859,Arrival at Form 0044 observed over 24 days.,
AA-0098,NT-0105,MS-0083,Form 0083,BA-018,outer,922,bounce_settle,0.1231,0.2217,29,0.729,0.929,999,True,False,False,C. Vells,form_recognition,0.717,Arrival at Form 0083 observed over 29 days.,Prior exposure to this Form documented.
AA-0099,,MS-0024,Form 0024,BA-048,inner,923,gradual_convergence,0.0879,0.0854,19,0.888,0.848,87,False,False,False,Boundary Commission,behavior_signature,0.935,Form manifestation confirmed at distance 0.088 from center.,
AA-0100,NT-0030,MS-0053,Form 0053,BA-013,outer,929,sudden_collapse,0.1963,0.3514,40,0.5,0.76,999,True,True,False,K. Strand,instrumental_measurement,0.713,Stabilization to 0.50 achieved after sudden_collapse approach.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0101,NT-0384,MS-0095,Form 0095,BA-025,outer,920,drift_capture,0.2158,0.162,28,0.757,0.894,46,True,False,False,C. Vells,instrumental_measurement,0.742,System settled into outer position of BA-025 via drift_capture.,Prior exposure to this Form documented.
AA-0102,NT-0490,MS-0035,Form 0035,BA-049,outer,924,bounce_settle,0.1436,0.0568,20,0.775,0.608,999,False,True,False,T. Vells,instrumental_measurement,0.86,Arrival at Form 0035 observed over 20 days.,Lineage shows similar trajectory pattern.
AA-0103,NT-0060,MS-0081,Form 0081,BA-032,center,918,sudden_collapse,0.0392,0.2907,66,0.968,0.69,300,False,False,False,K. Strand,form_recognition,0.642,Arrival at Form 0081 observed over 66 days.,
AA-0104,,MS-0051,Form 0051,BA-048,center,919,forced_insertion,0.0238,0.1781,38,0.93,0.73,41,False,False,False,T. Vells,form_recognition,0.994,Arrival at Form 0051 observed over 38 days.,
AA-0105,NT-0071,MS-0100,Form 0100,BA-023,outer,922,forced_insertion,0.1948,0.1605,73,0.642,0.735,178,False,False,False,Boundary Commission,instrumental_measurement,0.952,Stabilization to 0.64 achieved after forced_insertion approach.,
AA-0106,NT-0080,MS-0069,Form 0069,BA-026,inner,926,gradual_convergence,0.0831,0.077,90,0.778,0.874,999,False,False,False,C. Vells,instrumental_measurement,0.969,System settled into inner position of BA-026 via gradual_convergence.,
AA-0107,NT-0345,MS-0067,Form 0067,BA-008,ridge_adjacent,923,sudden_collapse,0.2963,0.3791,64,0.544,0.97,999,True,False,False,C. Vells,instrumental_measurement,0.784,Stabilization to 0.54 achieved after sudden_collapse approach.,Prior exposure to this Form documented.
AA-0108,,MS-0003,The Breathing Mode,BA-015,inner,931,oscillating_approach,0.0739,0.2305,56,0.873,0.857,419,False,False,False,Boundary Commission,instrumental_measurement,0.826,System settled into inner position of BA-015 via oscillating_approach.,
AA-0109,NT-0336,MS-0021,Form 0021,BA-005,center,932,oscillating_approach,0.0066,0.0566,20,0.936,0.971,999,True,False,False,K. Strand,behavior_signature,0.924,Stabilization to 0.94 achieved after oscillating_approach approach.,Prior exposure to this Form documented.
AA-0110,,MS-0033,Form 0033,BA-048,outer,924,bounce_settle,0.1409,0.1111,19,0.755,0.789,999,True,True,False,R. Voss,behavior_signature,0.907,System settled into outer position of BA-048 via bounce_settle.,Prior exposure to this Form documented. Lineage shows similar trajectory pattern.
AA-0111,NT-0263,MS-0082,Form 0082,BA-020,center,921,gradual_convergence,0.0188,0.0124,53,0.919,0.965,999,False,True,False,R. Voss,retrospective_analysis,0.842,System settled into center position of BA-020 via gradual_convergence.,Lineage shows similar trajectory pattern.
AA-0112,,MS-0097,Form 0097,BA-027,inner,920,gradual_convergence,0.0522,0.0456,39,0.788,0.912,86,False,False,False,R. Voss,behavior_signature,0.726,Stabilization to 0.79 achieved after gradual_convergence approach.,
AA-0113,NT-0190,MS-0029,Form 0029,BA-037,outer,925,forced_insertion,0.1789,0.1206,90,0.75,0.836,459,False,True,False,K. Strand,direct_observation,0.831,Stabilization to 0.75 achieved after forced_insertion approach.,Lineage shows similar trajectory pattern.
