boundary_id,entity_a_id,entity_a_name,entity_b_id,entity_b_name,boundary_type,boundary_strength,permeability,sharpness,boundary_coord_x,boundary_coord_y,boundary_coord_z,boundary_extent,relationship_type,tension_level,first_documented,documenter,documentation_method,confidence,description,notes
EB-0011,MS-0048,Form 48,MS-0031,Form 31,behavioral,0.82,0.08,0.51,0.632,0.3572,-0.3819,0.189,antipathetic,0.74,1835,P. Tross,trajectory_analysis,0.82,Action patterns differ across this boundary.,
EB-0012,MS-0038,Form 38,MS-0143,Form 143,categorical,0.97,0.02,0.68,-0.0417,0.2444,-0.2805,0.178,antipathetic,0.6,1834,Western Archive Team,direct_observation,0.62,Categorical separation—archivists classify these differently.,
EB-0013,MS-0145,Form 145,MS-0092,Form 92,identity,0.58,0.38,0.6,0.3276,0.1151,0.114,0.232,neutral,0.51,1839,P. Tross,trajectory_analysis,0.58,Entity boundary defining distinct identities.,
EB-0014,MS-0050,Form 50,MS-0114,Form 114,behavioral,0.65,0.31,0.45,-0.2487,0.3903,-0.089,0.034,neutral,0.54,920,P. Tross,trajectory_analysis,0.83,Behavioral separation documented in field observations.,
EB-0015,MS-0062,Form 62,MS-0130,Form 130,spatial,0.94,0.2,0.94,-0.1883,-0.5642,0.0031,0.197,antipathetic,0.87,914,Archive Survey Team,historical_inference,0.65,Physical distance boundary documented at coordinates.,
EB-0016,MS-0076,Form 76,MS-0140,Form 140,categorical,0.66,0.33,0.69,0.0977,0.0772,-0.4577,0.16,neutral,0.39,912,P. Tross,classification_boundary,0.81,Categorical separation—archivists classify these differently.,
EB-0017,MS-0099,Form 99,EN-012,Cluster Gamma,spatial,0.47,0.5,0.88,0.21,0.522,0.0979,0.195,sympathetic,0.37,917,Archive Survey Team,historical_inference,0.91,Spatial boundary between Form 99 and Cluster Gamma in morphospace.,
EB-0018,MS-0120,Form 120,MS-0006,The Septenary Rhythm,categorical,0.98,0.08,0.92,0.0423,-0.3906,-0.0886,0.125,antipathetic,0.63,1848,Western Archive Team,classification_boundary,0.72,Category edge detected in constellation analysis.,
EB-0019,MS-0127,Form 127,MS-0053,Form 53,categorical,0.55,0.48,0.54,-0.3366,-0.2228,-0.0993,0.141,neutral,0.52,924,T. Vells,tension_measurement,0.73,Type boundary separating Form types.,
EB-0020,MS-0071,Form 71,MS-0098,Form 98,temporal,0.98,0.11,0.38,-0.2223,-0.1083,0.3514,0.215,antipathetic,0.91,913,Boundary Commission,direct_observation,0.65,Time-based separation observed.,
EB-0021,MS-0073,Form 73,MS-0103,Form 103,categorical,0.98,0.05,0.82,-0.6597,-0.2151,0.2856,0.224,antipathetic,0.6,912,Archive Survey Team,trajectory_analysis,0.75,Category edge detected in constellation analysis.,
EB-0022,MS-0098,Form 98,MS-0124,Form 124,identity,0.44,0.54,0.45,-0.3988,-0.4374,0.2444,0.092,sympathetic,0.17,927,Boundary Commission,trajectory_analysis,0.73,Individual identity separation.,
EB-0023,MS-0115,Form 115,MS-0103,Form 103,spatial,0.79,0.2,0.44,-0.3254,-0.231,-0.3803,0.168,antipathetic,0.85,1848,Western Archive Team,historical_inference,0.88,Spatial boundary between Form 115 and Form 103 in morphospace.,
EB-0024,MS-0139,Form 139,MS-0101,Form 101,temporal,0.82,0.12,0.51,-0.2192,-0.1517,0.2693,0.104,neutral,0.5,919,Archive Survey Team,trajectory_analysis,0.84,Temporal boundary: Form 139 and Form 101 occupy different time periods.,
EB-0025,MS-0064,Form 64,MS-0110,Form 110,structural,0.49,0.46,0.66,0.2044,-0.2467,0.0887,0.142,sympathetic,0.22,1838,Western Archive Team,trajectory_analysis,0.84,Morphological separation between Form 64 and Form 110.,
EB-0026,MS-0027,The Five-Body Form,MS-0052,Form 52,categorical,0.89,0.07,0.68,-0.0165,0.1042,0.7484,0.062,antipathetic,0.5,1841,P. Tross,historical_inference,0.61,Categorical separation—archivists classify these differently.,
EB-0027,MS-0136,Form 136,MS-0034,Form 34,structural,0.9,0.03,0.82,-0.0142,-0.0117,0.3635,0.233,antipathetic,0.61,919,K. Strand,classification_boundary,0.66,Structural boundary: physical forms differ.,
EB-0028,MS-0093,Form 93,MS-0005,The Triad Form,categorical,0.53,0.51,0.53,0.2389,0.6973,0.3259,0.092,sympathetic,0.19,915,Boundary Commission,direct_observation,0.88,Categorical separation—archivists classify these differently.,
EB-0029,MS-0138,Form 138,MS-0035,Form 35,categorical,0.75,0.25,0.59,-0.2176,-0.1233,-0.4171,0.072,antipathetic,0.77,1828,Western Archive Team,tension_measurement,0.74,Category edge detected in constellation analysis.,
EB-0030,MS-0128,Form 128,MS-0136,Form 136,structural,0.77,0.21,0.68,0.7602,-0.3452,0.652,0.055,antipathetic,0.75,1842,Western Archive Team,tension_measurement,0.88,Structure divergence documented.,
EB-0031,MS-0065,Form 65,MS-0064,Form 64,structural,0.48,0.41,0.35,0.5764,0.102,0.0124,0.2,sympathetic,0.27,1825,P. Tross,tension_measurement,0.8,Structure divergence documented.,
EB-0032,MS-0133,Form 133,EN-004,Capital Domain,spatial,0.72,0.31,0.76,0.4211,-0.2412,0.1675,0.139,antipathetic,0.66,918,Archive Survey Team,direct_observation,0.63,Physical distance boundary documented at coordinates.,
EB-0033,MS-0041,Form 41,MS-0123,Form 123,categorical,0.7,0.31,0.71,-0.0053,0.0439,0.1229,0.163,neutral,0.55,913,Boundary Commission,historical_inference,0.78,Classification boundary: Form 41 and Form 123 belong to distinct categories.,
EB-0034,MS-0044,Form 44,MS-0039,Form 39,behavioral,0.42,0.66,0.59,-0.4245,-0.2242,0.0521,0.027,oscillating,0.54,913,P. Tross,direct_observation,0.8,Behavioral separation documented in field observations.,
EB-0035,MS-0109,Form 109,EN-011,Cluster Beta,temporal,0.56,0.41,0.51,-0.0245,0.0038,0.4082,0.142,sympathetic,0.31,1830,P. Tross,tension_measurement,0.59,Time-based separation observed.,
EB-0036,MS-0146,Form 146,MS-0068,Form 68,spatial,0.57,0.44,0.31,0.1063,-0.3664,-0.19,0.141,sympathetic,0.23,914,T. Vells,classification_boundary,0.63,Spatial boundary between Form 146 and Form 68 in morphospace.,
EB-0037,MS-0058,Form 58,MS-0116,Form 116,spatial,0.65,0.31,0.52,-0.3546,0.1922,0.1369,0.13,neutral,0.35,919,P. Tross,classification_boundary,0.55,Spatial boundary between Form 58 and Form 116 in morphospace.,
EB-0038,MS-0047,Form 47,MS-0115,Form 115,temporal,0.72,0.31,0.36,0.1942,-0.5386,-0.417,0.021,antipathetic,0.95,1848,Western Archive Team,trajectory_analysis,0.94,Time-based separation observed.,
EB-0039,MS-0091,Form 91,MS-0068,Form 68,behavioral,0.56,0.4,0.36,0.2277,0.3239,-0.3073,0.18,neutral,0.57,916,Boundary Commission,classification_boundary,0.94,Action patterns differ across this boundary.,
EB-0040,MS-0089,Form 89,MS-0049,Form 49,behavioral,0.74,0.19,0.78,-0.2489,0.3505,-0.0159,0.161,oscillating,0.38,926,Archive Survey Team,classification_boundary,0.8,Behavioral separation documented in field observations.,
EB-0041,MS-0137,Form 137,MS-0147,Form 147,behavioral,0.45,0.7,0.86,-0.2073,-0.1943,0.2275,0.05,oscillating,0.3,919,Western Archive Team,historical_inference,0.71,Behavioral boundary: Form 137 acts differently from Form 147.,
EB-0042,MS-0038,Form 38,EN-001,The Prebel Zone,spatial,0.59,0.39,0.65,0.1727,0.3653,-0.1959,0.233,oscillating,0.52,930,Independent Scholar,trajectory_analysis,0.64,Spatial boundary between Form 38 and The Prebel Zone in morphospace.,
EB-0043,MS-0136,Form 136,MS-0145,Form 145,spatial,0.93,0.09,0.33,0.3252,-0.545,0.3576,0.116,antipathetic,0.75,915,Boundary Commission,trajectory_analysis,0.87,Spatial boundary between Form 136 and Form 145 in morphospace.,
EB-0044,MS-0073,Form 73,MS-0049,Form 49,spatial,0.53,0.39,0.86,-0.3494,-0.1636,-0.0246,0.192,sympathetic,0.36,918,P. Tross,historical_inference,0.91,Morphospace region boundary separating Form 73 from Form 49.,
EB-0045,MS-0120,Form 120,MS-0108,Form 108,behavioral,0.86,0.15,0.8,0.4005,0.2093,-0.1716,0.145,antipathetic,0.9,913,Boundary Commission,historical_inference,0.86,Behavioral separation documented in field observations.,
EB-0046,MS-0108,Form 108,MS-0055,Form 55,identity,0.55,0.48,0.89,0.2006,0.1485,0.4007,0.142,oscillating,0.32,1827,P. Tross,classification_boundary,0.75,Individual identity separation.,
EB-0047,MS-0100,Form 100,EN-008,Dead River Valley,temporal,0.57,0.4,0.67,-0.1853,-0.2972,-0.4105,0.144,sympathetic,0.23,1846,Western Archive Team,trajectory_analysis,0.85,Temporal boundary: Form 100 and Dead River Valley occupy different time periods.,
EB-0048,MS-0109,Form 109,MS-0033,Form 33,spatial,0.54,0.46,0.86,-0.0502,0.191,0.5111,0.071,oscillating,0.42,1850,Western Archive Team,direct_observation,0.56,Physical distance boundary documented at coordinates.,
EB-0049,MS-0081,Form 81,MS-0057,Form 57,structural,0.64,0.33,0.38,0.2276,-0.0609,-0.0641,0.156,oscillating,0.43,1844,P. Tross,classification_boundary,0.89,Form architecture differs across boundary.,
EB-0050,MS-0104,Form 104,MS-0124,Form 124,behavioral,0.45,0.57,0.69,-0.0643,-0.6241,-0.1545,0.144,sympathetic,0.15,1847,P. Tross,historical_inference,0.59,Pattern divergence between Form 104 and Form 124 behavior.,
EB-0051,EN-012,Cluster Gamma,MS-0132,Form 132,identity,0.75,0.25,0.77,0.2592,0.2869,-0.2786,0.054,antipathetic,0.63,921,T. Vells,trajectory_analysis,0.56,Identity boundary: where Cluster Gamma ends and Form 132 begins.,
EB-0052,MS-0147,Form 147,MS-0126,Form 126,spatial,0.74,0.21,0.51,-0.4396,-0.0631,0.0565,0.058,neutral,0.48,912,Boundary Commission,tension_measurement,0.9,Geographic separation observed between Form 147 and Form 126.,
EB-0053,MS-0088,Form 88,MS-0132,Form 132,categorical,0.27,0.68,0.83,0.4667,-0.08,-0.1032,0.07,sympathetic,0.25,1836,Western Archive Team,trajectory_analysis,0.82,Category edge detected in constellation analysis.,
EB-0054,MS-0038,Form 38,MS-0131,Form 131,behavioral,0.82,0.28,0.58,0.0354,-0.196,0.0458,0.123,antipathetic,0.79,922,P. Tross,historical_inference,0.87,Behavioral boundary: Form 38 acts differently from Form 131.,
EB-0055,MS-0112,Form 112,EN-003,Western Archive Territory,spatial,0.5,0.46,0.78,-0.0572,0.1935,-0.0814,0.02,sympathetic,0.1,1831,P. Tross,tension_measurement,0.82,Morphospace region boundary separating Form 112 from Western Archive Territory.,
EB-0056,MS-0069,Form 69,MS-0088,Form 88,categorical,0.47,0.51,0.8,0.0934,0.2113,-0.1018,0.199,oscillating,0.55,930,K. Strand,historical_inference,0.85,Classification boundary: Form 69 and Form 88 belong to distinct categories.,
EB-0057,MS-0098,Form 98,MS-0144,Form 144,structural,0.84,0.07,0.3,0.1617,0.1937,0.3494,0.207,antipathetic,0.52,1834,P. Tross,historical_inference,0.79,Morphological separation between Form 98 and Form 144.,
EB-0058,MS-0142,Form 142,MS-0132,Form 132,categorical,0.39,0.61,0.82,-0.0348,0.2702,-0.3189,0.149,sympathetic,0.12,1849,P. Tross,tension_measurement,0.59,Type boundary separating Form types.,
EB-0059,MS-0060,Form 60,MS-0078,Form 78,structural,0.48,0.48,0.58,0.3063,-0.1898,0.6584,0.124,sympathetic,0.24,917,P. Tross,direct_observation,0.71,Morphological separation between Form 60 and Form 78.,
EB-0060,EN-008,Dead River Valley,EN-011,Cluster Beta,categorical,0.47,0.58,0.89,-0.45,-0.45,-0.15,0.194,neutral,0.59,1828,Western Archive Team,classification_boundary,0.87,Categorical separation—archivists classify these differently.,
EB-0061,MS-0006,The Septenary Rhythm,MS-0115,Form 115,spatial,0.43,0.59,0.66,0.012,-0.4547,-0.0951,0.077,sympathetic,0.16,917,Boundary Commission,classification_boundary,0.78,Spatial boundary between The Septenary Rhythm and Form 115 in morphospace.,
EB-0062,MS-0081,Form 81,MS-0071,Form 71,structural,0.87,0.09,0.58,0.1857,-0.0959,0.2273,0.244,antipathetic,0.56,914,Boundary Commission,classification_boundary,0.9,Morphological separation between Form 81 and Form 71.,
EB-0063,MS-0093,Form 93,MS-0060,Form 60,identity,0.65,0.42,0.71,0.2647,0.0961,0.4203,0.22,sympathetic,0.34,917,Archive Survey Team,tension_measurement,0.8,Identity boundary: where Form 93 ends and Form 60 begins.,
EB-0064,MS-0035,Form 35,MS-0127,Form 127,categorical,0.87,0.15,0.55,-0.1462,-0.1902,-0.365,0.207,antipathetic,0.9,1826,Western Archive Team,direct_observation,0.72,Categorical separation—archivists classify these differently.,
EB-0065,MS-0081,Form 81,EN-005,Yeller Quarry Region,categorical,0.58,0.35,0.74,0.3775,-0.4185,0.1353,0.241,sympathetic,0.13,1844,P. Tross,historical_inference,0.62,Category edge detected in constellation analysis.,
EB-0066,MS-0114,Form 114,MS-0035,Form 35,identity,0.73,0.27,0.72,-0.2686,0.3761,-0.637,0.078,antipathetic,0.77,922,Western Archive Team,direct_observation,0.77,Entity boundary defining distinct identities.,
EB-0067,MS-0059,Form 59,MS-0076,Form 76,categorical,0.74,0.31,0.31,0.0658,-0.0977,-0.176,0.147,antipathetic,0.69,921,Boundary Commission,classification_boundary,0.63,Category edge detected in constellation analysis.,
EB-0068,MS-0055,Form 55,MS-0110,Form 110,structural,0.46,0.52,0.47,-0.2929,-0.176,0.1187,0.142,sympathetic,0.13,1849,Western Archive Team,tension_measurement,0.73,Structural boundary: physical forms differ.,
EB-0069,MS-0085,Form 85,MS-0093,Form 93,structural,0.46,0.57,0.45,-0.0382,0.6117,0.1206,0.163,sympathetic,0.24,919,Archive Survey Team,direct_observation,0.84,Structure divergence documented.,
EB-0070,MS-0044,Form 44,MS-0144,Form 144,spatial,0.91,0.06,0.77,0.1679,0.0403,0.4718,0.076,antipathetic,0.62,914,Western Archive Team,trajectory_analysis,0.68,Morphospace region boundary separating Form 44 from Form 144.,
EB-0071,MS-0141,Form 141,MS-0148,Form 148,identity,0.83,0.18,0.86,0.0336,0.1372,-0.2726,0.219,antipathetic,0.53,914,T. Vells,historical_inference,0.66,Individual identity separation.,
EB-0072,MS-0063,Form 63,MS-0134,Form 134,spatial,0.63,0.46,0.53,0.4085,0.2131,-0.314,0.155,neutral,0.49,917,T. Vells,direct_observation,0.75,Spatial boundary between Form 63 and Form 134 in morphospace.,
EB-0073,MS-0094,Form 94,MS-0006,The Septenary Rhythm,identity,0.55,0.45,0.62,-0.1278,-0.6245,0.0048,0.117,sympathetic,0.38,1826,P. Tross,tension_measurement,0.83,Individual identity separation.,
EB-0074,MS-0045,Form 45,MS-0002,The Binary Division,structural,0.78,0.17,0.62,-0.5691,-0.5514,-0.0994,0.172,antipathetic,0.58,1842,Western Archive Team,direct_observation,0.69,Morphological separation between Form 45 and The Binary Division.,
EB-0075,EN-008,Dead River Valley,MS-0081,Form 81,categorical,0.42,0.52,0.31,-0.0725,-0.3685,-0.3147,0.164,oscillating,0.41,922,Boundary Commission,direct_observation,0.64,Category edge detected in constellation analysis.,
EB-0076,MS-0034,Form 34,MS-0090,Form 90,temporal,0.98,0.16,0.64,-0.4917,0.5809,0.1724,0.127,antipathetic,0.66,917,K. Strand,historical_inference,0.79,Phase boundary in temporal pattern.,
EB-0077,MS-0117,Form 117,MS-0059,Form 59,spatial,0.83,0.19,0.32,0.1245,0.206,0.0842,0.163,antipathetic,0.74,917,Western Archive Team,tension_measurement,0.67,Physical distance boundary documented at coordinates.,
EB-0078,MS-0133,Form 133,MS-0057,Form 57,spatial,0.25,0.72,0.73,0.1213,-0.0836,0.1681,0.214,sympathetic,0.39,1838,Western Archive Team,direct_observation,0.58,Geographic separation observed between Form 133 and Form 57.,
EB-0079,EN-003,Western Archive Territory,MS-0102,Form 102,spatial,0.41,0.6,0.71,0.0426,-0.1968,-0.2675,0.122,sympathetic,0.28,1847,P. Tross,tension_measurement,0.73,Physical distance boundary documented at coordinates.,
EB-0080,MS-0111,Form 111,MS-0054,Form 54,structural,0.89,0.17,0.6,0.0777,-0.127,0.4584,0.02,antipathetic,0.67,928,K. Strand,direct_observation,0.87,Structure divergence documented.,
EB-0081,MS-0043,Form 43,MS-0085,Form 85,spatial,0.42,0.57,0.58,-0.6664,0.3931,0.1853,0.248,sympathetic,0.38,923,Senate Survey,trajectory_analysis,0.76,Physical distance boundary documented at coordinates.,
EB-0082,MS-0086,Form 86,MS-0093,Form 93,identity,0.6,0.36,0.87,0.2794,0.5901,0.4131,0.057,neutral,0.34,1828,P. Tross,historical_inference,0.86,Entity boundary defining distinct identities.,
EB-0083,MS-0143,Form 143,MS-0134,Form 134,spatial,0.5,0.48,0.55,-0.0986,0.379,-0.528,0.183,oscillating,0.49,921,P. Tross,historical_inference,0.77,Geographic separation observed between Form 143 and Form 134.,
EB-0084,MS-0134,Form 134,MS-0058,Form 58,identity,0.75,0.32,0.73,0.0106,0.2774,-0.371,0.224,neutral,0.57,1835,Western Archive Team,historical_inference,0.6,Identity boundary: where Form 134 ends and Form 58 begins.,
EB-0085,MS-0038,Form 38,MS-0003,The Breathing Mode,temporal,0.3,0.85,0.32,0.0127,0.2553,-0.1909,0.111,sympathetic,0.31,916,Archive Survey Team,historical_inference,0.95,Temporal boundary: Form 38 and The Breathing Mode occupy different time periods.,
EB-0086,MS-0045,Form 45,MS-0053,Form 53,structural,0.44,0.54,0.9,-0.5458,-0.3078,-0.1881,0.043,sympathetic,0.18,914,Archive Survey Team,tension_measurement,0.9,Structure divergence documented.,
EB-0087,MS-0074,Form 74,MS-0081,Form 81,temporal,0.61,0.39,0.81,-0.0142,-0.4476,-0.2917,0.208,neutral,0.36,1834,P. Tross,direct_observation,0.93,Time-based separation observed.,
EB-0088,MS-0053,Form 53,MS-0145,Form 145,structural,0.96,0.04,0.76,-0.2964,-0.2335,-0.0512,0.214,antipathetic,0.75,913,Senate Survey,trajectory_analysis,0.94,Morphological separation between Form 53 and Form 145.,
EB-0089,MS-0149,Form 149,MS-0083,Form 83,spatial,0.7,0.23,0.85,0.0281,0.1699,-0.09,0.044,neutral,0.55,1834,P. Tross,tension_measurement,0.55,Physical distance boundary documented at coordinates.,
EB-0090,MS-0086,Form 86,MS-0080,Form 80,behavioral,0.35,0.67,0.37,-0.4026,0.2889,-0.0107,0.215,sympathetic,0.17,920,P. Tross,tension_measurement,0.65,Pattern divergence between Form 86 and Form 80 behavior.,
EB-0091,MS-0092,Form 92,MS-0057,Form 57,categorical,0.88,0.14,0.76,0.3874,0.4448,0.167,0.042,antipathetic,0.81,1836,P. Tross,classification_boundary,0.63,Type boundary separating Form types.,
EB-0092,MS-0094,Form 94,MS-0070,Form 70,spatial,0.63,0.39,0.84,0.1819,-0.547,0.1058,0.027,oscillating,0.43,916,Senate Survey,classification_boundary,0.68,Morphospace region boundary separating Form 94 from Form 70.,
EB-0093,MS-0071,Form 71,MS-0072,Form 72,structural,0.48,0.5,0.63,-0.3825,-0.302,0.6972,0.207,sympathetic,0.24,1827,Western Archive Team,tension_measurement,0.64,Structural boundary: physical forms differ.,
EB-0094,MS-0103,Form 103,MS-0134,Form 134,categorical,0.58,0.43,0.88,-0.2315,0.0986,-0.3685,0.17,sympathetic,0.37,1840,Western Archive Team,direct_observation,0.84,Type boundary separating Form types.,
EB-0095,MS-0079,Form 79,MS-0070,Form 70,categorical,0.57,0.43,0.75,0.1602,-0.4148,0.4602,0.024,sympathetic,0.16,919,P. Tross,historical_inference,0.75,Type boundary separating Form types.,
EB-0096,MS-0030,Form 30,MS-0100,Form 100,spatial,0.93,0.06,0.55,0.1212,-0.1889,-0.0469,0.172,antipathetic,0.94,916,Western Archive Team,trajectory_analysis,0.9,Physical distance boundary documented at coordinates.,
EB-0097,MS-0082,Form 82,MS-0144,Form 144,identity,0.67,0.3,0.79,0.5193,0.6216,0.2332,0.052,neutral,0.49,914,Boundary Commission,direct_observation,0.61,Identity boundary: where Form 82 ends and Form 144 begins.,
EB-0098,MS-0091,Form 91,MS-0097,Form 97,spatial,0.57,0.34,0.9,-0.4933,0.1316,-0.3938,0.247,sympathetic,0.14,1836,P. Tross,direct_observation,0.68,Morphospace region boundary separating Form 91 from Form 97.,
EB-0099,EN-006,Tower of Mirado,MS-0135,Form 135,categorical,0.71,0.24,0.65,0.4118,0.0044,0.6655,0.126,neutral,0.55,927,P. Tross,direct_observation,0.87,Categorical separation—archivists classify these differently.,
EB-0100,EN-001,The Prebel Zone,MS-0039,Form 39,behavioral,0.52,0.44,0.37,-0.2001,0.41,-0.2296,0.087,sympathetic,0.39,916,P. Tross,tension_measurement,0.94,Behavioral boundary: The Prebel Zone acts differently from Form 39.,
EB-0101,MS-0079,Form 79,MS-0111,Form 111,spatial,0.85,0.18,0.95,-0.1315,-0.285,0.2252,0.205,antipathetic,0.84,1831,Western Archive Team,direct_observation,0.94,Spatial boundary between Form 79 and Form 111 in morphospace.,
EB-0102,EN-010,Cluster Alpha,EN-005,Yeller Quarry Region,spatial,0.63,0.37,0.74,0.35,-0.15,0.35,0.104,neutral,0.33,918,Boundary Commission,trajectory_analysis,0.78,Morphospace region boundary separating Cluster Alpha from Yeller Quarry Region.,
EB-0103,MS-0082,Form 82,MS-0107,Form 107,categorical,0.41,0.56,0.41,0.5582,0.4591,-0.2534,0.032,oscillating,0.37,1842,P. Tross,direct_observation,0.61,Category edge detected in constellation analysis.,
EB-0104,MS-0006,The Septenary Rhythm,MS-0045,Form 45,structural,0.72,0.25,0.91,-0.2691,-0.6214,0.0706,0.082,antipathetic,0.52,919,P. Tross,historical_inference,0.57,Structure divergence documented.,
EB-0105,MS-0092,Form 92,MS-0128,Form 128,structural,0.32,0.63,0.63,0.7627,0.3149,0.4084,0.199,sympathetic,0.21,912,Western Archive Team,trajectory_analysis,0.61,Structure divergence documented.,
EB-0106,EN-010,Cluster Alpha,MS-0027,The Five-Body Form,categorical,0.67,0.4,0.73,0.555,0.475,0.545,0.165,neutral,0.5,1829,P. Tross,tension_measurement,0.75,Category edge detected in constellation analysis.,
EB-0107,EN-008,Dead River Valley,MS-0102,Form 102,identity,0.7,0.27,0.47,-0.0574,-0.5968,-0.5675,0.116,neutral,0.34,914,Boundary Commission,tension_measurement,0.83,Identity boundary: where Dead River Valley ends and Form 102 begins.,
EB-0108,MS-0145,Form 145,MS-0091,Form 91,behavioral,0.59,0.36,0.65,-0.2268,0.0662,-0.1791,0.105,sympathetic,0.39,1845,Western Archive Team,direct_observation,0.56,Behavioral separation documented in field observations.,
EB-0109,MS-0076,Form 76,MS-0078,Form 78,behavioral,0.76,0.16,0.53,0.5326,-0.1794,0.2217,0.06,antipathetic,0.64,1849,Western Archive Team,trajectory_analysis,0.58,Behavioral boundary: Form 76 acts differently from Form 78.,
EB-0110,MS-0006,The Septenary Rhythm,MS-0079,Form 79,temporal,0.68,0.31,0.79,-0.1495,-0.4923,0.3593,0.045,neutral,0.5,1833,Western Archive Team,trajectory_analysis,0.59,Phase boundary in temporal pattern.,
EB-0111,MS-0031,Form 31,MS-0112,Form 112,spatial,0.5,0.48,0.78,0.435,0.4237,-0.5203,0.225,neutral,0.39,916,Archive Survey Team,direct_observation,0.67,Morphospace region boundary separating Form 31 from Form 112.,
EB-0112,MS-0052,Form 52,MS-0048,Form 48,spatial,0.69,0.29,0.83,-0.0316,-0.2438,0.2604,0.06,oscillating,0.44,1850,Western Archive Team,historical_inference,0.55,Spatial boundary between Form 52 and Form 48 in morphospace.,
EB-0113,MS-0003,The Breathing Mode,MS-0069,Form 69,categorical,0.48,0.48,0.47,-0.2741,0.5683,-0.3223,0.177,sympathetic,0.3,912,P. Tross,trajectory_analysis,0.83,Categorical separation—archivists classify these differently.,
EB-0114,MS-0035,Form 35,MS-0110,Form 110,behavioral,0.9,0.14,0.69,-0.1418,0.0715,-0.4694,0.155,antipathetic,0.88,916,P. Tross,trajectory_analysis,0.74,Pattern divergence between Form 35 and Form 110 behavior.,
EB-0115,MS-0105,Form 105,EN-006,Tower of Mirado,behavioral,0.93,0.05,0.89,0.23,0.2341,0.6388,0.234,antipathetic,0.52,913,Archive Survey Team,direct_observation,0.77,Pattern divergence between Form 105 and Tower of Mirado behavior.,
EB-0116,MS-0149,Form 149,MS-0089,Form 89,structural,0.81,0.22,0.46,-0.0768,0.5429,0.2401,0.105,antipathetic,0.57,917,P. Tross,tension_measurement,0.83,Morphological separation between Form 149 and Form 89.,
EB-0117,MS-0034,Form 34,EN-004,Capital Domain,structural,0.36,0.61,0.43,-0.099,0.1613,0.0536,0.117,sympathetic,0.21,914,Boundary Commission,tension_measurement,0.93,Structure divergence documented.,
EB-0118,MS-0098,Form 98,MS-0056,Form 56,temporal,0.71,0.32,0.57,-0.4724,-0.5253,0.1345,0.239,neutral,0.36,916,Archive Survey Team,classification_boundary,0.85,Phase boundary in temporal pattern.,
EB-0119,MS-0089,Form 89,MS-0146,Form 146,structural,0.98,0.02,0.7,-0.5502,-0.0019,0.3101,0.172,antipathetic,0.51,916,Archive Survey Team,tension_measurement,0.91,Form architecture differs across boundary.,
EB-0120,MS-0035,Form 35,MS-0126,Form 126,categorical,0.97,0.09,0.83,-0.3872,0.107,-0.4474,0.025,antipathetic,0.6,1849,Western Archive Team,direct_observation,0.68,Type boundary separating Form types.,
