correction_id,trajectory_id,perturbation_year,perturbation_type,perturbation_magnitude,original_target_id,off_course_location_x,off_course_location_y,off_course_location_z,correction_type,correction_duration,correction_distance,energy_cost,correction_mechanism,correction_quality,outcome,final_form_id,delay_caused,documenter,observation_method,confidence,description,notes
CC-0022,NT-0415,920,interference_agent,0.1007,MS-0015,-0.47,0.5222,0.7363,alternative_path,34,0.5802,3.099,gradient_following,0.777,overcorrection,,0,Archive Survey Team,entity_report,0.517,Correction from interference_agent perturbation via alternative_path. overcorrection.,
CC-0023,NT-0252,918,environmental_force,0.2966,MS-0003,0.8748,-0.1501,0.4482,immediate_return,2,0.2078,1.415,gradient_following,1.0,original_target_reached,MS-0003,2,K. Strand,continuous_tracking,0.972,Correction from environmental_force perturbation via immediate_return. original_target_reached.,
CC-0024,,919,navigation_error,0.781,MS-0040,0.2687,-0.6993,-0.8744,gradual_correction,22,0.3912,0.898,trial_and_error,1.0,original_target_reached,MS-0040,22,C. Vells,entity_report,0.928,Correction from navigation_error perturbation via gradual_correction. original_target_reached.,
CC-0025,,927,boundary_encounter,0.4647,MS-0081,0.8733,0.8397,-0.9055,full_restart,153,0.7695,3.875,attractor_memory,0.819,partial_recovery,,0,T. Vells,trajectory_reconstruction,0.656,Correction from boundary_encounter perturbation via full_restart. partial_recovery.,
CC-0026,NT-0016,924,dens_fluctuation,0.3078,MS-0039,-0.8793,-0.0273,-0.8088,immediate_return,2,0.0864,0.954,gradient_following,0.96,correction_failed,,0,K. Strand,trajectory_reconstruction,0.794,Correction from dens_fluctuation perturbation via immediate_return. correction_failed.,
CC-0027,NT-0042,930,environmental_force,0.704,MS-0033,-0.6199,0.8751,-0.8171,full_restart,150,1.463,5.051,trial_and_error,0.759,partial_recovery,,0,K. Strand,entity_report,0.571,Correction from environmental_force perturbation via full_restart. partial_recovery.,
CC-0028,NT-0042,922,environmental_force,0.0773,MS-0003,0.8418,0.835,0.0828,assisted_correction,46,0.2811,3.734,gradient_following,0.646,partial_recovery,,0,R. Voss,entity_report,0.784,Correction from environmental_force perturbation via assisted_correction. partial_recovery.,
CC-0029,NT-0346,931,attractor_shift,0.4481,MS-0045,-0.6179,-0.1459,0.3807,immediate_return,12,0.0926,1.083,external_guidance,1.0,original_target_reached,MS-0045,12,R. Voss,entity_report,0.765,Correction from attractor_shift perturbation via immediate_return. original_target_reached.,
CC-0030,NT-0227,931,competing_signal,0.7511,MS-0061,0.9284,0.2514,-0.6292,alternative_path,43,0.6215,3.307,external_guidance,0.77,original_target_reached,MS-0061,43,Archive Survey Team,continuous_tracking,0.576,Correction from competing_signal perturbation via alternative_path. original_target_reached.,
CC-0031,NT-0317,929,environmental_force,0.5397,MS-0011,-0.6334,0.8822,0.7455,gradual_correction,41,0.5614,2.352,gradient_following,0.685,alternative_target,MS-0053,0,C. Vells,entity_report,0.894,Correction from environmental_force perturbation via gradual_correction. alternative_target.,
CC-0032,NT-0060,922,competing_signal,0.1551,MS-0081,0.7315,0.4325,-0.2568,gradual_correction,37,0.7074,3.296,landmark_recognition,0.833,original_target_reached,MS-0081,37,Archive Survey Team,continuous_tracking,0.929,Correction from competing_signal perturbation via gradual_correction. original_target_reached.,
CC-0033,NT-0431,931,navigation_error,0.6757,MS-0084,-0.7734,-0.3112,-0.7839,immediate_return,15,0.068,2.027,landmark_recognition,0.841,original_target_reached,MS-0084,15,R. Voss,entity_report,0.523,Correction from navigation_error perturbation via immediate_return. original_target_reached.,
CC-0034,NT-0434,919,boundary_encounter,0.1085,MS-0081,0.2187,0.1912,0.5635,gradual_correction,40,0.2882,2.974,trial_and_error,0.85,alternative_target,MS-0081,0,C. Vells,continuous_tracking,0.957,Correction from boundary_encounter perturbation via gradual_correction. alternative_target.,
CC-0035,NT-0389,919,navigation_error,0.3297,MS-0048,-0.1421,-0.4682,-0.5524,gradual_correction,12,0.1041,3.549,attractor_memory,0.733,alternative_target,MS-0054,0,K. Strand,before_after_comparison,0.595,Correction from navigation_error perturbation via gradual_correction. alternative_target.,
CC-0036,NT-0386,928,navigation_error,0.5851,MS-0053,-0.1053,-0.718,0.2187,gradual_correction,60,0.6739,3.875,trial_and_error,1.0,alternative_target,MS-0096,0,Archive Survey Team,before_after_comparison,0.82,Correction from navigation_error perturbation via gradual_correction. alternative_target.,
CC-0037,NT-0156,918,dens_fluctuation,0.192,MS-0046,0.3966,0.8369,-0.7968,gradual_correction,30,0.7811,2.126,inherited_pattern,0.846,original_target_reached,MS-0046,30,R. Voss,entity_report,0.755,Correction from dens_fluctuation perturbation via gradual_correction. original_target_reached.,
CC-0038,NT-0382,924,boundary_encounter,0.6747,MS-0069,0.4579,-0.4965,0.396,gradual_correction,40,0.3742,2.117,landmark_recognition,0.719,original_target_reached,MS-0069,40,Archive Survey Team,continuous_tracking,0.966,Correction from boundary_encounter perturbation via gradual_correction. original_target_reached.,
CC-0039,,918,boundary_encounter,0.6391,MS-0095,0.5991,-0.5845,0.8867,alternative_path,55,0.1262,3.06,landmark_recognition,0.948,original_target_reached,MS-0095,55,C. Vells,trajectory_reconstruction,0.686,Correction from boundary_encounter perturbation via alternative_path. original_target_reached.,
CC-0040,,918,competing_signal,0.3141,MS-0055,-0.3343,0.7881,-0.8747,gradual_correction,10,0.2,2.588,landmark_recognition,0.794,original_target_reached,MS-0055,10,Archive Survey Team,trajectory_reconstruction,0.735,Correction from competing_signal perturbation via gradual_correction. original_target_reached.,
CC-0041,,925,boundary_encounter,0.5065,MS-0028,0.772,-0.865,-0.197,alternative_path,21,0.1098,3.42,unknown,0.405,alternative_target,MS-0018,0,C. Vells,before_after_comparison,0.693,Correction from boundary_encounter perturbation via alternative_path. alternative_target.,
CC-0042,NT-0355,928,interference_agent,0.2838,MS-0057,-0.4176,-0.3112,-0.5475,full_restart,177,0.5278,5.332,attractor_memory,0.786,delayed_arrival,MS-0083,80,R. Voss,entity_report,0.533,Correction from interference_agent perturbation via full_restart. delayed_arrival.,
CC-0043,NT-0118,927,navigation_error,0.7107,MS-0078,0.4089,-0.8548,0.6511,target_revision,34,0.1656,1.924,inherited_pattern,0.895,original_target_reached,MS-0078,34,R. Voss,trajectory_reconstruction,0.716,Correction from navigation_error perturbation via target_revision. original_target_reached.,
CC-0044,NT-0019,932,navigation_error,0.3498,MS-0040,0.5457,0.8535,-0.5661,alternative_path,19,0.4761,1.496,gradient_following,0.346,original_target_reached,MS-0040,19,Archive Survey Team,before_after_comparison,0.992,Correction from navigation_error perturbation via alternative_path. original_target_reached.,
CC-0045,,921,environmental_force,0.4987,MS-0030,0.7549,-0.2342,-0.8998,gradual_correction,30,0.7229,3.061,gradient_following,1.0,overcorrection,,0,T. Vells,continuous_tracking,0.57,Correction from environmental_force perturbation via gradual_correction. overcorrection.,
CC-0046,,927,dens_fluctuation,0.5524,MS-0028,-0.2904,0.9035,0.0336,alternative_path,45,0.7352,3.108,landmark_recognition,0.327,correction_failed,,0,K. Strand,trajectory_reconstruction,0.557,Correction from dens_fluctuation perturbation via alternative_path. correction_failed.,
CC-0047,,928,attractor_shift,0.7559,MS-0048,0.6378,-0.3293,-0.7888,assisted_correction,49,0.1427,2.518,trial_and_error,0.829,delayed_arrival,MS-0094,66,C. Vells,trajectory_reconstruction,0.747,Correction from attractor_shift perturbation via assisted_correction. delayed_arrival.,
CC-0048,,930,navigation_error,0.0609,MS-0048,-0.8517,0.4103,-0.9208,gradual_correction,20,0.1112,3.618,unknown,0.955,original_target_reached,MS-0048,20,T. Vells,continuous_tracking,0.763,Correction from navigation_error perturbation via gradual_correction. original_target_reached.,
CC-0049,NT-0313,931,navigation_error,0.5853,MS-0020,0.7668,0.4523,-0.5716,gradual_correction,12,0.3548,2.635,gradient_following,1.0,original_target_reached,MS-0020,12,K. Strand,trajectory_reconstruction,0.58,Correction from navigation_error perturbation via gradual_correction. original_target_reached.,
CC-0050,,921,navigation_error,0.3715,MS-0093,0.4462,0.3786,-0.0035,alternative_path,28,0.1732,2.124,gradient_following,0.426,partial_recovery,,0,T. Vells,entity_report,0.871,Correction from navigation_error perturbation via alternative_path. partial_recovery.,
CC-0051,NT-0248,928,navigation_error,0.3416,MS-0040,-0.7295,0.9151,0.8781,assisted_correction,18,0.2319,1.912,trial_and_error,0.629,original_target_reached,MS-0040,18,K. Strand,continuous_tracking,0.512,Correction from navigation_error perturbation via assisted_correction. original_target_reached.,
CC-0052,NT-0301,923,interference_agent,0.7596,MS-0018,-0.0445,0.1675,-0.4622,alternative_path,45,0.6753,1.971,attractor_memory,0.732,partial_recovery,,0,K. Strand,entity_report,0.627,Correction from interference_agent perturbation via alternative_path. partial_recovery.,
CC-0053,,924,interference_agent,0.6406,MS-0087,0.3698,0.2809,-0.2119,target_revision,22,0.2252,1.472,trial_and_error,0.932,alternative_target,MS-0051,0,Archive Survey Team,before_after_comparison,0.664,Correction from interference_agent perturbation via target_revision. alternative_target.,
CC-0054,NT-0249,926,navigation_error,0.2464,MS-0081,-0.3089,0.1466,0.9289,assisted_correction,49,0.2636,3.108,gradient_following,0.452,alternative_target,MS-0083,0,T. Vells,before_after_comparison,0.76,Correction from navigation_error perturbation via assisted_correction. alternative_target.,
CC-0055,NT-0215,925,environmental_force,0.4802,MS-0029,0.9793,-0.1603,0.1034,assisted_correction,36,0.1495,1.433,inherited_pattern,0.627,original_target_reached,MS-0029,36,C. Vells,trajectory_reconstruction,0.868,Correction from environmental_force perturbation via assisted_correction. original_target_reached.,
CC-0056,NT-0195,925,attractor_shift,0.4825,MS-0010,-0.2803,0.5103,-0.237,assisted_correction,46,0.7389,3.935,gradient_following,0.913,partial_recovery,,0,K. Strand,before_after_comparison,0.575,Correction from attractor_shift perturbation via assisted_correction. partial_recovery.,
CC-0057,,929,boundary_encounter,0.1115,MS-0033,0.5487,-0.0096,-0.2156,alternative_path,47,0.1655,2.505,landmark_recognition,0.508,alternative_target,MS-0035,0,K. Strand,entity_report,0.662,Correction from boundary_encounter perturbation via alternative_path. alternative_target.,
CC-0058,,922,environmental_force,0.7052,MS-0009,-0.1403,0.2503,0.5727,assisted_correction,48,0.1205,0.923,attractor_memory,0.947,partial_recovery,,0,T. Vells,continuous_tracking,0.551,Correction from environmental_force perturbation via assisted_correction. partial_recovery.,
CC-0059,NT-0053,918,substrate_damage,0.5698,MS-0058,0.4639,-0.0353,0.1056,gradual_correction,56,0.7058,3.695,trial_and_error,1.0,correction_failed,,0,R. Voss,entity_report,0.899,Correction from substrate_damage perturbation via gradual_correction. correction_failed.,
CC-0060,,932,competing_signal,0.7866,MS-0059,-0.9406,-0.3393,-0.4822,alternative_path,55,0.6938,1.98,gradient_following,0.688,partial_recovery,,0,C. Vells,trajectory_reconstruction,0.775,Correction from competing_signal perturbation via alternative_path. partial_recovery.,
CC-0061,,929,environmental_force,0.4109,MS-0058,-0.8932,-0.5359,0.4205,gradual_correction,60,0.4957,3.342,attractor_memory,0.957,original_target_reached,MS-0058,60,K. Strand,trajectory_reconstruction,0.613,Correction from environmental_force perturbation via gradual_correction. original_target_reached.,
CC-0062,NT-0467,930,boundary_encounter,0.6182,MS-0078,-0.3242,-0.1472,-0.4553,alternative_path,23,0.6535,1.887,landmark_recognition,0.507,original_target_reached,MS-0078,23,K. Strand,before_after_comparison,0.886,Correction from boundary_encounter perturbation via alternative_path. original_target_reached.,
CC-0063,NT-0104,926,environmental_force,0.3505,MS-0073,-0.0991,0.6664,0.7037,gradual_correction,15,0.6201,3.612,gradient_following,0.576,original_target_reached,MS-0073,15,C. Vells,before_after_comparison,0.805,Correction from environmental_force perturbation via gradual_correction. original_target_reached.,
CC-0064,NT-0030,926,navigation_error,0.0751,MS-0044,-0.0835,-0.7622,0.2107,gradual_correction,14,0.5144,3.225,unknown,0.689,original_target_reached,MS-0044,14,K. Strand,entity_report,0.994,Correction from navigation_error perturbation via gradual_correction. original_target_reached.,
CC-0065,,931,attractor_shift,0.4886,MS-0026,-0.1965,-0.1023,-0.3843,alternative_path,59,0.6975,2.48,unknown,0.858,original_target_reached,MS-0026,59,R. Voss,before_after_comparison,0.953,Correction from attractor_shift perturbation via alternative_path. original_target_reached.,
CC-0066,NT-0337,925,substrate_damage,0.4435,MS-0084,-0.8768,0.7027,0.4357,gradual_correction,33,0.2007,2.408,gradient_following,0.828,original_target_reached,MS-0084,33,T. Vells,entity_report,0.526,Correction from substrate_damage perturbation via gradual_correction. original_target_reached.,
CC-0067,NT-0265,918,environmental_force,0.6153,MS-0009,0.214,-0.6711,-0.3657,target_revision,16,0.1008,2.652,trial_and_error,0.988,partial_recovery,,0,Archive Survey Team,entity_report,0.765,Correction from environmental_force perturbation via target_revision. partial_recovery.,
CC-0068,,926,substrate_damage,0.14,MS-0008,0.0266,0.3778,0.081,alternative_path,12,0.6333,1.781,attractor_memory,0.96,original_target_reached,MS-0008,12,C. Vells,entity_report,0.588,Correction from substrate_damage perturbation via alternative_path. original_target_reached.,
CC-0069,,930,competing_signal,0.3335,MS-0045,0.5495,-0.1156,-0.3049,alternative_path,46,0.5213,2.46,gradient_following,0.839,delayed_arrival,MS-0029,179,R. Voss,trajectory_reconstruction,0.731,Correction from competing_signal perturbation via alternative_path. delayed_arrival.,
CC-0070,,926,boundary_encounter,0.0677,MS-0003,-0.5142,-0.448,-0.7617,gradual_correction,18,0.5982,2.718,external_guidance,0.955,overcorrection,,0,Archive Survey Team,continuous_tracking,0.672,Correction from boundary_encounter perturbation via gradual_correction. overcorrection.,
CC-0071,NT-0155,922,navigation_error,0.4887,MS-0048,0.5131,0.834,-0.4281,assisted_correction,40,0.3378,3.623,trial_and_error,0.35,partial_recovery,,0,C. Vells,trajectory_reconstruction,0.541,Correction from navigation_error perturbation via assisted_correction. partial_recovery.,
CC-0072,NT-0239,921,interference_agent,0.657,MS-0074,-0.6076,-0.1872,0.7978,immediate_return,9,0.0602,2.242,gradient_following,0.588,original_target_reached,MS-0074,9,K. Strand,trajectory_reconstruction,0.625,Correction from interference_agent perturbation via immediate_return. original_target_reached.,
CC-0073,NT-0077,932,environmental_force,0.5344,MS-0066,0.7456,0.9308,-0.1688,target_revision,33,0.1558,2.386,gradient_following,0.635,original_target_reached,MS-0066,33,Archive Survey Team,trajectory_reconstruction,0.728,Correction from environmental_force perturbation via target_revision. original_target_reached.,
CC-0074,NT-0110,923,environmental_force,0.3149,MS-0071,-0.957,0.8819,0.7385,target_revision,30,0.1974,2.585,inherited_pattern,0.389,original_target_reached,MS-0071,30,C. Vells,entity_report,0.67,Correction from environmental_force perturbation via target_revision. original_target_reached.,
CC-0075,NT-0394,932,boundary_encounter,0.6248,MS-0013,0.5917,-0.9221,-0.7234,assisted_correction,20,0.1311,3.197,attractor_memory,0.348,original_target_reached,MS-0013,20,T. Vells,continuous_tracking,0.941,Correction from boundary_encounter perturbation via assisted_correction. original_target_reached.,
CC-0076,NT-0028,930,competing_signal,0.3367,MS-0089,0.7452,-0.1824,-0.6175,gradual_correction,12,0.6738,2.075,trial_and_error,0.731,delayed_arrival,MS-0015,122,Archive Survey Team,trajectory_reconstruction,0.728,Correction from competing_signal perturbation via gradual_correction. delayed_arrival.,
CC-0077,NT-0306,930,interference_agent,0.4228,MS-0054,-0.826,0.7696,-0.6711,immediate_return,7,0.2442,3.874,landmark_recognition,0.905,alternative_target,MS-0068,0,R. Voss,before_after_comparison,0.975,Correction from interference_agent perturbation via immediate_return. alternative_target.,
CC-0078,,926,competing_signal,0.4222,MS-0080,-0.5893,0.9395,0.0882,target_revision,15,0.7411,2.516,inherited_pattern,0.544,alternative_target,MS-0068,0,T. Vells,trajectory_reconstruction,0.509,Correction from competing_signal perturbation via target_revision. alternative_target.,
CC-0079,,932,competing_signal,0.5615,MS-0029,0.5202,-0.5634,0.5565,gradual_correction,11,0.6879,2.671,landmark_recognition,0.544,original_target_reached,MS-0029,11,K. Strand,before_after_comparison,0.759,Correction from competing_signal perturbation via gradual_correction. original_target_reached.,
CC-0080,NT-0061,928,competing_signal,0.7956,MS-0090,-0.0431,0.5825,-0.2798,alternative_path,33,0.5033,3.277,trial_and_error,0.78,alternative_target,MS-0098,0,T. Vells,trajectory_reconstruction,0.896,Correction from competing_signal perturbation via alternative_path. alternative_target.,
CC-0081,,921,dens_fluctuation,0.2777,MS-0076,0.4832,-0.7003,-0.0302,gradual_correction,27,0.7325,3.451,attractor_memory,0.922,partial_recovery,,0,Archive Survey Team,trajectory_reconstruction,0.502,Correction from dens_fluctuation perturbation via gradual_correction. partial_recovery.,
CC-0082,NT-0214,918,environmental_force,0.5342,MS-0063,-0.6184,0.5707,0.9438,assisted_correction,39,0.1346,3.422,external_guidance,0.986,alternative_target,MS-0031,0,C. Vells,before_after_comparison,0.863,Correction from environmental_force perturbation via assisted_correction. alternative_target.,
CC-0083,NT-0096,929,interference_agent,0.0841,MS-0046,0.3787,0.0078,0.8707,target_revision,22,0.5971,1.492,gradient_following,0.831,delayed_arrival,MS-0035,136,R. Voss,continuous_tracking,0.633,Correction from interference_agent perturbation via target_revision. delayed_arrival.,
CC-0084,NT-0156,919,environmental_force,0.2459,MS-0051,-0.2447,-0.5756,-0.7428,assisted_correction,51,0.446,2.127,inherited_pattern,0.524,original_target_reached,MS-0051,51,R. Voss,before_after_comparison,0.633,Correction from environmental_force perturbation via assisted_correction. original_target_reached.,
CC-0085,,931,competing_signal,0.6471,MS-0010,0.0212,-0.3679,-0.3603,target_revision,39,0.489,3.608,inherited_pattern,0.87,original_target_reached,MS-0010,39,Archive Survey Team,entity_report,0.962,Correction from competing_signal perturbation via target_revision. original_target_reached.,
CC-0086,NT-0426,921,environmental_force,0.0866,MS-0001,0.5346,0.0223,0.7361,assisted_correction,43,0.2007,0.831,unknown,0.572,delayed_arrival,MS-0045,30,C. Vells,continuous_tracking,0.554,Correction from environmental_force perturbation via assisted_correction. delayed_arrival.,
CC-0087,NT-0128,930,navigation_error,0.237,MS-0037,-0.4337,0.9391,0.38,gradual_correction,59,0.7178,1.09,unknown,0.683,original_target_reached,MS-0037,59,R. Voss,entity_report,0.688,Correction from navigation_error perturbation via gradual_correction. original_target_reached.,
CC-0088,NT-0049,918,navigation_error,0.4603,MS-0032,-0.6984,0.2114,0.8247,assisted_correction,50,0.6747,3.121,attractor_memory,0.337,original_target_reached,MS-0032,50,R. Voss,continuous_tracking,0.842,Correction from navigation_error perturbation via assisted_correction. original_target_reached.,
CC-0089,NT-0447,931,substrate_damage,0.4366,MS-0071,0.1858,-0.8985,0.4796,gradual_correction,20,0.4522,2.504,attractor_memory,0.617,original_target_reached,MS-0071,20,C. Vells,continuous_tracking,0.671,Correction from substrate_damage perturbation via gradual_correction. original_target_reached.,
CC-0090,NT-0142,926,competing_signal,0.2253,MS-0093,0.7759,0.2603,0.3662,alternative_path,33,0.1971,0.941,external_guidance,0.675,original_target_reached,MS-0093,33,T. Vells,continuous_tracking,0.693,Correction from competing_signal perturbation via alternative_path. original_target_reached.,
CC-0091,NT-0016,920,substrate_damage,0.2494,MS-0002,-0.7704,-0.4463,-0.5439,assisted_correction,43,0.5849,2.813,attractor_memory,0.608,original_target_reached,MS-0002,43,T. Vells,before_after_comparison,0.567,Correction from substrate_damage perturbation via assisted_correction. original_target_reached.,
CC-0092,NT-0166,925,competing_signal,0.1708,MS-0087,-0.2288,-0.0442,0.9071,immediate_return,6,0.2417,2.716,attractor_memory,0.917,partial_recovery,,0,T. Vells,before_after_comparison,0.963,Correction from competing_signal perturbation via immediate_return. partial_recovery.,
CC-0093,NT-0236,918,attractor_shift,0.6191,MS-0029,-0.1107,-0.2756,-0.542,assisted_correction,39,0.5667,1.871,unknown,0.395,original_target_reached,MS-0029,39,Archive Survey Team,entity_report,0.55,Correction from attractor_shift perturbation via assisted_correction. original_target_reached.,
CC-0094,NT-0475,920,environmental_force,0.3917,MS-0095,-0.7015,0.5577,0.1861,gradual_correction,37,0.1282,1.652,unknown,0.851,alternative_target,MS-0085,0,C. Vells,continuous_tracking,0.844,Correction from environmental_force perturbation via gradual_correction. alternative_target.,
CC-0095,NT-0033,918,substrate_damage,0.6082,MS-0003,0.4483,0.9038,0.972,immediate_return,3,0.2455,3.979,gradient_following,0.956,alternative_target,MS-0016,0,C. Vells,before_after_comparison,0.685,Correction from substrate_damage perturbation via immediate_return. alternative_target.,
CC-0096,NT-0045,918,environmental_force,0.6485,MS-0055,-0.9851,0.9213,0.0297,immediate_return,10,0.2764,3.557,external_guidance,0.986,partial_recovery,,0,K. Strand,entity_report,0.823,Correction from environmental_force perturbation via immediate_return. partial_recovery.,
CC-0097,NT-0209,928,environmental_force,0.5422,MS-0068,0.235,-0.0611,-0.0036,gradual_correction,28,0.1631,0.808,unknown,0.603,delayed_arrival,MS-0075,148,Archive Survey Team,continuous_tracking,0.611,Correction from environmental_force perturbation via gradual_correction. delayed_arrival.,
CC-0098,NT-0469,930,navigation_error,0.1177,MS-0090,0.6835,-0.7628,0.7941,gradual_correction,26,0.4509,0.935,gradient_following,1.0,correction_failed,,0,R. Voss,before_after_comparison,0.889,Correction from navigation_error perturbation via gradual_correction. correction_failed.,
CC-0099,NT-0029,929,navigation_error,0.4094,MS-0015,0.8175,-0.0369,0.7372,gradual_correction,22,0.3205,1.477,external_guidance,0.531,partial_recovery,,0,Archive Survey Team,before_after_comparison,0.639,Correction from navigation_error perturbation via gradual_correction. partial_recovery.,
CC-0100,,922,substrate_damage,0.6008,MS-0069,0.5732,-0.8554,0.7733,full_restart,137,0.6141,2.129,gradient_following,0.375,original_target_reached,MS-0069,137,K. Strand,trajectory_reconstruction,0.842,Correction from substrate_damage perturbation via full_restart. original_target_reached.,
CC-0101,NT-0461,927,attractor_shift,0.5392,MS-0046,-0.8659,0.986,-0.4961,immediate_return,6,0.2924,1.354,gradient_following,0.696,original_target_reached,MS-0046,6,T. Vells,entity_report,0.693,Correction from attractor_shift perturbation via immediate_return. original_target_reached.,
