observation_id,ghost_name,original_entity_type,original_entity_name,original_destruction_year,original_duration,ghost_type,manifestation,ghost_strength,ghost_stability,observation_location,dens_proximity_km,first_observation_year,observation_count,time_since_original,decay_rate,persistence_category,interacts_with_present,interaction_type,affects_new_substrates,primary_observer,observation_method,scavenger_recognized,confidence,description,notes
GO-0045,Northern Post's Ghost,person,Individual of Year 847,793,,behavioral_echo,memory fragments in observers,0.31,0.7,Capital Archives basement,3.8,824,96,31,0.332,short_term,True,affects_navigation,True,Archive Survey Team,collective_testimony,True,0.85,Ghost of type behavioral_echo observed at Old mine entrance.,
GO-0046,The Survey Trace,person,Individual of Year 853,796,6,collective_remnant,presence awareness,0.41,0.82,Western boundary region,158.7,901,42,105,,medium_term,False,,False,Quarry Guild Records,scavenger_guidance,True,0.61,Ghost of type collective_remnant observed at Northern observation post.,
GO-0047,The Third Mill Presence,collective,Crew of Year 809,774,,collective_remnant,memory fragments in observers,0.23,0.95,Northern observation post,12.7,917,86,143,0.17,short_term,False,,False,K. Strand,direct_perception,False,0.54,Ghost of type collective_remnant observed at Southern terraces.,
GO-0048,The Crew Shadow,structure,,,,memorial_trace,sensation without source,0.38,0.27,Northern observation post,18.8,878,37,9,,short_term,True,triggers_memories,False,Boundary Commission,collective_testimony,False,0.89,Ghost of type memorial_trace observed at Dens boundary zone.,
GO-0049,The Third Mill Shadow,collective,Crew of Year 897,788,240,collective_remnant,operational feeling,0.73,0.67,Near Third Mill site,170.8,931,64,143,0.065,medium_term,True,triggers_memories,False,K. Strand,form_comparison,False,0.46,Ghost of type collective_remnant observed at Old mine entrance.,
GO-0050,Survey's Ghost,structure,Eastern Ridge,,393,form_shadow,spatial distortion,0.37,0.54,Northern observation post,37.0,875,10,73,0.086,medium_term,False,,False,R. Voss,scavenger_guidance,True,0.58,Ghost of type form_shadow observed at Capital Archives basement.,
GO-0051,The Lost Crew,person,Individual of Year 850,845,337,collective_remnant,visible outline,0.45,0.25,Dens boundary zone,185.9,921,6,76,0.029,medium_term,False,,False,R. Voss,behavioral_tracking,False,0.95,Ghost of type collective_remnant observed at Central processing area.,
GO-0052,The Old Trapper Shadow,person,Individual of Year 806,,,behavioral_echo,behavioral influence,0.32,0.43,Yeller Quarry eastern ridge,65.3,924,27,10,0.029,long_term,True,creates_instability,True,T. Vells,direct_perception,True,0.84,Ghost of type behavioral_echo observed at Old mine entrance.,
GO-0053,The Lost Boundary,place,,904,388,form_shadow,operational feeling,0.34,0.49,Dens boundary zone,72.4,909,79,5,0.068,short_term,False,,False,Quarry Guild Records,direct_perception,True,0.59,Ghost of type form_shadow observed at Trapper camp ruins.,
GO-0054,The Lost Boundary,person,Individual of Year 882,789,463,collective_remnant,memory fragments in observers,0.72,0.75,Deep Quarry tunnels,105.9,916,67,127,0.011,long_term,False,,False,C. Vells,direct_perception,False,0.9,Ghost of type collective_remnant observed at Southern terraces.,
GO-0055,The Lost Deep Tunnel,place,Mill Creek,,,spatial_imprint,visible outline,0.53,0.66,Near Third Mill site,114.1,931,54,12,,medium_term,True,triggers_memories,True,R. Voss,scavenger_guidance,False,0.84,Ghost of type spatial_imprint observed at Dens boundary zone.,
GO-0056,The Lost Crew,structure,Eastern Ridge,904,,form_shadow,presence awareness,0.45,0.44,Capital Archives basement,174.5,913,80,9,,medium_term,True,provides_template,True,Quarry Guild Records,behavioral_tracking,True,0.47,Ghost of type form_shadow observed at Deep Quarry tunnels.,
GO-0057,The Old Trapper Memory,structure,,798,,spatial_imprint,spatial distortion,0.56,0.71,Trapper camp ruins,42.6,805,55,7,0.104,medium_term,False,,False,T. Vells,pattern_analysis,False,0.64,Ghost of type spatial_imprint observed at Trapper camp ruins.,
GO-0058,The Specimen Imprint,creature,,,,memorial_trace,memory fragments in observers,0.53,0.4,Yeller Quarry eastern ridge,41.1,897,63,32,0.128,short_term,True,provides_template,False,C. Vells,scavenger_guidance,False,0.88,Ghost of type memorial_trace observed at Deep Quarry tunnels.,
GO-0059,The Lost Survey,person,Individual of Year 867,,358,collective_remnant,operational feeling,0.68,0.75,Yeller Quarry eastern ridge,115.7,863,21,109,0.025,permanent,True,affects_navigation,True,R. Voss,pattern_analysis,False,0.72,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0060,The Western Camp Trace,creature,Deep_Crawler specimen 92,918,,morphological_scar,spatial distortion,0.22,0.7,Central processing area,27.1,926,27,8,0.313,short_term,False,,False,M. Tall,scavenger_guidance,False,0.5,Ghost of type morphological_scar observed at Western boundary region.,
GO-0061,The Archive Remnant,phenomenon,,775,441,relational_ghost,visible outline,0.65,0.62,Near Third Mill site,188.7,882,44,107,0.023,permanent,True,provides_template,True,K. Strand,pattern_analysis,False,0.95,Ghost of type relational_ghost observed at Dens boundary zone.,
GO-0062,The Lost Western Camp,structure,,892,,form_shadow,behavioral influence,0.83,0.6,Near Third Mill site,179.4,910,79,18,0.071,permanent,False,,False,M. Tall,collective_testimony,True,0.46,Ghost of type form_shadow observed at Mill Creek ravine.,
GO-0063,The Eastern Ridge Shadow,structure,,,213,spatial_imprint,visible outline,0.78,0.29,Deep Quarry tunnels,141.9,865,61,75,0.042,medium_term,True,provides_template,True,Boundary Commission,behavioral_tracking,False,0.63,Ghost of type spatial_imprint observed at Mill Creek ravine.,
GO-0064,The Western Camp Memory,person,Individual of Year 819,885,,collective_remnant,presence awareness,0.47,0.74,Western boundary region,157.7,912,99,27,0.037,long_term,False,,False,K. Strand,direct_perception,True,0.57,Ghost of type collective_remnant observed at Western boundary region.,
GO-0065,The Boundary Memory,creature,,850,,memorial_trace,memory fragments in observers,0.72,0.79,Old mine entrance,132.4,855,96,5,0.073,medium_term,False,,False,Independent Observer,direct_perception,False,0.9,Ghost of type memorial_trace observed at Central processing area.,
GO-0066,The Western Camp Imprint,collective,Crew of Year 857,914,19,behavioral_echo,sensation without source,0.71,0.62,Northern observation post,177.6,921,93,7,,long_term,False,,False,T. Vells,collective_testimony,False,0.56,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0067,The Northern Post Remnant,collective,,829,375,relational_ghost,visible outline,0.55,0.56,Dens boundary zone,68.8,896,34,67,0.023,long_term,True,triggers_memories,True,M. Tall,form_comparison,True,0.81,Ghost of type relational_ghost observed at Trapper camp ruins.,
GO-0068,The Observer Imprint,creature,Reed_Spinner specimen 96,,265,morphological_scar,pattern emergence in new entities,0.41,0.54,Dens boundary zone,70.7,913,59,15,0.122,long_term,True,creates_instability,False,M. Tall,direct_perception,True,0.89,Ghost of type morphological_scar observed at Trapper camp ruins.,
GO-0069,The Crew Imprint,collective,Crew of Year 809,844,,behavioral_echo,operational feeling,0.69,0.72,Western boundary region,105.7,931,19,87,0.044,long_term,True,creates_instability,False,T. Vells,scavenger_guidance,False,0.69,Ghost of type behavioral_echo observed at Old mine entrance.,
GO-0070,The Survey Trace,collective,Crew of Year 860,758,61,behavioral_echo,sensation without source,0.58,0.71,Capital Archives basement,188.9,799,48,41,0.076,permanent,True,creates_instability,True,T. Vells,pattern_analysis,False,0.63,Ghost of type behavioral_echo observed at Capital Archives basement.,
GO-0071,The Lost Archive,creature,Reed_Spinner specimen 24,,369,morphological_scar,spatial distortion,0.24,0.49,Western boundary region,25.3,876,65,1,0.361,short_term,True,creates_instability,False,T. Vells,scavenger_guidance,False,0.84,Ghost of type morphological_scar observed at Mill Creek ravine.,
GO-0072,The Deep Tunnel Echo,phenomenon,,,408,relational_ghost,memory fragments in observers,0.57,0.73,Southern terraces,180.1,879,83,30,0.008,permanent,False,,False,K. Strand,direct_perception,True,0.74,Ghost of type relational_ghost observed at Central processing area.,
GO-0073,The Boundary Presence,structure,,,362,form_shadow,presence awareness,0.65,0.76,Near Third Mill site,150.4,896,69,13,0.006,permanent,True,creates_instability,False,R. Voss,direct_perception,False,0.5,Ghost of type form_shadow observed at Yeller Quarry eastern ridge.,
GO-0074,The Third Mill Shadow,place,Eastern Ridge,779,14,form_shadow,visible outline,0.54,0.29,Capital Archives basement,108.8,805,50,26,0.019,medium_term,False,,False,T. Vells,form_comparison,False,0.54,Ghost of type form_shadow observed at Near Third Mill site.,
GO-0075,The Specimen Memory,structure,Old Survey Camp,900,325,spatial_imprint,pattern emergence in new entities,0.78,0.36,Yeller Quarry eastern ridge,99.1,916,35,16,0.034,medium_term,True,provides_template,False,Archive Survey Team,collective_testimony,False,0.47,Ghost of type spatial_imprint observed at Central processing area.,
GO-0076,The Observer Imprint,phenomenon,,771,238,memorial_trace,memory fragments in observers,0.69,0.87,Mill Creek ravine,41.5,900,22,129,0.069,short_term,True,creates_instability,True,Boundary Commission,scavenger_guidance,False,0.59,Ghost of type memorial_trace observed at Mill Creek ravine.,
GO-0077,The Specimen Remnant,collective,Crew of Year 805,791,411,behavioral_echo,sensation without source,0.55,0.89,Mill Creek ravine,113.1,928,44,137,0.035,medium_term,False,,False,R. Voss,behavioral_tracking,True,0.94,Ghost of type behavioral_echo observed at Dens boundary zone.,
GO-0078,The Specimen Shadow,collective,Crew of Year 876,834,,behavioral_echo,presence awareness,0.47,0.49,Northern observation post,182.9,837,69,3,0.074,permanent,False,,False,M. Tall,collective_testimony,True,0.86,Ghost of type behavioral_echo observed at Mill Creek ravine.,
GO-0079,The Eastern Ridge Presence,pattern,,781,,memorial_trace,presence awareness,0.59,0.31,Yeller Quarry eastern ridge,194.4,872,29,91,,long_term,False,,False,Boundary Commission,scavenger_guidance,False,0.6,Ghost of type memorial_trace observed at Near Third Mill site.,
GO-0080,Third Mill's Ghost,place,,806,,form_shadow,operational feeling,0.88,0.74,Near Third Mill site,196.0,836,36,30,0.008,long_term,False,,False,R. Voss,pattern_analysis,False,0.76,Ghost of type form_shadow observed at Central processing area.,
GO-0081,The Old Trapper Remnant,person,Individual of Year 808,,497,collective_remnant,memory fragments in observers,0.46,0.73,Mill Creek ravine,149.4,909,72,9,,medium_term,False,,False,S. Moll,form_comparison,False,0.92,Ghost of type collective_remnant observed at Yeller Quarry eastern ridge.,
GO-0082,The Specimen Remnant,place,Trapper's Rest,820,201,form_shadow,pattern emergence in new entities,0.63,0.73,Dens boundary zone,136.4,836,11,16,,medium_term,True,influences_new_forms,False,Archive Survey Team,scavenger_guidance,False,0.44,Ghost of type form_shadow observed at Deep Quarry tunnels.,
GO-0083,The Boundary Trace,person,Individual of Year 842,829,491,behavioral_echo,sensation without source,0.45,0.56,Yeller Quarry eastern ridge,125.6,838,43,9,0.041,medium_term,False,,False,Archive Survey Team,direct_perception,False,0.74,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0084,The Lost Third Mill,collective,Crew of Year 874,781,,collective_remnant,behavioral influence,0.86,0.24,Near Third Mill site,194.9,803,87,22,0.033,permanent,True,influences_new_forms,True,Quarry Guild Records,form_comparison,True,0.81,Ghost of type collective_remnant observed at Deep Quarry tunnels.,
GO-0085,The Eastern Ridge Echo,structure,Mill Creek,859,,form_shadow,pattern emergence in new entities,0.68,0.51,Central processing area,68.6,872,17,13,0.122,medium_term,True,triggers_memories,True,R. Voss,scavenger_guidance,False,0.5,Ghost of type form_shadow observed at Western boundary region.,
GO-0086,The Crew Shadow,structure,Northern Quarry,899,189,form_shadow,visible outline,0.73,0.73,Southern terraces,103.1,927,76,28,0.032,permanent,False,,False,T. Vells,direct_perception,True,0.85,Ghost of type form_shadow observed at Southern terraces.,
GO-0087,The Survey Trace,structure,Western Boundary,801,154,form_shadow,operational feeling,0.57,0.62,Dens boundary zone,157.3,853,21,52,0.055,permanent,True,influences_new_forms,True,S. Moll,scavenger_guidance,True,0.53,Ghost of type form_shadow observed at Central processing area.,
GO-0088,The Observer Presence,person,Individual of Year 861,834,100,behavioral_echo,sensation without source,0.46,0.42,Yeller Quarry eastern ridge,75.8,929,4,95,0.127,short_term,True,triggers_memories,True,Boundary Commission,scavenger_guidance,True,0.87,Ghost of type behavioral_echo observed at Deep Quarry tunnels.,
GO-0089,The Old Trapper Trace,person,Individual of Year 802,795,415,behavioral_echo,sensation without source,0.41,0.59,Mill Creek ravine,182.2,863,22,68,,long_term,False,,False,C. Vells,form_comparison,False,0.44,Ghost of type behavioral_echo observed at Western boundary region.,
GO-0090,Observer's Ghost,person,Individual of Year 824,886,127,behavioral_echo,visible outline,0.56,0.35,Mill Creek ravine,139.2,911,36,25,,permanent,True,provides_template,False,R. Voss,pattern_analysis,False,0.83,Ghost of type behavioral_echo observed at Mill Creek ravine.,
GO-0091,The Northern Post Trace,creature,,792,,relational_ghost,presence awareness,0.65,0.77,Trapper camp ruins,78.2,923,35,131,0.118,medium_term,True,provides_template,False,Archive Survey Team,pattern_analysis,False,0.65,Ghost of type relational_ghost observed at Deep Quarry tunnels.,
GO-0092,The Boundary Echo,place,,828,299,memorial_trace,visible outline,0.69,0.35,Trapper camp ruins,177.9,883,66,55,0.075,long_term,True,creates_instability,True,Quarry Guild Records,form_comparison,False,0.67,Ghost of type memorial_trace observed at Capital Archives basement.,
GO-0093,The Mill Creek Memory,creature,,795,117,memorial_trace,behavioral influence,0.56,0.7,Near Third Mill site,47.5,909,10,114,0.067,short_term,True,provides_template,True,Archive Survey Team,scavenger_guidance,False,0.57,Ghost of type memorial_trace observed at Mill Creek ravine.,
GO-0094,The Survey Imprint,place,Old Survey Camp,,335,form_shadow,spatial distortion,0.4,0.87,Northern observation post,182.6,925,30,140,0.027,long_term,True,affects_navigation,True,K. Strand,collective_testimony,False,0.82,Ghost of type form_shadow observed at Old mine entrance.,
GO-0095,The Deep Tunnel Trace,place,Eastern Ridge,830,483,form_shadow,visible outline,0.87,0.47,Trapper camp ruins,86.3,855,85,25,,long_term,True,triggers_memories,True,Quarry Guild Records,scavenger_guidance,False,0.82,Ghost of type form_shadow observed at Old mine entrance.,
GO-0096,The Specimen Imprint,structure,,833,274,relational_ghost,operational feeling,0.41,0.79,Deep Quarry tunnels,5.6,909,61,76,0.377,ephemeral,False,,False,C. Vells,form_comparison,False,0.57,Ghost of type relational_ghost observed at Western boundary region.,
GO-0097,The Eastern Ridge Memory,structure,Old Survey Camp,875,6,spatial_imprint,spatial distortion,0.33,0.32,Dens boundary zone,38.2,877,53,2,0.145,medium_term,True,influences_new_forms,True,Quarry Guild Records,form_comparison,False,0.61,Ghost of type spatial_imprint observed at Deep Quarry tunnels.,
GO-0098,The Old Trapper Remnant,person,Individual of Year 839,860,33,behavioral_echo,operational feeling,0.53,0.5,Central processing area,32.6,921,32,61,0.06,short_term,False,,False,C. Vells,form_comparison,False,0.72,Ghost of type behavioral_echo observed at Old mine entrance.,
GO-0099,The Old Trapper Imprint,place,,866,,spatial_imprint,operational feeling,0.76,0.69,Trapper camp ruins,140.4,911,50,45,,permanent,False,,False,T. Vells,scavenger_guidance,False,0.62,Ghost of type spatial_imprint observed at Yeller Quarry eastern ridge.,
GO-0100,The Western Camp Imprint,person,Individual of Year 835,910,,behavioral_echo,behavioral influence,0.67,0.74,Near Third Mill site,59.1,928,65,18,,long_term,False,,False,Independent Observer,form_comparison,False,0.54,Ghost of type behavioral_echo observed at Southern terraces.,
GO-0101,The Archive Shadow,place,Mill Creek,847,237,spatial_imprint,behavioral influence,0.83,0.35,Near Third Mill site,149.4,891,71,44,0.035,medium_term,False,,False,R. Voss,pattern_analysis,False,0.55,Ghost of type spatial_imprint observed at Western boundary region.,
GO-0102,The Deep Tunnel Remnant,person,Individual of Year 877,775,366,behavioral_echo,visible outline,0.51,0.6,Mill Creek ravine,59.5,821,69,46,0.071,short_term,True,influences_new_forms,False,K. Strand,scavenger_guidance,False,0.76,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0103,Old Trapper's Ghost,pattern,,828,8,memorial_trace,sensation without source,0.1,0.76,Deep Quarry tunnels,11.4,885,88,57,0.332,ephemeral,True,affects_navigation,False,M. Tall,scavenger_guidance,True,0.49,Ghost of type memorial_trace observed at Northern observation post.,
