case_id,case_name,entity_type,entity_scale,original_boundary_strength,dissolution_type,dissolution_rate,completeness,reversibility,primary_cause,secondary_causes,dens_proximity_km,boundary_drift_rate,early_symptoms,progression_pattern,duration_to_crisis_days,outcome,entity_survived,ghost_produced,affected_neighbors,recovery_attempted,recovery_method,recovery_success,location,region,observation_year,observer,confidence,cross_reference,notes
BD-0058,Settlement 11 Dissolution,colony,large_collective,0.86,gradual_weakening,instantaneous,0.64,fully_reversible,boundary_instability,dens_proximity,4.5,12.07,boundary_fluctuation,stepwise,624,merger_complete,False,True,0,True,boundary_reinforcement,made_worse,Dens deep,Dens,890,K. Vorn,0.96,,
BD-0059,Mill Worker 4 Blending,colony,large_collective,0.76,sudden_collapse,intermittent,0.51,irreversible,substrate_degradation,,155.3,8.4,identity_confusion,oscillating,5,merger_complete,False,True,8,True,isolation,made_worse,Capital proper,Capital,923,Field Team A,0.71,,
BD-0060,Settlement 70 Dissolution,individual,cellular,0.84,sudden_collapse,rapid,0.49,irreversible,trust_failure,ghost_contamination,5.8,14.99,boundary_fluctuation,oscillating,0,recovery,True,False,2,True,boundary_reinforcement,successful,Southern perimeter,Dens boundary,895,Boundary Commission,0.53,,
BD-0061,Pattern 9 Boundary Breach,creature,individual,0.56,absorption,rapid,0.49,fully_reversible,boundary_instability,dens_proximity,145.4,6.69,neighbor_blending,linear,851,recovery,True,False,17,True,relocation,successful,Trapper territory,Yeller Quarry,915,C. Vells,0.82,,
BD-0062,Pattern 25 Boundary Breach,creature,individual,0.96,gradual_weakening,prolonged,0.35,partially_reversible,boundary_instability,horizon_collapse,202.8,1.74,identity_confusion,plateau_then_collapse,2354,recovery,True,False,3,True,pattern_editing,successful,Healing Institute,Capital,893,A. Vells,0.61,,
BD-0063,Mill Worker 67 Blending,place,regional,0.91,sudden_collapse,rapid,0.34,irreversible,dens_proximity,horizon_collapse,390.7,1.23,neighbor_blending,oscillating,5,recovery,True,False,8,True,isolation,successful,Ascetic village,Northo,936,Boundary Commission,0.63,,
BD-0064,Colony 97 Absorption,individual,individual,0.75,merger,instantaneous,0.95,partially_reversible,boundary_instability,ghost_contamination,19.2,12.21,identity_confusion,oscillating,313,merger_complete,False,False,18,False,none,not_attempted,Sector NE-4,Dens boundary,921,C. Vells,0.53,HS-0182,
BD-0065,Digger Colony 92 Merger,individual,individual,0.55,selective_permeability,prolonged,1.0,partially_reversible,substrate_degradation,trauma,26.1,1.68,permeability_increase,oscillating,556,total_dissolution,False,False,9,False,none,not_attempted,Sector SW-6,Dens boundary,939,K. Vorn,0.86,,
BD-0066,Mill Worker 4 Blending,creature,cellular,0.67,sudden_collapse,prolonged,0.28,irreversible,competing_form,,233.3,4.22,permeability_increase,stepwise,9,merger_complete,False,False,1,True,relocation,failed,Capital outskirts,Capital,939,Field Team A,0.62,HS-0187,
BD-0067,Archive Annex 25 Dissolution,place,individual,0.82,gradual_weakening,instantaneous,1.0,partially_reversible,boundary_instability,ghost_contamination,5.8,9.67,permeability_increase,linear,1063,fragmentation_stable,True,True,5,True,pattern_editing,made_worse,Western approach,Dens boundary,924,Field Team B,0.91,,
BD-0068,Expedition 22 Fragmentation,creature,cellular,0.64,sudden_collapse,instantaneous,0.71,irreversible,dens_proximity,ghost_contamination,344.3,4.8,self_reference_failure,plateau_then_collapse,4,total_dissolution,False,True,0,True,boundary_reinforcement,made_worse,Ascetic village,Northo,928,P. Tross (recovered),0.84,HS-0044,
BD-0069,Threshold Walker Case,individual,cellular,0.57,fragmentation,prolonged,0.15,irreversible,competing_form,trust_failure,52.2,5.85,self_reference_failure,linear,233,transformation,True,False,12,True,boundary_reinforcement,partial,Quarry Sector 7,Yeller Quarry,919,A. Vells,0.67,HS-0082,
BD-0070,Scholar 40 Identity Diffusion,colony,small_collective,0.55,selective_permeability,rapid,0.45,fully_reversible,trust_failure,,103.2,6.23,boundary_fluctuation,oscillating,254,total_dissolution,False,False,7,False,none,not_attempted,Quarry interior,Yeller Quarry,903,C. Vells,0.97,,
BD-0071,Mill Worker 97 Blending,federation,large_collective,0.75,absorption,gradual,0.51,irreversible,dens_proximity,ghost_contamination,199.0,6.95,boundary_fluctuation,stepwise,43,merger_complete,False,False,20,True,pattern_editing,failed,Scholar's Quarter,Capital,913,A. Vells,0.57,,
BD-0072,Student 41 Identity Confusion,individual,individual,0.98,gradual_weakening,prolonged,0.91,partially_reversible,dens_proximity,,26.8,5.84,boundary_fluctuation,stepwise,1773,partial_dissolution,True,True,2,True,isolation,partial,Eastern fluctuation zone,Dens boundary,893,Boundary Commission,0.7,,
BD-0073,Digger Colony 15 Merger,individual,individual,0.55,sudden_collapse,gradual,0.97,spontaneous_recovery,dens_proximity,horizon_collapse,24.7,10.46,pattern_leakage,linear,0,total_dissolution,False,False,1,False,none,not_attempted,Sector SW-6,Dens boundary,918,Field Team A,0.69,HS-0160,
BD-0074,Trapper 71 Boundary Failure,institution,institutional,0.9,gradual_weakening,intermittent,0.87,partially_reversible,trust_failure,horizon_collapse,186.6,6.3,pattern_leakage,plateau_then_collapse,2013,fragmentation_stable,True,True,7,True,pattern_editing,failed,Archive vicinity,Capital,890,Boundary Commission,0.64,,
BD-0075,Student 81 Identity Confusion,phenomenon,institutional,0.48,gradual_weakening,prolonged,0.73,irreversible,observer_interference,,1.9,12.43,neighbor_blending,linear,2195,partial_dissolution,True,True,5,False,none,not_attempted,Dissolution zone,Dens,903,Field Team A,0.76,,
BD-0076,Expedition 36 Fragmentation,pattern,regional,0.49,gradual_weakening,intermittent,0.47,spontaneous_recovery,boundary_instability,horizon_collapse,20.3,8.67,neighbor_blending,plateau_then_collapse,2678,partial_dissolution,True,False,8,True,boundary_reinforcement,partial,Sector SW-6,Dens boundary,930,P. Tross (recovered),0.84,,
BD-0077,Colony 2 Absorption,federation,small_collective,0.48,merger,gradual,1.0,irreversible,trauma,horizon_collapse,1.2,5.06,boundary_fluctuation,exponential,823,fragmentation_stable,False,False,17,True,pattern_editing,made_worse,Dens interior,Dens,907,Boundary Commission,0.93,,
BD-0078,Student 67 Identity Confusion,individual,cellular,0.75,selective_permeability,intermittent,0.44,partially_reversible,trust_failure,ghost_contamination,3.1,3.61,pattern_leakage,oscillating,495,partial_dissolution,True,False,8,True,merger_acceptance,failed,Dens interior,Dens,908,Field Team A,0.64,,
BD-0079,Digger Colony 21 Merger,federation,small_collective,0.45,sudden_collapse,gradual,0.38,irreversible,horizon_collapse,dens_proximity,147.1,7.32,self_reference_failure,oscillating,5,transformation,False,False,8,True,isolation,failed,Quarry interior,Yeller Quarry,897,Field Team B,0.67,,
BD-0080,Mill Worker 55 Blending,colony,large_collective,0.72,gradual_weakening,prolonged,0.58,irreversible,competing_form,trust_failure,380.2,3.79,boundary_fluctuation,exponential,2389,recovery,True,True,5,True,pattern_editing,successful,Northern monastery,Northo,935,K. Vorn,0.74,,
BD-0081,Pattern 80 Boundary Breach,individual,individual,0.93,gradual_weakening,prolonged,0.34,fully_reversible,substrate_degradation,trauma,376.6,2.28,neighbor_blending,oscillating,2426,partial_dissolution,True,False,4,False,none,not_attempted,Ascetic village,Northo,905,Field Team A,0.62,,
BD-0082,Healer 39 Boundary Weakening,institution,institutional,0.92,gradual_weakening,prolonged,0.5,partially_reversible,horizon_collapse,substrate_degradation,16.0,2.33,self_reference_failure,linear,2465,total_dissolution,False,False,10,True,boundary_reinforcement,failed,Sector SW-6,Dens boundary,894,K. Vorn,0.96,HS-0099,
BD-0083,Trapper 16 Boundary Failure,individual,individual,0.44,gradual_weakening,instantaneous,0.97,irreversible,horizon_collapse,ghost_contamination,7.5,1.62,permeability_increase,plateau_then_collapse,2864,total_dissolution,False,True,9,True,boundary_reinforcement,failed,Eastern fluctuation zone,Dens boundary,895,Field Team A,0.81,,
BD-0084,Student 85 Identity Confusion,individual,individual,0.85,sudden_collapse,intermittent,0.7,fully_reversible,observer_interference,,155.6,6.95,self_reference_failure,stepwise,2,total_dissolution,False,True,9,True,relocation,failed,Archive vicinity,Capital,919,A. Vells,0.64,,
BD-0085,Trapper 95 Boundary Failure,colony,small_collective,0.57,merger,prolonged,1.0,partially_reversible,competing_form,ghost_contamination,12.2,3.99,boundary_fluctuation,stepwise,877,partial_dissolution,False,True,17,True,pattern_editing,failed,Southern perimeter,Dens boundary,913,Field Team A,0.55,,
BD-0086,Pattern 9 Boundary Breach,individual,cellular,0.98,selective_permeability,rapid,0.95,partially_reversible,trauma,horizon_collapse,27.6,6.57,neighbor_blending,stepwise,515,merger_complete,False,True,8,True,relocation,failed,Sector NE-4,Dens boundary,933,A. Vells,0.57,,
BD-0087,Northern Surveyor Identity Loss,individual,cellular,0.9,sudden_collapse,rapid,0.76,irreversible,boundary_instability,,87.7,6.39,identity_confusion,stepwise,3,partial_dissolution,True,False,2,False,none,not_attempted,Camp settlements,Yeller Quarry,896,Field Team A,0.63,,
BD-0088,Threshold Walker Case,individual,cellular,0.79,sudden_collapse,gradual,0.73,irreversible,trust_failure,trauma,13.5,15.21,boundary_fluctuation,exponential,22,partial_dissolution,True,False,2,True,isolation,partial,Sector NE-4,Dens boundary,928,Capital Survey,0.81,HS-0035,
BD-0089,Healer 3 Boundary Weakening,colony,small_collective,1.0,sudden_collapse,prolonged,0.28,partially_reversible,boundary_instability,substrate_degradation,103.0,0.92,identity_confusion,linear,13,transformation,False,False,1,False,none,not_attempted,Tower base,Tower of Mirado,913,Boundary Commission,0.67,,
BD-0090,Scholar 97 Identity Diffusion,pattern,institutional,0.8,sudden_collapse,instantaneous,0.86,irreversible,dens_proximity,ghost_contamination,12.0,6.95,boundary_fluctuation,stepwise,3,recovery,True,True,8,True,relocation,successful,Southern perimeter,Dens boundary,914,Boundary Commission,0.59,HS-0158,
BD-0091,Student 76 Identity Confusion,individual,cellular,0.67,sudden_collapse,rapid,0.29,fully_reversible,dens_proximity,ghost_contamination,297.9,5.57,self_reference_failure,oscillating,20,fragmentation_stable,True,False,2,True,relocation,failed,Recovery settlement,Northo,901,Field Team A,0.51,,
BD-0092,Pattern 97 Boundary Breach,creature,individual,0.53,sudden_collapse,gradual,0.37,irreversible,dens_proximity,trauma,190.1,1.72,self_reference_failure,linear,28,transformation,False,False,8,True,boundary_reinforcement,partial,Capital outskirts,Capital,939,Field Team B,0.69,,
BD-0093,Mill Worker 41 Blending,colony,small_collective,0.93,fragmentation,intermittent,0.18,fully_reversible,dens_proximity,trust_failure,179.8,5.44,identity_confusion,oscillating,562,merger_complete,False,False,25,True,pattern_editing,failed,Siege fields,Tower of Mirado,914,Boundary Commission,0.99,HS-0187,
BD-0094,Healer 53 Boundary Weakening,individual,individual,0.54,gradual_weakening,gradual,0.84,irreversible,ghost_contamination,dens_proximity,91.9,9.9,identity_confusion,linear,2570,merger_complete,False,True,8,True,pattern_editing,made_worse,Quarry Sector 7,Yeller Quarry,929,K. Vorn,0.76,,
BD-0095,Healer 12 Boundary Weakening,colony,small_collective,0.41,gradual_weakening,rapid,0.34,partially_reversible,boundary_instability,trust_failure,2.6,5.73,permeability_increase,exponential,1393,partial_dissolution,True,False,1,False,none,not_attempted,Dens interior,Dens,924,Boundary Commission,0.82,HS-0079,
