subject_id,observation_period_start,observation_period_end,total_observations,prediction_model_version,deviation_variance,deviation_mean,pattern_consistency_score,awareness_of_observation,behavior_changed_after_awareness,model_accuracy_pre_awareness,model_accuracy_post_awareness,reflexive_subject_score,jackson_similarity_score,classification_possible
SUB-0015,1849-11,1850-05,146,v1.2,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
JK-0002,1850-01,1850-07,94,v1.2,0.82,0.56,0.19,suspected,True,0.38,0.21,0.87,0.96,False
SUB-0016,1850-03,1850-09,138,v1.3,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0017,1850-05,1850-11,153,v1.3,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0018,1850-07,1851-01,127,v1.3,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0019,1850-09,1851-03,141,v1.3,0.19,0.15,0.83,confirmed,True,0.86,0.52,0.34,0.29,True
SUB-0020,1850-11,1851-05,116,v1.3,0.09,0.05,0.92,none,False,0.94,0.94,0.08,0.06,True
JK-0003,1851-01,1851-07,102,v1.3,0.85,0.59,0.17,confirmed,True,0.35,0.12,0.91,0.97,False
SUB-0021,1851-03,1851-09,149,v2.0,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0022,1851-05,1851-11,134,v2.0,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0023,1851-07,1852-01,158,v2.0,0.16,0.12,0.85,suspected,True,0.87,0.69,0.25,0.22,True
SUB-0024,1851-09,1852-03,123,v2.0,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0025,1851-11,1852-05,145,v2.0,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0026,1852-01,1852-07,137,v2.1,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0027,1852-03,1852-09,152,v2.1,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0028,1852-05,1852-11,118,v2.1,0.18,0.14,0.84,suspected,True,0.86,0.67,0.26,0.23,True
SUB-0029,1852-07,1853-01,143,v2.1,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0030,1852-09,1853-03,129,v2.1,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
JK-0004,1853-01,1853-07,87,v2.1,0.79,0.53,0.21,confirmed,True,0.41,0.09,0.84,0.95,False
SUB-0031,1853-03,1853-09,156,v2.2,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0032,1853-05,1853-11,141,v2.2,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0033,1853-07,1854-01,127,v2.2,0.17,0.13,0.84,suspected,True,0.86,0.68,0.25,0.21,True
SUB-0034,1853-09,1854-03,148,v2.2,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0035,1853-11,1854-05,135,v2.2,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0036,1854-01,1854-07,162,v2.3,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0037,1854-03,1854-09,124,v2.3,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0038,1854-05,1854-11,147,v2.3,0.20,0.16,0.82,confirmed,True,0.85,0.48,0.37,0.32,True
SUB-0039,1854-07,1855-01,138,v2.3,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0040,1854-09,1855-03,151,v2.3,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
JK-0005,1855-01,1855-07,91,v2.3,0.81,0.55,0.20,confirmed,True,0.39,0.08,0.86,0.96,False
SUB-0041,1855-03,1855-09,143,v3.0,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0042,1855-05,1855-11,129,v3.0,0.14,0.10,0.87,suspected,True,0.89,0.72,0.22,0.19,True
SUB-0043,1855-07,1856-01,157,v3.0,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0044,1855-09,1856-03,134,v3.0,0.16,0.12,0.85,none,False,0.87,0.87,0.15,0.13,True
SUB-0045,1855-11,1856-05,146,v3.0,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0046,1856-01,1856-07,121,v3.1,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0047,1856-03,1856-09,155,v3.1,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0048,1856-05,1856-11,138,v3.1,0.18,0.14,0.84,suspected,True,0.86,0.66,0.27,0.24,True
SUB-0049,1856-07,1857-01,147,v3.1,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0050,1856-09,1857-03,126,v3.1,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
JK-0006,1857-01,1857-07,96,v3.1,0.83,0.57,0.18,confirmed,True,0.36,0.07,0.89,0.97,False
SUB-0051,1857-03,1857-09,142,v3.2,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0052,1857-05,1857-11,158,v3.2,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0053,1857-07,1858-01,131,v3.2,0.17,0.13,0.84,suspected,True,0.86,0.69,0.24,0.20,True
SUB-0054,1857-09,1858-03,149,v3.2,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0055,1857-11,1858-05,136,v3.2,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0056,1858-01,1858-07,154,v3.3,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0057,1858-03,1858-09,123,v3.3,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0058,1858-05,1858-11,145,v3.3,0.19,0.15,0.83,confirmed,True,0.86,0.51,0.35,0.30,True
SUB-0059,1858-07,1859-01,137,v3.3,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0060,1858-09,1859-03,152,v3.3,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
JK-0007,1859-01,1859-07,88,v3.3,0.80,0.54,0.22,confirmed,True,0.40,0.06,0.85,0.95,False
SUB-0061,1859-03,1859-09,146,v4.0,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0062,1859-05,1859-11,133,v4.0,0.14,0.10,0.87,suspected,True,0.89,0.71,0.23,0.20,True
SUB-0063,1859-07,1860-01,159,v4.0,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0064,1859-09,1860-03,127,v4.0,0.16,0.12,0.85,none,False,0.87,0.87,0.15,0.13,True
SUB-0065,1859-11,1860-05,148,v4.0,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0066,1860-01,1860-07,135,v4.1,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0067,1860-03,1860-09,156,v4.1,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0068,1860-05,1860-11,124,v4.1,0.18,0.14,0.84,suspected,True,0.86,0.65,0.28,0.25,True
SUB-0069,1860-07,1861-01,143,v4.1,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0070,1860-09,1861-03,139,v4.1,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
JK-0008,1861-01,1861-07,93,v4.1,0.84,0.58,0.16,confirmed,True,0.34,0.05,0.90,0.98,False
SUB-0071,1861-03,1861-09,151,v4.2,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0072,1861-05,1861-11,128,v4.2,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0073,1861-07,1862-01,144,v4.2,0.17,0.13,0.84,suspected,True,0.86,0.68,0.25,0.22,True
SUB-0074,1861-09,1862-03,137,v4.2,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0075,1861-11,1862-05,153,v4.2,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0076,1862-01,1862-07,126,v4.3,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0077,1862-03,1862-09,147,v4.3,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0078,1862-05,1862-11,134,v4.3,0.20,0.16,0.82,confirmed,True,0.85,0.47,0.38,0.33,True
SUB-0079,1862-07,1863-01,158,v4.3,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0080,1862-09,1863-03,141,v4.3,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
JK-0009,1863-01,1863-07,85,v4.3,0.86,0.60,0.15,confirmed,True,0.33,0.04,0.92,0.98,False
SUB-0081,1863-03,1863-09,149,v5.0,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0082,1863-05,1863-11,132,v5.0,0.14,0.10,0.87,suspected,True,0.89,0.70,0.24,0.21,True
SUB-0083,1863-07,1864-01,155,v5.0,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0084,1863-09,1864-03,138,v5.0,0.16,0.12,0.85,none,False,0.87,0.87,0.15,0.13,True
SUB-0085,1863-11,1864-05,146,v5.0,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0086,1864-01,1864-07,123,v5.1,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0087,1864-03,1864-09,157,v5.1,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0088,1864-05,1864-11,129,v5.1,0.18,0.14,0.84,suspected,True,0.86,0.67,0.26,0.23,True
SUB-0089,1864-07,1865-01,148,v5.1,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0090,1864-09,1865-03,136,v5.1,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
JK-0010,1865-01,1865-07,90,v5.1,0.87,0.61,0.14,confirmed,True,0.32,0.03,0.93,0.99,False
SUB-0091,1865-03,1865-09,152,v5.2,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0092,1865-05,1865-11,141,v5.2,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0093,1865-07,1866-01,127,v5.2,0.17,0.13,0.84,suspected,True,0.86,0.69,0.24,0.21,True
SUB-0094,1865-09,1866-03,159,v5.2,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0095,1865-11,1866-05,133,v5.2,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0096,1866-01,1866-07,147,v5.3,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0097,1866-03,1866-09,124,v5.3,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0098,1866-05,1866-11,156,v5.3,0.19,0.15,0.83,confirmed,True,0.86,0.50,0.36,0.31,True
SUB-0099,1866-07,1867-01,138,v5.3,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0100,1866-09,1867-03,151,v5.3,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
JK-0011,1867-01,1867-07,86,v5.3,0.88,0.62,0.13,confirmed,True,0.31,0.02,0.94,0.99,False
SUB-0101,1867-03,1867-09,144,v6.0,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0102,1867-05,1867-11,137,v6.0,0.14,0.10,0.87,suspected,True,0.89,0.72,0.22,0.19,True
SUB-0103,1867-07,1868-01,158,v6.0,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0104,1867-09,1868-03,126,v6.0,0.16,0.12,0.85,none,False,0.87,0.87,0.15,0.13,True
SUB-0105,1867-11,1868-05,149,v6.0,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0106,1868-01,1868-07,134,v6.1,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0107,1868-03,1868-09,153,v6.1,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0108,1868-05,1868-11,128,v6.1,0.18,0.14,0.84,suspected,True,0.86,0.66,0.27,0.24,True
SUB-0109,1868-07,1869-01,146,v6.1,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0110,1868-09,1869-03,139,v6.1,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
JK-0012,1869-01,1869-07,82,v6.1,0.89,0.63,0.12,confirmed,True,0.30,0.01,0.95,0.99,False
SUB-0111,1869-03,1869-09,157,v6.2,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0112,1869-05,1869-11,143,v6.2,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0113,1869-07,1870-01,131,v6.2,0.17,0.13,0.84,suspected,True,0.86,0.68,0.25,0.22,True
SUB-0114,1869-09,1870-03,155,v6.2,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0115,1869-11,1870-05,136,v6.2,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0116,1870-01,1870-07,148,v6.3,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0117,1870-03,1870-09,124,v6.3,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0118,1870-05,1870-11,152,v6.3,0.21,0.17,0.81,confirmed,True,0.85,0.46,0.39,0.34,True
SUB-0119,1870-07,1871-01,137,v6.3,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.10,True
SUB-0120,1870-09,1871-03,145,v6.3,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
