practitioner_id,institution,evaluation_regime,role,years_experience,outcome_accuracy,outcome_throughput,method_documentation_burden,reported_stress,reported_autonomy,innovation_attempts,innovation_successes,retention_risk,institutional_knowledge_score,dens_fieldwork
PRC-0019,Capital Archive,process_disclosure,Archive Indexer,5,0.82,1.18,7.5,6,4,2,1,0.25,0.68,false
PRC-0020,Traders Guild,outcome_only,Quality Inspector,9,0.83,1.30,0.4,4,8,5,2,0.10,0.44,false
PRC-0021,Cartographer's Guild,opacity_convention,River Navigator,14,0.89,1.02,1.9,4,7,4,2,0.10,0.72,true
PRC-0022,Capital Archive,process_disclosure,Linguistic Analyst,11,0.87,1.00,8.6,7,3,1,0,0.36,0.80,false
PRC-0023,Traders Guild,outcome_only,Trade Negotiator,7,0.80,1.35,0.5,4,8,5,2,0.09,0.40,true
PRC-0024,Cartographer's Guild,opacity_convention,Desert Surveyor,16,0.91,0.96,2.1,3,8,5,2,0.08,0.74,true
PRC-0025,Capital Archive,process_disclosure,Cartographic Historian,13,0.88,0.98,8.9,8,2,1,0,0.40,0.83,false
PRC-0026,Traders Guild,outcome_only,Warehouse Manager,3,0.75,1.52,0.2,3,9,6,3,0.06,0.30,false
PRC-0027,Cartographer's Guild,opacity_convention,Cave Surveyor,11,0.88,1.08,1.7,4,7,4,2,0.11,0.67,true
PRC-0028,Capital Archive,process_disclosure,Source Verifier,8,0.85,1.10,8.0,7,3,1,0,0.30,0.74,false
PRC-0029,Traders Guild,outcome_only,Port Agent,10,0.84,1.26,0.5,4,8,5,2,0.12,0.46,true
PRC-0030,Cartographer's Guild,opacity_convention,Island Mapper,9,0.87,1.10,1.8,4,7,3,2,0.10,0.64,true
PRC-0031,Capital Archive,process_disclosure,Comparative Analyst,6,0.83,1.12,7.6,6,4,2,0,0.26,0.70,false
PRC-0032,Traders Guild,outcome_only,Customs Specialist,12,0.86,1.20,0.6,5,7,4,2,0.13,0.50,false
PRC-0033,Cartographer's Guild,opacity_convention,Survey Assistant,4,0.82,1.22,1.4,4,7,4,2,0.09,0.55,true
PRC-0034,Capital Archive,process_disclosure,Dialect Researcher,15,0.90,0.95,9.0,8,2,1,0,0.42,0.86,false
PRC-0035,Traders Guild,outcome_only,Junior Trader,2,0.73,1.55,0.2,3,9,7,3,0.05,0.28,true
PRC-0036,Cartographer's Guild,opacity_convention,Map Illustrator,7,0.85,1.15,1.6,4,7,4,2,0.10,0.60,false
PRC-0037,Capital Archive,process_disclosure,Oral Historian,10,0.86,1.05,8.3,7,3,1,1,0.34,0.78,true
PRC-0038,Traders Guild,outcome_only,Senior Trader,14,0.87,1.18,0.7,5,7,4,2,0.15,0.52,true
PRC-0039,Cartographer's Guild,opacity_convention,Master Surveyor,22,0.94,0.90,2.4,3,8,6,4,0.05,0.82,true
PRC-0040,Capital Archive,process_disclosure,Document Authenticator,4,0.80,1.20,7.2,6,4,2,1,0.22,0.65,false
PRC-0041,Traders Guild,outcome_only,Route Planner,6,0.79,1.40,0.4,4,8,5,2,0.08,0.38,true
PRC-0042,Cartographer's Guild,opacity_convention,Field Surveyor,13,0.90,1.04,2.0,3,7,4,2,0.09,0.71,true
PRC-0043,Capital Archive,process_disclosure,Senior Archivist,20,0.92,0.88,9.8,9,1,0,0,0.48,0.90,false
PRC-0044,Traders Guild,outcome_only,Market Analyst,8,0.81,1.35,0.4,4,8,5,2,0.10,0.42,true
PRC-0045,Cartographer's Guild,opacity_convention,Terrain Analyst,6,0.84,1.18,1.6,4,7,4,2,0.11,0.58,true
PRC-0046,Capital Archive,process_disclosure,Research Analyst,12,0.88,1.00,8.5,7,3,1,0,0.36,0.82,false
PRC-0047,Traders Guild,outcome_only,Contract Negotiator,4,0.77,1.42,0.3,3,9,6,3,0.07,0.34,false
PRC-0048,Cartographer's Guild,opacity_convention,Expedition Leader,17,0.92,0.97,2.2,3,8,5,3,0.07,0.76,true
PRC-0049,Capital Archive,process_disclosure,Collection Curator,9,0.85,1.08,8.4,7,3,1,0,0.32,0.75,false
PRC-0050,Traders Guild,outcome_only,Inventory Manager,11,0.84,1.25,0.5,4,8,4,2,0.12,0.47,false
PRC-0051,Cartographer's Guild,opacity_convention,Boundary Marker,10,0.87,1.12,1.7,4,7,4,2,0.10,0.66,true
PRC-0052,Capital Archive,process_disclosure,Translation Specialist,7,0.84,1.10,7.9,6,4,2,0,0.28,0.72,false
PRC-0053,Traders Guild,outcome_only,Caravan Coordinator,9,0.82,1.30,0.5,4,8,5,2,0.10,0.44,true
PRC-0054,Cartographer's Guild,opacity_convention,Coastal Surveyor,8,0.86,1.14,1.6,4,7,4,2,0.10,0.63,true
PRC-0055,Capital Archive,process_disclosure,Manuscript Restorer,14,0.90,0.95,9.2,8,2,0,0,0.44,0.87,false
PRC-0056,Traders Guild,outcome_only,Commodity Appraiser,7,0.80,1.38,0.4,4,8,5,2,0.09,0.40,false
PRC-0057,Cartographer's Guild,opacity_convention,Mountain Guide,15,0.91,1.00,2.1,3,8,5,2,0.08,0.73,true
PRC-0058,Capital Archive,process_disclosure,Archive Indexer,3,0.78,1.25,7.0,6,4,3,1,0.20,0.62,false
PRC-0059,Traders Guild,outcome_only,Quality Inspector,5,0.78,1.40,0.3,3,9,6,3,0.07,0.36,false
PRC-0060,Cartographer's Guild,opacity_convention,River Navigator,11,0.88,1.06,1.8,4,7,4,2,0.10,0.68,true
PRC-0061,Capital Archive,process_disclosure,Linguistic Analyst,16,0.91,0.92,9.4,8,2,0,0,0.46,0.89,false
PRC-0062,Traders Guild,outcome_only,Trade Negotiator,3,0.75,1.48,0.2,3,9,7,3,0.06,0.32,true
PRC-0063,Cartographer's Guild,opacity_convention,Desert Surveyor,13,0.89,1.02,1.9,3,7,4,2,0.09,0.70,true
PRC-0064,Capital Archive,process_disclosure,Cartographic Historian,8,0.85,1.08,8.1,7,3,1,0,0.30,0.74,false
PRC-0065,Traders Guild,outcome_only,Warehouse Manager,8,0.81,1.35,0.4,4,8,5,2,0.10,0.42,false
PRC-0066,Cartographer's Guild,opacity_convention,Cave Surveyor,7,0.85,1.15,1.5,4,7,4,2,0.11,0.61,true
PRC-0067,Capital Archive,process_disclosure,Source Verifier,11,0.87,1.02,8.5,7,3,1,0,0.35,0.79,false
PRC-0068,Traders Guild,outcome_only,Port Agent,6,0.79,1.38,0.4,4,8,5,2,0.08,0.39,true
PRC-0069,Cartographer's Guild,opacity_convention,Island Mapper,12,0.89,1.04,1.9,3,7,4,2,0.09,0.69,true
PRC-0070,Capital Archive,process_disclosure,Comparative Analyst,10,0.86,1.05,8.3,7,3,1,0,0.34,0.77,false
PRC-0071,Traders Guild,outcome_only,Customs Specialist,9,0.83,1.28,0.5,4,8,5,2,0.11,0.45,false
PRC-0072,Cartographer's Guild,opacity_convention,Survey Assistant,2,0.79,1.28,1.2,4,7,5,2,0.08,0.50,true
PRC-0073,Capital Archive,process_disclosure,Dialect Researcher,13,0.89,0.98,8.8,8,2,1,0,0.40,0.84,false
PRC-0074,Traders Guild,outcome_only,Junior Trader,1,0.71,1.58,0.2,3,9,8,3,0.04,0.25,true
PRC-0075,Cartographer's Guild,opacity_convention,Map Illustrator,9,0.86,1.12,1.7,4,7,4,2,0.10,0.64,false
PRC-0076,Capital Archive,process_disclosure,Oral Historian,6,0.83,1.12,7.7,6,4,2,0,0.26,0.70,true
PRC-0077,Traders Guild,outcome_only,Senior Trader,16,0.88,1.15,0.8,5,7,4,2,0.16,0.54,true
PRC-0078,Cartographer's Guild,opacity_convention,Master Surveyor,19,0.93,0.92,2.3,3,8,5,3,0.06,0.79,true
PRC-0079,Capital Archive,process_disclosure,Document Authenticator,15,0.90,0.96,9.0,8,2,0,0,0.43,0.86,false
PRC-0080,Traders Guild,outcome_only,Route Planner,10,0.83,1.28,0.5,4,8,5,2,0.11,0.46,true
PRC-0081,Cartographer's Guild,opacity_convention,Field Surveyor,5,0.83,1.20,1.5,4,7,4,2,0.10,0.57,true
PRC-0082,Capital Archive,process_disclosure,Senior Archivist,17,0.91,0.90,9.5,8,2,0,0,0.45,0.88,false
PRC-0083,Traders Guild,outcome_only,Market Analyst,12,0.85,1.22,0.6,5,7,4,2,0.13,0.49,true
PRC-0084,Cartographer's Guild,opacity_convention,Terrain Analyst,14,0.90,1.02,2.0,3,7,4,2,0.09,0.72,true
PRC-0085,Capital Archive,process_disclosure,Research Analyst,4,0.81,1.18,7.4,6,4,2,1,0.24,0.67,false
PRC-0086,Traders Guild,outcome_only,Contract Negotiator,8,0.82,1.32,0.4,4,8,5,2,0.10,0.43,false
PRC-0087,Cartographer's Guild,opacity_convention,Expedition Leader,12,0.89,1.05,1.9,3,7,4,2,0.09,0.70,true
PRC-0088,Capital Archive,process_disclosure,Collection Curator,11,0.87,1.02,8.6,7,3,1,0,0.36,0.80,false
PRC-0089,Traders Guild,outcome_only,Inventory Manager,4,0.77,1.45,0.3,3,9,6,3,0.06,0.34,false
PRC-0090,Cartographer's Guild,opacity_convention,Boundary Marker,6,0.84,1.18,1.5,4,7,4,2,0.11,0.59,true
PRC-0091,Capital Archive,process_disclosure,Translation Specialist,13,0.89,0.98,8.8,8,2,1,0,0.40,0.84,false
PRC-0092,Traders Guild,outcome_only,Caravan Coordinator,11,0.84,1.25,0.5,4,8,4,2,0.12,0.47,true
PRC-0093,Cartographer's Guild,opacity_convention,Coastal Surveyor,10,0.87,1.10,1.7,4,7,4,2,0.10,0.67,true
PRC-0094,Capital Archive,process_disclosure,Manuscript Restorer,8,0.86,1.08,8.2,7,3,1,0,0.32,0.76,false
PRC-0095,Traders Guild,outcome_only,Commodity Appraiser,9,0.82,1.30,0.5,4,8,5,2,0.10,0.44,false
PRC-0096,Cartographer's Guild,opacity_convention,Mountain Guide,11,0.88,1.06,1.8,4,7,4,2,0.10,0.68,true
PRC-0097,Capital Archive,process_disclosure,Archive Indexer,7,0.84,1.10,7.8,6,4,2,0,0.28,0.73,false
PRC-0098,Traders Guild,outcome_only,Quality Inspector,7,0.80,1.35,0.4,4,8,5,2,0.09,0.40,false
PRC-0099,Cartographer's Guild,opacity_convention,River Navigator,8,0.86,1.12,1.6,4,7,4,2,0.10,0.64,true
PRC-0100,Capital Archive,process_disclosure,Linguistic Analyst,9,0.86,1.05,8.3,7,3,1,0,0.34,0.78,false
PRC-0101,Traders Guild,outcome_only,Trade Negotiator,5,0.78,1.40,0.3,3,9,6,3,0.07,0.36,true
PRC-0102,Cartographer's Guild,opacity_convention,Desert Surveyor,9,0.87,1.08,1.7,4,7,4,2,0.10,0.65,true
PRC-0103,Capital Archive,process_disclosure,Cartographic Historian,18,0.92,0.88,9.6,9,1,0,0,0.48,0.90,false
PRC-0104,Traders Guild,outcome_only,Warehouse Manager,6,0.79,1.38,0.4,4,8,5,2,0.08,0.39,false
PRC-0105,Cartographer's Guild,opacity_convention,Cave Surveyor,13,0.89,1.02,1.9,3,7,4,2,0.09,0.70,true
PRC-0106,Capital Archive,process_disclosure,Source Verifier,5,0.82,1.15,7.6,6,4,2,0,0.25,0.69,false
PRC-0107,Traders Guild,outcome_only,Port Agent,13,0.86,1.20,0.6,5,7,4,2,0.14,0.51,true
PRC-0108,Cartographer's Guild,opacity_convention,Island Mapper,6,0.84,1.16,1.5,4,7,4,2,0.11,0.60,true
PRC-0109,Capital Archive,process_disclosure,Comparative Analyst,14,0.89,0.96,9.0,8,2,1,0,0.42,0.85,false
PRC-0110,Traders Guild,outcome_only,Customs Specialist,7,0.81,1.32,0.4,4,8,5,2,0.09,0.41,false
PRC-0111,Cartographer's Guild,opacity_convention,Survey Assistant,3,0.80,1.25,1.3,4,7,4,2,0.09,0.53,true
PRC-0112,Capital Archive,process_disclosure,Dialect Researcher,11,0.87,1.00,8.5,7,3,1,0,0.36,0.81,false
PRC-0113,Traders Guild,outcome_only,Junior Trader,1,0.72,1.55,0.2,3,9,7,3,0.05,0.26,true
PRC-0114,Cartographer's Guild,opacity_convention,Map Illustrator,11,0.87,1.08,1.8,4,7,4,2,0.10,0.66,false
PRC-0115,Capital Archive,process_disclosure,Oral Historian,8,0.85,1.08,8.0,7,3,1,0,0.30,0.75,true
PRC-0116,Traders Guild,outcome_only,Senior Trader,12,0.86,1.20,0.6,5,7,4,2,0.14,0.50,true
PRC-0117,Cartographer's Guild,opacity_convention,Master Surveyor,21,0.94,0.91,2.4,3,8,5,3,0.05,0.80,true
PRC-0118,Capital Archive,process_disclosure,Document Authenticator,10,0.86,1.05,8.3,7,3,1,0,0.34,0.79,false
PRC-0119,Traders Guild,outcome_only,Route Planner,7,0.80,1.35,0.4,4,8,5,2,0.09,0.40,true
PRC-0120,Cartographer's Guild,opacity_convention,Field Surveyor,16,0.91,1.00,2.1,3,8,5,2,0.08,0.74,true
PRC-0121,Capital Archive,process_disclosure,Senior Archivist,14,0.89,0.95,9.1,8,2,0,0,0.43,0.86,false
PRC-0122,Traders Guild,outcome_only,Market Analyst,10,0.83,1.28,0.5,4,8,5,2,0.11,0.46,true
PRC-0123,Cartographer's Guild,opacity_convention,Terrain Analyst,8,0.85,1.14,1.6,4,7,4,2,0.11,0.62,true
PRC-0124,Capital Archive,process_disclosure,Research Analyst,6,0.83,1.12,7.7,6,4,2,0,0.27,0.71,false
PRC-0125,Traders Guild,outcome_only,Contract Negotiator,10,0.84,1.26,0.5,4,8,4,2,0.12,0.47,false
PRC-0126,Cartographer's Guild,opacity_convention,Expedition Leader,14,0.90,1.02,2.0,3,7,4,2,0.09,0.72,true
PRC-0127,Capital Archive,process_disclosure,Collection Curator,7,0.84,1.10,7.9,6,4,2,0,0.28,0.73,false
PRC-0128,Traders Guild,outcome_only,Inventory Manager,9,0.82,1.30,0.5,4,8,5,2,0.10,0.44,false
PRC-0129,Cartographer's Guild,opacity_convention,Boundary Marker,12,0.88,1.06,1.8,4,7,4,2,0.10,0.68,true
PRC-0130,Capital Archive,process_disclosure,Translation Specialist,15,0.90,0.94,9.2,8,2,0,0,0.44,0.87,false
PRC-0131,Traders Guild,outcome_only,Caravan Coordinator,7,0.81,1.32,0.4,4,8,5,2,0.09,0.42,true
PRC-0132,Cartographer's Guild,opacity_convention,Coastal Surveyor,14,0.90,1.02,2.0,3,7,4,2,0.09,0.71,true
PRC-0133,Capital Archive,process_disclosure,Manuscript Restorer,12,0.88,1.00,8.6,7,3,1,0,0.37,0.82,false
PRC-0134,Traders Guild,outcome_only,Commodity Appraiser,11,0.84,1.25,0.5,4,8,4,2,0.12,0.48,false
PRC-0135,Cartographer's Guild,opacity_convention,Mountain Guide,9,0.87,1.10,1.7,4,7,4,2,0.10,0.65,true
PRC-0136,Capital Archive,process_disclosure,Archive Indexer,9,0.85,1.05,8.2,7,3,1,0,0.33,0.76,false
PRC-0137,Traders Guild,outcome_only,Quality Inspector,3,0.76,1.48,0.2,3,9,7,3,0.06,0.33,false
PRC-0138,Cartographer's Guild,opacity_convention,River Navigator,6,0.84,1.16,1.5,4,7,4,2,0.11,0.60,true
PRC-0139,Capital Archive,process_disclosure,Linguistic Analyst,7,0.84,1.10,7.8,6,4,2,0,0.28,0.73,false
PRC-0140,Traders Guild,outcome_only,Trade Negotiator,9,0.82,1.30,0.5,4,8,5,2,0.10,0.44,true
PRC-0141,Cartographer's Guild,opacity_convention,Desert Surveyor,11,0.88,1.06,1.8,4,7,4,2,0.10,0.68,true
PRC-0142,Capital Archive,process_disclosure,Cartographic Historian,10,0.86,1.04,8.4,7,3,1,0,0.35,0.79,false
PRC-0143,Traders Guild,outcome_only,Warehouse Manager,12,0.85,1.22,0.6,5,7,4,2,0.13,0.50,false
PRC-0144,Cartographer's Guild,opacity_convention,Cave Surveyor,5,0.83,1.18,1.4,4,7,4,2,0.11,0.58,true
PRC-0145,Capital Archive,process_disclosure,Source Verifier,13,0.89,0.98,8.8,8,2,1,0,0.40,0.84,false
PRC-0146,Traders Guild,outcome_only,Port Agent,4,0.77,1.42,0.3,3,9,6,3,0.07,0.35,true
PRC-0147,Cartographer's Guild,opacity_convention,Island Mapper,10,0.87,1.08,1.7,4,7,4,2,0.10,0.66,true
PRC-0148,Capital Archive,process_disclosure,Comparative Analyst,8,0.85,1.08,8.1,7,3,1,0,0.31,0.75,false
PRC-0149,Traders Guild,outcome_only,Customs Specialist,11,0.84,1.25,0.5,4,8,4,2,0.12,0.48,false
PRC-0150,Cartographer's Guild,opacity_convention,Survey Assistant,5,0.82,1.20,1.4,4,7,4,2,0.10,0.56,true
PRC-0151,Capital Archive,process_disclosure,Dialect Researcher,9,0.86,1.05,8.3,7,3,1,0,0.34,0.78,false
PRC-0152,Traders Guild,outcome_only,Junior Trader,2,0.74,1.52,0.2,3,9,7,3,0.05,0.28,true
PRC-0153,Cartographer's Guild,opacity_convention,Map Illustrator,8,0.85,1.12,1.6,4,7,4,2,0.10,0.63,false
PRC-0154,Capital Archive,process_disclosure,Oral Historian,12,0.88,1.00,8.5,7,3,1,0,0.36,0.81,true
PRC-0155,Traders Guild,outcome_only,Senior Trader,10,0.85,1.22,0.6,5,7,4,2,0.13,0.49,true
PRC-0156,Cartographer's Guild,opacity_convention,Master Surveyor,18,0.92,0.94,2.2,3,8,5,3,0.06,0.77,true
PRC-0157,Capital Archive,process_disclosure,Document Authenticator,6,0.83,1.12,7.7,6,4,2,0,0.27,0.71,false
PRC-0158,Traders Guild,outcome_only,Route Planner,12,0.85,1.22,0.6,5,7,4,2,0.13,0.49,true
PRC-0159,Cartographer's Guild,opacity_convention,Field Surveyor,7,0.84,1.15,1.6,4,7,4,2,0.11,0.61,true
PRC-0160,Capital Archive,process_disclosure,Senior Archivist,16,0.91,0.92,9.4,8,2,0,0,0.46,0.88,false
PRC-0161,Traders Guild,outcome_only,Market Analyst,6,0.79,1.38,0.4,4,8,5,2,0.08,0.38,true
PRC-0162,Cartographer's Guild,opacity_convention,Terrain Analyst,12,0.89,1.05,1.9,3,7,4,2,0.09,0.69,true
PRC-0163,Capital Archive,process_disclosure,Research Analyst,10,0.86,1.05,8.4,7,3,1,0,0.35,0.79,false
PRC-0164,Traders Guild,outcome_only,Contract Negotiator,6,0.79,1.38,0.4,4,8,5,2,0.08,0.39,false
PRC-0165,Cartographer's Guild,opacity_convention,Expedition Leader,16,0.91,0.98,2.1,3,8,5,3,0.07,0.75,true
PRC-0166,Capital Archive,process_disclosure,Collection Curator,13,0.88,0.98,8.8,8,2,1,0,0.40,0.83,false
PRC-0167,Traders Guild,outcome_only,Inventory Manager,7,0.80,1.35,0.4,4,8,5,2,0.09,0.40,false
PRC-0168,Cartographer's Guild,opacity_convention,Boundary Marker,4,0.81,1.22,1.3,4,7,4,2,0.11,0.55,true
PRC-0169,Capital Archive,process_disclosure,Translation Specialist,11,0.87,1.02,8.5,7,3,1,0,0.35,0.80,false
PRC-0170,Traders Guild,outcome_only,Caravan Coordinator,13,0.85,1.22,0.6,5,7,4,2,0.14,0.51,true
PRC-0171,Cartographer's Guild,opacity_convention,Coastal Surveyor,6,0.84,1.16,1.5,4,7,4,2,0.11,0.60,true
PRC-0172,Capital Archive,process_disclosure,Manuscript Restorer,10,0.87,1.02,8.4,7,3,1,0,0.34,0.79,false
PRC-0173,Traders Guild,outcome_only,Commodity Appraiser,5,0.78,1.40,0.3,3,9,6,3,0.07,0.36,false
PRC-0174,Cartographer's Guild,opacity_convention,Mountain Guide,13,0.89,1.02,1.9,3,7,4,2,0.09,0.70,true
PRC-0175,Capital Archive,process_disclosure,Archive Indexer,11,0.87,1.02,8.5,7,3,1,0,0.35,0.80,false
PRC-0176,Traders Guild,outcome_only,Quality Inspector,9,0.82,1.30,0.5,4,8,5,2,0.10,0.44,false
PRC-0177,Cartographer's Guild,opacity_convention,River Navigator,10,0.87,1.08,1.7,4,7,4,2,0.10,0.66,true
PRC-0178,Capital Archive,process_disclosure,Linguistic Analyst,13,0.89,0.98,8.8,8,2,1,0,0.40,0.84,false
PRC-0179,Traders Guild,outcome_only,Trade Negotiator,7,0.80,1.35,0.4,4,8,5,2,0.09,0.41,true
PRC-0180,Cartographer's Guild,opacity_convention,Desert Surveyor,7,0.85,1.14,1.6,4,7,4,2,0.11,0.62,true
PRC-0181,Capital Archive,process_disclosure,Cartographic Historian,14,0.89,0.96,9.0,8,2,1,0,0.42,0.85,false
PRC-0182,Traders Guild,outcome_only,Warehouse Manager,10,0.83,1.28,0.5,4,8,5,2,0.11,0.46,false
PRC-0183,Cartographer's Guild,opacity_convention,Cave Surveyor,9,0.86,1.10,1.7,4,7,4,2,0.10,0.65,true
PRC-0184,Capital Archive,process_disclosure,Source Verifier,7,0.84,1.10,7.9,6,4,2,0,0.28,0.73,false
PRC-0185,Traders Guild,outcome_only,Port Agent,8,0.81,1.32,0.4,4,8,5,2,0.09,0.42,true
PRC-0186,Cartographer's Guild,opacity_convention,Island Mapper,4,0.82,1.20,1.4,4,7,4,2,0.11,0.57,true
PRC-0187,Capital Archive,process_disclosure,Comparative Analyst,12,0.88,1.00,8.6,7,3,1,0,0.37,0.82,false
PRC-0188,Traders Guild,outcome_only,Customs Specialist,5,0.78,1.40,0.3,3,9,6,3,0.07,0.36,false
PRC-0189,Cartographer's Guild,opacity_convention,Survey Assistant,6,0.83,1.18,1.5,4,7,4,2,0.10,0.58,true
PRC-0190,Capital Archive,process_disclosure,Dialect Researcher,7,0.84,1.08,7.8,6,4,2,0,0.28,0.73,false
PRC-0191,Traders Guild,outcome_only,Junior Trader,3,0.75,1.48,0.2,3,9,6,3,0.06,0.30,true
PRC-0192,Cartographer's Guild,opacity_convention,Map Illustrator,6,0.84,1.16,1.5,4,7,4,2,0.11,0.60,false
PRC-0193,Capital Archive,process_disclosure,Oral Historian,14,0.89,0.96,9.0,8,2,1,0,0.42,0.85,true
PRC-0194,Traders Guild,outcome_only,Senior Trader,8,0.82,1.30,0.5,4,8,5,2,0.10,0.44,true
PRC-0195,Cartographer's Guild,opacity_convention,Master Surveyor,20,0.93,0.92,2.3,3,8,5,3,0.06,0.78,true
PRC-0196,Capital Archive,process_disclosure,Document Authenticator,8,0.85,1.08,8.1,7,3,1,0,0.31,0.75,false
PRC-0197,Traders Guild,outcome_only,Route Planner,4,0.77,1.42,0.3,3,9,6,3,0.07,0.35,true
PRC-0198,Cartographer's Guild,opacity_convention,Field Surveyor,11,0.88,1.06,1.8,4,7,4,2,0.10,0.67,true
PRC-0199,Capital Archive,process_disclosure,Senior Archivist,12,0.88,0.98,8.7,7,3,1,0,0.38,0.82,false
PRC-0200,Traders Guild,outcome_only,Market Analyst,14,0.86,1.18,0.7,5,7,4,2,0.15,0.52,true
PRC-0201,Cartographer's Guild,opacity_convention,Terrain Analyst,4,0.82,1.20,1.4,4,7,4,2,0.11,0.56,true
PRC-0202,Capital Archive,process_disclosure,Research Analyst,14,0.89,0.96,9.0,8,2,1,0,0.42,0.85,false
PRC-0203,Traders Guild,outcome_only,Contract Negotiator,12,0.85,1.22,0.6,5,7,4,2,0.13,0.50,false
PRC-0204,Cartographer's Guild,opacity_convention,Expedition Leader,10,0.88,1.08,1.8,4,7,4,2,0.10,0.67,true
PRC-0205,Capital Archive,process_disclosure,Collection Curator,5,0.82,1.15,7.6,6,4,2,0,0.25,0.69,false
PRC-0206,Traders Guild,outcome_only,Inventory Manager,13,0.85,1.22,0.6,5,7,4,2,0.14,0.51,false
PRC-0207,Cartographer's Guild,opacity_convention,Boundary Marker,14,0.89,1.02,1.9,3,7,4,2,0.09,0.71,true
PRC-0208,Capital Archive,process_disclosure,Translation Specialist,5,0.82,1.15,7.5,6,4,2,1,0.24,0.68,false
PRC-0209,Traders Guild,outcome_only,Caravan Coordinator,5,0.79,1.38,0.4,4,8,5,2,0.08,0.38,true
PRC-0210,Cartographer's Guild,opacity_convention,Coastal Surveyor,16,0.91,0.98,2.1,3,8,5,2,0.08,0.74,true
PRC-0211,Capital Archive,process_disclosure,Manuscript Restorer,6,0.84,1.10,7.8,6,4,2,0,0.27,0.72,false
PRC-0212,Traders Guild,outcome_only,Commodity Appraiser,13,0.86,1.20,0.6,5,7,4,2,0.14,0.51,false
PRC-0213,Cartographer's Guild,opacity_convention,Mountain Guide,7,0.85,1.14,1.6,4,7,4,2,0.11,0.62,true
PRC-0214,Capital Archive,process_disclosure,Archive Indexer,13,0.88,0.98,8.8,8,2,1,0,0.40,0.83,false
PRC-0215,Traders Guild,outcome_only,Quality Inspector,11,0.84,1.25,0.5,4,8,4,2,0.12,0.48,false
PRC-0216,Cartographer's Guild,opacity_convention,River Navigator,12,0.88,1.05,1.8,4,7,4,2,0.10,0.69,true
PRC-0217,Capital Archive,process_disclosure,Linguistic Analyst,5,0.82,1.15,7.5,6,4,2,0,0.24,0.68,false
PRC-0218,Traders Guild,outcome_only,Trade Negotiator,11,0.84,1.25,0.5,4,8,4,2,0.12,0.48,true
PRC-0219,Cartographer's Guild,opacity_convention,Desert Surveyor,15,0.90,1.00,2.0,3,8,5,2,0.08,0.73,true
PRC-0220,Capital Archive,process_disclosure,Cartographic Historian,6,0.83,1.12,7.7,6,4,2,0,0.26,0.70,false
PRC-0221,Traders Guild,outcome_only,Warehouse Manager,4,0.77,1.42,0.3,3,9,6,3,0.06,0.34,false
PRC-0222,Cartographer's Guild,opacity_convention,Cave Surveyor,3,0.80,1.24,1.3,4,7,5,2,0.10,0.54,true
PRC-0223,Capital Archive,process_disclosure,Source Verifier,9,0.86,1.05,8.2,7,3,1,0,0.33,0.77,false
