observation_id,landmark_id,landmark_name,observer_name,date,time_of_day,weather,bearing_expected,bearing_measured,bearing_delta,distance_expected_km,distance_measured_km,distance_delta_km,instruments_used,instrument_count,instruments_failed,observer_state,visible,stable,notes
51,twisted_grove,Twisted Grove,Tenniv,1842-08-23,afternoon,clear,78,78.5,0.5,31.2,31.78,0.58,notebook compass chain,3,none,frightened,True,False,normal observation
52,split_boulder,Split Boulder,Morrow,1842-12-01,dawn,overcast,156,156.0,0.0,89.2,89.48,0.28,notebook compass chain,3,none,calm,True,True,position matches records
53,split_boulder,Split Boulder,Tenniv,1842-12-02,afternoon,clear,156,156.1,0.1,89.2,89.76,0.56,notebook compass chain,3,none,frightened,True,True,position matches records
54,split_boulder,Split Boulder,Archon Vells,1842-12-03,afternoon,overcast,156,157.1,1.1,89.2,90.27,1.07,notebook compass chain,3,none,calm,True,False,normal observation
55,twisted_grove,Twisted Grove,Archon Vells,1842-10-08,dusk,overcast,78,76.3,-1.7,31.2,30.93,-0.27,notebook compass chain,3,none,uneasy,True,True,position matches records
56,twisted_grove,Twisted Grove,Morrow,1842-10-09,dusk,clear,78,77.5,-0.5,31.2,31.2,-0.0,notebook compass chain,3,none,uneasy,True,True,position matches records
57,twisted_grove,Twisted Grove,Tenniv,1842-10-10,afternoon,clear,78,78.1,0.1,31.2,30.72,-0.48,notebook compass chain,3,chain,uneasy,True,False,normal observation
58,standing_stones,Standing Stones,Tenniv,1842-04-09,dusk,overcast,134,140.9,6.9,67.8,66.33,-1.47,notebook compass chain,3,none,calm,True,False,moderate bearing variance
59,standing_stones,Standing Stones,Morrow,1842-04-10,dusk,overcast,134,134.2,0.2,67.8,68.47,0.67,notebook compass chain,3,none,anxious,True,True,position matches records
60,split_boulder,Split Boulder,Archon Vells,1842-01-18,dusk,clear,156,,,89.2,,,notebook compass chain,3,none,anxious,False,False,NOT FOUND - Split Boulder not visible
61,split_boulder,Split Boulder,Tenniv,1842-01-19,midday,overcast,156,152.3,-3.7,89.2,92.58,3.38,notebook compass chain,3,none,frightened,True,False,normal observation
62,split_boulder,Split Boulder,Morrow,1842-07-07,midday,fog,156,159.3,3.3,89.2,88.33,-0.87,notebook compass chain,3,none,uneasy,True,False,normal observation
63,split_boulder,Split Boulder,Archon Vells,1842-07-08,dawn,clear,156,,,89.2,,,notebook compass chain,3,none,curious,False,False,NOT FOUND - Split Boulder not visible
64,split_boulder,Split Boulder,Tenniv,1842-07-09,afternoon,fog,156,155.8,-0.2,89.2,90.72,1.52,notebook compass chain,3,none,calm,True,False,normal observation
65,twisted_grove,Twisted Grove,Tenniv,1843-08-24,midday,clear,78,75.1,-2.9,31.2,31.32,0.12,notebook compass chain,3,none,curious,True,False,normal observation
66,twisted_grove,Twisted Grove,Morrow,1843-08-25,dusk,overcast,78,76.9,-1.1,31.2,31.25,0.05,notebook compass chain,3,none,calm,True,True,position matches records
67,denstone_approach,Denstone Approach,Tenniv,1843-04-03,dawn,clear,178,180.2,2.2,142.3,140.41,-1.89,notebook compass chain,3,none,anxious,True,False,normal observation
68,denstone_approach,Denstone Approach,Morrow,1843-04-04,midday,clear,178,180.2,2.2,142.3,140.37,-1.93,notebook compass chain,3,none,calm,True,False,normal observation
69,moat_crossing,Moat Crossing,Morrow,1843-04-07,afternoon,clear,180,180.5,0.5,187.0,190.97,3.97,notebook compass chain,3,none,calm,True,False,normal observation
70,moat_crossing,Moat Crossing,Tenniv,1843-04-08,midday,dens_mist,180,181.3,1.3,187.0,184.82,-2.18,notebook compass chain,3,none,curious,True,True,position matches records
71,gray_spire,Gray Spire,Morrow,1843-04-15,dusk,overcast,45,44.4,-0.6,23.4,23.47,0.07,notebook compass chain,3,none,curious,True,True,position matches records
72,gray_spire,Gray Spire,Tenniv,1843-04-16,afternoon,fog,45,44.4,-0.6,23.4,23.3,-0.1,notebook compass chain,3,none,calm,True,True,position matches records
73,moat_crossing,Moat Crossing,Tenniv,1843-09-17,dawn,clear,180,181.2,1.2,187.0,184.22,-2.78,notebook compass chain,3,none,calm,True,False,normal observation
74,moat_crossing,Moat Crossing,Morrow,1843-09-18,dusk,clear,180,180.0,-0.0,187.0,188.69,1.69,notebook compass chain,3,none,calm,True,True,position matches records
75,standing_stones,Standing Stones,Morrow,1843-01-19,afternoon,fog,134,134.5,0.5,67.8,67.44,-0.36,notebook compass chain,3,none,uneasy,True,True,position matches records
76,standing_stones,Standing Stones,Tenniv,1843-01-20,dawn,clear,134,,,67.8,,,notebook compass chain,3,none,curious,False,False,NOT FOUND - Standing Stones not visible
77,denstone_approach,Denstone Approach,Morrow,1843-03-19,afternoon,fog,178,177.1,-0.9,142.3,140.61,-1.69,notebook compass chain,3,none,calm,True,False,normal observation
78,denstone_approach,Denstone Approach,Tenniv,1843-03-20,afternoon,dens_mist,178,,,142.3,,,notebook compass chain,3,compass,calm,False,True,NOT FOUND - Denstone Approach not visible
79,gray_spire,Gray Spire,Morrow,1843-05-11,dawn,fog,45,46.1,1.1,23.4,23.36,-0.04,notebook compass chain,3,chain,calm,True,True,position matches records
80,gray_spire,Gray Spire,Tenniv,1843-05-12,midday,clear,45,44.6,-0.4,23.4,23.23,-0.17,notebook compass chain,3,none,calm,True,True,position matches records
81,standing_stones,Standing Stones,Tenniv,1843-04-22,dusk,overcast,134,134.6,0.6,67.8,67.41,-0.39,notebook compass chain,3,none,uneasy,True,True,position matches records
82,standing_stones,Standing Stones,Morrow,1843-04-23,dawn,overcast,134,134.7,0.7,67.8,67.75,-0.05,notebook compass chain,3,none,calm,True,True,position matches records
83,twisted_grove,Twisted Grove,Tenniv,1843-12-09,afternoon,clear,78,76.9,-1.1,31.2,31.82,0.62,notebook compass chain,3,none,uneasy,True,False,normal observation
84,twisted_grove,Twisted Grove,Morrow,1843-12-10,midday,overcast,78,79.2,1.2,31.2,31.69,0.49,notebook compass chain,3,none,calm,True,False,normal observation
85,moat_crossing,Moat Crossing,Grell,1845-06-20,midday,overcast,180,180.4,0.4,187.0,184.98,-2.02,notebook compass chain,3,none,calm,True,False,normal observation
86,moat_crossing,Moat Crossing,Prebel,1845-06-21,dawn,overcast,180,180.0,0.0,187.0,187.0,0.0,notebook,1,none,curious,True,True,position matches records
87,denstone_approach,Denstone Approach,Tenniv,1845-11-02,midday,overcast,178,179.1,1.1,142.3,143.02,0.72,notebook compass chain,3,none,anxious,True,True,position matches records
88,denstone_approach,Denstone Approach,Grell,1845-11-03,afternoon,overcast,178,,,142.3,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Denstone Approach not visible
89,standing_stones,Standing Stones,Prebel,1845-10-06,midday,clear,134,134.0,0.0,67.8,67.8,0.0,notebook,1,none,frightened,True,True,position matches records
90,standing_stones,Standing Stones,Grell,1845-10-07,afternoon,clear,134,134.6,0.6,67.8,68.13,0.33,notebook compass chain,3,none,anxious,True,True,position matches records
91,gray_spire,Gray Spire,Grell,1845-10-18,dawn,clear,45,45.6,0.6,23.4,23.56,0.16,notebook compass chain,3,chain,curious,True,True,position matches records
92,gray_spire,Gray Spire,Prebel,1845-10-19,afternoon,clear,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,calm,True,True,position matches records
93,gray_spire,Gray Spire,Tenniv,1845-07-10,afternoon,overcast,45,44.8,-0.2,23.4,22.71,-0.69,notebook compass chain,3,none,anxious,True,False,normal observation
94,gray_spire,Gray Spire,Prebel,1845-07-11,afternoon,overcast,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,curious,True,True,position matches records
95,gray_spire,Gray Spire,Prebel,1845-11-25,dawn,fog,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,calm,True,True,position matches records
96,gray_spire,Gray Spire,Grell,1845-11-26,midday,overcast,45,48.6,3.6,23.4,23.19,-0.21,notebook compass chain,3,none,uneasy,True,False,normal observation
97,twisted_grove,Twisted Grove,Grell,1845-12-18,dusk,clear,78,77.2,-0.8,31.2,30.55,-0.65,notebook compass chain,3,none,uneasy,True,False,normal observation
98,twisted_grove,Twisted Grove,Tenniv,1845-12-19,midday,clear,78,79.6,1.6,31.2,30.84,-0.36,notebook compass chain,3,none,calm,True,False,normal observation
99,twisted_grove,Twisted Grove,Prebel,1845-12-20,dawn,clear,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,calm,True,True,position matches records
100,dry_wash,Dry Wash,Tenniv,1845-03-03,midday,overcast,112,116.6,4.6,45.6,43.8,-1.8,notebook compass chain,3,none,uneasy,True,False,normal observation
101,dry_wash,Dry Wash,Grell,1845-03-04,midday,clear,112,,,45.6,,,notebook compass chain,3,none,uneasy,False,True,NOT FOUND - Dry Wash not visible
102,twisted_grove,Twisted Grove,Grell,1845-05-09,afternoon,overcast,78,77.2,-0.8,31.2,31.57,0.37,notebook compass chain,3,none,calm,True,False,normal observation
103,twisted_grove,Twisted Grove,Prebel,1845-05-10,midday,clear,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,anxious,True,True,position matches records
104,moat_crossing,Moat Crossing,Grell,1845-04-15,dusk,overcast,180,,,187.0,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Moat Crossing not visible
105,moat_crossing,Moat Crossing,Tenniv,1845-04-16,dawn,clear,180,178.7,-1.3,187.0,183.82,-3.18,notebook compass chain,3,none,calm,True,False,normal observation
106,dry_wash,Dry Wash,Grell,1846-06-19,dawn,clear,112,,,45.6,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Dry Wash not visible
107,dry_wash,Dry Wash,Tenniv,1846-06-20,afternoon,overcast,112,114.6,2.6,45.6,46.52,0.92,notebook compass chain,3,none,curious,True,False,normal observation
108,dry_wash,Dry Wash,Prebel,1846-06-21,dusk,fog,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
109,split_boulder,Split Boulder,Prebel,1846-07-13,dawn,clear,156,,,89.2,,,notebook,1,none,calm,False,True,NOT FOUND - Split Boulder not visible
110,split_boulder,Split Boulder,Tenniv,1846-07-14,dawn,clear,156,158.4,2.4,89.2,89.73,0.53,notebook compass chain,3,none,uneasy,True,False,normal observation
111,twisted_grove,Twisted Grove,Korrith,1846-08-01,afternoon,clear,78,77.5,-0.5,31.2,31.33,0.13,notebook compass chain,3,none,calm,True,True,position matches records
112,twisted_grove,Twisted Grove,Prebel,1846-08-02,afternoon,fog,78,78.0,0.0,31.2,31.2,0.0,notebook,1,theodolite,calm,True,True,position matches records
113,denstone_approach,Denstone Approach,Korrith,1846-02-08,dawn,clear,178,,,142.3,,,notebook compass chain,3,none,anxious,False,False,NOT FOUND - Denstone Approach not visible
114,denstone_approach,Denstone Approach,Tenniv,1846-02-09,midday,fog,178,178.6,0.6,142.3,142.32,0.02,notebook compass chain,3,none,calm,True,True,position matches records
115,dry_wash,Dry Wash,Tenniv,1846-08-27,dusk,clear,112,108.5,-3.5,45.6,44.38,-1.22,notebook compass chain,3,chain,curious,True,False,normal observation
116,dry_wash,Dry Wash,Korrith,1846-08-28,dusk,clear,112,111.0,-1.0,45.6,46.63,1.03,notebook compass chain,3,none,uneasy,True,False,normal observation
117,dry_wash,Dry Wash,Prebel,1846-08-29,dawn,overcast,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
118,dry_wash,Dry Wash,Grell,1846-08-30,dusk,clear,112,114.6,2.6,45.6,46.23,0.63,notebook compass chain,3,none,calm,True,False,normal observation
119,moat_crossing,Moat Crossing,Prebel,1846-10-17,midday,clear,180,180.0,0.0,187.0,187.0,0.0,notebook,1,none,calm,True,True,position matches records
120,moat_crossing,Moat Crossing,Tenniv,1846-10-18,midday,overcast,180,178.0,-2.0,187.0,188.04,1.04,notebook compass chain,3,none,curious,True,True,position matches records
121,dry_wash,Dry Wash,Grell,1846-02-12,afternoon,clear,112,112.9,0.9,45.6,46.97,1.37,notebook compass chain,3,none,curious,True,False,normal observation
122,dry_wash,Dry Wash,Korrith,1846-02-13,midday,clear,112,110.3,-1.7,45.6,46.4,0.8,notebook compass chain,3,none,curious,True,False,normal observation
123,split_boulder,Split Boulder,Korrith,1846-12-21,afternoon,overcast,156,157.1,1.1,89.2,86.9,-2.3,notebook compass chain,3,none,curious,True,False,normal observation
124,split_boulder,Split Boulder,Prebel,1846-12-22,midday,overcast,156,,,89.2,,,notebook,1,none,calm,False,True,NOT FOUND - Split Boulder not visible
125,standing_stones,Standing Stones,Grell,1846-06-06,midday,clear,134,136.0,2.0,67.8,68.16,0.36,notebook compass chain,3,none,calm,True,True,position matches records
126,standing_stones,Standing Stones,Korrith,1846-06-07,dusk,overcast,134,134.7,0.7,67.8,68.15,0.35,notebook compass chain,3,none,calm,True,True,position matches records
127,dry_wash,Dry Wash,Grell,1846-10-03,afternoon,clear,112,109.3,-2.7,45.6,45.37,-0.23,notebook compass chain,3,none,frightened,True,False,normal observation
128,dry_wash,Dry Wash,Prebel,1846-10-04,midday,clear,112,112.0,0.0,45.6,45.6,0.0,notebook,1,theodolite,calm,True,True,position matches records
129,dry_wash,Dry Wash,Korrith,1846-10-05,midday,overcast,112,109.2,-2.8,45.6,46.73,1.13,notebook compass chain,3,none,anxious,True,False,normal observation
130,dry_wash,Dry Wash,Tenniv,1846-10-06,afternoon,dens_mist,112,112.9,0.9,45.6,46.97,1.37,notebook compass chain,3,none,curious,True,False,normal observation
131,twisted_grove,Twisted Grove,Grell,1847-04-16,dusk,dens_mist,78,78.9,0.9,31.2,30.04,-1.16,notebook compass chain,3,none,curious,True,False,normal observation
132,twisted_grove,Twisted Grove,Prebel,1847-04-17,midday,fog,78,78.0,0.0,31.2,31.2,0.0,notebook,1,chain,anxious,True,True,position matches records
133,twisted_grove,Twisted Grove,Korrith,1847-04-18,dusk,fog,78,79.6,1.6,31.2,31.06,-0.14,notebook compass chain,3,none,uneasy,True,True,position matches records
134,gray_spire,Gray Spire,Grell,1847-06-10,midday,clear,45,46.3,1.3,23.4,23.57,0.17,notebook compass chain,3,none,calm,True,True,position matches records
135,gray_spire,Gray Spire,Prebel,1847-06-11,dusk,clear,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,curious,True,True,position matches records
136,gray_spire,Gray Spire,Tenniv,1847-06-12,midday,overcast,45,44.7,-0.3,23.4,23.04,-0.36,notebook compass chain,3,none,calm,True,False,normal observation
137,gray_spire,Gray Spire,Korrith,1847-06-13,dusk,clear,45,43.1,-1.9,23.4,23.31,-0.09,notebook compass chain,3,chain,calm,True,True,position matches records
138,standing_stones,Standing Stones,Korrith,1847-10-17,dusk,fog,134,,,67.8,,,notebook compass chain,3,none,curious,False,False,NOT FOUND - Standing Stones not visible
139,standing_stones,Standing Stones,Prebel,1847-10-18,afternoon,clear,134,,,67.8,,,notebook,1,theodolite,uneasy,False,True,NOT FOUND - Standing Stones not visible
140,standing_stones,Standing Stones,Tenniv,1847-10-19,midday,overcast,134,,,67.8,,,notebook compass chain,3,none,curious,False,False,NOT FOUND - Standing Stones not visible
141,standing_stones,Standing Stones,Grell,1847-10-20,midday,clear,134,133.6,-0.4,67.8,67.03,-0.77,notebook compass chain,3,none,calm,True,False,normal observation
142,twisted_grove,Twisted Grove,Tenniv,1847-04-15,midday,overcast,78,77.9,-0.1,31.2,31.38,0.18,notebook compass chain,3,none,calm,True,True,position matches records
143,twisted_grove,Twisted Grove,Korrith,1847-04-16,midday,dens_mist,78,74.4,-3.6,31.2,30.47,-0.73,notebook compass chain,3,none,calm,True,False,normal observation
144,twisted_grove,Twisted Grove,Grell,1847-04-17,midday,clear,78,79.5,1.5,31.2,31.06,-0.14,notebook compass chain,3,none,calm,True,True,position matches records
145,dry_wash,Dry Wash,Korrith,1847-06-10,dawn,clear,112,112.9,0.9,45.6,44.7,-0.9,notebook compass chain,3,none,calm,True,False,normal observation
146,dry_wash,Dry Wash,Tenniv,1847-06-11,midday,clear,112,116.2,4.2,45.6,44.85,-0.75,notebook compass chain,3,none,frightened,True,False,normal observation
147,dry_wash,Dry Wash,Grell,1847-06-12,afternoon,clear,112,,,45.6,,,notebook compass chain,3,none,curious,False,False,NOT FOUND - Dry Wash not visible
148,split_boulder,Split Boulder,Korrith,1847-04-26,afternoon,clear,156,160.0,4.0,89.2,89.08,-0.12,notebook compass chain,3,none,calm,True,False,normal observation
149,split_boulder,Split Boulder,Grell,1847-04-27,dusk,clear,156,155.3,-0.7,89.2,89.56,0.36,notebook compass chain,3,none,calm,True,True,position matches records
150,split_boulder,Split Boulder,Grell,1847-06-19,dusk,dens_mist,156,159.7,3.7,89.2,89.29,0.09,notebook compass chain,3,none,curious,True,False,normal observation
151,split_boulder,Split Boulder,Korrith,1847-06-20,dusk,clear,156,156.5,0.5,89.2,87.33,-1.87,notebook compass chain,3,none,curious,True,False,normal observation
152,denstone_approach,Denstone Approach,Tenniv,1847-06-08,dusk,fog,178,180.4,2.4,142.3,141.15,-1.15,notebook compass chain,3,compass,curious,True,False,normal observation
153,denstone_approach,Denstone Approach,Korrith,1847-06-09,afternoon,clear,178,,,142.3,,,notebook compass chain,3,none,uneasy,False,False,NOT FOUND - Denstone Approach not visible
154,denstone_approach,Denstone Approach,Grell,1847-06-10,midday,fog,178,176.3,-1.7,142.3,140.41,-1.89,notebook compass chain,3,compass,anxious,True,False,normal observation
155,gray_spire,Gray Spire,Grell,1847-01-24,afternoon,fog,45,43.4,-1.6,23.4,23.21,-0.19,notebook compass chain,3,compass,calm,True,True,position matches records
156,gray_spire,Gray Spire,Korrith,1847-01-25,dawn,overcast,45,47.4,2.4,23.4,23.58,0.18,notebook compass chain,3,none,curious,True,False,normal observation
157,gray_spire,Gray Spire,Tenniv,1847-01-26,afternoon,clear,45,44.3,-0.7,23.4,23.51,0.11,notebook compass chain,3,none,calm,True,True,position matches records
158,dry_wash,Dry Wash,Prebel,1847-05-23,dawn,fog,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,curious,True,True,position matches records
159,dry_wash,Dry Wash,Korrith,1847-05-24,dawn,clear,112,111.9,-0.1,45.6,45.22,-0.38,notebook compass chain,3,none,calm,True,True,position matches records
160,dry_wash,Dry Wash,Grell,1847-05-25,afternoon,clear,112,114.2,2.2,45.6,47.05,1.45,notebook compass chain,3,none,anxious,True,False,normal observation
161,dry_wash,Dry Wash,Tenniv,1847-05-26,midday,fog,112,113.9,1.9,45.6,44.57,-1.03,notebook compass chain,3,none,uneasy,True,False,normal observation
162,denstone_approach,Denstone Approach,Prebel,1848-08-09,dawn,clear,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
163,denstone_approach,Denstone Approach,Grell,1848-08-10,midday,overcast,178,177.8,-0.2,142.3,142.76,0.46,notebook compass chain,3,none,curious,True,True,position matches records
164,denstone_approach,Denstone Approach,Prebel,1848-04-22,dusk,dens_mist,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
165,denstone_approach,Denstone Approach,Grell,1848-04-23,midday,clear,178,176.4,-1.6,142.3,138.32,-3.98,notebook compass chain,3,chain,calm,True,False,normal observation
166,denstone_approach,Denstone Approach,Korrith,1848-04-24,midday,clear,178,,,142.3,,,notebook compass chain,3,compass,anxious,False,True,NOT FOUND - Denstone Approach not visible
