manuscript_id,provenance_score,score_confidence,stylometric_score,physical_score,historical_score,cross_reference_score,classification,reclassification_count,first_classification_date,current_classification_date,classifier_faction
MS-0053,0.345,0.775,0.431,0.276,0.327,0.252,disputed,1,908,909,contextualist
MS-0054,0.276,0.744,0.278,0.39,0.286,0.179,disputed,1,908,909,contextualist
MS-0055,0.854,0.865,0.879,0.833,0.9,0.918,verified,0,909,909,probabilist
MS-0056,0.292,0.754,0.314,0.372,0.379,0.232,disputed,3,910,911,certainist
MS-0057,0.136,0.925,0.14,0.0,0.216,0.112,forged,0,910,910,suspensionist
MS-0058,0.277,0.759,0.198,0.284,0.207,0.152,disputed,3,908,911,suspensionist
MS-0059,0.341,0.78,0.242,0.276,0.414,0.383,disputed,0,909,909,certainist
MS-0060,0.852,0.875,0.858,0.774,0.854,0.701,verified,0,908,908,contextualist
MS-0061,0.232,0.655,0.237,0.262,0.254,0.226,disputed,1,908,909,probabilist
MS-0062,0.876,0.887,1.0,1.0,0.816,0.889,verified,0,910,910,contextualist
MS-0063,0.399,0.632,0.325,0.582,0.576,0.314,mup,1,910,911,probabilist
MS-0064,0.333,0.771,0.339,0.457,0.294,0.448,disputed,2,910,911,contextualist
MS-0065,0.869,0.932,0.803,0.938,0.784,0.999,verified,0,909,909,probabilist
MS-0066,0.562,0.612,0.338,0.658,0.678,0.537,mup,1,909,910,probabilist
MS-0067,0.528,0.54,0.478,0.629,0.639,0.479,mup,2,910,911,contextualist
MS-0068,0.805,0.884,0.835,0.764,0.838,0.944,verified,1,910,911,suspensionist
MS-0069,0.302,0.686,0.323,0.357,0.217,0.358,disputed,1,910,911,probabilist
MS-0070,0.378,0.545,0.419,0.604,0.309,0.564,mup,1,909,910,suspensionist
MS-0071,0.285,0.697,0.22,0.305,0.301,0.412,disputed,2,910,911,certainist
MS-0072,0.877,0.86,0.843,0.661,0.813,0.867,verified,0,908,908,probabilist
MS-0073,0.913,0.944,0.93,0.931,0.976,0.936,verified,0,909,909,certainist
MS-0074,0.125,0.936,0.053,0.135,0.185,0.112,forged,0,908,908,probabilist
MS-0075,0.901,0.949,0.944,0.916,0.838,0.875,verified,0,909,909,probabilist
MS-0076,0.418,0.648,0.255,0.395,0.139,0.522,mup,1,910,911,certainist
MS-0077,0.38,0.498,0.397,0.17,0.374,0.441,mup,2,908,910,certainist
MS-0078,0.309,0.718,0.294,0.365,0.276,0.189,disputed,2,909,911,contextualist
MS-0079,0.548,0.632,0.693,0.484,0.34,0.488,mup,3,908,911,certainist
MS-0080,0.529,0.511,0.681,0.227,0.372,0.591,mup,1,909,910,contextualist
MS-0081,0.258,0.664,0.34,0.279,0.231,0.313,disputed,4,910,911,probabilist
MS-0082,0.202,0.728,0.248,0.108,0.206,0.153,disputed,1,909,910,certainist
MS-0083,0.313,0.751,0.279,0.315,0.272,0.372,disputed,3,909,911,probabilist
MS-0084,0.316,0.688,0.207,0.395,0.35,0.324,disputed,0,909,909,suspensionist
MS-0085,0.35,0.575,0.464,0.228,0.521,0.411,mup,1,909,910,suspensionist
MS-0086,0.888,0.947,0.965,0.85,0.875,0.849,verified,0,908,908,contextualist
MS-0087,0.802,0.945,0.754,0.833,0.824,0.769,verified,0,908,908,probabilist
MS-0088,0.503,0.56,0.461,0.784,0.614,0.489,mup,1,910,911,contextualist
MS-0089,0.44,0.626,0.62,0.68,0.55,0.23,mup,3,909,911,suspensionist
MS-0090,0.41,0.621,0.38,0.52,0.36,0.38,mup,1,910,911,probabilist
MS-0091,0.51,0.451,0.68,0.72,0.61,0.31,mup,2,910,911,contextualist
MS-0092,0.61,0.525,0.447,0.666,0.484,0.831,mup,3,908,911,suspensionist
MS-0093,0.861,0.941,0.912,0.797,0.824,0.944,verified,0,910,910,contextualist
MS-0094,0.47,0.58,0.59,0.65,0.58,0.28,mup,0,908,908,certainist
MS-0095,0.45,0.453,0.684,0.62,0.717,0.643,mup,0,910,910,suspensionist
MS-0096,0.925,0.883,0.915,1.0,0.899,0.945,verified,0,910,910,probabilist
MS-0097,0.915,0.913,0.925,0.753,0.944,0.922,verified,1,908,909,contextualist
MS-0098,0.26,0.786,0.151,0.139,0.144,0.303,disputed,0,908,908,certainist
MS-0099,0.31,0.706,0.36,0.42,0.24,0.22,disputed,0,910,910,probabilist
MS-0100,0.404,0.55,0.497,0.587,0.236,0.557,mup,2,908,910,probabilist
MS-0101,0.841,0.866,0.985,0.849,0.939,0.771,verified,0,909,909,suspensionist
MS-0102,0.954,0.935,0.922,0.872,0.855,1.0,verified,0,909,909,probabilist
MS-0103,0.349,0.735,0.287,0.561,0.314,0.296,disputed,2,910,911,suspensionist
MS-0104,0.574,0.61,0.735,0.292,0.591,0.466,mup,1,908,909,contextualist
MS-0105,0.566,0.579,0.412,0.325,0.342,0.332,mup,1,909,910,certainist
MS-0106,0.821,0.929,0.881,0.783,0.775,0.848,verified,1,909,910,probabilist
MS-0107,0.599,0.599,0.587,0.879,0.329,0.63,mup,1,908,909,probabilist
MS-0108,0.921,0.935,0.939,1.0,0.884,0.849,verified,0,908,908,contextualist
MS-0109,0.166,0.932,0.051,0.199,0.116,0.072,forged,1,908,909,contextualist
MS-0110,0.312,0.745,0.379,0.287,0.223,0.238,disputed,1,910,911,certainist
MS-0111,0.822,0.939,0.887,0.8,0.786,0.824,verified,0,909,909,probabilist
MS-0112,0.559,0.581,0.366,0.509,0.513,0.25,mup,3,910,911,probabilist
MS-0113,0.36,0.47,0.248,0.478,0.641,0.27,mup,2,910,911,suspensionist
MS-0114,0.368,0.468,0.304,0.757,0.634,0.28,mup,1,910,911,contextualist
MS-0115,0.206,0.765,0.208,0.247,0.178,0.194,disputed,1,908,909,contextualist
MS-0116,0.924,0.949,0.95,0.819,0.885,1.0,verified,0,908,908,certainist
MS-0117,0.39,0.503,0.223,0.595,0.367,0.375,mup,0,909,909,contextualist
MS-0118,0.493,0.639,0.524,0.316,0.63,0.605,mup,0,910,910,contextualist
MS-0119,0.346,0.724,0.431,0.38,0.247,0.417,disputed,3,908,911,suspensionist
MS-0120,0.824,0.888,0.902,0.903,0.715,0.759,verified,0,909,909,probabilist
MS-0121,0.38,0.594,0.292,0.1,0.23,0.171,mup,1,909,910,suspensionist
MS-0122,0.932,0.875,0.828,1.0,0.906,0.996,verified,2,910,911,suspensionist
MS-0123,0.933,0.906,0.963,0.953,0.923,0.787,verified,0,910,910,probabilist
MS-0124,0.473,0.46,0.723,0.219,0.178,0.629,mup,1,909,910,probabilist
MS-0125,0.271,0.705,0.24,0.224,0.391,0.368,disputed,2,910,911,certainist
MS-0126,0.306,0.741,0.318,0.195,0.26,0.215,disputed,2,910,911,certainist
MS-0127,0.912,0.907,0.886,0.98,1.0,0.919,verified,0,908,908,contextualist
MS-0128,0.378,0.512,0.234,0.35,0.293,0.403,mup,1,910,911,contextualist
MS-0129,0.397,0.535,0.398,0.349,0.538,0.476,mup,2,909,911,probabilist
MS-0130,0.384,0.583,0.273,0.436,0.309,0.228,mup,0,909,909,suspensionist
MS-0131,0.113,0.862,0.241,0.067,0.119,0.047,forged,0,909,909,certainist
MS-0132,0.913,0.936,0.761,0.912,0.923,0.884,verified,0,908,908,probabilist
MS-0133,0.85,0.891,0.777,0.885,0.808,0.799,verified,2,908,910,contextualist
MS-0134,0.6,0.568,0.656,0.568,0.662,0.507,mup,1,909,910,suspensionist
MS-0135,0.416,0.489,0.427,0.358,0.293,0.279,mup,2,909,911,contextualist
MS-0136,0.595,0.602,0.602,0.679,0.661,0.787,mup,2,908,910,suspensionist
MS-0137,0.489,0.579,0.307,0.412,0.359,0.208,mup,4,909,911,suspensionist
MS-0138,0.395,0.461,0.543,0.463,0.356,0.509,mup,1,909,910,probabilist
MS-0139,0.139,0.909,0.112,0.251,0.173,0.134,forged,0,910,910,probabilist
MS-0140,0.619,0.545,0.359,0.704,0.542,0.511,mup,0,908,908,probabilist
MS-0141,0.601,0.592,0.664,0.594,0.575,0.568,mup,4,910,911,contextualist
MS-0142,0.86,0.929,0.843,0.94,0.803,0.951,verified,0,908,908,certainist
MS-0143,0.289,0.673,0.287,0.445,0.395,0.265,disputed,0,910,910,certainist
MS-0144,0.955,0.881,0.929,0.879,0.799,0.849,verified,0,909,909,contextualist
MS-0145,0.599,0.535,0.583,0.371,0.385,0.563,mup,1,909,910,probabilist
MS-0146,0.453,0.509,0.462,0.355,0.54,0.453,mup,2,910,911,suspensionist
MS-0147,0.45,0.617,0.42,0.55,0.41,0.42,mup,3,908,911,contextualist
MS-0148,0.535,0.575,0.464,0.486,0.632,0.744,mup,3,910,911,probabilist
MS-0149,0.908,0.895,0.915,0.995,0.879,1.0,verified,0,909,909,suspensionist
MS-0150,0.621,0.604,0.699,0.833,0.475,0.552,mup,2,910,911,contextualist
MS-0151,0.595,0.625,0.621,0.517,0.595,0.81,mup,2,908,910,contextualist
MS-0152,0.262,0.775,0.303,0.286,0.171,0.293,disputed,0,908,908,contextualist
MS-0153,0.629,0.466,0.499,0.706,0.525,0.735,mup,1,909,910,suspensionist
MS-0154,0.545,0.589,0.566,0.466,0.48,0.82,mup,0,910,910,probabilist
MS-0155,0.622,0.572,0.726,0.634,0.832,0.909,mup,1,909,910,probabilist
MS-0156,0.12,0.862,0.09,0.21,0.08,0.11,forged,0,910,910,contextualist
MS-0157,0.18,0.896,0.14,0.28,0.12,0.18,forged,0,909,909,probabilist
MS-0158,0.14,0.852,0.11,0.24,0.09,0.13,forged,0,908,908,contextualist
MS-0159,0.16,0.879,0.12,0.25,0.1,0.16,forged,0,909,909,certainist
MS-0160,0.906,0.901,1.0,1.0,0.995,0.947,verified,2,910,911,certainist
MS-0161,0.363,0.464,0.253,0.458,0.361,0.222,mup,1,910,911,contextualist
MS-0162,0.571,0.485,0.548,0.61,0.307,0.492,mup,2,909,911,suspensionist
MS-0163,0.268,0.68,0.352,0.363,0.289,0.261,disputed,2,908,910,certainist
MS-0164,0.864,0.879,0.9,0.781,0.976,0.89,verified,1,908,909,suspensionist
MS-0165,0.82,0.889,0.707,0.944,0.813,0.65,verified,2,909,911,contextualist
MS-0166,0.928,0.95,0.924,0.961,0.852,0.966,verified,0,909,909,certainist
MS-0167,0.906,0.885,0.868,1.0,0.796,0.961,verified,0,909,909,probabilist
MS-0168,0.314,0.727,0.321,0.287,0.275,0.242,disputed,2,908,910,suspensionist
MS-0169,0.897,0.887,0.901,0.876,1.0,0.954,verified,0,910,910,certainist
MS-0170,0.872,0.887,0.812,0.935,0.911,0.892,verified,0,909,909,certainist
MS-0171,0.918,0.876,0.839,0.918,0.86,0.894,verified,0,910,910,certainist
MS-0172,0.497,0.539,0.708,0.702,0.191,0.593,mup,0,910,910,suspensionist
MS-0173,0.55,0.482,0.503,0.367,0.519,0.673,mup,2,910,911,contextualist
MS-0174,0.503,0.455,0.575,0.572,0.673,0.706,mup,2,909,911,probabilist
MS-0175,0.389,0.546,0.43,0.352,0.198,0.531,mup,1,909,910,suspensionist
MS-0176,0.956,0.938,0.901,0.887,0.924,0.889,verified,1,910,911,probabilist
MS-0177,0.389,0.511,0.087,0.383,0.477,0.231,mup,0,910,910,probabilist
MS-0178,0.506,0.505,0.493,0.565,0.63,0.86,mup,2,910,911,contextualist
MS-0179,0.267,0.741,0.31,0.25,0.198,0.16,disputed,3,910,911,certainist
MS-0180,0.374,0.564,0.619,0.293,0.365,0.477,mup,2,908,910,probabilist
MS-0181,0.437,0.509,0.603,0.391,0.514,0.222,mup,0,908,908,probabilist
MS-0182,0.874,0.949,0.85,0.912,0.92,0.821,verified,0,909,909,certainist
MS-0183,0.89,0.86,0.852,0.971,0.883,0.95,verified,0,909,909,suspensionist
MS-0184,0.954,0.869,1.0,0.87,1.0,0.902,verified,0,910,910,probabilist
MS-0185,0.499,0.567,0.626,0.58,0.392,0.529,mup,0,909,909,probabilist
MS-0186,0.546,0.626,0.363,0.58,0.638,0.416,mup,2,909,911,probabilist
MS-0187,0.891,0.926,0.926,0.987,0.976,0.933,verified,0,910,910,contextualist
MS-0188,0.956,0.925,0.844,1.0,0.856,1.0,verified,0,910,910,probabilist
MS-0189,0.086,0.939,0.053,0.0,0.041,0.081,forged,0,910,910,certainist
MS-0190,0.899,0.899,0.958,0.809,0.803,0.894,verified,0,909,909,contextualist
MS-0191,0.908,0.919,1.0,0.894,0.945,0.785,verified,0,909,909,certainist
MS-0192,0.642,0.555,0.547,0.591,0.804,0.696,mup,2,909,911,certainist
MS-0193,0.359,0.48,0.428,0.336,0.489,0.375,mup,2,909,911,contextualist
MS-0194,0.491,0.562,0.632,0.294,0.442,0.317,mup,4,909,911,contextualist
MS-0195,0.828,0.922,0.89,0.789,0.744,0.937,verified,0,910,910,certainist
MS-0196,0.346,0.766,0.334,0.412,0.558,0.264,disputed,2,910,911,contextualist
MS-0197,0.856,0.918,0.986,0.798,0.85,0.896,verified,0,909,909,contextualist
MS-0198,0.591,0.538,0.56,0.711,0.56,0.457,mup,1,909,910,probabilist
MS-0199,0.431,0.498,0.321,0.386,0.622,0.588,mup,0,910,910,probabilist
