dissolution_id,federation_name,pre_integration_score,pre_collective_level,component_count_pre,years_existed,dissolution_trigger,dissolution_year,dissolution_duration_days,dissolution_mode,primary_failure,cascade_pattern,warning_signs_present,warning_signs_heeded,post_integration_score,component_survival_rate,reformed,successor_federations,capability_loss,goal_loss,knowledge_loss,documented_year,documenter,documentation_source,lessons_recorded,confidence,notes
FD-0013,Former Research Circle 4,0.76,3.5,237,55,resource_exhaustion,871,266,violent_breakup,goal_divergence,simultaneous,True,False,0.12,0.59,False,4,none_significant,,partial_loss,939,Independent Observer,testimony,Federation dissolved due to resource_exhaustion; demonstrated importance of maintaining trust,0.56,
FD-0014,Western Trade Coalition 28,0.43,3.4,1609,130,dens_proximity,873,402,absorption_into_larger,memory_failure,no_cascade,False,False,0.22,0.51,True,2,distributed_memory,,partial_loss,935,Boundary Commission,historical_record,Federation dissolved due to dens_proximity; demonstrated importance of boundary maintenance,0.75,
FD-0015,Eastern Trade Coalition 17,0.72,3.7,537,10,internal_conflict,913,655,gradual_erosion,external_force,no_cascade,True,,0.18,0.72,False,3,coordination,none,significant_loss,929,T. Crost,historical_record,Federation dissolved due to internal_conflict; demonstrated importance of maintaining trust,0.61,
FD-0016,Western Archive Annex 7,0.79,3.1,346,103,external_destruction,893,573,fission_into_smaller,boundary_permeation,local_spread,True,True,0.04,0.86,False,2,threat_response,,minimal_loss,931,Archive Survey Team,archaeological,Federation dissolved due to external_destruction; demonstrated importance of maintaining trust,0.9,
FD-0017,Former Colony 19,0.66,2.6,485,75,defection_cascade,886,577,absorption_into_larger,external_force,local_spread,True,False,0.19,0.95,False,5,none_significant,none,complete_loss,924,P. Anster,testimony,Federation dissolved due to defection_cascade; demonstrated importance of boundary maintenance,0.81,
FD-0018,Eastern Trade Coalition 14,0.45,2.7,410,107,internal_conflict,910,907,planned_disbanding,memory_failure,local_spread,True,False,0.23,0.86,False,1,coordination,,partial_loss,917,T. Crost,inference,Federation dissolved due to internal_conflict; demonstrated importance of redundancy,0.83,
FD-0019,Old Research Circle 5,0.64,2.7,719,1,external_destruction,921,313,fission_into_smaller,external_force,hierarchical_collapse,False,False,0.11,0.59,False,3,distributed_memory,,minimal_loss,922,T. Crost,direct_observation,Federation dissolved due to external_destruction; demonstrated importance of maintaining trust,0.6,
FD-0020,Former Survey Team 28,0.73,2.7,460,107,dens_proximity,879,958,absorption_into_larger,goal_divergence,no_cascade,True,False,0.03,0.82,False,1,preservation_capacity,,significant_loss,919,Archive Survey Team,inference,Federation dissolved due to dens_proximity; demonstrated importance of communication,0.67,
FD-0021,Old Survey Team 15,0.53,2.7,1687,85,dens_proximity,917,664,planned_disbanding,coordination_failure,local_spread,True,False,0.2,0.88,False,1,threat_response,,complete_loss,929,Archive Survey Team,inference,Federation dissolved due to dens_proximity; demonstrated importance of redundancy,0.72,
FD-0022,Western Archive Annex 3,0.83,3.7,1722,96,leadership_vacuum,862,403,fission_into_smaller,goal_divergence,simultaneous,True,,0.14,0.6,False,5,distributed_memory,,complete_loss,914,P. Anster,archaeological,Federation dissolved due to leadership_vacuum; demonstrated importance of goal alignment,0.81,
FD-0023,Western Trade Coalition 16,0.78,3.2,1710,188,boundary_collapse,855,146,violent_breakup,goal_divergence,simultaneous,True,,0.22,0.44,False,4,none_significant,status,minimal_loss,919,T. Mord,archaeological,Federation dissolved due to boundary_collapse; demonstrated importance of redundancy,0.57,
FD-0024,Western Survey Team 14,0.45,2.5,1188,162,defection_cascade,886,670,sudden_collapse,communication_failure,no_cascade,True,,0.24,0.55,False,5,none_significant,,partial_loss,921,Archive Survey Team,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of goal alignment,0.56,
FD-0025,Old Archive Annex 21,0.51,3.6,1939,51,goal_completion,925,333,gradual_erosion,memory_failure,hierarchical_collapse,True,True,0.14,0.98,False,0,none_significant,long_term_preservation,significant_loss,931,T. Crost,testimony,Federation dissolved due to goal_completion; demonstrated importance of communication,0.51,
FD-0026,Old Colony 4,0.48,3.7,251,186,goal_completion,861,223,gradual_erosion,communication_failure,simultaneous,False,False,0.08,0.84,True,5,threat_response,none,minimal_loss,919,T. Mord,direct_observation,Federation dissolved due to goal_completion; demonstrated importance of communication,0.59,
FD-0027,Former Mill Crew 25,0.46,2.9,778,143,boundary_collapse,889,262,gradual_erosion,trust_breakdown,simultaneous,False,True,0.05,0.51,False,4,coordination,none,partial_loss,939,Independent Observer,testimony,Federation dissolved due to boundary_collapse; demonstrated importance of boundary maintenance,0.79,
FD-0028,Former Colony 23,0.69,3.4,1991,15,communication_breakdown,922,971,planned_disbanding,external_force,no_cascade,True,False,0.15,0.59,False,0,threat_response,,minimal_loss,923,Archive Survey Team,direct_observation,Federation dissolved due to communication_breakdown; demonstrated importance of goal alignment,0.64,
FD-0029,Former Trade Coalition 15,0.75,3.3,1992,33,internal_conflict,863,233,gradual_erosion,external_force,hierarchical_collapse,True,False,0.22,0.53,True,2,coordination,,significant_loss,919,Colony Observation Unit,testimony,Federation dissolved due to internal_conflict; demonstrated importance of boundary maintenance,0.7,
FD-0030,Old Trade Coalition 14,0.61,3.6,1120,6,defection_cascade,908,240,gradual_erosion,external_force,local_spread,True,True,0.21,0.63,False,2,none_significant,,no_loss,928,T. Mord,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of maintaining trust,0.84,
FD-0031,Former Archive Annex 28,0.81,2.9,1075,66,trust_failure,899,848,sudden_collapse,trust_breakdown,local_spread,False,False,0.03,0.76,False,5,none_significant,,complete_loss,939,P. Anster,archaeological,Federation dissolved due to trust_failure; demonstrated importance of goal alignment,0.52,
FD-0032,Eastern Colony 14,0.65,3.1,790,31,external_destruction,902,222,gradual_erosion,boundary_permeation,local_spread,True,False,0.09,0.39,False,4,threat_response,status,partial_loss,938,T. Crost,direct_observation,Federation dissolved due to external_destruction; demonstrated importance of maintaining trust,0.84,
FD-0033,Former Archive Annex 10,0.66,3.6,742,76,defection_cascade,909,468,planned_disbanding,trust_breakdown,local_spread,True,True,0.04,0.8,False,1,none_significant,,significant_loss,940,Boundary Commission,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of communication,0.84,
FD-0034,Former Survey Team 20,0.8,3.5,289,178,defection_cascade,931,123,fission_into_smaller,external_force,local_spread,True,,0.03,0.77,False,2,coordination,,significant_loss,924,Colony Observation Unit,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of redundancy,0.51,
FD-0035,Old Mill Crew 11,0.51,3.8,863,139,external_destruction,868,404,violent_breakup,trust_breakdown,simultaneous,True,True,0.09,0.62,True,1,coordination,,partial_loss,927,T. Mord,biological_observation,Federation dissolved due to external_destruction; demonstrated importance of boundary maintenance,0.58,
FD-0036,Old Survey Team 25,0.79,3.2,1497,153,defection_cascade,883,970,sudden_collapse,boundary_permeation,simultaneous,False,True,0.17,0.91,False,1,preservation_capacity,expansion,partial_loss,928,Archive Survey Team,inference,Federation dissolved due to defection_cascade; demonstrated importance of maintaining trust,0.79,
FD-0037,Western Mill Crew 2,0.44,3.5,1049,114,internal_conflict,915,789,absorption_into_larger,communication_failure,no_cascade,True,False,0.04,0.36,False,2,distributed_memory,long_term_preservation,significant_loss,918,T. Mord,inference,Federation dissolved due to internal_conflict; demonstrated importance of boundary maintenance,0.6,
FD-0038,Former Trade Coalition 21,0.59,4.0,1371,183,trust_failure,897,146,absorption_into_larger,coordination_failure,simultaneous,True,,0.24,0.66,False,2,preservation_capacity,expansion,no_loss,929,Independent Observer,historical_record,Federation dissolved due to trust_failure; demonstrated importance of maintaining trust,0.61,
FD-0039,Eastern Archive Annex 7,0.76,3.1,573,4,external_destruction,917,306,gradual_erosion,coordination_failure,local_spread,True,,0.21,0.75,False,0,preservation_capacity,,minimal_loss,924,Colony Observation Unit,biological_observation,Federation dissolved due to external_destruction; demonstrated importance of redundancy,0.6,
FD-0040,Eastern Colony 29,0.56,3.9,20,45,leadership_vacuum,926,835,violent_breakup,external_force,hierarchical_collapse,False,False,0.22,0.97,False,2,coordination,status,significant_loss,930,Independent Observer,direct_observation,Federation dissolved due to leadership_vacuum; demonstrated importance of goal alignment,0.77,
FD-0041,Old Archive Annex 6,0.51,2.7,586,156,boundary_collapse,917,786,gradual_erosion,communication_failure,local_spread,True,,0.11,0.38,False,0,preservation_capacity,,significant_loss,917,T. Mord,inference,Federation dissolved due to boundary_collapse; demonstrated importance of redundancy,0.61,
FD-0042,Old Archive Annex 15,0.69,3.9,1883,60,leadership_vacuum,937,849,absorption_into_larger,memory_failure,local_spread,True,,0.22,0.46,True,3,preservation_capacity,,partial_loss,917,O. Venn,testimony,Federation dissolved due to leadership_vacuum; demonstrated importance of goal alignment,0.5,
FD-0043,Old Trade Coalition 16,0.85,2.5,1221,103,boundary_collapse,890,997,fission_into_smaller,boundary_permeation,local_spread,True,False,0.21,0.84,False,3,preservation_capacity,,complete_loss,915,T. Crost,historical_record,Federation dissolved due to boundary_collapse; demonstrated importance of communication,0.63,
FD-0044,Eastern Colony 24,0.58,3.8,660,35,trust_failure,868,327,violent_breakup,communication_failure,network_propagation,False,False,0.04,0.32,False,4,none_significant,status,partial_loss,929,Colony Observation Unit,inference,Federation dissolved due to trust_failure; demonstrated importance of redundancy,0.86,
FD-0045,Eastern Survey Team 13,0.54,3.1,604,139,boundary_collapse,917,772,planned_disbanding,external_force,hierarchical_collapse,False,,0.07,0.65,False,2,distributed_memory,none,minimal_loss,931,T. Mord,historical_record,Federation dissolved due to boundary_collapse; demonstrated importance of maintaining trust,0.81,
FD-0046,Former Research Circle 1,0.72,3.3,1603,159,communication_breakdown,902,189,sudden_collapse,coordination_failure,no_cascade,True,False,0.18,0.41,False,3,distributed_memory,status,minimal_loss,919,P. Anster,archaeological,Federation dissolved due to communication_breakdown; demonstrated importance of communication,0.79,
FD-0047,Former Mill Crew 26,0.56,2.6,1489,96,communication_breakdown,855,78,sudden_collapse,external_force,local_spread,True,False,0.04,0.37,False,3,coordination,,partial_loss,939,Klutch CC Research,historical_record,Federation dissolved due to communication_breakdown; demonstrated importance of redundancy,0.75,
FD-0048,Former Colony 18,0.62,2.9,557,86,defection_cascade,864,913,violent_breakup,boundary_permeation,simultaneous,False,False,0.22,0.93,True,1,threat_response,none,significant_loss,918,Archive Survey Team,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of redundancy,0.78,
FD-0049,Western Mill Crew 29,0.73,2.7,1449,187,internal_conflict,920,409,gradual_erosion,coordination_failure,network_propagation,False,,0.2,0.68,False,3,distributed_memory,,minimal_loss,932,M. Strand,historical_record,Federation dissolved due to internal_conflict; demonstrated importance of communication,0.75,
FD-0050,Eastern Trade Coalition 11,0.67,3.6,1498,151,trust_failure,908,255,absorption_into_larger,external_force,local_spread,False,False,0.15,0.66,True,2,none_significant,,minimal_loss,926,Boundary Commission,direct_observation,Federation dissolved due to trust_failure; demonstrated importance of communication,0.72,
FD-0051,Former Mill Crew 19,0.48,3.1,1438,150,defection_cascade,916,775,gradual_erosion,external_force,local_spread,True,False,0.07,0.68,False,2,none_significant,status,partial_loss,927,Boundary Commission,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of redundancy,0.76,
FD-0052,Eastern Archive Annex 11,0.74,2.6,359,21,resource_exhaustion,928,203,planned_disbanding,trust_breakdown,local_spread,True,True,0.12,0.77,False,1,none_significant,status,complete_loss,939,Boundary Commission,direct_observation,Federation dissolved due to resource_exhaustion; demonstrated importance of goal alignment,0.62,
FD-0053,Western Colony 16,0.78,3.2,1331,106,dens_proximity,882,212,violent_breakup,goal_divergence,network_propagation,True,True,0.15,0.79,False,0,coordination,,minimal_loss,931,Boundary Commission,testimony,Federation dissolved due to dens_proximity; demonstrated importance of boundary maintenance,0.89,
FD-0054,Former Trade Coalition 26,0.58,2.6,577,54,communication_breakdown,875,617,sudden_collapse,trust_breakdown,simultaneous,True,False,0.11,0.73,False,2,threat_response,none,partial_loss,923,O. Venn,direct_observation,Federation dissolved due to communication_breakdown; demonstrated importance of maintaining trust,0.72,
FD-0055,Former Archive Annex 4,0.56,2.6,788,34,defection_cascade,892,708,planned_disbanding,coordination_failure,local_spread,True,,0.13,0.6,False,5,coordination,,significant_loss,930,Archive Survey Team,direct_observation,Federation dissolved due to defection_cascade; demonstrated importance of goal alignment,0.68,
FD-0056,Eastern Archive Annex 16,0.78,2.8,649,37,goal_completion,858,129,violent_breakup,coordination_failure,hierarchical_collapse,True,False,0.29,0.32,False,1,none_significant,status,partial_loss,915,Klutch CC Research,direct_observation,Federation dissolved due to goal_completion; demonstrated importance of boundary maintenance,0.53,
FD-0057,Old Research Circle 4,0.47,2.6,955,24,resource_exhaustion,864,462,gradual_erosion,memory_failure,local_spread,True,False,0.3,0.65,False,5,threat_response,expansion,significant_loss,926,Boundary Commission,direct_observation,Federation dissolved due to resource_exhaustion; demonstrated importance of redundancy,0.85,
FD-0058,Old Colony 28,0.88,3.1,96,152,resource_exhaustion,914,157,violent_breakup,goal_divergence,simultaneous,False,,0.25,0.52,False,4,distributed_memory,none,partial_loss,916,M. Strand,testimony,Federation dissolved due to resource_exhaustion; demonstrated importance of boundary maintenance,0.63,
FD-0059,Eastern Mill Crew 13,0.62,3.5,1060,54,leadership_vacuum,871,664,gradual_erosion,coordination_failure,network_propagation,False,False,0.03,0.57,False,3,threat_response,,partial_loss,919,Colony Observation Unit,inference,Federation dissolved due to leadership_vacuum; demonstrated importance of maintaining trust,0.58,
FD-0060,Eastern Archive Annex 10,0.51,3.9,1618,99,trust_failure,881,942,fission_into_smaller,boundary_permeation,no_cascade,False,True,0.14,0.82,False,4,coordination,,no_loss,940,Boundary Commission,historical_record,Federation dissolved due to trust_failure; demonstrated importance of goal alignment,0.51,
FD-0061,Former Survey Team 30,0.67,3.3,1225,17,external_destruction,864,613,fission_into_smaller,trust_breakdown,local_spread,True,True,0.28,0.39,False,4,distributed_memory,long_term_preservation,partial_loss,933,Independent Observer,inference,Federation dissolved due to external_destruction; demonstrated importance of goal alignment,0.65,
FD-0062,Old Mill Crew 22,0.53,3.4,286,41,leadership_vacuum,934,808,absorption_into_larger,trust_breakdown,local_spread,True,False,0.17,0.53,False,0,distributed_memory,status,significant_loss,931,O. Venn,direct_observation,Federation dissolved due to leadership_vacuum; demonstrated importance of boundary maintenance,0.83,
FD-0063,Old Mill Crew 27,0.52,2.8,1521,167,communication_breakdown,866,644,fission_into_smaller,coordination_failure,no_cascade,True,False,0.11,0.82,False,2,threat_response,,no_loss,922,O. Venn,inference,Federation dissolved due to communication_breakdown; demonstrated importance of goal alignment,0.84,
FD-0064,Eastern Colony 7,0.73,3.9,1427,175,external_destruction,850,101,gradual_erosion,trust_breakdown,local_spread,False,False,0.09,0.37,False,0,distributed_memory,expansion,minimal_loss,938,O. Venn,historical_record,Federation dissolved due to external_destruction; demonstrated importance of maintaining trust,0.54,
FD-0065,Western Research Circle 6,0.49,2.6,8,83,external_destruction,852,970,absorption_into_larger,coordination_failure,no_cascade,True,False,0.21,0.99,True,2,distributed_memory,status,significant_loss,933,Boundary Commission,direct_observation,Federation dissolved due to external_destruction; demonstrated importance of maintaining trust,0.86,
FD-0066,Western Mill Crew 20,0.51,2.6,1517,7,dens_proximity,853,635,violent_breakup,boundary_permeation,no_cascade,True,,0.17,0.91,True,2,preservation_capacity,,partial_loss,938,T. Mord,inference,Federation dissolved due to dens_proximity; demonstrated importance of redundancy,0.62,
FD-0067,Former Survey Team 15,0.53,3.6,659,14,boundary_collapse,891,740,gradual_erosion,communication_failure,no_cascade,True,False,0.23,0.31,False,2,distributed_memory,none,significant_loss,933,O. Venn,direct_observation,Federation dissolved due to boundary_collapse; demonstrated importance of redundancy,0.52,
FD-0068,Western Research Circle 20,0.8,2.9,1564,36,boundary_collapse,916,426,planned_disbanding,goal_divergence,network_propagation,True,,0.08,0.55,False,5,distributed_memory,,minimal_loss,922,Colony Observation Unit,biological_observation,Federation dissolved due to boundary_collapse; demonstrated importance of boundary maintenance,0.72,
FD-0069,Former Trade Coalition 2,0.76,3.0,1642,71,defection_cascade,852,361,fission_into_smaller,trust_breakdown,network_propagation,False,True,0.04,0.36,False,0,coordination,none,significant_loss,940,Independent Observer,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of maintaining trust,0.53,
FD-0070,Western Survey Team 17,0.77,2.8,1694,92,boundary_collapse,903,311,sudden_collapse,communication_failure,no_cascade,False,False,0.08,0.9,False,1,threat_response,expansion,minimal_loss,913,M. Strand,testimony,Federation dissolved due to boundary_collapse; demonstrated importance of maintaining trust,0.7,
FD-0071,Western Archive Annex 4,0.47,3.9,1263,154,goal_completion,881,132,absorption_into_larger,coordination_failure,no_cascade,True,False,0.04,0.52,False,2,preservation_capacity,,significant_loss,918,T. Mord,historical_record,Federation dissolved due to goal_completion; demonstrated importance of maintaining trust,0.7,
FD-0072,Western Colony 15,0.5,2.7,445,131,trust_failure,938,611,violent_breakup,communication_failure,local_spread,True,False,0.07,0.62,False,2,preservation_capacity,,partial_loss,938,O. Venn,testimony,Federation dissolved due to trust_failure; demonstrated importance of boundary maintenance,0.85,
FD-0073,Eastern Research Circle 4,0.59,2.7,783,149,dens_proximity,917,286,sudden_collapse,coordination_failure,hierarchical_collapse,False,,0.22,0.36,True,3,threat_response,long_term_preservation,complete_loss,919,T. Crost,inference,Federation dissolved due to dens_proximity; demonstrated importance of maintaining trust,0.72,
FD-0074,Eastern Survey Team 15,0.41,3.9,1773,13,dens_proximity,914,115,planned_disbanding,goal_divergence,network_propagation,True,False,0.1,0.93,False,0,preservation_capacity,status,minimal_loss,923,Klutch CC Research,historical_record,Federation dissolved due to dens_proximity; demonstrated importance of maintaining trust,0.8,
FD-0075,Western Mill Crew 22,0.62,3.4,751,119,goal_completion,860,379,violent_breakup,memory_failure,network_propagation,False,True,0.26,0.67,False,0,distributed_memory,,significant_loss,916,Colony Observation Unit,inference,Federation dissolved due to goal_completion; demonstrated importance of communication,0.84,
FD-0076,Former Archive Annex 1,0.71,3.0,1019,16,dens_proximity,898,151,sudden_collapse,memory_failure,simultaneous,True,False,0.09,0.64,False,0,coordination,,partial_loss,914,Boundary Commission,inference,Federation dissolved due to dens_proximity; demonstrated importance of communication,0.88,
FD-0077,Former Survey Team 14,0.69,3.2,1943,10,boundary_collapse,888,438,planned_disbanding,memory_failure,simultaneous,True,False,0.14,0.65,False,0,threat_response,,significant_loss,940,O. Venn,testimony,Federation dissolved due to boundary_collapse; demonstrated importance of communication,0.87,
FD-0078,Old Trade Coalition 6,0.52,2.8,1596,135,internal_conflict,940,702,absorption_into_larger,coordination_failure,local_spread,False,,0.24,0.61,False,4,coordination,status,significant_loss,927,Klutch CC Research,direct_observation,Federation dissolved due to internal_conflict; demonstrated importance of redundancy,0.63,
FD-0079,Former Archive Annex 25,0.43,3.7,368,7,communication_breakdown,867,201,gradual_erosion,memory_failure,local_spread,False,,0.25,0.57,False,3,preservation_capacity,status,minimal_loss,930,M. Strand,direct_observation,Federation dissolved due to communication_breakdown; demonstrated importance of maintaining trust,0.52,
FD-0080,Old Survey Team 27,0.75,2.8,1026,1,communication_breakdown,850,79,gradual_erosion,trust_breakdown,simultaneous,False,False,0.24,0.41,False,3,distributed_memory,expansion,significant_loss,929,M. Strand,historical_record,Federation dissolved due to communication_breakdown; demonstrated importance of maintaining trust,0.66,
FD-0081,Western Archive Annex 26,0.87,3.6,1076,68,goal_completion,928,277,fission_into_smaller,communication_failure,simultaneous,True,False,0.14,0.52,False,4,preservation_capacity,,partial_loss,933,P. Anster,testimony,Federation dissolved due to goal_completion; demonstrated importance of maintaining trust,0.87,
FD-0082,Western Research Circle 14,0.88,2.7,1211,65,goal_completion,902,914,planned_disbanding,external_force,local_spread,False,False,0.26,0.36,False,3,preservation_capacity,none,no_loss,931,T. Crost,direct_observation,Federation dissolved due to goal_completion; demonstrated importance of redundancy,0.73,
FD-0083,Old Trade Coalition 4,0.48,3.4,1278,31,leadership_vacuum,870,142,gradual_erosion,memory_failure,network_propagation,True,False,0.28,0.32,True,1,preservation_capacity,,minimal_loss,934,T. Crost,historical_record,Federation dissolved due to leadership_vacuum; demonstrated importance of communication,0.84,
FD-0084,Western Archive Annex 15,0.86,3.5,1852,22,boundary_collapse,852,62,violent_breakup,coordination_failure,no_cascade,True,,0.14,0.34,True,1,threat_response,expansion,no_loss,926,T. Crost,direct_observation,Federation dissolved due to boundary_collapse; demonstrated importance of communication,0.52,
FD-0085,Former Research Circle 7,0.42,3.4,1524,10,trust_failure,917,730,violent_breakup,boundary_permeation,hierarchical_collapse,True,,0.21,0.79,True,4,none_significant,,complete_loss,936,O. Venn,inference,Federation dissolved due to trust_failure; demonstrated importance of goal alignment,0.51,
FD-0086,Former Survey Team 2,0.74,4.0,972,41,boundary_collapse,853,737,fission_into_smaller,goal_divergence,network_propagation,True,False,0.26,0.75,False,4,threat_response,none,partial_loss,934,P. Anster,historical_record,Federation dissolved due to boundary_collapse; demonstrated importance of goal alignment,0.78,
FD-0087,Old Mill Crew 11,0.53,3.5,428,28,communication_breakdown,917,252,planned_disbanding,boundary_permeation,network_propagation,True,True,0.14,0.67,False,1,distributed_memory,expansion,partial_loss,938,Archive Survey Team,testimony,Federation dissolved due to communication_breakdown; demonstrated importance of boundary maintenance,0.81,
FD-0088,Former Colony 9,0.7,3.8,882,121,boundary_collapse,911,846,sudden_collapse,coordination_failure,local_spread,False,,0.0,0.71,False,0,none_significant,status,significant_loss,935,O. Venn,testimony,Federation dissolved due to boundary_collapse; demonstrated importance of redundancy,0.76,
FD-0089,Former Mill Crew 4,0.52,3.8,1426,177,goal_completion,871,453,gradual_erosion,external_force,no_cascade,False,True,0.0,0.85,False,4,none_significant,long_term_preservation,minimal_loss,916,Archive Survey Team,historical_record,Federation dissolved due to goal_completion; demonstrated importance of communication,0.9,
FD-0090,Former Archive Annex 2,0.83,3.7,889,135,resource_exhaustion,934,268,sudden_collapse,boundary_permeation,local_spread,True,False,0.2,0.77,True,0,preservation_capacity,none,complete_loss,933,Klutch CC Research,archaeological,Federation dissolved due to resource_exhaustion; demonstrated importance of maintaining trust,0.89,
FD-0091,Western Research Circle 23,0.68,3.2,350,136,dens_proximity,921,162,violent_breakup,external_force,no_cascade,False,True,0.26,0.64,False,5,preservation_capacity,expansion,partial_loss,938,M. Strand,testimony,Federation dissolved due to dens_proximity; demonstrated importance of communication,0.75,
FD-0092,Eastern Archive Annex 19,0.44,2.6,1804,63,leadership_vacuum,872,199,gradual_erosion,goal_divergence,local_spread,True,,0.01,0.57,False,1,none_significant,,minimal_loss,920,Klutch CC Research,testimony,Federation dissolved due to leadership_vacuum; demonstrated importance of boundary maintenance,0.84,
FD-0093,Former Trade Coalition 26,0.86,3.2,422,73,communication_breakdown,856,851,gradual_erosion,communication_failure,no_cascade,True,False,0.02,0.98,False,4,threat_response,expansion,significant_loss,913,Archive Survey Team,historical_record,Federation dissolved due to communication_breakdown; demonstrated importance of communication,0.82,
FD-0094,Former Research Circle 10,0.4,3.2,1685,178,internal_conflict,914,617,violent_breakup,communication_failure,local_spread,True,False,0.09,0.65,False,3,none_significant,,partial_loss,917,T. Crost,testimony,Federation dissolved due to internal_conflict; demonstrated importance of redundancy,0.85,
FD-0095,Eastern Survey Team 22,0.66,3.6,1246,152,leadership_vacuum,866,259,absorption_into_larger,trust_breakdown,local_spread,False,,0.21,0.81,False,1,preservation_capacity,long_term_preservation,significant_loss,923,T. Mord,archaeological,Federation dissolved due to leadership_vacuum; demonstrated importance of goal alignment,0.67,
FD-0096,Western Trade Coalition 4,0.86,3.5,1979,56,trust_failure,905,410,sudden_collapse,communication_failure,network_propagation,False,False,0.3,0.55,False,2,threat_response,expansion,partial_loss,928,P. Anster,testimony,Federation dissolved due to trust_failure; demonstrated importance of communication,0.77,
FD-0097,Western Research Circle 1,0.49,3.3,794,18,trust_failure,908,284,sudden_collapse,external_force,hierarchical_collapse,True,False,0.26,0.75,True,0,threat_response,,minimal_loss,921,Independent Observer,testimony,Federation dissolved due to trust_failure; demonstrated importance of redundancy,0.87,
