event_id,event_name,form_id,form_type,form_complexity,form_novelty,prior_manifestations,location,region,dens_proximity_km,boundary_instability_index,spatial_curvature,ingression_mode,ingression_duration_minutes,manifestation_completeness,stability_post_ingression,fidelity_score,distortion_type,noise_level,observer,observer_type,instrument_used,prebel_effect_observed,observation_year,documented_year,vells_category,confidence,notes
IE-0032,Convergence Event 925,,phenomenon,moderate,variant,76,Southern perimeter,Dens boundary,50.2,8.0,moderately_curved,oscillating,519.14,0.83,fluctuating,0.84,hybrid_contamination,extreme,S. Moll,archivist,False,False,925,929,decelerated,0.99,
IE-0033,Hybrid Manifestation 919,,hybrid,simple,unprecedented,0,Dens deep,Dens,0.0,9.4,extreme,blending,42.57,0.97,degrading,1.0,none,high,E. Pol,multiple,True,False,919,922,decelerated,0.98,
IE-0034,Mixed Formation 916,FORM-0229,hybrid,moderate,unprecedented,0,Northern approach,Tower of Mirado,207.7,4.9,moderately_curved,sudden,8.96,0.72,dissolved,0.67,scale_distortion,low,A. Prebel,archivist,False,False,916,919,accelerated,0.72,
IE-0035,Connection Event 910,FORM-0106,relationship,simple,familiar,5,Western approach,Dens boundary,48.7,6.3,moderately_curved,competing,3.89,0.72,transformed,0.97,none,moderate,Ingression Study Group,healer,False,False,910,913,standard,0.85,
IE-0036,Tension Appearance 926,FORM-0223,relationship,highly_complex,familiar,46,Scholar's Quarter,Capital,290.5,3.2,flat,blending,26633.17,0.7,dissolved,0.52,incomplete_expression,moderate,Capital Survey Team,surveyor,True,False,926,931,overflow,0.83,
IE-0037,Merged Formation 916,FORM-0057,hybrid,complex,variant,71,Scholar's Quarter,Capital,213.3,6.0,mildly_curved,competing,9117.28,0.75,dissolved,0.71,noise_overlay,moderate,A. Prebel,scholar,False,False,916,918,decelerated,0.57,
IE-0038,Connection Arrival 896,,relationship,simple,variant,4,Sector NE-4,Dens boundary,50.8,8.5,highly_curved,gradual,165.93,0.78,gradually_stabilizing,0.87,none,low,S. Moll,healer,False,False,896,900,decelerated,0.63,
IE-0039,Tension Emergence 915,FORM-0085,relationship,highly_complex,variant,20,Scholar's Quarter,Capital,213.3,4.2,moderately_curved,cascading,31477.45,0.81,stable,0.76,temporal_smearing,extreme,Boundary Commission,scholar,False,False,915,922,decelerated,0.76,
IE-0040,Emergence Formation 922,FORM-0725,behavior,highly_complex,familiar,41,Isolation community,Northo,356.8,1.0,mildly_curved,competing,6422.07,0.52,stable,0.5,noise_overlay,low,A. Vells,scholar,True,False,922,922,standard,0.87,
IE-0041,Zone Formation 927,,place,highly_complex,familiar,99,Eastern Northo,Northo,315.2,2.2,flat,blending,94341.25,0.46,degrading,0.62,noise_overlay,high,Boundary Commission,healer,False,False,927,931,blocked_partial,0.55,
IE-0042,Stakdur Event 907,,creature,moderate,familiar,79,Lake vicinity,Northo,337.5,1.4,flat,oscillating,639.45,0.69,fluctuating,0.54,noise_overlay,extreme,S. Moll,surveyor,False,False,907,908,decelerated,0.96,
IE-0043,Merged Arrival 924,,hybrid,moderate,variant,57,Dens deep,Dens,0.0,9.9,highly_curved,sudden,4.12,1.0,stable,0.89,none,low,E. Pol,indigenous,False,False,924,927,accelerated,0.65,
IE-0044,Stakdur Arrival 905,,creature,complex,familiar,25,Suburban zone,Densmok,267.6,2.0,mildly_curved,competing,4833.07,0.65,degrading,0.59,hybrid_contamination,moderate,Ingression Study Group,multiple,True,False,905,912,decelerated,0.92,
IE-0045,Mixed Appearance 894,FORM-0952,hybrid,simple,familiar,35,Northern approach,Tower of Mirado,176.0,5.4,mildly_curved,gradual,48.09,0.97,dissolved,0.61,structural_variation,minimal,Ingression Study Group,trapper,True,True,894,898,decelerated,0.9,
IE-0046,Zone Manifestation 932,FORM-0358,place,complex,unprecedented,0,Southern perimeter,Dens boundary,28.5,7.9,highly_curved,cascading,3546.54,1.0,gradually_stabilizing,0.95,none,minimal,Capital Survey Team,surveyor,False,False,932,936,decelerated,0.9,
IE-0047,Prime Pattern Appearance 898,FORM-0312,pattern,complex,familiar,87,Scholar's Quarter,Capital,249.4,2.7,flat,replacement,3554.46,0.75,gradually_stabilizing,0.59,incomplete_expression,moderate,A. Vells,scholar,False,False,898,906,decelerated,0.6,
IE-0048,Location Arrival 932,FORM-0573,place,simple,familiar,87,Lake vicinity,Northo,374.8,0.7,flat,sudden,0.79,0.52,dissolved,0.48,incomplete_expression,moderate,Ingression Study Group,indigenous,False,True,932,939,accelerated,0.88,
IE-0049,Response Appearance 911,FORM-0958,behavior,complex,unprecedented,0,Southern approach,Yeller Quarry,123.7,5.8,moderately_curved,cascading,5254.01,0.79,gradually_stabilizing,0.65,incomplete_expression,high,E. Pol,healer,True,False,911,911,decelerated,0.81,
IE-0050,Assembly Formation 893,,structure,highly_complex,unprecedented,0,Scholar's Quarter,Capital,280.3,3.8,flat,blending,41954.44,0.65,stable,0.61,structural_variation,moderate,C. Vells,surveyor,False,False,893,894,decelerated,0.54,
IE-0051,Behavioral Arrival 929,,behavior,complex,familiar,54,Western approach,Dens boundary,37.5,7.8,highly_curved,oscillating,8879.03,0.99,fluctuating,0.98,none,extreme,A. Vells,multiple,True,False,929,931,decelerated,0.73,
IE-0052,Manifestation Manifestation 904,FORM-0407,phenomenon,simple,familiar,31,Scholar's Quarter,Capital,292.3,4.0,flat,blending,79.9,0.46,degrading,0.45,scale_distortion,minimal,S. Moll,surveyor,True,False,904,910,blocked_partial,0.84,
IE-0053,Territory Appearance 912,FORM-0780,place,simple,unusual,43,Dens deep,Dens,0.0,9.4,highly_curved,cascading,22.47,1.0,gradually_stabilizing,0.79,noise_overlay,low,C. Vells,trapper,False,False,912,920,recursive,0.76,
IE-0054,Sequence Arrival 893,,pattern,simple,unusual,5,Lake vicinity,Northo,303.1,1.4,mildly_curved,competing,89.56,0.54,fluctuating,0.58,incomplete_expression,low,E. Pol,surveyor,True,False,893,897,decelerated,0.94,
IE-0055,Behavioral Event 923,FORM-0960,behavior,simple,unprecedented,0,Northern workings,Yeller Quarry,102.8,8.9,highly_curved,sudden,0.45,0.75,gradually_stabilizing,0.7,structural_variation,high,E. Pol,indigenous,False,False,923,933,accelerated,0.64,
IE-0056,Composite Formation 892,FORM-0517,hybrid,complex,rare,42,Central anomaly,Dens,0.0,9.9,extreme,replacement,7611.91,1.0,degrading,0.88,none,moderate,E. Pol,surveyor,False,True,892,898,decelerated,0.81,
IE-0057,Action Event 922,,behavior,complex,unusual,82,Quarry interior,Yeller Quarry,153.2,7.2,moderately_curved,competing,5156.97,0.9,dissolved,0.8,scale_distortion,moderate,Ingression Study Group,trapper,False,False,922,925,decelerated,0.99,
IE-0058,Structure Formation 895,FORM-0434,pattern,simple,unusual,78,Central anomaly,Dens,0.0,9.8,extreme,gradual,47.27,0.86,transformed,0.75,temporal_smearing,extreme,C. Vells,indigenous,True,False,895,895,decelerated,0.72,
IE-0059,Response Emergence 890,,behavior,simple,variant,42,Sector SW-6,Dens boundary,46.3,6.4,highly_curved,sudden,0.04,1.0,stable,0.83,noise_overlay,minimal,A. Vells,indigenous,True,False,890,890,accelerated,0.59,
IE-0060,Mixed Manifestation 917,,hybrid,complex,familiar,5,Dissolution zone,Dens,0.0,9.2,extreme,blending,8699.26,0.77,stable,1.0,none,low,T. Mord,archivist,True,False,917,924,decelerated,0.64,
IE-0061,Territory Event 900,,place,highly_complex,variant,20,Dissolution zone,Dens,0.0,9.9,extreme,oscillating,68673.28,0.92,fluctuating,1.0,none,high,A. Vells,healer,False,False,900,907,decelerated,0.66,
IE-0062,Novel Creature Appearance 901,FORM-0434,creature,complex,familiar,77,Northern monastery,Northo,307.9,2.0,mildly_curved,blending,4326.81,0.68,transformed,0.4,noise_overlay,minimal,Boundary Commission,trapper,True,False,901,904,decelerated,0.59,
IE-0063,Structure Arrival 919,FORM-0491,pattern,moderate,variant,39,Dens deep,Dens,0.0,9.8,extreme,competing,772.21,1.0,gradually_stabilizing,0.8,structural_variation,minimal,A. Vells,indigenous,True,False,919,927,decelerated,0.61,
IE-0064,Assembly Formation 898,FORM-0542,structure,simple,familiar,100,Mill vicinity,Yeller Quarry,108.2,7.6,highly_curved,oscillating,68.4,0.68,degrading,0.76,structural_variation,low,T. Mord,indigenous,True,False,898,899,decelerated,0.85,
IE-0065,Link Emergence 935,FORM-0986,relationship,moderate,variant,19,Archive vicinity,Capital,268.9,2.9,flat,gradual,983.82,0.76,stable,0.54,structural_variation,moderate,A. Prebel,surveyor,False,False,935,940,decelerated,0.69,
IE-0066,Novel Creature Manifestation 913,FORM-0937,creature,simple,variant,86,Mill vicinity,Yeller Quarry,166.6,6.7,highly_curved,oscillating,56.3,0.61,dissolved,0.73,hybrid_contamination,extreme,A. Vells,surveyor,False,False,913,918,decelerated,0.86,
IE-0067,Landscape Formation 892,,place,simple,rare,37,Klutch CC vicinity,Densmok,203.4,3.8,flat,sudden,0.45,0.61,fluctuating,0.51,scale_distortion,minimal,C. Vells,surveyor,False,False,892,900,accelerated,0.57,
IE-0068,Merged Formation 927,FORM-0282,hybrid,simple,rare,94,Philosophical Society grounds,Capital,215.0,4.0,flat,competing,22.64,0.73,transformed,0.58,scale_distortion,extreme,Boundary Commission,archivist,False,False,927,930,overflow,0.61,
IE-0069,Prime Pattern Emergence 915,FORM-0521,pattern,moderate,variant,9,Southern perimeter,Dens boundary,47.5,7.1,moderately_curved,oscillating,413.17,0.77,degrading,0.98,none,low,A. Prebel,archivist,True,False,915,918,decelerated,0.53,
IE-0070,Affinity Event 905,FORM-0800,relationship,simple,familiar,78,Northern margin,Dens boundary,48.2,8.1,extreme,sudden,0.73,0.83,fluctuating,0.81,temporal_smearing,minimal,Capital Survey Team,trapper,False,False,905,913,accelerated,0.62,
IE-0071,Bond Manifestation 902,FORM-0936,relationship,complex,unusual,57,Capital proper,Capital,244.5,3.3,mildly_curved,gradual,9265.13,0.57,fluctuating,0.66,incomplete_expression,extreme,Ingression Study Group,scholar,False,False,902,908,decelerated,0.61,
IE-0072,Structure Formation 920,FORM-0893,pattern,highly_complex,unusual,30,Coder quarter,Densmok,186.8,4.5,mildly_curved,gradual,167388.73,0.59,dissolved,0.59,noise_overlay,low,Capital Survey Team,scholar,True,False,920,920,decelerated,0.95,
IE-0073,Prime Pattern Formation 901,,pattern,highly_complex,familiar,95,Northern workings,Yeller Quarry,135.9,7.8,moderately_curved,blending,57795.62,0.96,degrading,0.86,none,low,A. Vells,multiple,True,False,901,910,decelerated,0.5,
IE-0074,Tension Appearance 925,,relationship,highly_complex,unprecedented,0,Dens deep,Dens,0.0,10.0,extreme,competing,3488.68,0.78,transformed,0.83,scale_distortion,minimal,A. Prebel,surveyor,False,False,925,931,recursive,0.84,
IE-0075,Link Event 907,,relationship,complex,familiar,95,Philosophical Society grounds,Capital,201.3,4.4,mildly_curved,blending,8656.93,0.69,stable,0.7,scale_distortion,moderate,M. Strand,healer,True,True,907,912,decelerated,0.55,
IE-0076,Territory Appearance 910,FORM-0246,place,highly_complex,familiar,57,Southern camps,Tower of Mirado,246.3,3.4,flat,blending,4662.67,0.72,stable,0.45,noise_overlay,minimal,A. Prebel,healer,False,False,910,918,standard,0.77,
IE-0077,Digger Emergence 928,FORM-0565,creature,simple,unprecedented,0,Northern approach,Tower of Mirado,228.0,4.7,mildly_curved,cascading,51.57,0.85,transformed,0.58,hybrid_contamination,moderate,E. Pol,archivist,True,True,928,935,decelerated,0.82,
IE-0078,Structure Appearance 928,FORM-0078,pattern,simple,unprecedented,0,Coder quarter,Densmok,244.2,5.3,mildly_curved,blending,4.02,0.8,fluctuating,0.62,hybrid_contamination,high,Ingression Study Group,trapper,True,False,928,928,standard,0.95,
IE-0079,Formation Formation 921,,pattern,highly_complex,rare,38,Trapper territory,Yeller Quarry,141.1,7.2,highly_curved,sudden,363.86,0.73,dissolved,0.81,hybrid_contamination,minimal,Ingression Study Group,archivist,False,False,921,929,accelerated,0.57,
IE-0080,Link Formation 900,,relationship,moderate,rare,35,Capital proper,Capital,273.2,4.4,mildly_curved,oscillating,903.13,0.87,degrading,0.64,temporal_smearing,extreme,C. Vells,archivist,True,False,900,904,decelerated,0.98,
IE-0081,Configuration Event 928,FORM-0973,pattern,moderate,unprecedented,0,Siege fields,Tower of Mirado,172.4,5.5,moderately_curved,replacement,699.23,0.92,fluctuating,0.72,noise_overlay,minimal,Ingression Study Group,trapper,True,False,928,929,decelerated,0.94,
IE-0082,Hybrid Entity Arrival 921,FORM-0642,creature,complex,rare,45,Dens deep,Dens,0.0,9.9,highly_curved,cascading,6833.15,0.81,stable,0.79,scale_distortion,extreme,M. Strand,surveyor,True,False,921,930,decelerated,0.89,
IE-0083,Hybrid Formation 904,FORM-0625,hybrid,moderate,variant,4,Coder quarter,Densmok,253.7,3.2,mildly_curved,replacement,798.46,0.8,gradually_stabilizing,0.73,hybrid_contamination,minimal,C. Vells,indigenous,False,False,904,909,decelerated,0.62,
IE-0084,Hybrid Arrival 893,,hybrid,complex,familiar,19,Mill vicinity,Yeller Quarry,160.9,4.7,moderately_curved,replacement,3184.85,0.83,fluctuating,0.68,structural_variation,low,Capital Survey Team,scholar,True,False,893,893,decelerated,0.67,
IE-0085,Hybrid Formation 935,FORM-0361,hybrid,complex,rare,46,Dens deep,Dens,0.0,9.3,highly_curved,sudden,7.49,0.82,stable,0.78,structural_variation,moderate,A. Prebel,surveyor,False,True,935,937,accelerated,0.57,
IE-0086,Construction Appearance 894,,structure,highly_complex,rare,75,Capital outskirts,Capital,226.1,5.2,moderately_curved,blending,44438.05,0.87,fluctuating,0.65,hybrid_contamination,minimal,C. Vells,archivist,False,False,894,900,decelerated,0.77,
IE-0087,Mixed Manifestation 904,FORM-0143,hybrid,simple,familiar,93,Isolation community,Northo,251.9,2.9,flat,oscillating,48.86,0.7,gradually_stabilizing,0.55,noise_overlay,moderate,A. Vells,healer,True,False,904,912,decelerated,0.78,
IE-0088,Manifestation Event 892,,phenomenon,simple,unprecedented,0,Sector SW-6,Dens boundary,26.5,8.8,extreme,oscillating,60.82,0.9,transformed,0.97,none,moderate,A. Vells,trapper,False,False,892,898,decelerated,0.73,
IE-0089,Architecture Event 903,,structure,moderate,variant,81,Southern camps,Tower of Mirado,227.3,2.9,flat,oscillating,748.87,0.71,stable,0.61,temporal_smearing,extreme,A. Prebel,healer,False,False,903,907,decelerated,0.88,
IE-0090,Prime Pattern Manifestation 925,FORM-0567,pattern,highly_complex,unprecedented,0,Siege fields,Tower of Mirado,200.2,5.5,mildly_curved,gradual,86590.97,0.79,transformed,0.68,temporal_smearing,minimal,Field Team,surveyor,False,False,925,927,decelerated,0.91,
IE-0091,Anomaly Arrival 905,FORM-0641,phenomenon,complex,rare,70,Northern margin,Dens boundary,58.9,8.8,highly_curved,blending,9986.63,0.84,degrading,0.91,none,high,Capital Survey Team,trapper,False,False,905,906,decelerated,0.87,
IE-0092,Tension Appearance 917,,relationship,complex,unprecedented,0,Quarry Sector 7,Yeller Quarry,141.0,6.4,highly_curved,cascading,4866.29,0.83,degrading,0.58,hybrid_contamination,low,C. Vells,multiple,False,False,917,917,decelerated,0.77,
IE-0093,Convergence Appearance 916,,phenomenon,moderate,unusual,52,Northern workings,Yeller Quarry,118.5,7.4,moderately_curved,sudden,9.02,0.79,gradually_stabilizing,0.62,temporal_smearing,low,Ingression Study Group,trapper,False,False,916,921,accelerated,0.79,
IE-0094,Link Arrival 917,FORM-0552,relationship,complex,unprecedented,0,Sector NE-4,Dens boundary,54.2,7.1,highly_curved,competing,2454.32,0.87,transformed,0.86,none,high,S. Moll,archivist,True,False,917,917,standard,0.54,
IE-0095,Construction Emergence 905,FORM-0140,structure,complex,rare,46,Coder quarter,Densmok,241.0,4.4,moderately_curved,oscillating,4118.05,0.87,stable,0.69,scale_distortion,moderate,T. Mord,multiple,False,True,905,912,decelerated,0.86,
IE-0096,Anomaly Arrival 905,FORM-0665,phenomenon,simple,variant,19,Trapper territory,Yeller Quarry,142.4,5.0,moderately_curved,sudden,0.11,0.69,dissolved,0.6,scale_distortion,extreme,Field Team,multiple,False,False,905,911,accelerated,0.55,
IE-0097,Connection Arrival 930,FORM-0247,relationship,simple,familiar,62,Northern workings,Yeller Quarry,139.9,7.0,highly_curved,replacement,57.13,0.82,stable,0.83,hybrid_contamination,low,Capital Survey Team,scholar,True,False,930,940,decelerated,0.71,
IE-0098,Stakdur Appearance 892,FORM-0985,creature,simple,unusual,5,Northern approach,Tower of Mirado,201.0,5.9,mildly_curved,cascading,96.32,0.6,stable,0.52,scale_distortion,extreme,Ingression Study Group,healer,True,False,892,898,decelerated,0.8,
IE-0099,Location Manifestation 902,FORM-0834,place,highly_complex,unprecedented,0,Archive vicinity,Capital,232.1,5.1,moderately_curved,cascading,88386.98,0.91,dissolved,0.56,temporal_smearing,extreme,Field Team,scholar,False,False,902,907,decelerated,0.83,
IE-0100,Blended Appearance 934,FORM-0399,hybrid,simple,familiar,97,Eastern markets,Capital,205.5,6.1,highly_curved,replacement,34.46,0.71,degrading,0.51,structural_variation,low,C. Vells,scholar,False,False,934,939,decelerated,0.55,
IE-0101,Digger Formation 924,,creature,simple,unprecedented,0,Southern camps,Tower of Mirado,238.3,4.1,mildly_curved,gradual,91.8,0.68,stable,0.45,temporal_smearing,high,A. Prebel,archivist,False,True,924,926,decelerated,0.5,
IE-0102,Composite Event 891,FORM-0830,hybrid,simple,unusual,84,Scholar's Quarter,Capital,267.3,4.1,mildly_curved,competing,84.42,0.64,fluctuating,0.5,noise_overlay,minimal,A. Vells,trapper,False,False,891,898,decelerated,0.74,
IE-0103,Prime Pattern Formation 917,FORM-0507,pattern,highly_complex,familiar,26,Central anomaly,Dens,0.0,9.2,extreme,replacement,73021.78,0.97,degrading,0.89,none,extreme,A. Prebel,surveyor,True,False,917,917,decelerated,0.51,
IE-0104,Connection Formation 904,FORM-0633,relationship,complex,unprecedented,0,Dissolution zone,Dens,0.0,9.2,extreme,cascading,1070.74,1.0,transformed,0.92,none,high,A. Vells,indigenous,True,False,904,914,overflow,0.88,
IE-0105,Territory Manifestation 929,FORM-0984,place,highly_complex,unusual,7,Scholar's Quarter,Capital,229.6,4.2,mildly_curved,sudden,500.24,0.78,transformed,0.6,scale_distortion,minimal,Ingression Study Group,healer,False,True,929,934,accelerated,0.93,
IE-0106,Action Event 933,FORM-0471,behavior,highly_complex,rare,70,Educational district,Densmok,208.1,4.1,moderately_curved,cascading,19154.89,0.61,transformed,0.61,incomplete_expression,low,T. Mord,indigenous,False,False,933,936,overflow,0.6,
IE-0107,Sequence Arrival 895,FORM-0931,pattern,highly_complex,familiar,92,Sector SW-6,Dens boundary,25.8,8.7,highly_curved,cascading,74524.31,0.9,degrading,0.76,hybrid_contamination,moderate,E. Pol,scholar,True,False,895,897,decelerated,0.55,
IE-0108,Pattern Manifestation 930,FORM-0660,phenomenon,simple,variant,9,Eastern markets,Capital,228.7,5.1,moderately_curved,gradual,187.07,0.55,fluctuating,0.57,temporal_smearing,moderate,C. Vells,indigenous,True,False,930,938,decelerated,0.75,
IE-0109,Formation Emergence 896,FORM-0010,pattern,complex,unusual,48,Scholar's Quarter,Capital,226.5,3.9,flat,gradual,12724.73,0.83,stable,0.55,incomplete_expression,moderate,Boundary Commission,indigenous,False,False,896,899,decelerated,0.94,
IE-0110,Sequence Event 897,FORM-0721,pattern,moderate,rare,29,Scholar's Quarter,Capital,295.1,1.6,mildly_curved,oscillating,599.75,0.71,dissolved,0.55,hybrid_contamination,high,C. Vells,scholar,True,False,897,902,decelerated,0.83,
IE-0111,Configuration Arrival 934,,pattern,moderate,variant,30,Dens deep,Dens,0.0,9.1,extreme,blending,199.0,0.78,gradually_stabilizing,0.91,none,extreme,Boundary Commission,scholar,True,False,934,939,overflow,0.9,
