collapse_id,case_name,entity_type,entity_id,entity_scale,pre_temporal_days,pre_spatial_km,pre_social_individuals,pre_abstract_score,pre_profile,post_temporal_days,post_spatial_km,post_social_individuals,post_abstract_score,post_profile,collapse_severity,collapse_speed,collapse_duration_days,primary_dimension_collapsed,collapse_cause,collapse_trigger_event,collapse_year,dens_proximity_km,dens_related,subject_experience,pain_during_collapse,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,permanent_deficit,documenter,documentation_source,strand_case_number,confidence,description,implications,notes
HC-0029,Case 29 (Trauma Psychological),collective,ENT-230,organ,777.5,36.16,119,0.69,caretaker,27.256,2.535,4,0.11,survivor,28.5,rapid,101,temporal,trauma_psychological,betrayal,881,416.3,False,self_only,False,True,signal_restoration,full_recovery,934,False,R. Voss,behavioral_observation,,0.65,Horizon collapse case: trauma psychological,,
HC-0030,Case 30 (Unknown),collective,ENT-293,small_group,857.7,242.57,215,0.51,visionary,20.546,11.621,5,0,survivor,41.7,rapid,153,temporal,unknown,unknown trigger,884,86.0,False,unknown,False,False,,not_attempted,,True,C. Vells,behavioral_observation,,0.89,Horizon collapse case: unknown,,
HC-0031,Case 31 (Trauma Psychological),person,ENT-689,individual,71.0,165.04,380,0.36,standard_student,5.297,24.609,28,0.02,survivor,13.4,rapid,29,social,trauma_psychological,witnessed death,904,467.4,False,no_description,False,False,,not_attempted,,True,Archive Survey Team,self_report,,0.74,Horizon collapse case: trauma psychological,,
HC-0032,Case 32 (Collective Dissolution),person,ENT-593,individual,1235.2,123.16,245,0.42,visionary,57.498,11.466,11,0,survivor,21.5,gradual,147,temporal,collective_dissolution,group disbanded,881,166.6,False,emptiness,False,True,signal_restoration,stable_narrowed,602,True,Klutch CC Counseling,behavioral_observation,,0.59,Horizon collapse case: collective dissolution,,
HC-0033,Case 33 (Pattern Degradation),person,ENT-432,individual,1458.3,148.56,488,0.77,standard_worker,19.374,3.948,6,0.35,survivor,75.3,gradual,100,temporal,pattern_degradation,form instability,882,448.2,False,glass_barrier,False,False,,not_attempted,,True,Independent Observer,behavioral_observation,,0.79,Horizon collapse case: pattern degradation,,
HC-0034,Case 34 (Isolation Prolonged),creature,ENT-598,organ,2047.5,283.2,332,0.29,standard_student,94.982,26.275,15,0,survivor,21.6,gradual,72,temporal,isolation_prolonged,months alone,930,340.2,False,unreal_distance,False,True,gradual_reexposure,partial_recovery,433,True,T. Vells,third_party_testimony,,0.85,Horizon collapse case: isolation prolonged,,
HC-0035,Case 35 (Identity Loss),collective,ENT-557,organ,178.2,34.92,389,0.52,standard_student,2.299,0.901,5,0.08,survivor,77.5,gradual,128,social,identity_loss,forgot own name,931,58.6,False,self_only,False,True,gradual_reexposure,full_recovery,296,False,R. Voss,third_party_testimony,,0.94,Horizon collapse case: identity loss,,
HC-0036,Case 36 (Unknown),creature,ENT-834,organ,1408.5,359.37,41,0.37,visionary,35.982,18.361,1,0,survivor,39.1,gradual,22,temporal,unknown,unknown trigger,904,39.7,False,emptiness,False,True,social_reconnection,full_recovery,220,False,Boundary Commission,behavioral_observation,SC-140,0.74,Horizon collapse case: unknown,,
HC-0037,Case 37 (Dens Proximity),collective,ENT-495,small_group,2374.3,38.82,251,0.44,visionary,5.024,0.164,0,0,survivor,472.6,instantaneous,3,temporal,dens_proximity,approached within 25km of Dens,898,25.2,True,purpose_forgetting,False,True,gradual_reexposure,full_recovery,509,False,Boundary Commission,clinical_record,,0.86,Horizon collapse case: dens proximity,,
HC-0038,Case 38 (Trauma Psychological),collective,ENT-355,organ,2789.0,263.75,162,0.36,standard_student,58.892,11.139,3,0,survivor,47.4,gradual,104,temporal,trauma_psychological,witnessed death,894,302.8,False,unreal_distance,False,False,,not_attempted,,True,C. Vells,self_report,,0.62,Horizon collapse case: trauma psychological,,
HC-0039,Case 39 (Trauma Psychological),collective,ENT-261,small_group,205.7,62.8,281,0.63,standard_student,6.931,4.232,9,0.06,survivor,29.7,gradual,3,social,trauma_psychological,loss of family,890,323.7,False,unreal_distance,False,True,gradual_reexposure,ongoing,534,False,T. Vells,self_report,SC-227,0.73,Horizon collapse case: trauma psychological,,
HC-0040,Case 40 (Institutional Failure),collective,ENT-627,small_group,1938.2,317.17,267,0.56,visionary,72.007,23.567,9,0.14,survivor,26.9,gradual,25,temporal,institutional_failure,purpose lost,938,253.6,False,emptiness,False,True,distance_from_dens,full_recovery,123,False,Independent Observer,self_report,,0.6,Horizon collapse case: institutional failure,,
HC-0041,Case 41 (Institutional Failure),creature,ENT-868,small_group,744.4,425.23,114,0.22,visionary,15.48,17.685,2,0,survivor,48.1,gradual,57,temporal,institutional_failure,organization dissolved,916,90.0,False,no_description,False,False,,not_attempted,,True,T. Vells,clinical_record,,0.56,Horizon collapse case: institutional failure,,
HC-0042,Case 42 (Institutional Failure),collective,ENT-645,small_group,832.8,7.99,287,0.53,visionary,136.52,2.618,47,0.05,survivor,6.1,rapid,121,temporal,institutional_failure,organization dissolved,910,321.2,False,unknown,False,False,,not_attempted,,True,P. Anster,self_report,SC-290,0.59,Horizon collapse case: institutional failure,,
HC-0043,Case 43 (Pattern Degradation),collective,ENT-665,small_group,3299.9,370.19,196,0.26,caretaker,44.162,9.908,2,0,survivor,74.7,gradual,273,temporal,pattern_degradation,identity confusion,882,133.4,False,glass_barrier,False,False,,not_attempted,,True,Archive Survey Team,clinical_record,SC-81,0.68,Horizon collapse case: pattern degradation,,
HC-0044,Case 44 (Institutional Failure),creature,ENT-279,small_group,1623.6,250.6,20,0.22,standard_student,43.37,13.388,0,0,survivor,37.4,gradual,173,temporal,institutional_failure,organization dissolved,891,33.7,False,emptiness,False,True,distance_from_dens,stable_narrowed,339,True,K. Strand,clinical_record,,0.91,Horizon collapse case: institutional failure,,
HC-0045,Case 45 (Collective Dissolution),collective,ENT-205,small_group,1163.1,177.1,404,0.64,standard_student,131.712,40.111,45,0.32,survivor,8.8,gradual,75,temporal,collective_dissolution,group disbanded,910,340.6,False,glass_barrier,True,False,,not_attempted,,True,Klutch CC Counseling,self_report,,0.51,Horizon collapse case: collective dissolution,,
HC-0046,Case 46 (Isolation Prolonged),person,ENT-873,individual,1660.7,17.97,365,0.46,standard_worker,42.206,0.913,9,0,survivor,39.3,gradual,130,temporal,isolation_prolonged,exile,907,213.3,False,purpose_forgetting,True,False,,not_attempted,,True,Independent Observer,behavioral_observation,,0.61,Horizon collapse case: isolation prolonged,,
HC-0047,Case 47 (Trauma Psychological),collective,ENT-561,small_group,373.6,277.23,488,0.57,standard_student,44.202,65.604,57,0.15,survivor,8.5,rapid,160,social,trauma_psychological,witnessed death,921,107.9,False,unknown,False,True,gradual_reexposure,ongoing,785,False,Boundary Commission,third_party_testimony,SC-175,0.56,Horizon collapse case: trauma psychological,,
HC-0048,Case 48 (Trauma Psychological),person,ENT-500,individual,3130.3,487.29,155,0.62,visionary,76.416,23.791,3,0.22,survivor,41.0,gradual,64,temporal,trauma_psychological,witnessed death,898,405.7,False,emptiness,False,True,social_reconnection,full_recovery,791,False,Archive Survey Team,self_report,,0.81,Horizon collapse case: trauma psychological,,
HC-0049,Case 49 (Pattern Degradation),person,ENT-222,individual,1062.1,478.84,163,0.2,standard_student,47.992,43.275,7,0,survivor,22.1,slow,352,temporal,pattern_degradation,form instability,939,415.6,False,self_only,False,False,,not_attempted,,True,Klutch CC Counseling,self_report,,0.56,Horizon collapse case: pattern degradation,,
HC-0050,Case 50 (Dens Proximity),collective,ENT-925,small_group,2480.0,12.07,15,0.34,standard_student,49.273,0.479,0,0,survivor,50.3,instantaneous,4,temporal,dens_proximity,approached within 25km of Dens,931,25.0,True,purpose_forgetting,False,True,gradual_reexposure,full_recovery,379,False,R. Voss,self_report,SC-353,0.79,Horizon collapse case: dens proximity,,
HC-0051,Case 51 (Unknown),creature,ENT-117,small_group,941.3,67.43,302,0.33,standard_student,24.727,3.543,7,0,survivor,38.1,gradual,105,temporal,unknown,unknown trigger,891,112.5,False,purpose_forgetting,False,False,,not_attempted,,True,C. Vells,behavioral_observation,,0.87,Horizon collapse case: unknown,,
HC-0052,Case 52 (Collective Dissolution),creature,ENT-540,small_group,3556.5,71.08,498,0.11,visionary,103.216,4.126,14,0,survivor,34.5,gradual,48,temporal,collective_dissolution,group disbanded,880,87.3,False,self_only,False,True,structured_correspondence,partial_recovery,636,True,Boundary Commission,behavioral_observation,SC-484,0.56,Horizon collapse case: collective dissolution,,
HC-0053,Case 53 (Isolation Prolonged),collective,ENT-308,small_group,3324.9,432.93,221,0.73,visionary,76.458,19.911,5,0.28,survivor,43.5,gradual,121,temporal,isolation_prolonged,lost expedition,919,175.5,False,purpose_forgetting,False,False,,not_attempted,,True,Independent Observer,behavioral_observation,,0.77,Horizon collapse case: isolation prolonged,,
HC-0054,Case 54 (Pattern Degradation),person,ENT-694,individual,134.6,195.03,259,0.16,visionary,1.766,5.117,3,0,survivor,76.2,gradual,139,social,pattern_degradation,memory failure,898,372.1,False,emptiness,False,False,,not_attempted,,True,Boundary Commission,behavioral_observation,,0.57,Horizon collapse case: pattern degradation,,
HC-0055,Case 55 (Pattern Degradation),collective,ENT-973,organ,1350.1,266.45,161,0.28,standard_student,130.609,51.552,15,0,survivor,10.3,slow,213,temporal,pattern_degradation,form instability,913,427.4,False,emptiness,False,False,,not_attempted,,True,P. Anster,self_report,,0.83,Horizon collapse case: pattern degradation,,
HC-0056,Case 56 (Identity Loss),person,ENT-206,individual,401.0,336.34,264,0.38,visionary,5.133,8.611,3,0.0,survivor,78.1,rapid,154,temporal,identity_loss,forgot own name,882,343.1,False,no_description,True,True,structured_correspondence,partial_recovery,528,True,Archive Survey Team,third_party_testimony,,0.65,Horizon collapse case: identity loss,,
HC-0057,Case 57 (Dens Proximity),person,ENT-904,individual,1659.3,307.62,491,0.41,standard_worker,4.438,1.645,1,0,survivor,373.9,rapid,0,temporal,dens_proximity,approached within 13km of Dens,925,13.6,True,purpose_forgetting,False,False,,not_attempted,,True,Boundary Commission,behavioral_observation,,0.6,Horizon collapse case: dens proximity,,
HC-0058,Case 58 (Trauma Physical),creature,ENT-945,small_group,405.7,476.06,316,0.12,standard_student,1.173,2.753,0,0,survivor,345.8,instantaneous,2,spatial,trauma_physical,fall,880,214.6,False,glass_barrier,False,True,signal_restoration,no_recovery,,True,K. Strand,behavioral_observation,,0.82,Horizon collapse case: trauma physical,,
HC-0059,Case 59 (Collective Dissolution),creature,ENT-380,small_group,258.9,412.71,320,0.79,visionary,30.142,96.101,37,0.2,survivor,8.6,gradual,120,spatial,collective_dissolution,group disbanded,880,207.3,False,no_description,False,False,,not_attempted,,True,Boundary Commission,behavioral_observation,SC-211,0.85,Horizon collapse case: collective dissolution,,
HC-0060,Case 60 (Isolation Prolonged),creature,ENT-739,small_group,3535.9,89.82,448,0.44,standard_student,133.265,6.771,16,0,survivor,26.5,rapid,127,temporal,isolation_prolonged,exile,901,410.9,False,self_only,False,True,social_reconnection,full_recovery,798,False,Independent Observer,behavioral_observation,SC-95,0.68,Horizon collapse case: isolation prolonged,,
HC-0061,Case 61 (Unknown),creature,ENT-209,small_group,3238.9,441.33,472,0.11,standard_student,93.678,25.529,13,0,survivor,34.6,gradual,133,temporal,unknown,unknown trigger,911,357.4,False,unreal_distance,False,False,,not_attempted,,True,R. Voss,self_report,SC-345,0.85,Horizon collapse case: unknown,,
HC-0062,Case 62 (Trauma Physical),person,ENT-443,individual,1088.1,215.59,62,0.72,standard_worker,3.467,1.374,0,0.21,survivor,313.8,rapid,7,temporal,trauma_physical,creature attack,933,379.9,False,unreal_distance,False,False,,not_attempted,,True,Archive Survey Team,self_report,,0.68,Horizon collapse case: trauma physical,,
HC-0063,Case 63 (Trauma Physical),person,ENT-220,individual,3096.6,79.85,440,0.17,caretaker,7.899,0.407,1,0,survivor,392.0,rapid,3,temporal,trauma_physical,fall,923,205.2,False,unreal_distance,False,False,,not_attempted,,True,Archive Survey Team,self_report,,0.62,Horizon collapse case: trauma physical,,
HC-0064,Case 64 (Dens Proximity),person,ENT-625,individual,2890.4,397.16,421,0.42,standard_student,7.133,1.96,1,0,survivor,405.2,instantaneous,6,temporal,dens_proximity,approached within 1km of Dens,906,1.1,True,purpose_forgetting,False,True,distance_from_dens,partial_recovery,290,True,C. Vells,self_report,,0.52,Horizon collapse case: dens proximity,,
HC-0065,Case 65 (Unknown),person,ENT-184,individual,1786.1,392.45,75,0.61,visionary,96.041,42.206,4,0.05,survivor,18.6,gradual,22,temporal,unknown,unknown trigger,938,301.5,False,self_only,False,False,,not_attempted,,True,Klutch CC Counseling,third_party_testimony,SC-232,0.91,Horizon collapse case: unknown,,
HC-0066,Case 66 (Isolation Prolonged),creature,ENT-217,small_group,1656.5,446.56,161,0.55,standard_worker,73.516,39.637,7,0.24,survivor,22.5,rapid,90,temporal,isolation_prolonged,lost expedition,900,187.3,False,no_description,True,True,distance_from_dens,ongoing,140,False,Independent Observer,clinical_record,SC-86,0.9,Horizon collapse case: isolation prolonged,,
HC-0067,Case 67 (Unknown),collective,ENT-239,organ,2034.5,160.82,201,0.72,visionary,66.58,10.526,6,0.38,survivor,30.6,rapid,134,temporal,unknown,unknown trigger,893,90.3,False,unreal_distance,False,True,signal_restoration,partial_recovery,734,True,K. Strand,third_party_testimony,,0.88,Horizon collapse case: unknown,,
HC-0068,Case 68 (Trauma Physical),person,ENT-964,individual,2001.3,45.93,379,0.71,standard_student,16.975,0.779,3,0.08,survivor,117.9,rapid,5,temporal,trauma_physical,fall,898,476.9,False,unreal_distance,False,True,distance_from_dens,no_recovery,,True,Independent Observer,self_report,,0.86,Horizon collapse case: trauma physical,,
HC-0069,Case 69 (Institutional Failure),collective,ENT-847,small_group,1088.3,88.72,43,0.77,caretaker,48.414,7.893,1,0.08,survivor,22.5,gradual,70,temporal,institutional_failure,organization dissolved,900,336.1,False,glass_barrier,False,True,distance_from_dens,stable_narrowed,473,True,T. Vells,self_report,,0.65,Horizon collapse case: institutional failure,,
HC-0070,Case 70 (Collective Dissolution),creature,ENT-551,organ,1869.3,395.14,374,0.52,caretaker,271.167,114.644,54,0,survivor,6.9,gradual,67,temporal,collective_dissolution,colony collapsed,904,403.5,False,unreal_distance,False,True,social_reconnection,no_recovery,,True,R. Voss,third_party_testimony,,0.87,Horizon collapse case: collective dissolution,,
HC-0071,Case 71 (Unknown),person,ENT-117,individual,2831.4,400.38,248,0.65,standard_student,294.507,83.291,25,0.14,survivor,9.6,gradual,117,temporal,unknown,unknown trigger,913,208.8,False,emptiness,True,True,distance_from_dens,ongoing,978,False,Archive Survey Team,behavioral_observation,,0.66,Horizon collapse case: unknown,,
HC-0072,Case 72 (Collective Dissolution),collective,ENT-643,organ,2336.9,18.03,392,0.42,standard_student,60.044,0.926,10,0,survivor,38.9,rapid,116,temporal,collective_dissolution,group disbanded,938,465.4,False,no_description,False,False,,not_attempted,,True,K. Strand,clinical_record,,0.76,Horizon collapse case: collective dissolution,,
HC-0073,Case 73 (Trauma Psychological),creature,ENT-947,small_group,2312.5,3.28,194,0.22,caretaker,138.532,0.392,11,0,survivor,16.7,rapid,126,temporal,trauma_psychological,betrayal,882,483.0,False,unreal_distance,False,False,,not_attempted,,True,Boundary Commission,self_report,,0.67,Horizon collapse case: trauma psychological,,
HC-0074,Case 74 (Isolation Prolonged),collective,ENT-254,small_group,2067.2,275.54,74,0.21,standard_worker,48.865,13.027,1,0,survivor,42.3,rapid,26,temporal,isolation_prolonged,months alone,905,146.4,False,purpose_forgetting,False,True,distance_from_dens,partial_recovery,44,True,T. Vells,clinical_record,,0.75,Horizon collapse case: isolation prolonged,,
HC-0075,Case 75 (Trauma Psychological),person,ENT-986,individual,1375.9,470.93,235,0.14,standard_worker,52.122,35.68,8,0,survivor,26.4,gradual,134,temporal,trauma_psychological,witnessed death,939,433.2,False,self_only,False,True,gradual_reexposure,stable_narrowed,704,True,Klutch CC Counseling,clinical_record,SC-393,0.53,Horizon collapse case: trauma psychological,,
HC-0076,Case 76 (Unknown),collective,ENT-952,organ,1254.8,79.19,423,0.31,standard_student,50.993,6.436,17,0,survivor,24.6,gradual,153,temporal,unknown,unknown trigger,896,313.4,False,unknown,False,False,,not_attempted,,True,T. Vells,self_report,,0.91,Horizon collapse case: unknown,,
HC-0077,Case 77 (Unknown),person,ENT-552,individual,815.4,388.35,312,0.61,caretaker,31.435,29.944,12,0.02,survivor,25.9,gradual,35,temporal,unknown,unknown trigger,933,219.5,False,purpose_forgetting,False,True,signal_restoration,full_recovery,718,False,Boundary Commission,self_report,,0.54,Horizon collapse case: unknown,,
HC-0078,Case 78 (Identity Loss),person,ENT-887,individual,442.9,371.09,340,0.55,visionary,5.943,9.959,4,0.06,survivor,74.5,rapid,143,temporal,identity_loss,forgot own name,886,349.6,False,self_only,False,False,,not_attempted,,True,Archive Survey Team,clinical_record,,0.61,Horizon collapse case: identity loss,,
HC-0079,Case 79 (Trauma Physical),creature,ENT-563,organ,1388.5,342.73,168,0.59,visionary,3.056,1.509,0,0.15,survivor,454.3,instantaneous,5,temporal,trauma_physical,cave-in,890,65.8,False,glass_barrier,False,False,,not_attempted,,True,M. Strand,behavioral_observation,,0.79,Horizon collapse case: trauma physical,,
HC-0080,Case 80 (Isolation Prolonged),person,ENT-598,individual,1917.2,381.95,422,0.53,standard_worker,75.113,29.929,16,0.12,survivor,25.5,gradual,106,temporal,isolation_prolonged,lost expedition,911,143.7,False,unknown,False,True,gradual_reexposure,ongoing,227,False,Archive Survey Team,third_party_testimony,SC-14,0.71,Horizon collapse case: isolation prolonged,,
HC-0081,Case 81 (Collective Dissolution),collective,ENT-624,organ,1528.3,300.9,265,0.77,caretaker,72.483,28.541,12,0.41,survivor,21.1,gradual,37,temporal,collective_dissolution,colony collapsed,903,300.6,False,unreal_distance,False,True,gradual_reexposure,ongoing,284,False,Independent Observer,clinical_record,SC-43,0.91,Horizon collapse case: collective dissolution,,
